location_area,method,version,rate
26,super-rod,pearl,75
26,super-rod,platinum,75
26,surf,diamond,15
26,surf,pearl,15
26,surf,platinum,15
27,walk,diamond,35
27,walk,pearl,35
27,walk,platinum,35
27,old-rod,diamond,25
27,old-rod,pearl,25
27,old-rod,platinum,25
27,good-rod,diamond,50
27,good-rod,pearl,50
27,good-rod,platinum,50
27,super-rod,diamond,75
27,super-rod,pearl,75
27,super-rod,platinum,75
27,surf,diamond,15
27,surf,pearl,15
27,surf,platinum,15
28,walk,diamond,35
28,walk,pearl,35
28,walk,platinum,35
29,walk,diamond,35
29,walk,pearl,35
29,walk,platinum,35
29,old-rod,diamond,25
29,old-rod,pearl,25
29,old-rod,platinum,25
29,good-rod,diamond,50
29,good-rod,pearl,50
29,good-rod,platinum,50
29,super-rod,diamond,75
29,super-rod,pearl,75
29,super-rod,platinum,75
29,surf,diamond,15
29,surf,pearl,15
29,surf,platinum,15
30,walk,diamond,10
30,walk,pearl,10
30,walk,platinum,10
31,walk,diamond,10
31,walk,pearl,10
31,walk,platinum,10
32,walk,diamond,10
32,walk,pearl,10
32,walk,platinum,10
33,walk,diamond,10
33,walk,pearl,10
33,walk,platinum,10
34,walk,diamond,10
34,walk,pearl,10
34,walk,platinum,10
35,walk,diamond,10
35,walk,pearl,10
35,walk,platinum,10
36,walk,diamond,15
36,walk,pearl,15
36,walk,platinum,15
37,walk,diamond,15
37,walk,pearl,15
37,walk,platinum,15
38,walk,diamond,20
38,walk,pearl,20
38,walk,platinum,20
39,walk,diamond,20
39,walk,pearl,20
39,walk,platinum,20
40,walk,diamond,20
40,walk,pearl,20
40,walk,platinum,20
41,walk,diamond,10
41,walk,pearl,10
41,walk,platinum,10
42,walk,diamond,10
42,walk,pearl,10
42,walk,platinum,10
43,walk,diamond,10
43,walk,pearl,10
43,walk,platinum,10
44,walk,diamond,10
44,walk,pearl,10
44,walk,platinum,10
45,walk,diamond,25
45,walk,pearl,25
45,walk,platinum,25
46,walk,diamond,25
46,walk,pearl,25
46,walk,platinum,25
47,walk,diamond,30
47,walk,pearl,30
47,walk,platinum,30
48,walk,diamond,15
48,walk,pearl,15
48,walk,platinum,15
49,walk,diamond,15
49,walk,pearl,15
49,walk,platinum,15
50,walk,diamond,15
50,walk,pearl,15
50,walk,platinum,15
50,old-rod,diamond,25
50,old-rod,pearl,25
50,old-rod,platinum,25
50,good-rod,diamond,50
50,good-rod,pearl,50
50,good-rod,platinum,50
50,super-rod,diamond,75
50,super-rod,pearl,75
50,super-rod,platinum,75
50,surf,diamond,15
50,surf,pearl,15
50,surf,platinum,15
51,walk,diamond,15
51,walk,pearl,15
51,walk,platinum,15
51,old-rod,diamond,25
51,old-rod,pearl,25
51,old-rod,platinum,25
51,good-rod,diamond,50
51,good-rod,pearl,50
51,good-rod,platinum,50
51,super-rod,diamond,75
51,super-rod,pearl,75
51,super-rod,platinum,75
51,surf,diamond,15
51,surf,pearl,15
51,surf,platinum,15
52,walk,diamond,15
52,walk,pearl,15
52,walk,platinum,15
53,walk,diamond,15
53,walk,pearl,15
53,walk,platinum,15
54,walk,diamond,10
54,walk,pearl,10
54,walk,platinum,10
54,old-rod,diamond,25
54,old-rod,pearl,25
54,old-rod,platinum,25
54,good-rod,diamond,50
54,good-rod,pearl,50
54,good-rod,platinum,50
54,super-rod,diamond,75
54,super-rod,pearl,75
54,super-rod,platinum,75
54,surf,diamond,10
54,surf,pearl,10
54,surf,platinum,10
55,walk,diamond,10
55,walk,pearl,10
55,walk,platinum,10
56,walk,diamond,10
56,walk,pearl,10
56,walk,platinum,10
56,old-rod,diamond,25
56,old-rod,pearl,25
56,old-rod,platinum,25
56,good-rod,diamond,50
56,good-rod,pearl,50
56,good-rod,platinum,50
56,super-rod,diamond,75
56,super-rod,pearl,75
56,super-rod,platinum,75
56,surf,diamond,10
56,surf,pearl,10
56,surf,platinum,10
57,walk,diamond,30
57,walk,pearl,30
57,walk,platinum,30
58,walk,diamond,10
58,walk,pearl,10
58,walk,platinum,10
59,walk,diamond,10
59,walk,pearl,10
59,walk,platinum,10
60,walk,diamond,30
60,walk,pearl,30
60,walk,platinum,30
60,old-rod,diamond,25
60,old-rod,pearl,25
60,old-rod,platinum,25
60,good-rod,diamond,50
60,good-rod,pearl,50
60,good-rod,platinum,50
60,super-rod,diamond,75
60,super-rod,pearl,75
60,super-rod,platinum,75
60,surf,diamond,10
60,surf,pearl,10
60,surf,platinum,10
61,walk,diamond,10
61,walk,pearl,10
61,walk,platinum,10
62,walk,diamond,10
62,walk,pearl,10
62,walk,platinum,10
63,walk,diamond,10
63,walk,pearl,10
63,walk,platinum,10
64,walk,diamond,15
64,walk,pearl,15
64,walk,platinum,15
70,walk,diamond,15
70,walk,pearl,15
70,walk,platinum,15
76,walk,diamond,15
76,walk,pearl,15
76,walk,platinum,15
82,walk,diamond,15
82,walk,pearl,15
82,walk,platinum,15
107,walk,diamond,15
107,walk,pearl,15
107,walk,platinum,15
108,walk,diamond,10
108,walk,pearl,10
108,walk,platinum,10
109,walk,diamond,10
109,walk,pearl,10
109,walk,platinum,10
110,walk,diamond,10
110,walk,pearl,10
110,walk,platinum,10
111,walk,diamond,10
111,walk,pearl,10
111,walk,platinum,10
112,walk,diamond,10
112,walk,pearl,10
112,walk,platinum,10
113,walk,diamond,10
113,walk,pearl,10
113,walk,platinum,10
114,walk,diamond,10
114,walk,pearl,10
114,walk,platinum,10
115,walk,diamond,10
115,walk,pearl,10
115,walk,platinum,10
116,walk,diamond,10
116,walk,pearl,10
116,walk,platinum,10
117,walk,diamond,10
117,walk,pearl,10
117,walk,platinum,10
118,walk,diamond,30
118,walk,pearl,30
118,walk,platinum,30
119,old-rod,diamond,25
119,old-rod,pearl,25
119,old-rod,platinum,25
119,good-rod,diamond,50
119,good-rod,pearl,50
119,good-rod,platinum,50
119,super-rod,diamond,75
119,super-rod,pearl,75
119,super-rod,platinum,75
119,surf,diamond,10
119,surf,pearl,10
119,surf,platinum,10
120,walk,diamond,10
120,walk,pearl,10
120,walk,platinum,10
121,walk,diamond,10
121,walk,pearl,10
121,walk,platinum,10
122,walk,diamond,10
122,walk,pearl,10
122,walk,platinum,10
123,walk,diamond,10
123,walk,pearl,10
123,walk,platinum,10
124,walk,diamond,10
124,walk,pearl,10
124,walk,platinum,10
125,walk,diamond,10
125,walk,pearl,10
125,walk,platinum,10
126,walk,diamond,10
126,walk,pearl,10
126,walk,platinum,10
127,walk,diamond,10
127,walk,pearl,10
127,walk,platinum,10
128,walk,diamond,10
128,walk,pearl,10
128,walk,platinum,10
129,walk,diamond,10
129,walk,pearl,10
129,walk,platinum,10
130,walk,diamond,10
130,walk,pearl,10
130,walk,platinum,10
131,walk,diamond,10
131,walk,pearl,10
131,walk,platinum,10
132,walk,diamond,10
132,walk,pearl,10
132,walk,platinum,10
133,walk,diamond,15
133,walk,pearl,15
133,walk,platinum,15
134,walk,diamond,10
134,walk,pearl,10
134,walk,platinum,10
135,walk,diamond,30
135,walk,pearl,30
135,walk,platinum,30
135,old-rod,diamond,25
135,old-rod,pearl,25
135,old-rod,platinum,25
135,good-rod,diamond,50
135,good-rod,pearl,50
135,good-rod,platinum,50
135,super-rod,diamond,75
135,super-rod,pearl,75
135,super-rod,platinum,75
135,surf,diamond,10
135,surf,pearl,10
135,surf,platinum,10
136,walk,diamond,30
136,walk,pearl,30
136,walk,platinum,30
136,old-rod,diamond,25
136,old-rod,pearl,25
136,old-rod,platinum,25
136,good-rod,diamond,50
136,good-rod,pearl,50
136,good-rod,platinum,50
136,super-rod,diamond,75
136,super-rod,pearl,75
136,super-rod,platinum,75
136,surf,diamond,10
136,surf,pearl,10
136,surf,platinum,10
137,walk,diamond,30
137,walk,pearl,30
137,walk,platinum,30
137,old-rod,diamond,25
137,old-rod,pearl,25
137,old-rod,platinum,25
137,good-rod,diamond,50
137,good-rod,pearl,50
137,good-rod,platinum,50
137,super-rod,diamond,75
137,super-rod,pearl,75
137,super-rod,platinum,75
137,surf,diamond,10
137,surf,pearl,10
137,surf,platinum,10
138,walk,diamond,30
138,walk,pearl,30
138,walk,platinum,30
138,old-rod,diamond,25
138,old-rod,pearl,25
138,old-rod,platinum,25
138,good-rod,diamond,50
138,good-rod,pearl,50
138,good-rod,platinum,50
138,super-rod,diamond,75
138,super-rod,pearl,75
138,super-rod,platinum,75
138,surf,diamond,10
138,surf,pearl,10
138,surf,platinum,10
139,walk,diamond,30
139,walk,pearl,30
139,walk,platinum,30
140,walk,diamond,30
140,walk,pearl,30
140,walk,platinum,30
141,walk,diamond,30
141,walk,pearl,30
141,walk,platinum,30
142,walk,diamond,30
142,walk,pearl,30
142,walk,platinum,30
143,walk,diamond,30
143,walk,pearl,30
143,walk,platinum,30
143,old-rod,diamond,25
143,old-rod,pearl,25
143,old-rod,platinum,25
143,good-rod,diamond,50
143,good-rod,pearl,50
143,good-rod,platinum,50
143,super-rod,diamond,75
143,super-rod,pearl,75
143,super-rod,platinum,75
143,surf,diamond,10
143,surf,pearl,10
143,surf,platinum,10
144,walk,diamond,30
144,walk,pearl,30
144,walk,platinum,30
144,old-rod,diamond,25
144,old-rod,pearl,25
144,old-rod,platinum,25
144,good-rod,diamond,50
144,good-rod,pearl,50
144,good-rod,platinum,50
144,super-rod,diamond,75
144,super-rod,pearl,75
144,super-rod,platinum,75
144,surf,diamond,10
144,surf,pearl,10
144,surf,platinum,10
145,walk,diamond,30
145,walk,pearl,30
145,walk,platinum,30
145,old-rod,diamond,25
145,old-rod,pearl,25
145,old-rod,platinum,25
145,good-rod,diamond,50
145,good-rod,pearl,50
145,good-rod,platinum,50
145,super-rod,diamond,75
145,super-rod,pearl,75
145,super-rod,platinum,75
145,surf,diamond,10
145,surf,pearl,10
145,surf,platinum,10
146,walk,diamond,30
146,walk,pearl,30
146,walk,platinum,30
146,old-rod,diamond,25
146,old-rod,pearl,25
146,old-rod,platinum,25
146,good-rod,diamond,50
146,good-rod,pearl,50
146,good-rod,platinum,50
146,super-rod,diamond,75
146,super-rod,pearl,75
146,super-rod,platinum,75
146,surf,diamond,10
146,surf,pearl,10
146,surf,platinum,10
147,walk,diamond,30
147,walk,pearl,30
147,walk,platinum,30
147,old-rod,diamond,25
147,old-rod,pearl,25
147,old-rod,platinum,25
147,good-rod,diamond,50
147,good-rod,pearl,50
147,good-rod,platinum,50
147,super-rod,diamond,75
147,super-rod,pearl,75
147,super-rod,platinum,75
147,surf,diamond,10
147,surf,pearl,10
147,surf,platinum,10
148,walk,diamond,30
148,walk,pearl,30
148,walk,platinum,30
149,walk,diamond,30
149,walk,pearl,30
149,walk,platinum,30
150,walk,diamond,30
150,walk,pearl,30
150,walk,platinum,30
150,old-rod,diamond,25
150,old-rod,pearl,25
150,old-rod,platinum,25
150,good-rod,diamond,50
150,good-rod,pearl,50
150,good-rod,platinum,50
150,super-rod,diamond,75
150,super-rod,pearl,75
150,super-rod,platinum,75
150,surf,diamond,10
150,surf,pearl,10
150,surf,platinum,10
151,walk,diamond,30
151,walk,pearl,30
151,walk,platinum,30
151,old-rod,diamond,25
151,old-rod,pearl,25
151,old-rod,platinum,25
151,good-rod,diamond,50
151,good-rod,pearl,50
151,good-rod,platinum,50
151,super-rod,diamond,75
151,super-rod,pearl,75
151,super-rod,platinum,75
151,surf,diamond,10
151,surf,pearl,10
151,surf,platinum,10
152,walk,diamond,10
152,walk,pearl,10
152,walk,platinum,10
153,walk,diamond,10
153,walk,pearl,10
153,walk,platinum,10
154,walk,diamond,10
154,walk,pearl,10
154,walk,platinum,10
155,walk,diamond,10
155,walk,pearl,10
155,walk,platinum,10
156,walk,diamond,10
156,walk,pearl,10
156,walk,platinum,10
157,walk,diamond,30
157,walk,pearl,30
157,walk,platinum,30
158,walk,diamond,30
158,walk,pearl,30
158,walk,platinum,30
158,old-rod,diamond,25
158,old-rod,pearl,25
158,old-rod,platinum,25
158,good-rod,diamond,50
158,good-rod,pearl,50
158,good-rod,platinum,50
158,super-rod,diamond,75
158,super-rod,pearl,75
158,super-rod,platinum,75
158,surf,diamond,10
158,surf,pearl,10
158,surf,platinum,10
159,walk,diamond,30
159,walk,pearl,30
159,walk,platinum,30
160,walk,diamond,30
160,walk,pearl,30
160,walk,platinum,30
161,walk,diamond,30
161,walk,pearl,30
161,walk,platinum,30
161,old-rod,diamond,25
161,old-rod,pearl,25
161,old-rod,platinum,25
161,good-rod,diamond,50
161,good-rod,pearl,50
161,good-rod,platinum,50
161,super-rod,diamond,75
161,super-rod,pearl,75
161,super-rod,platinum,75
161,surf,diamond,10
161,surf,pearl,10
161,surf,platinum,10
162,walk,diamond,30
162,walk,pearl,30
162,walk,platinum,30
162,old-rod,diamond,25
162,old-rod,pearl,25
162,old-rod,platinum,25
162,good-rod,diamond,50
162,good-rod,pearl,50
162,good-rod,platinum,50
162,super-rod,diamond,75
162,super-rod,pearl,75
162,super-rod,platinum,75
162,surf,diamond,10
162,surf,pearl,10
162,surf,platinum,10
163,walk,diamond,30
163,walk,pearl,30
163,walk,platinum,30
163,old-rod,diamond,25
163,old-rod,pearl,25
163,old-rod,platinum,25
163,good-rod,diamond,50
163,good-rod,pearl,50
163,good-rod,platinum,50
163,super-rod,diamond,75
163,super-rod,pearl,75
163,super-rod,platinum,75
163,surf,diamond,10
163,surf,pearl,10
163,surf,platinum,10
164,walk,diamond,30
164,walk,pearl,30
164,walk,platinum,30
164,old-rod,diamond,25
164,old-rod,pearl,25
164,old-rod,platinum,25
164,good-rod,diamond,50
164,good-rod,pearl,50
164,good-rod,platinum,50
164,super-rod,diamond,75
164,super-rod,pearl,75
164,super-rod,platinum,75
164,surf,diamond,10
164,surf,pearl,10
164,surf,platinum,10
165,walk,diamond,30
165,walk,pearl,30
165,walk,platinum,30
166,walk,diamond,30
166,walk,pearl,30
166,walk,platinum,30
167,walk,diamond,30
167,walk,pearl,30
167,walk,platinum,30
168,walk,diamond,30
168,walk,pearl,30
168,walk,platinum,30
168,old-rod,diamond,25
168,old-rod,pearl,25
168,old-rod,platinum,25
168,good-rod,diamond,50
168,good-rod,pearl,50
168,good-rod,platinum,50
168,super-rod,diamond,75
168,super-rod,pearl,75
168,super-rod,platinum,75
168,surf,diamond,10
168,surf,pearl,10
168,surf,platinum,10
169,old-rod,diamond,25
169,old-rod,pearl,25
169,old-rod,platinum,25
169,good-rod,diamond,50
169,good-rod,pearl,50
169,good-rod,platinum,50
169,super-rod,diamond,75
169,super-rod,pearl,75
169,super-rod,platinum,75
169,surf,diamond,20
169,surf,pearl,20
169,surf,platinum,20
170,walk,diamond,30
170,walk,pearl,30
170,walk,platinum,30
170,old-rod,diamond,25
170,old-rod,pearl,25
170,old-rod,platinum,25
170,good-rod,diamond,50
170,good-rod,pearl,50
170,good-rod,platinum,50
170,super-rod,diamond,75
170,super-rod,pearl,75
170,super-rod,platinum,75
170,surf,diamond,10
170,surf,pearl,10
170,surf,platinum,10
171,walk,diamond,30
171,walk,pearl,30
171,walk,platinum,30
171,old-rod,diamond,45
171,old-rod,pearl,45
171,old-rod,platinum,45
171,good-rod,diamond,70
171,good-rod,pearl,70
171,good-rod,platinum,70
171,super-rod,diamond,95
171,super-rod,pearl,95
171,super-rod,platinum,95
171,surf,diamond,10
171,surf,pearl,10
171,surf,platinum,10
172,walk,diamond,30
172,walk,pearl,30
172,walk,platinum,30
172,old-rod,diamond,25
172,old-rod,pearl,25
172,old-rod,platinum,25
172,good-rod,diamond,50
172,good-rod,pearl,50
172,good-rod,platinum,50
172,super-rod,diamond,75
172,super-rod,pearl,75
172,super-rod,platinum,75
172,surf,diamond,10
172,surf,pearl,10
172,surf,platinum,10
173,walk,diamond,30
173,walk,pearl,30
173,walk,platinum,30
173,old-rod,diamond,25
173,old-rod,pearl,25
173,old-rod,platinum,25
173,good-rod,diamond,50
173,good-rod,pearl,50
173,good-rod,platinum,50
173,super-rod,diamond,75
173,super-rod,pearl,75
173,super-rod,platinum,75
173,surf,diamond,10
173,surf,pearl,10
173,surf,platinum,10
174,walk,diamond,30
174,walk,pearl,30
174,walk,platinum,30
174,old-rod,diamond,25
174,old-rod,pearl,25
174,old-rod,platinum,25
174,good-rod,diamond,50
174,good-rod,pearl,50
174,good-rod,platinum,50
174,super-rod,diamond,75
174,super-rod,pearl,75
174,super-rod,platinum,75
174,surf,diamond,10
174,surf,pearl,10
174,surf,platinum,10
175,walk,diamond,30
175,walk,pearl,30
175,walk,platinum,30
175,old-rod,diamond,25
175,old-rod,pearl,25
175,old-rod,platinum,25
175,good-rod,diamond,50
175,good-rod,pearl,50
175,good-rod,platinum,50
175,super-rod,diamond,75
175,super-rod,pearl,75
175,super-rod,platinum,75
175,surf,diamond,10
175,surf,pearl,10
175,surf,platinum,10
176,walk,diamond,30
176,walk,pearl,30
176,walk,platinum,30
176,old-rod,diamond,25
176,old-rod,pearl,25
176,old-rod,platinum,25
176,good-rod,diamond,50
176,good-rod,pearl,50
176,good-rod,platinum,50
176,super-rod,diamond,75
176,super-rod,pearl,75
176,super-rod,platinum,75
176,surf,diamond,10
176,surf,pearl,10
176,surf,platinum,10
177,old-rod,diamond,25
177,old-rod,pearl,25
177,old-rod,platinum,25
177,good-rod,diamond,50
177,good-rod,pearl,50
177,good-rod,platinum,50
177,super-rod,diamond,75
177,super-rod,pearl,75
177,super-rod,platinum,75
177,surf,diamond,10
177,surf,pearl,10
177,surf,platinum,10
178,old-rod,diamond,25
178,old-rod,pearl,25
178,old-rod,platinum,25
178,good-rod,diamond,50
178,good-rod,pearl,50
178,good-rod,platinum,50
178,super-rod,diamond,75
178,super-rod,pearl,75
178,super-rod,platinum,75
178,surf,diamond,10
178,surf,pearl,10
178,surf,platinum,10
179,old-rod,diamond,25
179,old-rod,pearl,25
179,old-rod,platinum,25
179,good-rod,diamond,50
179,good-rod,pearl,50
179,good-rod,platinum,50
179,super-rod,diamond,75
179,super-rod,pearl,75
179,super-rod,platinum,75
179,surf,diamond,10
179,surf,pearl,10
179,surf,platinum,10
180,old-rod,diamond,25
180,old-rod,pearl,25
180,old-rod,platinum,25
180,good-rod,diamond,50
180,good-rod,pearl,50
180,good-rod,platinum,50
180,super-rod,diamond,75
180,super-rod,pearl,75
180,super-rod,platinum,75
180,surf,diamond,20
180,surf,pearl,20
180,surf,platinum,20
181,old-rod,diamond,25
181,old-rod,pearl,25
181,old-rod,platinum,25
181,good-rod,diamond,50
181,good-rod,pearl,50
181,good-rod,platinum,50
181,super-rod,diamond,75
181,super-rod,pearl,75
181,super-rod,platinum,75
181,surf,diamond,20
181,surf,pearl,20
181,surf,platinum,20
182,walk,diamond,30
182,walk,pearl,30
182,walk,platinum,30
182,old-rod,diamond,25
182,old-rod,pearl,25
182,old-rod,platinum,25
182,good-rod,diamond,50
182,good-rod,pearl,50
182,good-rod,platinum,50
182,super-rod,diamond,75
182,super-rod,pearl,75
182,super-rod,platinum,75
182,surf,diamond,20
182,surf,pearl,20
182,surf,platinum,20
183,walk,diamond,30
183,walk,pearl,30
183,walk,platinum,30
183,old-rod,diamond,25
183,old-rod,pearl,25
183,old-rod,platinum,25
183,good-rod,diamond,50
183,good-rod,pearl,50
183,good-rod,platinum,50
183,super-rod,diamond,75
183,super-rod,pearl,75
183,super-rod,platinum,75
183,surf,diamond,20
183,surf,pearl,20
183,surf,platinum,20
184,old-rod,heartgold,25
184,old-rod,soulsilver,25
184,good-rod,heartgold,50
184,good-rod,soulsilver,50
184,super-rod,heartgold,75
184,super-rod,soulsilver,75
184,surf,heartgold,15
184,surf,soulsilver,15
185,walk,heartgold,25
185,walk,soulsilver,25
186,old-rod,heartgold,25
186,old-rod,soulsilver,25
186,good-rod,heartgold,50
186,good-rod,soulsilver,50
186,super-rod,heartgold,75
186,super-rod,soulsilver,75
186,surf,heartgold,15
186,surf,soulsilver,15
187,walk,heartgold,25
187,walk,soulsilver,25
187,old-rod,heartgold,25
187,old-rod,soulsilver,25
187,good-rod,heartgold,50
187,good-rod,soulsilver,50
187,super-rod,heartgold,75
187,super-rod,soulsilver,75
187,surf,heartgold,15
187,surf,soulsilver,15
188,walk,heartgold,25
188,walk,soulsilver,25
188,old-rod,heartgold,25
188,old-rod,soulsilver,25
188,good-rod,heartgold,50
188,good-rod,soulsilver,50
188,super-rod,heartgold,75
188,super-rod,soulsilver,75
188,surf,heartgold,15
188,surf,soulsilver,15
189,old-rod,heartgold,25
189,old-rod,soulsilver,25
189,good-rod,heartgold,50
189,good-rod,soulsilver,50
189,super-rod,heartgold,75
189,super-rod,soulsilver,75
189,surf,heartgold,15
189,surf,soulsilver,15
190,walk,heartgold,5
190,walk,soulsilver,5
191,walk,heartgold,5
191,walk,soulsilver,5
192,walk,heartgold,25
192,walk,soulsilver,25
192,old-rod,heartgold,25
192,old-rod,soulsilver,25
192,good-rod,heartgold,50
192,good-rod,soulsilver,50
192,super-rod,heartgold,75
192,super-rod,soulsilver,75
192,surf,heartgold,15
192,surf,soulsilver,15
193,walk,heartgold,10
193,walk,soulsilver,10
193,old-rod,heartgold,25
193,old-rod,soulsilver,25
193,good-rod,heartgold,50
193,good-rod,soulsilver,50
193,super-rod,heartgold,75
193,super-rod,soulsilver,75
193,surf,heartgold,10
193,surf,soulsilver,10
193,rock-smash,heartgold,20
193,rock-smash,soulsilver,20
194,walk,heartgold,15
194,walk,soulsilver,15
195,walk,heartgold,15
195,walk,soulsilver,15
196,walk,heartgold,15
196,walk,soulsilver,15
197,walk,heartgold,15
197,walk,soulsilver,15
198,walk,heartgold,10
198,walk,soulsilver,10
198,old-rod,heartgold,25
198,old-rod,soulsilver,25
198,good-rod,heartgold,50
198,good-rod,soulsilver,50
198,super-rod,heartgold,75
198,super-rod,soulsilver,75
198,surf,heartgold,15
198,surf,soulsilver,15
199,walk,heartgold,15
199,walk,soulsilver,15
199,old-rod,heartgold,25
199,old-rod,soulsilver,25
199,good-rod,heartgold,50
199,good-rod,soulsilver,50
199,super-rod,heartgold,75
199,super-rod,soulsilver,75
199,surf,heartgold,15
199,surf,soulsilver,15
200,walk,heartgold,15
200,walk,soulsilver,15
200,old-rod,heartgold,25
200,old-rod,soulsilver,25
200,good-rod,heartgold,50
200,good-rod,soulsilver,50
200,super-rod,heartgold,75
200,super-rod,soulsilver,75
200,surf,heartgold,15
200,surf,soulsilver,15
201,walk,heartgold,25
201,walk,soulsilver,25
202,walk,heartgold,5
202,walk,soulsilver,5
202,old-rod,heartgold,25
202,old-rod,soulsilver,25
202,good-rod,heartgold,50
202,good-rod,soulsilver,50
202,super-rod,heartgold,75
202,super-rod,soulsilver,75
202,surf,heartgold,10
202,surf,soulsilver,10
