region,area,gym,sub_area,group,role,trainer_class,name,game,version_group,canonical,tier,tier_note,prize,prize_note,team_size,slot,species,ndex,level,gender,type1,type2,ability,moves,held_item,page,source
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Dewgong,87,56,female,Water,Ice,,"Aqua Jet (Water, Physical); Ice Shard (Ice, Physical); Waterfall (Water, Physical); Iron Tail (Steel, Physical)",,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Vaporeon,134,56,female,Water,,,"Hydro Pump (Water, Special); Blizzard (Ice, Special); Quick Attack (Normal, Physical); Shadow Ball (Ghost, Special)",,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Starmie,121,56,none,Water,Psychic,,"Hydro Pump (Water, Special); Dazzling Gleam (Fairy, Special); Psychic (Psychic, Special); Thunderbolt (Electric, Special)",,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Gyarados,130,57,male,Water,Flying,,"Waterfall (Water, Physical); Crunch (Dark, Physical); Outrage (Dragon, Physical); Iron Tail (Steel, Physical)",,Cerulean Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,FRLG,firered-leafgreen,1,base,,2400,,3,1,Voltorb,100,21,none,Electric,,Soundproof,Shock Wave (Electric); Tackle (Normal); Screech (Normal); SonicBoom (Normal),,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,FRLG,firered-leafgreen,1,base,,2400,,3,2,Pikachu,25,18,male,Electric,,Static,Shock Wave (Electric); Thunder Wave (Electric); Quick Attack (Normal); Double Team (Normal),,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,FRLG,firered-leafgreen,1,base,,2400,,3,3,Raichu,26,24,male,Electric,,Static,Shock Wave (Electric); Thunder Wave (Electric); Quick Attack (Normal); Double Team (Normal),,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,base,,4160,,3,1,Voltorb,100,25,none,Electric,,,"Thunderbolt (Electric, Special); Swift (Normal, Special); Light Screen (Psychic, Status)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,base,,4160,,3,2,Magnemite,81,25,none,Electric,Steel,,"Thunderbolt (Electric, Special); Sonic Boom (Normal, Special)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,base,,4160,,3,3,Raichu,26,26,male,Electric,,,"Thunderbolt (Electric, Special); Quick Attack (Normal, Physical); Double Kick (Fighting, Physical)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Electrode,101,56,none,Electric,,,"Mirror Coat (Psychic, Special); Explosion (Normal, Physical); Thunderbolt (Electric, Special); Foul Play (Dark, Physical)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Jolteon,135,56,female,Electric,,,"Thunder (Electric, Special); Shadow Ball (Ghost, Special); Reflect (Psychic, Status); Quick Attack (Normal, Physical)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Electabuzz,125,56,male,Electric,,,"Thunder Punch (Electric, Physical); Ice Punch (Ice, Physical); Fire Punch (Fire, Physical); Brick Break (Fighting, Physical)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Magneton,82,56,none,Electric,Steel,,"Thunder (Electric, Special); Flash Cannon (Steel, Special); Tri Attack (Normal, Special); Hyper Beam (Normal, Special)",,Vermilion Gym,bulbapedia
kanto,Vermilion City,Vermilion Gym,,,leader,Gym Leader,Lt. Surge,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Raichu,26,57,male,Electric,,,"Thunder Punch (Electric, Physical); Iron Tail (Steel, Physical); Brick Break (Fighting, Physical); Quick Attack (Normal, Physical)",,Vermilion Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,FRLG,firered-leafgreen,1,base,,2900,,3,1,Victreebel,71,29,female,Grass,Poison,Chlorophyll,Stun Spore (Grass); Acid (Poison); PoisonPowder (Poison); Giga Drain (Grass),,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,FRLG,firered-leafgreen,1,base,,2900,,3,2,Tangela,114,24,female,Grass,,Chlorophyll,PoisonPowder (Poison); Constrict (Normal); Ingrain (Grass); Giga Drain (Grass),,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,FRLG,firered-leafgreen,1,base,,2900,,3,3,Vileplume,45,29,female,Grass,Poison,Chlorophyll,Sleep Powder (Grass); Acid (Poison); Stun Spore (Grass); Giga Drain (Grass),,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,base,,5440,,3,1,Tangela,114,33,female,Grass,,,"Mega Drain (Grass, Special); Sleep Powder (Grass, Status); Bind (Normal, Physical)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,base,,5440,,3,2,Weepinbell,70,33,female,Grass,Poison,,"Mega Drain (Grass, Special); Poison Jab (Poison, Physical)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,base,,5440,,3,3,Vileplume,45,34,female,Grass,Poison,,"Mega Drain (Grass, Special); Moonblast (Fairy, Special)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Tangela,114,56,female,Grass,,,"Mega Drain (Grass, Special); Sludge Bomb (Poison, Special); Reflect (Psychic, Status); Power Whip (Grass, Physical)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Parasect,47,56,female,Bug,Grass,,"Solar Beam (Grass, Special); Brick Break (Fighting, Physical); Leech Life (Bug, Physical); Spore (Grass, Status)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Exeggutor,103,56,female,Grass,Psychic,,"Solar Beam (Grass, Special); Sludge Bomb (Poison, Special); Hyper Beam (Normal, Special); Psychic (Psychic, Special)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Victreebel,71,56,female,Grass,Poison,,"Power Whip (Grass, Physical); Poison Jab (Poison, Physical); Reflect (Psychic, Status); Swords Dance (Normal, Status)",,Celadon Gym,bulbapedia
kanto,Celadon City,Celadon Gym,,,leader,Gym Leader,Erika,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Vileplume,45,57,female,Grass,Poison,,"Moonblast (Fairy, Special); Petal Dance (Grass, Special); Sludge Bomb (Poison, Special); Stun Spore (Grass, Status)",,Celadon Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,FRLG,firered-leafgreen,1,base,,4300,,4,1,Koffing,109,37,male,Poison,,Levitate,Selfdestruct (Normal); Sludge (Poison); SmokeScreen (Normal); Toxic (Poison),,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,FRLG,firered-leafgreen,1,base,,4300,,4,2,Muk,89,39,male,Poison,,Sticky Hold,Minimize (Normal); Sludge (Poison); Acid Armor (Poison); Toxic (Poison),,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,FRLG,firered-leafgreen,1,base,,4300,,4,3,Koffing,109,37,male,Poison,,Levitate,Selfdestruct (Normal); Sludge (Poison); SmokeScreen (Normal); Toxic (Poison),,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,FRLG,firered-leafgreen,1,base,,4300,,4,4,Weezing,110,43,male,Poison,,Levitate,Tackle (Normal); Sludge (Poison); SmokeScreen (Normal); Toxic (Poison),,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,1,Weezing,110,43,male,Poison,,,"Toxic (Poison, Status); Protect (Normal, Status); Sludge Bomb (Poison, Special); Explosion (Normal, Physical)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,2,Muk,89,43,male,Poison,,,"Toxic (Poison, Status); Protect (Normal, Status); Sludge Bomb (Poison, Special); Moonblast (Fairy, Special)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,3,Golbat,42,43,female,Poison,Flying,,"Toxic (Poison, Status); Protect (Normal, Status); Fly (Flying, Physical); Leech Life (Bug, Physical)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,4,Venomoth,49,44,male,Bug,Poison,,"Sludge Bomb (Poison, Special); Protect (Normal, Status); Psychic (Psychic, Special); Bug Buzz (Bug, Special)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Tentacruel,73,56,female,Water,Poison,,"Toxic (Poison, Status); Hydro Pump (Water, Special); Sludge Bomb (Poison, Special); Mega Drain (Grass, Special)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Weezing,110,56,male,Poison,,,"Toxic (Poison, Status); Sludge Bomb (Poison, Special); Fire Blast (Fire, Special); Thunder (Electric, Special)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Golbat,42,56,female,Poison,Flying,,"Crunch (Dark, Physical); U-turn (Bug, Physical); Fly (Flying, Physical); Leech Life (Bug, Physical)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Venomoth,49,56,male,Bug,Poison,,"Sludge Bomb (Poison, Special); Mega Drain (Grass, Special); Psychic (Psychic, Special); Bug Buzz (Bug, Special)",,Fuchsia Gym,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,,,leader,Gym Leader,Koga,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Muk,89,57,male,Poison,,,"Dark Pulse (Dark, Special); Sludge Bomb (Poison, Special); Mega Drain (Grass, Special); Moonblast (Fairy, Special)",,Fuchsia Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,FRLG,firered-leafgreen,1,base,,4300,,4,1,Kadabra,64,38,male,Psychic,,Synchronize,Psybeam (Psychic); Reflect (Psychic); Future Sight (Psychic); Calm Mind (Psychic),,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,FRLG,firered-leafgreen,1,base,,4300,,4,2,Mr. Mime,122,37,female,Psychic,,Soundproof,Barrier (Psychic); Psybeam (Psychic); Baton Pass (Normal); Calm Mind (Psychic),,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,FRLG,firered-leafgreen,1,base,,4300,,4,3,Venomoth,49,38,female,Bug,Poison,Shield Dust,Psybeam (Psychic); Gust (Flying); Leech Life (Bug); Supersonic (Normal),,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,FRLG,firered-leafgreen,1,base,,4300,,4,4,Alakazam,65,43,male,Psychic,,Synchronize,Psychic (Psychic); Recover (Normal); Future Sight (Psychic); Calm Mind (Psychic),,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,1,Mr. Mime,122,43,male,Psychic,Fairy,,"Psychic (Psychic, Special); Reflect (Psychic, Status); Light Screen (Psychic, Status); Double Slap (Normal, Physical)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,2,Slowbro,80,43,female,Water,Psychic,,"Psychic (Psychic, Special); Yawn (Normal, Status); Surf (Water, Special); Calm Mind (Psychic, Status)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,3,Jynx,124,43,female,Ice,Psychic,,"Psychic (Psychic, Special); Lovely Kiss (Normal, Status); Ice Punch (Ice, Physical)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,base,,7040,,4,4,Alakazam,65,44,male,Psychic,,,"Psychic (Psychic, Special); Night Shade (Ghost, Special)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Mr. Mime,122,56,male,Psychic,Fairy,,"Psychic (Psychic, Special); Dazzling Gleam (Fairy, Special); Reflect (Psychic, Status); Light Screen (Psychic, Status)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Jynx,124,56,female,Ice,Psychic,,"Psychic (Psychic, Special); Blizzard (Ice, Special); Shadow Ball (Ghost, Special); Lovely Kiss (Normal, Status)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Hypno,97,56,male,Psychic,,,"Dream Eater (Psychic, Special); Hypnosis (Psychic, Status); Thunder Punch (Electric, Physical); Fire Punch (Fire, Physical)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Slowbro,80,56,female,Water,Psychic,,"Psychic (Psychic, Special); Ice Beam (Ice, Special); Shadow Ball (Ghost, Special); Scald (Water, Special)",,Saffron Gym,bulbapedia
kanto,Saffron City,Saffron Gym,,,leader,Gym Leader,Sabrina,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Alakazam,65,57,male,Psychic,,,"Psychic (Psychic, Special); Dazzling Gleam (Fairy, Special); Shadow Ball (Ghost, Special); Tri Attack (Normal, Special)",,Saffron Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,FRLG,firered-leafgreen,1,base,,4700,,4,1,Growlithe,58,42,male,Fire,,Intimidate,Bite (Dark); Roar (Normal); Take Down (Normal); Fire Blast (Fire),,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,FRLG,firered-leafgreen,1,base,,4700,,4,2,Ponyta,77,40,male,Fire,,Flash Fire,Stomp (Normal); Bounce (Flying); Fire Spin (Fire); Fire Blast (Fire),,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,FRLG,firered-leafgreen,1,base,,4700,,4,3,Rapidash,78,42,male,Fire,,Flash Fire,Stomp (Normal); Bounce (Flying); Fire Spin (Fire); Fire Blast (Fire),,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,FRLG,firered-leafgreen,1,base,,4700,,4,4,Arcanine,59,47,male,Fire,,Intimidate,Bite (Dark); Roar (Normal); Take Down (Normal); Fire Blast (Fire),,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,base,,7680,,4,1,Magmar,126,47,male,Fire,,,"Flamethrower (Fire, Special); Low Kick (Fighting, Physical); Confuse Ray (Ghost, Status)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,base,,7680,,4,2,Rapidash,78,47,male,Fire,,,"Flare Blitz (Fire, Physical); Quick Attack (Normal, Physical); Fury Attack (Normal, Physical)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,base,,7680,,4,3,Ninetales,38,47,female,Fire,,,"Fire Blast (Fire, Special); Quick Attack (Normal, Physical)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,base,,7680,,4,4,Arcanine,59,48,male,Fire,,,"Flare Blitz (Fire, Physical); Outrage (Dragon, Physical); Crunch (Dark, Physical)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Magmar,126,56,male,Fire,,,"Fire Punch (Fire, Physical); Thunder Punch (Electric, Physical); Brick Break (Fighting, Physical); Will-O-Wisp (Fire, Status)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Rapidash,78,56,male,Fire,,,"Flare Blitz (Fire, Physical); Quick Attack (Normal, Physical); Megahorn (Bug, Physical); Drill Run (Ground, Physical)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Ninetales,38,56,female,Fire,,,"Fire Blast (Fire, Special); Quick Attack (Normal, Physical); Dark Pulse (Dark, Special); Solar Beam (Grass, Special)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Flareon,136,56,male,Fire,,,"Flare Blitz (Fire, Physical); Quick Attack (Normal, Physical); Superpower (Fighting, Physical); Iron Tail (Steel, Physical)",,Cinnabar Gym,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,,,leader,Gym Leader,Blaine,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Arcanine,59,57,male,Fire,,,"Flare Blitz (Fire, Physical); Outrage (Dragon, Physical); Crunch (Dark, Physical); Play Rough (Fairy, Physical)",,Cinnabar Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,FRLG,firered-leafgreen,1,base,,5000,,5,1,Rhyhorn,111,45,male,Ground,Rock,Lightningrod,Take Down (Normal); Rock Blast (Rock); Scary Face (Normal); Earthquake (Ground),,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,FRLG,firered-leafgreen,1,base,,5000,,5,2,Dugtrio,51,42,male,Ground,,Sand Veil,Slash (Normal); Sand Tomb (Ground); Mud-Slap (Ground); Earthquake (Ground),,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,FRLG,firered-leafgreen,1,base,,5000,,5,3,Nidoqueen,31,44,female,Poison,Ground,Poison Point,Double Kick (Fighting); Earthquake (Ground); Poison Sting (Poison); Body Slam (Normal),,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,FRLG,firered-leafgreen,1,base,,5000,,5,4,Nidoking,34,45,male,Poison,Ground,Poison Point,Double Kick (Fighting); Earthquake (Ground); Poison Sting (Poison); Thrash (Normal),,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,FRLG,firered-leafgreen,1,base,,5000,,5,5,Rhyhorn,111,50,male,Ground,Rock,Lightningrod,Take Down (Normal); Rock Blast (Rock); Scary Face (Normal); Earthquake (Ground),,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,PE,lets-go-pikachu-lets-go-eevee,0,base,,8000,,4,1,Dugtrio,51,49,male,Ground,,,"Slash (Normal, Physical); Sucker Punch (Dark, Physical); Earthquake (Ground, Physical)",,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,PE,lets-go-pikachu-lets-go-eevee,0,base,,8000,,4,2,Nidoqueen,31,49,female,Poison,Ground,,"Super Fang (Normal, Physical); Earthquake (Ground, Physical); Crunch (Dark, Physical)",,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,PE,lets-go-pikachu-lets-go-eevee,0,base,,8000,,4,3,Nidoking,34,49,male,Poison,Ground,,"Megahorn (Bug, Physical); Earthquake (Ground, Physical); Poison Jab (Poison, Physical); Horn Drill (Normal, Physical)",,Viridian Gym,bulbapedia
kanto,Viridian City,Viridian Gym,,,leader,Gym Leader,Giovanni,PE,lets-go-pikachu-lets-go-eevee,0,base,,8000,,4,4,Rhydon,112,50,male,Ground,Rock,,"Earthquake (Ground, Physical); Rock Slide (Rock, Physical); Megahorn (Bug, Physical)",,Viridian Gym,bulbapedia
