species,pokedex,number
35,national,35
35,kanto,35
35,original-johto,41
35,original-sinnoh,100
35,extended-sinnoh,100
35,updated-johto,41
35,updated-unova,89
35,original-alola,211
35,original-ulaula,83
35,updated-alola,273
35,updated-ulaula,94
35,letsgo-kanto,35
35,galar,255
35,crown-tundra,44
35,hisui,200
35,kitakami,152
35,lumiose-city,56
36,national,36
36,kanto,36
36,original-johto,42
36,original-sinnoh,101
36,extended-sinnoh,101
36,updated-johto,42
36,updated-unova,90
36,original-alola,212
36,original-ulaula,84
36,updated-alola,274
36,updated-ulaula,95
36,letsgo-kanto,36
36,galar,256
36,crown-tundra,45
36,hisui,201
36,kitakami,153
36,lumiose-city,57
36,champions,36
37,national,37
37,kanto,37
37,original-johto,125
37,hoenn,153
37,updated-johto,127
37,updated-unova,248
37,updated-hoenn,160
37,original-alola,253
37,original-ulaula,125
37,updated-alola,330
37,updated-ulaula,151
37,letsgo-kanto,37
37,galar,68
37,hisui,168
37,kitakami,37
37,blueberry,157
38,national,38
38,kanto,38
38,original-johto,126
38,hoenn,154
38,updated-johto,128
38,updated-unova,249
38,updated-hoenn,161
38,original-alola,254
38,original-ulaula,126
38,updated-alola,331
38,updated-ulaula,152
38,letsgo-kanto,38
38,galar,69
38,hisui,169
38,kitakami,38
38,blueberry,158
38,champions,38
39,national,39
39,kanto,39
39,original-johto,44
39,hoenn,138
39,updated-johto,44
39,updated-unova,282
39,conquest-gallery,21
39,kalos-mountain,120
39,updated-hoenn,143
39,original-alola,135
39,original-akala,62
39,updated-alola,168
39,updated-akala,69
39,letsgo-kanto,39
39,isle-of-armor,12
39,paldea,60
39,hyperspace,77
40,national,40
40,kanto,40
40,original-johto,45
40,hoenn,139
40,updated-johto,45
40,updated-unova,283
40,conquest-gallery,22
40,kalos-mountain,121
40,updated-hoenn,144
40,original-alola,136
40,original-akala,63
40,updated-alola,169
40,updated-akala,70
40,letsgo-kanto,40
40,isle-of-armor,13
40,paldea,61
40,hyperspace,78
41,national,41
41,kanto,41
41,original-johto,37
41,hoenn,63
41,original-sinnoh,28
41,extended-sinnoh,28
41,updated-johto,37
41,updated-unova,61
41,conquest-gallery,23
41,kalos-central,145
41,updated-hoenn,65
41,original-alola,68
41,original-melemele,68
41,original-akala,26
41,original-ulaula,35
41,original-poni,19
41,updated-alola,80
41,updated-melemele,80
41,updated-akala,26
41,updated-ulaula,35
41,updated-poni,26
41,letsgo-kanto,41
41,crown-tundra,144
41,hisui,34
41,hyperspace,94
42,national,42
42,kanto,42
42,original-johto,38
42,hoenn,64
42,original-sinnoh,29
42,extended-sinnoh,29
42,updated-johto,38
42,updated-unova,62
42,conquest-gallery,24
42,kalos-central,146
42,updated-hoenn,66
42,original-alola,69
42,original-melemele,69
42,original-akala,27
42,original-ulaula,36
42,original-poni,20
42,updated-alola,81
42,updated-melemele,81
42,updated-akala,27
42,updated-ulaula,36
42,updated-poni,27
42,letsgo-kanto,42
42,crown-tundra,145
42,hisui,35
42,hyperspace,95
43,national,43
43,kanto,43
43,original-johto,83
43,hoenn,88
43,updated-johto,83
43,kalos-central,105
43,updated-hoenn,91
43,letsgo-kanto,43
43,galar,55
43,blueberry,62
44,national,44
44,kanto,44
44,original-johto,84
44,hoenn,89
44,updated-johto,84
44,kalos-central,106
44,updated-hoenn,92
44,letsgo-kanto,44
44,galar,56
44,blueberry,63
45,national,45
45,kanto,45
45,original-johto,85
45,hoenn,90
45,updated-johto,85
45,kalos-central,107
45,updated-hoenn,93
45,letsgo-kanto,45
45,galar,57
45,blueberry,64
45,champions,45
46,national,46
46,kanto,46
46,original-johto,70
46,updated-johto,70
46,original-alola,147
46,original-akala,74
46,original-ulaula,66
46,updated-alola,180
46,updated-akala,81
46,updated-ulaula,72
46,letsgo-kanto,46
46,hisui,53
47,national,47
47,kanto,47
47,original-johto,71
47,updated-johto,71
47,original-alola,148
47,original-akala,75
47,original-ulaula,67
47,updated-alola,181
47,updated-akala,82
47,updated-ulaula,73
47,letsgo-kanto,47
47,hisui,54
48,national,48
48,kanto,48
48,original-johto,108
48,updated-johto,109
48,letsgo-kanto,48
48,paldea,256
48,blueberry,8
49,national,49
49,kanto,49
49,original-johto,109
49,updated-johto,110
49,letsgo-kanto,49
49,paldea,257
49,blueberry,9
50,national,50
50,kanto,50
50,original-johto,132
50,updated-johto,134
50,kalos-mountain,1
50,original-alola,71
50,original-melemele,71
50,original-akala,29
50,original-ulaula,38
50,original-poni,22
50,updated-alola,85
50,updated-melemele,85
50,updated-akala,29
50,updated-ulaula,38
50,updated-poni,31
50,letsgo-kanto,50
50,galar,164
50,paldea,148
50,blueberry,66
51,national,51
51,kanto,51
51,original-johto,133
51,updated-johto,135
51,kalos-mountain,2
51,original-alola,72
51,original-melemele,72
51,original-akala,30
51,original-ulaula,39
51,original-poni,23
51,updated-alola,86
51,updated-melemele,86
51,updated-akala,30
51,updated-ulaula,39
51,updated-poni,32
51,letsgo-kanto,51
51,galar,165
51,paldea,149
51,blueberry,67
52,national,52
52,kanto,52
52,original-johto,136
52,updated-johto,138
52,conquest-gallery,58
52,original-alola,45
52,original-melemele,45
52,original-ulaula,23
52,updated-alola,52
52,updated-melemele,52
52,updated-ulaula,23
52,letsgo-kanto,52
52,galar,182
52,paldea,141
52,hyperspace,4
53,national,53
53,kanto,53
53,original-johto,137
53,updated-johto,139
53,conquest-gallery,59
53,original-alola,46
53,original-melemele,46
53,original-ulaula,24
53,updated-alola,53
53,updated-melemele,53
53,updated-ulaula,24
53,letsgo-kanto,53
53,galar,184
53,paldea,142
53,hyperspace,5
54,national,54
54,kanto,54
54,original-johto,138
54,hoenn,158
54,original-sinnoh,43
54,extended-sinnoh,43
54,updated-johto,140
54,updated-unova,28
54,kalos-central,59
54,updated-hoenn,165
54,original-alola,89
54,original-melemele,89
54,original-akala,32
54,original-ulaula,49
54,original-poni,39
54,updated-alola,107
54,updated-melemele,107
54,updated-akala,32
54,updated-ulaula,52
54,updated-poni,51
54,letsgo-kanto,54
54,isle-of-armor,146
54,hisui,68
54,paldea,55
55,national,55
55,kanto,55
55,original-johto,139
55,hoenn,159
55,original-sinnoh,44
55,extended-sinnoh,44
55,updated-johto,141
55,updated-unova,29
55,kalos-central,60
55,updated-hoenn,166
55,original-alola,90
55,original-melemele,90
55,original-akala,33
55,original-ulaula,50
55,original-poni,40
55,updated-alola,108
55,updated-melemele,108
55,updated-akala,33
55,updated-ulaula,53
55,updated-poni,52
55,letsgo-kanto,55
55,isle-of-armor,147
55,hisui,69
55,paldea,56
56,national,56
56,kanto,56
56,original-johto,134
56,updated-johto,136
56,original-alola,79
56,original-melemele,79
56,original-poni,30
56,updated-alola,93
56,updated-melemele,93
56,updated-poni,39
56,letsgo-kanto,56
56,paldea,158
56,kitakami,99
56,hyperspace,1
57,national,57
57,kanto,57
57,original-johto,135
57,updated-johto,137
57,original-alola,80
57,original-melemele,80
57,original-poni,31
57,updated-alola,94
57,updated-melemele,94
57,updated-poni,40
57,letsgo-kanto,57
57,paldea,159
57,kitakami,100
57,hyperspace,2
58,national,58
58,kanto,58
58,original-johto,127
58,updated-johto,129
58,updated-unova,51
58,original-alola,52
58,original-melemele,52
58,updated-alola,64
58,updated-melemele,64
58,letsgo-kanto,58
58,galar,70
58,hisui,150
58,paldea,213
58,kitakami,78
59,national,59
59,kanto,59
59,original-johto,128
59,updated-johto,130
59,updated-unova,52
59,original-alola,53
59,original-melemele,53
59,updated-alola,65
59,updated-melemele,65
59,letsgo-kanto,59
59,galar,71
59,hisui,151
59,paldea,214
59,kitakami,79
59,champions,59
60,national,60
60,kanto,60
60,original-johto,72
60,updated-johto,72
60,kalos-mountain,33
60,original-alola,149
60,original-akala,76
60,original-ulaula,68
60,updated-alola,182
60,updated-akala,83
60,updated-ulaula,74
60,letsgo-kanto,60
60,isle-of-armor,142
60,kitakami,39
61,national,61
61,kanto,61
61,original-johto,73
61,updated-johto,73
61,kalos-mountain,34
61,original-alola,150
61,original-akala,77
61,original-ulaula,69
61,updated-alola,183
61,updated-akala,84
61,updated-ulaula,75
61,letsgo-kanto,61
61,isle-of-armor,143
61,kitakami,40
62,national,62
62,kanto,62
62,original-johto,74
62,updated-johto,74
62,kalos-mountain,35
62,original-alola,151
62,original-akala,78
62,original-ulaula,70
62,updated-alola,184
62,updated-akala,85
62,updated-ulaula,76
62,letsgo-kanto,62
62,isle-of-armor,144
62,kitakami,41
63,national,63
63,kanto,63
63,original-johto,89
63,hoenn,39
63,original-sinnoh,20
63,extended-sinnoh,20
63,updated-johto,89
63,conquest-gallery,127
63,kalos-central,102
63,updated-hoenn,40
63,original-alola,42
63,original-melemele,42
63,updated-alola,49
63,updated-melemele,49
63,letsgo-kanto,63
63,isle-of-armor,31
63,hisui,58
63,lumiose-city,62
64,national,64
64,kanto,64
64,original-johto,90
64,hoenn,40
64,original-sinnoh,21
64,extended-sinnoh,21
64,updated-johto,90
64,conquest-gallery,128
64,kalos-central,103
64,updated-hoenn,41
64,original-alola,43
64,original-melemele,43
64,updated-alola,50
64,updated-melemele,50
64,letsgo-kanto,64
64,isle-of-armor,32
64,hisui,59
64,lumiose-city,63
65,national,65
65,kanto,65
65,original-johto,91
65,hoenn,41
65,original-sinnoh,22
65,extended-sinnoh,22
65,updated-johto,91
65,conquest-gallery,129
65,kalos-central,104
65,updated-hoenn,42
65,original-alola,44
65,original-melemele,44
65,updated-alola,51
65,updated-melemele,51
65,letsgo-kanto,65
65,isle-of-armor,33
65,hisui,60
65,lumiose-city,64
65,champions,65
66,national,66
66,kanto,66
66,original-johto,140
66,hoenn,73
66,original-sinnoh,40
66,extended-sinnoh,40
66,updated-johto,142
66,conquest-gallery,98
66,kalos-coastal,57
66,updated-hoenn,75
66,original-alola,95
66,original-melemele,95
66,original-poni,45
66,updated-alola,117
66,updated-melemele,117
66,updated-poni,57
66,letsgo-kanto,66
66,galar,138
66,hisui,154
66,lumiose-city,125
67,national,67
67,kanto,67
67,original-johto,141
67,hoenn,74
67,original-sinnoh,41
67,extended-sinnoh,41
67,updated-johto,143
67,conquest-gallery,99
67,kalos-coastal,58
67,updated-hoenn,76
67,original-alola,96
67,original-melemele,96
67,original-poni,46
67,updated-alola,118
67,updated-melemele,118
67,updated-poni,58
67,letsgo-kanto,67
67,galar,139
67,hisui,155
67,lumiose-city,126
68,national,68
68,kanto,68
68,original-johto,142
68,hoenn,75
68,original-sinnoh,42
68,extended-sinnoh,42
68,updated-johto,144
68,conquest-gallery,100
68,kalos-coastal,59
68,updated-hoenn,77
68,original-alola,97
68,original-melemele,97
68,original-poni,47
68,updated-alola,119
68,updated-melemele,119
68,updated-poni,59
68,letsgo-kanto,68
68,galar,140
68,hisui,156
68,lumiose-city,127
68,champions,68
69,national,69
69,kanto,69
69,original-johto,64
69,updated-johto,64
69,kalos-mountain,26
69,letsgo-kanto,69
69,kitakami,23
69,lumiose-city,74
70,national,70
70,kanto,70
70,original-johto,65
70,updated-johto,65
70,kalos-mountain,27
70,letsgo-kanto,70
70,kitakami,24
70,lumiose-city,75
71,national,71
71,kanto,71
71,original-johto,66
71,updated-johto,66
71,kalos-mountain,28
71,letsgo-kanto,71
71,kitakami,25
71,lumiose-city,76
71,champions,71
72,national,72
72,kanto,72
72,original-johto,162
72,hoenn,66
72,original-sinnoh,136
72,extended-sinnoh,136
72,updated-johto,164
72,kalos-coastal,25
72,updated-hoenn,68
72,original-alola,106
72,original-melemele,106
72,original-akala,38
72,original-ulaula,53
72,original-poni,55
72,updated-alola,129
72,updated-melemele,129
72,updated-akala,38
72,updated-ulaula,56
72,updated-poni,67
72,letsgo-kanto,72
72,isle-of-armor,40
72,hisui,170
72,blueberry,50
73,national,73
73,kanto,73
73,original-johto,163
73,hoenn,67
73,original-sinnoh,137
73,extended-sinnoh,137
73,updated-johto,165
73,kalos-coastal,26
73,updated-hoenn,69
73,original-alola,107
73,original-melemele,107
73,original-akala,39
73,original-ulaula,54
73,original-poni,56
73,updated-alola,130
73,updated-melemele,130
73,updated-akala,39
73,updated-ulaula,57
73,updated-poni,68
73,letsgo-kanto,73
73,isle-of-armor,41
73,hisui,171
73,blueberry,51
74,national,74
74,kanto,74
74,original-johto,34
74,hoenn,57
74,original-sinnoh,31
74,extended-sinnoh,31
74,updated-johto,34
74,kalos-mountain,9
74,updated-hoenn,58
74,original-alola,229
74,original-ulaula,101
74,updated-alola,298
74,updated-ulaula,119
74,letsgo-kanto,74
74,hisui,46
74,kitakami,80
74,blueberry,96
75,national,75
75,kanto,75
75,original-johto,35
75,hoenn,58
75,original-sinnoh,32
75,extended-sinnoh,32
75,updated-johto,35
75,kalos-mountain,10
75,updated-hoenn,59
75,original-alola,230
75,original-ulaula,102
75,updated-alola,299
75,updated-ulaula,120
75,letsgo-kanto,75
75,hisui,47
75,kitakami,81
75,blueberry,97
76,national,76
76,kanto,76
76,original-johto,36
76,hoenn,59
76,original-sinnoh,33
76,extended-sinnoh,33
76,updated-johto,36
76,kalos-mountain,11
76,updated-hoenn,60
76,original-alola,231
76,original-ulaula,103
76,updated-alola,300
76,updated-ulaula,121
76,letsgo-kanto,76
76,hisui,48
76,kitakami,82
76,blueberry,98
77,national,77
77,kanto,77
77,original-johto,201
77,original-sinnoh,90
77,extended-sinnoh,90
77,updated-johto,206
77,letsgo-kanto,77
77,galar,333
77,crown-tundra,105
77,hisui,23
78,national,78
78,kanto,78
78,original-johto,202
78,original-sinnoh,91
78,extended-sinnoh,91
78,updated-johto,207
78,letsgo-kanto,78
78,galar,334
78,crown-tundra,106
78,hisui,24
79,national,79
79,kanto,79
79,original-johto,80
79,updated-johto,80
79,kalos-coastal,133
79,original-alola,37
79,original-melemele,37
79,original-ulaula,18
79,updated-alola,44
79,updated-melemele,44
79,updated-ulaula,18
79,letsgo-kanto,79
79,isle-of-armor,1
79,paldea,324
79,blueberry,75
79,lumiose-city,137
80,national,80
80,kanto,80
80,original-johto,81
80,updated-johto,81
80,kalos-coastal,134
80,original-alola,38
80,original-melemele,38
80,original-ulaula,19
80,updated-alola,45
80,updated-melemele,45
80,updated-ulaula,19
80,letsgo-kanto,80
80,isle-of-armor,2
80,paldea,325
80,blueberry,76
80,lumiose-city,138
80,champions,80
81,national,81
81,kanto,81
81,original-johto,118
81,hoenn,82
81,extended-sinnoh,178
81,updated-johto,119
81,updated-unova,48
81,kalos-mountain,69
81,updated-hoenn,84
81,original-alola,47
81,original-melemele,47
81,original-ulaula,25
81,updated-alola,54
81,updated-melemele,54
81,updated-ulaula,25
81,letsgo-kanto,81
81,isle-of-armor,105
81,hisui,177
81,paldea,209
81,blueberry,116
82,national,82
82,kanto,82
82,original-johto,119
82,hoenn,83
82,extended-sinnoh,179
82,updated-johto,120
82,updated-unova,49
82,kalos-mountain,70
82,updated-hoenn,85
82,original-alola,48
82,original-melemele,48
82,original-ulaula,26
82,updated-alola,55
82,updated-melemele,55
82,updated-ulaula,26
82,letsgo-kanto,82
82,isle-of-armor,106
82,hisui,178
82,paldea,210
82,blueberry,117
83,national,83
83,kanto,83
83,original-johto,158
83,updated-johto,160
83,kalos-central,61
83,letsgo-kanto,83
83,galar,218
83,hyperspace,7
84,national,84
84,kanto,84
84,original-johto,199
84,hoenn,92
84,updated-johto,204
84,kalos-central,94
84,updated-hoenn,95
84,letsgo-kanto,84
84,blueberry,1
85,national,85
85,kanto,85
85,original-johto,200
85,hoenn,93
85,updated-johto,205
85,kalos-central,95
85,updated-hoenn,96
85,letsgo-kanto,85
85,blueberry,2
86,national,86
86,kanto,86
86,original-johto,176
86,updated-johto,178
86,updated-unova,265
86,updated-alola,115
86,updated-melemele,115
86,letsgo-kanto,86
86,blueberry,143
87,national,87
87,kanto,87
87,original-johto,177
87,updated-johto,179
87,updated-unova,266
87,updated-alola,116
87,updated-melemele,116
87,letsgo-kanto,87
87,blueberry,144
88,national,88
88,kanto,88
88,original-johto,116
88,hoenn,106
88,updated-johto,117
88,updated-unova,64
88,updated-hoenn,111
88,original-alola,50
88,original-melemele,50
88,original-ulaula,28
88,updated-alola,57
88,updated-melemele,57
88,updated-ulaula,28
88,letsgo-kanto,88
88,paldea,194
88,blueberry,68
89,national,89
89,kanto,89
89,original-johto,117
89,hoenn,107
89,updated-johto,118
89,updated-unova,65
89,updated-hoenn,112
89,original-alola,51
89,original-melemele,51
89,original-ulaula,29
89,updated-alola,58
89,updated-melemele,58
89,updated-ulaula,29
89,letsgo-kanto,89
89,paldea,195
89,blueberry,69
90,national,90
90,kanto,90
90,original-johto,169
90,updated-johto,171
90,kalos-coastal,36
90,original-alola,115
90,original-melemele,115
90,updated-alola,138
90,updated-melemele,138
90,letsgo-kanto,90
90,galar,150
90,isle-of-armor,131
90,paldea,329
91,national,91
91,kanto,91
91,original-johto,170
91,updated-johto,172
91,kalos-coastal,37
91,original-alola,116
91,original-melemele,116
91,updated-alola,139
91,updated-melemele,139
91,letsgo-kanto,91
91,galar,151
91,isle-of-armor,132
91,paldea,330
92,national,92
92,kanto,92
92,original-johto,58
92,original-sinnoh,69
92,extended-sinnoh,69
92,updated-johto,58
92,conquest-gallery,112
92,kalos-mountain,30
92,original-alola,61
92,original-melemele,61
92,original-akala,23
92,original-ulaula,32
92,updated-alola,73
92,updated-melemele,73
92,updated-akala,23
92,updated-ulaula,32
92,letsgo-kanto,92
92,galar,141
92,hisui,136
92,paldea,68
92,kitakami,118
92,lumiose-city,65
93,national,93
93,kanto,93
93,original-johto,59
93,original-sinnoh,70
93,extended-sinnoh,70
93,updated-johto,59
93,conquest-gallery,113
93,kalos-mountain,31
93,original-alola,62
93,original-melemele,62
93,original-akala,24
93,original-ulaula,33
93,updated-alola,74
93,updated-melemele,74
93,updated-akala,24
93,updated-ulaula,33
93,letsgo-kanto,93
93,galar,142
93,hisui,137
93,paldea,69
93,kitakami,119
93,lumiose-city,66
94,national,94
94,kanto,94
94,original-johto,60
94,original-sinnoh,71
94,extended-sinnoh,71
94,updated-johto,60
94,conquest-gallery,114
94,kalos-mountain,32
94,original-alola,63
94,original-melemele,63
94,original-akala,25
94,original-ulaula,34
94,updated-alola,75
94,updated-melemele,75
94,updated-akala,25
94,updated-ulaula,34
94,letsgo-kanto,94
94,galar,143
94,hisui,138
94,paldea,70
94,kitakami,120
94,lumiose-city,67
94,champions,94
95,national,95
95,kanto,95
95,original-johto,62
95,original-sinnoh,34
95,extended-sinnoh,34
95,updated-johto,62
95,updated-unova,71
95,conquest-gallery,175
95,kalos-coastal,53
95,letsgo-kanto,95
95,galar,178
95,hisui,118
95,lumiose-city,197
96,national,96
96,kanto,96
96,original-johto,87
96,updated-johto,87
96,original-alola,54
96,original-melemele,54
96,original-poni,13
96,updated-alola,66
96,updated-melemele,66
96,updated-poni,20
96,letsgo-kanto,96
96,paldea,66
97,national,97
97,kanto,97
97,original-johto,88
97,updated-johto,88
97,original-alola,55
97,original-melemele,55
97,original-poni,14
97,updated-alola,67
97,updated-melemele,67
97,updated-poni,21
97,letsgo-kanto,97
97,paldea,67
98,national,98
98,kanto,98
98,original-johto,164
98,updated-johto,166
98,letsgo-kanto,98
98,galar,98
98,isle-of-armor,38
99,national,99
99,kanto,99
99,original-johto,165
99,updated-johto,167
99,letsgo-kanto,99
99,galar,99
99,isle-of-armor,39
100,national,100
100,kanto,100
100,original-johto,120
100,hoenn,84
100,updated-johto,121
100,kalos-mountain,72
100,updated-hoenn,87
100,letsgo-kanto,100
100,hisui,192
100,paldea,207
101,national,101
101,kanto,101
101,original-johto,121
101,hoenn,85
101,updated-johto,122
101,kalos-mountain,73
101,updated-hoenn,88
101,letsgo-kanto,101
101,hisui,193
101,paldea,208
102,national,102
102,kanto,102
102,original-johto,104
102,updated-johto,105
102,kalos-coastal,136
102,original-alola,269
102,original-poni,84
102,updated-alola,355
102,updated-poni,102
102,letsgo-kanto,102
102,isle-of-armor,205
102,blueberry,3
103,national,103
103,kanto,103
103,original-johto,105
103,updated-johto,106
103,kalos-coastal,137
103,original-alola,270
103,original-poni,85
103,updated-alola,356
103,updated-poni,103
103,letsgo-kanto,103
103,isle-of-armor,206
103,blueberry,4
104,national,104
104,kanto,104
104,original-johto,203
104,updated-johto,208
104,kalos-coastal,60
104,original-alola,163
104,original-akala,90
104,updated-alola,197
104,updated-akala,98
104,letsgo-kanto,104
104,isle-of-armor,170
104,hyperspace,9
105,national,105
105,kanto,105
105,original-johto,204
105,updated-johto,209
105,kalos-coastal,61
105,original-alola,164
105,original-akala,91
105,updated-alola,198
105,updated-akala,99
105,letsgo-kanto,105
105,isle-of-armor,171
105,hyperspace,10
106,national,106
