item,version_group,language,flavor_text
hyper-cheri-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. Its spicy kick is great when added to curries.
hyper-chesto-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. Its dry flavor offers a good balance when used in sweet cream.
hyper-chilan-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries and chocolate.
hyper-chople-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in meringue.
hyper-coba-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries.
hyper-colbur-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream and confitures.
hyper-grepa-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries.
hyper-haban-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream and meringue.
hyper-hondew-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream and confitures.
hyper-kasib-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in confitures.
hyper-kebia-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in chocolate.
hyper-kelpsy-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream and chocolate.
hyper-lum-berry,legends-za,en,"A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries, cream, meringue, and confitures."
hyper-occa-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in meringue.
hyper-oran-berry,legends-za,en,"A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries, meringue, chocolate, and confitures."
hyper-passho-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in chocolate.
hyper-payapa-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream.
hyper-pecha-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. Its sweet flavor makes it a great ingredient for meringue.
hyper-persim-berry,legends-za,en,"A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries, cream, chocolate, and confitures."
hyper-pomeg-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries and meringue.
hyper-qualot-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in meringue and confitures.
hyper-rawst-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. Its bitter bite works beautifully in chocolate.
hyper-rindo-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries.
hyper-roseli-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries and confitures.
hyper-shuca-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in confitures.
hyper-sitrus-berry,legends-za,en,"A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in curries, cream, meringue, and chocolate."
hyper-tamato-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream.
hyper-tanga-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in meringue.
hyper-wacan-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in confitures.
hyper-yache-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in cream.
hyperspace-butter,legends-za,en,"The absolute ultimate in butter, found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
ice-heal,legends-za,en,A spray-type medicine for treating freezing. It can be used to thaw out a Pokémon that has been frozen solid.
ice-stone,legends-za,en,A peculiar stone that can make certain species of Pokémon evolve. It has a snowflake pattern in it.
jaw-fossil,legends-za,en,A fossil from a prehistoric Pokémon that once lived on the land. It looks as if it could be a piece of a large jaw.
kangaskhanite,legends-za,en,One of a variety of mysterious Mega Stones. A Kangaskhan holding this stone will be able to Mega Evolve during battle.
key-to-room-202,legends-za,en,A key for room 202 at Hotel Z.
lab-key-card-a,legends-za,en,"A key card that can be used in Lysandre Labs. The locks were each programmed to take different keys for security purposes, but mostly it’s just an inconvenience."
lab-key-card-b,legends-za,en,"A key card that can be used in Lysandre Labs. The locks were each programmed to take different keys for security purposes, but mostly it’s just an inconvenience."
lab-key-card-c,legends-za,en,"A key card that can be used in Lysandre Labs. The locks were each programmed to take different keys for security purposes, but mostly it’s just an inconvenience."
lab-key-card-m,legends-za,en,---
lab-key-card-x,legends-za,en,---
latiasite,legends-za,en,One of a variety of mysterious Mega Stones. A Latias holding this stone will be able to Mega Evolve during battle.
latiosite,legends-za,en,One of a variety of mysterious Mega Stones. A Latios holding this stone will be able to Mega Evolve during battle.
lidas-things,legends-za,en,Lida's accessories and other items that she uses when practicing dance. They're kept in a small pouch that was handmade by Naveen.
lopunnite,legends-za,en,One of a variety of mysterious Mega Stones. A Lopunny holding this stone will be able to Mega Evolve during battle.
love-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Pokémon of the opposite gender to your own Pokémon.
lucarionite,legends-za,en,One of a variety of mysterious Mega Stones. A Lucario holding this stone will be able to Mega Evolve during battle.
lucarionite-z,legends-za,en,One of a variety of mysterious Mega Stones. A Lucario holding this stone will be able to Mega Evolve during battle.
lumiose-galette,legends-za,en,A popular treat in Lumiose City. It can be used to cure any status condition a Pokémon may have.
lumiosian-butter,legends-za,en,"Some of the absolute best butter produced in the Kalos region. Highly sought after by the cooks of Lumiose—if you know, you know. Makes for great donuts."
lure-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Pokémon in or on the water.
magearnite,legends-za,en,One of a variety of mysterious Mega Stones. A Magearna holding this stone will be able to Mega Evolve during battle.
malamarite,legends-za,en,One of a variety of mysterious Mega Stones. A Malamar holding this stone will be able to Mega Evolve during battle.
malicious-armor,legends-za,en,A peculiar set of armor that can make a certain species of Pokémon evolve. Malicious will lurks within it.
manectite,legends-za,en,One of a variety of mysterious Mega Stones. A Manectric holding this stone will be able to Mega Evolve during battle.
mawilite,legends-za,en,One of a variety of mysterious Mega Stones. A Mawile holding this stone will be able to Mega Evolve during battle.
medichamite,legends-za,en,One of a variety of mysterious Mega Stones. A Medicham holding this stone will be able to Mega Evolve during battle.
mega-ring,legends-za,en,This ring contains an unknown power that somehow enables a Pokémon carrying a Mega Stone to Mega Evolve in battle.
mega-shard,legends-za,en,A mysterious shard that can be found after smashing Mega Crystals using Pokémon moves. It seems that some people collect these shards.
meganiumite,legends-za,en,One of a variety of mysterious Mega Stones. A Meganium holding this stone will be able to Mega Evolve during battle.
meowsticite,legends-za,en,One of a variety of mysterious Mega Stones. A Meowstic holding this stone will be able to Mega Evolve during battle.
metagrossite,legends-za,en,One of a variety of mysterious Mega Stones. A Metagross holding this stone will be able to Mega Evolve during battle.
mewtwonite-x,legends-za,en,One of a variety of mysterious Mega Stones. A Mewtwo holding this stone will be able to Mega Evolve during battle.
mewtwonite-y,legends-za,en,One of a variety of mysterious Mega Stones. A Mewtwo holding this stone will be able to Mega Evolve during battle.
net-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Water- or Bug-type Pokémon.
nice-butter,legends-za,en,"A nice pack of butter found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
old-amber,legends-za,en,"A piece of amber that still contains the genetic material of a prehistoric Pokémon. It's clear with a tawny, reddish tint."
laorigin-ball,legends-za,en,A singular and irreplicable Poké Ball that can be used to catch the frenzied Pokémon raging at the Temple of Sinnoh.
paralyze-heal,legends-za,en,A spray-type medicine for treating paralysis. It can be used to free a Pokémon that has been paralyzed.
pearl-string,legends-za,en,Very large pearls that have a nice silvery sheen to them. They can be sold at a high price to shops.
pebble,legends-za,en,An ordinary pebble entrusted to you by the Pokémon known as Zygarde. It is completely unremarkable.
pidgeotite,legends-za,en,One of a variety of mysterious Mega Stones. A Pidgeot holding this stone will be able to Mega Evolve during battle.
pink-canari-plush-lv-1,legends-za,en,A plush doll of Canari that holds a pink charm. Having one of these increases the number of Mega Shards you'll find after smashing Mega Crystals by a little.
pink-canari-plush-lv-2,legends-za,en,A plush doll of Canari that holds a pink charm. Having one of these increases the number of Mega Shards you'll find after smashing Mega Crystals.
pink-canari-plush-lv-3,legends-za,en,A plush doll of Canari that holds a pink charm. Having one of these increases the number of Mega Shards you'll find after smashing Mega Crystals by a lot.
pinsirite,legends-za,en,One of a variety of mysterious Mega Stones. A Pinsir holding this stone will be able to Mega Evolve during battle.
popping-candy,legends-za,en,"A popular candy among the children of Lumiose. It pops in your mouth as if it's exploding, so you can enjoy a shocking experience while eating it."
prison-bottle,legends-za,en,"A bottle believed to have been used to seal away the power of a certain Pokémon long, long ago."
pyroarite,legends-za,en,One of a variety of mysterious Mega Stones. A Pyroar holding this stone will be able to Mega Evolve during battle.
quick-claw,legends-za,en,"This light, sharp claw lets the holder occasionally unleash a move faster than it usually would."
raichunite-x,legends-za,en,One of a variety of mysterious Mega Stones. A Raichu holding this stone will be able to Mega Evolve during battle.
raichunite-y,legends-za,en,One of a variety of mysterious Mega Stones. A Raichu holding this stone will be able to Mega Evolve during battle.
red-canari-plush-lv-1,legends-za,en,A plush doll of Canari that holds a red charm. Having one of these increases the Exp. Points your Pokémon get by a little.
red-canari-plush-lv-2,legends-za,en,A plush doll of Canari that holds a red charm. Having one of these increases the Exp. Points your Pokémon get.
red-canari-plush-lv-3,legends-za,en,A plush doll of Canari that holds a red charm. Having one of these increases the Exp. Points your Pokémon get by a lot.
revitalizing-twig,legends-za,en,A small twig that is beloved by Fennekin. It's said that chewing on one of these twigs can be both soothing and cheering.
rotom-catalog,legends-za,en,A catalog of devices that Rotom like. Use the catalog to have Rotom hop in and out of the various devices listed within.
sablenite,legends-za,en,One of a variety of mysterious Mega Stones. A Sableye holding this stone will be able to Mega Evolve during battle.
sachet,legends-za,en,A sachet filled with fragrant perfumes that are just slightly overwhelming. Yet it's loved by a certain Pokémon.
salamencite,legends-za,en,One of a variety of mysterious Mega Stones. A Salamence holding this stone will be able to Mega Evolve during battle.
sceptilite,legends-za,en,One of a variety of mysterious Mega Stones. A Sceptile holding this stone will be able to Mega Evolve during battle.
scizorite,legends-za,en,One of a variety of mysterious Mega Stones. A Scizor holding this stone will be able to Mega Evolve during battle.
scolipite,legends-za,en,One of a variety of mysterious Mega Stones. A Scolipede holding this stone will be able to Mega Evolve during battle.
scovillainite,legends-za,en,One of a variety of mysterious Mega Stones. A Scovillain holding this stone will be able to Mega Evolve during battle.
scraftinite,legends-za,en,One of a variety of mysterious Mega Stones. A Scrafty holding this stone will be able to Mega Evolve during battle.
seed-of-mastery,legends-za,en,A rare variety of seed. A certain person can help you upgrade your Pokémon's moves into Plus Moves if given one of these.
sharpedonite,legends-za,en,One of a variety of mysterious Mega Stones. A Sharpedo holding this stone will be able to Mega Evolve during battle.
shiny-charm,legends-za,en,Having one of these mysterious shining charms makes it more likely you'll encounter Shiny Pokémon in the wild.
shock-drive,legends-za,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Electric type.
skarmorite,legends-za,en,One of a variety of mysterious Mega Stones. A Skarmory holding this stone will be able to Mega Evolve during battle.
slowbronite,legends-za,en,"One of a variety of mysterious Mega Stones. A Slowbro holding this stone will be able to Mega Evolve during battle. It won't work for a Galarian Slowbro, however."
soothe-bell,legends-za,en,"An item to be held by a Pokémon. The comforting chime of this bell calms the holder, making it friendly."
staraptite,legends-za,en,One of a variety of mysterious Mega Stones. A Staraptor holding this stone will be able to Mega Evolve during battle.
starminite,legends-za,en,One of a variety of mysterious Mega Stones. A Starmie holding this stone will be able to Mega Evolve during battle.
steelixite,legends-za,en,One of a variety of mysterious Mega Stones. A Steelix holding this stone will be able to Mega Evolve during battle.
super-lumiose-galette,legends-za,en,A popular treat among certain residents of Lumiose City. This variety is baked to be incredibly firm so that one can savor the crunch.
supreme-butter,legends-za,en,"A supreme pack of butter found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
swampertite,legends-za,en,One of a variety of mysterious Mega Stones. A Swampert holding this stone will be able to Mega Evolve during battle.
tasty-trash,legends-za,en,"Food waste made up of cooking ingredients. Although they were thrown away after the best parts were used, some edible bits still remain."
tatsugirinite,legends-za,en,One of a variety of mysterious Mega Stones. A Tatsugiri holding this stone will be able to Mega Evolve during battle.
tm08,legends-za,en,A TM that teaches Thunder Wave.
tm41,legends-za,en,A TM that teaches Water Pulse.
tm51,legends-za,en,A TM that teaches the move Safeguard.
tm53,legends-za,en,A Technical Machine that teaches the move Sludge Bomb.
tm55,legends-za,en,A Technical Machine that teaches Giga Impact.
tm56,legends-za,en,A Technical Machine that teaches the move Double-Edge.
tm60,legends-za,en,A Technical Machine that teaches Future Sight.
tm67,legends-za,en,A Technical Machine that teaches Thunderbolt.
tm69,legends-za,en,A Technical Machine that teaches Earthquake.
tm71,legends-za,en,A Technical Machine that teaches Hyper Voice.
tm77,legends-za,en,A TM that teaches the move Poison Jab.
tm80,legends-za,en,A TM that teaches the move Iron Defense.
tm83,legends-za,en,Teaches Nasty Plot to a compatible Pokémon.
tm90,legends-za,en,A TM that teaches the move Dark Pulse.
tm92,legends-za,en,A Technical Machine that teaches Dazzling Gleam.
tm93,legends-za,en,A TM that teaches the move Outrage.
tm94,legends-za,en,A TM that teaches the move Whirlwind.
tm95,legends-za,en,A TM that teaches Taunt.
tm100,legends-za,en,A Technical Machine that teaches the move Gunk Shot.
tm102,legends-za,en,It teaches a compatible Pokémon a move.
tm106,legends-za,en,A TM that can be used any number of times to teach a compatible Pokémon a move.
tm111,legends-za,en,A Technical Machine that can be used any number of times to teach a compatible Pokémon a move.
tm120,legends-za,en,A Technical Machine that can be used any number of times.
tm121,legends-za,en,It teaches a compatible Pokémon a move. The move it teaches depends on the game.
tm127,legends-za,en,It teaches a compatible Pokémon a move. The move it teaches depends on the game.
tm132,legends-za,en,A TM that can be used any number of times to teach a compatible Pokémon a move.
tm135,legends-za,en,A Technical Machine that teaches a compatible Pokémon a move. The move taught depends on the game.
tm146,legends-za,en,A TM that teaches a compatible Pokémon the move Skull Bash.
tm150,legends-za,en,A Technical Machine that teaches a compatible Pokémon a move.
tyranitarite,legends-za,en,One of a variety of mysterious Mega Stones. A Tyranitar holding this stone will be able to Mega Evolve during battle.
venusaurite,legends-za,en,One of a variety of mysterious Mega Stones. A Venusaur holding this stone will be able to Mega Evolve during battle.
victreebelite,legends-za,en,One of a variety of mysterious Mega Stones. A Victreebel holding this stone will be able to Mega Evolve during battle.
whipped-dream,legends-za,en,"A soft and sweet treat made of fluffy, puffy, whipped, and whirled cream. It's loved by a certain Pokémon."
zeraorite,legends-za,en,One of a variety of mysterious Mega Stones. A Zeraora holding this stone will be able to Mega Evolve during battle.
zygarde-cube,legends-za,en,An item in which Zygarde Cores and Cells are gathered. You can also use it to change Zygarde's form.
zygardite,legends-za,en,"One of a variety of mysterious Mega Stones. When in Complete Forme and holding this stone, Zygarde will be able to Mega Evolve during battle."
