item,context,effect_type,effect,generation_start,generation_end,notes
boost-mulch,field,berry-growth,Soil dries out in 4 hours instead of 24 hours,6,6,Only effective in Pokémon X and Y
boost-mulch,passive,none,No practical effect,6,,From Omega Ruby and Alpha Sapphire onward
booster-energy,held,ability-activation,Activates Protosynthesis or Quark Drive when their usual field conditions are not active.,9,,Item is consumed on activation.
bottle-cap,passive,iv-maximization,Maximizes one IV via Hyper Training,7,,
brave-mint,field,stat-modifier,"Changes Nature effect to Brave: Attack up, Speed down",8,,
bread,field,crafting,Used as an ingredient when cooking curry,8,,
briars-book,field,story,"Triggers an encounter at the Crystal Pool if the player has Terapagos, leading to an exchange for the Scarlet Book or Violet Book.",9,,
brick-mail,held,passive,Allows a Pokémon to carry a written message that can be traded to other Generation IV games.,4,4,"Prevents PC storage and causes Fling, Trick, and Switcheroo to fail."
brick-piece,passive,sell-only,Can only be sold for money.,2,2,
bridgemail-d,held,passive,Allows the holder to carry a written message that can be read when traded.,5,,Prevents PC storage and causes certain item-moving moves to fail.
bridgemail-m,held,passive,Allows a Pokémon to carry a customizable written message that can be traded to other games of the same generation.,5,,Prevents PC storage and Day Care placement while held.
bridgemail-s,held,passive,Allows a Pokémon to hold and transmit a written message via trading; blocks certain moves like Trick and Fling.,5,,
bridgemail-t,held,message-storage,Allows a Pokémon to hold a written Easy Chat message that can be traded to other Generation V games.,5,,"Prevents certain moves such as Trick, Switcheroo, Bestow, and Fling from working."
bridgemail-v,held,passive,Allows a Pokémon to carry a written message using preset phrases; restricts trading and item interactions while held.,5,,
bright-powder,held,accuracy-modifier,Reduces accuracy of moves targeting the holder by ~8%,2,2,Also affected OHKO moves
bright-powder,held,accuracy-modifier,Reduces accuracy of moves targeting the holder by 10%,3,,Does not affect OHKO moves
brittle-bones,field,crafting,Used as an ingredient when cooking curry.,8,,
bronze-bottle,field,cosmetic,Decorates the player's picnic with no gameplay effect.,9,,
bronze-cup,passive,decoration,Decorates the player's picnic with no additional effects.,9,,
bubble-mail,held,passive,Allows the holder to carry a written message that can be traded to other Generation IV games.,4,4,"Cannot be stolen by Covet or Thief; Fling, Trick, and Switcheroo fail."
bug-gem,held,type-boost,+30% Bug-type move power (first use),6,,Consumed after use
bug-gem,held,type-boost,+50% Bug-type move power (first use),5,5,Consumed after use
bug-memory,battle,type-change,Changes Multi-Attack to Bug type and Silvally to Bug type,7,,
bug-memory,field,type-change,Changes Silvally to Bug type,7,,
bug-tera-shard,field,type-change,Use 50 shards to change a Pokémon’s Tera Type to Bug at the Treasure Eatery in Medali (except Ogerpon and Terapagos).,9,,
buginium-z--held,battle,type-boost,Upgrades Bug-type moves into Z-Moves; damaging moves become Savage Spin-Out.,7,,
buginium-z--held,held,form-change,Changes Arceus to Bug-type when held due to Multitype.,7,,Rayquaza cannot Mega Evolve while holding a Z-Crystal.
bugwort,passive,crafting,Used to craft Remedy and Stealth Spray.,8,,
burn-drive,battle,type-change,Techno Blast becomes Fire type when used by Genesect,5,,
burn-drive,field,form-change,Changes Genesect to its Burn Drive form,5,,
burn-drive,held,form-change,Changes Genesect to its Burn Drive form,5,,Cannot be removed or transferred by item-manipulating moves.
burn-heal,field,status-healing,Cures burn,1,,
burnt-berry,field,status-cure,Cures a Pokémon of freeze when used from the Bag.,2,2,
burnt-berry,held,status-cure,"Cures freeze when the holder becomes frozen, consuming the item.",2,2,
butter,field,crafting,Used as an ingredient when making sandwiches.,9,,
bw-grass-chairs,field,passive,Decorative item with no practical gameplay effect.,9,,
bw-grass-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
cake-lure-base,passive,crafting-material,Required to craft various cakes and muffins; one is consumed per crafted item.,8,,
calcium,field,stat-boost,+10 Special Attack EVs (Gen III–VII); raises EVs up to caps from Gen VIII onward,3,,
calm-mint,field,nature-change,"Changes the Pokémon’s Nature effect to Calm, boosting Special Defense and lowering Attack.",8,,
cameruptite,battle,evolution-trigger,Allows Camerupt to Mega Evolve into Mega Camerupt,6,,Requires a Key Stone
camping-gear,field,utility,Allows the player to set up a Pokémon Camp in suitable locations.,8,,"Cannot be used on water, indoors, or during certain battles."
canari-bread,field,healing,Restores 100 HP,9,,
candy-truffle,passive,crafting-material,"Used to craft Dire Hit, Aux Evasion, and Swap Snack.",8,,
carbos,field,stat-boost,Increases Speed EVs,1,,
card-key-johto,field,unlock,Permanently unlocks the shutter on the third floor of the Goldenrod Radio Tower.,2,,Usable only once but not consumed.
card-key,field,unlock,Permanently opens locked doors in the Silph Co. building,1,,
careful-mint,field,stat-modifier,"Changes Nature effects to Careful: +Special Defense, −Special Attack",8,,
carrot-seeds,field,story,Allows the player to grow an Iceroot Carrot or Shaderoot Carrot to summon Glastrier or Spectrier depending on planting location.,8,,
casteliacone,field,healing,Cures all non-volatile status conditions and confusion.,5,,
casteliacone,held,story,Allows Regigigas to spawn if held by a nicknamed Regice alongside Regirock and Registeel.,6,6,Omega Ruby and Alpha Sapphire only
caster-fern,field,crafting,"Used to craft Smoke Bomb, Scatter Bang, Sticky Glob, and Choice Dumpling",8,,
catching-charm,passive,catch-rate-boost,Increases the chance of a critical catch when throwing a Poké Ball.,8,,
celestica-flute,field,summon,"Summons ridable Pokémon including Wyrdeer, Ursaluna, Basculegion, Sneasler, and Hisuian Braviary.",8,,
cell-battery,held,stat-boost,+1 Attack stage when hit by a damaging Electric-type move,5,,
chandelurite,battle,evolution-trigger,Allows Chandelure to Mega Evolve into Mega Chandelure,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution per battle
charcoal,held,type-boost,+10% Fire-type move power,2,3,
charcoal,held,type-boost,+20% Fire-type move power,4,,
charizardite-x,held,evolution-trigger,Enables Mega Evolution into Mega Charizard X,6,,
charizardite-y,battle,evolution-trigger,Enables Mega Evolution into Mega Charizard Y,6,,Requires Key Stone
charti-berry,held,type-reduction,Halves damage from a super effective Rock-type attack; quarter damage if the holder has Ripen.,4,,
cheese,field,crafting,Used as an ingredient when making sandwiches.,9,,
cheri-berry,field,status-healing,Cures paralysis when used from the Bag,3,,
cheri-berry,held,status-healing,Cures paralysis when the holder becomes paralyzed,3,,
cherish-ball,battle,catch-rate,1× catch rate modifier if used,4,,Item cannot normally be used as it is unobtainable.
cherish-ball,passive,breeding,Cannot be inherited by bred Pokémon; offspring instead use a standard Poké Ball,6,,
cherished-ring-first,field,story,Returned to Moire to complete Side Mission 003: Sableye in the Cemetery,9,,
cherished-ring-second,field,story,Returned to Moire to complete Side Mission 140: A Message from Across Dimensions,9,,
cherry-tomatoes,field,crafting,Used as an ingredient when making sandwiches.,9,,
chesnaughtite,battle,evolution-trigger,Allows Chesnaught to Mega Evolve into Mega Chesnaught if the Trainer has a Key Stone.,9,,
chesto-berry,field,status-healing,Cures sleep or drowsiness when used from the Bag,3,,
chesto-berry,held,status-healing,Cures sleep or drowsiness,3,,
chilan-berry,held,type-reduction,Halves damage from one Normal-type attack; quarter damage with Ripen,4,,Does not activate for Struggle from Generation V onward.
chili-sauce,field,crafting,Used as an ingredient in making sandwiches.,9,,
chill-drive,battle,type-boost,Changes Techno Blast to Ice type when used by Genesect,5,,
chill-drive,held,form-change,Changes Genesect to its Chill Drive form,5,,Cannot be removed or transferred by item-manipulating moves
chimechite,held,evolution-trigger,Allows Chimecho to Mega Evolve into Mega Chimecho during battle,9,,
chipped-pot,field,evolution-trigger,Evolves Antique Form Sinistea into Antique Form Polteageist,8,,Item is consumed upon use
choice-band,held,stat-boost,Boosts Attack by 50% but locks the user into one move,3,,
choice-dumpling,battle,stat-boost,"Fixates the target Pokémon on its last used move, increasing damage dealt and damage taken.",8,,
choice-scarf,held,stat-boost,Speed x1.5; locks user into first selected move,4,,Move lock resets when the Pokémon is switched out
choice-specs,held,stat-boost,"+50% Special Attack, move lock",4,,
chople-berry,held,type-resist,Halves damage from a supereffective Fighting-type attack; quarter damage with Ripen,4,,
chorizo,field,ingredient,Used as an ingredient when making sandwiches.,9,,
claw-fossil,field,evolution-trigger,Can be regenerated into Anorith,3,,
cleanse-tag,held,encounter-rate,Halves wild encounter rate,2,2,
cleanse-tag,held,encounter-rate,Reduces wild encounter rate by one third when first in party,3,4,
cleanse-tag,held,encounter-rate,Reduces encounter rate with ability/weather exceptions,5,,
clear-amulet,held,stat-protection,Prevents the holder's stats from being lowered by opponents' moves or Abilities.,9,,Does not prevent Haze or Clear Smog; Parting Shot still forces a switch with Magic Bounce.
clear-bell,field,story,Allows the player to encounter Suicune at the Tin Tower without it fleeing.,2,2,Pokémon Crystal only
clear-bell,field,story,Combines with the Rainbow Wing and the Kimono Girls' dance to summon Ho-Oh.,4,4,HeartGold only
clear-bell,field,story,Required to encounter Ho-Oh at Sea Mauville.,6,6,Omega Ruby only
clefablite,battle,evolution-trigger,Allows Clefable to Mega Evolve into Mega Clefable,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution per battle
clever-wing,field,stat-boost,+1 Special Defense EV and slight friendship increase,5,,
clever-mochi,field,stat-boost,Increases Special Defense EVs by 10.,9,,
clover-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Item is consumed upon evolution
coba-berry,held,type-boost,Halves damage from one supereffective Flying-type attack; quarter damage if the holder has Ripen,4,,
cobalion-treat,field,encounter-trigger,Allows the player to encounter and battle Cobalion at North Province (Area Two) and receive a location hint from Snacksworth.,9,,
coconut-milk,passive,crafting,Used as an ingredient when cooking curry.,8,,
coin-case,field,information,Displays the current number of coins when used from the Bag,1,,
coin-case,passive,utility,Allows the player to store and use Game Corner coins,1,,
colbur-berry,held,type-resist,Halves damage from one supereffective Dark-type attack; quarter damage if the holder has Ripen.,4,,
colorful-screw,passive,exchange,Can be traded for Canari plush items at Racine Construction; collecting all unlocks a giant Canari plush decor.,9,,
colress-machine,field,story,"Forcibly awakens sleeping Pokémon, triggering a battle.",5,,
comet-shard,passive,sell-only,Can only be sold for money,5,,
contest-costume--jacket,passive,cosmetic,Automatically changes the player's outfit when participating in a Pokémon Contest Spectacular.,6,,
contest-pass,passive,access,Allows entry into Pokémon Contests in certain games,3,,"Not required in Pokémon Emerald, Diamond, Pearl, Platinum, or Brilliant Diamond and Shining Pearl"
cornerstone-mask,held,form-change,Changes Ogerpon to its Cornerstone Mask form.,9,,
cornerstone-mask,held,type-boost,Increases the power of the holder's moves by 20%.,9,,
cornn-berry,held,move-modifier,Natural Gift becomes Bug-type with power depending on generation,4,,
coupon-1,field,story,Exchanged for the Pokétch when all three coupons are obtained.,4,,
coupon-2,field,story,Exchanged for the Pokétch when all three coupons are obtained.,4,,
coupon-3,field,story,Exchanged for the Pokétch when all three coupons are obtained.,4,,
courage-candy,field,stat-boost,Raises Special Defense by 1 AV (up to 50 AVs),7,,
courage-candy-l,field,stat-boost,+1 AV Special Defense (up to 100 AV),7,,Only usable on Pokémon Lv. 30 or higher
courage-candy-xl,field,stat-boost,"Increases Special Defense by 1 AV when used on a Pokémon of level 60 or higher, up to 200 AVs.",7,,
cover-fossil,passive,evolution-trigger,Can be restored into Tirtouga at specific locations,5,,
covert-cloak,held,passive,Prevents the additional effects of damaging moves from affecting the holder.,9,,Does not affect status moves or self-applied effects.
crabominite,held,evolution-trigger,Allows Crabominable to Mega Evolve into Mega Crabominable during battle if the Trainer has a Key Stone.,9,,
cracked-pot,field,evolution-trigger,Evolves Phony Form Sinistea into Phony Form Polteageist,8,,Item is consumed on use
crafting-kit,field,crafting,Allows crafting of items in the field using materials in the satchel,8,,
cream-cheese,field,crafting,Used as an ingredient when making sandwiches.,9,,
crown-pass,field,access,Allows travel to the Crown Tundra via Wedgehurst Station.,8,,
crunchy-salt,field,bait,Attracts certain Pokémon when thrown,8,,
crunchy-salt,passive,crafting-ingredient,Used to craft Salt Cake and Twice-Spiced Radish,8,,
crystal-cluster,field,story,Used by Kieran and Carmine's grandpa to repair Ogerpon's Teal Mask.,9,,
cucumber,field,crafting,Used as an ingredient when making sandwiches.,9,,
curry-powder,field,crafting,Used as an ingredient when making a sandwich,9,,
custap-berry,held,priority-boost,Moves first in its priority bracket when HP is below 1/4 (or 1/2 with Gluttony),4,,
cyber-ball,field,passive,Can be brought out during a picnic to be kicked around by the player and their party Pokémon.,9,,
damp-mulch,field,berry-growth,Soil dries 50% slower; Berry growth time is 150% of usual.,4,4,
damp-mulch,passive,none,No practical effect other than being sold.,5,,
damp-rock,held,weather-duration,Extends rain to 8 turns,4,,Does not affect Drizzle prior to Generation VI
dark-gem,held,type-boost,Boosts first Dark-type move by 30% and is consumed,6,,
dark-gem,held,type-boost,Boosts first Dark-type move by 50% and is consumed,5,5,
dark-memory,battle,type-change,Multi-Attack becomes Dark type,7,,
dark-memory,field,form-change,Changes Silvally to Dark-type form,7,,
dark-memory,held,form-change,Changes Silvally to Dark-type form via RKS System,7,,Cannot be removed or swapped by item-manipulating moves
dark-stone,field,story,Summons Zekrom to assist the player at N's Castle.,5,5,Pokémon White only.
dark-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Dark at the Treasure Eatery in Medali (except Ogerpon and Terapagos).,9,,
darkinium-z--held,held,type-boost,Upgrades Dark-type moves into the Z-Move Black Hole Eclipse or corresponding Z-Moves.,7,,Unaffected by item-negating or item-manipulating effects.
darkranite,held,evolution-trigger,Allows Darkrai to Mega Evolve into Mega Darkrai in battle,9,,Requires the Trainer to have a Key Stone
data-card-01,passive,record,Stores specific Pokéathlon records for viewing at the Pokéathlon Dome.,4,,
dawn-stone,field,evolution-trigger,Evolves specific Pokémon when used,4,,
dazzling-honey,field,lure,Attracts certain Pokémon when thrown as bait.,8,,
dazzling-honey,field,crafting,Used to craft Honey Cake and Old Gateau.,8,,
decidium-z--held,held,z-move,Upgrades Spirit Shackle into the Z-Move Sinister Arrow Raid when held by Decidueye.,7,,
