status_condition,short_effect,long_effect
type-change,Changes or adds a Pokémon type.,
transform,Transformed into another Pokémon by using {Transform;MOVE;transform} or {Imposter;ABILITY;imposter}.,
illusion,Has taken the appearance of another Pokémon through {Illusion;ABILITY;illusion}. The user takes the appearance of the last non-egg Pokémon in the user's party.,
bind,Takes damage at the end of each turn and can not switch out or flee.,
curse,Affected by {Curse;MOVE;curse} used by a {GHOST;TYPE;Ghost}-type Pokémon.,
nightmare,Affected by {Nightmare;MOVE;nightmare}. Has to be {asleep;STATUS;sleep}.,
doomed,Affected by {Perish Song;MOVE;perish-song}. The Pokémon will faint after 3 turns.,
seeded,"Affected by {Leech Seed;MOVE;leech-seed} or {Sappy Seed;MOVE;sappy-seed}, draining {HP;STAT;HP} every turn and healing the enemy who used the move.",
salted,"Affected by {Salt Cure;MOVE;salt-cure}, losing <span style=""font-size: 1.3rem"">⅛</span> of maximum {HP;STAT;HP} each turn or <span style=""font-size: 1.3rem""><span style=""font-size: 1.3rem"">¼</span></span> of maximum {HP;STAT;HP} each turn if its a {WATER;TYPE;Water} or {STEEL;TYPE;Steel}-type.",
splinters,"Exclusive to {PKMN-LA;GAME;legends-arceus}. Receives damage at the end of each turn equal to a 25 power move. Lasts 3 turns (2 turns in agile style, 4 turns in strong style).<br/>
Applied by the moves {Ceaseless Edge;MOVE;ceaseless-edge}, {Pin Missile;MOVE;pin-missile}, {Stealth Rock;MOVE;stealth-rock} nad {Stone Axe;MOVE;stone-axe}.",
identify,"Unable to dodge the next move through the regular {evasion;STAT;EVASION} and {accuracy;STAT;ACCURACY} checks after being targeted by {Foresight;MOVE;foresight}, {Odor Sleuth;MOVE;odor-sleuth} or {Miracle Eye;MOVE;miracle-eye}.<br/>
Additionally loses immunity to {NORMAL;TYPE;Normal} and {FIGHTING;TYPE;Fighting}-type moves if it's a {GHOST;TYPE;Ghost}-type or {PSYCHIC;TYPE;Psychic}-type if it's a {DARK;TYPE;Dark}-type Pokémon.",
autotomize,Increased {Speed;STAT;SPEED} by two stages and weight reduction by 100kg (220lbs) when successfully using the move {Autotomize;MOVE;autotomize}.,
minimize,"After using {Minimize;MOVE;minimize} a Pokémon will be more vulnerable to {Stomp;MOVE;stomp}, {Steamroller;MOVE;steamroller}, {Body Slam;MOVE;body-slam}, {Dragon Rush;MOVE;dragon-rush}, {Flying Press;MOVE;flying-press} and {Phantom Force;MOVE;phantom-force}.<br/>
In Gen 4 all of these moves ignore {evasion;STAT;EVASION} and {accuracy;STAT;ACCURACY} checks against minimized targets.",
tar,After being hit by {Tar Shot;MOVE;tar-shot} the Pokémon has a doubled weakness to {FIRE;TYPE;Fire}-type moves.,
grounded,"All Pokémon are by default grounded, vulnerable to moves and effects that target Pokémon that make contact with the ground. Some Pokémon are 'raised' and immune to {GROUND;TYPE;Ground}-type moves if they have one of the following conditions:
<ul>
  <li>it is {FLYING;TYPE;Flying}-type.</li>
  <li>it has the ability {Levitate;ABILITY;levitate}.</li>
  <li>it is holding an {Air Balloon;ITEM;air-balloon}</li>
  <li>it is affected by {Magnet Rise;MOVE;magnet-rise} or {Telekinesis;MOVE;telekinesis}.</li>
  <li>it is in the semi-invulnerable turn of {Sky Drop;MOVE;sky-drop}.</li>
</ul>",
levitate,Immune to {GROUND;TYPE;Ground}-type moves by having the ability {Levitate;ABILITY;levitate}.,
root,"After using {Ingrain;MOVE;ingrain}, a Pokémon roots itself into place, restoring <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of its maximum {HP;STAT;HP} and is unable to switch out or flee.<br/>
This also prevents moves that would force out the user from switching out such as {Roar;MOVE;roar}.<br/>
A rooted Pokémon also becomes grounded.",
laser-focus,"After using {Laser Focus;MOVE;laser-focus}, the next user's next move is guaranteed to land a {critical hit;STAT;CRIT} unless prevented by crit negating effects such as {Battle Armor;ABILITY;battle-armor}.",
lock-on,"After using {Lock-On;MOVE;lock-on} or {Mind Reader;MOVE;mind-reader}, the user's next move will not miss.",
drowsy,Affected by {Yawn;MOVE;yawn} or {G-Max Snooze;MOVE;g-max-snooze}. Will fall {asleep;STATUS;sleep} at the end of the next turn unless it leaves battle.,
no-escape,Trapped by a move that prevents the Pokémon from switching out or fleeing.,
disable,"Affected by {Disable;MOVE;disable}, unable to use a specific move for 4 turns.",
embargo,"Affected by {Embargo;MOVE;embargo}, unable to use its held item or {Fling;MOVE;fling} for 5 turns.",
heal-block,"Affected by {Heal Block;MOVE;heal-block}, unable gain {HP;STAT;HP} through any method.",
imprison,"Affected by {Imprison;MOVE;imprison}, unable to use any move that the user of Imprison also knows.",
taunt,"Affected by {Taunt;MOVE;taunt}, unable to use any {STATUS;CATEGORY;status}-category move for 3 turns.<br/>
Pokémon with the ability {Oblivious;ABILITY;oblivious} and the user and allies of Pokémon with the ability {Aroma Veil;ABILITY;aroma-veil} are immune. Others can be cured by using a {Mental Herb;ITEM;mental-herb}.",
throat-chop,"Affected by {Throat Chop;MOVE;throat-chop}, unable to use any sound-based move for 2 turns.",
torment,"Affected by {Torment;MOVE;torment}, unable to use a move twice in a row.",
confusion,The Pokémon has a 33% chance to hurt itself in confusion instead of performing the selected move.,"<i>Confusion</i> causes a Pokémon to have a 33% chance to hurt themselves instead of using the selected move.<br/>
<br/>
<i>Confusion's</i> damage is calculated as:
<ul>
  <li>a type-less 40 power {Physical;CATEGORY;physical}-category move.</li>
  <li>it can not score a {critical hit;STAT;CRIT}.</li>
  <li>it does not receive a {same-type attack bonus;STAT;STAB}</li>
  <li>it is not affected by abilities such as {Wonder Guard;ABILITY;wonder-guard}, {Technician;ABILITY;technician} or a held {Life Orb;ITEM;life-orb}.</li>
</ul>
<h4>
  Effects that interact with the <i>Burn</i> status condition:
</h4>
Pokémon with the ability {Own Tempo;ABILITY;own-tempo} can not become <i>confused</i>.<br/>
{Safeguard;MOVE;safeguard} and {Misty Terrain;MOVE;misty-terrain} protect the user's party from being confused.<br/>
A move used against a Pokémon with the ability {Tangled Feet;ABILITY;tangled-feet} has 50 {accuracy;STAT;ACCURACY}.<br/>
<h4>
  Other Effects
</h4>
A disobedient Pokémon (too high level for the currently held badges), can also hurt itself in <i>confusion</i> instead of attacking.
<h4>
  Changes
</h4>
<ul>
  <li>In Gen 1 an enemy's {Reflect;MOVE;reflect} doubles the Pokémon's {Defense;STAT;DEFENSE}<br/>
  Using {Haze;MOVE;haze} cures <i>confusion</i> for both Pokémon.</li>
  <li>In Gen 1-2 <i>confusion</i> has no random damage factor.</li>
  <li>In Gen 1-5 <i>confusion's</i> damage is reduced by 50% when the Pokémon is {burned;STATUS;burn}</li>
  <li>In Gen 1-6 <i>confusion</i> has a 50% chance to hurt the confused Pokémon instead of attacking.</li>
  <li>In Gen 2 a Pokémon own {Reflect;MOVE;reflect} doubles its own {Defense;STAT;DEFENSE} when hurting itself.<br/>
  Type-enhancing items such as {Black Belt;ITEM;black-belt} increases <i>confusion's</i> damage when it would have increased the power of the original move.</li>
  <li>In Gen 2-3 <i>confusion's</i> damage is reduced by 50% when the selected move is either {Explosion;MOVE;explosion} or {Self-Destruct;MOVE;self-destruct}.</li>
  <li>In Gen 3-4 <i>confusion's</i> damage is increased by 10% or 20% when holding a {Silk Scarf;ITEM;silk-scarf}.<br/>
  The damage received can also be increased by abilities that increase {Attack;STAT;ATTACK} such as {Guts;ABILITY;guts}, and items that increase {Attack;STAT;ATTACK} such as {Thick Club;ITEM;thick-club}</li>
  <li>In Gen 4 {Helping Hand;MOVE;helping-hand} increases the <i>confusion</i> damage.<br/>
  The damage received is also be increased if {Rivalry;ABILITY;rivalry} is active.</li>
</ul>"
infatuation,Has a 50% chance to not use the selected move and do nothing as long as the Pokémon that causes the infatuation is in battle.,
choice-lock,"Locked into using a single move through a choice item such as {Choice Band;ITEM;choice-band}, {Choice Specs;ITEM;choice-specs} or {Choice Scarf;ITEM;choice-scarf}",
encore,"Affected by {Encore;MOVE;encore}, forced to use its last move for 2-5 turns.",
rampage,"After using a move such as {Thrash;MOVE;thrash} or {Outrage;MOVE;outrage}, the user can not select another move until it finishes or is interrupted.",
fixated,"Exclusive to {PKMN-LA;GAME;legends-arceus}. The power of a fixated move is increased, but the user also takes increased damage. Ends when the user selects another move.",
recharging,"After using a move such as {Hyper Beam;MOVE;hyper-beam}, the user must recharge for 1 turn, unable to use any move.",
charging-up,"When using moves such as {Solar Beam;MOVE;solar-beam}, the user charges up for 1 turn before performing that move. The charge-up turn has no effect aside from displaying a message.",
semi-invulnerable,"The first phase of moves such as {Dig;MOVE;dig} will make the user semi-invulnerable, immune to almost all moves.",
flinch,Prevents a Pokémon from using any move that turn.,
magic-coat,"Affected by {Magic Coat;MOVE;magic-coat}, reflecting most {STATUS;CATEGORY;status}-category moves back at the user.",
bracing,"Affected by {Endure;MOVE;endure}. A bracing Pokémon will not faint that turn and survive with 1 {HP;STAT;HP} remaining.<br/>
Similar to the effects of {Focus Sash;ITEM;focus-sash}, {Focus Band;ITEM;focus-band} and {Sturdy;ABILITY;sturdy}.",
center-of-attention,Forces all other Pokémon to redirect their moves towards the center of attention if it is possible to target that Pokémon.,
