item,generation,pocket,version_group,version
hyper-persim-berry,9,berries,legends-za,legends-za
hyper-pomeg-berry,9,berries,legends-za,legends-za
hyper-qualot-berry,9,berries,legends-za,legends-za
hyper-rawst-berry,9,berries,legends-za,legends-za
hyper-rindo-berry,9,berries,legends-za,legends-za
hyper-roseli-berry,9,berries,legends-za,legends-za
hyper-shuca-berry,9,berries,legends-za,legends-za
hyper-sitrus-berry,9,berries,legends-za,legends-za
hyper-tamato-berry,9,berries,legends-za,legends-za
hyper-tanga-berry,9,berries,legends-za,legends-za
hyper-wacan-berry,9,berries,legends-za,legends-za
hyperspace-butter,9,key-items,legends-za,legends-za
kangaskhanite,9,mega-stones,legends-za,legends-za
key-to-room-202,9,key-items,legends-za,legends-za
lab-key-card-a,9,key-items,legends-za,legends-za
lab-key-card-b,9,key-items,legends-za,legends-za
lab-key-card-c,9,key-items,legends-za,legends-za
lab-key-card-m,9,key-items,legends-za,legends-za
lab-key-card-x,9,key-items,legends-za,legends-za
latiasite,9,mega-stones,legends-za,legends-za
latiosite,9,mega-stones,legends-za,legends-za
lidas-things,9,key-items,legends-za,legends-za
lopunnite,9,mega-stones,legends-za,legends-za
lucarionite,9,mega-stones,legends-za,legends-za
lucarionite-z,9,mega-stones,legends-za,legends-za
lumiosian-butter,9,key-items,legends-za,legends-za
magearnite,9,mega-stones,legends-za,legends-za
malamarite,9,mega-stones,legends-za,legends-za
manectite,9,mega-stones,legends-za,legends-za
mawilite,9,mega-stones,legends-za,legends-za
medichamite,9,mega-stones,legends-za,legends-za
mega-shard,9,items,legends-za,legends-za
meganiumite,9,mega-stones,legends-za,legends-za
meowsticite,9,mega-stones,legends-za,legends-za
metagrossite,9,mega-stones,legends-za,legends-za
mewtwonite-x,9,mega-stones,legends-za,legends-za
mewtwonite-y,9,mega-stones,legends-za,legends-za
nice-butter,9,key-items,legends-za,legends-za
pebble,9,key-items,legends-za,legends-za
pidgeotite,9,mega-stones,legends-za,legends-za
pink-canari-plush-lv-1,9,key-items,legends-za,legends-za
pink-canari-plush-lv-2,9,key-items,legends-za,legends-za
pink-canari-plush-lv-3,9,key-items,legends-za,legends-za
pinsirite,9,mega-stones,legends-za,legends-za
popping-candy,9,key-items,legends-za,legends-za
pyroarite,9,mega-stones,legends-za,legends-za
raichunite-x,9,mega-stones,legends-za,legends-za
raichunite-y,9,mega-stones,legends-za,legends-za
red-canari-plush-lv-1,9,key-items,legends-za,legends-za
red-canari-plush-lv-2,9,key-items,legends-za,legends-za
red-canari-plush-lv-3,9,key-items,legends-za,legends-za
revitalizing-twig,9,key-items,legends-za,legends-za
sablenite,9,mega-stones,legends-za,legends-za
salamencite,9,mega-stones,legends-za,legends-za
sceptilite,9,mega-stones,legends-za,legends-za
scizorite,9,mega-stones,legends-za,legends-za
scolipite,9,mega-stones,legends-za,legends-za
scovillainite,9,mega-stones,legends-za,legends-za
scraftinite,9,mega-stones,legends-za,legends-za
seed-of-mastery,9,items,legends-za,legends-za
sharpedonite,9,mega-stones,legends-za,legends-za
skarmorite,9,mega-stones,legends-za,legends-za
slowbronite,9,mega-stones,legends-za,legends-za
staraptite,9,mega-stones,legends-za,legends-za
starminite,9,mega-stones,legends-za,legends-za
steelixite,9,mega-stones,legends-za,legends-za
super-lumiose-galette,9,key-items,legends-za,legends-za
supreme-butter,9,key-items,legends-za,legends-za
swampertite,9,mega-stones,legends-za,legends-za
tasty-trash,9,key-items,legends-za,legends-za
tatsugirinite,9,mega-stones,legends-za,legends-za
tm126,9,tms,legends-za,legends-za
tm127,9,tms,legends-za,legends-za
tm134,9,tms,legends-za,legends-za
tyranitarite,9,mega-stones,legends-za,legends-za
venusaurite,9,mega-stones,legends-za,legends-za
victreebelite,9,mega-stones,legends-za,legends-za
zeraorite,9,mega-stones,legends-za,legends-za
zygardite,9,mega-stones,legends-za,legends-za
