item,version_group,version,price_type,amount,currency,note,source
dubious-disc,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
electirizer,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
electirizer,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
exp-candy-l,legends-arceus,legends-arceus,buy,18000,poke-dollar,,pokedb
exp-candy-l,legends-arceus,legends-arceus,sell,4500,poke-dollar,,pokedb
exp-candy-m,legends-arceus,legends-arceus,buy,6000,poke-dollar,,pokedb
exp-candy-m,legends-arceus,legends-arceus,sell,1500,poke-dollar,,pokedb
exp-candy-s,legends-arceus,legends-arceus,buy,1600,poke-dollar,,pokedb
exp-candy-s,legends-arceus,legends-arceus,sell,400,poke-dollar,,pokedb
exp-candy-xl,legends-arceus,legends-arceus,sell,12500,poke-dollar,,pokedb
exp-candy-xl,legends-arceus,legends-arceus,buy,50000,poke-dollar,,pokedb
lafeather-ball,legends-arceus,legends-arceus,buy,140,poke-dollar,,pokedb
lafeather-ball,legends-arceus,legends-arceus,sell,35,poke-dollar,,pokedb
figy-berry,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
fine-remedy,legends-arceus,legends-arceus,sell,75,poke-dollar,,pokedb
full-heal,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
full-heal,legends-arceus,legends-arceus,buy,600,poke-dollar,,pokedb
full-restore,legends-arceus,legends-arceus,sell,625,poke-dollar,,pokedb
full-restore,legends-arceus,legends-arceus,buy,2500,poke-dollar,,pokedb
gentle-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
lagigaton-ball,legends-arceus,legends-arceus,sell,160,poke-dollar,,pokedb
grain-cake,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
grain-cake,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
great-ball-hisuian,legends-arceus,legends-arceus,sell,75,poke-dollar,,pokedb
great-ball-hisuian,legends-arceus,legends-arceus,buy,300,poke-dollar,,pokedb
green-shard,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
grit-dust,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
grit-gravel,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
grit-pebble,legends-arceus,legends-arceus,sell,800,poke-dollar,,pokedb
grit-rock,legends-arceus,legends-arceus,sell,3000,poke-dollar,,pokedb
hasty-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
hearty-grains,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
hearty-grains,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
heavy-ball,legends-arceus,legends-arceus,buy,120,poke-dollar,,pokedb
heavy-ball,legends-arceus,legends-arceus,sell,30,poke-dollar,,pokedb
honey-cake,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
honey-cake,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
hopo-berry,legends-arceus,legends-arceus,buy,300,poke-dollar,,pokedb
hopo-berry,legends-arceus,legends-arceus,sell,75,poke-dollar,,pokedb
hyper-potion,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
hyper-potion,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
iapapa-berry,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
ice-stone,legends-arceus,legends-arceus,sell,750,poke-dollar,,pokedb
impish-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
iron-barktongue,legends-arceus,legends-arceus,buy,240,poke-dollar,,pokedb
iron-barktongue,legends-arceus,legends-arceus,sell,60,poke-dollar,,pokedb
iron-chunk,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
iron-chunk,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
lajet-ball,legends-arceus,legends-arceus,sell,170,poke-dollar,,pokedb
jolly-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
jubilife-muffin,legends-arceus,legends-arceus,sell,125,poke-dollar,,pokedb
kings-leaf,legends-arceus,legends-arceus,buy,1000,poke-dollar,,pokedb
kings-leaf,legends-arceus,legends-arceus,sell,250,poke-dollar,,pokedb
lax-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
laleaden-ball,legends-arceus,legends-arceus,sell,80,poke-dollar,,pokedb
laleaden-ball,legends-arceus,legends-arceus,buy,320,poke-dollar,,pokedb
leppa-berry,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
leppa-berry,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
linking-cord,legends-arceus,legends-arceus,buy,8000,poke-dollar,,pokedb
linking-cord,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
lonely-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
lum-berry,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
magmarizer,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
magmarizer,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
mago-berry,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
max-elixir,legends-arceus,legends-arceus,sell,1250,poke-dollar,,pokedb
max-ether,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
max-potion,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
max-potion,legends-arceus,legends-arceus,buy,2000,poke-dollar,,pokedb
max-revive,legends-arceus,legends-arceus,buy,3000,poke-dollar,,pokedb
max-revive,legends-arceus,legends-arceus,sell,750,poke-dollar,,pokedb
medicinal-leek,legends-arceus,legends-arceus,buy,120,poke-dollar,,pokedb
medicinal-leek,legends-arceus,legends-arceus,sell,30,poke-dollar,,pokedb
mild-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
modest-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
mushroom-cake,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
mushroom-cake,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
naive-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
nanab-berry,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
naughty-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
nugget,legends-arceus,legends-arceus,sell,10000,poke-dollar,,pokedb
old-gateau,legends-arceus,legends-arceus,sell,125,poke-dollar,,pokedb
oran-berry,legends-arceus,legends-arceus,buy,80,poke-dollar,,pokedb
oran-berry,legends-arceus,legends-arceus,sell,20,poke-dollar,,pokedb
oval-stone,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
peat-block,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
peat-block,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
pecha-berry,legends-arceus,legends-arceus,sell,30,poke-dollar,,pokedb
pecha-berry,legends-arceus,legends-arceus,buy,120,poke-dollar,,pokedb
pep-up-plant,legends-arceus,legends-arceus,sell,40,poke-dollar,,pokedb
pep-up-plant,legends-arceus,legends-arceus,buy,160,poke-dollar,,pokedb
pinap-berry,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
pinap-berry,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
plump-beans,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
plump-beans,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,buy,100,poke-dollar,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,sell,25,poke-dollar,,pokedb
pokeshi-doll,legends-arceus,legends-arceus,sell,1000,poke-dollar,,pokedb
pop-pod,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
pop-pod,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
potion,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
potion,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
protector,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
quiet-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
rare-candy,legends-arceus,legends-arceus,sell,2500,poke-dollar,,pokedb
rash-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
rawst-berry,legends-arceus,legends-arceus,buy,120,poke-dollar,,pokedb
razor-claw,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
razor-fang,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
razor-fang,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
razz-berry,legends-arceus,legends-arceus,sell,125,poke-dollar,,pokedb
razz-berry,legends-arceus,legends-arceus,buy,500,poke-dollar,,pokedb
reaper-cloth,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
reaper-cloth,legends-arceus,legends-arceus,buy,10000,poke-dollar,,pokedb
red-shard,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
relaxed-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
remedy,legends-arceus,legends-arceus,sell,75,poke-dollar,,pokedb
revive,legends-arceus,legends-arceus,buy,700,poke-dollar,,pokedb
revive,legends-arceus,legends-arceus,sell,175,poke-dollar,,pokedb
salt-cake,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
salt-cake,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
sand-radish,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
sand-radish,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
sassy-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
scatter-bang,legends-arceus,legends-arceus,buy,500,poke-dollar,,pokedb
scatter-bang,legends-arceus,legends-arceus,sell,125,poke-dollar,,pokedb
seed-of-mastery,legends-arceus,legends-arceus,sell,3000,poke-dollar,,pokedb
serious-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
sitrus-berry,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
sitrus-berry,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
sky-tumblestone,legends-arceus,legends-arceus,buy,100,poke-dollar,,pokedb
sky-tumblestone,legends-arceus,legends-arceus,sell,25,poke-dollar,,pokedb
smoke-bomb,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
smoke-bomb,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
snowball,legends-arceus,legends-arceus,sell,10,poke-dollar,,pokedb
sootfoot-root,legends-arceus,legends-arceus,buy,300,poke-dollar,,pokedb
sootfoot-root,legends-arceus,legends-arceus,sell,75,poke-dollar,,pokedb
spoiled-apricorn,legends-arceus,legends-arceus,sell,10,poke-dollar,,pokedb
springy-mushroom,legends-arceus,legends-arceus,buy,200,poke-dollar,,pokedb
springy-mushroom,legends-arceus,legends-arceus,sell,50,poke-dollar,,pokedb
star-piece,legends-arceus,legends-arceus,sell,5000,poke-dollar,,pokedb
stealth-spray,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
stealth-spray,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
sticky-glob,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
sticky-glob,legends-arceus,legends-arceus,buy,800,poke-dollar,,pokedb
sun-stone,legends-arceus,legends-arceus,sell,750,poke-dollar,,pokedb
super-potion,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
super-potion,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
superb-remedy,legends-arceus,legends-arceus,sell,375,poke-dollar,,pokedb
survival-charm,legends-arceus,legends-arceus,buy,25000,poke-dollar,Varies by color,pokedb
survival-charm,legends-arceus,legends-arceus,sell,5,poke-dollar,,pokedb
swap-snack,legends-arceus,legends-arceus,sell,600,poke-dollar,,pokedb
swordcap,legends-arceus,legends-arceus,sell,60,poke-dollar,,pokedb
swordcap,legends-arceus,legends-arceus,buy,240,poke-dollar,,pokedb
tempting-charm,legends-arceus,legends-arceus,buy,4000,poke-dollar,One of five possible color variants,pokedb
tempting-charm,legends-arceus,legends-arceus,sell,5,poke-dollar,,pokedb
timid-mint,legends-arceus,legends-arceus,sell,500,poke-dollar,,pokedb
tumblestone,legends-arceus,legends-arceus,buy,60,poke-dollar,,pokedb
tumblestone,legends-arceus,legends-arceus,sell,15,poke-dollar,,pokedb
twice-spiced-radish,legends-arceus,legends-arceus,sell,800,poke-dollar,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,buy,600,poke-dollar,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
up-grade,legends-arceus,legends-arceus,buy,8000,poke-dollar,,pokedb
vivichoke,legends-arceus,legends-arceus,buy,400,poke-dollar,,pokedb
vivichoke,legends-arceus,legends-arceus,sell,100,poke-dollar,,pokedb
warding-charm,legends-arceus,legends-arceus,buy,900,poke-dollar,,pokedb
warding-charm,legends-arceus,legends-arceus,sell,5,poke-dollar,,pokedb
wiki-berry,legends-arceus,legends-arceus,sell,150,poke-dollar,,pokedb
lawing-ball,legends-arceus,legends-arceus,sell,85,poke-dollar,,pokedb
lawing-ball,legends-arceus,legends-arceus,buy,340,poke-dollar,,pokedb
wood,legends-arceus,legends-arceus,sell,200,poke-dollar,,pokedb
