move,short_effect,long_effect
vice-grip,Deals damage with no additional effect.,<i>Vise Grip</i> (formatted as <i>ViceGrip<i> in Gen 1-5 and <i>Vice Grip<i/> in Gen 6-7) deals damage with no additional effect.
guillotine,Causes a one-hit KO.,"If <i>Guillotine</i> hits, it causes the target to faint.<br/>Ignores {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.

<ul>
<li>In Gen 1 this move always deals exactly 65535 <i>(the largest 16-bit number)</i> {HP;STAT;HP} damage if it hits. Its accuracy is 30%. Guillotine will break a {Substitute;MOVE;substitute} if it hits.<br/>Unlike other moves that skip the damage formula, Guillotine does not bypass type immunities.<br/><i>Guillotine</i> will not affect a target whose current {Speed;STAT;SPEED} is greater than the user's current {Speed;STAT;SPEED} stat.</li>
<li>In Gen 2 <i>Guillotine</i> now deals damage equal to the target's current {HP;STAT;HP}. The accuracy of <i>Guillotine</i> is now calculated using the following formula:<br/><img src=""https://wikimedia.org/api/rest_v1/media/math/render/svg/63cbb6daea16d7e101b4f7414dc5544d8a8fe0b9""/><br/>{Speed;STAT;SPEED} no longer has an impact on <i>Guillotine</i> and will always fail if the user's level is lower than the target's<br/>If the user and target are the same level, it has a 30% chance to hit, gaining 0.78% chance for each level between the user and the target.<br/>The move reaches a 100% chance to hit with at least 90 levels between the user and the target.<br/>In Gen 2 this move was affected by {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.</li>
<li>From Generation 3 onwards this move's {accuracy;STAT;ACCURACY} is calculated with the following formula:<br/><img src=""https://wikimedia.org/api/rest_v1/media/math/render/svg/694c3e5c7942c26f5ea952d31f2452b2f33aaa0f""/><br/>If the user and target are the same level, it has a 30% chance to hit, gaining 1% chance for each level between the user and the target.<br/>The move reaches a 100% chance to hit with at least 70 levels between the user and the target.<br/>If the user is a lower level than the target, the move always fail.<br/>This is no longer affected by {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.</li>
</ul>"
razor-wind,Deals damage and requires a turn to charge before attacking.,"The user of <i>Razor Wind</i> will <i>whip up a whirlwind</i> on the first turn. <i>(This does nothing except display a message)</i><br/>
On the second turn, Razor Wind deals damage and PP is deducted.<br/>
Razor Wind has an increased {critical hit;STAT;CRIT} ratio (
<span style=""font-size: 1.3rem"">⅛</span>
instead of
<span style=""font-size: 1.3rem"">¹⁄₂₄</span>
).
<br/>
The user is unable to switch out until <i>Razor Wind</i> has been completed or is interrupted. No PP is deducted until the move has been completed.<br/>
<i>Razor Wind</i> only counts as the last used move if it is completed.
<br/>
If the user is holding a {Power Herb;ITEM;power-herb}, Razor Wind executes in one turn.
<br/>
<ul>
  <li>In Generation 1, Razor Wind does not have an increased {critical hit;STAT;CRIT} ratio.</li>
  <li>In Generations 1-2, Razor Wind has 75% {accuracy;STAT;ACCURACY}.</li>
  <li>In Generations 1-3, Razor Wind is categorized as {Physical;CATEGORY;physical}.</li>
  <li>From Generation 8 onwards, this move can not be selected.</li>
</ul>"
swords-dance,Raises the user's {Attack;STAT;ATTACK} by two stages.,"<i>Swords Dance</i> raises the user's {Attack;STAT;ATTACK} by two stages.
<br/>
{Stats;STAT;STATS} can be raised to a maximum of +6 stages each.
<br/>
In Generation 1-5, <i>Swords Dance</i> has 30 PP instead of 20.<br/>
In {LA;GAME;legends-arceus}, <i>Swords Dance</i> raises the user's offensive stats for five turns."
cut,Deals damage with no additional effect.,"<i>Cut</i> deals damage with no additional effect in battle.
<ul>
  <li>In Gen 1-6 <i>Cut</i> can be used to remove cuttable plants</li>
  <li>In Gen 1 this was only possible from the party screen</li>
  <li>In Gen 1-3 <i>Cut</i> was able to remove tall grass</li>
</ul>"
gust,Deals damage and can hit Pokémon in the air.,"<i>Gust</i> deals damage and can hit Pokémon during the invulnerable stage of {Bounce;MOVE;bounce}, {Fly;MOVE;fly} or {Sky Drop;MOVE;sky-drop} - in which case the power is doubled.
<ul>
  <li>In Gen 1 this was a {NORMAL;TYPE;Normal}-type move and had no additional effect</li>
  <li>In Gen 1-3 <i>Gust</i> was categorized as {Physical;CATEGORY;physical}</li>
  <li>In Gen 2 and 4, <i>Gust</i> was not affected by {King's Rock;ITEM;kings-rock}</li>
  <li>In {LA;GAME;legends-arceus} the PP was reduced from 35 to 25</li>
</ul>"
wing-attack,Deals damage with no additional effect.,"<i>Wing Attack</i> deals damage with no additional effect.
<ul>
  <li>In Gen 2 the power was increased from 35 to 60. It can also now hit non-adjacent targets in Triple Battles</li>
</ul>"
whirlwind,Immediately ends wild battles. Forces trainers to switch Pokémon.,"If <i>Whirlwind</i> is successfully used in a wild Pokémon battle by either Pokémon, the other Pokémon is blown away and the battle will end.<br/>
The move fails against Pokémon with the ability {Suction Cups;ABILITY;suction-cups} or rooted by {Ingrain;MOVE;ingrain}<br/>
<ul>
  <li>In Gen 1 this move has 85% {accuracy;STAT;ACCURACY}, normal priority and in a Trainer battle, Whirlwind has <b>no effect</b>.<br/>
  If the user's level is less than the target's level, there is a chance that Whirlwind will fail, between approximately 10% and 25%, depending on the levels of the two Pokémon. The chance of failure typically increases the higher the target's level is than the user's.</li>
  <li>In Gen 2 the trainer battle was changed, it now switches out the current target with a random Pokémon from the enemy trainer's party. If there are no other available Pokémon in the other party <i>Whirlwind</i> fails. <br/>
    The priority was decreased to -1 and {accuracy;STAT;ACCURACY} increased to 100%.<br/>
  The move fails if used before the target makes a move.</li>
  <li>From Gen 3-4 <i>Whirlwind</i> has a priority of -6<br/>
    It can no longer hit Pokémon during the semi-invulnerable turn of {Fly;MOVE;fly}.<br/>
    The chance of failure is also calculated slightly differently.
  </li>
  <li>From Gen 6 onwards, this move always hits unless in the semi-invulnerable turn of a move such as {Dig;MOVE;dig} or {Fly;MOVE;fly}</li>
  <li>It always fails against Dynamax and Gigantamax Pokémon</li>
</ul>"
fly,"User flies high into the air, dodging all attacks, and deals damage on the next turn.","The user of <i>Fly</i> will fly up high on the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn, <i>Fly</i> deals regular damage.
<br/>
The user can still be hit while in the air if:
<ul>
  <li>Hit by {Gust;MOVE;gust}, {Twister;MOVE;twister} for double damage</li>
  <li>Hit by {Thunder;MOVE;thunder}, {Sky Uppercut;MOVE;sky-uppercut}, {Smack Down;MOVE;smack-down}, {Hurricane;MOVE;hurricane} or {Thousand Arrows;MOVE;thousand-arrows} for regular damage</li>
  <li>{Smack Down;MOVE;smack-down} and {Thousand Arrows;MOVE;thousand-arrows} will also cancel <i>Fly</i></li>
  <li>The target has the ability {No Guard;ABILITY;no-guard}</li>
</ul>
If the user is holding a {Power Herb;ITEM;power-herb}, <i>Fly</i> executes in one turn.<br>
<ul>
  <li>In Gen 4 the power was increased from 70 to 90.</li>
</ul>
It's main use outside of battle is visiting places around the map you have already visited with the appropriate Gym Badge."
bind,Prevents the target from fleeing and deals damage for 2-5 turns.,"<i>Bind</i> deals damage on the first turn then traps the target (preventing them from switching out or fleeing), causing them to lose <span style=""font-size: 1.3rem"">⅛</span> of their maximum {HP;STAT;HP} after each turn, for 4-5 turns.<br/>

If the user holds a {Grip Claw;ITEM;grip-claw}, the after-effects last for 7 turns. 
<br/>If a {Binding Band;ITEM;binding-band} is held, the damage is <span style=""font-size: 1.3rem"">⅙</span> of the target's maximum {HP;STAT;HP}.
<ul>
  <li>In Gen 1 the target can not attack while under its effect.</li>
  <li>In Gen 1-4 <i>Bind</i> has 75% {accuracy;STAT;ACCURACY} and the after-effects last for 2-5 turns. Holding {Grip Claw;ITEM;grip-claw} extends this to 5 turns.<br/>
  The following table shows the likelihood of 2-5 turns:
  <table>
    <thead>
    <th>Amount</th>
        <th>Chance</th>
    </thead>
    <body>
      <tr><td>2</td>
       <td>37.5%</td></tr>
      <tr><td>3</td>
       <td>37.5%</td></tr>
      <tr><td>4</td>
       <td>12.5%</td></tr>
      <tr><td>5</td>
       <td>12.5%</td></tr>
    </body>
    </table></li>
  <li>In Generations 2-5, the target loses only <span style=""font-size: 1.3rem"">¹⁄₁₆</span> of their maximum {HP;STAT;HP} after each turn, or <span style=""font-size: 1.3rem"">⅛</span> while holding a {Binding Band;ITEM;binding-band}.</li>
  <li>In Gen 5 the {accuracy;STAT;ACCURACY} was changed from 75% to 85%</li>
</ul>"
slam,Deals damage with no additional effect.,<i>Slam</i> does regular damage with no additional effect.
vine-whip,Deals damage with no additional effect.,"<i>Vine Whip</i> deals damage with no additional effect.
<ul>
  <li>In Gen 1-3, <i>Vine Whip</i> is categorized as {Special;CATEGORY;special} and has 10 PP</li>
<li>In Gen 1-5, <i>Vine Whip</i> has 35 power.</li>
<li>In Gen 4-5, <i>Vine Whip</i> has 15 PP.</li>
</ul>"
stomp,Deals damage and has a 30% chance to make the target {flinch;STATUS;flinch}.,"<i>Stomp</i> deals damage and has a 30% chance of causing the target to {flinch;STATUS;flinch} (if the target has not moved yet).
<br/>
Pokémon with the ability {Inner Focus;ABILITY;inner-focus} or those behind a {Substitute;MOVE;substitute} cannot be made to flinch.
<br/>
If the target has used {Minimize;MOVE;minimize}, Stomp ignores accuracy and deals double damage.
<ul>
  <li>In Gen 1 the {Minimize;MOVE;minimize} effect did not occur.</li>
  <li>In Gen 2-5 {accuracy;STAT;ACCURACY} is not ignored against {Minimize;MOVE;minimize}</li>
  <li>{Steenee;POKEMON;steenee} evolves into {Tsareena;POKEMON;tsareena} after learning this move at level 29</li>
</ul>"
double-kick,Deals damage twice per use.,"<i>Double Kick</i> deals damage twice for 30 power each.<br/>
Each strike of <i>Double Kick</i> is treated like a separate attack:
<ul>
  <li>Each strike can get a {critical hit;STAT;CRIT} independently.</li>
  <li>Abilities that activate on contact ({Static;ABILITY;static}, {Weak Armor;ABILITY;weak-armor}, {Iron Barbs;ABILITY;iron-barbs} etc.) activate for each strike.</li>
  <li>In Gen 1-3 <i>Double Kick</i> will end immediately if the first strike breaks a {Substitute;MOVE;substitute}. {Bide;MOVE;bide} and {Counter;MOVE;counter} will only count for the second strike of this move.</li>
  <li>If the user is holding a {King's Rock;ITEM;kings-rock}, the final strike has a chance to cause the target to {flinch;STATUS;flinch}.</li>
  <li>In Gen 3-4 the chance to make the target {flinch;STATUS;flinch} is equal across all hits for user's holding {King's Rock;ITEM;kings-rock} or {Razor Fang;ITEM;razor-fang}</li>
  <li>If the {Sturdy;ABILITY;sturdy} ability, {Focus Sash;ITEM;focus-sash}, or {Focus Band;ITEM;focus-band} activates before the final hit, the subsequent hit will still deal damage and therefore cause the target to faint. <i>(This is not the case in Gen 2-4)</i></li>
  <li>In Gen 1 Multi-Strike attacks {critical strike;STAT;CRIT} is determined by the first instance of damage. If the first hit is a critical strike, the rest will also be.</li>
</ul>"
mega-kick,Deals damage with no additional effect.,<i>Mega Kick</i> deals regular damage with no additional effect.
jump-kick,Deals damage but the user takes half the damage it would have done in recoil if it misses.,"<i>Jump Kick</i> deals damage, however, if it misses the user 'keeps going and crashes', losing 50% of its maximum {HP;STAT;HP}.<br/>
<i>Jump Kick</i> cannot be used if {Gravity;MOVE;gravity} is in effect.
<ul>
  <li>In Gen 1, the crash damage is always 1 {HP;STAT;HP}</li>
  <li>In Gen 2, the crash damage is always 12,5% of the damage the move would have done had it not missed</li>
  <li>In Gen 3-4, the crash damage is always 50% of the damage the move would have done had it not missed</li>
  <li>In Gen 2-3 the user does not crash against {GHOST;TYPE;Ghost}-type Pokémon</li>
  <li>In Gen 4 the user <b>does</b> crash against {GHOST;TYPE;Ghost}-type Pokémon, but takes 50% of the target's maximum {HP;STAT;HP} in damage instead</li>
  <li>In Gen 1-3, <i>Jump Kick</i> has 70 power.</li>
  <li>In Gen 4, <i>Jump Kick</i> has 85 power.</li>
  <li>In Gen 1-4, <i>Jump Kick</i> has 25 PP.</li>
  <li>From Gen 8 onwards this move cannot be selected in battle.</li>
</ul>"
rolling-kick,Deals damage and has a 30% chance to make the target {flinch;STATUS;flinch}.,"<i>Rolling Kick</i> deals damage and has a 30% chance of causing the target to {flinch;STATUS;flinch}.
<br/>
Rolling Kick does not make target's behind a {Substitute;MOVE;substitute} {flinch;STATUS;flinch}.
<ul>
  <li>In Gen 3-4 this move was affected by {King's Rock;ITEM;kings-rock}</li>
  <li>From Gen 8 onwards this move cannot be selected in battle.</li>
</ul>"
sand-attack,Lowers the target's {accuracy;STAT;ACCURACY} by one stage.,"<i>Sand Attack</i> (formatted as <i>Sand-Attack</i> in Gen 1-5) lowers the target's {accuracy;STAT;ACCURACY} by one stage. This move is immune to type immunities.
<br/>
{Stats;STAT;STATS} can be lowered to a minimum of -6 stages each.<br/>
Pokémon with the abilities {Keen Eye;ABILITY;keen-eye}, {Clear Body;ABILITY;clear-body} or {White Smoke;ABILITY;white-smoke} cannot have their {accuracy;STAT;ACCURACY} reduced.
<ul>
  <li>In Gen 1, <i>Sand Attack</i> is {NORMAL;TYPE;Normal}-type.</li>
</ul>"
headbutt,Deals damage and has a 30% chance to make the target {flinch;STATUS;flinch}.,"<i>Headbutt</i> deals damage and has a 30% chance of causing the target to {flinch;STATUS;flinch}.
<br/>
Rolling Kick does not make target's behind a {Substitute;MOVE;substitute} or with the ability {Inner Focus;ABILITY;inner-focus} {flinch;STATUS;flinch}.
<ul>
  <li>In Gen 2 and Pokémon Heartgold and Soulsilver this move can be used to shake small trees to catch wild Pokémon.</li>
</ul>"
horn-attack,Deals damage with no additional effect.,<i>Horn Attack</i> deals regular damage with no additional effect.
fury-attack,Hits 2-5 times per use.,"<i>Fury Attack</i> deals damage and hits 2-5 times per turn used. Averages to 3 hits per use.<br/> In Generation 1, each hit will always deal the same damage - if the first critical hits, so will the rest.<br/> In Generations 1-3, <i>Fury Attack</i> ends immediately if any hit breaks a {Substitute;MOVE;substitute}.<br/> In Generations 2-4, if a {Focus Sash;ITEM;focus-sash} or {Focus Band;ITEM;focus-band} activates before the final hit, subsequent hits do not cause the holder to faint.<br/> The probability of each interval is shown in the table below, with the total power after each hit. <table> <thead> <th>Hits</th> <th>Chance</th> <th>Power</th> </thead> <tr> <td>2</td> <td>37,5%</td> <td>30</td> </tr> <tr> <td>3</td> <td>37,5%</td> <td>45</td> </tr> <tr> <td>4</td> <td>12,5%</td> <td>60</td> </tr> <tr> <td>5</td> <td>12,5%</td> <td>75</td> </tr> </table> Each strike of <i>Fury Attack</i> is treated like a separate attack:<br/> <ul> <li>Each strike can get a critical hit independently.</li> <li>Abilities that activate on contact ({Static;ABILITY;static}, {Weak Armor;ABILITY;weak-armor}, {Iron Barbs;ABILITY;iron-barbs} etc.) activate for each strike.</li> <li>If the {Sturdy;ABILITY;sturdy} ability, {Focus Sash;ITEM;focus-sash}, or {Focus Band;ITEM;focus-band} activates before the final hit, the subsequent hit will still deal damage and therefore cause the target to faint.</li> <li>If the first hit breaks a {Substitute;MOVE;substitute}, the second hit will deal damage to the target Pokémon.</li> <li>The move {Counter;MOVE;counter} only counters the final hit, but {Bide;MOVE;bide} counters the complete damage.</li> </ul> The {Skill Link;ABILITY;skill-link} ability will cause <i>Fury Attack</i> to always hit the maximum number of times."
horn-drill,Causes a one-hit KO.,"If <i>Horn Drill</i> hits, it causes the target to faint.<br/>Ignores {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.
<ul>
<li>In Gen 2 this move always deals exactly 65535 <i>(the largest 16-bit number)</i> {HP;STAT;HP} damage if it hits. Its accuracy is 30%. Horn Drill will break a {Substitute;MOVE;substitute} if it hits.<br/>Unlike other moves that skip the damage formula, Horn Drill does not bypass type immunities.<br/><i>Horn Drill</i> will not affect a target whose current {Speed;STAT;SPEED} is greater than the user's current {Speed;STAT;SPEED} stat.</li>
<li>In Gen 2 <i>Horn Drill</i> now deals damage equal to the target's current {HP;STAT;HP}. The accuracy of <i>Horn Drill</i> is now calculated using the following formula:<br/><img src=""https://wikimedia.org/api/rest_v1/media/math/render/svg/63cbb6daea16d7e101b4f7414dc5544d8a8fe0b9""/><br/>{Speed;STAT;SPEED} no longer has an impact on <i>Horn Drill</i> and will always fail if the user's level is lower than the target's<br/>If the user and target are the same level, it has a 30% chance to hit, gaining 0.78% chance for each level between the user and the target.<br/>The move reaches a 100% chance to hit with at least 90 levels between the user and the target.<br/>In Gen 2 this move was affected by {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.</li>
<li>From Generation 3 onwards this move's {accuracy;STAT;ACCURACY} is calculated with the following formula:<img src=""""https://wikimedia.org/api/rest_v1/media/math/render/svg/694c3e5c7942c26f5ea952d31f2452b2f33aaa0f""""/><br/>If the user and target are the same level, it has a 30% chance to hit, gaining 1% chance for each level between the user and the target.<br/>The move reaches a 100% chance to hit with at least 70 levels between the user and the target.<br/>If the user is a lower level than the target, the move always fail.<br/>This is no longer affected by {accuracy;STAT;ACCURACY} and {evasion;STAT;EVASION} modifiers.</li>
</ul>"
tackle,Deals damage with no additional effect.,"<i>Tackle</i> deals regular damage with no additional effects.
<ul>
  <li>In Gen 1-4, <i>Tackle</i> has 35 power. and 95% {accuracy;STAT;ACCURACY}</li>
  <li>In Gen 5-6, <i>Tackle</i> has 50 power.</li>
  <li>In {LA;GAME;legends-arceus} <i>Tackle's</i> PP was reduced from 35 to 30</li>
</ul>"
body-slam,Deals damage and has a 30% chance to {paralyze;STATUS;paralysis} the target.,"<i>Body Slam</i> deals damage and has a 30% chance of {paralyzing;STATUS;paralysis} the target.<br/>In Generation 2-5, {ELECTRIC;TYPE;Electric}-type Pokémon could also be paralyzed. <br/>
Pokémon are immune to {paralysis;STATUS;paralysis} if:
<ul>
<li>they are an {ELECTRIC;TYPE;Electric}-type Pokémon</li>
<li>have the ability {Limber;ABILITY;limber}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
<ul>
  <li>In Gen 1 <i>Body Slam</i> can not paralyze {NORMAL;TYPE;Normal}-type Pokémon</li>
  <li>In Gen 1-5 the {Minimize;MOVE;minimize} effect did not occur.</li>
</ul>"
wrap,Prevents the target from fleeing and deals damage for 2-5 turns.,"<i>Wrap</i> deals damage on the first turn then traps the target (preventing them from switching out or fleeing), causing them to lose <span style=""font-size: 1.3rem"">⅛</span> of their maximum {HP;STAT;HP} after each turn, for 4-5 turns.<br/>

If the user holds a {Grip Claw;ITEM;grip-claw}, the after-effects last for 7 turns. 
<br/>If a {Binding Band;ITEM;binding-band} is held, the damage is <span style=""font-size: 1.3rem"">⅙</span> of the target's maximum HP.
<ul>
  <li>In Gen 1 the target can not attack while under its effect.</li>
  <li>In Gen 1-4 <i>Wrap</i> has 75% {accuracy;STAT;ACCURACY} and the after-effects last for 2-5 turns. Holding {Grip Claw;ITEM;grip-claw} extends this to 5 turns.<br/>
  The following table shows the likelihood of 2-5 turns:
  <table>
    <thead>
    <th>Amount</th>
        <th>Chance</th>
    </thead>
    <body>
      <tr><td>2</td>
       <td>37.5%</td></tr>
      <tr><td>3</td>
       <td>37.5%</td></tr>
      <tr><td>4</td>
       <td>12.5%</td></tr>
      <tr><td>5</td>
       <td>12.5%</td></tr>
    </body>
    </table></li>
  <li>In Generations 2-5, the target loses only <span style=""font-size: 1.3rem"">⅛</span> while holding a {Binding Band;ITEM;binding-band}.</li>
  <li>In Gen 5 the {accuracy;STAT;ACCURACY} was changed from 75% to 85%</li>
</ul>"
take-down,"Deals damage and the user receives <span style=""font-size: 1.3rem"">¼</span> of the damage done as recoil.","<i>Take Down</i> deals damage, but the user receives 25% of the damage it dealt as recoil.
<ul>
  <li>In Gen 1 the user does not receive any recoil damage if <i>Take Down</i> breaks a {Substitute;MOVE;substitute}</li>
</ul>"
