id,version_group,version,location_area,pokemon,method,slot,rarity,min_level,max_level,conditions,min_perfect_ivs,always_shiny,never_shiny,is_alpha
71100,xd,xd,1295,phanpy,pokespot,2,35,10,20,,,,,
71101,xd,xd,1295,surskit,pokespot,3,15,10,20,,,,,
71102,xd,xd,1270,zubat,pokespot,1,50,10,21,,,,,
71103,xd,xd,1270,aron,pokespot,2,35,10,21,,,,,
71104,xd,xd,1270,wooper,pokespot,3,15,10,21,,,,,
71105,xd,xd,1297,elekid,npc-trade,,100,20,20,trade-togepi-or-togetic,,,,
71106,xd,xd,1250,meditite,npc-trade,,100,20,20,trade-trapinch,,,,
71107,xd,xd,1250,shuckle,npc-trade,,100,20,20,trade-surskit,,,,
71108,xd,xd,1250,larvitar,npc-trade,,100,20,20,trade-wooper,,,,
71109,xd,xd,1296,chikorita,gift,,100,5,5,other-complete-mt-battle,,,,
71110,xd,xd,1296,cyndaquil,gift,,100,5,5,other-complete-mt-battle,,,,
71111,xd,xd,1296,totodile,gift,,100,5,5,other-complete-mt-battle,,,,
71112,xd,xd,1297,togepi,gift,,100,25,25,,,,,
71113,xd,xd,1294,nosepass,snag,,100,26,26,,,,,
71114,xd,xd,1295,nosepass,snag,,100,26,26,,,,,
71115,xd,xd,1270,nosepass,snag,,100,26,26,,,,,
71116,xd,xd,1259,nosepass,snag,,100,26,26,,,,,
