pokemon,hp,attack,defense,special_attack,special_defense,speed,ev_hp,ev_attack,ev_defense,ev_special_attack,ev_special_defense,ev_speed
hippopotas,68,72,78,38,42,32,0,0,1,0,0,0
hippowdon,108,112,118,68,72,47,0,0,2,0,0,0
skorupi,40,50,90,30,55,65,0,0,1,0,0,0
drapion,70,90,110,60,75,95,0,0,2,0,0,0
croagunk,48,61,40,61,40,50,0,1,0,0,0,0
toxicroak,83,106,65,86,65,85,0,2,0,0,0,0
carnivine,74,100,72,90,72,46,0,2,0,0,0,0
finneon,49,49,56,49,61,66,0,0,0,0,0,1
lumineon,69,69,76,69,86,91,0,0,0,0,0,2
mantyke,45,20,50,60,120,50,0,0,0,0,1,0
snover,60,62,50,62,60,40,0,1,0,0,0,0
abomasnow,90,92,75,92,85,60,0,1,0,1,0,0
weavile,70,120,65,45,85,125,0,1,0,0,0,1
magnezone,70,70,115,130,90,60,0,0,0,3,0,0
lickilicky,110,85,95,80,95,50,3,0,0,0,0,0
rhyperior,115,140,130,55,55,40,0,3,0,0,0,0
tangrowth,100,100,125,110,50,50,0,0,2,0,0,0
electivire,75,123,67,95,85,95,0,3,0,0,0,0
magmortar,75,95,67,125,95,83,0,0,0,3,0,0
togekiss,85,50,95,120,115,80,0,0,0,2,1,0
yanmega,86,76,86,116,56,95,0,2,0,0,0,0
leafeon,65,110,130,60,65,95,0,0,2,0,0,0
glaceon,65,60,110,130,95,65,0,0,0,2,0,0
gliscor,75,95,125,45,75,95,0,0,2,0,0,0
mamoswine,110,130,80,70,60,80,0,3,0,0,0,0
porygon-z,85,80,70,135,75,90,0,0,0,3,0,0
gallade,68,125,65,65,115,80,0,3,0,0,0,0
probopass,60,55,145,75,150,40,0,0,1,0,2,0
dusknoir,45,100,135,65,135,45,0,0,1,0,2,0
froslass,70,80,70,80,70,110,0,0,0,0,0,2
rotom,50,50,77,95,77,91,0,0,0,1,0,1
uxie,75,75,130,75,130,95,0,0,2,0,1,0
mesprit,80,105,105,105,105,80,0,1,0,1,1,0
azelf,75,125,70,125,70,115,0,2,0,1,0,0
dialga,100,120,120,150,100,90,0,0,0,3,0,0
