identifier,id,generation,type,power,pp,accuracy,priority,target,damage_class,effect_id,effect_chance,contest_type,contest_effect_id,super_contest_effect_id,source
flamethrower,53,1,fire,90,15,100,0,selected-pokemon,special,5,10,beauty,1,17,both
mist,54,1,ice,,30,,0,users-field,status,47,,beauty,15,13,both
water-gun,55,1,water,40,25,100,0,selected-pokemon,special,1,,cute,1,5,both
hydro-pump,56,1,water,110,5,80,0,selected-pokemon,special,1,,beauty,1,17,both
surf,57,1,water,90,15,100,0,all-other-pokemon,special,258,,beauty,2,17,both
ice-beam,58,1,ice,90,10,100,0,selected-pokemon,special,6,10,beauty,23,17,both
blizzard,59,1,ice,110,5,70,0,all-opponents,special,261,10,beauty,1,17,both
psybeam,60,1,psychic,65,20,100,0,selected-pokemon,special,77,10,beauty,21,17,both
bubble-beam,61,1,water,65,20,100,0,selected-pokemon,special,71,10,beauty,5,2,both
aurora-beam,62,1,ice,65,20,100,0,selected-pokemon,special,69,10,beauty,23,17,both
hyper-beam,63,1,normal,150,5,90,0,selected-pokemon,special,81,,cool,6,22,both
peck,64,1,flying,35,35,100,0,selected-pokemon,physical,1,,cool,1,5,both
drill-peck,65,1,flying,80,20,100,0,selected-pokemon,physical,1,,cool,1,5,both
submission,66,1,fighting,80,20,80,0,selected-pokemon,physical,49,,cool,3,5,both
low-kick,67,1,fighting,,20,100,0,selected-pokemon,physical,197,,tough,4,5,both
counter,68,1,fighting,,20,100,-5,specific-move,physical,90,,tough,16,15,both
seismic-toss,69,1,fighting,,20,100,0,selected-pokemon,physical,88,,tough,23,5,both
strength,70,1,normal,80,15,100,0,selected-pokemon,physical,1,,tough,23,5,both
absorb,71,1,grass,20,25,100,0,selected-pokemon,special,4,,smart,9,20,both
mega-drain,72,1,grass,40,15,100,0,selected-pokemon,special,4,,smart,4,20,both
leech-seed,73,1,grass,,10,90,0,selected-pokemon,status,85,,smart,8,21,both
growth,74,1,normal,,20,,0,user,status,317,,beauty,32,11,both
razor-leaf,75,1,grass,55,25,95,0,all-opponents,physical,44,,cool,2,5,both
solar-beam,76,1,grass,120,10,100,0,selected-pokemon,special,152,,cool,1,6,both
poison-powder,77,1,poison,,35,75,0,selected-pokemon,status,67,,smart,33,19,both
stun-spore,78,1,grass,,30,75,0,selected-pokemon,status,68,,smart,14,19,both
sleep-powder,79,1,grass,,15,75,0,selected-pokemon,status,2,,smart,5,19,both
petal-dance,80,1,grass,120,10,100,0,random-opponent,special,28,,beauty,6,21,both
string-shot,81,1,bug,,40,95,0,all-opponents,status,61,,smart,9,19,both
dragon-rage,82,1,dragon,,10,100,0,selected-pokemon,special,42,,cool,26,5,both
fire-spin,83,1,fire,35,15,85,0,selected-pokemon,special,43,100,beauty,24,21,both
thunder-shock,84,1,electric,40,30,100,0,selected-pokemon,special,7,10,cool,1,5,both
thunderbolt,85,1,electric,90,15,100,0,selected-pokemon,special,7,10,cool,1,17,both
thunder-wave,86,1,electric,,20,90,0,selected-pokemon,status,68,,cool,14,19,both
thunder,87,1,electric,110,10,70,0,selected-pokemon,special,153,30,cool,8,17,both
rock-throw,88,1,rock,50,15,90,0,selected-pokemon,physical,1,,tough,12,5,both
earthquake,89,1,ground,100,10,100,0,all-other-pokemon,physical,148,,tough,5,18,both
fissure,90,1,ground,,5,30,0,selected-pokemon,physical,39,,tough,14,9,both
dig,91,1,ground,80,10,100,0,selected-pokemon,physical,257,,smart,15,6,both
toxic,92,1,poison,,10,90,0,selected-pokemon,status,34,,smart,33,19,both
confusion,93,1,psychic,50,25,100,0,selected-pokemon,special,77,10,smart,9,5,both
psychic,94,1,psychic,90,10,100,0,selected-pokemon,special,73,10,smart,5,17,both
hypnosis,95,1,psychic,,20,60,0,selected-pokemon,status,2,,smart,5,19,both
meditate,96,1,psychic,,40,,0,user,status,11,,beauty,32,11,both
agility,97,1,psychic,,30,,0,user,status,53,,cool,30,1,both
quick-attack,98,1,normal,40,30,100,1,selected-pokemon,physical,104,,cool,30,1,both
rage,99,1,normal,20,20,100,0,selected-pokemon,physical,82,,cool,17,11,both
teleport,100,1,psychic,,20,,-6,user,status,154,,cool,15,1,both
night-shade,101,1,ghost,,15,100,0,selected-pokemon,special,88,,smart,23,5,both
mimic,102,1,normal,,10,,0,selected-pokemon,status,83,,cute,19,12,both
screech,103,1,normal,,40,85,0,selected-pokemon,status,60,,smart,5,10,both
double-team,104,1,normal,,15,,0,user,status,17,,cool,16,1,both
recover,105,1,normal,,5,,0,user,status,33,,smart,23,8,both
harden,106,1,normal,,30,,0,user,status,12,,tough,16,13,both
minimize,107,1,normal,,10,,0,user,status,109,,cute,16,13,both
smokescreen,108,1,normal,,20,100,0,selected-pokemon,status,24,,smart,22,10,both
confuse-ray,109,1,ghost,,10,100,0,selected-pokemon,status,50,,smart,21,10,both
withdraw,110,1,water,,40,,0,user,status,12,,cute,15,13,both
defense-curl,111,1,normal,,40,,0,user,status,157,,cute,16,13,both
barrier,112,1,psychic,,20,,0,user,status,52,,cool,15,13,both
light-screen,113,1,psychic,,30,,0,users-field,status,36,,beauty,15,13,both
haze,114,1,ice,,30,,0,entire-field,status,26,,beauty,33,13,both
reflect,115,1,psychic,,20,,0,users-field,status,66,,smart,15,13,both
focus-energy,116,1,normal,,30,,0,user,status,48,,cool,5,11,both
bide,117,1,normal,,10,,1,user,physical,27,,tough,15,15,both
metronome,118,1,normal,,10,,0,user,status,84,,cute,17,14,both
mirror-move,119,1,flying,,20,,0,selected-pokemon,status,10,,smart,19,15,both
self-destruct,120,1,normal,200,5,100,0,all-other-pokemon,physical,8,,beauty,7,9,both
egg-bomb,121,1,normal,100,10,75,0,selected-pokemon,physical,1,,tough,1,5,both
lick,122,1,ghost,30,30,100,0,selected-pokemon,physical,7,30,tough,4,16,both
smog,123,1,poison,30,20,70,0,selected-pokemon,special,3,40,tough,5,5,both
sludge,124,1,poison,65,20,100,0,selected-pokemon,special,3,30,tough,4,18,both
bone-club,125,1,ground,65,20,85,0,selected-pokemon,physical,32,10,tough,10,5,both
fire-blast,126,1,fire,110,5,85,0,selected-pokemon,special,5,10,beauty,1,17,both
waterfall,127,1,water,80,15,100,0,selected-pokemon,physical,32,20,tough,28,5,both
clamp,128,1,water,35,15,85,0,selected-pokemon,physical,43,100,tough,24,5,both
swift,129,1,normal,60,20,,0,all-opponents,special,18,,cool,27,17,both
skull-bash,130,1,normal,130,10,100,0,selected-pokemon,physical,146,100,tough,4,6,both
spike-cannon,131,1,normal,20,15,100,0,selected-pokemon,physical,30,,cool,10,7,both
constrict,132,1,normal,10,35,100,0,selected-pokemon,physical,71,10,tough,9,21,both
amnesia,133,1,psychic,,20,,0,user,status,55,,cute,32,11,both
kinesis,134,1,psychic,,15,80,0,selected-pokemon,status,24,,smart,24,11,both
soft-boiled,135,1,normal,,5,,0,user,status,33,,beauty,1,8,both
high-jump-kick,136,1,fighting,130,10,90,0,selected-pokemon,physical,46,,cool,3,5,both
glare,137,1,normal,,30,100,0,selected-pokemon,status,68,,tough,5,19,both
dream-eater,138,1,psychic,100,15,100,0,selected-pokemon,special,9,,smart,8,20,both
poison-gas,139,1,poison,,40,90,0,all-opponents,status,67,,smart,33,5,both
barrage,140,1,normal,15,20,85,0,selected-pokemon,physical,30,,tough,12,7,both
leech-life,141,1,bug,80,10,100,0,selected-pokemon,physical,4,,smart,9,20,both
lovely-kiss,142,1,normal,,10,75,0,selected-pokemon,status,2,,beauty,5,19,both
sky-attack,143,1,flying,140,5,90,0,selected-pokemon,physical,76,30,cool,2,6,both
transform,144,1,normal,,10,,0,selected-pokemon,status,58,,smart,17,23,both
bubble,145,1,water,40,30,100,0,all-opponents,special,71,10,cute,8,2,both
dizzy-punch,146,1,normal,70,10,100,0,selected-pokemon,physical,77,20,cool,4,16,both
spore,147,1,grass,,15,100,0,selected-pokemon,status,2,,beauty,5,10,both
flash,148,1,normal,,20,100,0,selected-pokemon,status,24,,beauty,22,10,both
psywave,149,1,psychic,,15,100,0,selected-pokemon,special,89,,smart,14,5,both
splash,150,1,normal,,40,,0,user,status,86,,cute,28,16,both
acid-armor,151,1,poison,,20,,0,user,status,52,,tough,32,11,both
crabhammer,152,1,water,100,10,90,0,selected-pokemon,physical,44,,tough,2,18,both
explosion,153,1,normal,250,5,100,0,all-other-pokemon,physical,8,,beauty,7,9,both
fury-swipes,154,1,normal,18,15,80,0,selected-pokemon,physical,30,,tough,10,7,both
bonemerang,155,1,ground,50,10,90,0,selected-pokemon,physical,45,,tough,1,7,both
rest,156,1,psychic,,5,,0,user,status,38,,cute,16,8,both
rock-slide,157,1,rock,75,10,90,0,all-opponents,physical,32,30,tough,5,5,both
hyper-fang,158,1,normal,80,15,90,0,selected-pokemon,physical,32,10,cool,4,18,both
sharpen,159,1,normal,,30,,0,user,status,11,,cute,32,11,both
conversion,160,1,normal,,30,,0,user,status,31,,beauty,12,23,both
tri-attack,161,1,normal,80,10,100,0,selected-pokemon,special,37,20,beauty,8,5,both
super-fang,162,1,normal,,10,90,0,selected-pokemon,physical,41,,tough,14,5,both
slash,163,1,normal,70,20,100,0,selected-pokemon,physical,44,,cool,2,5,both
substitute,164,1,normal,,10,,0,user,status,80,,smart,16,23,both
struggle,165,1,normal,50,1,,0,random-opponent,physical,255,,cool,1,5,both
sketch,166,2,normal,,1,,0,selected-pokemon,status,96,,smart,19,23,both
triple-kick,167,2,fighting,10,10,90,0,selected-pokemon,physical,105,,cool,1,7,both
thief,168,2,dark,60,25,100,0,selected-pokemon,physical,106,,tough,20,12,both
spider-web,169,2,bug,,10,,0,selected-pokemon,status,107,,smart,18,13,both
mind-reader,170,2,normal,,5,,0,selected-pokemon,status,95,,smart,24,20,both
nightmare,171,2,ghost,,15,100,0,selected-pokemon,status,108,,smart,5,19,both
flame-wheel,172,2,fire,60,25,100,0,selected-pokemon,physical,126,10,beauty,1,7,both
snore,173,2,normal,50,15,100,0,selected-pokemon,special,93,30,cute,1,5,both
curse,174,2,ghost,,10,,0,specific-move,status,110,,tough,31,21,both
flail,175,2,normal,,15,100,0,selected-pokemon,physical,100,,cute,26,15,both
conversion-2,176,2,normal,,30,,0,selected-pokemon,status,94,,beauty,12,23,both
aeroblast,177,2,flying,100,5,95,0,selected-pokemon,special,44,,cool,2,22,both
cotton-spore,178,2,grass,,40,100,0,all-opponents,status,61,,beauty,10,1,both
reversal,179,2,fighting,,15,100,0,selected-pokemon,physical,100,,cool,28,15,both
spite,180,2,ghost,,10,100,0,selected-pokemon,status,101,,tough,26,19,both
powder-snow,181,2,ice,40,25,100,0,all-opponents,special,6,10,beauty,1,5,both
protect,182,2,normal,,10,,4,user,status,112,,cute,15,16,both
mach-punch,183,2,fighting,40,30,100,1,selected-pokemon,physical,104,,cool,30,1,both
scary-face,184,2,normal,,10,100,0,selected-pokemon,status,61,,tough,10,2,both
feint-attack,185,2,dark,60,20,,0,selected-pokemon,physical,18,,smart,27,18,both
sweet-kiss,186,2,fairy,,10,75,0,selected-pokemon,status,50,,cute,18,19,both
belly-drum,187,2,normal,,10,,0,user,status,143,,cute,32,11,both
sludge-bomb,188,2,poison,90,10,100,0,selected-pokemon,special,3,30,tough,10,18,both
mud-slap,189,2,ground,20,10,100,0,selected-pokemon,special,74,100,cute,10,5,both
octazooka,190,2,water,65,10,85,0,selected-pokemon,special,74,50,tough,10,4,both
spikes,191,2,ground,,20,,0,opponents-field,status,113,,smart,18,13,both
zap-cannon,192,2,electric,120,5,50,0,selected-pokemon,special,7,100,cool,1,4,both
foresight,193,2,normal,,40,,0,selected-pokemon,status,114,,smart,33,20,both
destiny-bond,194,2,ghost,,5,,0,user,status,99,,smart,7,9,both
perish-song,195,2,normal,,5,,0,all-pokemon,status,115,,beauty,14,10,both
icy-wind,196,2,ice,55,15,95,0,all-opponents,special,71,100,beauty,5,2,both
detect,197,2,fighting,,5,,4,user,status,112,,cool,16,16,both
bone-rush,198,2,ground,25,10,90,0,selected-pokemon,physical,30,,tough,1,7,both
lock-on,199,2,normal,,5,,0,selected-pokemon,status,95,,smart,24,20,both
outrage,200,2,dragon,120,10,100,0,random-opponent,physical,28,,cool,6,7,both
sandstorm,201,2,rock,,10,,0,entire-field,status,116,,tough,21,13,both
giga-drain,202,2,grass,75,10,100,0,selected-pokemon,special,4,,smart,10,20,both
endure,203,2,normal,,10,,4,user,status,117,,tough,16,13,both
charm,204,2,fairy,,20,100,0,selected-pokemon,status,59,,cute,23,19,both
rollout,205,2,rock,30,20,90,0,selected-pokemon,physical,118,,tough,24,7,both
false-swipe,206,2,normal,40,40,100,0,selected-pokemon,physical,102,,cool,5,16,both
swagger,207,2,normal,,15,85,0,selected-pokemon,status,119,,cute,27,19,both
milk-drink,208,2,normal,,5,,0,user,status,33,,cute,12,8,both
spark,209,2,electric,65,20,100,0,selected-pokemon,physical,7,30,cool,4,5,both
fury-cutter,210,2,bug,40,20,95,0,selected-pokemon,physical,120,,cool,17,7,both
steel-wing,211,2,steel,70,25,90,0,selected-pokemon,physical,139,10,cool,12,5,both
mean-look,212,2,normal,,5,,0,selected-pokemon,status,107,,beauty,18,10,both
attract,213,2,normal,,15,100,0,selected-pokemon,status,121,,cute,18,19,both
sleep-talk,214,2,normal,,10,,0,user,status,98,,cute,17,5,both
heal-bell,215,2,normal,,5,,0,user-and-allies,status,103,,beauty,28,8,both
return,216,2,normal,,20,100,0,selected-pokemon,physical,122,,cute,13,17,both
present,217,2,normal,,15,90,0,selected-pokemon,physical,123,,cute,17,16,both
frustration,218,2,normal,,20,100,0,selected-pokemon,physical,124,,cute,13,18,both
safeguard,219,2,normal,,25,,0,users-field,status,125,,beauty,15,13,both
pain-split,220,2,normal,,20,,0,selected-pokemon,status,92,,smart,4,10,both
sacred-fire,221,2,fire,100,5,95,0,selected-pokemon,physical,126,50,beauty,1,22,both
magnitude,222,2,ground,,30,100,0,all-other-pokemon,physical,127,,tough,11,18,both
dynamic-punch,223,2,fighting,100,5,50,0,selected-pokemon,physical,77,100,cool,10,18,both
megahorn,224,2,bug,120,10,85,0,selected-pokemon,physical,1,,cool,12,18,both
dragon-breath,225,2,dragon,60,20,100,0,selected-pokemon,special,7,30,cool,5,17,both
baton-pass,226,2,normal,,40,,0,user,status,128,,cute,18,16,both
encore,227,2,normal,,5,100,0,selected-pokemon,status,91,,cute,18,20,both
pursuit,228,2,dark,40,20,100,0,selected-pokemon,physical,129,,smart,14,20,both
rapid-spin,229,2,normal,50,40,100,0,selected-pokemon,physical,130,100,cool,16,17,both
sweet-scent,230,2,normal,,20,100,0,all-opponents,status,25,,cute,5,19,both
iron-tail,231,2,steel,100,15,75,0,selected-pokemon,physical,70,30,cool,4,18,both
metal-claw,232,2,steel,50,35,95,0,selected-pokemon,physical,140,10,cool,1,18,both
vital-throw,233,2,fighting,70,10,,-1,selected-pokemon,physical,79,,cool,31,2,both
morning-sun,234,2,normal,,5,,0,user,status,133,,beauty,25,8,both
synthesis,235,2,grass,,5,,0,user,status,133,,smart,25,8,both
moonlight,236,2,fairy,,5,,0,user,status,133,,beauty,25,8,both
hidden-power,237,2,normal,60,15,100,0,selected-pokemon,special,136,,smart,17,23,both
cross-chop,238,2,fighting,100,5,80,0,selected-pokemon,physical,44,,cool,2,18,both
twister,239,2,dragon,40,20,100,0,all-opponents,special,147,20,cool,21,5,both
rain-dance,240,2,water,,5,,0,entire-field,status,137,,tough,11,13,both
sunny-day,241,2,fire,,5,,0,entire-field,status,138,,beauty,11,13,both
crunch,242,2,dark,80,15,100,0,selected-pokemon,physical,70,20,tough,4,18,both
mirror-coat,243,2,psychic,,20,100,-5,specific-move,special,145,,beauty,16,15,both
psych-up,244,2,normal,,10,,0,selected-pokemon,status,144,,smart,12,11,both
extreme-speed,245,2,normal,80,5,100,2,selected-pokemon,physical,104,,cool,30,1,both
ancient-power,246,2,rock,60,5,100,0,selected-pokemon,special,141,10,tough,32,18,both
shadow-ball,247,2,ghost,80,15,100,0,selected-pokemon,special,73,20,smart,22,17,both
future-sight,248,2,psychic,120,10,100,0,selected-pokemon,special,149,,smart,24,17,both
rock-smash,249,2,fighting,40,15,100,0,selected-pokemon,physical,70,50,tough,29,18,both
whirlpool,250,2,water,35,15,85,0,selected-pokemon,special,262,100,beauty,24,21,both
beat-up,251,2,dark,,10,100,0,selected-pokemon,physical,155,,smart,14,7,both
fake-out,252,3,normal,40,10,100,3,selected-pokemon,physical,159,100,cute,23,17,both
uproar,253,3,normal,90,10,100,0,random-opponent,special,160,,cute,21,10,both
stockpile,254,3,normal,,20,,0,user,status,161,,tough,16,11,both
spit-up,255,3,normal,,10,100,0,selected-pokemon,special,162,,tough,1,18,both
swallow,256,3,normal,,10,,0,user,status,163,,tough,32,8,both
heat-wave,257,3,fire,95,10,90,0,all-opponents,special,5,10,beauty,1,17,both
hail,258,3,ice,,10,,0,entire-field,status,165,,beauty,5,13,both
torment,259,3,dark,,15,100,0,selected-pokemon,status,166,,tough,18,16,both
flatter,260,3,dark,,15,100,0,selected-pokemon,status,167,,smart,18,19,both
will-o-wisp,261,3,fire,,15,85,0,selected-pokemon,status,168,,beauty,4,17,both
memento,262,3,dark,,10,100,0,selected-pokemon,status,169,,tough,7,9,both
facade,263,3,normal,70,20,100,0,selected-pokemon,physical,170,,cute,28,15,both
focus-punch,264,3,fighting,150,20,100,-3,selected-pokemon,physical,171,,tough,31,6,both
smelling-salts,265,3,normal,70,10,100,0,selected-pokemon,physical,172,,smart,9,16,both
follow-me,266,3,normal,,20,,2,user,status,173,,cute,24,14,both
nature-power,267,3,normal,,20,,0,selected-pokemon,status,174,,beauty,11,14,both
charge,268,3,electric,,20,,0,user,status,175,,smart,12,11,both
taunt,269,3,dark,,20,100,0,selected-pokemon,status,176,,smart,18,16,both
helping-hand,270,3,normal,,20,,5,ally,status,177,,smart,18,20,both
trick,271,3,psychic,,10,100,0,selected-pokemon,status,178,,smart,12,12,both
role-play,272,3,psychic,,10,,0,selected-pokemon,status,179,,cute,20,23,both
wish,273,3,normal,,10,,0,user,status,180,,cute,24,8,both
assist,274,3,normal,,20,,0,user,status,181,,cute,25,14,both
ingrain,275,3,grass,,20,,0,user,status,182,,smart,15,21,both
superpower,276,3,fighting,120,5,100,0,selected-pokemon,physical,183,100,tough,3,18,both
magic-coat,277,3,psychic,,15,,4,user,status,184,,beauty,15,15,both
recycle,278,3,normal,,10,,0,user,status,185,,smart,17,12,both
revenge,279,3,fighting,60,10,100,-4,selected-pokemon,physical,186,,tough,31,15,both
brick-break,280,3,fighting,75,15,100,0,selected-pokemon,physical,187,,cool,4,5,both
yawn,281,3,normal,,10,,0,selected-pokemon,status,188,,cute,18,19,both
knock-off,282,3,dark,65,20,100,0,selected-pokemon,physical,189,,smart,4,5,both
endeavor,283,3,normal,,5,100,0,selected-pokemon,physical,190,,tough,28,15,both
eruption,284,3,fire,150,5,100,0,all-opponents,special,191,,beauty,26,18,both
skill-swap,285,3,psychic,,10,,0,selected-pokemon,status,192,,smart,20,12,both
imprison,286,3,psychic,,10,,0,user,status,193,,smart,33,20,both
refresh,287,3,normal,,20,,0,user,status,194,,cute,32,8,both
grudge,288,3,ghost,,5,,0,user,status,195,,tough,26,10,both
snatch,289,3,dark,,10,,4,user,status,196,,smart,14,12,both
secret-power,290,3,normal,70,20,100,0,selected-pokemon,physical,198,30,smart,29,14,both
dive,291,3,water,80,10,100,0,selected-pokemon,physical,256,,beauty,16,6,both
arm-thrust,292,3,fighting,15,20,100,0,selected-pokemon,physical,30,,tough,10,7,both
camouflage,293,3,normal,,20,,0,user,status,214,,smart,2,13,both
tail-glow,294,3,bug,,20,,0,user,status,322,,beauty,32,11,both
luster-purge,295,3,psychic,95,5,100,0,selected-pokemon,special,73,50,smart,9,22,both
mist-ball,296,3,psychic,95,5,100,0,selected-pokemon,special,72,50,smart,4,22,both
feather-dance,297,3,flying,,15,100,0,selected-pokemon,status,59,,beauty,28,19,both
teeter-dance,298,3,normal,,20,100,0,all-other-pokemon,status,200,,cute,6,14,both
blaze-kick,299,3,fire,85,10,90,0,selected-pokemon,physical,201,10,beauty,1,17,both
mud-sport,300,3,ground,,15,,0,entire-field,status,202,,cute,1,13,both
ice-ball,301,3,ice,30,20,90,0,selected-pokemon,physical,118,,beauty,24,7,both
needle-arm,302,3,grass,60,15,100,0,selected-pokemon,physical,32,30,smart,4,5,both
slack-off,303,3,normal,,5,,0,user,status,33,,cute,26,8,both
hyper-voice,304,3,normal,90,10,100,0,all-opponents,special,1,,cool,5,5,both
poison-fang,305,3,poison,50,15,100,0,selected-pokemon,physical,203,50,smart,33,4,both
crush-claw,306,3,normal,75,10,95,0,selected-pokemon,physical,70,50,cool,4,5,both
blast-burn,307,3,fire,150,5,90,0,selected-pokemon,special,81,,beauty,6,22,both
hydro-cannon,308,3,water,150,5,90,0,selected-pokemon,special,81,,beauty,6,22,both
meteor-mash,309,3,steel,90,10,90,0,selected-pokemon,physical,140,20,cool,12,18,both
astonish,310,3,ghost,30,15,100,0,selected-pokemon,physical,32,30,smart,9,5,both
weather-ball,311,3,normal,50,10,100,0,selected-pokemon,special,204,,smart,1,4,both
aromatherapy,312,3,grass,,5,,0,user-and-allies,status,103,,smart,28,8,both
fake-tears,313,3,dark,,20,100,0,selected-pokemon,status,63,,smart,28,19,both
air-cutter,314,3,flying,60,25,95,0,all-opponents,special,44,,cool,23,5,both
overheat,315,3,fire,130,5,90,0,selected-pokemon,special,205,100,beauty,3,22,both
odor-sleuth,316,3,normal,,40,,0,selected-pokemon,status,114,,smart,33,20,both
rock-tomb,317,3,rock,60,15,95,0,selected-pokemon,physical,71,100,smart,24,2,both
silver-wind,318,3,bug,60,5,100,0,selected-pokemon,special,141,10,beauty,32,4,both
metal-sound,319,3,steel,,40,85,0,selected-pokemon,status,63,,smart,5,10,both
grass-whistle,320,3,grass,,15,55,0,selected-pokemon,status,2,,smart,5,19,both
tickle,321,3,normal,,20,100,0,selected-pokemon,status,206,,cute,33,19,both
cosmic-power,322,3,psychic,,20,,0,user,status,207,,cool,32,11,both
water-spout,323,3,water,150,5,100,0,all-opponents,special,191,,beauty,26,22,both
signal-beam,324,3,bug,75,15,100,0,selected-pokemon,special,77,10,beauty,21,4,both
shadow-punch,325,3,ghost,60,20,,0,selected-pokemon,physical,18,,smart,27,17,both
extrasensory,326,3,psychic,80,20,100,0,selected-pokemon,special,32,10,cool,4,17,both
sky-uppercut,327,3,fighting,85,15,90,0,selected-pokemon,physical,208,,cool,23,17,both
sand-tomb,328,3,ground,35,15,85,0,selected-pokemon,physical,43,100,smart,24,21,both
sheer-cold,329,3,ice,,5,30,0,selected-pokemon,special,39,,beauty,14,9,both
muddy-water,330,3,water,90,10,85,0,all-opponents,special,74,30,tough,10,18,both
bullet-seed,331,3,grass,25,30,100,0,selected-pokemon,physical,30,,cool,14,7,both
aerial-ace,332,3,flying,60,20,,0,selected-pokemon,physical,18,,cool,27,17,both
icicle-spear,333,3,ice,25,30,100,0,selected-pokemon,physical,30,,beauty,23,7,both
iron-defense,334,3,steel,,15,,0,user,status,52,,tough,15,13,both
block,335,3,normal,,5,,0,selected-pokemon,status,107,,cute,18,13,both
howl,336,3,normal,,40,,0,user-and-allies,status,11,,cool,32,11,both
dragon-claw,337,3,dragon,80,15,100,0,selected-pokemon,physical,1,,cool,23,17,both
