pokemon,form,version_group,versions,location_area,method,levels,on_terrain_land,probability_overall,group_rate,group_pokemon,hidden_ability_possible,tera_raid_star_level,lvl_after_way_home,on_terrain_watersurface,on_terrain_underwater,on_terrain_overland,on_terrain_sky,note,probability_morning,probability_day,probability_evening,probability_night,trade_for
arrokuda,arrokuda,scarlet-violet,scarlet;violet,oni-mountain-riverside,symbol-encounter,14 - 17,,300,,,,,55 - 61,true,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,poco-path-ocean,symbol-encounter,2 - 4,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-paldean-sea-ocean,symbol-encounter,8 - 23,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-five-riverside,symbol-encounter,16 - 23,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-five-ocean,symbol-encounter,19 - 23,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-four-riverside,symbol-encounter,16 - 20,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-four-ocean,symbol-encounter,16 - 20,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-one-riverside,symbol-encounter,2 - 8,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-one-ocean,symbol-encounter,3 - 7,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,south-province-area-two-riverside,symbol-encounter,7 - 13,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,tagtree-thicket-riverside,symbol-encounter,26 - 30,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,west-paldean-sea-ocean,symbol-encounter,18 - 30,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,west-province-area-one-riverside,symbol-encounter,13 - 17,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,west-province-area-one-ocean,symbol-encounter,13 - 20,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,west-province-area-two-riverside,symbol-encounter,22 - 29,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,west-province-area-two-ocean,symbol-encounter,26 - 29,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,20,,,,,,2,,,,,,,,,,,
articuno,articuno,scarlet-violet,scarlet;violet,glaseado-mountain,special-encounter,70,,one,,,,,,,,,,Spawns after receiving a {Articuno Treat;ITEM;articuno-treat} from Snacksworth,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,casseroya-lake-lake,symbol-encounter,50 - 54,true,100,100%,bergmite,,,,true,,,,Only in eastern lake,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,casseroya-lake,fixed-encounter,,,,,,,,,,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,glaseado-mountain-southern-mountain-snowfield,symbol-encounter,37 - 42,true,20,100%,bergmite,,,,true,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-snowfield,symbol-encounter,37 - 41,true,20,100%,bergmite,,,,true,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-ocean,symbol-encounter,38 - 41,true,20,100%,bergmite,,,,true,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,glaseado-mountain,fixed-tera-encounter,45,,,,,,,,,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,north-paldean-sea-ocean,symbol-encounter,38 - 50,true,20,100%,bergmite,,,,true,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
avalugg,avalugg,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,canyon-biome-nature-preserve-prairie,symbol-encounter,59 - 70,true,170,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,canyon-biome-nature-preserve-cave,symbol-encounter,60 - 71,true,180,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,dalizapa-passage-northern-passage-mountain,symbol-encounter,34 - 37,true,60,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,glaseado-mountain-southern-mountain-mountain,symbol-encounter,34 - 42,true,60,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,polar-biome-polar-plaza-cave,symbol-encounter,63 - 72,true,180,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,south-province-area-five-mountain,symbol-encounter,16 - 23,true,60,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,south-province-area-five-riverside,symbol-encounter,16 - 23,true,20,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,west-province-area-one,static-encounter,,,,,,,,,,,,,,,,,,
axew,axew,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,35,,,,,true,3,,,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,casseroya-lake-lake,symbol-encounter,49 - 50,true,30,100%,marill,,,,true,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,casseroya-lake-riverside,symbol-encounter,49 - 50,true,30,100%,marill,,,,true,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,casseroya-lake,fixed-tera-encounter,,,,,,,,,,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,west-province-area-three-lake,symbol-encounter,28 - 30,true,30,100%,marill,,,,true,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,west-province-area-three-riverside,symbol-encounter,32 - 35,true,30,100%,marill,,,,true,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,west-province-area-two-riverside,symbol-encounter,28 - 29,true,30,100%,marill,,,,true,,,,,,,,,
azumarill,azumarill,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
azurill,azurill,scarlet-violet,scarlet;violet,south-province-area-one-lake,symbol-encounter,6 - 8,true,60,,,,,,true,,,,,,,,,
azurill,azurill,scarlet-violet,scarlet;violet,south-province-area-one-riverside,symbol-encounter,5 - 8,true,60,,,,,,true,,,,,,,,,
azurill,azurill,scarlet-violet,scarlet;violet,south-province-area-two-riverside,symbol-encounter,7 - 8,true,60,,,,,,true,,,,,,,,,
azurill,azurill,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,12,,,,,,1,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,alfornada-cavern,symbol-encounter,37 - 38,true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,colonnade-hollow,symbol-encounter,23 - 29,true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,dalizapa-passage-northern-passage-cave,symbol-encounter,34 - 38,true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,east-province-area-three-cave,symbol-encounter,"17 - 28, 36",true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,east-province-area-three-mine,symbol-encounter,22 - 29,true,3,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,glaseado-mountain-northern-mountain-cave,symbol-encounter,34 - 38,true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,south-province-area-five-mountain,symbol-encounter,16 - 23,true,50,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,west-province-area-one-cave,symbol-encounter,"16, 18 - 20",true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,west-province-area-two-cave,symbol-encounter,23 - 29,true,10,,,,,,,,,,,,,,,
bagon,bagon,scarlet-violet,violet,random-around-paldea,tera-raid-battle,35,,,,,true,3,,,,,,,,,,,
banette,banette,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-town,symbol-encounter,36 - 39,true,,,,,,,,,,,,0,0,0,70,
banette,banette,scarlet-violet,scarlet;violet,south-province-area-six-town,symbol-encounter,38 - 43,true,,,,,,,,,,,,0,0,0,70,
banette,banette,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,crystal-pool-lake-caves-cave-water,symbol-encounter,25 - 33,true,900,,,,,63 - 71,true,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,east-province-area-three-lake,symbol-encounter,24 - 28,,60,,,,,,,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,fellhorn-gorge-lake,symbol-encounter,27 - 34,,500,,,,,,true,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,fellhorn-gorge-riverside,symbol-encounter,27 - 34,,500,,,,,,true,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,south-province-area-five-lake,symbol-encounter,17 - 21,,60,,,,,,,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,south-province-area-four-lake,symbol-encounter,16 - 20,,60,,,,,,,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,tagtree-thicket-lake,symbol-encounter,29 - 32,,60,,,,,,,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,west-province-area-three-lake,symbol-encounter,28 - 30,,60,,,,,,,true,,,,,,,,
barboach,barboach,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,12,,,,,,1,,,,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,chilling-waterhead-cave-water,symbol-encounter,27 - 34,true,100,,,,,62 - 72,true,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,east-paldean-sea-ocean,symbol-encounter,26 - 36,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,east-province-area-three-riverside,symbol-encounter,26 - 29,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,east-province-area-three-ocean,symbol-encounter,26,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,fellhorn-gorge-lake,symbol-encounter,27 - 34,,100,,,,,,true,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,fellhorn-gorge-riverside,symbol-encounter,27 - 34,,100,,,,,,true,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-riverside,symbol-encounter,34 - 40,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-ocean,symbol-encounter,38 - 41,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,north-paldean-sea-ocean,symbol-encounter,38 - 45,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,north-province-area-three-riverside,symbol-encounter,43 - 45,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,north-province-area-three-ocean,symbol-encounter,43 - 45,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,south-province-area-six-riverside,symbol-encounter,37 - 40,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,south-province-area-six-ocean,symbol-encounter,38 - 44,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,tagtree-thicket-riverside,symbol-encounter,26 - 32,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,west-paldean-sea-ocean,symbol-encounter,26 - 42,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,west-province-area-three-riverside,symbol-encounter,32 - 35,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,west-province-area-two-riverside,symbol-encounter,26 - 29,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,west-province-area-two-ocean,symbol-encounter,26 - 29,,20,100%,arrokuda,,,,,true,,,,,,,,
barraskewda,barraskewda,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
basculegion-female,basculegion-female,scarlet-violet,violet,random-around-kitakami,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
basculegion-female,basculegion-female,scarlet-violet,violet,random-around-kitakami,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
basculegion-male,basculegion-male,scarlet-violet,scarlet,random-around-kitakami,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
basculegion-male,basculegion-male,scarlet-violet,scarlet,random-around-kitakami,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,east-province-area-one-riverside,symbol-encounter,18 - 23,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,east-province-area-three-lake,symbol-encounter,24 - 28,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,east-province-area-three-riverside,symbol-encounter,23 - 29,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,east-province-area-two-riverside,symbol-encounter,19 - 23,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-lake,symbol-encounter,36 - 39,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
basculin-blue-striped,basculin-blue-striped,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-riverside,symbol-encounter,34 - 40,,60,70%,basculin-blue-striped,,,,,true,,,,,,,,
