identifier,id,species,is_default,height_m,weight_kg,order,is_mega,is_gmax,form_name,source
zubat,41,41,1,0.8,7.5,73,0,0,,both
golbat,42,42,1,1.6,55,74,0,0,,both
oddish,43,43,1,0.5,5.4,76,0,0,,both
gloom,44,44,1,0.8,8.6,77,0,0,,both
vileplume,45,45,1,1.2,18.6,78,0,0,,both
paras,46,46,1,0.3,5.4,80,0,0,,both
parasect,47,47,1,1,29.5,81,0,0,,both
venonat,48,48,1,1,30,82,0,0,,both
venomoth,49,49,1,1.5,12.5,83,0,0,,both
diglett,50,50,1,0.2,0.8,84,0,0,,both
dugtrio,51,51,1,0.7,33.3,86,0,0,,both
meowth,52,52,1,0.4,4.2,88,0,0,,both
persian,53,53,1,1,32,91,0,0,,both
psyduck,54,54,1,0.8,19.6,93,0,0,,both
golduck,55,55,1,1.7,76.6,94,0,0,,both
mankey,56,56,1,0.5,28,95,0,0,,both
primeape,57,57,1,1,32,96,0,0,,both
growlithe,58,58,1,0.7,19,97,0,0,,both
arcanine,59,59,1,1.9,155,98,0,0,,both
poliwag,60,60,1,0.6,12.4,99,0,0,,both
poliwhirl,61,61,1,1,20,100,0,0,,both
poliwrath,62,62,1,1.3,54,101,0,0,,both
abra,63,63,1,0.9,19.5,103,0,0,,both
kadabra,64,64,1,1.3,56.5,104,0,0,,both
alakazam,65,65,1,1.5,48,105,0,0,,both
machop,66,66,1,0.8,19.5,107,0,0,,both
machoke,67,67,1,1.5,70.5,108,0,0,,both
machamp,68,68,1,1.6,130,109,0,0,,both
bellsprout,69,69,1,0.7,4,110,0,0,,both
weepinbell,70,70,1,1,6.4,111,0,0,,both
victreebel,71,71,1,1.7,15.5,112,0,0,,both
tentacool,72,72,1,0.9,45.5,113,0,0,,both
tentacruel,73,73,1,1.6,55,114,0,0,,both
geodude,74,74,1,0.4,20,115,0,0,,both
graveler,75,75,1,1,105,117,0,0,,both
golem,76,76,1,1.4,300,119,0,0,,both
ponyta,77,77,1,1,30,121,0,0,,both
rapidash,78,78,1,1.7,95,123,0,0,,both
slowpoke,79,79,1,1.2,36,125,0,0,,both
slowbro,80,80,1,1.6,78.5,127,0,0,,both
magnemite,81,81,1,0.3,6,132,0,0,,both
magneton,82,82,1,1,60,133,0,0,,both
farfetchd,83,83,1,0.8,15,135,0,0,,both
doduo,84,84,1,1.4,39.2,137,0,0,,both
dodrio,85,85,1,1.8,85.2,138,0,0,,both
seel,86,86,1,1.1,90,139,0,0,,both
dewgong,87,87,1,1.7,120,140,0,0,,both
grimer,88,88,1,0.9,30,141,0,0,,both
muk,89,89,1,1.2,30,143,0,0,,both
shellder,90,90,1,0.3,4,145,0,0,,both
cloyster,91,91,1,1.5,132.5,146,0,0,,both
gastly,92,92,1,1.3,0.1,147,0,0,,both
haunter,93,93,1,1.6,0.1,148,0,0,,both
gengar,94,94,1,1.5,40.5,149,0,0,,both
onix,95,95,1,8.8,210,151,0,0,,both
drowzee,96,96,1,1,32.4,154,0,0,,both
hypno,97,97,1,1.6,75.6,155,0,0,,both
krabby,98,98,1,0.4,6.5,156,0,0,,both
kingler,99,99,1,1.3,60,157,0,0,,both
voltorb,100,100,1,0.5,10.4,158,0,0,,both
electrode,101,101,1,1.2,66.6,159,0,0,,both
exeggcute,102,102,1,0.4,2.5,160,0,0,,both
exeggutor,103,103,1,2,120,161,0,0,,both
cubone,104,104,1,0.4,6.5,163,0,0,,both
marowak,105,105,1,1,45,164,0,0,,both
hitmonlee,106,106,1,1.5,49.8,168,0,0,,both
hitmonchan,107,107,1,1.4,50.2,169,0,0,,both
lickitung,108,108,1,1.2,65.5,171,0,0,,both
koffing,109,109,1,0.6,1,173,0,0,,both
weezing,110,110,1,1.2,9.5,174,0,0,,both
rhyhorn,111,111,1,1,115,176,0,0,,both
rhydon,112,112,1,1.9,120,177,0,0,,both
chansey,113,113,1,1.1,34.6,180,0,0,,both
tangela,114,114,1,1,35,182,0,0,,both
kangaskhan,115,115,1,2.2,80,184,0,0,,both
horsea,116,116,1,0.4,8,186,0,0,,both
seadra,117,117,1,1.2,25,187,0,0,,both
goldeen,118,118,1,0.6,15,189,0,0,,both
seaking,119,119,1,1.3,39,190,0,0,,both
staryu,120,120,1,0.8,34.5,191,0,0,,both
starmie,121,121,1,1.1,80,192,0,0,,both
mr-mime,122,122,1,1.3,54.5,194,0,0,,both
scyther,123,123,1,1.5,56,196,0,0,,both
jynx,124,124,1,1.4,40.6,200,0,0,,both
electabuzz,125,125,1,1.1,30,202,0,0,,both
magmar,126,126,1,1.3,44.5,205,0,0,,both
pinsir,127,127,1,1.5,55,207,0,0,,both
tauros,128,128,1,1.4,88.4,209,0,0,,both
magikarp,129,129,1,0.9,10,210,0,0,,both
gyarados,130,130,1,6.5,235,211,0,0,,both
lapras,131,131,1,2.5,220,213,0,0,,both
ditto,132,132,1,0.3,4,214,0,0,,both
eevee,133,133,1,0.3,6.5,215,0,0,,both
vaporeon,134,134,1,1,29,217,0,0,,both
jolteon,135,135,1,0.8,24.5,218,0,0,,both
flareon,136,136,1,0.9,25,219,0,0,,both
porygon,137,137,1,0.8,36.5,225,0,0,,both
omanyte,138,138,1,0.4,7.5,228,0,0,,both
omastar,139,139,1,1,35,229,0,0,,both
kabuto,140,140,1,0.5,11.5,230,0,0,,both
kabutops,141,141,1,1.3,40.5,231,0,0,,both
aerodactyl,142,142,1,1.8,59,232,0,0,,both
snorlax,143,143,1,2.1,460,235,0,0,,both
articuno,144,144,1,1.7,55.4,236,0,0,,both
zapdos,145,145,1,1.6,52.6,238,0,0,,both
moltres,146,146,1,2,60,240,0,0,,both
dratini,147,147,1,1.8,3.3,242,0,0,,both
dragonair,148,148,1,4,16.5,243,0,0,,both
dragonite,149,149,1,2.2,210,244,0,0,,both
mewtwo,150,150,1,2,122,245,0,0,,both
mew,151,151,1,0.4,4,248,0,0,,both
chikorita,152,152,1,0.9,6.4,249,0,0,,both
bayleef,153,153,1,1.2,15.8,250,0,0,,both
meganium,154,154,1,1.8,100.5,251,0,0,,both
cyndaquil,155,155,1,0.5,7.9,252,0,0,,both
quilava,156,156,1,0.9,19,253,0,0,,both
typhlosion,157,157,1,1.7,79.5,254,0,0,,both
totodile,158,158,1,0.6,9.5,255,0,0,,both
croconaw,159,159,1,1.1,25,256,0,0,,both
feraligatr,160,160,1,2.3,88.8,257,0,0,,both
sentret,161,161,1,0.8,6,258,0,0,,both
furret,162,162,1,1.8,32.5,259,0,0,,both
hoothoot,163,163,1,0.7,21.2,260,0,0,,both
noctowl,164,164,1,1.6,40.8,261,0,0,,both
ledyba,165,165,1,1,10.8,262,0,0,,both
ledian,166,166,1,1.4,35.6,263,0,0,,both
spinarak,167,167,1,0.5,8.5,264,0,0,,both
ariados,168,168,1,1.1,33.5,265,0,0,,both
crobat,169,169,1,1.8,75,75,0,0,,both
chinchou,170,170,1,0.5,12,266,0,0,,both
lanturn,171,171,1,1.2,22.5,267,0,0,,both
pichu,172,172,1,0.3,2,34,0,0,,both
cleffa,173,173,1,0.3,3,63,0,0,,both
igglybuff,174,174,1,0.3,1,70,0,0,,both
togepi,175,175,1,0.3,1.5,268,0,0,,both
togetic,176,176,1,0.6,3.2,269,0,0,,both
natu,177,177,1,0.2,2,271,0,0,,both
xatu,178,178,1,1.5,15,272,0,0,,both
mareep,179,179,1,0.6,7.8,273,0,0,,both
flaaffy,180,180,1,0.8,13.3,274,0,0,,both
ampharos,181,181,1,1.4,61.5,275,0,0,,both
bellossom,182,182,1,0.4,5.8,79,0,0,,both
marill,183,183,1,0.4,8.5,278,0,0,,both
azumarill,184,184,1,0.8,28.5,279,0,0,,both
sudowoodo,185,185,1,1.2,38,281,0,0,,both
politoed,186,186,1,1.1,33.9,102,0,0,,both
hoppip,187,187,1,0.4,0.5,282,0,0,,both
skiploom,188,188,1,0.6,1,283,0,0,,both
jumpluff,189,189,1,0.8,3,284,0,0,,both
aipom,190,190,1,0.8,11.5,285,0,0,,both
sunkern,191,191,1,0.3,1.8,287,0,0,,both
sunflora,192,192,1,0.8,8.5,288,0,0,,both
yanma,193,193,1,1.2,38,289,0,0,,both
wooper,194,194,1,0.4,8.5,291,0,0,,both
quagsire,195,195,1,1.4,75,292,0,0,,both
espeon,196,196,1,0.9,26.5,220,0,0,,both
umbreon,197,197,1,1,27,221,0,0,,both
murkrow,198,198,1,0.5,2.1,293,0,0,,both
slowking,199,199,1,2,79.5,130,0,0,,both
misdreavus,200,200,1,0.7,1,295,0,0,,both
unown,201,201,1,0.5,5,297,0,0,A,both
wobbuffet,202,202,1,1.3,28.5,299,0,0,,both
girafarig,203,203,1,1.5,41.5,300,0,0,,both
pineco,204,204,1,0.6,7.2,301,0,0,,both
forretress,205,205,1,1.2,125.8,302,0,0,,both
dunsparce,206,206,1,1.5,14,303,0,0,,both
gligar,207,207,1,1.1,64.8,304,0,0,,both
steelix,208,208,1,9.2,400,152,0,0,,both
snubbull,209,209,1,0.6,7.8,306,0,0,,both
granbull,210,210,1,1.4,48.7,307,0,0,,both
qwilfish,211,211,1,0.5,3.9,308,0,0,,both
scizor,212,212,1,1.8,118,197,0,0,,both
shuckle,213,213,1,0.6,20.5,309,0,0,,both
heracross,214,214,1,1.5,54,310,0,0,,both
sneasel,215,215,1,0.9,28,312,0,0,,both
teddiursa,216,216,1,0.6,8.8,314,0,0,,both
ursaring,217,217,1,1.8,125.8,315,0,0,,both
slugma,218,218,1,0.7,35,316,0,0,,both
magcargo,219,219,1,0.8,55,317,0,0,,both
swinub,220,220,1,0.4,6.5,318,0,0,,both
piloswine,221,221,1,1.1,55.8,319,0,0,,both
corsola,222,222,1,0.6,5,321,0,0,,both
remoraid,223,223,1,0.6,12,323,0,0,,both
octillery,224,224,1,0.9,28.5,324,0,0,,both
delibird,225,225,1,0.9,16,325,0,0,,both
mantine,226,226,1,2.1,220,327,0,0,,both
skarmory,227,227,1,1.7,50.5,328,0,0,,both
houndour,228,228,1,0.6,10.8,329,0,0,,both
houndoom,229,229,1,1.4,35,330,0,0,,both
kingdra,230,230,1,1.8,152,188,0,0,,both
phanpy,231,231,1,0.5,33.5,332,0,0,,both
donphan,232,232,1,1.1,120,333,0,0,,both
porygon2,233,233,1,0.6,32.5,226,0,0,,both
stantler,234,234,1,1.4,71.2,334,0,0,,both
smeargle,235,235,1,1.2,58,335,0,0,,both
tyrogue,236,236,1,0.7,21,167,0,0,,both
hitmontop,237,237,1,1.4,48,170,0,0,,both
smoochum,238,238,1,0.4,6,199,0,0,,both
elekid,239,239,1,0.6,23.5,201,0,0,,both
magby,240,240,1,0.7,21.4,204,0,0,,both
miltank,241,241,1,1.2,75.5,336,0,0,,both
blissey,242,242,1,1.5,46.8,181,0,0,,both
raikou,243,243,1,1.9,178,337,0,0,,both
entei,244,244,1,2.1,198,338,0,0,,both
suicune,245,245,1,2,187,339,0,0,,both
larvitar,246,246,1,0.6,72,340,0,0,,both
pupitar,247,247,1,1.2,152,341,0,0,,both
tyranitar,248,248,1,2,202,342,0,0,,both
lugia,249,249,1,5.2,216,344,0,0,,both
ho-oh,250,250,1,3.8,199,345,0,0,,both
celebi,251,251,1,0.6,5,346,0,0,,both
treecko,252,252,1,0.5,5,347,0,0,,both
grovyle,253,253,1,0.9,21.6,348,0,0,,both
sceptile,254,254,1,1.7,52.2,349,0,0,,both
torchic,255,255,1,0.4,2.5,351,0,0,,both
combusken,256,256,1,0.9,19.5,352,0,0,,both
blaziken,257,257,1,1.9,52,353,0,0,,both
mudkip,258,258,1,0.4,7.6,355,0,0,,both
marshtomp,259,259,1,0.7,28,356,0,0,,both
swampert,260,260,1,1.5,81.9,357,0,0,,both
poochyena,261,261,1,0.5,13.6,359,0,0,,both
mightyena,262,262,1,1,37,360,0,0,,both
zigzagoon,263,263,1,0.4,17.5,361,0,0,,both
linoone,264,264,1,0.5,32.5,363,0,0,,both
wurmple,265,265,1,0.3,3.6,365,0,0,,both
silcoon,266,266,1,0.6,10,366,0,0,,both
beautifly,267,267,1,1,28.4,367,0,0,,both
cascoon,268,268,1,0.7,11.5,368,0,0,,both
dustox,269,269,1,1.2,31.6,369,0,0,,both
lotad,270,270,1,0.5,2.6,370,0,0,,both
lombre,271,271,1,1.2,32.5,371,0,0,,both
ludicolo,272,272,1,1.5,55,372,0,0,,both
seedot,273,273,1,0.5,4,373,0,0,,both
nuzleaf,274,274,1,1,28,374,0,0,,both
shiftry,275,275,1,1.3,59.6,375,0,0,,both
taillow,276,276,1,0.3,2.3,376,0,0,,both
swellow,277,277,1,0.7,19.8,377,0,0,,both
wingull,278,278,1,0.6,9.5,378,0,0,,both
pelipper,279,279,1,1.2,28,379,0,0,,both
ralts,280,280,1,0.4,6.6,380,0,0,,both
kirlia,281,281,1,0.8,20.2,381,0,0,,both
gardevoir,282,282,1,1.6,48.4,382,0,0,,both
surskit,283,283,1,0.5,1.7,386,0,0,,both
masquerain,284,284,1,0.8,3.6,387,0,0,,both
shroomish,285,285,1,0.4,4.5,388,0,0,,both
breloom,286,286,1,1.2,39.2,389,0,0,,both
slakoth,287,287,1,0.8,24,390,0,0,,both
vigoroth,288,288,1,1.4,46.5,391,0,0,,both
slaking,289,289,1,2,130.5,392,0,0,,both
nincada,290,290,1,0.5,5.5,393,0,0,,both
ninjask,291,291,1,0.8,12,394,0,0,,both
shedinja,292,292,1,0.8,1.2,395,0,0,,both
whismur,293,293,1,0.6,16.3,396,0,0,,both
loudred,294,294,1,1,40.5,397,0,0,,both
exploud,295,295,1,1.5,84,398,0,0,,both
makuhita,296,296,1,1,86.4,399,0,0,,both
hariyama,297,297,1,2.3,253.8,400,0,0,,both
azurill,298,298,1,0.2,2,277,0,0,,both
nosepass,299,299,1,1,97,401,0,0,,both
skitty,300,300,1,0.6,11,403,0,0,,both
delcatty,301,301,1,1.1,32.6,404,0,0,,both
sableye,302,302,1,0.5,11,405,0,0,,both
mawile,303,303,1,0.6,11.5,407,0,0,,both
aron,304,304,1,0.4,60,409,0,0,,both
lairon,305,305,1,0.9,120,410,0,0,,both
aggron,306,306,1,2.1,360,411,0,0,,both
meditite,307,307,1,0.6,11.2,413,0,0,,both
medicham,308,308,1,1.3,31.5,414,0,0,,both
electrike,309,309,1,0.6,15.2,416,0,0,,both
manectric,310,310,1,1.5,40.2,417,0,0,,both
plusle,311,311,1,0.4,4.2,419,0,0,,both
minun,312,312,1,0.4,4.2,420,0,0,,both
volbeat,313,313,1,0.7,17.7,421,0,0,,both
illumise,314,314,1,0.6,17.7,422,0,0,,both
roselia,315,315,1,0.3,2,424,0,0,,both
gulpin,316,316,1,0.4,10.3,426,0,0,,both
swalot,317,317,1,1.7,80,427,0,0,,both
carvanha,318,318,1,0.8,20.8,428,0,0,,both
sharpedo,319,319,1,1.8,88.8,429,0,0,,both
wailmer,320,320,1,2,130,431,0,0,,both
wailord,321,321,1,14.5,398,432,0,0,,both
numel,322,322,1,0.7,24,433,0,0,,both
camerupt,323,323,1,1.9,220,434,0,0,,both
torkoal,324,324,1,0.5,80.4,436,0,0,,both
spoink,325,325,1,0.7,30.6,437,0,0,,both
grumpig,326,326,1,0.9,71.5,438,0,0,,both
spinda,327,327,1,1.1,5,439,0,0,,both
trapinch,328,328,1,0.7,15,440,0,0,,both
vibrava,329,329,1,1.1,15.3,441,0,0,,both
flygon,330,330,1,2,82,442,0,0,,both
cacnea,331,331,1,0.4,51.3,443,0,0,,both
cacturne,332,332,1,1.3,77.4,444,0,0,,both
swablu,333,333,1,0.4,1.2,445,0,0,,both
altaria,334,334,1,1.1,20.6,446,0,0,,both
zangoose,335,335,1,1.3,40.3,448,0,0,,both
seviper,336,336,1,2.7,52.5,449,0,0,,both
lunatone,337,337,1,1,168,450,0,0,,both
solrock,338,338,1,1.2,154,451,0,0,,both
barboach,339,339,1,0.4,1.9,452,0,0,,both
whiscash,340,340,1,0.9,23.6,453,0,0,,both
corphish,341,341,1,0.6,11.5,454,0,0,,both
crawdaunt,342,342,1,1.1,32.8,455,0,0,,both
baltoy,343,343,1,0.5,21.5,456,0,0,,both
claydol,344,344,1,1.5,108,457,0,0,,both
lileep,345,345,1,1,23.8,458,0,0,,both
cradily,346,346,1,1.5,60.4,459,0,0,,both
anorith,347,347,1,0.7,12.5,460,0,0,,both
armaldo,348,348,1,1.5,68.2,461,0,0,,both
feebas,349,349,1,0.6,7.4,462,0,0,,both
milotic,350,350,1,6.2,162,463,0,0,,both
castform,351,351,1,0.3,0.8,464,0,0,Normal,both
kecleon,352,352,1,1,22,468,0,0,,both
shuppet,353,353,1,0.6,2.3,469,0,0,,both
banette,354,354,1,1.1,12.5,470,0,0,,both
duskull,355,355,1,0.8,15,472,0,0,,both
dusclops,356,356,1,1.6,30.6,473,0,0,,both
tropius,357,357,1,2,100,475,0,0,,both
chimecho,358,358,1,0.6,1,477,0,0,,both
absol,359,359,1,1.2,47,478,0,0,,both
wynaut,360,360,1,0.6,14,298,0,0,,both
snorunt,361,361,1,0.7,16.8,480,0,0,,both
glalie,362,362,1,1.5,256.5,481,0,0,,both
spheal,363,363,1,0.8,39.5,484,0,0,,both
sealeo,364,364,1,1.1,87.6,485,0,0,,both
walrein,365,365,1,1.4,150.6,486,0,0,,both
clamperl,366,366,1,0.4,52.5,487,0,0,,both
huntail,367,367,1,1.7,27,488,0,0,,both
gorebyss,368,368,1,1.8,22.6,489,0,0,,both
relicanth,369,369,1,1,23.4,490,0,0,,both
luvdisc,370,370,1,0.6,8.7,491,0,0,,both
bagon,371,371,1,0.6,42.1,492,0,0,,both
shelgon,372,372,1,1.1,110.5,493,0,0,,both
salamence,373,373,1,1.5,102.6,494,0,0,,both
beldum,374,374,1,0.6,95.2,496,0,0,,both
metang,375,375,1,1.2,202.5,497,0,0,,both
metagross,376,376,1,1.6,550,498,0,0,,both
regirock,377,377,1,1.7,230,500,0,0,,both
regice,378,378,1,1.8,175,501,0,0,,both
registeel,379,379,1,1.9,205,502,0,0,,both
latias,380,380,1,1.4,40,503,0,0,,both
latios,381,381,1,2,60,505,0,0,,both
kyogre,382,382,1,4.5,352,507,0,0,Kyogre,both
groudon,383,383,1,3.5,950,509,0,0,Groudon,both
rayquaza,384,384,1,7,206.5,511,0,0,,both
jirachi,385,385,1,0.3,1.1,513,0,0,,both
deoxys-normal,386,386,1,1.7,60.8,514,0,0,Normal Forme,both
turtwig,387,387,1,0.4,10.2,518,0,0,,both
grotle,388,388,1,1.1,97,519,0,0,,both
torterra,389,389,1,2.2,310,520,0,0,,both
chimchar,390,390,1,0.5,6.2,521,0,0,,both
monferno,391,391,1,0.9,22,522,0,0,,both
infernape,392,392,1,1.2,55,523,0,0,,both
piplup,393,393,1,0.4,5.2,524,0,0,,both
prinplup,394,394,1,0.8,23,525,0,0,,both
empoleon,395,395,1,1.7,84.5,526,0,0,,both
starly,396,396,1,0.3,2,527,0,0,,both
staravia,397,397,1,0.6,15.5,528,0,0,,both
staraptor,398,398,1,1.2,24.9,529,0,0,,both
bidoof,399,399,1,0.5,20,530,0,0,,both
bibarel,400,400,1,1,31.5,531,0,0,,both
kricketot,401,401,1,0.3,2.2,532,0,0,,both
kricketune,402,402,1,1,25.5,533,0,0,,both
shinx,403,403,1,0.5,9.5,534,0,0,,both
luxio,404,404,1,0.9,30.5,535,0,0,,both
luxray,405,405,1,1.4,42,536,0,0,,both
budew,406,406,1,0.2,1.2,423,0,0,,both
roserade,407,407,1,0.9,14.5,425,0,0,,both
cranidos,408,408,1,0.9,31.5,537,0,0,,both
rampardos,409,409,1,1.6,102.5,538,0,0,,both
shieldon,410,410,1,0.5,57,539,0,0,,both
bastiodon,411,411,1,1.3,149.5,540,0,0,,both
burmy,412,412,1,0.2,3.4,541,0,0,Plant Cloak,both
wormadam-plant,413,413,1,0.5,6.5,542,0,0,Plant Cloak,both
mothim,414,414,1,0.9,23.3,545,0,0,,both
combee,415,415,1,0.3,5.5,546,0,0,,both
vespiquen,416,416,1,1.2,38.5,547,0,0,,both
pachirisu,417,417,1,0.4,3.9,548,0,0,,both
buizel,418,418,1,0.7,29.5,549,0,0,,both
floatzel,419,419,1,1.1,33.5,550,0,0,,both
cherubi,420,420,1,0.4,3.3,551,0,0,,both
cherrim,421,421,1,0.5,9.3,552,0,0,Overcast Form,both
shellos,422,422,1,0.3,6.3,553,0,0,West Sea,both
gastrodon,423,423,1,0.9,29.9,554,0,0,West Sea,both
ambipom,424,424,1,1.2,20.3,286,0,0,,both
drifloon,425,425,1,0.4,1.2,555,0,0,,both
drifblim,426,426,1,1.2,15,556,0,0,,both
buneary,427,427,1,0.4,5.5,557,0,0,,both
lopunny,428,428,1,1.2,33.3,558,0,0,,both
mismagius,429,429,1,0.9,4.4,296,0,0,,both
honchkrow,430,430,1,0.9,27.3,294,0,0,,both
glameow,431,431,1,0.5,3.9,560,0,0,,both
purugly,432,432,1,1,43.8,561,0,0,,both
chingling,433,433,1,0.2,0.6,476,0,0,,both
stunky,434,434,1,0.4,19.2,562,0,0,,both
skuntank,435,435,1,1,38,563,0,0,,both
bronzor,436,436,1,0.5,60.5,564,0,0,,both
bronzong,437,437,1,1.3,187,565,0,0,,both
bonsly,438,438,1,0.5,15,280,0,0,,both
mime-jr,439,439,1,0.6,13,193,0,0,,both
happiny,440,440,1,0.6,24.4,179,0,0,,both
chatot,441,441,1,0.5,1.9,566,0,0,,both
spiritomb,442,442,1,1,108,567,0,0,,both
gible,443,443,1,0.7,20.5,568,0,0,,both
gabite,444,444,1,1.4,56,569,0,0,,both
garchomp,445,445,1,1.9,95,570,0,0,,both
munchlax,446,446,1,0.6,105,234,0,0,,both
riolu,447,447,1,0.7,20.2,572,0,0,,both
lucario,448,448,1,1.2,54,573,0,0,,both
hippopotas,449,449,1,0.8,49.5,575,0,0,,both
hippowdon,450,450,1,2,300,576,0,0,,both
skorupi,451,451,1,0.8,12,577,0,0,,both
drapion,452,452,1,1.3,61.5,578,0,0,,both
croagunk,453,453,1,0.7,23,579,0,0,,both
toxicroak,454,454,1,1.3,44.4,580,0,0,,both
carnivine,455,455,1,1.4,27,581,0,0,,both
finneon,456,456,1,0.4,7,582,0,0,,both
lumineon,457,457,1,1.2,24,583,0,0,,both
mantyke,458,458,1,1,65,326,0,0,,both
snover,459,459,1,1,50.5,584,0,0,,both
abomasnow,460,460,1,2.2,135.5,585,0,0,,both
weavile,461,461,1,1.1,34,313,0,0,,both
magnezone,462,462,1,1.2,180,134,0,0,,both
lickilicky,463,463,1,1.7,140,172,0,0,,both
rhyperior,464,464,1,2.4,282.8,178,0,0,,both
tangrowth,465,465,1,2,128.6,183,0,0,,both
electivire,466,466,1,1.8,138.6,203,0,0,,both
magmortar,467,467,1,1.6,68,206,0,0,,both
togekiss,468,468,1,1.5,38,270,0,0,,both
yanmega,469,469,1,1.9,51.5,290,0,0,,both
leafeon,470,470,1,1,25.5,222,0,0,,both
glaceon,471,471,1,0.8,25.9,223,0,0,,both
gliscor,472,472,1,2,42.5,305,0,0,,both
mamoswine,473,473,1,2.5,291,320,0,0,,both
porygon-z,474,474,1,0.9,34,227,0,0,,both
gallade,475,475,1,1.6,52,384,0,0,,both
probopass,476,476,1,1.4,340,402,0,0,,both
dusknoir,477,477,1,2.2,106.6,474,0,0,,both
froslass,478,478,1,1.3,26.6,483,0,0,,both
rotom,479,479,1,0.3,0.3,587,0,0,Rotom,both
uxie,480,480,1,0.3,0.3,593,0,0,,both
mesprit,481,481,1,0.3,0.3,594,0,0,,both
azelf,482,482,1,0.3,0.3,595,0,0,,both
dialga,483,483,1,5.4,683,596,0,0,,both
palkia,484,484,1,4.2,336,597,0,0,,both
heatran,485,485,1,1.7,430,598,0,0,,both
regigigas,486,486,1,3.7,420,599,0,0,,both
giratina-altered,487,487,1,4.5,750,600,0,0,Altered Forme,both
cresselia,488,488,1,1.5,85.6,602,0,0,,both
phione,489,489,1,0.4,3.1,603,0,0,,both
manaphy,490,490,1,0.3,1.4,604,0,0,,both
darkrai,491,491,1,1.5,50.5,605,0,0,,both
shaymin-land,492,492,1,0.2,2.1,606,0,0,Land Forme,both
arceus,493,493,1,3.2,320,608,0,0,Normal Type,both
victini,494,494,1,0.4,4,609,0,0,,both
snivy,495,495,1,0.6,8.1,610,0,0,,both
servine,496,496,1,0.8,16,611,0,0,,both
serperior,497,497,1,3.3,63,612,0,0,,both
tepig,498,498,1,0.5,9.9,613,0,0,,both
pignite,499,499,1,1,55.5,614,0,0,,both
emboar,500,500,1,1.6,150,615,0,0,,both
oshawott,501,501,1,0.5,5.9,616,0,0,,both
dewott,502,502,1,0.8,24.5,617,0,0,,both
samurott,503,503,1,1.5,94.6,618,0,0,,both
patrat,504,504,1,0.5,11.6,619,0,0,,both
watchog,505,505,1,1.1,27,620,0,0,,both
lillipup,506,506,1,0.4,4.1,621,0,0,,both
herdier,507,507,1,0.9,14.7,622,0,0,,both
stoutland,508,508,1,1.2,61,623,0,0,,both
purrloin,509,509,1,0.4,10.1,624,0,0,,both
liepard,510,510,1,1.1,37.5,625,0,0,,both
pansage,511,511,1,0.6,10.5,626,0,0,,both
simisage,512,512,1,1.1,30.5,627,0,0,,both
pansear,513,513,1,0.6,11,628,0,0,,both
simisear,514,514,1,1,28,629,0,0,,both
panpour,515,515,1,0.6,13.5,630,0,0,,both
simipour,516,516,1,1,29,631,0,0,,both
munna,517,517,1,0.6,23.3,632,0,0,,both
musharna,518,518,1,1.1,60.5,633,0,0,,both
pidove,519,519,1,0.3,2.1,634,0,0,,both
tranquill,520,520,1,0.6,15,635,0,0,,both
unfezant,521,521,1,1.2,29,636,0,0,,both
