move,tag
explosion,damage
explosion,unique-effect
fury-swipes,damage
bonemerang,damage
rest,charging
rest,heal
rock-slide,damage
rock-slide,flinch
hyper-fang,damage
hyper-fang,flinch
sharpen,good-stat-increase
conversion,unique-effect
tri-attack,damage
tri-attack,burn
tri-attack,freeze
tri-attack,paralysis
super-fang,damage
super-fang,unique-effect
slash,damage
slash,crit
substitute,unique-effect
struggle,damage
struggle,recoil
sketch,unique-effect
triple-kick,damage
triple-kick,unique-effect
thief,unique-effect
spider-web,trap
mind-reader,never-misses
nightmare,damage
nightmare,unique-effect
flame-wheel,damage
flame-wheel,burn
snore,damage
snore,flinch
curse,damage
curse,stat-drawback
curse,good-stat-increase
curse,unique-effect
flail,damage
conversion-2,unique-effect
aeroblast,damage
aeroblast,crit
cotton-spore,good-stat-decrease
reversal,damage
spite,unique-effect
powder-snow,damage
powder-snow,freeze
protect,shield
mach-punch,damage
mach-punch,increased-priority
scary-face,good-stat-decrease
feint-attack,damage
feint-attack,never-misses
sweet-kiss,confusion
belly-drum,good-stat-increase
belly-drum,recoil
sludge-bomb,damage
sludge-bomb,poison
mud-slap,damage
mud-slap,good-stat-decrease
octazooka,damage
octazooka,good-stat-decrease
spikes,unique-effect
zap-cannon,damage
zap-cannon,paralysis
foresight,unique-effect
destiny-bond,unique-effect
perish-song,unique-effect
icy-wind,damage
icy-wind,good-stat-decrease
detect,shield
bone-rush,damage
lock-on,unique-effect
outrage,damage
outrage,status-drawback
sandstorm,weather-change
giga-drain,damage
giga-drain,drain
endure,unique-effect
charm,good-stat-decrease
rollout,damage
rollout,unique-effect
false-swipe,damage
false-swipe,unique-effect
swagger,bad-stat-increase
swagger,confusion
milk-drink,heal
spark,damage
spark,paralysis
fury-cutter,damage
fury-cutter,unique-effect
steel-wing,damage
steel-wing,good-stat-increase
mean-look,trap
attract,infatuation
sleep-talk,unique-effect
heal-bell,unique-effect
return,damage
present,damage
present,unique-effect
frustration,damage
safeguard,partial-field-effect
pain-split,unique-effect
sacred-fire,damage
sacred-fire,burn
magnitude,damage
dynamic-punch,damage
dynamic-punch,confusion
megahorn,damage
dragon-breath,damage
dragon-breath,paralysis
baton-pass,force-switch-out
encore,unique-effect
pursuit,damage
pursuit,unique-effect
rapid-spin,partial-field-effect
rapid-spin,unique-effect
sweet-scent,good-stat-decrease
iron-tail,damage
iron-tail,good-stat-decrease
metal-claw,damage
metal-claw,good-stat-increase
vital-throw,damage
vital-throw,never-misses
morning-sun,heal
synthesis,heal
moonlight,heal
hidden-power,damage
hidden-power,unique-effect
cross-chop,damage
cross-chop,crit
twister,damage
twister,flinch
rain-dance,weather-change
sunny-day,weather-change
crunch,damage
crunch,good-stat-decrease
mirror-coat,damage
mirror-coat,unique-effect
psych-up,unique-effect
extreme-speed,damage
extreme-speed,increased-priority
ancient-power,damage
ancient-power,good-stat-increase
shadow-ball,damage
shadow-ball,good-stat-decrease
future-sight,damage
future-sight,charging
rock-smash,damage
rock-smash,good-stat-decrease
whirlpool,damage
whirlpool,trap
beat-up,damage
beat-up,unique-effect
fake-out,damage
fake-out,flinch
uproar,damage
uproar,unique-effect
stockpile,unique-effect
spit-up,damage
swallow,heal
heat-wave,damage
heat-wave,burn
hail,weather-change
torment,unique-effect
flatter,bad-stat-increase
flatter,confusion
will-o-wisp,burn
memento,good-stat-decrease
memento,unique-effect
facade,damage
focus-punch,damage
focus-punch,decreased-priority
smelling-salts,damage
follow-me,unique-effect
nature-power,unique-effect
charge,good-stat-increase
taunt,unique-effect
helping-hand,unique-effect
trick,unique-effect
role-play,unique-effect
wish,heal
assist,unique-effect
ingrain,heal
ingrain,unique-effect
superpower,damage
superpower,stat-drawback
magic-coat,damage
magic-coat,shield
recycle,unique-effect
revenge,damage
brick-break,damage
brick-break,whole-field-effect
yawn,sleep
knock-off,unique-effect
endeavor,damage
endeavor,unique-effect
eruption,damage
skill-swap,unique-effect
imprison,unique-effect
refresh,heal
grudge,unique-effect
snatch,unique-effect
secret-power,damage
secret-power,poison
secret-power,burn
secret-power,freeze
secret-power,paralysis
dive,damage
dive,charging
arm-thrust,damage
camouflage,unique-effect
tail-glow,good-stat-increase
luster-purge,damage
luster-purge,good-stat-decrease
mist-ball,damage
mist-ball,good-stat-decrease
feather-dance,good-stat-decrease
teeter-dance,confusion
blaze-kick,damage
blaze-kick,crit
blaze-kick,burn
mud-sport,unique-effect
ice-ball,damage
needle-arm,damage
needle-arm,flinch
slack-off,heal
hyper-voice,damage
poison-fang,damage
poison-fang,poison
crush-claw,damage
crush-claw,good-stat-decrease
blast-burn,damage
blast-burn,recharge
hydro-cannon,damage
hydro-cannon,recharge
meteor-mash,damage
meteor-mash,good-stat-increase
astonish,damage
astonish,flinch
weather-ball,damage
weather-ball,unique-effect
aromatherapy,unique-effect
fake-tears,good-stat-decrease
air-cutter,damage
air-cutter,crit
overheat,damage
overheat,stat-drawback
odor-sleuth,unique-effect
rock-tomb,damage
rock-tomb,good-stat-decrease
silver-wind,damage
silver-wind,good-stat-increase
metal-sound,good-stat-decrease
grass-whistle,sleep
tickle,good-stat-decrease
cosmic-power,good-stat-increase
water-spout,damage
signal-beam,damage
signal-beam,confusion
shadow-punch,damage
shadow-punch,never-misses
extrasensory,damage
extrasensory,flinch
sky-uppercut,damage
sky-uppercut,unique-effect
sand-tomb,damage
sand-tomb,trap
sheer-cold,ohko
muddy-water,damage
muddy-water,good-stat-decrease
bullet-seed,damage
aerial-ace,damage
aerial-ace,never-misses
icicle-spear,damage
iron-defense,good-stat-increase
block,trap
howl,good-stat-increase
dragon-claw,damage
frenzy-plant,damage
frenzy-plant,recharge
bulk-up,good-stat-increase
bounce,damage
bounce,charging
bounce,shield
mud-shot,damage
mud-shot,good-stat-decrease
poison-tail,damage
poison-tail,crit
poison-tail,poison
covet,unique-effect
volt-tackle,damage
volt-tackle,recoil
volt-tackle,paralysis
magical-leaf,damage
magical-leaf,never-misses
water-sport,unique-effect
calm-mind,good-stat-increase
leaf-blade,damage
leaf-blade,crit
dragon-dance,good-stat-increase
rock-blast,damage
shock-wave,damage
shock-wave,never-misses
water-pulse,damage
water-pulse,confusion
doom-desire,damage
doom-desire,charging
psycho-boost,damage
psycho-boost,stat-drawback
roost,heal
gravity,unique-effect
miracle-eye,unique-effect
wake-up-slap,damage
hammer-arm,damage
hammer-arm,stat-drawback
gyro-ball,damage
healing-wish,unique-effect
brine,damage
natural-gift,damage
feint,damage
feint,shield-break
pluck,damage
pluck,unique-effect
tailwind,good-stat-increase
tailwind,unique-effect
acupressure,good-stat-increase
metal-burst,damage
metal-burst,unique-effect
u-turn,damage
u-turn,force-switch-out
close-combat,damage
close-combat,stat-drawback
payback,damage
assurance,damage
embargo,unique-effect
fling,damage
fling,unique-effect
psycho-shift,unique-effect
trump-card,damage
heal-block,unique-effect
wring-out,damage
power-trick,unique-effect
gastro-acid,unique-effect
lucky-chant,shield
me-first,damage
me-first,unique-effect
me-first,never-misses
me-first,increased-priority
copycat,unique-effect
power-swap,unique-effect
guard-swap,unique-effect
punishment,damage
last-resort,damage
last-resort,unique-effect
worry-seed,unique-effect
sucker-punch,damage
sucker-punch,unique-effect
toxic-spikes,poison
toxic-spikes,unique-effect
heart-swap,unique-effect
aqua-ring,heal
magnet-rise,unique-effect
flare-blitz,damage
flare-blitz,recoil
flare-blitz,burn
force-palm,damage
force-palm,paralysis
aura-sphere,damage
aura-sphere,never-misses
rock-polish,good-stat-increase
poison-jab,damage
poison-jab,poison
dark-pulse,damage
dark-pulse,flinch
night-slash,damage
night-slash,crit
aqua-tail,damage
seed-bomb,damage
air-slash,damage
air-slash,flinch
x-scissor,damage
bug-buzz,damage
bug-buzz,good-stat-decrease
dragon-pulse,damage
dragon-rush,damage
dragon-rush,flinch
power-gem,damage
drain-punch,damage
drain-punch,drain
vacuum-wave,damage
vacuum-wave,increased-priority
focus-blast,damage
focus-blast,good-stat-decrease
energy-ball,damage
energy-ball,good-stat-decrease
brave-bird,damage
brave-bird,recoil
earth-power,damage
earth-power,good-stat-decrease
switcheroo,unique-effect
giga-impact,damage
giga-impact,recharge
nasty-plot,good-stat-increase
bullet-punch,damage
avalanche,damage
ice-shard,damage
ice-shard,increased-priority
shadow-claw,damage
shadow-claw,crit
thunder-fang,damage
thunder-fang,paralysis
thunder-fang,flinch
ice-fang,damage
ice-fang,freeze
ice-fang,flinch
fire-fang,damage
fire-fang,burn
fire-fang,flinch
shadow-sneak,damage
shadow-sneak,increased-priority
mud-bomb,damage
mud-bomb,good-stat-decrease
psycho-cut,damage
psycho-cut,crit
zen-headbutt,damage
zen-headbutt,flinch
mirror-shot,damage
mirror-shot,good-stat-decrease
flash-cannon,damage
flash-cannon,good-stat-decrease
rock-climb,damage
rock-climb,confusion
defog,good-stat-decrease
defog,partial-field-effect
trick-room,unique-effect
trick-room,decreased-priority
draco-meteor,damage
draco-meteor,stat-drawback
discharge,damage
discharge,paralysis
lava-plume,damage
lava-plume,burn
leaf-storm,damage
leaf-storm,stat-drawback
power-whip,damage
rock-wrecker,damage
rock-wrecker,recharge
cross-poison,damage
cross-poison,crit
cross-poison,poison
gunk-shot,damage
gunk-shot,poison
iron-head,damage
iron-head,flinch
magnet-bomb,damage
magnet-bomb,never-misses
stone-edge,damage
stone-edge,crit
captivate,good-stat-decrease
stealth-rock,unique-effect
grass-knot,damage
chatter,damage
chatter,confusion
judgment,damage
judgment,unique-effect
bug-bite,damage
bug-bite,unique-effect
charge-beam,damage
charge-beam,good-stat-increase
wood-hammer,damage
wood-hammer,recoil
aqua-jet,damage
aqua-jet,increased-priority
attack-order,damage
attack-order,crit
defend-order,good-stat-increase
heal-order,heal
head-smash,damage
head-smash,recoil
double-hit,damage
roar-of-time,damage
roar-of-time,recharge
spacial-rend,damage
spacial-rend,crit
lunar-dance,heal
lunar-dance,unique-effect
crush-grip,damage
magma-storm,damage
magma-storm,trap
dark-void,sleep
seed-flare,damage
seed-flare,good-stat-decrease
ominous-wind,damage
ominous-wind,good-stat-increase
shadow-force,damage
shadow-force,charging
shadow-force,shield-break
hone-claws,good-stat-increase
wide-guard,shield
guard-split,unique-effect
power-split,unique-effect
wonder-room,unique-effect
psyshock,damage
venoshock,damage
autotomize,good-stat-increase
rage-powder,unique-effect
telekinesis,unique-effect
magic-room,unique-effect
smack-down,damage
smack-down,unique-effect
storm-throw,damage
storm-throw,100pct-crit
flame-burst,damage
sludge-wave,damage
sludge-wave,poison
quiver-dance,good-stat-increase
heavy-slam,damage
synchronoise,damage
synchronoise,unique-effect
electro-ball,damage
soak,unique-effect
flame-charge,damage
flame-charge,good-stat-increase
coil,good-stat-increase
low-sweep,damage
low-sweep,good-stat-decrease
acid-spray,damage
acid-spray,good-stat-decrease
foul-play,damage
simple-beam,unique-effect
entrainment,unique-effect
after-you,unique-effect
round,damage
echoed-voice,damage
chip-away,damage
clear-smog,unique-effect
stored-power,damage
quick-guard,unique-effect
ally-switch,unique-effect
scald,damage
scald,burn
shell-smash,stat-drawback
shell-smash,good-stat-decrease
heal-pulse,heal
hex,damage
sky-drop,charging
sky-drop,shield
shift-gear,good-stat-increase
circle-throw,damage
circle-throw,force-switch-out
incinerate,damage
incinerate,unique-effect
quash,unique-effect
acrobatics,damage
reflect-type,unique-effect
retaliate,damage
final-gambit,damage
final-gambit,unique-effect
bestow,unique-effect
inferno,damage
inferno,burn
water-pledge,damage
water-pledge,unique-effect
fire-pledge,damage
fire-pledge,unique-effect
grass-pledge,damage
grass-pledge,unique-effect
volt-switch,damage
volt-switch,force-switch-out
struggle-bug,damage
struggle-bug,good-stat-decrease
bulldoze,damage
bulldoze,good-stat-decrease
frost-breath,damage
frost-breath,100pct-crit
dragon-tail,damage
dragon-tail,force-switch-out
work-up,good-stat-increase
electroweb,damage
electroweb,good-stat-decrease
wild-charge,damage
wild-charge,recoil
drill-run,damage
drill-run,crit
dual-chop,damage
heart-stamp,damage
heart-stamp,flinch
horn-leech,damage
horn-leech,drain
sacred-sword,damage
razor-shell,damage
razor-shell,good-stat-decrease
heat-crash,damage
leaf-tornado,damage
leaf-tornado,good-stat-decrease
steamroller,damage
steamroller,flinch
cotton-guard,good-stat-increase
night-daze,damage
night-daze,good-stat-decrease
psystrike,damage
tail-slap,damage
hurricane,damage
hurricane,confusion
head-charge,damage
head-charge,recoil
gear-grind,damage
searing-shot,damage
searing-shot,burn
techno-blast,damage
relic-song,damage
relic-song,sleep
secret-sword,damage
glaciate,damage
glaciate,good-stat-decrease
bolt-strike,damage
bolt-strike,paralysis
blue-flare,damage
blue-flare,burn
fiery-dance,damage
fiery-dance,good-stat-increase
freeze-shock,damage
freeze-shock,charging
freeze-shock,paralysis
ice-burn,damage
ice-burn,charging
ice-burn,burn
snarl,damage
snarl,good-stat-decrease
icicle-crash,damage
icicle-crash,flinch
v-create,damage
v-create,good-stat-decrease
fusion-flare,damage
fusion-bolt,damage
flying-press,damage
mat-block,shield
belch,damage
rototiller,unique-effect
sticky-web,partial-field-effect
fell-stinger,damage
fell-stinger,good-stat-increase
phantom-force,damage
phantom-force,charging
phantom-force,shield
phantom-force,shield-break
trick-or-treat,unique-effect
noble-roar,good-stat-decrease
ion-deluge,unique-effect
parabolic-charge,damage
parabolic-charge,heal
forests-curse,unique-effect
petal-blizzard,damage
freeze-dry,damage
disarming-voice,damage
disarming-voice,never-misses
parting-shot,good-stat-decrease
parting-shot,force-switch-out
topsy-turvy,unique-effect
draining-kiss,damage
draining-kiss,drain
crafty-shield,shield
flower-shield,unique-effect
grassy-terrain,heal
grassy-terrain,unique-effect
misty-terrain,unique-effect
electrify,unique-effect
play-rough,damage
play-rough,good-stat-decrease
fairy-wind,damage
moonblast,damage
moonblast,good-stat-decrease
boomburst,damage
fairy-lock,trap
kings-shield,unique-effect
kings-shield,shield
play-nice,good-stat-decrease
confide,good-stat-decrease
diamond-storm,damage
diamond-storm,good-stat-increase
steam-eruption,damage
steam-eruption,burn
hyperspace-hole,damage
hyperspace-hole,never-misses
hyperspace-hole,shield-break
water-shuriken,damage
mystical-fire,damage
mystical-fire,good-stat-decrease
spiky-shield,damage
spiky-shield,shield
aromatic-mist,good-stat-increase
eerie-impulse,good-stat-decrease
venom-drench,good-stat-decrease
powder,damage
powder,unique-effect
geomancy,good-stat-increase
geomancy,charging
magnetic-flux,good-stat-increase
happy-hour,unique-effect
electric-terrain,unique-effect
dazzling-gleam,damage
celebrate,unique-effect
hold-hands,unique-effect
baby-doll-eyes,good-stat-decrease
nuzzle,damage
nuzzle,paralysis
hold-back,damage
hold-back,unique-effect
infestation,damage
infestation,shield
power-up-punch,damage
power-up-punch,good-stat-increase
oblivion-wing,damage
oblivion-wing,drain
thousand-arrows,damage
thousand-arrows,unique-effect
thousand-waves,damage
thousand-waves,trap
lands-wrath,damage
light-of-ruin,damage
light-of-ruin,recoil
origin-pulse,damage
precipice-blades,damage
dragon-ascent,damage
dragon-ascent,stat-drawback
hyperspace-fury,damage
hyperspace-fury,stat-drawback
hyperspace-fury,never-misses
hyperspace-fury,shield-break
breakneck-blitz,damage
all-out-pummeling,damage
supersonic-skystrike,damage
acid-downpour,damage
tectonic-rage,damage
continental-crush,damage
savage-spin-out,damage
never-ending-nightmare,damage
corkscrew-crash,damage
inferno-overdrive,damage
hydro-vortex,damage
bloom-doom,damage
gigavolt-havoc,damage
shattered-psyche,damage
subzero-slammer,damage
devastating-drake,damage
black-hole-eclipse,damage
twinkle-tackle,damage
catastropika,damage
shore-up,heal
first-impression,damage
baneful-bunker,poison
baneful-bunker,shield
spirit-shackle,damage
spirit-shackle,trap
darkest-lariat,damage
sparkling-aria,damage
ice-hammer,damage
ice-hammer,stat-drawback
floral-healing,heal
high-horsepower,damage
strength-sap,heal
solar-blade,damage
solar-blade,charging
leafage,damage
spotlight,unique-effect
toxic-thread,good-stat-decrease
toxic-thread,poison
laser-focus,100pct-crit
gear-up,good-stat-increase
throat-chop,unique-effect
pollen-puff,damage
pollen-puff,heal
anchor-shot,damage
anchor-shot,trap
psychic-terrain,shield
lunge,damage
lunge,good-stat-decrease
fire-lash,damage
fire-lash,good-stat-decrease
power-trip,damage
burn-up,damage
burn-up,unique-effect
speed-swap,unique-effect
smart-strike,damage
smart-strike,never-misses
purify,heal
revelation-dance,damage
core-enforcer,damage
core-enforcer,unique-effect
trop-kick,damage
trop-kick,good-stat-decrease
instruct,unique-effect
beak-blast,burn
clanging-scales,damage
clanging-scales,good-stat-decrease
dragon-hammer,damage
brutal-swing,damage
aurora-veil,shield
sinister-arrow-raid,damage
malicious-moonsault,damage
oceanic-operetta,damage
soul-stealing-7-star-strike,damage
stoked-sparksurfer,damage
stoked-sparksurfer,paralysis
pulverizing-pancake,damage
extreme-evoboost,good-stat-increase
genesis-supernova,damage
genesis-supernova,whole-field-effect
shell-trap,damage
fleur-cannon,damage
fleur-cannon,stat-drawback
psychic-fangs,partial-field-effect
stomping-tantrum,damage
shadow-bone,damage
shadow-bone,good-stat-decrease
accelerock,damage
accelerock,increased-priority
liquidation,damage
liquidation,good-stat-decrease
prismatic-laser,damage
prismatic-laser,recharge
spectral-thief,damage
spectral-thief,unique-effect
sunsteel-strike,damage
sunsteel-strike,ignore-abilities
moongeist-beam,damage
moongeist-beam,ignore-abilities
tearful-look,good-stat-decrease
zing-zap,damage
zing-zap,flinch
natures-madness,damage
multi-attack,damage
10-000-000-volt-thunderbolt,damage
mind-blown,damage
mind-blown,recoil
plasma-fists,damage
plasma-fists,unique-effect
photon-geyser,damage
photon-geyser,ignore-abilities
light-that-burns-the-sky,damage
light-that-burns-the-sky,ignore-abilities
searing-sunraze-smash,damage
searing-sunraze-smash,ignore-abilities
menacing-moonraze-maelstrom,damage
menacing-moonraze-maelstrom,ignore-abilities
lets-snuggle-forever,damage
splintered-stormshards,damage
splintered-stormshards,whole-field-effect
clangorous-soulblaze,damage
clangorous-soulblaze,good-stat-increase
zippy-zap,damage
zippy-zap,100pct-crit
splishy-splash,damage
splishy-splash,paralysis
floaty-fall,damage
floaty-fall,flinch
pika-papow,damage
pika-papow,never-misses
bouncy-bubble,damage
bouncy-bubble,drain
buzzy-buzz,damage
buzzy-buzz,paralysis
sizzly-slide,damage
sizzly-slide,burn
glitzy-glow,damage
glitzy-glow,partial-field-effect
baddy-bad,damage
baddy-bad,partial-field-effect
sappy-seed,damage
sappy-seed,unique-effect
freezy-frost,damage
freezy-frost,unique-effect
sparkly-swirl,damage
sparkly-swirl,unique-effect
veevee-volley,damage
veevee-volley,never-misses
double-iron-bash,flinch
max-guard,shield
dynamax-cannon,damage
snipe-shot,damage
snipe-shot,crit
jaw-lock,damage
jaw-lock,trap
stuff-cheeks,good-stat-increase
stuff-cheeks,unique-effect
no-retreat,good-stat-increase
no-retreat,trap
tar-shot,good-stat-decrease
tar-shot,unique-effect
magic-powder,unique-effect
dragon-darts,damage
teatime,unique-effect
octolock,trap
bolt-beak,damage
fishious-rend,damage
court-change,whole-field-effect
max-flare,damage
max-flare,weather-change
max-flutterby,damage
max-flutterby,good-stat-decrease
max-lightning,damage
max-lightning,whole-field-effect
max-strike,damage
max-strike,good-stat-decrease
max-knuckle,damage
max-knuckle,good-stat-increase
max-phantasm,damage
max-phantasm,good-stat-decrease
max-hailstorm,damage
max-hailstorm,weather-change
max-ooze,damage
max-ooze,good-stat-increase
max-geyser,damage
max-geyser,weather-change
max-airstream,damage
max-airstream,good-stat-increase
max-starfall,damage
max-starfall,whole-field-effect
max-wyrmwind,damage
max-wyrmwind,good-stat-decrease
max-mindstorm,damage
max-mindstorm,whole-field-effect
max-rockfall,damage
max-rockfall,weather-change
max-quake,damage
max-quake,good-stat-increase
max-darkness,damage
max-darkness,good-stat-decrease
max-overgrowth,damage
max-overgrowth,whole-field-effect
max-steelspike,damage
max-steelspike,good-stat-increase
clangorous-soul,shield
body-press,damage
decorate,good-stat-increase
decorate,bad-stat-increase
drum-beating,damage
drum-beating,good-stat-decrease
snap-trap,damage
snap-trap,trap
pyro-ball,damage
pyro-ball,burn
behemoth-blade,damage
behemoth-bash,damage
aura-wheel,damage
aura-wheel,good-stat-increase
breaking-swipe,damage
breaking-swipe,good-stat-decrease
branch-poke,damage
overdrive,damage
apple-acid,damage
apple-acid,good-stat-decrease
grav-apple,damage
grav-apple,good-stat-decrease
spirit-break,damage
spirit-break,good-stat-decrease
strange-steam,damage
strange-steam,confusion
life-dew,heal
obstruct,good-stat-decrease
obstruct,shield
false-surrender,damage
false-surrender,never-misses
meteor-assault,damage
meteor-assault,recharge
eternabeam,damage
eternabeam,recharge
steel-beam,damage
steel-beam,recoil
expanding-force,damage
steel-roller,damage
steel-roller,whole-field-effect
meteor-beam,damage
meteor-beam,charging
shell-side-arm,damage
shell-side-arm,poison
misty-explosion,damage
misty-explosion,unique-effect
grassy-glide,damage
grassy-glide,increased-priority
rising-voltage,damage
terrain-pulse,damage
skitter-smack,damage
skitter-smack,good-stat-decrease
burning-jealousy,damage
burning-jealousy,burn
lash-out,damage
poltergeist,damage
poltergeist,unique-effect
corrosive-gas,unique-effect
coaching,good-stat-increase
flip-turn,damage
flip-turn,force-switch-out
triple-axel,damage
dual-wingbeat,damage
scorching-sands,damage
scorching-sands,burn
jungle-healing,heal
wicked-blow,damage
wicked-blow,100pct-crit
surging-strikes,damage
thunder-cage,damage
thunder-cage,trap
dragon-energy,damage
freezing-glare,damage
freezing-glare,freeze
fiery-wrath,damage
fiery-wrath,flinch
thunderous-kick,damage
thunderous-kick,good-stat-increase
glacial-lance,damage
astral-barrage,damage
eerie-spell,damage
eerie-spell,unique-effect
dire-claw,damage
dire-claw,poison
dire-claw,paralysis
dire-claw,sleep
psyshield-bash,damage
psyshield-bash,good-stat-increase
power-shift,unique-effect
stone-axe,damage
stone-axe,partial-field-effect
springtide-storm,damage
springtide-storm,good-stat-decrease
mystical-power,damage
mystical-power,good-stat-increase
raging-fury,damage
raging-fury,status-drawback
wave-crash,damage
wave-crash,recoil
chloroblast,damage
chloroblast,recoil
mountain-gale,damage
mountain-gale,flinch
victory-dance,good-stat-increase
headlong-rush,damage
headlong-rush,stat-drawback
barb-barrage,damage
barb-barrage,poison
esper-wing,damage
esper-wing,crit
bitter-malice,damage
bitter-malice,good-stat-decrease
shelter,good-stat-increase
triple-arrows,damage
triple-arrows,good-stat-decrease
triple-arrows,flinch
infernal-parade,damage
infernal-parade,burn
ceaseless-edge,damage
ceaseless-edge,partial-field-effect
bleakwind-storm,damage
bleakwind-storm,good-stat-decrease
wildbolt-storm,damage
wildbolt-storm,paralysis
sandsear-storm,damage
sandsear-storm,burn
lunar-blessing,heal
take-heart,good-stat-increase
tera-blast,damage
silk-trap,good-stat-decrease
silk-trap,shield
axe-kick,damage
axe-kick,confusion
last-respects,damage
lumina-crash,damage
lumina-crash,good-stat-decrease
order-up,damage
order-up,good-stat-increase
jet-punch,damage
jet-punch,increased-priority
spicy-extract,good-stat-decrease
spicy-extract,bad-stat-increase
spin-out,damage
spin-out,stat-drawback
population-bomb,damage
ice-spinner,damage
ice-spinner,whole-field-effect
glaive-rush,damage
revival-blessing,unique-effect
salt-cure,damage
salt-cure,trap
triple-dive,damage
mortal-spin,damage
mortal-spin,poison
mortal-spin,partial-field-effect
doodle,unique-effect
fillet-away,good-stat-increase
fillet-away,unique-effect
kowtow-cleave,damage
kowtow-cleave,never-misses
flower-trick,damage
flower-trick,100pct-crit
flower-trick,never-misses
torch-song,damage
torch-song,good-stat-increase
aqua-step,damage
aqua-step,good-stat-increase
raging-bull,damage
raging-bull,partial-field-effect
make-it-rain,damage
make-it-rain,stat-drawback
