id,evolved_species,trigger,version_group,is_default,trigger_item,minimum_level,gender,location,held_item,time_of_day,known_move,known_move_type,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species,party_type,trade_species,needs_overworld_rain,turn_upside_down,needs_multiplayer,near_special_rock,region,base_form,evolved_form,used_move,minimum_move_count,minimum_steps,minimum_damage_taken
20,31,use-item,red-blue,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
21,33,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
22,34,use-item,red-blue,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
23,35,level-up,red-blue,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
24,36,use-item,red-blue,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
25,38,use-item,red-blue,1,fire-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
26,39,level-up,red-blue,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
27,40,use-item,red-blue,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
28,42,level-up,red-blue,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
29,44,level-up,red-blue,1,,21,,,,,,,,,,,,,,0,0,0,0,,,,,,,
30,45,use-item,red-blue,1,leaf-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
31,47,level-up,red-blue,1,,24,,,,,,,,,,,,,,0,0,0,0,,,,,,,
32,49,level-up,red-blue,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
33,51,level-up,red-blue,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
34,53,level-up,red-blue,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
35,55,level-up,red-blue,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
36,57,level-up,red-blue,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
37,59,use-item,red-blue,1,fire-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
38,61,level-up,red-blue,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
39,62,use-item,red-blue,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
40,64,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
41,65,trade,red-blue,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
42,67,level-up,red-blue,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
43,68,trade,red-blue,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
44,70,level-up,red-blue,1,,21,,,,,,,,,,,,,,0,0,0,0,,,,,,,
45,71,use-item,red-blue,1,leaf-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
46,73,level-up,red-blue,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
47,75,level-up,red-blue,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
48,76,trade,red-blue,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
49,78,level-up,red-blue,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
50,80,level-up,red-blue,1,,37,,,,,,,,,,,,,,0,0,0,0,,,,,,,
51,82,level-up,red-blue,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
52,85,level-up,red-blue,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
53,87,level-up,red-blue,1,,34,,,,,,,,,,,,,,0,0,0,0,,,,,,,
54,89,level-up,red-blue,1,,38,,,,,,,,,,,,,,0,0,0,0,,,,,,,
55,91,use-item,red-blue,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
56,93,level-up,red-blue,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
57,94,trade,red-blue,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
58,97,level-up,red-blue,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
59,99,level-up,red-blue,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
60,101,level-up,red-blue,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
61,103,use-item,red-blue,1,leaf-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
62,105,level-up,red-blue,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
63,106,level-up,red-blue,1,,20,,,,,,,,,,1,,,,0,0,0,0,,,,,,,
64,107,level-up,red-blue,1,,20,,,,,,,,,,-1,,,,0,0,0,0,,,,,,,
65,110,level-up,red-blue,1,,35,,,,,,,,,,,,,,0,0,0,0,,,,,,,
66,112,level-up,red-blue,1,,42,,,,,,,,,,,,,,0,0,0,0,,,,,,,
67,113,level-up,diamond-pearl,1,,,,,oval-stone,day,,,,,,,,,,0,0,0,0,,,,,,,
68,117,level-up,red-blue,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
69,119,level-up,red-blue,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
70,121,use-item,red-blue,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
71,122,level-up,diamond-pearl,1,,,,,,,mimic,,,,,,,,,0,0,0,0,,,,,,,
72,124,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
73,125,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
74,126,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
75,130,level-up,red-blue,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
76,134,use-item,red-blue,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,eevee,,,,,
77,135,use-item,red-blue,1,thunder-stone,,,,,,,,,,,,,,,0,0,0,0,,eevee,,,,,
78,136,use-item,red-blue,1,fire-stone,,,,,,,,,,,,,,,0,0,0,0,,eevee,,,,,
79,139,level-up,red-blue,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
80,141,level-up,red-blue,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
81,143,level-up,diamond-pearl,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
82,148,level-up,red-blue,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
83,149,level-up,red-blue,1,,55,,,,,,,,,,,,,,0,0,0,0,,,,,,,
84,153,level-up,gold-silver,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
85,154,level-up,gold-silver,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
86,156,level-up,gold-silver,1,,14,,,,,,,,,,,,,,0,0,0,0,,,,,,,
87,157,level-up,gold-silver,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
88,159,level-up,gold-silver,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
89,160,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
90,162,level-up,gold-silver,1,,15,,,,,,,,,,,,,,0,0,0,0,,,,,,,
91,164,level-up,gold-silver,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
92,166,level-up,gold-silver,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
93,168,level-up,gold-silver,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
94,169,level-up,gold-silver,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
95,171,level-up,gold-silver,1,,27,,,,,,,,,,,,,,0,0,0,0,,,,,,,
96,176,level-up,gold-silver,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
97,178,level-up,gold-silver,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
98,180,level-up,gold-silver,1,,15,,,,,,,,,,,,,,0,0,0,0,,,,,,,
99,181,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
100,182,use-item,gold-silver,1,sun-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
101,183,level-up,ruby-sapphire,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
102,184,level-up,gold-silver,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
103,185,level-up,diamond-pearl,1,,,,,,,mimic,,,,,,,,,0,0,0,0,,,,,,,
104,186,trade,gold-silver,1,,,,,kings-rock,,,,,,,,,,,0,0,0,0,,,,,,,
105,188,level-up,gold-silver,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
106,189,level-up,gold-silver,1,,27,,,,,,,,,,,,,,0,0,0,0,,,,,,,
107,192,use-item,gold-silver,1,sun-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
108,195,level-up,gold-silver,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
109,196,level-up,gold-silver,1,,,,,,day,,,160,,,,,,,0,0,0,0,,eevee,,,,,
110,197,level-up,gold-silver,1,,,,,,night,,,160,,,,,,,0,0,0,0,,eevee,,,,,
111,199,trade,gold-silver,1,,,,,kings-rock,,,,,,,,,,,0,0,0,0,,,,,,,
112,202,level-up,ruby-sapphire,1,,15,,,,,,,,,,,,,,0,0,0,0,,,,,,,
113,205,level-up,gold-silver,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
114,208,trade,gold-silver,1,,,,,metal-coat,,,,,,,,,,,0,0,0,0,,,,,,,
115,210,level-up,gold-silver,1,,23,,,,,,,,,,,,,,0,0,0,0,,,,,,,
116,212,trade,gold-silver,1,,,,,metal-coat,,,,,,,,,,,0,0,0,0,,,,,,,
117,217,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
118,219,level-up,gold-silver,1,,38,,,,,,,,,,,,,,0,0,0,0,,,,,,,
119,221,level-up,gold-silver,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
120,224,level-up,gold-silver,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
121,226,level-up,diamond-pearl,1,,,,,,,,,,,,,223,,,0,0,0,0,,,,,,,
122,229,level-up,gold-silver,1,,24,,,,,,,,,,,,,,0,0,0,0,,,,,,,
123,230,trade,gold-silver,1,,,,,dragon-scale,,,,,,,,,,,0,0,0,0,,,,,,,
124,232,level-up,gold-silver,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
125,233,trade,gold-silver,1,,,,,up-grade,,,,,,,,,,,0,0,0,0,,,,,,,
126,237,level-up,gold-silver,1,,20,,,,,,,,,,0,,,,0,0,0,0,,,,,,,
127,242,level-up,gold-silver,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
128,247,level-up,gold-silver,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
129,248,level-up,gold-silver,1,,55,,,,,,,,,,,,,,0,0,0,0,,,,,,,
130,253,level-up,ruby-sapphire,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
131,254,level-up,ruby-sapphire,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
132,256,level-up,ruby-sapphire,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
133,257,level-up,ruby-sapphire,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
134,259,level-up,ruby-sapphire,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
135,260,level-up,ruby-sapphire,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
136,262,level-up,ruby-sapphire,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
137,264,level-up,ruby-sapphire,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
138,266,level-up,ruby-sapphire,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
139,267,level-up,ruby-sapphire,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
140,268,level-up,ruby-sapphire,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
141,269,level-up,ruby-sapphire,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
142,271,level-up,ruby-sapphire,1,,14,,,,,,,,,,,,,,0,0,0,0,,,,,,,
143,272,use-item,ruby-sapphire,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
144,274,level-up,ruby-sapphire,1,,14,,,,,,,,,,,,,,0,0,0,0,,,,,,,
145,275,use-item,ruby-sapphire,1,leaf-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
146,277,level-up,ruby-sapphire,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
147,279,level-up,ruby-sapphire,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
148,281,level-up,ruby-sapphire,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
149,282,level-up,ruby-sapphire,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
150,284,level-up,ruby-sapphire,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
151,286,level-up,ruby-sapphire,1,,23,,,,,,,,,,,,,,0,0,0,0,,,,,,,
152,288,level-up,ruby-sapphire,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
153,289,level-up,ruby-sapphire,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
154,291,level-up,ruby-sapphire,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
155,292,shed,ruby-sapphire,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
156,294,level-up,ruby-sapphire,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
157,295,level-up,ruby-sapphire,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
158,297,level-up,ruby-sapphire,1,,24,,,,,,,,,,,,,,0,0,0,0,,,,,,,
159,301,use-item,ruby-sapphire,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
160,305,level-up,ruby-sapphire,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
161,306,level-up,ruby-sapphire,1,,42,,,,,,,,,,,,,,0,0,0,0,,,,,,,
162,308,level-up,ruby-sapphire,1,,37,,,,,,,,,,,,,,0,0,0,0,,,,,,,
163,310,level-up,ruby-sapphire,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
164,315,level-up,diamond-pearl,1,,,,,,day,,,160,,,,,,,0,0,0,0,,,,,,,
165,317,level-up,ruby-sapphire,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
166,319,level-up,ruby-sapphire,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
167,321,level-up,ruby-sapphire,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
168,323,level-up,ruby-sapphire,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
169,326,level-up,ruby-sapphire,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
170,329,level-up,ruby-sapphire,1,,35,,,,,,,,,,,,,,0,0,0,0,,,,,,,
171,330,level-up,ruby-sapphire,1,,45,,,,,,,,,,,,,,0,0,0,0,,,,,,,
172,332,level-up,ruby-sapphire,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
173,334,level-up,ruby-sapphire,1,,35,,,,,,,,,,,,,,0,0,0,0,,,,,,,
174,340,level-up,ruby-sapphire,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
175,342,level-up,ruby-sapphire,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
176,344,level-up,ruby-sapphire,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
177,346,level-up,ruby-sapphire,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
178,348,level-up,ruby-sapphire,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
179,350,level-up,ruby-sapphire,0,,,,,,,,,,170,,,,,,0,0,0,0,,,,,,,
180,354,level-up,ruby-sapphire,1,,37,,,,,,,,,,,,,,0,0,0,0,,,,,,,
181,356,level-up,ruby-sapphire,1,,37,,,,,,,,,,,,,,0,0,0,0,,,,,,,
182,358,level-up,diamond-pearl,1,,,,,,night,,,220,,,,,,,0,0,0,0,,,,,,,
183,362,level-up,ruby-sapphire,1,,42,,,,,,,,,,,,,,0,0,0,0,,,,,,,
184,364,level-up,ruby-sapphire,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
185,365,level-up,ruby-sapphire,1,,44,,,,,,,,,,,,,,0,0,0,0,,,,,,,
186,367,trade,ruby-sapphire,1,,,,,deep-sea-tooth,,,,,,,,,,,0,0,0,0,,,,,,,
187,368,trade,ruby-sapphire,1,,,,,deep-sea-scale,,,,,,,,,,,0,0,0,0,,,,,,,
188,372,level-up,ruby-sapphire,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
189,373,level-up,ruby-sapphire,1,,50,,,,,,,,,,,,,,0,0,0,0,,,,,,,
190,375,level-up,ruby-sapphire,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
191,376,level-up,ruby-sapphire,1,,45,,,,,,,,,,,,,,0,0,0,0,,,,,,,
192,388,level-up,diamond-pearl,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
193,389,level-up,diamond-pearl,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
194,391,level-up,diamond-pearl,1,,14,,,,,,,,,,,,,,0,0,0,0,,,,,,,
195,392,level-up,diamond-pearl,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
196,394,level-up,diamond-pearl,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
197,395,level-up,diamond-pearl,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
198,397,level-up,diamond-pearl,1,,14,,,,,,,,,,,,,,0,0,0,0,,,,,,,
199,398,level-up,diamond-pearl,1,,34,,,,,,,,,,,,,,0,0,0,0,,,,,,,
200,400,level-up,diamond-pearl,1,,15,,,,,,,,,,,,,,0,0,0,0,,,,,,,
201,402,level-up,diamond-pearl,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
202,404,level-up,diamond-pearl,1,,15,,,,,,,,,,,,,,0,0,0,0,,,,,,,
203,405,level-up,diamond-pearl,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
204,407,use-item,diamond-pearl,1,shiny-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
205,409,level-up,diamond-pearl,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
206,411,level-up,diamond-pearl,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
207,413,level-up,diamond-pearl,1,,20,female,,,,,,,,,,,,,0,0,0,0,,,,,,,
208,414,level-up,diamond-pearl,1,,20,male,,,,,,,,,,,,,0,0,0,0,,,,,,,
209,416,level-up,diamond-pearl,1,,21,female,,,,,,,,,,,,,0,0,0,0,,,,,,,
210,419,level-up,diamond-pearl,1,,26,,,,,,,,,,,,,,0,0,0,0,,,,,,,
211,421,level-up,diamond-pearl,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
212,423,level-up,diamond-pearl,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
213,424,level-up,diamond-pearl,1,,,,,,,double-hit,,,,,,,,,0,0,0,0,,,,,,,
214,426,level-up,diamond-pearl,1,,28,,,,,,,,,,,,,,0,0,0,0,,,,,,,
215,428,level-up,diamond-pearl,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
216,429,use-item,diamond-pearl,1,dusk-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
217,430,use-item,diamond-pearl,1,dusk-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
218,432,level-up,diamond-pearl,1,,38,,,,,,,,,,,,,,0,0,0,0,,,,,,,
219,435,level-up,diamond-pearl,1,,34,,,,,,,,,,,,,,0,0,0,0,,,,,,,
220,437,level-up,diamond-pearl,1,,33,,,,,,,,,,,,,,0,0,0,0,,,,,,,
221,444,level-up,diamond-pearl,1,,24,,,,,,,,,,,,,,0,0,0,0,,,,,,,
222,445,level-up,diamond-pearl,1,,48,,,,,,,,,,,,,,0,0,0,0,,,,,,,
223,448,level-up,diamond-pearl,1,,,,,,day,,,160,,,,,,,0,0,0,0,,,,,,,
224,450,level-up,diamond-pearl,1,,34,,,,,,,,,,,,,,0,0,0,0,,,,,,,
225,452,level-up,diamond-pearl,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
226,454,level-up,diamond-pearl,1,,37,,,,,,,,,,,,,,0,0,0,0,,,,,,,
227,457,level-up,diamond-pearl,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
228,460,level-up,diamond-pearl,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
229,461,level-up,diamond-pearl,1,,,,,razor-claw,night,,,,,,,,,,0,0,0,0,,,,,,,
230,462,level-up,diamond-pearl,0,,,,mt-coronet,,,,,,,,,,,,0,0,0,0,,,,,,,
231,463,level-up,diamond-pearl,1,,,,,,,rollout,,,,,,,,,0,0,0,0,,,,,,,
232,464,trade,diamond-pearl,1,,,,,protector,,,,,,,,,,,0,0,0,0,,,,,,,
233,465,level-up,diamond-pearl,1,,,,,,,ancient-power,,,,,,,,,0,0,0,0,,,,,,,
234,466,trade,diamond-pearl,1,,,,,electirizer,,,,,,,,,,,0,0,0,0,,,,,,,
235,467,trade,diamond-pearl,1,,,,,magmarizer,,,,,,,,,,,0,0,0,0,,,,,,,
236,468,use-item,diamond-pearl,1,shiny-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
237,469,level-up,diamond-pearl,1,,,,,,,ancient-power,,,,,,,,,0,0,0,0,,,,,,,
238,470,level-up,diamond-pearl,0,,,,eterna-forest,,,,,,,,,,,,0,0,0,1,,eevee,,,,,
239,471,level-up,diamond-pearl,0,,,,sinnoh-route-217,,,,,,,,,,,,0,0,0,1,,eevee,,,,,
240,472,level-up,diamond-pearl,1,,,,,razor-fang,night,,,,,,,,,,0,0,0,0,,,,,,,
241,473,level-up,diamond-pearl,1,,,,,,,ancient-power,,,,,,,,,0,0,0,0,,,,,,,
242,474,trade,diamond-pearl,1,,,,,dubious-disc,,,,,,,,,,,0,0,0,0,,,,,,,
243,475,use-item,diamond-pearl,1,dawn-stone,,male,,,,,,,,,,,,,0,0,0,0,,,,,,,
244,476,level-up,diamond-pearl,0,,,,mt-coronet,,,,,,,,,,,,0,0,0,0,,,,,,,
245,477,trade,diamond-pearl,1,,,,,reaper-cloth,,,,,,,,,,,0,0,0,0,,,,,,,
246,478,use-item,diamond-pearl,1,dawn-stone,,female,,,,,,,,,,,,,0,0,0,0,,,,,,,
247,496,level-up,black-white,1,,17,,,,,,,,,,,,,,0,0,0,0,,,,,,,
248,497,level-up,black-white,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
249,499,level-up,black-white,1,,17,,,,,,,,,,,,,,0,0,0,0,,,,,,,
250,500,level-up,black-white,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
251,502,level-up,black-white,1,,17,,,,,,,,,,,,,,0,0,0,0,,,,,,,
252,503,level-up,black-white,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
253,505,level-up,black-white,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
254,507,level-up,black-white,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
255,508,level-up,black-white,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
256,510,level-up,black-white,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
257,512,use-item,black-white,1,leaf-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
258,514,use-item,black-white,1,fire-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
259,516,use-item,black-white,1,water-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
260,518,use-item,black-white,1,moon-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
261,520,level-up,black-white,1,,21,,,,,,,,,,,,,,0,0,0,0,,,,,,,
262,521,level-up,black-white,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
263,523,level-up,black-white,1,,27,,,,,,,,,,,,,,0,0,0,0,,,,,,,
264,525,level-up,black-white,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
265,526,trade,black-white,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
266,528,level-up,black-white,1,,,,,,,,,160,,,,,,,0,0,0,0,,,,,,,
267,530,level-up,black-white,1,,31,,,,,,,,,,,,,,0,0,0,0,,,,,,,
268,533,level-up,black-white,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
269,534,trade,black-white,1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
270,536,level-up,black-white,1,,25,,,,,,,,,,,,,,0,0,0,0,,,,,,,
271,537,level-up,black-white,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
272,541,level-up,black-white,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
273,542,level-up,black-white,1,,,,,,,,,220,,,,,,,0,0,0,0,,,,,,,
274,544,level-up,black-white,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
275,545,level-up,black-white,1,,30,,,,,,,,,,,,,,0,0,0,0,,,,,,,
276,547,use-item,black-white,1,sun-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
277,549,use-item,black-white,1,sun-stone,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
278,552,level-up,black-white,1,,29,,,,,,,,,,,,,,0,0,0,0,,,,,,,
279,553,level-up,black-white,1,,40,,,,,,,,,,,,,,0,0,0,0,,,,,,,
280,555,level-up,black-white,1,,35,,,,,,,,,,,,,,0,0,0,0,,,,,,,
281,558,level-up,black-white,1,,34,,,,,,,,,,,,,,0,0,0,0,,,,,,,
