identifier,id,region,name_fr,subtitle_fr,name_de,subtitle_de,name_en,subtitle_en,name_ja_hrkt,subtitle_ja_hrkt,name_ko,subtitle_ko,name_es,subtitle_es,name_it,subtitle_it,name_ja,subtitle_ja,name_es_419,subtitle_es_419,name_zh_hant,subtitle_zh_hant,name_zh_hans,subtitle_zh_hans
johto-route-39,119,johto,Route 39,,Route 39,,Route 39,,,,,,,,,,,,,,,,,
kanto-route-4,120,kanto,Route 4,,Route 4,,Route 4,,,,,,,,,,,,,,,,,
johto-sea-route-40,121,johto,Chenal 40,,Route 40,,Sea Route 40,,,,,,,,,,,,,,,,,
johto-sea-route-41,122,johto,Chenal 41,,Route 41,,Sea Route 41,,,,,,,,,,,,,,,,,
johto-route-42,123,johto,Route 42,,Route 42,,Route 42,,,,,,,,,,,,,,,,,
johto-route-43,124,johto,Route 43,,Route 43,,Route 43,,,,,,,,,,,,,,,,,
johto-route-44,125,johto,Route 44,,Route 44,,Route 44,,,,,,,,,,,,,,,,,
johto-route-45,126,johto,Route 45,,Route 45,,Route 45,,,,,,,,,,,,,,,,,
johto-route-46,127,johto,Route 46,,Route 46,,Route 46,,,,,,,,,,,,,,,,,
johto-route-47,128,johto,Route 47,,Route 47,,Route 47,,,,,,,,,,,,,,,,,
johto-route-48,129,johto,Route 48,,Route 48,,Route 48,,,,,,,,,,,,,,,,,
kanto-route-5,130,kanto,Route 5,,Route 5,,Route 5,,,,,,,,,,,,,,,,,
kanto-route-6,131,kanto,Route 6,,Route 6,,Route 6,,,,,,,,,,,,,,,,,
kanto-route-7,132,kanto,Route 7,,Route 7,,Route 7,,,,,,,,,,,,,,,,,
kanto-route-8,133,kanto,Route 8,,Route 8,,Route 8,,,,,,,,,,,,,,,,,
kanto-route-9,134,kanto,Route 9,,Route 9,,Route 9,,,,,,,,,,,,,,,,,
ruins-of-alph,135,johto,Ruines d'Alpha,,Alph-Ruinen,,Ruins of Alph,,,,,,,,,,,,,,,,,
seafoam-islands,136,kanto,Iles Ecume,,Seeschauminseln,,Seafoam Islands,,,,,,,,,,,,,,,,,
slowpoke-well,137,johto,Puits RAMOLOSS,,Flegmon-Brunnen,,Slowpoke Well,,,,,,,,,,,,,,,,,
sprout-tower,138,johto,Tour CHETIFLOR,,Knofensa-Turm,,Sprout Tower,,,,,,,,,,,,,,,,,
bell-tower,139,johto,Tour Carillon,,Glockenturm,,Bell Tower,,,,,,,,,,,,,,,,,
tohjo-falls,140,johto,Chutes Tohjo,,Tohjo-Fälle,,Tohjo Falls,,,,,,,,,,,,,,,,,
union-cave,141,johto,Caves Jumelles,,Einheitstunnel,,Union Cave,,,,,,,,,,,,,,,,,
cerulean-cave,147,kanto,Caverne Azurée,,Azuria-Höhle,,Cerulean Cave,,,,,,,,,,,,,,,,,
unknown-all-poliwag,148,johto,Inconnu; que des Ptitard,,Unbekannt; nur Quapsel,,Unknown; all Poliwag,,,,,,,,,,,,,,,,,
unknown-all-rattata,149,johto,Inconnu; que des Rattata,,Unbekannt; nur Rattfratz,,Unknown; all Rattata,,,,,,,,,,,,,,,,,
unknown-all-bugs,150,johto,Inconnu; que des insectes,,Unbekannt; nur Käfer,,Unknown; all bugs,,,,,,,,,,,,,,,,,
vermilion-city,151,kanto,Carmin sur Mer,,Orania City,,Vermilion City,,,,,,,,,,,,,,,,,
kanto-victory-road-1,152,kanto,Route Victoire,,Siegesstraße,,Victory Road,,,,,,,,,,,,,,,,,
violet-city,153,johto,Mauville,,Viola City,,Violet City,,,,,,,,,,,,,,,,,
viridian-city,154,kanto,Jadielle,,Vertania City,,Viridian City,,,,,,,,,,,,,,,,,
viridian-forest,155,kanto,Forêt de Jade,,Vertania-Wald,,Viridian Forest,,,,,,,,,,,,,,,,,
whirl-islands,156,johto,Tourb'Iles,,Strudelinseln,,Whirl Islands,,,,,,,,,,,,,,,,,
kanto-route-23,157,kanto,Route 23,,Route 23,,Route 23,,,,,,,,,,,,,,,,,
kanto-power-plant,158,kanto,Centrale,,Kraftwerk,,Kanto Power Plant,,,,,,,,,,,,,,,,,
kanto-victory-road-2,159,kanto,Route Victoire,,Siegesstraße,,Victory Road,,,,,,,,,,,,,,,,,
pokemon-tower,160,kanto,Tour Pokémon,,Pokémon-Turm,,Pokémon Tower,,,,,,,,,,,,,,,,,
pokemon-mansion,161,kanto,Manoir Pokémon,,Pokémon-Villa,,Pokémon Mansion,,,,,,,,,,,,,,,,,
kanto-safari-zone,162,kanto,Parc Safari,,Safari-Zone,,Safari Zone,,,,,,,,,,,,,,,,,
sandgem-town,163,sinnoh,Littorella,,Sandgemme,,Sandgem Town,,,,,,,,,,,,,,,,,
floaroma-town,164,sinnoh,Floraville,,Flori,,Floaroma Town,,,,,,,,,,,,,,,,,
solaceon-town,165,sinnoh,Bonville,,Trostu,,Solaceon Town,,,,,,,,,,,,,,,,,
jubilife-city,167,sinnoh,Féli-Cité,,Jubelstadt,,Jubilife City,,,,,,,,,,,,,,,,,
oreburgh-city,168,sinnoh,Charbourg,,Erzelingen,,Oreburgh City,,,,,,,,,,,,,,,,,
hearthome-city,169,sinnoh,Unionpolis,,Herzhofen,,Hearthome City,,,,,,,,,,,,,,,,,
veilstone-city,170,sinnoh,Voilaroc,,Schleiede,,Veilstone City,,,,,,,,,,,,,,,,,
snowpoint-city,171,sinnoh,Frimapic,,Blizzach,,Snowpoint City,,,,,,,,,,,,,,,,,
spear-pillar,172,sinnoh,Colonnes Lances,,Speersäule,,Spear Pillar,,,,,,,,,,,,,,,,,
pal-park,173,sinnoh,Parc des Amis,,Park der Freunde,,Pal Park,,,,,,,,,,,,,,,,,
amity-square,174,sinnoh,Square Paisible,,Platz der Treue,,Amity Square,,,,,,,,,,,,,,,,,
floaroma-meadow,175,sinnoh,Pré Floraville,,Auen von Flori,,Floaroma Meadow,,,,,,,,,,,,,,,,,
fullmoon-island,177,sinnoh,Ile Pleine Lune,,Vollmondinsel,,Fullmoon Island,,,,,,,,,,,,,,,,,
sendoff-spring,178,sinnoh,Source Adieu,,Scheidequelle,,Sendoff Spring,,,,,,,,,,,,,,,,,
flower-paradise,179,sinnoh,Paradis Fleuri,,Blumenparadies,,Flower Paradise,,,,,,,,,,,,,,,,,
maniac-tunnel,180,sinnoh,Tunnel Runiem.,,Maniac-Tunnel,,Maniac Tunnel,,,,,,,,,,,,,,,,,
galactic-hq,181,sinnoh,QG Galaxie,,Team Galaktik Zentrale,,Galactic HQ,,,,,,,,,,,,,,,,,
verity-lakefront,182,sinnoh,Rive Lac Vérité,,Wahrheitsufer,,Verity Lakefront,,,,,,,,,,,,,,,,,
newmoon-island,183,sinnoh,Ile Nouvellelune,,Neumondinsel,,Newmoon Island,,,,,,,,,,,,,,,,,
sinnoh-battle-tower,184,sinnoh,Tour de Combat,,Duellturm,,Battle Tower,,,,,,,,,,,,,,,,,
fight-area,185,sinnoh,Aire de Combat,,Kampfareal,,Fight Area,,,,,,,,,,,,,,,,,
survival-area,186,sinnoh,Aire de Survie,,Überlebensareal,,Survival Area,,,,,,,,,,,,,,,,,
seabreak-path,187,sinnoh,Passage Marin,,Buhnenpfad,,Seabreak Path,,,,,,,,,,,,,,,,,
sinnoh-hall-of-origin-1,188,sinnoh,Salle Originelle,,Halle des Beginns,,Hall of Origin,,,,,,,,,,,,,,,,,
sinnoh-hall-of-origin-2,189,sinnoh,Salle Originelle,,Halle des Beginns,,Hall of Origin,,,,,,,,,,,,,,,,,
verity-cavern,190,sinnoh,Caverne Vérité,,Wahrheitsgrotte,,Verity Cavern,,,,,,,,,,,,,,,,,
valor-cavern,191,sinnoh,Caverne Courage,,Kühnheitsgrotte,,Valor Cavern,,,,,,,,,,,,,,,,,
acuity-cavern,192,sinnoh,Caverne Savoir,,Stärkegrötte,,Acuity Cavern,,,,,,,,,,,,,,,,,
jubilife-tv,193,sinnoh,Féli-Télé,,Jubelstadt TV,,Jubilife TV,,,,,,,,,,,,,,,,,
poketch-co,194,sinnoh,Pokémontre S.A.,,Pokétch-Gesellschaft,,Pokétch Co.,,,,,,,,,,,,,,,,,
gts,195,sinnoh,GTS,,Global Trade System,,GTS,,,,,,,,,,,,,,,,,
trainers-school,196,sinnoh,Ecole Dresseurs,,Trainerschule,,Trainers’ School,,,,,,,,,,,,,,,,,
mining-museum,197,sinnoh,Musée Minier,,Bergbau-Museum,,Mining Museum,,,,,,,,,,,,,,,,,
sinnoh-flower-shop,198,sinnoh,Fleuriste,,Blumenladen,,Flower Shop,,,,,,,,,,,,,,,,,
sinnoh-cycle-shop,199,sinnoh,Boutique de Vélo,,Fahrradladen,,Cycle Shop,,,,,,,,,,,,,,,,,
contest-hall,200,sinnoh,Salle Concours,,Wettbewerbshalle,,Contest Hall,,,,,,,,,,,,,,,,,
poffin-house,201,sinnoh,Poffinerie,,Knursperei,,Poffin House,,,,,,,,,,,,,,,,,
sinnoh-foreign-building,202,sinnoh,Bâtiment Etrange,,Begegnungsstätte,,Foreign Building,,,,,,,,,,,,,,,,,
pokemon-day-care,203,sinnoh,Pension Pokémon,,Pokémon-Pension,,Pokémon Day Care,,,,,,,,,,,,,,,,,
veilstone-store,204,sinnoh,C. Com. Voilaroc,,Schleiede-Kaufhaus,,Veilstone Store,,,,,,,,,,,,,,,,,
sinnoh-game-corner,205,sinnoh,Casino,,Spielhalle,,Game Corner,,,,,,,,,,,,,,,,,
canalave-library,206,sinnoh,Bibl. Joliberges,,Fleetburg-Bibliothek,,Canalave Library,,,,,,,,,,,,,,,,,
vista-lighthouse,207,sinnoh,Phare Panorama,,Leuchtturm,,Vista Lighthouse,,,,,,,,,,,,,,,,,
sunyshore-market,208,sinnoh,Marché Rivamar,,Sonnewik-Markt,,Sunyshore Market,,,,,,,,,,,,,,,,,
footstep-house,209,sinnoh,Abri Petitpas,,Schrittritt-Haus,,Footstep House,,,,,,,,,,,,,,,,,
sinnoh-cafe,210,sinnoh,Café,,Café,,Café,,,,,,,,,,,,,,,,,
grand-lake,211,sinnoh,Grand Lac,,Großer See,,Grand Lake,,,,,,,,,,,,,,,,,
sinnoh-restaurant,212,sinnoh,Restaurant,,Restaurant,,Restaurant,,,,,,,,,,,,,,,,,
battle-park,213,sinnoh,Parc des Combats,,Duellpark,,Battle Park,,,,,,,,,,,,,,,,,
battle-frontier,214,sinnoh,Zone de Combat,,Kampfzone,,Battle Frontier,,,,,,,,,,,,,,,,,
battle-factory,215,sinnoh,Usine de Combat,,Kampffabrik,,Battle Factory,,,,,,,,,,,,,,,,,
battle-castle,216,sinnoh,Castel de Combat,,Kampfpalais,,Battle Castle,,,,,,,,,,,,,,,,,
battle-arcade,217,sinnoh,Arcade de Combat,,Kampfarkaden,,Battle Arcade,,,,,,,,,,,,,,,,,
battle-hall,218,sinnoh,Scène de Combat,,Kampfsaal,,Battle Hall,,,,,,,,,,,,,,,,,
distortion-world,219,sinnoh,Monde Distorsion,,Zerrwelt,,Distortion World,,,,,,,,,,,,,,,,,
sinnoh-global-terminal,220,sinnoh,Terminal Mondial,,Globale Wundertausch-Station,,Global Terminal,,,,,,,,,,,,,,,,,
sinnoh-villa,221,sinnoh,Villa,,Villa,,Villa,,,,,,,,,,,,,,,,,
battleground,222,sinnoh,Café Combats,,Duellareal,,Battleground,,,,,,,,,,,,,,,,,
rotoms-room,223,sinnoh,Salle MOTISMA,,Rotoms-Zimmer,,ROTOM's Room,,,,,,,,,,,,,,,,,
tg-eterna-bldg,224,sinnoh,Team G Vestigion,,Galaktik-Gebäude von Ewigenau,,T.G. Eterna Bldg,,,,,,,,,,,,,,,,,
iron-ruins,225,sinnoh,Ruines de Fer,,Eisen-Ruinen,,Iron Ruins,,,,,,,,,,,,,,,,,
iceberg-ruins,226,sinnoh,Ruines Iceberg,,Eisberg-Ruinen,,Iceberg Ruins,,,,,,,,,,,,,,,,,
rock-peak-ruins,227,sinnoh,Ruines Pic Roche,,Gipfelruinen,,Rock Peak Ruins,,,,,,,,,,,,,,,,,
azalea-town,228,johto,Ecorcia,,Azalea City,,Azalea Town,,,,,,,,,,,,,,,,,
goldenrod-city,229,johto,Doublonville,,Dukatia City,,Goldenrod City,,,,,,,,,,,,,,,,,
mahogany-town,230,johto,Acajou,,Mahagonia City,,Mahogany Town,,,,,,,,,,,,,,,,,
pewter-city,231,kanto,Argenta,,Marmoria City,,Pewter City,,,,,,,,,,,,,,,,,
lavender-town,232,kanto,Lavanville,,Lavandia,,Lavender Town,,,,,,,,,,,,,,,,,
indigo-plateau,233,kanto,Plateau Indigo,,Indigo-Plateau,,Indigo Plateau,,,,,,,,,,,,,,,,,
saffron-city,234,kanto,Safrania,,Saffronia City,,Saffron City,,,,,,,,,,,,,,,,,
johto-lighthouse,236,johto,Phare,,Leuchtturm,,Lighthouse,,,,,,,,,,,,,,,,,
team-rocket-hq,237,johto,Repaire Rocket d'Acajou,,Team Rocket-Hauptquartier,,Team Rocket HQ,,,,,,,,,,,,,,,,,
goldenrod-tunnel,238,johto,Doublon-Tunnel,,Dukatia-Passage,,Goldenrod Tunnel,,,,,,,,,,,,,,,,,
mt-silver-cave,239,johto,Grotte Argentée,,Silberberg (Höhle),,Mt. Silver Cave,,,,,,,,,,,,,,,,,
pokeathlon-dome,241,johto,Dôme Pokéathlon,,Pokéathlon,,Pokéathlon Dome,,,,,,,,,,,,,,,,,
ss-aqua,242,johto,Aquaria,,M.S. Aqua,,S.S. Aqua,,,,,,,,,,,,,,,,,
safari-zone-gate,243,johto,Portail Safari,,Safari-Eingang,,Safari Zone Gate,,,,,,,,,,,,,,,,,
cliff-cave,244,johto,Grotte Falaise,,Felsschlundhöhle,,Cliff Cave,,,,,,,,,,,,,,,,,
frontier-access,245,johto,Atrium Combat,,Kampfzonenzugang,,Frontier Access,,,,,,,,,,,,,,,,,
bellchime-trail,246,johto,Sentier Carillon,,Glockenklangpfad,,Bellchime Trail,,,,,,,,,,,,,,,,,
sinjoh-ruins,247,johto,Ruines Sinjoh,,Sinjoh-Ruinen,,Sinjoh Ruins,,,,,,,,,,,,,,,,,
embedded-tower,248,johto,Tour Enfouie,,Felsenherzturm,,Embedded Tower,,,,,,,,,,,,,,,,,
pokewalker,249,johto,Pokéwalker,,Pokéwalker,,Pokéwalker,,,,,,,,,,,,,,,,,
cliff-edge-gate,250,johto,Portail Falaise,,Felsklippentor,,Cliff Edge Gate,,,,,,,,,,,,,,,,,
radio-tower,252,johto,Tour Radio,,Radio-Turm,,Radio Tower,,,,,,,,,,,,,,,,,
day-care-couple,253,,Couple Pension,,Pensions-Paar,,Day-Care Couple,,,,,,,,,,,,,,,,,
link-trade-arrive,254,,Echange Link,,Link-Tausch,,Link trade (arrive),,,,,,,,,,,,,,,,,
link-trade-met,255,,Echange Link,,Link-Tausch,,Link trade (met),,,,,,,,,,,,,,,,,
kanto,256,,Kanto,,Kanto,,Kanto,,,,,,,,,,,,,,,,,
johto,257,,Johto,,Johto,,Johto,,,,,,,,,,,,,,,,,
