species,form,version_group,version,language,flavor_text
59,,legends-arceus,legends-arceus,en,"Snaps at its foes with fangs cloaked in blazing flame. Despite its
bulk, it deftly feints every which way, leading opponents on a
deceptively merry chase as it all but dances around them."
63,,legends-arceus,legends-arceus,en,"Spends 18 hours of the day sleeping. Even while asleep, Abra
can control its psychic powers—should danger approach, the
Pokémon will simply teleport away."
64,,legends-arceus,legends-arceus,en,"There are rumors that a child with mystical powers became
a Kadabra; however, this remains unverified. I suspect that
the spoon Kadabra holds enhances its brain waves."
65,,legends-arceus,legends-arceus,en,"The longer Alakazam lives, the larger and heavier its head
becomes. Our tests have shown that the strength of its psychic
powers correlates positively to the weight of its head."
66,,legends-arceus,legends-arceus,en,"Though as small as a child, it has strength enough to easily throw
a well-built adult. Striving to become ever stronger, Machop
trains by carrying a Graveler on its shoulders."
67,,legends-arceus,legends-arceus,en,"A sturdy creature boasting a robust physique and boundless
stamina. Loves training above all else and voluntarily assists with
tasks such as construction and clearing land."
68,,legends-arceus,legends-arceus,en,"In close combat, its four arms afford it offensive and defensive
supremacy. In but a blink, this valiant Pokémon can overwhelm
its foes with more than 1,000 blows from its fists."
72,,legends-arceus,legends-arceus,en,"They fire beams from the glassy, magenta orbs that resemble
eyes atop their heads, and they drift in shallow seas. During low
tide, they can sometimes be found on beaches, desiccated."
73,,legends-arceus,legends-arceus,en,"It has 80 tentacles, each with a venomous tip. These tentacles
are also extendible, lengthening when Tentacruel attempts to
catch prey. Use caution."
74,,legends-arceus,legends-arceus,en,"Makes its home in mountainous regions, using its arms to climb
along harsh mountain roads. Can be troublesome—carelessly
kicking one will cause it to fly into a rage and chase after you."
75,,legends-arceus,legends-arceus,en,"Dwells in holes dug into sheer walls of stone. It enjoys rolling
down slopes as though it were a boulder during a rockfall,
so keep an eye upward while traversing mountain roads."
76,,legends-arceus,legends-arceus,en,"The rocklike shell is shed each year. The cast-off shell then
crumbles, reverting to a mass of soil, which can be spread across
fields to promote crop growth."
77,,legends-arceus,legends-arceus,en,"These Pokémon live in herds out in the grassland. Newborn
foals lack their fiery manes, which will develop about an hour
after birth."
78,,legends-arceus,legends-arceus,en,"Fiery mane aglow, Rapidash darts like an arrow across the land.
This prodigiously swift creature can traverse the vast region of
Hisui in a day and a half."
81,,legends-arceus,legends-arceus,en,"A bizarre Pokémon with but a single eye embedded in an iron
sphere. I suspect this creature levitates due to the magnetism it
emits from its arms, which resemble horseshoe-shaped magnets."
82,,legends-arceus,legends-arceus,en,"Three Magnemite gathered to evolve into this Pokémon.
The source of much vexation on my part, as its powerful
magnetism destroys my research equipment."
92,,legends-arceus,legends-arceus,en,"Gaseous and completely impalpable. Also highly dangerous—
inhaling part of its poisonous body will cause one to
faint instantly."
93,,legends-arceus,legends-arceus,en,"This frightful, malevolent spirit can glide through walls,
appearing wherever it likes. According to rumor, victims of
a Haunter's lick will wither to death day by day."
94,,legends-arceus,legends-arceus,en,"Possesses potential victims' shadows in an effort to steal away
the victims' lives. If your shadow begins to laugh, you must take
hold of a protective charm posthaste!"
95,,legends-arceus,legends-arceus,en,"This chain of immense stones resembles a giant serpent. Tremors
shake the earth above as it burrows deep beneath the ground,
feeding on boulders as it goes."
100,,legends-arceus,legends-arceus,en,"An enigmatic Pokémon that happens to bear a resemblance to a
Poké Ball. When excited, it discharges the electric current it has
stored in its belly, then lets out a great, uproarious laugh."
101,,legends-arceus,legends-arceus,en,"The tissue on the surface of its body is curiously similar in
composition to an Apricorn. When irritated, this Pokémon lets
loose an electric current equal to 20 lightning bolts."
108,,legends-arceus,legends-arceus,en,"Wields its long tongue deftly, as though it were an arm.
The Pokémon's viscous saliva, once it has been collected and
boiled down, yields a strong and highly useful adhesive."
111,,legends-arceus,legends-arceus,en,"Ludicrously strong—when it butts heads with a mountain, it is
the mountain that shatters. But its short legs struggle with turns,
and it is incapable of stopping unless it collides with something."
112,,legends-arceus,legends-arceus,en,"Rapidly rotates its horn to bore through bedrock. It swaggers
around volcanic regions, protected from the lava's heat by its
tough, armorlike hide."
113,,legends-arceus,legends-arceus,en,This purehearted Pokémon shares its eggs with the injured.
114,,legends-arceus,legends-arceus,en,"It is cloaked entirely in blue vines, preventing any glimpse of
its true identity. The vines impart a refreshing sensation when
chewed—they're useful as a spice."
122,,legends-arceus,legends-arceus,en,"The behavior of this clown-like Pokémon reminds one of
pantomime. It creates invisible walls using a force emitted
from its fingertips."
123,,legends-arceus,legends-arceus,en,"The large, wickedly sharp scythes on its forearms are truly
fearsome weapons. Prey's attempts to flee are unfailingly
thwarted by this Pokémon's nimble motions."
125,,legends-arceus,legends-arceus,en,"Feeds on electrical energy. During sudden showers beneath
looming thunderclouds, one can observe Electabuzz scaling tall
trees, where the Pokémon will then wait for lightning to strike."
126,,legends-arceus,legends-arceus,en,"Legend has it that this Pokémon was born from the crater of a
volcano. When wounded, it bathes in lava to heal its body, much
as one would soak in a hot spring."
129,,legends-arceus,legends-arceus,en,"A feeble, pitiful imbecile of a Pokémon that is nonetheless very
hardy. Unperturbed by turbid water, it can be found living in all
sorts of places."
130,,legends-arceus,legends-arceus,en,"I suspect this Pokémon to be the true identity of a dragon
written of in ancient texts, which claimed that it razed an entire
village with white-hot beams from its maw."
133,,legends-arceus,legends-arceus,en,"Harbors the potential to evolve into manifold forms.
Within Eevee lies the key to the mysteries of Pokémon
evolution—I'm certain of it."
134,,legends-arceus,legends-arceus,en,"Tests show that its cells closely resemble water molecules, which
perhaps explains its ability to conceal its form while submerged.
I believe the origins of mermaid folklore lie with this Pokémon."
135,,legends-arceus,legends-arceus,en,"Bristles its fur into sharp, needlelike points when enraged.
One can hear electricity crackle in its breath when it exhales."
136,,legends-arceus,legends-arceus,en,"Flames burn within a saclike organ inside this Pokémon.
When Flareon inhales, these flames grow in intensity, reaching
a mighty 3,000 degrees Fahrenheit."
137,,legends-arceus,legends-arceus,en,"It has no discernible heartbeat and does not seem to draw
breath, and yet it appears to function without issue. I cannot
even begin to explain this utterly bizarre anomaly."
143,,legends-arceus,legends-arceus,en,"This glutton appears in villages without warning and devours the
entirety of their rice granaries—such occurrences have long been
counted among the gravest of disasters."
155,,legends-arceus,legends-arceus,en,"Hails from the Johto region. Though usually curled into a ball
due to its timid disposition, it harbors tremendous firepower."
156,,legends-arceus,legends-arceus,en,"This creature's fur is most mysterious—it is wholly impervious to
the burning touch of flame. Should Quilava turn its back to you,
take heed! Such a posture indicates a forthcoming attack."
157,,legends-arceus,legends-arceus,en,"Said to purify lost, forsaken souls with its flames and guide them
to the afterlife. I believe its form has been influenced by the
energy of the sacred mountain towering at Hisui's center."
169,,legends-arceus,legends-arceus,en,"Its hind limbs have become another set of wings. Crobat
expertly maneuvers its four wings to dart in exquisite fashion
through even the most confined caves without losing any speed."
172,,legends-arceus,legends-arceus,en,"Pichu stores electricity in the sacs on its cheeks but discharges it
inadvertently when agitated or excited. Being yet immature,
the Pokémon's handling of electricity is rather inept."
173,,legends-arceus,legends-arceus,en,"In silhouette, they resemble twinkling starlight. When shooting
stars rain from the night sky, Cleffa gather in numbers and dance
as though they are indeed incarnations of the stars."
175,,legends-arceus,legends-arceus,en,"This ovate creature is frequently mistaken for a moving egg
when encountered out in the fields or in the mountains.
Its guileless smile soothes the soul."
176,,legends-arceus,legends-arceus,en,"No records exist of Togetic being seen in the wilds. Rumors
abound that it evolves under the loving care of a trusted human
companion, upon whom the Pokémon then bestows great joy."
185,,legends-arceus,legends-arceus,en,"Though it pretends to be a tree, it fails to fool even children.
To the touch, its body feels more like rock than tree bark.
Sudowoodo's extreme aversion to water merits special note."
190,,legends-arceus,legends-arceus,en,"This treetop dweller possesses a tail as dexterous as a hand.
Ancient writings describe this Pokémon as a one-armed oddity."
193,,legends-arceus,legends-arceus,en,"Its frail wings are so thin that one can see clear through them.
However, during flight these wings exhibit the power to churn
air with force enough to launch a house skyward."
196,,legends-arceus,legends-arceus,en,"Wields an arcane power with which it can predict the weather
and even people's thoughts. When bathed in sunshine, the
scarlet orb on its brow glows and builds energy."
197,,legends-arceus,legends-arceus,en,"It is most active in the wee hours of the night, when moonlight
bathes the land. Its large eyes can pierce the darkness and
perceive prey with absolute clarity."
198,,legends-arceus,legends-arceus,en,"Widely shunned as a bearer of ill fortune. Upon crossing paths
with this creature, I've been told one must chant ”Workrum,
Workrum—bad luck, don't come” as a protective incantation."
200,,legends-arceus,legends-arceus,en,"It conceals itself in darkness, sending chills up travelers' spines
with its childlike weeping. As it observes the frightened travelers
with glee, the red orbs upon its chest let off an eerie light."
201,,legends-arceus,legends-arceus,en,"It is hard to believe these strangely shaped Pokémon are truly
living creatures. I've pointed out that the species' many forms
resemble writing from other lands; no one will take me seriously."
207,,legends-arceus,legends-arceus,en,"Its tail is tipped by a thick, horrible stinger. To bring down prey,
it will first obscure their vision by covering their faces with its
body, and then it will use the stinger to inject them with venom."
208,,legends-arceus,legends-arceus,en,"This Pokémon evolved through use of a strange item. Its body is
coated with steel powder and notably hard—not even diamond
can leave so much as a scratch."
211,,legends-arceus,legends-arceus,en,"Fishers detest this troublesome Pokémon because it sprays
poison from its spines, getting it everywhere. A different form
of Qwilfish lives in other regions."
212,,legends-arceus,legends-arceus,en,"Evolved by way of a curious item. The shell covering its body
has been shown to be stronger than forged steel."
214,,legends-arceus,legends-arceus,en,"This Pokémon has an unparalleled horn. Heracross itself
demonstrates tremendous power—it's capable of throwing
several people trained in the traditional arts of war at once."
215,,legends-arceus,legends-arceus,en,"Its sturdy, curved claws are ideal for traversing precipitous cliffs.
From the tips of these claws drips a venom that infiltrates the
nerves of any prey caught in Sneasel's grasp."
216,,legends-arceus,legends-arceus,en,"It licks its paws because of the sweet honey that has soaked into
them. It is cunning, stealing into the nests of Combee and taking
for itself the honey that the Combee have amassed."
217,,legends-arceus,legends-arceus,en,"When the cold season arrives in Hisui, this Pokémon will wander
fields and mountains alike in search of its favorite berries.
Ursaring's hunger during this time makes it a ferocious danger."
220,,legends-arceus,legends-arceus,en,"Swinub excels at sniffing out mushrooms buried beneath grass or
snow. Since ancient times, the people of Hisui have often relied
upon this skill."
221,,legends-arceus,legends-arceus,en,"The long fur of this Pokémon covers its eyes, ears, and even
limbs, allowing Piloswine to resist harshly frigid conditions.
The Pokémon's white tusks can be used to defeat its enemies."
223,,legends-arceus,legends-arceus,en,"Spits water from its mouth with incredible accuracy. It captures
Burmy by shooting them down off the branches from which
they dangle."
224,,legends-arceus,legends-arceus,en,"While Octillery still shoots water from its mouth, the drastic
anatomical difference between it and Remoraid meant that for
a long time, no one believed the former evolved from the latter."
226,,legends-arceus,legends-arceus,en,"This calm and gentle Pokémon swims gracefully through the sea.
After building speed, it can leap out of the water. It is often
misidentified as a bird Pokémon due to this behavior."
233,,legends-arceus,legends-arceus,en,"A bizarre item caused this Pokémon to evolve. While it now
exhibits many new gestures and expressions, its biology
remains inscrutable."
234,,legends-arceus,legends-arceus,en,"Its strangely shaped antlers have the power to bewitch those
who see them. Medicine made by grinding up the black orbs
from fallen antlers is an effective treatment for insomnia."
239,,legends-arceus,legends-arceus,en,"They generate electricity by spinning their arms. During a
thunderstorm, if one hears the lively voices of children out in the
wilderness, what one is actually hearing are the voices of Elekid."
240,,legends-arceus,legends-arceus,en,"This Pokémon lives in volcanic areas. With each breath, sparks
spurt from its mouth and nose. When Magby is in good health,
its flames gain a yellow tint."
242,,legends-arceus,legends-arceus,en,"A kindhearted Pokémon that will care for any sick person or
Pokémon until their health improves. The eggs it lays are
delicious and bring good fortune to those who eat them."
265,,legends-arceus,legends-arceus,en,"Likes sap and is abundant in the wild. Why it evolves into
various different forms is unknown. One cannot tell from a
Wurmple's appearance which form it will take when it evolves."
266,,legends-arceus,legends-arceus,en,"Wraps itself in thin strings of silk while it stores energy for
evolution. It can't extend its limbs and its movement is slow,
but its eyes keep a sharp lookout—Silcoon is always on guard."
267,,legends-arceus,legends-arceus,en,"A colorful and incredibly beautiful but also greedy Pokémon.
In an effort to keep its favorite food all to itself, it will chase
away Combee as they try to gather nectar."
268,,legends-arceus,legends-arceus,en,"The silk coating its body is thin but sufficiently strong. Cascoon's
silk has a luster and texture superior to that of Silcoon's, and
clothes made using Cascoon silk are regarded as top-notch."
269,,legends-arceus,legends-arceus,en,"Tends to be drawn to bonfires on dark nights. Difficult to chase
away from settlements because of the way it scatters highly
toxic scales."
280,,legends-arceus,legends-arceus,en,"Tends to prefer people with a chipper disposition to those who
are gloomy, but it has shown no discrimination with regard to
age or gender. Needs more research."
281,,legends-arceus,legends-arceus,en,"It resembles a maiden in appearance, but it wields strange
powers to project visions of paradise. I suspect the crimson
ornaments on its head are the key to its abilities."
282,,legends-arceus,legends-arceus,en,"It will dedicate itself to defending a master it has come to
adore. Its pure white dress, reminiscent of those worn by ladies
of nobility, is the dress of one who is willing to risk their life."
299,,legends-arceus,legends-arceus,en,"Once the people of Hisui discovered that its red nose always
points north, they grew to rely on it greatly when traveling afar.
The nose seems to work in a similar way to ancient compasses."
315,,legends-arceus,legends-arceus,en,"Though beautiful, it has highly poisonous thorns. There is an old
tradition in my homeland wherein one would send these thorns
to an opponent to challenge them to a duel."
339,,legends-arceus,legends-arceus,en,"Makes its home in swamps with murky water. The poor visibility
hides this Pokémon from predators, and the slime on its body
makes grasping it difficult."
340,,legends-arceus,legends-arceus,en,"Strikes its caudal fin against the swamp bed to shake the ground
and startle its prey. It will then swallow the fleeing prey whole.
People mistook this behavior as the cause of earthquakes."
355,,legends-arceus,legends-arceus,en,"I've heard that the children of Hisui all begin to behave once
they've been told the story of how this Pokémon roams about
before the witching hour to spirit away misbehaving children."
356,,legends-arceus,legends-arceus,en,"There are rumors that peeking inside its bandage-wrapped body
will cause one to get pulled in through the gaps between the
bandages, never to return. I've been too scared to verify."
358,,legends-arceus,legends-arceus,en,"Can emit waves of air powerful enough to knock out prey taller
than itself. I hypothesize that it amplifies the faint sound of wind
within its body."
361,,legends-arceus,legends-arceus,en,"Arrives alongside the first snow. It's thought that homes Snorunt
visit will prosper for many generations. By tradition, one might
offer a lump of ice made from pure water at one's front door."
362,,legends-arceus,legends-arceus,en,"It covers its body with an armor of ice harder than steel. Uses its
breath to freeze prey, which it then devours as if they were
frozen desserts."
363,,legends-arceus,legends-arceus,en,"During the season when drift ice approaches the shore, Spheal
prefers living on the ice—where fewer predators lurk—rather
than the land. Its fur retains heat superbly and resists harsh cold."
364,,legends-arceus,legends-arceus,en,"Its white whiskers are very sensitive. Sealeo will balance Spheal
on the tip of its nose, checking its scent and its feel to be sure
the Spheal is healthy."
365,,legends-arceus,legends-arceus,en,"Its thick tusks are strong enough to shatter drift ice. They have
been known to break, but they will grow back by the next year.
The Hisui region is well known for these broken tusks."
387,,legends-arceus,legends-arceus,en,"This Pokémon becomes more energetic the more sunlight there
is. The part resembling a shell is similar to silt and is slightly
damp and warm to the touch."
388,,legends-arceus,legends-arceus,en,"Appears where there is clean spring water. The fruit that grows
on the shrubs on its shell is sweet, nutritious, and truly delicious."
389,,legends-arceus,legends-arceus,en,"This remarkable, large-bodied Pokémon would serve beautifully
as borrowed scenery for a garden, and its strength is peerless.
Torterra roams the wilderness in search of clean water."
390,,legends-arceus,legends-arceus,en,"Full of vigor and always in high spirits. It was once known by the
name ”Lantern-Tail” and feared as some kind of apparition."
391,,legends-arceus,legends-arceus,en,"The deeper the blue on its face, the more powerful it will grow
to become. It leaps about every which way and lands powerful
blows against its opponents with the flame on its tail."
392,,legends-arceus,legends-arceus,en,"A tall, hardy Pokémon with a dazzling appearance. It shrouds
itself in flame and battles as if engaged in dance—truly a sight
to behold."
393,,legends-arceus,legends-arceus,en,"Prefers cold climes and appears along coasts. It's an adorable
little thing—as cute as any child—but it's also prideful, unwilling
to accept handouts from people."
394,,legends-arceus,legends-arceus,en,"It swims gracefully through the frigid sea and sings with a voice
like the roaring tide. It has powerful, sturdy wings and dignity
to match."
395,,legends-arceus,legends-arceus,en,"Since ancient times, it has been revered by the people of Hisui,
who call it the Master of the Waves. Its wings are a match for
even master-crafted blades."
396,,legends-arceus,legends-arceus,en,"They live in the fields and mountains, gathering in large flocks.
Their cries are quite obnoxious. Though small, their wings are
strong—a strike from them leaves pain that persists for a week."
397,,legends-arceus,legends-arceus,en,"They form remarkably large flocks and are constantly fighting
amongst themselves. I suspect that those with magnificent
plumes on their heads are the strong ones."
398,,legends-arceus,legends-arceus,en,"It has left the flock, having gained strength enough to survive on
its own. The astounding force with which Staraptor flies through
the air allows it to carry away large, burly targets."
399,,legends-arceus,legends-arceus,en,"Bidoof has an unsophisticated face and is rarely flustered by
anything. There have been incidents involving Bidoof sauntering
into villages and gnawing on the houses without a single care."
400,,legends-arceus,legends-arceus,en,"Bibarel fur repels water and is also a fantastic material for heat
retention. These Pokémon create dams on rivers to live in."
401,,legends-arceus,legends-arceus,en,"When the trees take on new hues, more of these Pokémon
appear. The tone they create by striking their antennae together
resembles that of the marimba, an instrument of foreign lands."
402,,legends-arceus,legends-arceus,en,"It uses its cutlass-like arms to produce sound, the melody of
which varies from individual to individual. It is a worthwhile
endeavor to seek out one's favorite tunes."
403,,legends-arceus,legends-arceus,en,"Shakes its body to generate electricity. Its stature belies its
aggression—one must be patient to tame this Pokémon."
404,,legends-arceus,legends-arceus,en,"Proudly uses its electrified claws as weapons. It seems to be a
gracious Pokémon, evenly sharing the spoils of the hunt with
others of its kind."
405,,legends-arceus,legends-arceus,en,"They form packs, each having one male as leader. Legends say
that when Luxray's two eyes shimmer with gold, the Pokémon
can see through anything."
406,,legends-arceus,legends-arceus,en,"When the sun's light strengthens, the bud atop this Pokémon's
head opens. This is a sign to the people that the harsh winter is
over, and the season of budding has begun."
407,,legends-arceus,legends-arceus,en,"Hidden within the bouquet on each hand are thorned whips
loaded with virulent poison. Roserade moves gracefully as it
corners its prey and mercilessly lashes them with its whips."
408,,legends-arceus,legends-arceus,en,"An incredibly rare sight. They duel each other by ramming their
heads together, and the resulting sound echoes throughout the
area like the pealing of a bell."
409,,legends-arceus,legends-arceus,en,"Very little is known about its biology. Can knock down massive
trees by smashing its beautiful, pearl-like crown against them."
410,,legends-arceus,legends-arceus,en,"Much remains unknown about this Pokémon, as few have ever
seen it. However, we know that it is calm and dislikes conflict,
and it enjoys polishing its face against trees and rocks."
411,,legends-arceus,legends-arceus,en,"Its face is sturdy—as strong as diamond—and this hardness
offers a very stable defense. Much about this species is still
unknown, such as its natural habitat."
412,,legends-arceus,legends-arceus,en,"If its cloak is even slightly damaged, Burmy will immediately
repair it with whatever is close at hand. The Pokémon within the
cloak is scrawny and vulnerable to the cold."
414,,legends-arceus,legends-arceus,en,"Scatters steel-colored scales as it flaps its wings. Despite
being observed feeding primarily on the nectar of flowers,
Mothim is not often seen around flower gardens."
415,,legends-arceus,legends-arceus,en,"They swear fealty to a queen Pokémon and work diligently to
gather nectar. Each swarm produces a different flavor of honey."
416,,legends-arceus,legends-arceus,en,"Commands its subjects to build its hive. It will dispatch any
interlopers who dare sneak into its nest and use them as
nourishment for itself."
417,,legends-arceus,legends-arceus,en,"A species related to the Pikachu line. Though Pachirisu is a calm
Pokémon, it still presents a danger should one touch its
electrified tail or cheeks."
418,,legends-arceus,legends-arceus,en,"It moves freely in the water by spinning its forked tail for
propulsion. The resemblance to the screw of a steamboat
is coincidental."
419,,legends-arceus,legends-arceus,en,"Has a long, rather splendid flotation sac, which prevents
Floatzel from drowning even in stormy seas. One might glimpse
this species around fishing hamlets from time to time."
420,,legends-arceus,legends-arceus,en,"Once the fruit growing alongside the main body is large and
plump, Cherubi will use the nutrients within to evolve. The fruit
then detaches, becoming nourishment for other creatures."
421,,legends-arceus,legends-arceus,en,"Motionless, save for the occasional quiver. A rich array of
Pokémon can be found gathered around it, drawn by the
scent exuded from Cherrim's folded petals."
422,,legends-arceus,legends-arceus,en,"Found in abundance on seashores bordering warm waters.
Shellos are unexpectedly friendly and will crawl toward any
person they see. Take care not to get coated in mucus!"
423,,legends-arceus,legends-arceus,en,"Eats beach sand for nourishment. Should one Gastrodon
encounter another of a different color, a fierce battle will inevitably ensue."
424,,legends-arceus,legends-arceus,en,"To affirm their kinship, members of this species will form a ring
by linking their newly doubled tails together. On rare occasions,
humans have been accepted into such rings."
425,,legends-arceus,legends-arceus,en,"Said to lure away young children and carry them off to the
afterlife. Some whisper that Drifloon are formed of reincarnated
human souls, but these rumors are as yet unconfirmed."
426,,legends-arceus,legends-arceus,en,"It drifts along at dusk, perfectly silent. Its transient, melancholy
aspect touches some people deeply—every so often, one will
come upon a song or poem devoted to Drifblim."
427,,legends-arceus,legends-arceus,en,"My hypothesis as to why Buneary rolls up its ears is that its
hearing is far too keen. I surmise that the Pokémon protects its
hearing by limiting the sound that may enter its ears."
428,,legends-arceus,legends-arceus,en,"Its fur is warm and yet remarkably light. This Pokémon kicks as
though it were a master of karate, driving back its opponents
with ease."
429,,legends-arceus,legends-arceus,en,"The incantations Mismagius chants can ward against misfortune,
so a custom exists of inviting it into one's home. Incur the
Pokémon's displeasure, however, and disaster will surely ensue."
430,,legends-arceus,legends-arceus,en,"One cry from this Pokémon, and a murder of Murkrow come
flying. At such times, one would think the curtain of night had
fallen, plunging the world into jet-black darkness."
431,,legends-arceus,legends-arceus,en,"Bewitches humans with its helical tail and piercing gaze.
Its hidden claws are quite sharp as well, making this Pokémon
an exceedingly tricky opponent if antagonized."
432,,legends-arceus,legends-arceus,en,"Though impudent and difficult to tame, Purugly enjoys great
popularity due to its fur, the beauty of which surpasses
even velveteen."
433,,legends-arceus,legends-arceus,en,"This Pokémon gave me an excruciating headache when it
seemingly cried out without making a sound. Perhaps there are
some sounds that the human ear is simply incapable of hearing."
434,,legends-arceus,legends-arceus,en,"The poison that gushes from its aft end is accompanied by an
utterly evil-smelling odor with such potency that one whiff can
induce memory loss."
435,,legends-arceus,legends-arceus,en,"Sprays a poisonous fluid to take down prey. Sometimes, unable
to stomach the stench of its own fluid, it leaves the bested
prey uneaten."
436,,legends-arceus,legends-arceus,en,"Floats using a mysterious energy. The pattern engraved upon its
back is held as sacred and can sometimes be found in imagery
from ancient cemeteries and other such timeworn places."
437,,legends-arceus,legends-arceus,en,"Some believe that its bell-like cry opens holes to another world.
It has been revered as a deity since ancient times."
438,,legends-arceus,legends-arceus,en,"Its tears elicit sympathy from those who see them, but do
not be deceived! This expulsion of body water is merely a
physiological mechanism for keeping itself in good health."
439,,legends-arceus,legends-arceus,en,"Known to turn up in bustling marketplaces now and again.
It mimics people much as a child would, then watches how they
react, eyes sparkling."
440,,legends-arceus,legends-arceus,en,"In imitation of Chansey, it keeps a round stone tucked into its
belly pouch and cherishes it dearly. It gets along well with
children and will sometimes play house with them for fun."
441,,legends-arceus,legends-arceus,en,"A versatile performer skilled in the imitation of human speech.
It is said that older, more experienced Chatot can even
understand the meaning of the words they mimic."
442,,legends-arceus,legends-arceus,en,"It lays curses by thinking wicked thoughts. Writings tell that this
Pokémon was born out of the assembly of five score and eight
malevolent spirits."
443,,legends-arceus,legends-arceus,en,"It nests in caves untouched by sunlight. Its sharp teeth may fall
out when worn away or after an impact, but they regrow within
a few days."
444,,legends-arceus,legends-arceus,en,"Though Gabite are usually of a violent disposition, when I gave
one a glass bead it had been eyeing covetously, it suddenly
became quite docile."
445,,legends-arceus,legends-arceus,en,"Soars across the heavens at blinding speed—a magnificent sight!
It has a feral disposition. Utmost caution is required if one
meets a Garchomp out in the wilds."
446,,legends-arceus,legends-arceus,en,"Its robust stomach allows it to nonchalantly devour even rotted
matter. It pays frequent visits to villages, seeking out food
scraps intended for compost."
447,,legends-arceus,legends-arceus,en,"Though infantile in appearance, it has the mysterious ability to
read the minds of humans. The pure of heart are met with
Riolu's approval, while those of ill nature earn only its loathing."
448,,legends-arceus,legends-arceus,en,"A most gallant-looking creature. It emits energy waves and
controls them with precision, using them to sense even faraway
beings. I have given the name ”aura” to this power."
449,,legends-arceus,legends-arceus,en,"Though large and languid, Hippopotas is difficult to detect
due to its tendency to burrow into and lurk beneath the soil.
When agitated or excited, it expels sand from its nostrils."
450,,legends-arceus,legends-arceus,en,"Short-tempered and easily moved to violence. It whips up
whirlwinds of sand to crush its foes' spirits, then goes in for
the attack."
451,,legends-arceus,legends-arceus,en,"Its claws are not only razor-sharp but poisonous, making Skorupi
a highly dangerous Pokémon. It seems to be weakened by cold
temperatures, however."
452,,legends-arceus,legends-arceus,en,"Has a brutish, ferocious temperament. With immense strength
and a sturdy shell off which swords will bounce, it rampages
about and wreaks havoc."
453,,legends-arceus,legends-arceus,en,"A poison wielder with a dastardly personality. Despite such
qualities, this species is afforded a measure of popularity due
to its peculiar cry and comical features."
454,,legends-arceus,legends-arceus,en,"Its crimson claws contain a virulent toxin. This toxin can be made
into a tonic by diluting it, mixing it with several types of wild
grass, and boiling it down over two days."
455,,legends-arceus,legends-arceus,en,"Though this is a plant Pokémon, it has a gluttonous and unruly
temperament. Carnivine attacks its prey with its cavernous maw
wide open."
456,,legends-arceus,legends-arceus,en,"What a gorgeous sight this Pokémon is as it swims with its long,
pink-painted caudal fins fluttering behind it. Finneon's beautiful
appearance has led to its nickname: ”finery fish.”"
457,,legends-arceus,legends-arceus,en,"Uses its gleaming fins to hunt its prey. The view of Lumineon
schooling near the surface of the sea at night is breathtaking—
it's as though there were shining stars right there."
458,,legends-arceus,legends-arceus,en,"Though ball-like in shape, this Pokémon is a proficient swimmer.
I have discovered that if a Mantyke spends much time with
schools of Remoraid, it will eventually achieve evolution."
459,,legends-arceus,legends-arceus,en,"One is likely to encounter this Pokémon while out in the snow.
There are stories of Snover appearing in human settlements but
doing no harm—rather, they bond with the children."
460,,legends-arceus,legends-arceus,en,"A powerful Pokémon that can split huge boulders with ease.
Dislikes associating with others and chooses to live quietly deep
within the mountains, playing with the snow."
