species,identifier,generation,evolves_from_species,evolution_chain_id,color,shape,habitat,gender_rate,percent_male,capture_rate,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,is_baby,is_ultra_beast,is_paradox,is_fossil,is_first_partner,origin_region,order,conquest_order
97,hypno,1,96,42,yellow,humanoid,grassland,4,50,75,20,1,medium,0,0,0,0,0,0,0,0,kanto,106,
98,krabby,1,,43,red,armor,waters-edge,4,50,225,20,0,medium,0,0,0,0,0,0,0,0,kanto,107,
99,kingler,1,98,43,red,armor,waters-edge,4,50,60,20,0,medium,0,0,0,0,0,0,0,0,kanto,108,
100,voltorb,1,,44,red,ball,urban,-1,,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,109,
101,electrode,1,100,44,red,ball,urban,-1,,60,20,0,medium,0,0,0,0,0,0,0,0,kanto,110,
102,exeggcute,1,,45,pink,heads,forest,4,50,90,20,0,slow,0,0,0,0,0,0,0,0,kanto,111,
103,exeggutor,1,102,45,yellow,legs,forest,4,50,45,20,0,slow,0,0,0,0,0,0,0,0,kanto,112,
104,cubone,1,,46,brown,upright,mountain,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,113,
105,marowak,1,104,46,brown,upright,mountain,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,114,
106,hitmonlee,1,236,47,brown,humanoid,urban,0,100,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,116,
107,hitmonchan,1,236,47,brown,humanoid,urban,0,100,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,117,
108,lickitung,1,,48,pink,upright,grassland,4,50,45,20,0,medium,0,0,0,0,0,0,0,0,kanto,119,
109,koffing,1,,49,purple,ball,urban,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,kanto,121,
110,weezing,1,109,49,purple,heads,urban,4,50,60,20,0,medium,0,0,0,0,0,0,0,0,kanto,122,
111,rhyhorn,1,,50,gray,quadruped,rough-terrain,4,50,120,20,1,slow,0,0,0,0,0,0,0,0,kanto,123,160
112,rhydon,1,111,50,gray,upright,rough-terrain,4,50,60,20,1,slow,0,0,0,0,0,0,0,0,kanto,124,161
113,chansey,1,440,51,pink,upright,urban,8,0,30,40,0,fast,0,0,0,0,0,0,0,0,kanto,127,
114,tangela,1,,52,blue,legs,grassland,4,50,45,20,0,medium,0,0,0,0,0,0,0,0,kanto,129,
115,kangaskhan,1,,53,brown,upright,grassland,8,0,45,20,0,medium,1,0,0,0,0,0,0,0,kanto,131,
116,horsea,1,,54,blue,blob,sea,4,50,225,20,0,medium,0,0,0,0,0,0,0,0,kanto,132,
117,seadra,1,116,54,blue,blob,sea,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,kanto,133,
118,goldeen,1,,55,red,fish,waters-edge,4,50,225,20,1,medium,0,0,0,0,0,0,0,0,kanto,135,
119,seaking,1,118,55,red,fish,waters-edge,4,50,60,20,1,medium,0,0,0,0,0,0,0,0,kanto,136,
120,staryu,1,,56,brown,blob,sea,-1,,225,20,0,slow,0,0,0,0,0,0,0,0,kanto,137,
121,starmie,1,120,56,purple,blob,sea,-1,,60,20,0,slow,0,0,0,0,0,0,0,0,kanto,138,
122,mr-mime,1,439,57,pink,humanoid,urban,4,50,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,140,
123,scyther,1,,58,green,bug-wings,grassland,4,50,45,25,1,medium,0,0,0,0,0,0,0,0,kanto,141,188
124,jynx,1,238,59,red,humanoid,urban,8,0,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,144,
125,electabuzz,1,239,60,yellow,upright,grassland,2,75,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,146,
126,magmar,1,240,61,red,upright,mountain,2,75,45,25,0,medium,0,0,0,0,0,0,0,0,kanto,149,
127,pinsir,1,,62,brown,humanoid,forest,4,50,45,25,0,slow,1,0,0,0,0,0,0,0,kanto,151,
128,tauros,1,,63,brown,quadruped,grassland,0,100,45,20,0,slow,0,0,0,0,0,0,0,0,kanto,152,
129,magikarp,1,,64,red,fish,waters-edge,4,50,255,5,1,slow,0,0,0,0,0,0,0,0,kanto,153,13
130,gyarados,1,129,64,blue,squiggle,waters-edge,4,50,45,5,1,slow,1,0,0,0,0,0,0,0,kanto,154,14
131,lapras,1,,65,blue,fish,sea,4,50,45,40,0,slow,0,0,0,0,0,0,0,0,kanto,155,190
132,ditto,1,,66,purple,ball,urban,-1,,35,20,0,medium,0,0,0,0,0,0,0,0,kanto,156,
133,eevee,1,,67,brown,quadruped,urban,1,87.5,45,35,1,medium,0,0,0,0,0,0,0,1,kanto,157,1
134,vaporeon,1,133,67,blue,quadruped,urban,1,87.5,45,35,0,medium,0,0,0,0,0,0,0,0,kanto,158,2
135,jolteon,1,133,67,yellow,quadruped,urban,1,87.5,45,35,0,medium,0,0,0,0,0,0,0,0,kanto,159,3
136,flareon,1,133,67,red,quadruped,urban,1,87.5,45,35,0,medium,0,0,0,0,0,0,0,0,kanto,160,4
137,porygon,1,,68,pink,legs,urban,-1,,45,20,0,medium,0,0,0,0,0,0,0,0,kanto,166,
138,omanyte,1,,69,blue,tentacles,sea,1,87.5,45,30,0,medium,0,0,0,0,0,0,1,0,kanto,169,
139,omastar,1,138,69,blue,tentacles,sea,1,87.5,45,30,0,medium,0,0,0,0,0,0,1,0,kanto,170,
140,kabuto,1,,70,brown,armor,sea,1,87.5,45,30,0,medium,0,0,0,0,0,0,1,0,kanto,171,
141,kabutops,1,140,70,brown,upright,sea,1,87.5,45,30,0,medium,0,0,0,0,0,0,1,0,kanto,172,
142,aerodactyl,1,,71,purple,wings,mountain,1,87.5,45,35,0,slow,1,0,0,0,0,0,1,0,kanto,173,
143,snorlax,1,446,72,black,humanoid,mountain,1,87.5,25,40,0,slow,0,0,0,0,0,0,0,0,kanto,175,179
144,articuno,1,,73,blue,wings,rare,-1,,3,80,0,slow,0,1,0,0,0,0,0,0,kanto,176,192
145,zapdos,1,,74,yellow,wings,rare,-1,,3,80,0,slow,0,1,0,0,0,0,0,0,kanto,177,
146,moltres,1,,75,yellow,wings,rare,-1,,3,80,0,slow,0,1,0,0,0,0,0,0,kanto,178,
147,dratini,1,,76,blue,squiggle,waters-edge,4,50,45,40,0,slow,0,0,0,0,0,0,0,0,kanto,179,76
148,dragonair,1,147,76,blue,squiggle,waters-edge,4,50,45,40,0,slow,0,0,0,0,0,0,0,0,kanto,180,77
149,dragonite,1,148,76,brown,upright,waters-edge,4,50,45,40,0,slow,0,0,0,0,0,0,0,0,kanto,181,78
150,mewtwo,1,,77,purple,upright,rare,-1,,3,120,0,slow,1,1,0,0,0,0,0,0,kanto,182,196
151,mew,1,,78,pink,upright,rare,-1,,45,120,0,medium-slow,0,0,1,0,0,0,0,0,kanto,183,
152,chikorita,2,,79,green,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,johto,184,
153,bayleef,2,152,79,green,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,185,
154,meganium,2,153,79,green,quadruped,grassland,1,87.5,45,20,1,medium-slow,0,0,0,0,0,0,0,0,johto,186,
155,cyndaquil,2,,80,yellow,humanoid,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,johto,187,
156,quilava,2,155,80,yellow,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,188,
157,typhlosion,2,156,80,yellow,quadruped,grassland,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,189,
158,totodile,2,,81,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,1,johto,190,
159,croconaw,2,158,81,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,191,
160,feraligatr,2,159,81,blue,upright,waters-edge,1,87.5,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,192,
161,sentret,2,,82,brown,quadruped,grassland,4,50,255,15,0,medium,0,0,0,0,0,0,0,0,johto,193,
162,furret,2,161,82,brown,quadruped,grassland,4,50,90,15,0,medium,0,0,0,0,0,0,0,0,johto,194,
163,hoothoot,2,,83,brown,wings,forest,4,50,255,15,0,medium,0,0,0,0,0,0,0,0,johto,195,
164,noctowl,2,163,83,brown,wings,forest,4,50,90,15,0,medium,0,0,0,0,0,0,0,0,johto,196,
165,ledyba,2,,84,red,wings,forest,4,50,255,15,1,fast,0,0,0,0,0,0,0,0,johto,197,
166,ledian,2,165,84,red,wings,forest,4,50,90,15,1,fast,0,0,0,0,0,0,0,0,johto,198,
167,spinarak,2,,85,green,armor,forest,4,50,255,15,0,fast,0,0,0,0,0,0,0,0,johto,199,
168,ariados,2,167,85,red,armor,forest,4,50,90,15,0,fast,0,0,0,0,0,0,0,0,johto,200,
169,crobat,2,42,17,purple,bug-wings,cave,4,50,90,15,0,medium,0,0,0,0,0,0,0,0,johto,46,25
170,chinchou,2,,86,blue,fish,sea,4,50,190,20,0,slow,0,0,0,0,0,0,0,0,johto,201,
171,lanturn,2,170,86,blue,fish,sea,4,50,75,20,0,slow,0,0,0,0,0,0,0,0,johto,202,
172,pichu,2,,10,yellow,quadruped,forest,4,50,190,10,0,medium,0,0,0,1,0,0,0,0,johto,25,15
173,cleffa,2,,14,pink,upright,mountain,6,25,150,10,0,fast,0,0,0,1,0,0,0,0,johto,36,
174,igglybuff,2,,16,pink,humanoid,grassland,6,25,170,10,0,fast,0,0,0,1,0,0,0,0,johto,41,20
175,togepi,2,,87,white,humanoid,forest,1,87.5,190,10,0,fast,0,0,0,1,0,0,0,0,johto,203,
176,togetic,2,175,87,white,humanoid,forest,1,87.5,75,10,0,fast,0,0,0,0,0,0,0,0,johto,204,
177,natu,2,,88,green,wings,forest,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,johto,206,
178,xatu,2,177,88,green,wings,forest,4,50,75,20,1,medium,0,0,0,0,0,0,0,0,johto,207,
179,mareep,2,,89,white,quadruped,grassland,4,50,235,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,208,45
180,flaaffy,2,179,89,pink,upright,grassland,4,50,120,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,209,46
181,ampharos,2,180,89,yellow,upright,grassland,4,50,45,20,0,medium-slow,1,0,0,0,0,0,0,0,johto,210,47
182,bellossom,2,44,18,green,humanoid,grassland,4,50,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,50,
183,marill,2,298,90,blue,upright,waters-edge,4,50,190,10,0,fast,0,0,0,0,0,0,0,0,johto,212,
184,azumarill,2,183,90,blue,upright,waters-edge,4,50,75,10,0,fast,0,0,0,0,0,0,0,0,johto,213,
185,sudowoodo,2,438,91,brown,humanoid,forest,4,50,65,20,1,medium,0,0,0,0,0,0,0,0,johto,215,
186,politoed,2,61,26,green,humanoid,waters-edge,4,50,45,20,1,medium-slow,0,0,0,0,0,0,0,0,johto,68,
187,hoppip,2,,92,pink,upright,grassland,4,50,255,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,216,
188,skiploom,2,187,92,green,upright,grassland,4,50,120,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,217,
189,jumpluff,2,188,92,blue,upright,grassland,4,50,45,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,218,
190,aipom,2,,93,purple,upright,forest,4,50,45,20,1,fast,0,0,0,0,0,0,0,0,johto,219,
191,sunkern,2,,94,yellow,ball,grassland,4,50,235,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,221,
192,sunflora,2,191,94,yellow,humanoid,grassland,4,50,120,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,222,
193,yanma,2,,95,red,bug-wings,forest,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,johto,223,
194,wooper,2,,96,blue,legs,waters-edge,4,50,255,20,1,medium,0,0,0,0,0,0,0,0,johto,225,18
195,quagsire,2,194,96,blue,upright,waters-edge,4,50,90,20,1,medium,0,0,0,0,0,0,0,0,johto,226,19
196,espeon,2,133,67,purple,quadruped,urban,1,87.5,45,35,0,medium,0,0,0,0,0,0,0,0,johto,161,5
197,umbreon,2,133,67,black,quadruped,urban,1,87.5,45,35,0,medium,0,0,0,0,0,0,0,0,johto,162,6
198,murkrow,2,,97,black,wings,forest,4,50,30,20,1,medium-slow,0,0,0,0,0,0,0,0,johto,227,
199,slowking,2,79,33,pink,upright,waters-edge,4,50,70,20,0,medium,0,0,0,0,0,0,0,0,johto,87,
200,misdreavus,2,,98,gray,ball,cave,4,50,45,25,0,fast,0,0,0,0,0,0,0,0,johto,229,183
201,unown,2,,99,black,ball,rare,-1,,225,40,0,medium,0,0,0,0,0,0,0,0,johto,231,
202,wobbuffet,2,360,100,blue,blob,cave,4,50,45,20,1,medium,0,0,0,0,0,0,0,0,johto,233,
203,girafarig,2,,101,yellow,quadruped,grassland,4,50,60,20,1,medium,0,0,0,0,0,0,0,0,johto,234,
204,pineco,2,,102,gray,ball,forest,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,johto,235,56
205,forretress,2,204,102,purple,ball,forest,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,johto,236,57
206,dunsparce,2,,103,yellow,squiggle,cave,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,johto,237,
207,gligar,2,,104,purple,wings,mountain,4,50,60,20,1,medium-slow,0,0,0,0,0,0,0,0,johto,238,
208,steelix,2,95,41,gray,squiggle,cave,4,50,25,25,1,medium,1,0,0,0,0,0,0,0,johto,104,176
209,snubbull,2,,105,pink,humanoid,urban,6,25,190,20,0,fast,0,0,0,0,0,0,0,0,johto,240,
210,granbull,2,209,105,purple,upright,urban,6,25,75,20,0,fast,0,0,0,0,0,0,0,0,johto,241,
211,qwilfish,2,,106,gray,fish,sea,4,50,45,20,0,medium,0,0,0,0,0,0,0,0,johto,242,
212,scizor,2,123,58,red,bug-wings,grassland,4,50,25,25,1,medium,1,0,0,0,0,0,0,0,johto,142,189
213,shuckle,2,,107,yellow,armor,mountain,4,50,190,20,0,medium-slow,0,0,0,0,0,0,0,0,johto,243,
214,heracross,2,,108,blue,humanoid,forest,4,50,45,25,1,slow,1,0,0,0,0,0,0,0,johto,244,
215,sneasel,2,,109,black,upright,forest,4,50,60,20,1,medium-slow,0,0,0,0,0,0,0,0,johto,245,181
216,teddiursa,2,,110,brown,upright,mountain,4,50,120,20,0,medium,0,0,0,0,0,0,0,0,johto,247,
217,ursaring,2,216,110,brown,upright,mountain,4,50,60,20,1,medium,0,0,0,0,0,0,0,0,johto,248,
218,slugma,2,,111,red,squiggle,mountain,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,johto,249,
219,magcargo,2,218,111,red,squiggle,mountain,4,50,75,20,0,medium,0,0,0,0,0,0,0,0,johto,250,
220,swinub,2,,112,brown,quadruped,cave,4,50,225,20,0,slow,0,0,0,0,0,0,0,0,johto,251,
221,piloswine,2,220,112,brown,quadruped,cave,4,50,75,20,1,slow,0,0,0,0,0,0,0,0,johto,252,
222,corsola,2,,113,pink,armor,sea,6,25,60,20,0,fast,0,0,0,0,0,0,0,0,johto,254,
223,remoraid,2,,114,gray,fish,sea,4,50,190,20,0,medium,0,0,0,0,0,0,0,0,johto,255,
224,octillery,2,223,114,red,tentacles,sea,4,50,75,20,1,medium,0,0,0,0,0,0,0,0,johto,256,
225,delibird,2,,115,red,wings,mountain,4,50,45,20,0,fast,0,0,0,0,0,0,0,0,johto,257,
226,mantine,2,458,116,purple,wings,sea,4,50,25,25,0,slow,0,0,0,0,0,0,0,0,johto,259,
227,skarmory,2,,117,gray,wings,rough-terrain,4,50,25,25,0,slow,0,0,0,0,0,0,0,0,johto,260,
228,houndour,2,,118,black,quadruped,rough-terrain,4,50,120,20,0,slow,0,0,0,0,0,0,0,0,johto,261,
