item,generation,game_index
moomoo-milk,2,72
moomoo-milk,3,29
moomoo-milk,4,33
moomoo-milk,5,33
moomoo-milk,6,33
moomoo-milk,7,33
moomoo-milk,8,33
moomoo-milk,9,33
energy-powder,2,116
energy-powder,3,30
energy-powder,4,34
energy-powder,5,34
energy-powder,6,34
energy-powder,7,34
energy-powder,8,34
energy-powder,9,34
energy-root,2,122
energy-root,3,31
energy-root,4,35
energy-root,5,35
energy-root,6,35
energy-root,7,35
energy-root,8,35
energy-root,9,35
heal-powder,2,123
heal-powder,3,32
heal-powder,4,36
heal-powder,5,36
heal-powder,6,36
heal-powder,7,36
heal-powder,8,36
heal-powder,9,36
revival-herb,2,124
revival-herb,3,33
revival-herb,4,37
revival-herb,5,37
revival-herb,6,37
revival-herb,7,37
revival-herb,8,37
revival-herb,9,37
ether,1,80
ether,2,63
ether,3,34
ether,4,38
ether,5,38
ether,6,38
ether,7,38
ether,8,38
ether,9,38
max-ether,1,81
max-ether,2,64
max-ether,3,35
max-ether,4,39
max-ether,5,39
max-ether,6,39
max-ether,7,39
max-ether,8,39
max-ether,9,39
elixir,1,82
elixir,2,65
elixir,2,21
elixir,3,36
elixir,4,40
elixir,5,40
elixir,6,40
elixir,7,40
elixir,8,40
elixir,9,40
max-elixir,1,83
max-elixir,3,37
max-elixir,4,41
max-elixir,5,41
max-elixir,6,41
max-elixir,7,41
max-elixir,8,41
max-elixir,9,41
lava-cookie,3,38
lava-cookie,4,42
lava-cookie,5,42
lava-cookie,6,42
lava-cookie,7,42
lava-cookie,8,42
lava-cookie,9,42
berry-juice,2,139
berry-juice,3,44
berry-juice,4,43
berry-juice,5,43
berry-juice,6,43
berry-juice,7,43
berry-juice,8,43
berry-juice,9,43
sacred-ash,2,156
sacred-ash,3,45
sacred-ash,4,44
sacred-ash,5,44
sacred-ash,6,44
sacred-ash,7,44
sacred-ash,8,44
sacred-ash,9,44
hp-up,1,35
hp-up,2,26
hp-up,3,63
hp-up,4,45
hp-up,5,45
hp-up,6,45
hp-up,7,45
hp-up,8,45
hp-up,9,45
protein,1,36
protein,2,27
protein,3,64
protein,4,46
protein,5,46
protein,6,46
protein,7,46
protein,8,46
protein,9,46
iron,1,37
iron,2,28
iron,3,65
iron,4,47
iron,5,47
iron,6,47
iron,7,47
iron,8,47
iron,9,47
carbos,1,38
carbos,2,29
carbos,3,66
carbos,4,48
carbos,5,48
carbos,6,48
carbos,7,48
carbos,8,48
carbos,9,48
calcium,1,39
calcium,2,31
calcium,3,67
calcium,4,49
calcium,5,49
calcium,6,49
calcium,7,49
calcium,8,49
calcium,9,49
rare-candy,1,40
rare-candy,2,32
rare-candy,3,68
rare-candy,4,50
rare-candy,5,50
rare-candy,6,50
rare-candy,7,50
rare-candy,8,50
rare-candy,9,50
pp-up,1,79
pp-up,2,62
pp-up,3,69
pp-up,4,51
pp-up,5,51
pp-up,6,51
pp-up,7,51
pp-up,8,51
pp-up,9,51
zinc,3,70
zinc,4,52
zinc,5,52
zinc,6,52
zinc,7,52
zinc,8,52
zinc,9,52
pp-max,3,71
pp-max,4,53
pp-max,5,53
pp-max,6,53
pp-max,7,53
pp-max,8,53
pp-max,9,53
old-gateau,4,54
old-gateau,5,54
old-gateau,6,54
old-gateau,7,54
old-gateau,8,54
old-gateau,9,54
guard-spec,1,55
guard-spec,2,41
guard-spec,3,73
guard-spec,4,55
guard-spec,5,55
guard-spec,6,55
guard-spec,7,55
guard-spec,8,55
guard-spec,9,55
dire-hit,1,58
dire-hit,2,44
dire-hit,3,74
dire-hit,4,56
dire-hit,5,56
dire-hit,6,56
dire-hit,7,56
dire-hit,8,56
dire-hit,9,56
x-attack,1,65
x-attack,2,49
x-attack,3,75
x-attack,4,57
x-attack,5,57
x-attack,6,57
x-attack,7,57
x-attack,8,57
x-attack,9,57
x-defense,1,66
x-defense,2,51
x-defense,3,76
x-defense,4,58
x-defense,5,58
x-defense,6,58
x-defense,7,58
x-defense,8,58
x-defense,9,58
x-speed,1,67
x-speed,2,52
x-speed,3,77
x-speed,4,59
x-speed,5,59
x-speed,6,59
x-speed,7,59
x-speed,8,59
x-speed,9,59
x-accuracy,1,46
x-accuracy,2,33
x-accuracy,3,78
x-accuracy,4,60
x-accuracy,5,60
x-accuracy,6,60
x-accuracy,7,60
x-accuracy,8,60
x-accuracy,9,60
x-sp-atk,1,68
x-sp-atk,2,53
x-sp-atk,3,79
x-sp-atk,4,61
x-sp-atk,5,61
x-sp-atk,6,61
x-sp-atk,7,61
x-sp-atk,8,61
x-sp-atk,9,61
x-sp-def,4,62
x-sp-def,5,62
x-sp-def,6,62
x-sp-def,7,62
x-sp-def,8,62
x-sp-def,9,62
poke-doll,1,51
poke-doll,2,37
poke-doll,3,80
poke-doll,4,63
poke-doll,5,63
poke-doll,6,63
poke-doll,7,63
poke-doll,8,63
poke-doll,9,63
fluffy-tail,3,81
fluffy-tail,4,64
fluffy-tail,5,64
fluffy-tail,6,64
fluffy-tail,7,64
fluffy-tail,8,64
fluffy-tail,9,64
blue-flute,3,39
blue-flute,4,65
blue-flute,5,65
blue-flute,6,65
blue-flute,7,65
blue-flute,8,65
blue-flute,9,65
yellow-flute,3,40
yellow-flute,4,66
yellow-flute,5,66
yellow-flute,6,66
yellow-flute,7,66
yellow-flute,8,66
yellow-flute,9,66
red-flute,3,41
red-flute,4,67
red-flute,5,67
red-flute,6,67
red-flute,7,67
red-flute,8,67
red-flute,9,67
black-flute,3,42
black-flute,4,68
black-flute,5,68
black-flute,6,68
black-flute,7,68
black-flute,8,68
black-flute,9,68
white-flute,3,43
white-flute,4,69
white-flute,5,69
white-flute,6,69
white-flute,7,69
white-flute,8,69
white-flute,9,69
shoal-salt,3,46
shoal-salt,4,70
shoal-salt,5,70
shoal-salt,6,70
shoal-salt,7,70
shoal-salt,8,70
shoal-salt,9,70
shoal-shell,3,47
shoal-shell,4,71
shoal-shell,5,71
shoal-shell,6,71
shoal-shell,7,71
shoal-shell,8,71
shoal-shell,9,71
red-shard,3,48
red-shard,4,72
red-shard,5,72
red-shard,6,72
red-shard,7,72
red-shard,8,72
red-shard,9,72
blue-shard,3,49
blue-shard,4,73
blue-shard,5,73
blue-shard,6,73
blue-shard,7,73
blue-shard,8,73
blue-shard,9,73
yellow-shard,3,50
yellow-shard,4,74
yellow-shard,5,74
yellow-shard,6,74
yellow-shard,7,74
yellow-shard,8,74
yellow-shard,9,74
green-shard,3,51
green-shard,4,75
green-shard,5,75
green-shard,6,75
green-shard,7,75
green-shard,8,75
green-shard,9,75
super-repel,1,56
super-repel,2,42
super-repel,3,83
super-repel,4,76
super-repel,5,76
super-repel,6,76
super-repel,7,76
super-repel,8,76
super-repel,9,76
max-repel,1,57
max-repel,2,43
max-repel,3,84
max-repel,4,77
max-repel,5,77
max-repel,6,77
max-repel,7,77
max-repel,8,77
max-repel,9,77
escape-rope,1,29
escape-rope,2,19
escape-rope,3,85
escape-rope,4,78
escape-rope,5,78
escape-rope,6,78
escape-rope,7,78
escape-rope,8,78
escape-rope,9,78
repel,1,30
repel,2,20
repel,3,86
repel,4,79
repel,5,79
repel,6,79
repel,7,79
repel,8,79
repel,9,79
sun-stone,2,169
sun-stone,3,93
sun-stone,4,80
sun-stone,5,80
sun-stone,6,80
sun-stone,7,80
sun-stone,8,80
sun-stone,9,80
moon-stone,1,10
moon-stone,2,8
moon-stone,3,94
moon-stone,4,81
moon-stone,5,81
moon-stone,6,81
moon-stone,7,81
moon-stone,8,81
moon-stone,9,81
fire-stone,1,32
fire-stone,2,22
fire-stone,3,95
fire-stone,4,82
fire-stone,5,82
fire-stone,6,82
fire-stone,7,82
fire-stone,8,82
fire-stone,9,82
thunder-stone,1,33
thunder-stone,2,23
thunder-stone,3,96
thunder-stone,4,83
thunder-stone,5,83
thunder-stone,6,83
thunder-stone,7,83
thunder-stone,8,83
thunder-stone,9,83
water-stone,1,34
water-stone,2,24
water-stone,3,97
water-stone,4,84
water-stone,5,84
water-stone,6,84
water-stone,7,84
water-stone,8,84
water-stone,9,84
leaf-stone,1,47
leaf-stone,2,34
leaf-stone,3,98
leaf-stone,4,85
leaf-stone,5,85
leaf-stone,6,85
leaf-stone,7,85
leaf-stone,8,85
leaf-stone,9,85
tiny-mushroom,2,86
tiny-mushroom,3,103
tiny-mushroom,4,86
tiny-mushroom,5,86
tiny-mushroom,6,86
tiny-mushroom,7,86
tiny-mushroom,8,86
tiny-mushroom,9,86
big-mushroom,2,87
big-mushroom,3,104
big-mushroom,4,87
big-mushroom,5,87
big-mushroom,6,87
big-mushroom,7,87
big-mushroom,8,87
big-mushroom,9,87
pearl,2,110
pearl,3,106
pearl,4,88
pearl,5,88
pearl,6,88
pearl,7,88
pearl,8,88
pearl,9,88
big-pearl,2,111
big-pearl,3,107
big-pearl,4,89
big-pearl,5,89
big-pearl,6,89
big-pearl,7,89
big-pearl,8,89
big-pearl,9,89
stardust,2,131
stardust,3,108
stardust,4,90
stardust,5,90
stardust,6,90
stardust,7,90
stardust,8,90
stardust,9,90
star-piece,2,132
star-piece,3,109
star-piece,4,91
star-piece,5,91
star-piece,6,91
star-piece,7,91
star-piece,8,91
star-piece,9,91
nugget,1,49
nugget,2,36
nugget,3,110
nugget,4,92
nugget,5,92
nugget,6,92
nugget,7,92
nugget,8,92
nugget,9,92
heart-scale,3,111
heart-scale,4,93
heart-scale,5,93
heart-scale,6,93
heart-scale,7,93
heart-scale,8,93
heart-scale,9,93
honey,4,94
honey,5,94
honey,6,94
honey,7,94
honey,8,94
honey,9,94
growth-mulch,4,95
growth-mulch,5,95
growth-mulch,6,95
growth-mulch,7,95
growth-mulch,8,95
growth-mulch,9,95
damp-mulch,4,96
damp-mulch,5,96
damp-mulch,6,96
damp-mulch,7,96
damp-mulch,8,96
damp-mulch,9,96
stable-mulch,4,97
stable-mulch,5,97
stable-mulch,6,97
stable-mulch,7,97
stable-mulch,8,97
stable-mulch,9,97
gooey-mulch,4,98
gooey-mulch,5,98
gooey-mulch,6,98
gooey-mulch,7,98
gooey-mulch,8,98
gooey-mulch,9,98
root-fossil,3,286
root-fossil,4,99
root-fossil,5,99
root-fossil,6,99
root-fossil,7,99
root-fossil,8,99
root-fossil,9,99
claw-fossil,3,287
claw-fossil,4,100
claw-fossil,5,100
claw-fossil,6,100
claw-fossil,7,100
claw-fossil,8,100
claw-fossil,9,100
helix-fossil,1,42
helix-fossil,3,357
helix-fossil,4,101
helix-fossil,5,101
helix-fossil,6,101
helix-fossil,7,101
helix-fossil,8,101
helix-fossil,9,101
dome-fossil,1,41
dome-fossil,3,358
dome-fossil,4,102
dome-fossil,5,102
dome-fossil,6,102
dome-fossil,7,102
dome-fossil,8,102
dome-fossil,9,102
old-amber,1,31
old-amber,3,354
old-amber,4,103
old-amber,5,103
old-amber,6,103
old-amber,7,103
old-amber,8,103
old-amber,9,103
armor-fossil,4,104
armor-fossil,5,104
armor-fossil,6,104
armor-fossil,7,104
armor-fossil,8,104
armor-fossil,9,104
skull-fossil,4,105
skull-fossil,5,105
skull-fossil,6,105
skull-fossil,7,105
skull-fossil,8,105
skull-fossil,9,105
rare-bone,4,106
rare-bone,5,106
rare-bone,6,106
rare-bone,7,106
rare-bone,8,106
rare-bone,9,106
shiny-stone,4,107
shiny-stone,5,107
shiny-stone,6,107
shiny-stone,7,107
shiny-stone,8,107
shiny-stone,9,107
dusk-stone,4,108
dusk-stone,5,108
dusk-stone,6,108
dusk-stone,7,108
dusk-stone,8,108
dusk-stone,9,108
dawn-stone,4,109
dawn-stone,5,109
dawn-stone,6,109
dawn-stone,7,109
dawn-stone,8,109
dawn-stone,9,109
oval-stone,4,110
oval-stone,5,110
oval-stone,6,110
oval-stone,7,110
oval-stone,8,110
oval-stone,9,110
odd-keystone,4,111
odd-keystone,5,111
odd-keystone,6,111
odd-keystone,7,111
odd-keystone,8,111
odd-keystone,9,111
adamant-orb,4,135
adamant-orb,5,135
adamant-orb,6,135
adamant-orb,7,135
adamant-orb,8,135
adamant-orb,9,135
lustrous-orb,4,136
lustrous-orb,5,136
lustrous-orb,6,136
lustrous-orb,7,136
lustrous-orb,8,136
lustrous-orb,9,136
grass-mail,4,137
flame-mail,4,138
bubble-mail,4,139
bloom-mail,4,140
tunnel-mail,4,141
steel-mail,4,142
heart-mail,4,143
snow-mail,4,144
space-mail,4,145
air-mail,4,146
mosaic-mail,4,147
brick-mail,4,148
cheri-berry,2,78
cheri-berry,3,133
cheri-berry,4,149
cheri-berry,5,149
cheri-berry,6,149
cheri-berry,7,149
cheri-berry,8,149
cheri-berry,9,149
chesto-berry,2,84
chesto-berry,3,134
chesto-berry,4,150
chesto-berry,5,150
chesto-berry,6,150
chesto-berry,7,150
chesto-berry,8,150
chesto-berry,9,150
pecha-berry,2,74
pecha-berry,3,135
pecha-berry,4,151
pecha-berry,5,151
pecha-berry,6,151
pecha-berry,7,151
pecha-berry,8,151
pecha-berry,9,151
rawst-berry,2,80
rawst-berry,3,136
rawst-berry,4,152
rawst-berry,5,152
rawst-berry,6,152
rawst-berry,7,152
rawst-berry,8,152
rawst-berry,9,152
aspear-berry,2,79
aspear-berry,3,137
aspear-berry,4,153
aspear-berry,5,153
aspear-berry,6,153
aspear-berry,7,153
aspear-berry,8,153
aspear-berry,9,153
leppa-berry,2,150
leppa-berry,3,138
leppa-berry,4,154
leppa-berry,5,154
leppa-berry,6,154
leppa-berry,7,154
leppa-berry,8,154
leppa-berry,9,154
oran-berry,2,173
oran-berry,3,139
oran-berry,4,155
oran-berry,5,155
oran-berry,6,155
oran-berry,7,155
oran-berry,8,155
oran-berry,9,155
persim-berry,2,83
persim-berry,3,140
persim-berry,4,156
persim-berry,5,156
persim-berry,6,156
persim-berry,7,156
persim-berry,8,156
persim-berry,9,156
lum-berry,2,109
lum-berry,3,141
lum-berry,4,157
lum-berry,5,157
lum-berry,6,157
lum-berry,7,157
lum-berry,8,157
lum-berry,9,157
sitrus-berry,2,174
sitrus-berry,3,142
sitrus-berry,4,158
sitrus-berry,5,158
sitrus-berry,6,158
sitrus-berry,7,158
sitrus-berry,8,158
sitrus-berry,9,158
figy-berry,3,143
figy-berry,4,159
figy-berry,5,159
figy-berry,6,159
figy-berry,7,159
figy-berry,8,159
figy-berry,9,159
wiki-berry,3,144
wiki-berry,4,160
wiki-berry,5,160
wiki-berry,6,160
wiki-berry,7,160
wiki-berry,8,160
wiki-berry,9,160
mago-berry,3,145
mago-berry,4,161
mago-berry,5,161
mago-berry,6,161
mago-berry,7,161
mago-berry,8,161
mago-berry,9,161
aguav-berry,3,146
aguav-berry,4,162
aguav-berry,5,162
aguav-berry,6,162
aguav-berry,7,162
aguav-berry,8,162
aguav-berry,9,162
iapapa-berry,3,147
iapapa-berry,4,163
iapapa-berry,5,163
iapapa-berry,6,163
iapapa-berry,7,163
iapapa-berry,8,163
iapapa-berry,9,163
razz-berry,3,148
razz-berry,4,164
razz-berry,5,164
razz-berry,6,164
razz-berry,7,164
razz-berry,8,164
razz-berry,9,164
bluk-berry,3,149
bluk-berry,4,165
bluk-berry,5,165
bluk-berry,6,165
bluk-berry,7,165
bluk-berry,8,165
bluk-berry,9,165
nanab-berry,3,150
nanab-berry,4,166
nanab-berry,5,166
nanab-berry,6,166
nanab-berry,7,166
nanab-berry,8,166
nanab-berry,9,166
wepear-berry,3,151
wepear-berry,4,167
wepear-berry,5,167
wepear-berry,6,167
wepear-berry,7,167
wepear-berry,8,167
wepear-berry,9,167
pinap-berry,3,152
pinap-berry,4,168
pinap-berry,5,168
pinap-berry,6,168
pinap-berry,7,168
pinap-berry,8,168
pinap-berry,9,168
pomeg-berry,3,153
pomeg-berry,4,169
pomeg-berry,5,169
pomeg-berry,6,169
pomeg-berry,7,169
pomeg-berry,8,169
pomeg-berry,9,169
kelpsy-berry,3,154
kelpsy-berry,4,170
kelpsy-berry,5,170
kelpsy-berry,6,170
kelpsy-berry,7,170
kelpsy-berry,8,170
kelpsy-berry,9,170
qualot-berry,3,155
qualot-berry,4,171
qualot-berry,5,171
qualot-berry,6,171
qualot-berry,7,171
qualot-berry,8,171
qualot-berry,9,171
hondew-berry,3,156
hondew-berry,4,172
hondew-berry,5,172
hondew-berry,6,172
hondew-berry,7,172
hondew-berry,8,172
hondew-berry,9,172
grepa-berry,3,157
grepa-berry,4,173
grepa-berry,5,173
grepa-berry,6,173
grepa-berry,7,173
grepa-berry,8,173
grepa-berry,9,173
tamato-berry,3,158
tamato-berry,4,174
tamato-berry,5,174
tamato-berry,6,174
tamato-berry,7,174
tamato-berry,8,174
tamato-berry,9,174
cornn-berry,3,159
cornn-berry,4,175
cornn-berry,5,175
cornn-berry,6,175
cornn-berry,7,175
cornn-berry,8,175
cornn-berry,9,175
magost-berry,3,160
magost-berry,4,176
magost-berry,5,176
magost-berry,6,176
magost-berry,7,176
magost-berry,8,176
magost-berry,9,176
rabuta-berry,3,161
rabuta-berry,4,177
rabuta-berry,5,177
rabuta-berry,6,177
rabuta-berry,7,177
rabuta-berry,8,177
rabuta-berry,9,177
nomel-berry,3,162
nomel-berry,4,178
nomel-berry,5,178
nomel-berry,6,178
nomel-berry,7,178
nomel-berry,8,178
nomel-berry,9,178
spelon-berry,3,163
spelon-berry,4,179
spelon-berry,5,179
spelon-berry,6,179
spelon-berry,7,179
spelon-berry,8,179
spelon-berry,9,179
pamtre-berry,3,164
pamtre-berry,4,180
pamtre-berry,5,180
pamtre-berry,6,180
pamtre-berry,7,180
pamtre-berry,8,180
pamtre-berry,9,180
watmel-berry,3,165
watmel-berry,4,181
watmel-berry,5,181
watmel-berry,6,181
watmel-berry,7,181
watmel-berry,8,181
watmel-berry,9,181
durin-berry,3,166
durin-berry,4,182
durin-berry,5,182
durin-berry,6,182
durin-berry,7,182
durin-berry,8,182
durin-berry,9,182
belue-berry,3,167
belue-berry,4,183
belue-berry,5,183
belue-berry,6,183
belue-berry,7,183
belue-berry,8,183
belue-berry,9,183
occa-berry,4,184
occa-berry,5,184
occa-berry,6,184
occa-berry,7,184
occa-berry,8,184
occa-berry,9,184
passho-berry,4,185
passho-berry,5,185
passho-berry,6,185
passho-berry,7,185
passho-berry,8,185
passho-berry,9,185
wacan-berry,4,186
wacan-berry,5,186
wacan-berry,6,186
wacan-berry,7,186
wacan-berry,8,186
wacan-berry,9,186
rindo-berry,4,187
rindo-berry,5,187
rindo-berry,6,187
rindo-berry,7,187
rindo-berry,8,187
rindo-berry,9,187
yache-berry,4,188
yache-berry,5,188
yache-berry,6,188
yache-berry,7,188
yache-berry,8,188
yache-berry,9,188
chople-berry,4,189
chople-berry,5,189
chople-berry,6,189
chople-berry,7,189
chople-berry,8,189
chople-berry,9,189
kebia-berry,4,190
kebia-berry,5,190
kebia-berry,6,190
kebia-berry,7,190
kebia-berry,8,190
kebia-berry,9,190
shuca-berry,4,191
shuca-berry,5,191
shuca-berry,6,191
shuca-berry,7,191
shuca-berry,8,191
shuca-berry,9,191
coba-berry,4,192
coba-berry,5,192
coba-berry,6,192
coba-berry,7,192
coba-berry,8,192
coba-berry,9,192
payapa-berry,4,193
payapa-berry,5,193
payapa-berry,6,193
payapa-berry,7,193
payapa-berry,8,193
payapa-berry,9,193
tanga-berry,4,194
tanga-berry,5,194
tanga-berry,6,194
tanga-berry,7,194
tanga-berry,8,194
tanga-berry,9,194
charti-berry,4,195
charti-berry,5,195
charti-berry,6,195
charti-berry,7,195
charti-berry,8,195
charti-berry,9,195
kasib-berry,4,196
kasib-berry,5,196
kasib-berry,6,196
kasib-berry,7,196
kasib-berry,8,196
kasib-berry,9,196
haban-berry,4,197
haban-berry,5,197
haban-berry,6,197
haban-berry,7,197
haban-berry,8,197
haban-berry,9,197
colbur-berry,4,198
colbur-berry,5,198
colbur-berry,6,198
colbur-berry,7,198
colbur-berry,8,198
colbur-berry,9,198
babiri-berry,4,199
babiri-berry,5,199
babiri-berry,6,199
babiri-berry,7,199
babiri-berry,8,199
babiri-berry,9,199
chilan-berry,4,200
chilan-berry,5,200
chilan-berry,6,200
chilan-berry,7,200
chilan-berry,8,200
chilan-berry,9,200
liechi-berry,3,168
liechi-berry,4,201
liechi-berry,5,201
liechi-berry,6,201
liechi-berry,7,201
liechi-berry,8,201
liechi-berry,9,201
ganlon-berry,3,169
ganlon-berry,4,202
ganlon-berry,5,202
ganlon-berry,6,202
ganlon-berry,7,202
ganlon-berry,8,202
ganlon-berry,9,202
salac-berry,3,170
salac-berry,4,203
salac-berry,5,203
salac-berry,6,203
salac-berry,7,203
salac-berry,8,203
salac-berry,9,203
petaya-berry,3,171
petaya-berry,4,204
petaya-berry,5,204
petaya-berry,6,204
petaya-berry,7,204
petaya-berry,8,204
petaya-berry,9,204
apicot-berry,3,172
apicot-berry,4,205
apicot-berry,5,205
apicot-berry,6,205
apicot-berry,7,205
apicot-berry,8,205
apicot-berry,9,205
lansat-berry,3,173
lansat-berry,4,206
lansat-berry,5,206
lansat-berry,6,206
lansat-berry,7,206
lansat-berry,8,206
lansat-berry,9,206
starf-berry,3,174
starf-berry,4,207
starf-berry,5,207
starf-berry,6,207
starf-berry,7,207
starf-berry,8,207
starf-berry,9,207
enigma-berry,3,175
enigma-berry,4,208
enigma-berry,5,208
enigma-berry,6,208
enigma-berry,7,208
enigma-berry,8,208
enigma-berry,9,208
micle-berry,4,209
micle-berry,5,209
micle-berry,6,209
micle-berry,7,209
micle-berry,8,209
micle-berry,9,209
custap-berry,4,210
custap-berry,5,210
custap-berry,6,210
custap-berry,7,210
custap-berry,8,210
custap-berry,9,210
jaboca-berry,4,211
jaboca-berry,5,211
jaboca-berry,6,211
jaboca-berry,7,211
jaboca-berry,8,211
jaboca-berry,9,211
rowap-berry,4,212
rowap-berry,5,212
rowap-berry,6,212
rowap-berry,7,212
rowap-berry,8,212
rowap-berry,9,212
bright-powder,2,3
bright-powder,3,179
bright-powder,4,213
bright-powder,5,213
bright-powder,6,213
bright-powder,7,213
bright-powder,8,213
bright-powder,9,213
white-herb,3,180
white-herb,4,214
white-herb,5,214
white-herb,6,214
white-herb,7,214
white-herb,8,214
white-herb,9,214
macho-brace,3,181
macho-brace,4,215
macho-brace,5,215
macho-brace,6,215
macho-brace,7,215
macho-brace,8,215
macho-brace,9,215
exp-share,1,75
exp-share,2,57
exp-share,3,182
exp-share,4,216
exp-share,5,216
exp-share,6,216
exp-share,7,216
exp-share,8,216
exp-share,9,216
quick-claw,2,73
quick-claw,3,183
quick-claw,4,217
quick-claw,5,217
quick-claw,6,217
quick-claw,7,217
quick-claw,8,217
quick-claw,9,217
soothe-bell,3,184
soothe-bell,4,218
soothe-bell,5,218
soothe-bell,6,218
soothe-bell,7,218
soothe-bell,8,218
soothe-bell,9,218
mental-herb,3,185
mental-herb,4,219
mental-herb,5,219
mental-herb,6,219
