version_group,machine,machine_number,move
emerald,tm05,5,roar
firered-leafgreen,tm05,5,roar
diamond-pearl,tm05,5,roar
platinum,tm05,5,roar
heartgold-soulsilver,tm05,5,roar
black-white,tm05,5,roar
black-2-white-2,tm05,5,roar
x-y,tm05,5,roar
omega-ruby-alpha-sapphire,tm05,5,roar
sun-moon,tm05,5,roar
ultra-sun-ultra-moon,tm05,5,roar
lets-go-pikachu-lets-go-eevee,tm05,5,rest
sword-shield,tm05,5,thunder-punch
red-blue,tm06,6,toxic
yellow,tm06,6,toxic
gold-silver,tm06,6,toxic
crystal,tm06,6,toxic
ruby-sapphire,tm06,6,toxic
emerald,tm06,6,toxic
firered-leafgreen,tm06,6,toxic
diamond-pearl,tm06,6,toxic
platinum,tm06,6,toxic
heartgold-soulsilver,tm06,6,toxic
black-white,tm06,6,toxic
black-2-white-2,tm06,6,toxic
x-y,tm06,6,toxic
omega-ruby-alpha-sapphire,tm06,6,toxic
sun-moon,tm06,6,toxic
ultra-sun-ultra-moon,tm06,6,toxic
lets-go-pikachu-lets-go-eevee,tm06,6,light-screen
sword-shield,tm06,6,fly
red-blue,tm07,7,horn-drill
yellow,tm07,7,horn-drill
gold-silver,tm07,7,zap-cannon
crystal,tm07,7,zap-cannon
ruby-sapphire,tm07,7,hail
emerald,tm07,7,hail
firered-leafgreen,tm07,7,hail
diamond-pearl,tm07,7,hail
platinum,tm07,7,hail
heartgold-soulsilver,tm07,7,hail
black-white,tm07,7,hail
black-2-white-2,tm07,7,hail
x-y,tm07,7,hail
omega-ruby-alpha-sapphire,tm07,7,hail
sun-moon,tm07,7,hail
ultra-sun-ultra-moon,tm07,7,hail
lets-go-pikachu-lets-go-eevee,tm07,7,protect
sword-shield,tm07,7,pin-missile
red-blue,tm08,8,body-slam
yellow,tm08,8,body-slam
gold-silver,tm08,8,rock-smash
crystal,tm08,8,rock-smash
ruby-sapphire,tm08,8,bulk-up
emerald,tm08,8,bulk-up
firered-leafgreen,tm08,8,bulk-up
diamond-pearl,tm08,8,bulk-up
platinum,tm08,8,bulk-up
heartgold-soulsilver,tm08,8,bulk-up
black-white,tm08,8,bulk-up
black-2-white-2,tm08,8,bulk-up
x-y,tm08,8,bulk-up
omega-ruby-alpha-sapphire,tm08,8,bulk-up
sun-moon,tm08,8,bulk-up
ultra-sun-ultra-moon,tm08,8,bulk-up
lets-go-pikachu-lets-go-eevee,tm08,8,substitute
sword-shield,tm08,8,hyper-beam
red-blue,tm09,9,take-down
yellow,tm09,9,take-down
gold-silver,tm09,9,psych-up
crystal,tm09,9,psych-up
ruby-sapphire,tm09,9,bullet-seed
emerald,tm09,9,bullet-seed
firered-leafgreen,tm09,9,bullet-seed
diamond-pearl,tm09,9,bullet-seed
platinum,tm09,9,bullet-seed
heartgold-soulsilver,tm09,9,bullet-seed
black-white,tm09,9,venoshock
black-2-white-2,tm09,9,venoshock
x-y,tm09,9,venoshock
omega-ruby-alpha-sapphire,tm09,9,venoshock
sun-moon,tm09,9,venoshock
ultra-sun-ultra-moon,tm09,9,venoshock
lets-go-pikachu-lets-go-eevee,tm09,9,reflect
sword-shield,tm09,9,giga-impact
red-blue,tm10,10,double-edge
yellow,tm10,10,double-edge
gold-silver,tm10,10,hidden-power
crystal,tm10,10,hidden-power
ruby-sapphire,tm10,10,hidden-power
emerald,tm10,10,hidden-power
firered-leafgreen,tm10,10,hidden-power
diamond-pearl,tm10,10,hidden-power
platinum,tm10,10,hidden-power
heartgold-soulsilver,tm10,10,hidden-power
black-white,tm10,10,hidden-power
black-2-white-2,tm10,10,hidden-power
x-y,tm10,10,hidden-power
omega-ruby-alpha-sapphire,tm10,10,hidden-power
sun-moon,tm10,10,hidden-power
ultra-sun-ultra-moon,tm10,10,hidden-power
lets-go-pikachu-lets-go-eevee,tm10,10,dig
sword-shield,tm10,10,magical-leaf
red-blue,tm11,11,bubble-beam
yellow,tm11,11,bubble-beam
gold-silver,tm11,11,sunny-day
crystal,tm11,11,sunny-day
ruby-sapphire,tm11,11,sunny-day
emerald,tm11,11,sunny-day
firered-leafgreen,tm11,11,sunny-day
diamond-pearl,tm11,11,sunny-day
platinum,tm11,11,sunny-day
heartgold-soulsilver,tm11,11,sunny-day
black-white,tm11,11,sunny-day
black-2-white-2,tm11,11,sunny-day
x-y,tm11,11,sunny-day
omega-ruby-alpha-sapphire,tm11,11,sunny-day
sun-moon,tm11,11,sunny-day
ultra-sun-ultra-moon,tm11,11,sunny-day
lets-go-pikachu-lets-go-eevee,tm11,11,will-o-wisp
sword-shield,tm11,11,solar-beam
red-blue,tm12,12,water-gun
yellow,tm12,12,water-gun
gold-silver,tm12,12,sweet-scent
crystal,tm12,12,sweet-scent
ruby-sapphire,tm12,12,taunt
emerald,tm12,12,taunt
firered-leafgreen,tm12,12,taunt
diamond-pearl,tm12,12,taunt
platinum,tm12,12,taunt
heartgold-soulsilver,tm12,12,taunt
black-white,tm12,12,taunt
black-2-white-2,tm12,12,taunt
x-y,tm12,12,taunt
omega-ruby-alpha-sapphire,tm12,12,taunt
sun-moon,tm12,12,taunt
ultra-sun-ultra-moon,tm12,12,taunt
lets-go-pikachu-lets-go-eevee,tm12,12,facade
sword-shield,tm12,12,solar-blade
red-blue,tm13,13,ice-beam
yellow,tm13,13,ice-beam
gold-silver,tm13,13,snore
crystal,tm13,13,snore
ruby-sapphire,tm13,13,ice-beam
emerald,tm13,13,ice-beam
firered-leafgreen,tm13,13,ice-beam
diamond-pearl,tm13,13,ice-beam
platinum,tm13,13,ice-beam
heartgold-soulsilver,tm13,13,ice-beam
black-white,tm13,13,ice-beam
black-2-white-2,tm13,13,ice-beam
x-y,tm13,13,ice-beam
omega-ruby-alpha-sapphire,tm13,13,ice-beam
sun-moon,tm13,13,ice-beam
ultra-sun-ultra-moon,tm13,13,ice-beam
lets-go-pikachu-lets-go-eevee,tm13,13,brick-break
sword-shield,tm13,13,fire-spin
red-blue,tm14,14,blizzard
yellow,tm14,14,blizzard
gold-silver,tm14,14,blizzard
crystal,tm14,14,blizzard
ruby-sapphire,tm14,14,blizzard
emerald,tm14,14,blizzard
firered-leafgreen,tm14,14,blizzard
diamond-pearl,tm14,14,blizzard
platinum,tm14,14,blizzard
heartgold-soulsilver,tm14,14,blizzard
black-white,tm14,14,blizzard
black-2-white-2,tm14,14,blizzard
x-y,tm14,14,blizzard
omega-ruby-alpha-sapphire,tm14,14,blizzard
sun-moon,tm14,14,blizzard
ultra-sun-ultra-moon,tm14,14,blizzard
lets-go-pikachu-lets-go-eevee,tm14,14,fly
sword-shield,tm14,14,thunder-wave
red-blue,tm15,15,hyper-beam
yellow,tm15,15,hyper-beam
gold-silver,tm15,15,hyper-beam
crystal,tm15,15,hyper-beam
ruby-sapphire,tm15,15,hyper-beam
emerald,tm15,15,hyper-beam
firered-leafgreen,tm15,15,hyper-beam
diamond-pearl,tm15,15,hyper-beam
platinum,tm15,15,hyper-beam
heartgold-soulsilver,tm15,15,hyper-beam
black-white,tm15,15,hyper-beam
black-2-white-2,tm15,15,hyper-beam
x-y,tm15,15,hyper-beam
omega-ruby-alpha-sapphire,tm15,15,hyper-beam
sun-moon,tm15,15,hyper-beam
ultra-sun-ultra-moon,tm15,15,hyper-beam
lets-go-pikachu-lets-go-eevee,tm15,15,seismic-toss
sword-shield,tm15,15,dig
red-blue,tm16,16,pay-day
yellow,tm16,16,pay-day
gold-silver,tm16,16,icy-wind
crystal,tm16,16,icy-wind
ruby-sapphire,tm16,16,light-screen
emerald,tm16,16,light-screen
firered-leafgreen,tm16,16,light-screen
diamond-pearl,tm16,16,light-screen
platinum,tm16,16,light-screen
heartgold-soulsilver,tm16,16,light-screen
black-white,tm16,16,light-screen
black-2-white-2,tm16,16,light-screen
x-y,tm16,16,light-screen
omega-ruby-alpha-sapphire,tm16,16,light-screen
sun-moon,tm16,16,light-screen
ultra-sun-ultra-moon,tm16,16,light-screen
lets-go-pikachu-lets-go-eevee,tm16,16,thunder-wave
sword-shield,tm16,16,screech
red-blue,tm17,17,submission
yellow,tm17,17,submission
gold-silver,tm17,17,protect
crystal,tm17,17,protect
ruby-sapphire,tm17,17,protect
emerald,tm17,17,protect
firered-leafgreen,tm17,17,protect
diamond-pearl,tm17,17,protect
platinum,tm17,17,protect
heartgold-soulsilver,tm17,17,protect
black-white,tm17,17,protect
black-2-white-2,tm17,17,protect
x-y,tm17,17,protect
omega-ruby-alpha-sapphire,tm17,17,protect
sun-moon,tm17,17,protect
ultra-sun-ultra-moon,tm17,17,protect
lets-go-pikachu-lets-go-eevee,tm17,17,dragon-tail
sword-shield,tm17,17,light-screen
red-blue,tm18,18,counter
yellow,tm18,18,counter
gold-silver,tm18,18,rain-dance
crystal,tm18,18,rain-dance
ruby-sapphire,tm18,18,rain-dance
emerald,tm18,18,rain-dance
firered-leafgreen,tm18,18,rain-dance
diamond-pearl,tm18,18,rain-dance
platinum,tm18,18,rain-dance
heartgold-soulsilver,tm18,18,rain-dance
black-white,tm18,18,rain-dance
black-2-white-2,tm18,18,rain-dance
x-y,tm18,18,rain-dance
omega-ruby-alpha-sapphire,tm18,18,rain-dance
sun-moon,tm18,18,rain-dance
ultra-sun-ultra-moon,tm18,18,rain-dance
lets-go-pikachu-lets-go-eevee,tm18,18,u-turn
sword-shield,tm18,18,reflect
red-blue,tm19,19,seismic-toss
yellow,tm19,19,seismic-toss
gold-silver,tm19,19,giga-drain
crystal,tm19,19,giga-drain
ruby-sapphire,tm19,19,giga-drain
emerald,tm19,19,giga-drain
firered-leafgreen,tm19,19,giga-drain
diamond-pearl,tm19,19,giga-drain
platinum,tm19,19,giga-drain
heartgold-soulsilver,tm19,19,giga-drain
black-white,tm19,19,telekinesis
black-2-white-2,tm19,19,telekinesis
x-y,tm19,19,roost
omega-ruby-alpha-sapphire,tm19,19,roost
sun-moon,tm19,19,roost
ultra-sun-ultra-moon,tm19,19,roost
lets-go-pikachu-lets-go-eevee,tm19,19,iron-tail
sword-shield,tm19,19,safeguard
red-blue,tm20,20,rage
yellow,tm20,20,rage
gold-silver,tm20,20,endure
crystal,tm20,20,endure
ruby-sapphire,tm20,20,safeguard
emerald,tm20,20,safeguard
firered-leafgreen,tm20,20,safeguard
diamond-pearl,tm20,20,safeguard
platinum,tm20,20,safeguard
heartgold-soulsilver,tm20,20,safeguard
black-white,tm20,20,safeguard
black-2-white-2,tm20,20,safeguard
x-y,tm20,20,safeguard
omega-ruby-alpha-sapphire,tm20,20,safeguard
sun-moon,tm20,20,safeguard
ultra-sun-ultra-moon,tm20,20,safeguard
lets-go-pikachu-lets-go-eevee,tm20,20,dark-pulse
sword-shield,tm20,20,self-destruct
red-blue,tm21,21,mega-drain
yellow,tm21,21,mega-drain
gold-silver,tm21,21,frustration
crystal,tm21,21,frustration
ruby-sapphire,tm21,21,frustration
emerald,tm21,21,frustration
firered-leafgreen,tm21,21,frustration
diamond-pearl,tm21,21,frustration
platinum,tm21,21,frustration
heartgold-soulsilver,tm21,21,frustration
black-white,tm21,21,frustration
black-2-white-2,tm21,21,frustration
x-y,tm21,21,frustration
omega-ruby-alpha-sapphire,tm21,21,frustration
sun-moon,tm21,21,frustration
ultra-sun-ultra-moon,tm21,21,frustration
lets-go-pikachu-lets-go-eevee,tm21,21,foul-play
sword-shield,tm21,21,rest
red-blue,tm22,22,solar-beam
yellow,tm22,22,solar-beam
gold-silver,tm22,22,solar-beam
crystal,tm22,22,solar-beam
ruby-sapphire,tm22,22,solar-beam
emerald,tm22,22,solar-beam
firered-leafgreen,tm22,22,solar-beam
diamond-pearl,tm22,22,solar-beam
platinum,tm22,22,solar-beam
heartgold-soulsilver,tm22,22,solar-beam
black-white,tm22,22,solar-beam
black-2-white-2,tm22,22,solar-beam
x-y,tm22,22,solar-beam
omega-ruby-alpha-sapphire,tm22,22,solar-beam
sun-moon,tm22,22,solar-beam
ultra-sun-ultra-moon,tm22,22,solar-beam
lets-go-pikachu-lets-go-eevee,tm22,22,rock-slide
sword-shield,tm22,22,rock-slide
red-blue,tm23,23,dragon-rage
yellow,tm23,23,dragon-rage
gold-silver,tm23,23,iron-tail
crystal,tm23,23,iron-tail
ruby-sapphire,tm23,23,iron-tail
emerald,tm23,23,iron-tail
firered-leafgreen,tm23,23,iron-tail
diamond-pearl,tm23,23,iron-tail
platinum,tm23,23,iron-tail
heartgold-soulsilver,tm23,23,iron-tail
black-white,tm23,23,smack-down
black-2-white-2,tm23,23,smack-down
x-y,tm23,23,smack-down
omega-ruby-alpha-sapphire,tm23,23,smack-down
sun-moon,tm23,23,smack-down
ultra-sun-ultra-moon,tm23,23,smack-down
lets-go-pikachu-lets-go-eevee,tm23,23,thunder-punch
sword-shield,tm23,23,thief
red-blue,tm24,24,thunderbolt
yellow,tm24,24,thunderbolt
gold-silver,tm24,24,dragon-breath
crystal,tm24,24,dragon-breath
ruby-sapphire,tm24,24,thunderbolt
emerald,tm24,24,thunderbolt
firered-leafgreen,tm24,24,thunderbolt
diamond-pearl,tm24,24,thunderbolt
platinum,tm24,24,thunderbolt
heartgold-soulsilver,tm24,24,thunderbolt
black-white,tm24,24,thunderbolt
black-2-white-2,tm24,24,thunderbolt
x-y,tm24,24,thunderbolt
omega-ruby-alpha-sapphire,tm24,24,thunderbolt
sun-moon,tm24,24,thunderbolt
ultra-sun-ultra-moon,tm24,24,thunderbolt
lets-go-pikachu-lets-go-eevee,tm24,24,x-scissor
sword-shield,tm24,24,snore
red-blue,tm25,25,thunder
yellow,tm25,25,thunder
gold-silver,tm25,25,thunder
crystal,tm25,25,thunder
ruby-sapphire,tm25,25,thunder
emerald,tm25,25,thunder
firered-leafgreen,tm25,25,thunder
diamond-pearl,tm25,25,thunder
platinum,tm25,25,thunder
heartgold-soulsilver,tm25,25,thunder
black-white,tm25,25,thunder
black-2-white-2,tm25,25,thunder
x-y,tm25,25,thunder
omega-ruby-alpha-sapphire,tm25,25,thunder
sun-moon,tm25,25,thunder
ultra-sun-ultra-moon,tm25,25,thunder
lets-go-pikachu-lets-go-eevee,tm25,25,waterfall
sword-shield,tm25,25,protect
red-blue,tm26,26,earthquake
yellow,tm26,26,earthquake
gold-silver,tm26,26,earthquake
crystal,tm26,26,earthquake
ruby-sapphire,tm26,26,earthquake
emerald,tm26,26,earthquake
firered-leafgreen,tm26,26,earthquake
diamond-pearl,tm26,26,earthquake
platinum,tm26,26,earthquake
heartgold-soulsilver,tm26,26,earthquake
black-white,tm26,26,earthquake
black-2-white-2,tm26,26,earthquake
x-y,tm26,26,earthquake
omega-ruby-alpha-sapphire,tm26,26,earthquake
sun-moon,tm26,26,earthquake
ultra-sun-ultra-moon,tm26,26,earthquake
lets-go-pikachu-lets-go-eevee,tm26,26,poison-jab
sword-shield,tm26,26,scary-face
red-blue,tm27,27,fissure
yellow,tm27,27,fissure
gold-silver,tm27,27,return
crystal,tm27,27,return
ruby-sapphire,tm27,27,return
emerald,tm27,27,return
firered-leafgreen,tm27,27,return
diamond-pearl,tm27,27,return
platinum,tm27,27,return
heartgold-soulsilver,tm27,27,return
black-white,tm27,27,return
black-2-white-2,tm27,27,return
x-y,tm27,27,return
omega-ruby-alpha-sapphire,tm27,27,return
sun-moon,tm27,27,return
ultra-sun-ultra-moon,tm27,27,return
lets-go-pikachu-lets-go-eevee,tm27,27,toxic
sword-shield,tm27,27,icy-wind
red-blue,tm28,28,dig
yellow,tm28,28,dig
gold-silver,tm28,28,dig
crystal,tm28,28,dig
ruby-sapphire,tm28,28,dig
emerald,tm28,28,dig
firered-leafgreen,tm28,28,dig
diamond-pearl,tm28,28,dig
platinum,tm28,28,dig
heartgold-soulsilver,tm28,28,dig
black-white,tm28,28,dig
black-2-white-2,tm28,28,dig
x-y,tm28,28,dig
omega-ruby-alpha-sapphire,tm28,28,dig
sun-moon,tm28,28,leech-life
ultra-sun-ultra-moon,tm28,28,leech-life
lets-go-pikachu-lets-go-eevee,tm28,28,tri-attack
sword-shield,tm28,28,giga-drain
red-blue,tm29,29,psychic
yellow,tm29,29,psychic
gold-silver,tm29,29,psychic
crystal,tm29,29,psychic
ruby-sapphire,tm29,29,psychic
emerald,tm29,29,psychic
firered-leafgreen,tm29,29,psychic
diamond-pearl,tm29,29,psychic
platinum,tm29,29,psychic
heartgold-soulsilver,tm29,29,psychic
black-white,tm29,29,psychic
black-2-white-2,tm29,29,psychic
x-y,tm29,29,psychic
omega-ruby-alpha-sapphire,tm29,29,psychic
sun-moon,tm29,29,psychic
ultra-sun-ultra-moon,tm29,29,psychic
lets-go-pikachu-lets-go-eevee,tm29,29,scald
sword-shield,tm29,29,charm
red-blue,tm30,30,teleport
yellow,tm30,30,teleport
gold-silver,tm30,30,shadow-ball
crystal,tm30,30,shadow-ball
ruby-sapphire,tm30,30,shadow-ball
emerald,tm30,30,shadow-ball
firered-leafgreen,tm30,30,shadow-ball
diamond-pearl,tm30,30,shadow-ball
platinum,tm30,30,shadow-ball
heartgold-soulsilver,tm30,30,shadow-ball
black-white,tm30,30,shadow-ball
black-2-white-2,tm30,30,shadow-ball
x-y,tm30,30,shadow-ball
omega-ruby-alpha-sapphire,tm30,30,shadow-ball
sun-moon,tm30,30,shadow-ball
ultra-sun-ultra-moon,tm30,30,shadow-ball
lets-go-pikachu-lets-go-eevee,tm30,30,bulk-up
sword-shield,tm30,30,steel-wing
red-blue,tm31,31,mimic
yellow,tm31,31,mimic
gold-silver,tm31,31,mud-slap
crystal,tm31,31,mud-slap
ruby-sapphire,tm31,31,brick-break
emerald,tm31,31,brick-break
firered-leafgreen,tm31,31,brick-break
diamond-pearl,tm31,31,brick-break
platinum,tm31,31,brick-break
heartgold-soulsilver,tm31,31,brick-break
black-white,tm31,31,brick-break
black-2-white-2,tm31,31,brick-break
x-y,tm31,31,brick-break
omega-ruby-alpha-sapphire,tm31,31,brick-break
sun-moon,tm31,31,brick-break
ultra-sun-ultra-moon,tm31,31,brick-break
lets-go-pikachu-lets-go-eevee,tm31,31,fire-punch
sword-shield,tm31,31,attract
red-blue,tm32,32,double-team
yellow,tm32,32,double-team
gold-silver,tm32,32,double-team
crystal,tm32,32,double-team
ruby-sapphire,tm32,32,double-team
emerald,tm32,32,double-team
firered-leafgreen,tm32,32,double-team
diamond-pearl,tm32,32,double-team
platinum,tm32,32,double-team
heartgold-soulsilver,tm32,32,double-team
black-white,tm32,32,double-team
black-2-white-2,tm32,32,double-team
x-y,tm32,32,double-team
omega-ruby-alpha-sapphire,tm32,32,double-team
sun-moon,tm32,32,double-team
ultra-sun-ultra-moon,tm32,32,double-team
lets-go-pikachu-lets-go-eevee,tm32,32,dazzling-gleam
sword-shield,tm32,32,sandstorm
red-blue,tm33,33,reflect
yellow,tm33,33,reflect
gold-silver,tm33,33,ice-punch
crystal,tm33,33,ice-punch
ruby-sapphire,tm33,33,reflect
emerald,tm33,33,reflect
firered-leafgreen,tm33,33,reflect
diamond-pearl,tm33,33,reflect
platinum,tm33,33,reflect
heartgold-soulsilver,tm33,33,reflect
black-white,tm33,33,reflect
black-2-white-2,tm33,33,reflect
x-y,tm33,33,reflect
omega-ruby-alpha-sapphire,tm33,33,reflect
sun-moon,tm33,33,reflect
ultra-sun-ultra-moon,tm33,33,reflect
lets-go-pikachu-lets-go-eevee,tm33,33,calm-mind
sword-shield,tm33,33,rain-dance
red-blue,tm34,34,bide
yellow,tm34,34,bide
gold-silver,tm34,34,swagger
crystal,tm34,34,swagger
ruby-sapphire,tm34,34,shock-wave
emerald,tm34,34,shock-wave
firered-leafgreen,tm34,34,shock-wave
diamond-pearl,tm34,34,shock-wave
platinum,tm34,34,shock-wave
heartgold-soulsilver,tm34,34,shock-wave
black-white,tm34,34,sludge-wave
black-2-white-2,tm34,34,sludge-wave
x-y,tm34,34,sludge-wave
omega-ruby-alpha-sapphire,tm34,34,sludge-wave
sun-moon,tm34,34,sludge-wave
ultra-sun-ultra-moon,tm34,34,sludge-wave
lets-go-pikachu-lets-go-eevee,tm34,34,dragon-pulse
sword-shield,tm34,34,sunny-day
red-blue,tm35,35,metronome
yellow,tm35,35,metronome
gold-silver,tm35,35,sleep-talk
crystal,tm35,35,sleep-talk
ruby-sapphire,tm35,35,flamethrower
emerald,tm35,35,flamethrower
firered-leafgreen,tm35,35,flamethrower
diamond-pearl,tm35,35,flamethrower
platinum,tm35,35,flamethrower
heartgold-soulsilver,tm35,35,flamethrower
black-white,tm35,35,flamethrower
black-2-white-2,tm35,35,flamethrower
x-y,tm35,35,flamethrower
omega-ruby-alpha-sapphire,tm35,35,flamethrower
sun-moon,tm35,35,flamethrower
ultra-sun-ultra-moon,tm35,35,flamethrower
lets-go-pikachu-lets-go-eevee,tm35,35,ice-punch
sword-shield,tm35,35,hail
red-blue,tm36,36,self-destruct
yellow,tm36,36,self-destruct
gold-silver,tm36,36,sludge-bomb
crystal,tm36,36,sludge-bomb
ruby-sapphire,tm36,36,sludge-bomb
emerald,tm36,36,sludge-bomb
firered-leafgreen,tm36,36,sludge-bomb
diamond-pearl,tm36,36,sludge-bomb
platinum,tm36,36,sludge-bomb
heartgold-soulsilver,tm36,36,sludge-bomb
black-white,tm36,36,sludge-bomb
black-2-white-2,tm36,36,sludge-bomb
x-y,tm36,36,sludge-bomb
omega-ruby-alpha-sapphire,tm36,36,sludge-bomb
sun-moon,tm36,36,sludge-bomb
ultra-sun-ultra-moon,tm36,36,sludge-bomb
lets-go-pikachu-lets-go-eevee,tm36,36,thunderbolt
sword-shield,tm36,36,whirlpool
red-blue,tm37,37,egg-bomb
yellow,tm37,37,egg-bomb
gold-silver,tm37,37,sandstorm
crystal,tm37,37,sandstorm
ruby-sapphire,tm37,37,sandstorm
emerald,tm37,37,sandstorm
firered-leafgreen,tm37,37,sandstorm
diamond-pearl,tm37,37,sandstorm
platinum,tm37,37,sandstorm
heartgold-soulsilver,tm37,37,sandstorm
black-white,tm37,37,sandstorm
black-2-white-2,tm37,37,sandstorm
x-y,tm37,37,sandstorm
omega-ruby-alpha-sapphire,tm37,37,sandstorm
sun-moon,tm37,37,sandstorm
ultra-sun-ultra-moon,tm37,37,sandstorm
lets-go-pikachu-lets-go-eevee,tm37,37,flamethrower
sword-shield,tm37,37,beat-up
red-blue,tm38,38,fire-blast
yellow,tm38,38,fire-blast
gold-silver,tm38,38,fire-blast
crystal,tm38,38,fire-blast
ruby-sapphire,tm38,38,fire-blast
emerald,tm38,38,fire-blast
firered-leafgreen,tm38,38,fire-blast
diamond-pearl,tm38,38,fire-blast
platinum,tm38,38,fire-blast
heartgold-soulsilver,tm38,38,fire-blast
black-white,tm38,38,fire-blast
black-2-white-2,tm38,38,fire-blast
x-y,tm38,38,fire-blast
omega-ruby-alpha-sapphire,tm38,38,fire-blast
sun-moon,tm38,38,fire-blast
ultra-sun-ultra-moon,tm38,38,fire-blast
lets-go-pikachu-lets-go-eevee,tm38,38,thunder
sword-shield,tm38,38,will-o-wisp
red-blue,tm39,39,swift
yellow,tm39,39,swift
gold-silver,tm39,39,swift
crystal,tm39,39,swift
ruby-sapphire,tm39,39,rock-tomb
emerald,tm39,39,rock-tomb
firered-leafgreen,tm39,39,rock-tomb
diamond-pearl,tm39,39,rock-tomb
platinum,tm39,39,rock-tomb
heartgold-soulsilver,tm39,39,rock-tomb
black-white,tm39,39,rock-tomb
black-2-white-2,tm39,39,rock-tomb
x-y,tm39,39,rock-tomb
omega-ruby-alpha-sapphire,tm39,39,rock-tomb
sun-moon,tm39,39,rock-tomb
ultra-sun-ultra-moon,tm39,39,rock-tomb
lets-go-pikachu-lets-go-eevee,tm39,39,outrage
sword-shield,tm39,39,facade
red-blue,tm40,40,skull-bash
yellow,tm40,40,skull-bash
gold-silver,tm40,40,defense-curl
crystal,tm40,40,defense-curl
ruby-sapphire,tm40,40,aerial-ace
emerald,tm40,40,aerial-ace
firered-leafgreen,tm40,40,aerial-ace
diamond-pearl,tm40,40,aerial-ace
platinum,tm40,40,aerial-ace
heartgold-soulsilver,tm40,40,aerial-ace
black-white,tm40,40,aerial-ace
black-2-white-2,tm40,40,aerial-ace
x-y,tm40,40,aerial-ace
omega-ruby-alpha-sapphire,tm40,40,aerial-ace
sun-moon,tm40,40,aerial-ace
ultra-sun-ultra-moon,tm40,40,aerial-ace
lets-go-pikachu-lets-go-eevee,tm40,40,psychic
sword-shield,tm40,40,swift
red-blue,tm41,41,soft-boiled
yellow,tm41,41,soft-boiled
gold-silver,tm41,41,thunder-punch
crystal,tm41,41,thunder-punch
ruby-sapphire,tm41,41,torment
emerald,tm41,41,torment
firered-leafgreen,tm41,41,torment
diamond-pearl,tm41,41,torment
platinum,tm41,41,torment
heartgold-soulsilver,tm41,41,torment
black-white,tm41,41,torment
black-2-white-2,tm41,41,torment
x-y,tm41,41,torment
