species,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
58,Growlithe,ガーディ,ガーディ,Gardie,Caninos,Fukano,Growlithe,Growlithe,Growlithe,가디,Gadi,卡蒂狗,卡蒂狗,Kǎdìgǒu
59,Arcanine,ウインディ,ウインディ,Windie,Arcanin,Arkani,Arcanine,Arcanine,Arcanine,윈디,Windi,風速狗,风速狗,Fēngsùgǒu
60,Poliwag,ニョロモ,ニョロモ,Nyoromo,Ptitard,Quapsel,Poliwag,Poliwag,Poliwag,발챙이,Balchaengi,蚊香蝌蚪,蚊香蝌蚪,Wénxiāngkēdǒu
61,Poliwhirl,ニョロゾ,ニョロゾ,Nyorozo,Têtarte,Quaputzi,Poliwhirl,Poliwhirl,Poliwhirl,슈륙챙이,Syuryukchaengi,蚊香君,蚊香君,Wénxiāngjūn
62,Poliwrath,ニョロボン,ニョロボン,Nyorobon,Tartard,Quappo,Poliwrath,Poliwrath,Poliwrath,강챙이,Gangchaengi,蚊香泳士,蚊香泳士,Wénxiāngyǒngshì
63,Abra,ケーシィ,ケーシィ,Casey,Abra,Abra,Abra,Abra,Abra,캐이시,Kaeisi,凱西,凯西,Kǎixī
64,Kadabra,ユンゲラー,ユンゲラー,Yungerer,Kadabra,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,Yungella,勇基拉,勇基拉,Yǒngjīlā
65,Alakazam,フーディン,フーディン,Foodin,Alakazam,Simsala,Alakazam,Alakazam,Alakazam,후딘,Hudin,胡地,胡地,Húdì
66,Machop,ワンリキー,ワンリキー,Wanriky,Machoc,Machollo,Machop,Machop,Machop,알통몬,Altongmon,腕力,腕力,Wànlì
67,Machoke,ゴーリキー,ゴーリキー,Goriky,Machopeur,Maschock,Machoke,Machoke,Machoke,근육몬,Geunyungmon,豪力,豪力,Háolì
68,Machamp,カイリキー,カイリキー,Kairiky,Mackogneur,Machomei,Machamp,Machamp,Machamp,괴력몬,Goeryeongmon,怪力,怪力,Guàilì
69,Bellsprout,マダツボミ,マダツボミ,Madatsubomi,Chétiflor,Knofensa,Bellsprout,Bellsprout,Bellsprout,모다피,Modapi,喇叭芽,喇叭芽,Lǎbāyá
70,Weepinbell,ウツドン,ウツドン,Utsudon,Boustiflor,Ultrigaria,Weepinbell,Weepinbell,Weepinbell,우츠동,Ucheudong,口呆花,口呆花,Kǒudāihuā
71,Victreebel,ウツボット,ウツボット,Utsubot,Empiflor,Sarzenia,Victreebel,Victreebel,Victreebel,우츠보트,Ucheuboteu,大食花,大食花,Dàshíhuā
72,Tentacool,メノクラゲ,メノクラゲ,Menokurage,Tentacool,Tentacha,Tentacool,Tentacool,Tentacool,왕눈해,Wangnunhae,瑪瑙水母,玛瑙水母,Mǎnǎoshuǐmǔ
73,Tentacruel,ドククラゲ,ドククラゲ,Dokukurage,Tentacruel,Tentoxa,Tentacruel,Tentacruel,Tentacruel,독파리,Dokpari,毒刺水母,毒刺水母,Dúcìshuǐmǔ
74,Geodude,イシツブテ,イシツブテ,Isitsubute,Racaillou,Kleinstein,Geodude,Geodude,Geodude,꼬마돌,Kkomadol,小拳石,小拳石,Xiǎoquánshí
75,Graveler,ゴローン,ゴローン,Golone,Gravalanch,Georok,Graveler,Graveler,Graveler,데구리,Deguri,隆隆石,隆隆石,Lónglóngshí
76,Golem,ゴローニャ,ゴローニャ,Golonya,Grolem,Geowaz,Golem,Golem,Golem,딱구리,Ttakguri,隆隆岩,隆隆岩,Lónglóngyán
77,Ponyta,ポニータ,ポニータ,Ponyta,Ponyta,Ponita,Ponyta,Ponyta,Ponyta,포니타,Ponita,小火馬,小火马,Xiǎohuǒmǎ
78,Rapidash,ギャロップ,ギャロップ,Gallop,Galopa,Gallopa,Rapidash,Rapidash,Rapidash,날쌩마,Nalssaengma,烈焰馬,烈焰马,Lièyànmǎ
79,Slowpoke,ヤドン,ヤドン,Yadon,Ramoloss,Flegmon,Slowpoke,Slowpoke,Slowpoke,야돈,Yadon,呆呆獸,呆呆兽,Dāidāishòu
80,Slowbro,ヤドラン,ヤドラン,Yadoran,Flagadoss,Lahmus,Slowbro,Slowbro,Slowbro,야도란,Yadoran,呆殼獸,呆壳兽,Dāikéshòu
81,Magnemite,コイル,コイル,Coil,Magnéti,Magnetilo,Magnemite,Magnemite,Magnemite,코일,Koil,小磁怪,小磁怪,Xiǎocíguài
82,Magneton,レアコイル,レアコイル,Rarecoil,Magnéton,Magneton,Magneton,Magneton,Magneton,레어코일,Reeokoil,三合一磁怪,三合一磁怪,Sānhéyīcíguài
83,Farfetch’d,カモネギ,カモネギ,Kamonegi,Canarticho,Porenta,Farfetch’d,Farfetch’d,Farfetch’d,파오리,Paori,大蔥鴨,大葱鸭,Dàcōngyā
84,Doduo,ドードー,ドードー,Dodo,Doduo,Dodu,Doduo,Doduo,Doduo,두두,Dudu,嘟嘟,嘟嘟,Dūdū
85,Dodrio,ドードリオ,ドードリオ,Dodorio,Dodrio,Dodri,Dodrio,Dodrio,Dodrio,두트리오,Duteurio,嘟嘟利,嘟嘟利,Dūdūlì
86,Seel,パウワウ,パウワウ,Pawou,Otaria,Jurob,Seel,Seel,Seel,쥬쥬,Jyujyu,小海獅,小海狮,Xiǎohǎishī
87,Dewgong,ジュゴン,ジュゴン,Jugon,Lamantine,Jugong,Dewgong,Dewgong,Dewgong,쥬레곤,Jyuregon,白海獅,白海狮,Báihǎishī
88,Grimer,ベトベター,ベトベター,Betbeter,Tadmorv,Sleima,Grimer,Grimer,Grimer,질퍽이,Jilpeogi,臭泥,臭泥,Chòuní
89,Muk,ベトベトン,ベトベトン,Betbeton,Grotadmorv,Sleimok,Muk,Muk,Muk,질뻐기,Jilppeogi,臭臭泥,臭臭泥,Chòuchòuní
90,Shellder,シェルダー,シェルダー,Shellder,Kokiyas,Muschas,Shellder,Shellder,Shellder,셀러,Selleo,大舌貝,大舌贝,Dàshébèi
91,Cloyster,パルシェン,パルシェン,Parshen,Crustabri,Austos,Cloyster,Cloyster,Cloyster,파르셀,Pareusel,刺甲貝,刺甲贝,Cìjiǎbèi
92,Gastly,ゴース,ゴース,Ghos,Fantominus,Nebulak,Gastly,Gastly,Gastly,고오스,Gooseu,鬼斯,鬼斯,Guǐsī
93,Haunter,ゴースト,ゴースト,Ghost,Spectrum,Alpollo,Haunter,Haunter,Haunter,고우스트,Gouseuteu,鬼斯通,鬼斯通,Guǐsītōng
94,Gengar,ゲンガー,ゲンガー,Gangar,Ectoplasma,Gengar,Gengar,Gengar,Gengar,팬텀,Paenteom,耿鬼,耿鬼,Gěngguǐ
95,Onix,イワーク,イワーク,Iwark,Onix,Onix,Onix,Onix,Onix,롱스톤,Rongseuton,大岩蛇,大岩蛇,Dàyánshé
96,Drowzee,スリープ,スリープ,Sleepe,Soporifik,Traumato,Drowzee,Drowzee,Drowzee,슬리프,Seullipeu,催眠貘,催眠貘,Cuīmiánmò
97,Hypno,スリーパー,スリーパー,Sleeper,Hypnomade,Hypno,Hypno,Hypno,Hypno,슬리퍼,Seullipeo,引夢貘人,引梦貘人,Yǐnmèngmòrén
98,Krabby,クラブ,クラブ,Crab,Krabby,Krabby,Krabby,Krabby,Krabby,크랩,Keuraep,大鉗蟹,大钳蟹,Dàqiánxiè
99,Kingler,キングラー,キングラー,Kingler,Krabboss,Kingler,Kingler,Kingler,Kingler,킹크랩,Kingkeuraep,巨鉗蟹,巨钳蟹,Jùqiánxiè
100,Voltorb,ビリリダマ,ビリリダマ,Biriridama,Voltorbe,Voltobal,Voltorb,Voltorb,Voltorb,찌리리공,Jjiririgong,霹靂電球,霹雳电球,Pīlìdiànqiú
101,Electrode,マルマイン,マルマイン,Marumine,Électrode,Lektrobal,Electrode,Electrode,Electrode,붐볼,Bumbol,頑皮雷彈,顽皮雷弹,Wánpíléidàn
102,Exeggcute,タマタマ,タマタマ,Tamatama,Noeunoeuf,Owei,Exeggcute,Exeggcute,Exeggcute,아라리,Arari,蛋蛋,蛋蛋,Dàndàn
103,Exeggutor,ナッシー,ナッシー,Nassy,Noadkoko,Kokowei,Exeggutor,Exeggutor,Exeggutor,나시,Nasi,椰蛋樹,椰蛋树,Yédànshù
104,Cubone,カラカラ,カラカラ,Karakara,Osselait,Tragosso,Cubone,Cubone,Cubone,탕구리,Tangguri,卡拉卡拉,卡拉卡拉,Kǎlākǎlā
105,Marowak,ガラガラ,ガラガラ,Garagara,Ossatueur,Knogga,Marowak,Marowak,Marowak,텅구리,Teongguri,嘎啦嘎啦,嘎啦嘎啦,Gālagāla
106,Hitmonlee,サワムラー,サワムラー,Sawamular,Kicklee,Kicklee,Hitmonlee,Hitmonlee,Hitmonlee,시라소몬,Sirasomon,飛腿郎,飞腿郎,Fēituǐláng
107,Hitmonchan,エビワラー,エビワラー,Ebiwalar,Tygnon,Nockchan,Hitmonchan,Hitmonchan,Hitmonchan,홍수몬,Hongsumon,快拳郎,快拳郎,Kuàiquánláng
108,Lickitung,ベロリンガ,ベロリンガ,Beroringa,Excelangue,Schlurp,Lickitung,Lickitung,Lickitung,내루미,Naerumi,大舌頭,大舌头,Dàshétóu
109,Koffing,ドガース,ドガース,Dogars,Smogo,Smogon,Koffing,Koffing,Koffing,또가스,Ttogaseu,瓦斯彈,瓦斯弹,Wǎsīdàn
110,Weezing,マタドガス,マタドガス,Matadogas,Smogogo,Smogmog,Weezing,Weezing,Weezing,또도가스,Ttodogaseu,雙彈瓦斯,双弹瓦斯,Shuāngdànwǎsī
111,Rhyhorn,サイホーン,サイホーン,Sihorn,Rhinocorne,Rihorn,Rhyhorn,Rhyhorn,Rhyhorn,뿔카노,Ppulkano,獨角犀牛,独角犀牛,Dújiǎoxīniú
112,Rhydon,サイドン,サイドン,Sidon,Rhinoféros,Rizeros,Rhydon,Rhydon,Rhydon,코뿌리,Koppuri,鑽角犀獸,钻角犀兽,Zuànjiǎoxīshòu
113,Chansey,ラッキー,ラッキー,Lucky,Leveinard,Chaneira,Chansey,Chansey,Chansey,럭키,Reokki,吉利蛋,吉利蛋,Jílìdàn
114,Tangela,モンジャラ,モンジャラ,Monjara,Saquedeneu,Tangela,Tangela,Tangela,Tangela,덩쿠리,Deongkuri,蔓藤怪,蔓藤怪,Mànténgguài
115,Kangaskhan,ガルーラ,ガルーラ,Garura,Kangourex,Kangama,Kangaskhan,Kangaskhan,Kangaskhan,캥카,Kaengka,袋獸,袋兽,Dàishòu
116,Horsea,タッツー,タッツー,Tattu,Hypotrempe,Seeper,Horsea,Horsea,Horsea,쏘드라,Ssodeura,墨海馬,墨海马,Mòhǎimǎ
117,Seadra,シードラ,シードラ,Seadra,Hypocéan,Seemon,Seadra,Seadra,Seadra,시드라,Sideura,海刺龍,海刺龙,Hǎicìlóng
118,Goldeen,トサキント,トサキント,Tosakinto,Poissirène,Goldini,Goldeen,Goldeen,Goldeen,콘치,Konchi,角金魚,角金鱼,Jiǎojīnyú
119,Seaking,アズマオウ,アズマオウ,Azumao,Poissoroy,Golking,Seaking,Seaking,Seaking,왕콘치,Wangkonchi,金魚王,金鱼王,Jīnyúwáng
120,Staryu,ヒトデマン,ヒトデマン,Hitodeman,Stari,Sterndu,Staryu,Staryu,Staryu,별가사리,Byeolgasari,海星星,海星星,Hǎixīngxīng
121,Starmie,スターミー,スターミー,Starmie,Staross,Starmie,Starmie,Starmie,Starmie,아쿠스타,Akuseuta,寶石海星,宝石海星,Bǎoshíhǎixīng
122,Mr. Mime,バリヤード,バリヤード,Barrierd,M. Mime,Pantimos,Mr. Mime,Mr. Mime,Mr. Mime,마임맨,Maimmaen,魔牆人偶,魔墙人偶,Móqiángrénǒu
123,Scyther,ストライク,ストライク,Strike,Insécateur,Sichlor,Scyther,Scyther,Scyther,스라크,Seurakeu,飛天螳螂,飞天螳螂,Fēitiāntángláng
124,Jynx,ルージュラ,ルージュラ,Rougela,Lippoutou,Rossana,Jynx,Jynx,Jynx,루주라,Rujura,迷唇姐,迷唇姐,Míchúnjiě
125,Electabuzz,エレブー,エレブー,Eleboo,Élektek,Elektek,Electabuzz,Electabuzz,Electabuzz,에레브,Erebeu,電擊獸,电击兽,Diànjíshòu
126,Magmar,ブーバー,ブーバー,Boober,Magmar,Magmar,Magmar,Magmar,Magmar,마그마,Mageuma,鴨嘴火獸,鸭嘴火兽,Yāzuǐhuǒshòu
127,Pinsir,カイロス,カイロス,Kailios,Scarabrute,Pinsir,Pinsir,Pinsir,Pinsir,쁘사이저,Ppeusaijeo,凱羅斯,凯罗斯,Kǎiluósī
128,Tauros,ケンタロス,ケンタロス,Kentauros,Tauros,Tauros,Tauros,Tauros,Tauros,켄타로스,Kentaroseu,肯泰羅,肯泰罗,Kěntàiluó
129,Magikarp,コイキング,コイキング,Koiking,Magicarpe,Karpador,Magikarp,Magikarp,Magikarp,잉어킹,Ingeoking,鯉魚王,鲤鱼王,Lǐyúwáng
130,Gyarados,ギャラドス,ギャラドス,Gyarados,Léviator,Garados,Gyarados,Gyarados,Gyarados,갸라도스,Gyaradoseu,暴鯉龍,暴鲤龙,Bàolǐlóng
131,Lapras,ラプラス,ラプラス,Laplace,Lokhlass,Lapras,Lapras,Lapras,Lapras,라프라스,Rapeuraseu,拉普拉斯,拉普拉斯,Lāpǔlāsī
132,Ditto,メタモン,メタモン,Metamon,Métamorph,Ditto,Ditto,Ditto,Ditto,메타몽,Metamong,百變怪,百变怪,Bǎibiànguài
133,Eevee,イーブイ,イーブイ,Eievui,Évoli,Evoli,Eevee,Eevee,Eevee,이브이,Ibeui,伊布,伊布,Yībù
134,Vaporeon,シャワーズ,シャワーズ,Showers,Aquali,Aquana,Vaporeon,Vaporeon,Vaporeon,샤미드,Syamideu,水伊布,水伊布,Shuǐyībù
135,Jolteon,サンダース,サンダース,Thunders,Voltali,Blitza,Jolteon,Jolteon,Jolteon,쥬피썬더,Jyupisseondeo,雷伊布,雷伊布,Léiyībù
136,Flareon,ブースター,ブースター,Booster,Pyroli,Flamara,Flareon,Flareon,Flareon,부스터,Buseuteo,火伊布,火伊布,Huǒyībù
137,Porygon,ポリゴン,ポリゴン,Porygon,Porygon,Porygon,Porygon,Porygon,Porygon,폴리곤,Polligon,多邊獸,多边兽,Duōbiānshòu
138,Omanyte,オムナイト,オムナイト,Omnite,Amonita,Amonitas,Omanyte,Omanyte,Omanyte,암나이트,Amnaiteu,菊石獸,菊石兽,Júshíshòu
139,Omastar,オムスター,オムスター,Omstar,Amonistar,Amoroso,Omastar,Omastar,Omastar,암스타,Amseuta,多刺菊石獸,多刺菊石兽,Duōcìjúshíshòu
140,Kabuto,カブト,カブト,Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,투구,Tugu,化石盔,化石盔,Huàshíkuī
141,Kabutops,カブトプス,カブトプス,Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,Tugupuseu,鐮刀盔,镰刀盔,Liándāokuī
142,Aerodactyl,プテラ,プテラ,Ptera,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,프테라,Peutera,化石翼龍,化石翼龙,Huàshíyìlóng
143,Snorlax,カビゴン,カビゴン,Kabigon,Ronflex,Relaxo,Snorlax,Snorlax,Snorlax,잠만보,Jammanbo,卡比獸,卡比兽,Kǎbǐshòu
144,Articuno,フリーザー,フリーザー,Freezer,Artikodin,Arktos,Articuno,Articuno,Articuno,프리져,Peurijyeo,急凍鳥,急冻鸟,Jídòngniǎo
145,Zapdos,サンダー,サンダー,Thunder,Électhor,Zapdos,Zapdos,Zapdos,Zapdos,썬더,Sseondeo,閃電鳥,闪电鸟,Shǎndiànniǎo
146,Moltres,ファイヤー,ファイヤー,Fire,Sulfura,Lavados,Moltres,Moltres,Moltres,파이어,Paieo,火焰鳥,火焰鸟,Huǒyànniǎo
147,Dratini,ミニリュウ,ミニリュウ,Miniryu,Minidraco,Dratini,Dratini,Dratini,Dratini,미뇽,Minyong,迷你龍,迷你龙,Mínǐlóng
148,Dragonair,ハクリュー,ハクリュー,Hakuryu,Draco,Dragonir,Dragonair,Dragonair,Dragonair,신뇽,Sinnyong,哈克龍,哈克龙,Hākèlóng
149,Dragonite,カイリュー,カイリュー,Kairyu,Dracolosse,Dragoran,Dragonite,Dragonite,Dragonite,망나뇽,Mangnanyong,快龍,快龙,Kuàilóng
150,Mewtwo,ミュウツー,ミュウツー,Mewtwo,Mewtwo,Mewtu,Mewtwo,Mewtwo,Mewtwo,뮤츠,Myucheu,超夢,超梦,Chāomèng
151,Mew,ミュウ,ミュウ,Mew,Mew,Mew,Mew,Mew,Mew,뮤,Myu,夢幻,梦幻,Mènghuàn
152,Chikorita,チコリータ,チコリータ,Chicorita,Germignon,Endivie,Chikorita,Chikorita,Chikorita,치코리타,Chikorita,菊草葉,菊草叶,Júcǎoyè
153,Bayleef,ベイリーフ,ベイリーフ,Bayleaf,Macronium,Lorblatt,Bayleef,Bayleef,Bayleef,베이리프,Beiripeu,月桂葉,月桂叶,Yuèguìyè
154,Meganium,メガニウム,メガニウム,Meganium,Méganium,Meganie,Meganium,Meganium,Meganium,메가니움,Meganium,大竺葵,大竺葵,Dàzhúkuí
155,Cyndaquil,ヒノアラシ,ヒノアラシ,Hinoarashi,Héricendre,Feurigel,Cyndaquil,Cyndaquil,Cyndaquil,브케인,Beukein,火球鼠,火球鼠,Huǒqiúshǔ
156,Quilava,マグマラシ,マグマラシ,Magmarashi,Feurisson,Igelavar,Quilava,Quilava,Quilava,마그케인,Mageukein,火岩鼠,火岩鼠,Huǒyánshǔ
