pokemon,version_group,version,item,rarity
pikachu,heartgold-soulsilver,soulsilver,oran-berry,50
pikachu,heartgold-soulsilver,soulsilver,light-ball,5
pikachu,black-white,black,oran-berry,50
pikachu,black-white,black,light-ball,1
pikachu,black-white,white,oran-berry,50
pikachu,black-white,white,light-ball,1
pikachu,black-2-white-2,black-2,light-ball,5
pikachu,black-2-white-2,white-2,light-ball,5
pikachu,x-y,x,light-ball,5
pikachu,x-y,y,light-ball,5
pikachu,omega-ruby-alpha-sapphire,omega-ruby,light-ball,5
pikachu,omega-ruby-alpha-sapphire,alpha-sapphire,light-ball,5
pikachu,sun-moon,sun,light-ball,5
pikachu,sun-moon,moon,light-ball,5
pikachu,ultra-sun-ultra-moon,ultra-sun,light-ball,5
pikachu,ultra-sun-ultra-moon,ultra-moon,light-ball,5
raichu,ruby-sapphire,ruby,oran-berry,5
raichu,ruby-sapphire,sapphire,oran-berry,5
raichu,emerald,emerald,oran-berry,5
raichu,diamond-pearl,diamond,oran-berry,5
raichu,diamond-pearl,pearl,oran-berry,5
raichu,platinum,platinum,oran-berry,5
raichu,heartgold-soulsilver,heartgold,oran-berry,5
raichu,heartgold-soulsilver,soulsilver,oran-berry,5
raichu,black-white,black,oran-berry,50
raichu,black-white,white,oran-berry,50
sandshrew,ruby-sapphire,ruby,quick-claw,5
sandshrew,ruby-sapphire,sapphire,quick-claw,5
sandshrew,emerald,emerald,quick-claw,5
sandshrew,diamond-pearl,diamond,quick-claw,5
sandshrew,diamond-pearl,pearl,quick-claw,5
sandshrew,platinum,platinum,quick-claw,5
sandshrew,heartgold-soulsilver,heartgold,quick-claw,5
sandshrew,heartgold-soulsilver,soulsilver,quick-claw,5
sandshrew,black-white,black,quick-claw,5
sandshrew,black-white,white,quick-claw,5
sandshrew,black-2-white-2,black-2,quick-claw,5
sandshrew,black-2-white-2,white-2,quick-claw,5
sandshrew,x-y,x,quick-claw,5
sandshrew,x-y,y,quick-claw,5
sandshrew,omega-ruby-alpha-sapphire,omega-ruby,grip-claw,5
sandshrew,omega-ruby-alpha-sapphire,alpha-sapphire,grip-claw,5
sandshrew,sun-moon,sun,grip-claw,5
sandshrew,sun-moon,moon,grip-claw,5
sandshrew,ultra-sun-ultra-moon,ultra-sun,grip-claw,5
sandshrew,ultra-sun-ultra-moon,ultra-moon,grip-claw,5
sandslash,ruby-sapphire,ruby,quick-claw,5
sandslash,ruby-sapphire,sapphire,quick-claw,5
sandslash,emerald,emerald,quick-claw,5
sandslash,firered-leafgreen,firered,soft-sand,5
sandslash,firered-leafgreen,leafgreen,soft-sand,5
sandslash,diamond-pearl,diamond,quick-claw,5
sandslash,diamond-pearl,pearl,quick-claw,5
sandslash,platinum,platinum,quick-claw,5
sandslash,heartgold-soulsilver,heartgold,quick-claw,5
sandslash,heartgold-soulsilver,soulsilver,quick-claw,5
sandslash,black-white,black,quick-claw,5
sandslash,black-white,white,quick-claw,5
sandslash,black-2-white-2,black-2,quick-claw,5
sandslash,black-2-white-2,white-2,quick-claw,5
sandslash,x-y,x,quick-claw,5
sandslash,x-y,y,quick-claw,5
sandslash,omega-ruby-alpha-sapphire,omega-ruby,grip-claw,5
sandslash,omega-ruby-alpha-sapphire,alpha-sapphire,grip-claw,5
sandslash,sun-moon,sun,grip-claw,5
sandslash,sun-moon,moon,grip-claw,5
sandslash,ultra-sun-ultra-moon,ultra-sun,grip-claw,5
sandslash,ultra-sun-ultra-moon,ultra-moon,grip-claw,5
clefairy,ruby-sapphire,ruby,moon-stone,5
clefairy,ruby-sapphire,ruby,leppa-berry,50
clefairy,ruby-sapphire,sapphire,moon-stone,5
clefairy,ruby-sapphire,sapphire,leppa-berry,50
clefairy,emerald,emerald,moon-stone,5
clefairy,emerald,emerald,leppa-berry,50
clefairy,firered-leafgreen,firered,moon-stone,5
clefairy,firered-leafgreen,leafgreen,moon-stone,5
clefairy,diamond-pearl,diamond,moon-stone,5
clefairy,diamond-pearl,diamond,leppa-berry,50
clefairy,diamond-pearl,pearl,moon-stone,5
clefairy,diamond-pearl,pearl,leppa-berry,50
clefairy,platinum,platinum,moon-stone,5
clefairy,platinum,platinum,leppa-berry,50
clefairy,heartgold-soulsilver,heartgold,moon-stone,5
clefairy,heartgold-soulsilver,heartgold,leppa-berry,50
clefairy,heartgold-soulsilver,soulsilver,moon-stone,5
clefairy,heartgold-soulsilver,soulsilver,leppa-berry,50
clefairy,black-white,black,moon-stone,5
clefairy,black-white,black,leppa-berry,50
clefairy,black-white,black,comet-shard,1
clefairy,black-white,white,moon-stone,5
clefairy,black-white,white,leppa-berry,50
clefairy,black-white,white,comet-shard,1
clefairy,black-2-white-2,black-2,moon-stone,5
clefairy,black-2-white-2,black-2,leppa-berry,50
clefairy,black-2-white-2,black-2,comet-shard,1
clefairy,black-2-white-2,white-2,moon-stone,5
clefairy,black-2-white-2,white-2,leppa-berry,50
clefairy,black-2-white-2,white-2,comet-shard,1
clefairy,x-y,x,moon-stone,5
clefairy,x-y,y,moon-stone,5
clefairy,omega-ruby-alpha-sapphire,omega-ruby,moon-stone,5
clefairy,omega-ruby-alpha-sapphire,alpha-sapphire,moon-stone,5
clefairy,sun-moon,sun,moon-stone,5
clefairy,sun-moon,moon,moon-stone,5
clefairy,ultra-sun-ultra-moon,ultra-sun,moon-stone,5
clefairy,ultra-sun-ultra-moon,ultra-moon,moon-stone,5
clefable,ruby-sapphire,ruby,moon-stone,5
clefable,ruby-sapphire,ruby,leppa-berry,50
clefable,ruby-sapphire,sapphire,moon-stone,5
clefable,ruby-sapphire,sapphire,leppa-berry,50
clefable,emerald,emerald,moon-stone,5
clefable,emerald,emerald,leppa-berry,50
clefable,firered-leafgreen,firered,moon-stone,5
clefable,firered-leafgreen,leafgreen,moon-stone,5
clefable,diamond-pearl,diamond,moon-stone,5
clefable,diamond-pearl,diamond,leppa-berry,50
clefable,diamond-pearl,pearl,moon-stone,5
clefable,diamond-pearl,pearl,leppa-berry,50
clefable,platinum,platinum,moon-stone,5
clefable,platinum,platinum,leppa-berry,50
clefable,heartgold-soulsilver,heartgold,moon-stone,5
clefable,heartgold-soulsilver,heartgold,leppa-berry,50
clefable,heartgold-soulsilver,soulsilver,moon-stone,5
clefable,heartgold-soulsilver,soulsilver,leppa-berry,50
clefable,black-white,black,moon-stone,5
clefable,black-white,black,leppa-berry,50
clefable,black-white,black,comet-shard,1
clefable,black-white,white,moon-stone,5
clefable,black-white,white,leppa-berry,50
clefable,black-white,white,comet-shard,1
clefable,black-2-white-2,black-2,moon-stone,5
clefable,black-2-white-2,black-2,leppa-berry,50
clefable,black-2-white-2,black-2,comet-shard,1
clefable,black-2-white-2,white-2,moon-stone,5
clefable,black-2-white-2,white-2,leppa-berry,50
clefable,black-2-white-2,white-2,comet-shard,1
clefable,x-y,x,moon-stone,5
clefable,x-y,y,moon-stone,5
clefable,omega-ruby-alpha-sapphire,omega-ruby,moon-stone,5
clefable,omega-ruby-alpha-sapphire,alpha-sapphire,moon-stone,5
clefable,sun-moon,sun,moon-stone,5
clefable,sun-moon,moon,moon-stone,5
clefable,ultra-sun-ultra-moon,ultra-sun,moon-stone,5
clefable,ultra-sun-ultra-moon,ultra-moon,moon-stone,5
vulpix,ruby-sapphire,ruby,rawst-berry,100
vulpix,ruby-sapphire,sapphire,rawst-berry,100
vulpix,emerald,emerald,rawst-berry,100
vulpix,firered-leafgreen,firered,rawst-berry,50
vulpix,firered-leafgreen,leafgreen,rawst-berry,50
vulpix,diamond-pearl,diamond,rawst-berry,100
vulpix,diamond-pearl,pearl,rawst-berry,100
vulpix,platinum,platinum,rawst-berry,100
vulpix,heartgold-soulsilver,heartgold,rawst-berry,100
vulpix,heartgold-soulsilver,soulsilver,rawst-berry,100
vulpix,black-white,black,rawst-berry,100
vulpix,black-white,white,rawst-berry,100
vulpix,black-2-white-2,black-2,rawst-berry,100
vulpix,black-2-white-2,white-2,rawst-berry,100
vulpix,omega-ruby-alpha-sapphire,omega-ruby,charcoal,5
vulpix,omega-ruby-alpha-sapphire,alpha-sapphire,charcoal,5
vulpix,sun-moon,sun,charcoal,5
vulpix,sun-moon,moon,charcoal,5
vulpix,ultra-sun-ultra-moon,ultra-sun,charcoal,5
vulpix,ultra-sun-ultra-moon,ultra-moon,charcoal,5
ninetales,ruby-sapphire,ruby,rawst-berry,100
ninetales,ruby-sapphire,sapphire,rawst-berry,100
ninetales,emerald,emerald,rawst-berry,100
ninetales,firered-leafgreen,firered,rawst-berry,50
ninetales,firered-leafgreen,leafgreen,rawst-berry,50
ninetales,diamond-pearl,diamond,rawst-berry,100
ninetales,diamond-pearl,pearl,rawst-berry,100
ninetales,platinum,platinum,rawst-berry,100
ninetales,heartgold-soulsilver,heartgold,rawst-berry,100
ninetales,heartgold-soulsilver,soulsilver,rawst-berry,100
ninetales,black-white,black,rawst-berry,100
ninetales,black-white,white,rawst-berry,100
ninetales,black-2-white-2,black-2,rawst-berry,100
ninetales,black-2-white-2,white-2,rawst-berry,100
ninetales,omega-ruby-alpha-sapphire,omega-ruby,charcoal,5
ninetales,omega-ruby-alpha-sapphire,alpha-sapphire,charcoal,5
ninetales,sun-moon,sun,charcoal,5
ninetales,sun-moon,moon,charcoal,5
ninetales,ultra-sun-ultra-moon,ultra-sun,charcoal,5
ninetales,ultra-sun-ultra-moon,ultra-moon,charcoal,5
jigglypuff,firered-leafgreen,firered,oran-berry,50
jigglypuff,firered-leafgreen,leafgreen,oran-berry,50
jigglypuff,sun-moon,sun,moon-stone,5
jigglypuff,sun-moon,moon,moon-stone,5
jigglypuff,ultra-sun-ultra-moon,ultra-sun,moon-stone,5
jigglypuff,ultra-sun-ultra-moon,ultra-moon,moon-stone,5
wigglytuff,firered-leafgreen,firered,oran-berry,50
wigglytuff,firered-leafgreen,leafgreen,oran-berry,50
wigglytuff,sun-moon,sun,moon-stone,5
wigglytuff,sun-moon,moon,moon-stone,5
wigglytuff,ultra-sun-ultra-moon,ultra-sun,moon-stone,5
wigglytuff,ultra-sun-ultra-moon,ultra-moon,moon-stone,5
oddish,omega-ruby-alpha-sapphire,omega-ruby,absorb-bulb,5
oddish,omega-ruby-alpha-sapphire,alpha-sapphire,absorb-bulb,5
oddish,sun-moon,sun,absorb-bulb,5
oddish,sun-moon,moon,absorb-bulb,5
oddish,ultra-sun-ultra-moon,ultra-sun,absorb-bulb,5
oddish,ultra-sun-ultra-moon,ultra-moon,absorb-bulb,5
gloom,omega-ruby-alpha-sapphire,omega-ruby,absorb-bulb,5
gloom,omega-ruby-alpha-sapphire,alpha-sapphire,absorb-bulb,5
gloom,sun-moon,sun,absorb-bulb,5
gloom,sun-moon,moon,absorb-bulb,5
gloom,ultra-sun-ultra-moon,ultra-sun,absorb-bulb,5
gloom,ultra-sun-ultra-moon,ultra-moon,absorb-bulb,5
vileplume,omega-ruby-alpha-sapphire,omega-ruby,absorb-bulb,5
vileplume,omega-ruby-alpha-sapphire,alpha-sapphire,absorb-bulb,5
vileplume,sun-moon,sun,absorb-bulb,5
vileplume,sun-moon,moon,absorb-bulb,5
vileplume,ultra-sun-ultra-moon,ultra-sun,absorb-bulb,5
vileplume,ultra-sun-ultra-moon,ultra-moon,absorb-bulb,5
paras,ruby-sapphire,ruby,tiny-mushroom,50
paras,ruby-sapphire,ruby,big-mushroom,5
paras,ruby-sapphire,sapphire,tiny-mushroom,50
paras,ruby-sapphire,sapphire,big-mushroom,5
paras,emerald,emerald,tiny-mushroom,50
paras,emerald,emerald,big-mushroom,5
paras,firered-leafgreen,firered,tiny-mushroom,50
paras,firered-leafgreen,firered,big-mushroom,5
paras,firered-leafgreen,leafgreen,tiny-mushroom,50
paras,firered-leafgreen,leafgreen,big-mushroom,5
paras,diamond-pearl,diamond,tiny-mushroom,50
paras,diamond-pearl,diamond,big-mushroom,5
paras,diamond-pearl,pearl,tiny-mushroom,50
paras,diamond-pearl,pearl,big-mushroom,5
paras,platinum,platinum,tiny-mushroom,50
paras,platinum,platinum,big-mushroom,5
paras,heartgold-soulsilver,heartgold,tiny-mushroom,50
paras,heartgold-soulsilver,heartgold,big-mushroom,5
paras,heartgold-soulsilver,soulsilver,tiny-mushroom,50
paras,heartgold-soulsilver,soulsilver,big-mushroom,5
paras,black-white,black,tiny-mushroom,50
paras,black-white,black,big-mushroom,5
paras,black-white,black,balm-mushroom,1
paras,black-white,white,tiny-mushroom,50
paras,black-white,white,big-mushroom,5
paras,black-white,white,balm-mushroom,1
paras,black-2-white-2,black-2,tiny-mushroom,50
paras,black-2-white-2,black-2,big-mushroom,5
paras,black-2-white-2,black-2,balm-mushroom,1
paras,black-2-white-2,white-2,tiny-mushroom,50
paras,black-2-white-2,white-2,big-mushroom,5
paras,black-2-white-2,white-2,balm-mushroom,1
paras,x-y,x,tiny-mushroom,50
paras,x-y,x,big-mushroom,5
paras,x-y,y,tiny-mushroom,50
paras,x-y,y,big-mushroom,5
paras,omega-ruby-alpha-sapphire,omega-ruby,tiny-mushroom,50
paras,omega-ruby-alpha-sapphire,omega-ruby,big-mushroom,5
paras,omega-ruby-alpha-sapphire,alpha-sapphire,tiny-mushroom,50
paras,omega-ruby-alpha-sapphire,alpha-sapphire,big-mushroom,5
paras,sun-moon,sun,tiny-mushroom,50
paras,sun-moon,sun,big-mushroom,5
paras,sun-moon,moon,tiny-mushroom,50
paras,sun-moon,moon,big-mushroom,5
paras,ultra-sun-ultra-moon,ultra-sun,tiny-mushroom,50
paras,ultra-sun-ultra-moon,ultra-sun,big-mushroom,5
paras,ultra-sun-ultra-moon,ultra-moon,tiny-mushroom,50
paras,ultra-sun-ultra-moon,ultra-moon,big-mushroom,5
parasect,ruby-sapphire,ruby,tiny-mushroom,50
parasect,ruby-sapphire,ruby,big-mushroom,5
parasect,ruby-sapphire,sapphire,tiny-mushroom,50
parasect,ruby-sapphire,sapphire,big-mushroom,5
parasect,emerald,emerald,tiny-mushroom,50
parasect,emerald,emerald,big-mushroom,5
parasect,firered-leafgreen,firered,tiny-mushroom,50
parasect,firered-leafgreen,firered,big-mushroom,5
parasect,firered-leafgreen,leafgreen,tiny-mushroom,50
parasect,firered-leafgreen,leafgreen,big-mushroom,5
parasect,diamond-pearl,diamond,tiny-mushroom,50
parasect,diamond-pearl,diamond,big-mushroom,5
parasect,diamond-pearl,pearl,tiny-mushroom,50
parasect,diamond-pearl,pearl,big-mushroom,5
parasect,platinum,platinum,tiny-mushroom,50
parasect,platinum,platinum,big-mushroom,5
parasect,heartgold-soulsilver,heartgold,tiny-mushroom,50
parasect,heartgold-soulsilver,heartgold,big-mushroom,5
parasect,heartgold-soulsilver,soulsilver,tiny-mushroom,50
parasect,heartgold-soulsilver,soulsilver,big-mushroom,5
parasect,black-white,black,tiny-mushroom,50
parasect,black-white,black,big-mushroom,5
parasect,black-white,black,balm-mushroom,1
parasect,black-white,white,tiny-mushroom,50
parasect,black-white,white,big-mushroom,5
parasect,black-white,white,balm-mushroom,1
parasect,black-2-white-2,black-2,tiny-mushroom,50
parasect,black-2-white-2,black-2,big-mushroom,5
parasect,black-2-white-2,black-2,balm-mushroom,1
parasect,black-2-white-2,white-2,tiny-mushroom,50
parasect,black-2-white-2,white-2,big-mushroom,5
parasect,black-2-white-2,white-2,balm-mushroom,1
parasect,x-y,x,tiny-mushroom,50
parasect,x-y,x,big-mushroom,5
parasect,x-y,y,tiny-mushroom,50
parasect,x-y,y,big-mushroom,5
parasect,omega-ruby-alpha-sapphire,omega-ruby,tiny-mushroom,50
parasect,omega-ruby-alpha-sapphire,omega-ruby,big-mushroom,5
parasect,omega-ruby-alpha-sapphire,alpha-sapphire,tiny-mushroom,50
parasect,omega-ruby-alpha-sapphire,alpha-sapphire,big-mushroom,5
parasect,sun-moon,sun,tiny-mushroom,50
parasect,sun-moon,sun,big-mushroom,5
parasect,sun-moon,moon,tiny-mushroom,50
parasect,sun-moon,moon,big-mushroom,5
parasect,ultra-sun-ultra-moon,ultra-sun,tiny-mushroom,50
parasect,ultra-sun-ultra-moon,ultra-sun,big-mushroom,5
parasect,ultra-sun-ultra-moon,ultra-moon,tiny-mushroom,50
parasect,ultra-sun-ultra-moon,ultra-moon,big-mushroom,5
venomoth,firered-leafgreen,firered,silver-powder,5
venomoth,firered-leafgreen,leafgreen,silver-powder,5
venomoth,diamond-pearl,diamond,shed-shell,5
venomoth,diamond-pearl,pearl,shed-shell,5
venomoth,platinum,platinum,shed-shell,5
venomoth,heartgold-soulsilver,heartgold,shed-shell,5
venomoth,heartgold-soulsilver,soulsilver,shed-shell,5
venomoth,black-white,black,shed-shell,5
venomoth,black-white,white,shed-shell,5
venomoth,black-2-white-2,black-2,shed-shell,5
venomoth,black-2-white-2,white-2,shed-shell,5
venomoth,x-y,x,shed-shell,5
venomoth,x-y,y,shed-shell,5
venomoth,omega-ruby-alpha-sapphire,omega-ruby,shed-shell,5
venomoth,omega-ruby-alpha-sapphire,alpha-sapphire,shed-shell,5
venomoth,sun-moon,sun,shed-shell,5
venomoth,sun-moon,moon,shed-shell,5
venomoth,ultra-sun-ultra-moon,ultra-sun,shed-shell,5
venomoth,ultra-sun-ultra-moon,ultra-moon,shed-shell,5
diglett,diamond-pearl,diamond,soft-sand,5
diglett,diamond-pearl,pearl,soft-sand,5
diglett,platinum,platinum,soft-sand,5
diglett,heartgold-soulsilver,heartgold,soft-sand,5
diglett,heartgold-soulsilver,soulsilver,soft-sand,5
diglett,black-white,black,soft-sand,5
diglett,black-white,white,soft-sand,5
diglett,black-2-white-2,black-2,soft-sand,5
diglett,black-2-white-2,white-2,soft-sand,5
diglett,x-y,x,soft-sand,5
diglett,x-y,y,soft-sand,5
diglett,omega-ruby-alpha-sapphire,omega-ruby,soft-sand,5
diglett,omega-ruby-alpha-sapphire,alpha-sapphire,soft-sand,5
diglett,sun-moon,sun,soft-sand,5
diglett,sun-moon,moon,soft-sand,5
diglett,ultra-sun-ultra-moon,ultra-sun,soft-sand,5
diglett,ultra-sun-ultra-moon,ultra-moon,soft-sand,5
dugtrio,diamond-pearl,diamond,soft-sand,5
dugtrio,diamond-pearl,pearl,soft-sand,5
dugtrio,platinum,platinum,soft-sand,5
dugtrio,heartgold-soulsilver,heartgold,soft-sand,5
dugtrio,heartgold-soulsilver,soulsilver,soft-sand,5
dugtrio,black-white,black,soft-sand,5
dugtrio,black-white,white,soft-sand,5
dugtrio,black-2-white-2,black-2,soft-sand,5
dugtrio,black-2-white-2,white-2,soft-sand,5
dugtrio,x-y,x,soft-sand,5
dugtrio,x-y,y,soft-sand,5
dugtrio,omega-ruby-alpha-sapphire,omega-ruby,soft-sand,5
dugtrio,omega-ruby-alpha-sapphire,alpha-sapphire,soft-sand,5
dugtrio,sun-moon,sun,soft-sand,5
dugtrio,sun-moon,moon,soft-sand,5
dugtrio,ultra-sun-ultra-moon,ultra-sun,soft-sand,5
dugtrio,ultra-sun-ultra-moon,ultra-moon,soft-sand,5
meowth,firered-leafgreen,firered,nugget,5
meowth,firered-leafgreen,leafgreen,nugget,5
meowth,diamond-pearl,diamond,quick-claw,5
meowth,diamond-pearl,pearl,quick-claw,5
meowth,platinum,platinum,quick-claw,5
meowth,heartgold-soulsilver,heartgold,quick-claw,5
meowth,heartgold-soulsilver,soulsilver,quick-claw,5
meowth,black-white,black,quick-claw,5
meowth,black-white,white,quick-claw,5
meowth,black-2-white-2,black-2,quick-claw,5
meowth,black-2-white-2,white-2,quick-claw,5
meowth,x-y,x,quick-claw,5
meowth,x-y,y,quick-claw,5
meowth,omega-ruby-alpha-sapphire,omega-ruby,quick-claw,5
meowth,omega-ruby-alpha-sapphire,alpha-sapphire,quick-claw,5
meowth,sun-moon,sun,quick-claw,5
meowth,sun-moon,moon,quick-claw,5
meowth,ultra-sun-ultra-moon,ultra-sun,quick-claw,5
meowth,ultra-sun-ultra-moon,ultra-moon,quick-claw,5
persian,diamond-pearl,diamond,quick-claw,5
persian,diamond-pearl,pearl,quick-claw,5
persian,platinum,platinum,quick-claw,5
persian,heartgold-soulsilver,heartgold,quick-claw,5
persian,heartgold-soulsilver,soulsilver,quick-claw,5
persian,black-white,black,quick-claw,5
persian,black-white,white,quick-claw,5
persian,black-2-white-2,black-2,quick-claw,5
persian,black-2-white-2,white-2,quick-claw,5
persian,x-y,x,quick-claw,5
persian,x-y,y,quick-claw,5
persian,omega-ruby-alpha-sapphire,omega-ruby,quick-claw,5
persian,omega-ruby-alpha-sapphire,alpha-sapphire,quick-claw,5
persian,sun-moon,sun,quick-claw,5
persian,sun-moon,moon,quick-claw,5
persian,ultra-sun-ultra-moon,ultra-sun,quick-claw,5
persian,ultra-sun-ultra-moon,ultra-moon,quick-claw,5
mankey,diamond-pearl,diamond,payapa-berry,5
mankey,diamond-pearl,pearl,payapa-berry,5
mankey,platinum,platinum,payapa-berry,5
mankey,heartgold-soulsilver,heartgold,payapa-berry,5
mankey,heartgold-soulsilver,soulsilver,payapa-berry,5
mankey,black-white,black,payapa-berry,5
mankey,black-white,white,payapa-berry,5
mankey,black-2-white-2,black-2,payapa-berry,5
mankey,black-2-white-2,white-2,payapa-berry,5
primeape,diamond-pearl,diamond,payapa-berry,5
primeape,diamond-pearl,pearl,payapa-berry,5
primeape,platinum,platinum,payapa-berry,5
primeape,heartgold-soulsilver,heartgold,payapa-berry,5
primeape,heartgold-soulsilver,soulsilver,payapa-berry,5
primeape,black-white,black,payapa-berry,5
primeape,black-white,white,payapa-berry,5
primeape,black-2-white-2,black-2,payapa-berry,5
primeape,black-2-white-2,white-2,payapa-berry,5
growlithe,ruby-sapphire,ruby,rawst-berry,100
growlithe,ruby-sapphire,sapphire,rawst-berry,100
growlithe,emerald,emerald,rawst-berry,100
growlithe,firered-leafgreen,firered,rawst-berry,50
growlithe,firered-leafgreen,leafgreen,rawst-berry,50
growlithe,diamond-pearl,diamond,rawst-berry,100
growlithe,diamond-pearl,pearl,rawst-berry,100
growlithe,platinum,platinum,rawst-berry,100
growlithe,heartgold-soulsilver,heartgold,rawst-berry,100
growlithe,heartgold-soulsilver,soulsilver,rawst-berry,100
growlithe,black-white,black,rawst-berry,100
growlithe,black-white,white,rawst-berry,100
growlithe,black-2-white-2,black-2,rawst-berry,50
growlithe,black-2-white-2,white-2,rawst-berry,50
arcanine,ruby-sapphire,ruby,rawst-berry,100
arcanine,ruby-sapphire,sapphire,rawst-berry,100
arcanine,emerald,emerald,rawst-berry,100
arcanine,firered-leafgreen,firered,rawst-berry,50
