id,location,area,game_index,name_en,name_fr,name_de
62,turnback-cave,pillar-2,62,Turnback Cave (pillar 2),Grotte Retour (2e pilier),Höhle der Umkehr (Säule 2)
63,turnback-cave,pillar-3,63,Turnback Cave (pillar 3),Grotte Retour (3e pilier),Höhle der Umkehr (Säule 3)
64,turnback-cave,before-pillar-1,64,Turnback Cave (before pillar 1),Grotte Retour (avant 1er pilier),Höhle der Umkehr (vor Säule 1)
70,turnback-cave,between-pillars-1-and-2,70,Turnback Cave (between pillars 1 and 2),Grotte Retour (entre 1er et 2e piliers),Höhle der Umkehr (zwischen Säule 1 und 2)
76,turnback-cave,between-pillars-2-and-3,76,Turnback Cave (between pillars 2 and 3),Grotte Retour (entre 2e et 3e piliers),Höhle der Umkehr (zwischen Säule 2 und 3)
82,turnback-cave,after-pillar-3,82,Turnback Cave (after pillar 3),Grotte Retour (après 3e pilier),Höhle der Umkehr (nach Säule 3)
107,snowpoint-temple,1f,107,Snowpoint Temple (1F),Temple Frimapic (RdC),Blizzach-Tempel (EG)
108,snowpoint-temple,b1f,108,Snowpoint Temple (B1F),Temple Frimapic (1er s-sol),Blizzach-Tempel (1.UG)
109,snowpoint-temple,b2f,109,Snowpoint Temple (B2F),Temple Frimapic (2e s-sol),Blizzach-Tempel (2.UG)
110,snowpoint-temple,b3f,110,Snowpoint Temple (B3F),Temple Frimapic (3e s-sol),Blizzach-Tempel (3.UG)
111,snowpoint-temple,b4f,111,Snowpoint Temple (B4F),Temple Frimapic (4e s-sol),Blizzach-Tempel (4.UG)
112,snowpoint-temple,b5f,112,Snowpoint Temple (B5F),Temple Frimapic (5e s-sol),Blizzach-Tempel (5.UG)
113,wayward-cave,1f,113,Wayward Cave (1F),Grotte Revèche (RdC),Bizarre Höhle (EG)
114,wayward-cave,b1f,114,Wayward Cave (B1F),Grotte Revèche (sous-sol),Bizarre Höhle (1.UG)
115,ruin-maniac-cave,0-9-different-unown-caught,115,Ruin Maniac Cave (0–9 different Unown caught),Grotte Ruinemaniac (de 0 à 9 Zarbi différents capturés),Höhle des Wühlers (0–9 verschiedene Icognito gefangen)
116,ruin-maniac-cave,10-25-different-unown-caught,116,Ruin Maniac Cave (10–25 different Unown caught),Grotte Ruinemaniac (de 10 à 25 Zarbi différents capturés),Höhle des Wühlers (10–25 verschiedene Icognito gefangen)
117,maniac-tunnel,26-plus-different-unown-caught,117,Maniac Tunnel (26+ different Unown caught),Tunnel Ruinemaniac (+ de 26 Zarbi différents attrapés),Wühler-Tunnel (26+ verschiedene Icognito gefangen)
118,trophy-garden,,118,Trophy Garden,Jardin Trophée,Pokémon-Landgut
119,iron-island,,119,Iron Island area,Ile de Fer (alentours),Eiseninsel Gebiet
120,iron-island,1f,120,Iron Island (1F),Ile de Fer (RdC),Eiseninsel (EG)
121,iron-island,b1f-left,121,Iron Island (B1F left),Ile de Fer (1er s-sol gauche),Eiseninsel (1.UG links)
122,iron-island,b1f-right,122,Iron Island (B1F right),Ile de Fer (1er s-sol droit),Eiseninsel (1.UG rechts)
123,iron-island,b2f-right,123,Iron Island (B2F right),Ile de Fer (2e s-sol droit),Eiseninsel (2.UG rechts)
124,iron-island,b2f-left,124,Iron Island (B2F left),Ile de Fer (2e s-sol gauche),Eiseninsel (2.UG links)
125,iron-island,b3f,125,Iron Island (B3F),Ile de Fer (3e s-sol),Eiseninsel (3.UG)
126,old-chateau,entrance,126,Old Chateau (entrance),Vieux Château (entrée),Alte Villa Eingang
127,old-chateau,dining-room,127,Old Chateau (dining room),Vieux Château (salle à manger),Alte Villa (Speisesaal)
128,old-chateau,2f-private-room,128,Old Chateau (2F private room),Vieux Château (étage pièce privée),Alte Villa (1.OG privater Raum)
129,old-chateau,2f,129,Old Chateau (2F),Vieux Château (étage),Alte Villa (1.OG)
130,old-chateau,2f-leftmost-room,130,Old Chateau (2F leftmost room),Vieux Château (étage pièce tout à gauche),Alte Villa (1.OG Zimmer ganz links)
131,old-chateau,2f-left-room,131,Old Chateau (2F left room),Vieux Château (étage pièce centre gauche),Alte Villa (1.OG Zimmer links)
132,old-chateau,2f-middle-room,132,Old Chateau (2F middle room),Vieux Château (étage pièce du centre),Alte Villa (1.OG Zimmer mitte)
133,old-chateau,2f-right-room,133,Old Chateau (2F right room),Vieux Château (étage pièce centre droite),Alte Villa (1.OG Zimmer rechts)
134,old-chateau,2f-rightmost-room,134,Old Chateau (2F rightmost room),Vieux Château (étage pièce tout à droite),Alte Villa (1.OG Zimmer ganz rechts)
135,lake-verity,before-galactic-intervention,135,Lake Verity (before Galactic intervention),Lac Vérité (avant la team Galaxie),See der Wahrheit (vor Team Galaktik)
136,lake-verity,after-galactic-intervention,136,Lake Verity (after Galactic intervention),Lac Vérité (après la team Galaxie),See der Wahrheit (nach Team Galaktik)
137,lake-valor,,137,Lake Valor,Lac Courage,See der Kühnheit
138,lake-acuity,,138,Lake Acuity,Lac Savoir,See der Stärke
139,valor-lakefront,,139,Valor Lakefront,Rive Lac Courage,Kühnheitsufer
140,acuity-lakefront,,140,Acuity Lakefront,Rive Lac Savoir,Stärkeufer
141,sinnoh-route-201,,141,Road 201,Route 201,Route 201
142,sinnoh-route-202,,142,Road 202,Route 202,Route 202
143,sinnoh-route-203,,143,Road 203,Route 203,Route 203
144,sinnoh-route-204,south-towards-jubilife-city,144,"Road 204 (south, towards Jubilife City)","Route 204 (sud, vers Féli-Cité)","Route 204 (Süden, Richtung Jubelstadt)"
145,sinnoh-route-204,north-towards-floaroma-town,145,"Road 204 (north, towards Floaroma Town)","Route 204 (nord, vers Floraville)","Route 204 (Norden, Richtung Flori)"
146,sinnoh-route-205,south-towards-floaroma-town,146,"Road 205 (south, towards Floaroma Town)","Route 205 (sud, vers Floraville)","Route 205 (Süden, Richtung Flori)"
147,sinnoh-route-205,east-towards-eterna-city,147,"Road 205 (east, towards Eterna City)","Route 205 (est, vers Vestigion)","Route 205 (Osten, Richtung Ewigenau)"
148,sinnoh-route-206,,148,Road 206,Route 206,Route 206
149,sinnoh-route-207,,149,Road 207,Route 207,Route 207
150,sinnoh-route-208,,150,Road 208,Route 208,Route 208
151,sinnoh-route-209,,151,Road 209,Route 209,Route 209
152,lost-tower,1f,152,Lost Tower (1F),Tour Perdue (RdC),Turm der Ruhenden (EG)
153,lost-tower,2f,153,Lost Tower (2F),Tour Perdue (1er ét.),Turm der Ruhenden (1.OG)
154,lost-tower,3f,154,Lost Tower (3F),Tour Perdue (2e ét.),Turm der Ruhenden (2.OG)
155,lost-tower,4f,155,Lost Tower (4F),Tour Perdue (3e ét.),Turm der Ruhenden (3.OG)
156,lost-tower,5f,156,Lost Tower (5F),Tour Perdue (4e ét.),Turm der Ruhenden (4.OG)
157,sinnoh-route-210,south-towards-solaceon-town,157,"Road 210 (south, towards Solaceon Town)","Route 210 (sud, vers Bonville)","Route 210 (Süden, Richtung Trostu)"
158,sinnoh-route-210,west-towards-celestic-town,158,"Road 210 (west, towards Celestic Town)","Route 210 (ouest, vers Celestia)","Route 210 (Westen, Richtung Elyses)"
159,sinnoh-route-211,west-towards-eterna-city,159,"Road 211 (west, towards Eterna City)","Route 211 (ouest, vers Vestigion)","Route 211 (Westen, Richtung Ewigenau)"
160,sinnoh-route-211,east-towards-celestic-town,160,"Road 211 (east, towards Celestic Town)","Route 211 (est, vers Celestia)","Route 211 (Osten, Richtung Elyses)"
161,sinnoh-route-212,north-towards-hearthome-city,161,"Road 212 (north, towards Hearthome City)","Route 212 (nord, vers Unionpolis)","Route 212 (Norden, Richtung Herzhofen)"
162,sinnoh-route-212,east-towards-pastoria-city,162,"Road 212 (east, towards Pastoria City)","Route 212 (est, vers Verchamps)","Route 212 (Osten, Richtung Weideburg)"
163,sinnoh-route-213,,163,Road 213,Route 213,Route 213
164,sinnoh-route-214,,164,Road 214,Route 214,Route 214
165,sinnoh-route-215,,165,Road 215,Route 215,Route 215
166,sinnoh-route-216,,166,Road 216,Route 216,Route 216
167,sinnoh-route-217,,167,Road 217,Route 217,Route 217
168,sinnoh-route-218,,168,Road 218,Route 218,Route 218
169,sinnoh-route-219,,169,Road 219,Route 219,Route 219
170,sinnoh-route-221,,170,Road 221,Route 221,Route 221
171,sinnoh-route-222,,171,Road 222,Route 222,Route 222
172,sinnoh-route-224,,172,Road 224,Route 224,Route 224
173,sinnoh-route-225,,173,Road 225,Route 225,Route 225
174,sinnoh-route-227,,174,Road 227,Route 227,Route 227
175,sinnoh-route-228,,175,Road 228,Route 228,Route 228
176,sinnoh-route-229,,176,Road 229,Route 229,Route 229
177,twinleaf-town,,177,Twinleaf Town,Bonaugure,Zweiblattdorf
178,celestic-town,,178,Celestic Town,Célestia,Elyses
179,resort-area,,179,Resort Area,Aire de Détente,Erholungsareal
180,sinnoh-sea-route-220,,180,Road 220,Route 220,Route 220
181,sinnoh-sea-route-223,,181,Road 223,Route 223,Route 223
182,sinnoh-sea-route-226,,182,Road 226,Route 226,Route 226
183,sinnoh-sea-route-230,,183,Road 230,Route 230,Route 230
184,new-bark-town,,1,New Bark Town,Bourg Geon,Neuborkia
185,johto-route-29,,2,Road 29,Route 29,Route 29
186,cherrygrove-city,,3,Cherrygrove City,Ville Griotte,Rosalia City
187,johto-route-30,,4,Road 30,Route 30,Route 30
188,johto-route-31,,5,Road 31,Route 31,Route 31
189,violet-city,,6,Violet City,Mauville,Viola City
190,sprout-tower,2f,7,Sprout Tower (2F),Tour CHETIFLOR (1er ét.),Knofensa-Turm (1.OG)
191,sprout-tower,3f,8,Sprout Tower (3F),Tour CHETIFLOR (2e ét.),Knofensa-Turm (2.OG)
192,johto-route-32,,9,Road 32,Route 32,Route 32
193,ruins-of-alph,outside,10,Ruins of Alph (outside),Ruines d'Alpha (extérieur),Alph-Ruinen (draußen)
194,ruins-of-alph,interior-a,11,Ruins of Alph (interior A),Ruines d'Alpha (intérieur A),Alph-Ruinen (Innenbereich A)
195,ruins-of-alph,interior-b,12,Ruins of Alph (interior B),Ruines d'Alpha (intérieur B),Alph-Ruinen (Innenbereich B)
196,ruins-of-alph,interior-c,13,Ruins of Alph (interior C),Ruines d'Alpha (intérieur C),Alph-Ruinen (Innenbereich C)
197,ruins-of-alph,interior-d,14,Ruins of Alph (interior D),Ruines d'Alpha (intérieur D),Alph-Ruinen (Innenbereich D)
198,union-cave,1f,15,Union Cave (1F),Caves Jumelles (RdC),Einheitstunnel (EG)
199,union-cave,b1f,16,Union Cave (B1F),Caves Jumelles (1er s-sol),Einheitstunnel (1.UG)
200,union-cave,b2f,17,Union Cave (B2F),Caves Jumelles (2e s-sol),Einheitstunnel (2.UG)
201,johto-route-33,,18,Road 33,Route 33,Route 33
202,slowpoke-well,1f,19,Slowpoke Well (1F),Puits RAMOLOSS (RdC),Flegmon-Brunnen (EG)
203,slowpoke-well,b1f,20,Slowpoke Well (B1F),Puits RAMOLOSS (Sous-sol),Flegmon-Brunnen (1.UG)
204,ilex-forest,,21,Ilex Forest,Bois aux Chênes,Steineichenwald
205,johto-route-34,,22,Road 34,Route 34,Route 34
206,johto-route-35,,23,Road 35,Route 35,Route 35
207,national-park,,24,National Park,Parc Naturel,Nationalpark
208,unknown-all-bugs,,25,Unknown Area; all bugs,Zone inconnue ; que des insectes,Unbekanntes Gebiet; nur Käfer
209,johto-route-36,,26,Road 36,Route 36,Route 36
210,johto-route-37,,27,Road 37,Route 37,Route 37
211,ecruteak-city,,28,Ecruteak City,Rosalia,Teak City
212,burned-tower,1f,29,Burned Tower (1F),Tour Cendrée (RdC),Turmruine (EG)
213,burned-tower,b1f,30,Burned Tower (B1F),Tour Cendrée (sous-sol),Turmruine (1.UG)
214,bell-tower,2f,31,Bell Tower (2F),Tour Carillon (1er ét.),Glockenturm (1.OG)
215,bell-tower,3f,32,Bell Tower (3F),Tour Carillon (2e ét.),Glockenturm (2.OG)
216,bell-tower,4f,33,Bell Tower (4F),Tour Carillon (3e ét.),Glockenturm (3.OG)
217,bell-tower,5f,34,Bell Tower (5F),Tour Carillon (4e ét.),Glockenturm (4.OG)
218,bell-tower,6f,35,Bell Tower (6F),Tour Carillon (5e ét.),Glockenturm (5.OG)
219,bell-tower,7f,36,Bell Tower (7F),Tour Carillon (6e ét.),Glockenturm (6.OG)
220,bell-tower,8f,37,Bell Tower (8F),Tour Carillon (7e ét.),Glockenturm (7.OG)
221,bell-tower,9f,38,Bell Tower (9F),Tour Carillon (8e ét.),Glockenturm (8.OG)
222,johto-route-38,,39,Road 38,Route 38,Route 38
223,johto-route-39,,40,Road 39,Route 39,Route 39
224,olivine-city,,41,Olivine City,Oliville,Oliviana City
225,johto-sea-route-40,,42,Road 40,Route 4,Route 40
226,johto-sea-route-41,,43,Road 41,Route 41,Route 41
227,whirl-islands,1f,44,Whirl Islands (1F),Tourb'Iles (RdC),Strudelinseln (EG)
228,whirl-islands,b1f,45,Whirl Islands (B1F),Tourb'Iles (1er s-sol),Strudelinseln (1.UG)
229,whirl-islands,empty-floor-x,46,Whirl Islands (empty floor X),Tourb'Iles (étage vide X),Strudelinseln empty floor X
230,whirl-islands,b2f,47,Whirl Islands (B2F),Tourb'Iles (2e s-sol),Strudelinseln (2.UG)
231,whirl-islands,empty-floor-y,48,Whirl Islands (empty floor Y),Tourb'Iles (étage vide Y),Strudelinseln empty floor Y
232,whirl-islands,b3f,49,Whirl Islands (B3F),Tourb'Iles (3e s-sol),Strudelinseln (3.UG)
235,cianwood-city,,52,Cianwood City,Irisia,Anemonia City
236,johto-route-42,,53,Road 42,Route 42,Route 42
237,mt-mortar,1f,54,Mount Mortar (1F),Mont Creuset (RdC),Kesselberg (EG)
238,mt-mortar,lower-cave,55,Mount Mortar (Lower Cave),Mont Creuset (caverne inférieure),Kesselberg (untere Höhle)
239,mt-mortar,upper-cave,56,Mount Mortar (Upper Cave),Mont Creuset (caverne supérieure),Kesselberg (obere Höhle)
240,mt-mortar,b1f,57,Mount Mortar (B1F),Mont Creuset (sous-sol),Kesselberg (1.UG)
241,johto-route-43,,58,Road 43,Route 43,Route 43
242,lake-of-rage,,59,Lake of Rage,Lac Colère,See des Zorns
243,johto-route-44,,60,Road 44,Route 44,Route 44
244,ice-path,1f,61,Ice Path (1F),Route de Glace (RdC),Eispfad (EG)
245,ice-path,b1f,62,Ice Path (B1F),Route de Glace (1er s-sol),Eispfad (1.UG)
246,ice-path,b2f,63,Ice Path (B2F),Route de Glace (2e s-sol),Eispfad (2.UG)
247,ice-path,b3f,64,Ice Path (B3F),Route de Glace (3e s-sol),Eispfad (3.UG)
249,blackthorn-city,,66,Blackthorn City,Ebènelle,Ebenholz City
250,dragons-den,,67,Dragon's Den,Antre du Dragon,Drachenhöhle
251,johto-route-45,,68,Road 45,Route 45,Route 45
252,johto-route-46,,69,Road 46,Route 46,Route 46
253,dark-cave,violet-city-entrance,70,Dark Cave (Violet City entrance),Antre Noir (entrée Mauville),Dunkelhöhle (Viola City Eingang)
254,dark-cave,blackthorn-city-entrance,71,Dark Cave (Blackthorn City entrance),Antre Noir (entrée Ebènelle),Dunkelhöhle (Ebenholz City Eingang)
255,johto-route-47,,72,Road 47,Route 47,Route 47
256,mt-moon,mt-moon-square,73,Mount Moon Square,Aire de repos du Mont Sélénite,Mondbergspitze
257,unknown-all-poliwag,,74,Unknown Area; all Poliwag,Zone inconnue ; que des Ptitard,Unbekanntes Gebiet; nur Quapsel
258,seafoam-islands,1f,75,Seafoam Islands (1F),Iles Ecume (RdC),Seeschauminseln (EG)
259,seafoam-islands,b1f,76,Seafoam Islands (B1F),Iles Ecume (1er s-sol),Seeschauminseln (1.UG)
260,seafoam-islands,b2f,77,Seafoam Islands (B2F),Iles Ecume (2e s-sol),Seeschauminseln (2.UG)
261,seafoam-islands,b3f,78,Seafoam Islands (B3F),Iles Ecume (3e s-sol),Seeschauminseln (3.UG)
262,seafoam-islands,b4f,79,Seafoam Islands (B4F),Iles Ecume (4e s-sol),Seeschauminseln (4.UG)
263,mt-silver,2f,80,Mount Silver (2F),Mont Argenté (1er étage),Silberberg (1.OG)
264,mt-silver,1f-top,81,Mount Silver (1F top),Mont Argenté (RdC haut),Silberberg 1F top
265,mt-silver,4f,82,Mount Silver (4F),Mont Argenté (3e étage),Silberberg (3.OG)
266,johto-route-47,cave-gate,83,Road 47 (cave gate),Route 47 (Portail Falaise),Route 47 (Höhle Tor)
267,johto-route-47,inside-cave,84,Road 47 (inside cave),Route 47 (Grotte Falaise),Route 47 (Höhle innen)
268,bell-tower,10f,85,Bell Tower (10F),Tour Carillon (9e ét.),Glockenturm (9.OG)
269,mt-silver,outside,86,Mount Silver (outside),Mont Argenté (extérieur),Silberberg (außen)
270,mt-silver,1f,87,Mount Silver (1F),Mont Argenté (RdC),Silberberg (EG)
271,mt-silver,mountainside,88,Mount Silver (mountainside),Mont Argenté (flancs),Silberberg (Berghang)
272,mt-silver,3f,89,Mount Silver (3F),Mont Argenté (2e étage),Silberberg (2.OG)
273,mt-silver,top,90,Mount Silver (top),Mon Argenté (sommet),Silberberg (Gipfel)
275,unknown-all-rattata,,92,Unknown Area; all Rattata,Zone inconnue ; que des Rattata,Unbekanntes Gebiet; nur Rattfratz
276,kanto-route-12,,93,Road 12,Route 12,Route 12
277,kanto-sea-route-19,,94,Road 19,Route 19,Route 19
278,kanto-sea-route-20,,95,Road 20,Route 20,Route 20
279,cinnabar-island,,96,Cinnabar Island,Cramois'Ile,Zinnoberinsel
280,viridian-city,,97,Viridian City,Jadielle,Vertania City
281,cerulean-city,,98,Cerulean City,Azuria,Azuria City
282,vermilion-city,,99,Vermilion City,Carmin sur Mer,Orania City
283,celadon-city,,100,Celadon City,Céladopole,Prismania City
284,fuchsia-city,,101,Fuchsia City,Parmanie,Fuchsania City
285,pallet-town,,102,Pallet Town,Bourg Palette,Alabastia
286,johto-route-48,,103,Road 48,Route 48,Route 48
287,kanto-route-26,,104,Road 26,Route 26,Route 26
288,kanto-route-27,,105,Road 27,Route 27,Route 27
289,kanto-route-28,,106,Road 28,Route 28,Route 28
290,mt-moon,1f,107,Mount Moon (1F),Mont Sélénite (RdC),Mondberg (EG)
291,mt-moon,2f,108,Mount Moon (2F),Mont Sélénite (étage),Mondberg (1.OG)
292,rock-tunnel,1f,109,Rock Tunnel (1F),Grotte (RdC),Felstunnel (EG)
293,rock-tunnel,b1f,110,Rock Tunnel (B1F),Grotte (1er s-sol),Felstunnel (1.UG)
294,kanto-victory-road-1,1f,111,Victory Road 1 (1F),Route Victoire 1 (RdC),Siegesstraße 1 (EG)
295,kanto-route-1,,112,Road 1,Route 1,Route 1
296,kanto-route-2,south-towards-viridian-city,113,"Road 2 (south, towards Viridian City)","Route 2 (sud, vers Jadielle)","Route 2 (Süden, Richtung Vertania City)"
297,kanto-route-3,,114,Road 3,Route 3,Route 3
298,kanto-route-4,,115,Road 4,Route 4,Route 4
299,kanto-route-5,,116,Road 5,Route 5,Route 5
300,kanto-route-6,,117,Road 6,Route 6,Route 6
301,kanto-route-7,,118,Road 7,Route 7,Route 7
302,kanto-route-8,,119,Road 8,Route 8,Route 8
303,kanto-route-9,,120,Road 9,Route 9,Route 9
304,kanto-route-10,,121,Road 10,Route 10,Route 10
305,kanto-route-11,,122,Road 11,Route 11,Route 11
306,kanto-route-13,,123,Road 13,Route 13,Route 13
307,kanto-route-14,,124,Road 14,Route 14,Route 14
308,kanto-route-15,,125,Road 15,Route 15,Route 15
309,kanto-route-16,,126,Road 16,Route 16,Route 16
310,kanto-route-17,,127,Road 17,Route 17,Route 17
311,kanto-route-18,,128,Road 18,Route 18,Route 18
312,kanto-sea-route-21,,129,Road 21,Route 21,Route 21
313,kanto-route-22,,130,Road 22,Route 22,Route 22
314,kanto-route-24,,131,Road 24,Route 24,Route 24
315,kanto-route-25,,132,Road 25,Route 25,Route 25
316,tohjo-falls,,133,Tohjo Falls,Chutes Tohjo,Tohjo-Fälle
317,digletts-cave,,134,Digletts Cave,Cave Taupiqueur,Digda-Höhle
318,kanto-victory-road-1,2f,135,Victory Road 1 (2F),Route Victoire 1 (1er ét.),Siegesstraße 1 (1.OG)
319,kanto-victory-road-1,3f,136,Victory Road 1 (3F),Route Victoire 1 (2e ét.),Siegesstraße 1 (2.OG)
320,kanto-route-2,north-towards-pewter-city,137,"Road 2 (north, towards Pewter City)","Route 2 (nord, vers Argenta)","Route 2 (Norden, Richtung Mamoria City)"
321,viridian-forest,,138,Viridian Forest,Forêt de Jade,Vertania-Wald
323,cerulean-cave,1f,140,Cerulean Cave (1F),Caverne Azurée (RdC),Azuria-Höhle (EG)
324,cerulean-cave,2f,141,Cerulean Cave (2F),Caverne Azurée (étage),Azuria-Höhle (1.OG)
325,cerulean-cave,b1f,142,Cerulean Cave (B1F),Caverne Azurée (sous-sol),Azuria-Höhle (1.UG)
