move,flag
growl,protect
growl,reflectable
growl,mirror
growl,sound
growl,authentic
roar,reflectable
roar,mirror
roar,sound
roar,authentic
sing,protect
sing,reflectable
sing,mirror
sing,sound
sing,authentic
supersonic,protect
supersonic,reflectable
supersonic,mirror
supersonic,sound
supersonic,authentic
sonic-boom,protect
sonic-boom,mirror
disable,protect
disable,reflectable
disable,mirror
disable,authentic
disable,mental
acid,protect
acid,mirror
ember,protect
ember,mirror
flamethrower,protect
flamethrower,mirror
mist,snatch
water-gun,protect
water-gun,mirror
hydro-pump,protect
hydro-pump,mirror
surf,protect
surf,mirror
surf,non-sky-battle
ice-beam,protect
ice-beam,mirror
blizzard,protect
blizzard,mirror
psybeam,protect
psybeam,mirror
bubble-beam,protect
bubble-beam,mirror
aurora-beam,protect
aurora-beam,mirror
hyper-beam,recharge
hyper-beam,protect
hyper-beam,mirror
peck,contact
peck,protect
peck,mirror
peck,distance
drill-peck,contact
drill-peck,protect
drill-peck,mirror
drill-peck,distance
submission,contact
submission,protect
submission,mirror
low-kick,contact
low-kick,protect
low-kick,mirror
counter,contact
counter,protect
seismic-toss,contact
seismic-toss,protect
seismic-toss,mirror
seismic-toss,non-sky-battle
strength,contact
strength,protect
strength,mirror
absorb,protect
absorb,mirror
absorb,heal
mega-drain,protect
mega-drain,mirror
mega-drain,heal
leech-seed,protect
leech-seed,reflectable
leech-seed,mirror
growth,snatch
razor-leaf,protect
razor-leaf,mirror
solar-beam,charge
solar-beam,protect
solar-beam,mirror
poison-powder,protect
poison-powder,reflectable
poison-powder,mirror
poison-powder,powder
stun-spore,protect
stun-spore,reflectable
stun-spore,mirror
stun-spore,powder
sleep-powder,protect
sleep-powder,reflectable
sleep-powder,mirror
sleep-powder,powder
petal-dance,contact
petal-dance,protect
petal-dance,mirror
petal-dance,dance
string-shot,protect
string-shot,reflectable
string-shot,mirror
dragon-rage,protect
dragon-rage,mirror
fire-spin,protect
fire-spin,mirror
thunder-shock,protect
thunder-shock,mirror
thunderbolt,protect
thunderbolt,mirror
thunder-wave,protect
thunder-wave,reflectable
thunder-wave,mirror
thunder,protect
thunder,mirror
rock-throw,protect
rock-throw,mirror
earthquake,protect
earthquake,mirror
earthquake,non-sky-battle
fissure,protect
fissure,mirror
fissure,non-sky-battle
dig,contact
dig,charge
dig,protect
dig,mirror
dig,non-sky-battle
toxic,protect
toxic,reflectable
toxic,mirror
confusion,protect
confusion,mirror
psychic,protect
psychic,mirror
hypnosis,protect
hypnosis,reflectable
hypnosis,mirror
meditate,snatch
agility,snatch
quick-attack,contact
quick-attack,protect
quick-attack,mirror
rage,contact
rage,protect
rage,mirror
night-shade,protect
night-shade,mirror
mimic,protect
mimic,authentic
screech,protect
screech,reflectable
screech,mirror
screech,sound
screech,authentic
double-team,snatch
recover,snatch
recover,heal
harden,snatch
minimize,snatch
smokescreen,protect
smokescreen,reflectable
smokescreen,mirror
confuse-ray,protect
confuse-ray,reflectable
confuse-ray,mirror
withdraw,snatch
defense-curl,snatch
barrier,snatch
light-screen,snatch
haze,authentic
reflect,snatch
focus-energy,snatch
bide,contact
bide,protect
self-destruct,protect
self-destruct,mirror
egg-bomb,protect
egg-bomb,mirror
egg-bomb,ballistics
lick,contact
lick,protect
lick,mirror
smog,protect
smog,mirror
sludge,protect
sludge,mirror
bone-club,protect
bone-club,mirror
fire-blast,protect
fire-blast,mirror
waterfall,contact
waterfall,protect
waterfall,mirror
clamp,contact
clamp,protect
clamp,mirror
swift,protect
swift,mirror
skull-bash,contact
skull-bash,charge
skull-bash,protect
skull-bash,mirror
spike-cannon,protect
spike-cannon,mirror
constrict,contact
constrict,protect
constrict,mirror
amnesia,snatch
kinesis,protect
kinesis,reflectable
kinesis,mirror
soft-boiled,snatch
soft-boiled,heal
high-jump-kick,contact
high-jump-kick,protect
high-jump-kick,mirror
high-jump-kick,gravity
glare,protect
glare,reflectable
glare,mirror
dream-eater,protect
dream-eater,mirror
dream-eater,heal
poison-gas,protect
poison-gas,reflectable
poison-gas,mirror
barrage,protect
barrage,mirror
barrage,ballistics
leech-life,contact
leech-life,protect
leech-life,mirror
leech-life,heal
lovely-kiss,protect
lovely-kiss,reflectable
lovely-kiss,mirror
sky-attack,charge
sky-attack,protect
sky-attack,mirror
sky-attack,distance
bubble,protect
bubble,mirror
dizzy-punch,contact
dizzy-punch,protect
dizzy-punch,mirror
dizzy-punch,punch
spore,protect
spore,reflectable
spore,mirror
spore,powder
flash,protect
flash,reflectable
flash,mirror
psywave,protect
psywave,mirror
splash,gravity
acid-armor,snatch
crabhammer,contact
crabhammer,protect
crabhammer,mirror
explosion,protect
explosion,mirror
fury-swipes,contact
fury-swipes,protect
fury-swipes,mirror
bonemerang,protect
bonemerang,mirror
rest,snatch
rest,heal
rock-slide,protect
rock-slide,mirror
hyper-fang,contact
hyper-fang,protect
hyper-fang,mirror
hyper-fang,bite
sharpen,snatch
conversion,snatch
tri-attack,protect
tri-attack,mirror
super-fang,contact
super-fang,protect
super-fang,mirror
slash,contact
slash,protect
slash,mirror
substitute,snatch
substitute,non-sky-battle
struggle,contact
struggle,protect
sketch,authentic
triple-kick,contact
triple-kick,protect
triple-kick,mirror
thief,contact
thief,protect
thief,mirror
spider-web,protect
spider-web,reflectable
spider-web,mirror
mind-reader,protect
mind-reader,mirror
nightmare,protect
nightmare,mirror
flame-wheel,contact
flame-wheel,protect
flame-wheel,mirror
flame-wheel,defrost
snore,protect
snore,mirror
snore,sound
snore,authentic
curse,authentic
flail,contact
flail,protect
flail,mirror
conversion-2,authentic
aeroblast,protect
aeroblast,mirror
aeroblast,distance
cotton-spore,protect
cotton-spore,reflectable
cotton-spore,mirror
cotton-spore,powder
reversal,contact
reversal,protect
reversal,mirror
spite,protect
spite,reflectable
spite,mirror
spite,authentic
powder-snow,protect
powder-snow,mirror
mach-punch,contact
mach-punch,protect
mach-punch,mirror
mach-punch,punch
scary-face,protect
scary-face,reflectable
scary-face,mirror
feint-attack,contact
feint-attack,protect
feint-attack,mirror
sweet-kiss,protect
sweet-kiss,reflectable
sweet-kiss,mirror
belly-drum,snatch
sludge-bomb,protect
sludge-bomb,mirror
sludge-bomb,ballistics
mud-slap,protect
mud-slap,mirror
octazooka,protect
octazooka,mirror
octazooka,ballistics
spikes,reflectable
spikes,non-sky-battle
zap-cannon,protect
zap-cannon,mirror
zap-cannon,ballistics
foresight,protect
foresight,reflectable
foresight,mirror
foresight,authentic
destiny-bond,authentic
perish-song,sound
perish-song,distance
perish-song,authentic
icy-wind,protect
icy-wind,mirror
bone-rush,protect
bone-rush,mirror
lock-on,protect
lock-on,mirror
outrage,contact
outrage,protect
outrage,mirror
giga-drain,protect
giga-drain,mirror
giga-drain,heal
charm,protect
charm,reflectable
charm,mirror
rollout,contact
rollout,protect
rollout,mirror
false-swipe,contact
false-swipe,protect
false-swipe,mirror
swagger,protect
swagger,reflectable
swagger,mirror
milk-drink,snatch
milk-drink,heal
spark,contact
spark,protect
spark,mirror
fury-cutter,contact
fury-cutter,protect
fury-cutter,mirror
steel-wing,contact
steel-wing,protect
steel-wing,mirror
mean-look,reflectable
mean-look,mirror
attract,protect
attract,reflectable
attract,mirror
attract,authentic
attract,mental
heal-bell,snatch
heal-bell,sound
heal-bell,distance
heal-bell,authentic
return,contact
return,protect
return,mirror
present,protect
present,mirror
frustration,contact
frustration,protect
frustration,mirror
safeguard,snatch
pain-split,protect
pain-split,mirror
sacred-fire,protect
sacred-fire,mirror
sacred-fire,defrost
magnitude,protect
magnitude,mirror
magnitude,non-sky-battle
dynamic-punch,contact
dynamic-punch,protect
dynamic-punch,mirror
dynamic-punch,punch
megahorn,contact
megahorn,protect
megahorn,mirror
dragon-breath,protect
dragon-breath,mirror
encore,protect
encore,reflectable
encore,mirror
encore,authentic
encore,mental
pursuit,contact
pursuit,protect
pursuit,mirror
rapid-spin,contact
rapid-spin,protect
rapid-spin,mirror
sweet-scent,protect
sweet-scent,reflectable
sweet-scent,mirror
iron-tail,contact
iron-tail,protect
iron-tail,mirror
metal-claw,contact
metal-claw,protect
metal-claw,mirror
vital-throw,contact
vital-throw,protect
vital-throw,mirror
morning-sun,snatch
morning-sun,heal
synthesis,snatch
synthesis,heal
moonlight,snatch
moonlight,heal
hidden-power,protect
hidden-power,mirror
cross-chop,contact
cross-chop,protect
cross-chop,mirror
twister,protect
twister,mirror
crunch,contact
crunch,protect
crunch,mirror
crunch,bite
mirror-coat,protect
psych-up,authentic
extreme-speed,contact
extreme-speed,protect
extreme-speed,mirror
ancient-power,protect
ancient-power,mirror
shadow-ball,protect
shadow-ball,mirror
shadow-ball,ballistics
rock-smash,contact
rock-smash,protect
rock-smash,mirror
whirlpool,protect
whirlpool,mirror
beat-up,protect
beat-up,mirror
fake-out,contact
fake-out,protect
fake-out,mirror
uproar,protect
uproar,mirror
uproar,sound
uproar,authentic
stockpile,snatch
spit-up,protect
swallow,snatch
swallow,heal
heat-wave,protect
heat-wave,mirror
torment,protect
torment,reflectable
torment,mirror
torment,authentic
torment,mental
flatter,protect
flatter,reflectable
flatter,mirror
will-o-wisp,protect
will-o-wisp,reflectable
will-o-wisp,mirror
memento,protect
memento,mirror
facade,contact
facade,protect
facade,mirror
focus-punch,contact
focus-punch,protect
focus-punch,punch
smelling-salts,contact
smelling-salts,protect
smelling-salts,mirror
charge,snatch
taunt,protect
taunt,reflectable
taunt,mirror
taunt,authentic
taunt,mental
helping-hand,authentic
trick,protect
trick,mirror
role-play,authentic
wish,snatch
wish,heal
ingrain,snatch
ingrain,non-sky-battle
superpower,contact
superpower,protect
superpower,mirror
recycle,snatch
revenge,contact
revenge,protect
revenge,mirror
brick-break,contact
brick-break,protect
brick-break,mirror
yawn,protect
yawn,reflectable
yawn,mirror
knock-off,contact
knock-off,protect
knock-off,mirror
endeavor,contact
endeavor,protect
endeavor,mirror
eruption,protect
eruption,mirror
skill-swap,protect
skill-swap,mirror
skill-swap,authentic
imprison,snatch
imprison,authentic
refresh,snatch
grudge,authentic
snatch,authentic
secret-power,protect
secret-power,mirror
dive,contact
dive,charge
dive,protect
dive,mirror
dive,non-sky-battle
arm-thrust,contact
arm-thrust,protect
arm-thrust,mirror
camouflage,snatch
tail-glow,snatch
luster-purge,protect
luster-purge,mirror
mist-ball,protect
mist-ball,mirror
mist-ball,ballistics
feather-dance,protect
feather-dance,reflectable
feather-dance,mirror
feather-dance,dance
teeter-dance,protect
teeter-dance,mirror
teeter-dance,dance
blaze-kick,contact
blaze-kick,protect
blaze-kick,mirror
mud-sport,non-sky-battle
ice-ball,contact
ice-ball,protect
ice-ball,mirror
ice-ball,ballistics
needle-arm,contact
needle-arm,protect
needle-arm,mirror
slack-off,snatch
slack-off,heal
hyper-voice,protect
hyper-voice,mirror
hyper-voice,sound
hyper-voice,authentic
poison-fang,contact
poison-fang,protect
poison-fang,mirror
poison-fang,bite
crush-claw,contact
crush-claw,protect
crush-claw,mirror
blast-burn,recharge
blast-burn,protect
blast-burn,mirror
hydro-cannon,recharge
hydro-cannon,protect
hydro-cannon,mirror
meteor-mash,contact
meteor-mash,protect
meteor-mash,mirror
meteor-mash,punch
astonish,contact
astonish,protect
astonish,mirror
weather-ball,protect
weather-ball,mirror
weather-ball,ballistics
aromatherapy,snatch
aromatherapy,distance
fake-tears,protect
fake-tears,reflectable
fake-tears,mirror
air-cutter,protect
air-cutter,mirror
overheat,protect
overheat,mirror
odor-sleuth,protect
odor-sleuth,reflectable
odor-sleuth,mirror
odor-sleuth,authentic
rock-tomb,protect
rock-tomb,mirror
silver-wind,protect
silver-wind,mirror
metal-sound,protect
metal-sound,reflectable
metal-sound,mirror
metal-sound,sound
metal-sound,authentic
grass-whistle,protect
grass-whistle,reflectable
grass-whistle,mirror
grass-whistle,sound
grass-whistle,authentic
tickle,protect
tickle,reflectable
tickle,mirror
cosmic-power,snatch
water-spout,protect
water-spout,mirror
signal-beam,protect
signal-beam,mirror
shadow-punch,contact
shadow-punch,protect
shadow-punch,mirror
shadow-punch,punch
extrasensory,protect
extrasensory,mirror
sky-uppercut,contact
sky-uppercut,protect
sky-uppercut,mirror
sky-uppercut,punch
sand-tomb,protect
sand-tomb,mirror
sheer-cold,protect
sheer-cold,mirror
muddy-water,protect
muddy-water,mirror
muddy-water,non-sky-battle
bullet-seed,protect
bullet-seed,mirror
bullet-seed,ballistics
aerial-ace,contact
aerial-ace,protect
aerial-ace,mirror
aerial-ace,distance
icicle-spear,protect
icicle-spear,mirror
iron-defense,snatch
block,reflectable
block,mirror
howl,snatch
howl,sound
dragon-claw,contact
dragon-claw,protect
dragon-claw,mirror
frenzy-plant,recharge
frenzy-plant,protect
frenzy-plant,mirror
frenzy-plant,non-sky-battle
bulk-up,snatch
bounce,contact
bounce,charge
bounce,protect
bounce,mirror
bounce,gravity
bounce,distance
mud-shot,protect
mud-shot,mirror
poison-tail,contact
poison-tail,protect
poison-tail,mirror
covet,contact
covet,protect
covet,mirror
volt-tackle,contact
volt-tackle,protect
volt-tackle,mirror
magical-leaf,protect
magical-leaf,mirror
water-sport,non-sky-battle
calm-mind,snatch
leaf-blade,contact
leaf-blade,protect
leaf-blade,mirror
dragon-dance,snatch
dragon-dance,dance
rock-blast,protect
rock-blast,mirror
rock-blast,ballistics
shock-wave,protect
shock-wave,mirror
water-pulse,protect
water-pulse,mirror
water-pulse,distance
water-pulse,pulse
psycho-boost,protect
psycho-boost,mirror
roost,snatch
roost,heal
gravity,non-sky-battle
miracle-eye,protect
miracle-eye,reflectable
miracle-eye,mirror
miracle-eye,authentic
wake-up-slap,contact
wake-up-slap,protect
wake-up-slap,mirror
hammer-arm,contact
hammer-arm,protect
hammer-arm,mirror
hammer-arm,punch
gyro-ball,contact
gyro-ball,protect
gyro-ball,mirror
gyro-ball,ballistics
healing-wish,snatch
healing-wish,heal
brine,protect
brine,mirror
natural-gift,protect
natural-gift,mirror
feint,mirror
pluck,contact
pluck,protect
pluck,mirror
pluck,distance
tailwind,snatch
metal-burst,protect
metal-burst,mirror
u-turn,contact
u-turn,protect
u-turn,mirror
close-combat,contact
close-combat,protect
close-combat,mirror
payback,contact
payback,protect
payback,mirror
assurance,contact
assurance,protect
assurance,mirror
embargo,protect
embargo,reflectable
embargo,mirror
fling,protect
fling,mirror
psycho-shift,protect
psycho-shift,mirror
trump-card,contact
trump-card,protect
trump-card,mirror
heal-block,protect
heal-block,reflectable
heal-block,mirror
heal-block,mental
wring-out,contact
wring-out,protect
wring-out,mirror
power-trick,snatch
gastro-acid,protect
gastro-acid,reflectable
gastro-acid,mirror
lucky-chant,snatch
me-first,protect
me-first,authentic
power-swap,protect
power-swap,mirror
power-swap,authentic
guard-swap,protect
guard-swap,mirror
guard-swap,authentic
punishment,contact
punishment,protect
punishment,mirror
last-resort,contact
last-resort,protect
last-resort,mirror
worry-seed,protect
worry-seed,reflectable
worry-seed,mirror
sucker-punch,contact
sucker-punch,protect
sucker-punch,mirror
toxic-spikes,reflectable
toxic-spikes,non-sky-battle
heart-swap,protect
heart-swap,mirror
heart-swap,authentic
aqua-ring,snatch
magnet-rise,snatch
magnet-rise,gravity
flare-blitz,contact
flare-blitz,protect
flare-blitz,mirror
flare-blitz,defrost
force-palm,contact
force-palm,protect
force-palm,mirror
aura-sphere,protect
aura-sphere,mirror
aura-sphere,distance
aura-sphere,pulse
aura-sphere,ballistics
rock-polish,snatch
poison-jab,contact
poison-jab,protect
poison-jab,mirror
dark-pulse,protect
dark-pulse,mirror
dark-pulse,distance
dark-pulse,pulse
night-slash,contact
night-slash,protect
night-slash,mirror
aqua-tail,contact
aqua-tail,protect
aqua-tail,mirror
seed-bomb,protect
seed-bomb,mirror
seed-bomb,ballistics
air-slash,protect
air-slash,mirror
air-slash,distance
x-scissor,contact
x-scissor,protect
x-scissor,mirror
bug-buzz,protect
bug-buzz,mirror
bug-buzz,sound
bug-buzz,authentic
dragon-pulse,protect
dragon-pulse,mirror
dragon-pulse,distance
dragon-pulse,pulse
dragon-rush,contact
dragon-rush,protect
dragon-rush,mirror
power-gem,protect
power-gem,mirror
drain-punch,contact
drain-punch,protect
drain-punch,mirror
drain-punch,punch
drain-punch,heal
vacuum-wave,protect
vacuum-wave,mirror
focus-blast,protect
focus-blast,mirror
focus-blast,ballistics
energy-ball,protect
energy-ball,mirror
energy-ball,ballistics
brave-bird,contact
brave-bird,protect
brave-bird,mirror
brave-bird,distance
earth-power,protect
earth-power,mirror
earth-power,non-sky-battle
switcheroo,protect
switcheroo,mirror
giga-impact,contact
giga-impact,recharge
giga-impact,protect
giga-impact,mirror
nasty-plot,snatch
bullet-punch,contact
bullet-punch,protect
bullet-punch,mirror
bullet-punch,punch
avalanche,contact
avalanche,protect
avalanche,mirror
ice-shard,protect
ice-shard,mirror
shadow-claw,contact
shadow-claw,protect
shadow-claw,mirror
thunder-fang,contact
thunder-fang,protect
thunder-fang,mirror
thunder-fang,bite
ice-fang,contact
ice-fang,protect
ice-fang,mirror
ice-fang,bite
fire-fang,contact
fire-fang,protect
fire-fang,mirror
fire-fang,bite
shadow-sneak,contact
shadow-sneak,protect
shadow-sneak,mirror
mud-bomb,protect
mud-bomb,mirror
mud-bomb,ballistics
psycho-cut,protect
psycho-cut,mirror
zen-headbutt,contact
zen-headbutt,protect
zen-headbutt,mirror
mirror-shot,protect
mirror-shot,mirror
flash-cannon,protect
flash-cannon,mirror
rock-climb,contact
rock-climb,protect
rock-climb,mirror
defog,protect
defog,reflectable
defog,mirror
defog,authentic
trick-room,mirror
draco-meteor,protect
draco-meteor,mirror
discharge,protect
discharge,mirror
lava-plume,protect
lava-plume,mirror
leaf-storm,protect
leaf-storm,mirror
power-whip,contact
power-whip,protect
power-whip,mirror
rock-wrecker,recharge
rock-wrecker,protect
rock-wrecker,mirror
rock-wrecker,ballistics
cross-poison,contact
cross-poison,protect
cross-poison,mirror
gunk-shot,protect
gunk-shot,mirror
iron-head,contact
iron-head,protect
iron-head,mirror
magnet-bomb,protect
magnet-bomb,mirror
magnet-bomb,ballistics
stone-edge,protect
stone-edge,mirror
captivate,protect
captivate,reflectable
captivate,mirror
stealth-rock,reflectable
grass-knot,contact
grass-knot,protect
grass-knot,mirror
grass-knot,non-sky-battle
chatter,protect
chatter,mirror
chatter,sound
chatter,distance
chatter,authentic
judgment,protect
judgment,mirror
bug-bite,contact
bug-bite,protect
bug-bite,mirror
charge-beam,protect
charge-beam,mirror
wood-hammer,contact
wood-hammer,protect
wood-hammer,mirror
aqua-jet,contact
aqua-jet,protect
aqua-jet,mirror
attack-order,protect
attack-order,mirror
defend-order,snatch
heal-order,snatch
heal-order,heal
head-smash,contact
head-smash,protect
head-smash,mirror
double-hit,contact
double-hit,protect
double-hit,mirror
roar-of-time,recharge
roar-of-time,protect
roar-of-time,mirror
spacial-rend,protect
spacial-rend,mirror
lunar-dance,snatch
lunar-dance,heal
lunar-dance,dance
crush-grip,contact
crush-grip,protect
crush-grip,mirror
magma-storm,protect
magma-storm,mirror
dark-void,protect
dark-void,reflectable
dark-void,mirror
seed-flare,protect
seed-flare,mirror
ominous-wind,protect
ominous-wind,mirror
shadow-force,contact
shadow-force,charge
shadow-force,mirror
hone-claws,snatch
wide-guard,snatch
guard-split,protect
power-split,protect
wonder-room,mirror
psyshock,protect
psyshock,mirror
venoshock,protect
venoshock,mirror
autotomize,snatch
rage-powder,powder
telekinesis,protect
telekinesis,reflectable
telekinesis,mirror
telekinesis,gravity
magic-room,mirror
smack-down,protect
smack-down,mirror
smack-down,non-sky-battle
storm-throw,contact
storm-throw,protect
storm-throw,mirror
flame-burst,protect
flame-burst,mirror
sludge-wave,protect
sludge-wave,mirror
quiver-dance,snatch
quiver-dance,dance
heavy-slam,contact
heavy-slam,protect
heavy-slam,mirror
heavy-slam,non-sky-battle
synchronoise,protect
synchronoise,mirror
electro-ball,protect
electro-ball,mirror
electro-ball,ballistics
soak,protect
soak,reflectable
soak,mirror
flame-charge,contact
flame-charge,protect
flame-charge,mirror
coil,snatch
low-sweep,contact
low-sweep,protect
low-sweep,mirror
acid-spray,protect
acid-spray,mirror
acid-spray,ballistics
foul-play,contact
foul-play,protect
foul-play,mirror
simple-beam,protect
simple-beam,reflectable
simple-beam,mirror
entrainment,protect
entrainment,reflectable
entrainment,mirror
after-you,authentic
round,protect
round,mirror
round,sound
round,authentic
echoed-voice,protect
echoed-voice,mirror
echoed-voice,sound
echoed-voice,authentic
chip-away,contact
chip-away,protect
chip-away,mirror
clear-smog,protect
clear-smog,mirror
stored-power,protect
stored-power,mirror
quick-guard,snatch
scald,protect
scald,mirror
scald,defrost
shell-smash,snatch
heal-pulse,protect
heal-pulse,reflectable
heal-pulse,distance
heal-pulse,heal
heal-pulse,pulse
hex,protect
hex,mirror
sky-drop,contact
sky-drop,charge
sky-drop,protect
sky-drop,mirror
sky-drop,gravity
sky-drop,distance
shift-gear,snatch
circle-throw,contact
circle-throw,protect
circle-throw,mirror
incinerate,protect
incinerate,mirror
quash,protect
quash,mirror
acrobatics,contact
acrobatics,protect
acrobatics,mirror
acrobatics,distance
reflect-type,protect
reflect-type,authentic
retaliate,contact
retaliate,protect
retaliate,mirror
final-gambit,protect
bestow,mirror
bestow,authentic
inferno,protect
inferno,mirror
water-pledge,protect
water-pledge,mirror
water-pledge,non-sky-battle
fire-pledge,protect
fire-pledge,mirror
fire-pledge,non-sky-battle
grass-pledge,protect
grass-pledge,mirror
grass-pledge,non-sky-battle
volt-switch,protect
volt-switch,mirror
struggle-bug,protect
struggle-bug,mirror
bulldoze,protect
bulldoze,mirror
bulldoze,non-sky-battle
frost-breath,protect
frost-breath,mirror
dragon-tail,contact
dragon-tail,protect
dragon-tail,mirror
work-up,snatch
electroweb,protect
electroweb,mirror
wild-charge,contact
wild-charge,protect
wild-charge,mirror
drill-run,contact
drill-run,protect
drill-run,mirror
dual-chop,contact
dual-chop,protect
dual-chop,mirror
heart-stamp,contact
heart-stamp,protect
heart-stamp,mirror
horn-leech,contact
horn-leech,protect
horn-leech,mirror
horn-leech,heal
sacred-sword,contact
sacred-sword,protect
sacred-sword,mirror
razor-shell,contact
razor-shell,protect
razor-shell,mirror
heat-crash,contact
heat-crash,protect
heat-crash,mirror
heat-crash,non-sky-battle
leaf-tornado,protect
leaf-tornado,mirror
steamroller,contact
steamroller,protect
steamroller,mirror
cotton-guard,snatch
night-daze,protect
night-daze,mirror
psystrike,protect
psystrike,mirror
tail-slap,contact
tail-slap,protect
tail-slap,mirror
hurricane,protect
hurricane,mirror
hurricane,distance
head-charge,contact
head-charge,protect
head-charge,mirror
gear-grind,contact
gear-grind,protect
gear-grind,mirror
searing-shot,protect
searing-shot,mirror
searing-shot,ballistics
techno-blast,protect
techno-blast,mirror
relic-song,protect
relic-song,mirror
relic-song,sound
relic-song,authentic
secret-sword,protect
secret-sword,mirror
glaciate,protect
glaciate,mirror
bolt-strike,contact
bolt-strike,protect
bolt-strike,mirror
blue-flare,protect
blue-flare,mirror
fiery-dance,protect
fiery-dance,mirror
fiery-dance,dance
freeze-shock,charge
freeze-shock,protect
freeze-shock,mirror
ice-burn,charge
ice-burn,protect
ice-burn,mirror
snarl,protect
snarl,mirror
snarl,sound
snarl,authentic
icicle-crash,protect
icicle-crash,mirror
v-create,contact
v-create,protect
v-create,mirror
fusion-flare,protect
fusion-flare,mirror
fusion-flare,defrost
fusion-bolt,protect
fusion-bolt,mirror
flying-press,contact
flying-press,protect
flying-press,mirror
flying-press,gravity
flying-press,distance
flying-press,non-sky-battle
mat-block,snatch
mat-block,non-sky-battle
belch,protect
rototiller,distance
rototiller,non-sky-battle
sticky-web,reflectable
fell-stinger,contact
fell-stinger,protect
fell-stinger,mirror
phantom-force,contact
phantom-force,charge
phantom-force,mirror
trick-or-treat,protect
trick-or-treat,reflectable
trick-or-treat,mirror
noble-roar,protect
noble-roar,reflectable
noble-roar,mirror
noble-roar,sound
noble-roar,authentic
parabolic-charge,protect
parabolic-charge,mirror
parabolic-charge,heal
forests-curse,protect
forests-curse,reflectable
forests-curse,mirror
petal-blizzard,protect
petal-blizzard,mirror
freeze-dry,protect
freeze-dry,mirror
disarming-voice,protect
disarming-voice,mirror
disarming-voice,sound
disarming-voice,authentic
parting-shot,protect
parting-shot,reflectable
parting-shot,mirror
parting-shot,sound
parting-shot,authentic
topsy-turvy,protect
topsy-turvy,reflectable
topsy-turvy,mirror
draining-kiss,contact
draining-kiss,protect
draining-kiss,mirror
draining-kiss,heal
flower-shield,distance
grassy-terrain,non-sky-battle
misty-terrain,non-sky-battle
electrify,protect
electrify,mirror
play-rough,contact
play-rough,protect
play-rough,mirror
fairy-wind,protect
fairy-wind,mirror
moonblast,protect
moonblast,mirror
boomburst,protect
boomburst,mirror
boomburst,sound
boomburst,authentic
fairy-lock,mirror
fairy-lock,authentic
play-nice,reflectable
play-nice,mirror
play-nice,authentic
confide,reflectable
confide,mirror
confide,sound
confide,authentic
diamond-storm,protect
diamond-storm,mirror
steam-eruption,protect
steam-eruption,mirror
steam-eruption,defrost
hyperspace-hole,mirror
hyperspace-hole,authentic
water-shuriken,protect
water-shuriken,mirror
mystical-fire,protect
mystical-fire,mirror
aromatic-mist,authentic
eerie-impulse,protect
eerie-impulse,reflectable
eerie-impulse,mirror
venom-drench,protect
venom-drench,reflectable
venom-drench,mirror
powder,protect
powder,reflectable
powder,mirror
powder,authentic
powder,powder
geomancy,charge
