item,stat,amount,generation_start,generation_end
x-accuracy-6,accuracy,+6 stages,5,
x-attack,attack,+1 stage,1,6
x-attack,attack,+2 stages,7,
x-attack-2,attack,+2 stages,5,
x-attack-3,attack,+3 stages,5,
x-attack-6,attack,+6 stages,5,
x-defend-2,defense,+2 stages,5,
x-defend-3,defense,+3 stages,5,
x-defend-6,defense,+6 stages,5,
x-defense,defense,+2 stages,7,
x-defense,defense,+1 stage,1,6
x-sp-atk,special-attack,+2 stages,7,
x-sp-atk,special-attack,+1 stage,2,6
x-sp-atk-2,special-attack,+2 stages,5,
x-sp-atk-3,special-attack,+3 stages,5,
x-sp-atk-6,special-attack,+6 stages,5,
x-sp-def,special-defense,+2 stages,7,
x-sp-def,special-defense,+1 stage,4,6
x-sp-def-2,special-defense,+2 stages,5,
x-sp-def-3,special-defense,+3 stages,5,
x-sp-def-6,special-defense,+6 stages,5,
x-speed,speed,+1 stage,1,6
x-speed,speed,+2 stages,7,
x-speed-2,speed,+2 stages,5,
x-speed-3,speed,+3 stages,5,
x-speed-6,speed,+6 stages,5,
zinc,special-defense,+10 EVs,3,7
