item,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_fr_fr,name_de,name_es,name_es_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_cs,name_pt_br,name_pt_pt,name_ca,name_da,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hi_latn,name_hu,name_id,name_ms,name_nl,name_no,name_pl,name_ru,name_ru_latn,name_sv,name_ta,name_ta_latn,name_te,name_te_latn,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
luxury-ball,Luxury Ball,ゴージャスボール,ゴージャスボール,Gorgeous Ball,Luxe Ball,,Luxusball,Lujo Ball,Lujo Ball,Lujo Ball,Chic Ball,럭셔리볼,Luxury Ball,豪華球,豪华球,豪華球 / 豪华球,豪華球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Háohuá Qiú,Hòuhwàh Kàuh
premier-ball,Premier Ball,プレミアボール,プレミアボール,Premier Ball,Honor Ball,,Premierball,Honor Ball,Honor Ball,Honor Ball,Premier Ball,프리미어볼,Premier Ball,紀念球,纪念球,,,,Bola Presenteada,Bola Prémio,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusk-ball,Dusk Ball,ダークボール,ダークボール,Dāku Bōru,Sombre Ball,,Finsterball,Ocaso Ball,Ocaso Ball,Ocaso Ball,Scuro Ball,다크볼,Dark Ball,黑暗球,黑暗球,黑暗球,黑暗球,,Bola de Penumbra,Bola Crepúsculo,,,Hämäräpallo,,,,,,,Bola Dusk,,Schemerbal,,Mrokball,,,,,,,,ดาร์กบอล,Dark Ball,,,Hēi'àn Qiú,Hākam Kàuh
heal-ball,Heal Ball,ヒールボール,ヒールボール,Hīru Bōru,Soin Ball,,Heilball,Sana Ball,Sana Ball,Sana Ball,Cura Ball,힐볼,Hilbol,治癒球,治愈球,治癒球 / 治愈球,治癒球,,Bola de Cura,Bola de Cura,,,,,,,,,,,,,,,,,,,,,,,,,,Zhìyù Qiú,Jihyuh Kàuh
quick-ball,Quick Ball,クイックボール,クイックボール,Kuikku Bōru,Rapide Ball,,Flottball,Veloz Ball,Veloz Ball,Veloz Ball,Velox Ball,퀵볼,Quick Ball,先機球,先机球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherish-ball,Cherish Ball,プレシャスボール,プレシャスボール,Pureshasu Bōru,Mémoire Ball,,Jubelball,Gloria Ball,Gloria Ball,Gloria Ball,Pregio Ball,프레셔스볼,Precious Ball,貴重球,贵重球,貴重球 / 贵重球,貴重球,,Bola Estima,,,,,,,,,,,Bola Cherish,,,,,Драго-Болл,Drago-Boll,,,,,,พรีเชียสบอล,Precious Ball,,,Guìzhòng Qiú,Gwaijuhng Kàuh
potion,Potion,キズぐすり,キズぐすり,Kizu Gusuri,Potion,,Trank,Poción,,Poción,Pozione,상처약,Sangcheo Yak,傷藥,伤药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antidote,Antidote,どくけし,どくけし,Dokukeshi,Antidote,,Gegengift,Antídoto,,Antídoto,Antidoto,해독제,Haedokje,解毒藥,解毒药,,,,,,,,,,,,,,,,,,,,Противоядие,Protivoyadiye,,,,,,,,,,,
burn-heal,Burn Heal,やけどなおし,やけどなおし,,Anti-Brûle,,Feuerheiler,Antiquemar,Antiquemar,Antiquemar,Antiscottatura,화상치료제,Hwasang Chiryoje,灼傷藥,灼伤药,灼傷藥 / 灼伤药,灼傷藥,,Cura de Queimadura,,,,,,,,,,,,,,,Lek na Oparzenia,,,,,,,,,,,,Zhuóshāngyào,Cheuksēungyeuhk
ice-heal,Ice Heal,こおりなおし,こおりなおし,,Antigel,,Eisheiler,Antihielo,,Antihielo,Antigelo,얼음상태치료제,Eoreum Sangtae Chiryoje,解凍藥,解冻药,解冻药,解凍藥,,Descongelante,,,,,,,,,,,,,,,,,,,,,,,,,,Giải đông,Jiědòng Yào,Gáaidung Yeuhk
awakening,Awakening,ねむけざまし,ねむけざまし,Nemukezamashi,Réveil,,Aufwecker,Despertar,,Despertar,Sveglia,잠깨는약,Jam Kkaeneun Yak,解眠藥,解眠药,解眠藥 / 解眠药,解眠藥,,Despertar,,,Opvågning,,,,,,,,,,,,,,,Vakna,,,,,,,,,Jiěmiányào,Gáaimìhnyeuhk
paralyze-heal,Paralyze Heal,まひなおし,まひなおし,Mahi Naoshi,Anti-Para,,Para-Heiler,Antiparalizador,,Antiparalizador,Antiparalisi,마비치료제,Mabi Chiryoje,解麻藥,解麻药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-restore,Full Restore,かいふくのくすり,かいふくのくすり,Kaifuku no Kusuri,Guérison,,Top-Genesung,Restaurar Todo,Restaurar Todo,Restaurar Todo,Ricarica totale,회복약,Hoebok Yak,全復藥,全复药,全復藥 / 全复药,全復藥,,Restauração Completa,,,,Täyselvytys,,,,,,,,,,,Przywrócenie,,,,,,,,,,,,Quán Fùyào,Chyùhn Fuhkyeuhk
max-potion,Max Potion,まんたんのくすり,まんたんのくすり,Mantan no Kusuri,Potion Max,,Top-Trank,Poción Máxima,,Poción Máxima,Pozione Max,풀회복약,Full Hoebok Yak,全滿藥,全满药,全滿藥 / 全满药,全滿藥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quán Mǎnyào,Chyùhn Múhnyeuhk
hyper-potion,Hyper Potion,すごいキズぐすり,すごいキズぐすり,Sugoi Kizu Gusuri,Hyper Potion,,Hypertrank,Hiperpoción,,Hiperpoción,Iperpozione,고급상처약,Gogeup Sangcheo Yak,厲害傷藥,厉害伤药,厉害伤药,厲害傷藥,,,Hiperpoção,,,,,,,,,,,,,,,,,,,,,,ยารักษาแผลชั้นยอด,Ya Raksa Phlae Chanyot,,Thuốc trị thương,Lìhài Shāngyào,Leihhhoih Sēungyeuhk
super-potion,Super Potion,いいキズぐすり,いいキズぐすり,Ii Kizu Gusuri,Super Potion,,Supertrank,Superpoción,,Superpoción,Superpozione,좋은상처약,,好傷藥,好伤药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-heal,Full Heal,なんでもなおし,なんでもなおし,Nandemo Naoshi,Total Soin,,Hyperheiler,Cura Total,Cura Total,Cura Total,Cura totale,만병통치제,Manbyeongtongchije,萬靈藥,万灵药,萬靈藥 / 万灵药,萬靈藥,,Cura Total,,,,,,,,,,,,,Volledige Genezing,,,Полное Исцеление,Polnoye Istseleniye,,,,,,,,,,Wànlíngyào,Maahnlìhngyeuhk
revive,Revive,げんきのかけら,げんきのかけら,Genki no Kakera,Rappel,,Beleber,Revivir,,Revivir,Revitalizzante,기력의조각,Giryeog-ui Jogak,活力碎片,活力碎片,,,,,,,,,,,,,,,,,,,,Оживление,Ozhivleniye,,,,,,,,,,,
max-revive,Max Revive,げんきのかたまり,げんきのかたまり,Genki no Katamari,Rappel Max,,Top-Beleber,Revivir Máximo,,Revivir Máximo,Revitalizz. Max,기력의덩어리,Giryeog-ui Deong-eori,活力塊,活力块,活力塊,活力塊,,Máximo Reviver,,,,,,,,,,,,,,,,Максимальное Оживление,,,,,,,ยาคืนชีพชั้นยอด,,,Mảnh vỡ sinh lực,Huólì Kuài,Wuhtlihk Faai
fresh-water,Fresh Water,おいしいみず,おいしいみず,Oishii Mizu,Eau Fraîche,,Tafelwasser,Agua Fresca,,Agua Fresca,Acqua fresca,맛있는물,Masinneun Mul,美味之水,美味之水,美味之水,美味之水,,,Água Fresca,,,,,,,,,,,,,,,Питьевая Вода,Pit'yevaya Voda,,,,,,,,,Nước khoáng,Měiwèi zhī Shuǐ,Méihmeih jī Séui
soda-pop,Soda Pop,サイコソーダ,サイコソーダ,Saiko Soda,Soda Cool,,Sprudel,Refresco,Refresco,Refresco,Gassosa,미네랄사이다,Mineral Cider,勁爽汽水,劲爽汽水,,,,,Refrigerante,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemonade,Lemonade,ミックスオレ,ミックスオレ,Mix au Lait,Limonade,,Limonade,Limonada,,Limonada,Lemonsucco,후르츠밀크,Fruits Milk,果汁牛奶,果汁牛奶,果汁牛奶,果汁牛奶,,,Limonada,,,,,,,,,,,,,,Lemoniada,,,,,,,,,,,Nước trái cây thập cẩm,Guǒzhī Niúnǎi,Gwójāp Ngàuhnáaih
moomoo-milk,Moomoo Milk,モーモーミルク,モーモーミルク,Mōmō Miruku,Lait Meumeu,,Kuhmuh-Milch,Leche Mu-mu,,Leche Mu-mu,Latte Mumu,튼튼밀크,Teunteun Milk,哞哞鮮奶,哞哞鲜奶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-powder,Energy Powder,ちからのこな,ちからのこな,Chikara no Kona,Poudrénergie,,Energiestaub,Polvo Energía,,Polvo Energía,Polvenergia,힘의가루,Himui Garu,元氣粉,元气粉,元气粉,元氣粉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuánqì Fěn,Yùhnhei Fán
energy-root,Energy Root,ちからのねっこ,ちからのねっこ,Chikara no Nekko,Racinénergie,,Kraftwurzel,Raíz Energía,,Raíz Energía,Radicenergia,힘의뿌리,Himui Ppuri,元氣根,元气根,元氣根 / 元气根,元氣根,,,Raiz de Energia,,,Energiajuuri,,,,,,,,,,,Korzeń Energii,,,Energirot,,,,,,,,,Yuánqì Gēn,Yùhnhei Gān
heal-powder,Heal Powder,ばんのうごな,ばんのうごな,Bannō Gona,Poudre Soin,,Heilpuder,Polvo Curación,,Polvo Curación,Polvocura,만능가루,Manneung Garu,萬能粉,万能粉,万能粉,萬能粉,,,,,,Parannusjauhe,,,,,,,,,,,Leczniczy Proszek,,,,,,,,,,,,Wànnéng Fěn,Maahnnàhng Fán
revival-herb,Revival Herb,ふっかつそう,ふっかつそう,Fukkatsu-sō,Herbe Rappel,,Vitalkraut,Hierba Revivir,,Hierba Revivir,Vitalerba,부활초,Buhwal Cho,復活草,复活草,,,,Erva Reviver,,,,,,,,,,,,,Opwekkingskruid,,,,,,,,,,,,,,,
ether,Ether,ピーピーエイド,ピーピーエイド,Pīpī Eido,Huile,,Äther,Éter,,Éter,Etere,PP에이드,PP Aid,ＰＰ單項小補劑,ＰＰ单项小补剂,,,,Éter,,,,,,,,,,,,,,,,,,Eter,,,,,,,,Thuốc bổ trợ PP,,
max-ether,Max Ether,ピーピーリカバー,ピーピーリカバー,Pīpī Rikabā,Huile Max,,Top-Äther,Éter Máximo,,Éter Máximo,Etere Max,PP회복,PP Hoebok,ＰＰ單項全補劑,ＰＰ单项全补剂,ＰＰ單項全補劑,ＰＰ單項全補劑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP Dānxiàng Quánbǔjì,PP Dāanhohng Chyùhnbóujaih
elixir,Elixir,ピーピーエイダー,ピーピーエイダー,PP Aider,Élixir,,Elixier,Elixir,Elixir,Elixir,Elisir,PP에이더,PP Aider,ＰＰ多項小補劑,ＰＰ多项小补剂,ＰＰ多项小补剂,ＰＰ多項小補劑,,,Elixir,,,,,,,,,,,,,,,,,,,,,,,,,,PP Duōxiàng Xiǎobǔjì,PP Dōhohng Síubóujaih
max-elixir,Max Elixir,ピーピーマックス,ピーピーマックス,Pīpī Maksu,Élixir Max,,Top-Elixier,Elixir Máximo,,Elixir Máximo,Elisir Max,PP맥스,,ＰＰ多項全補劑,ＰＰ多项全补剂,ＰＰ多项全补剂,,,Elixir Máximo,,,,,,,,,,,,,,,,,,,,,,,,,,,PP Duōxiàng Quánbǔjì,
lava-cookie,Lava Cookie,フエンせんべい,フエンせんべい,Huen Senbei,Lava Cookie,,Lavakeks,Galleta Lava,,Galleta Lava,Lavottino,용암전병,Yong-am Jeonbyeong,釜炎仙貝,釜炎仙贝,釜炎仙貝 / 釜炎仙贝,釜炎仙貝,,Biscoito de Lava,,,,Laavakeksi,,,,,,,,,,,Lawociasteczko,,,,,,,,,,,Bánh gạo,Fǔyán Xiānbèi,Fúyìhm Sīnbui
berry-juice,Berry Juice,きのみジュース,きのみジュース,Kinomi Jūsu,Jus de Baie,,Beerensaft,Zumo de Baya,Zumo de Baya,Zumo de Baya,Succodibacca,나무열매쥬스,Namu Yeolmae Juice,樹果汁,树果汁,樹果汁 / 树果汁,樹果汁,,,,,,Marjamehu,,,,,,,,,,,Sok z Jagód,,,,,,,,,,,Nước quả,Shùguǒ Zhī,Syuhgwó Jāp
sacred-ash,Sacred Ash,せいなるはい,せいなるはい,Seinaru Hai,Cendre Sacrée,,Zauberasche,Ceniza Sagrada,,Ceniza Sagrada,Ceneremagica,성스러운분말,Seongseureoun Bunmal,聖灰,圣灰,,,,Cinza Sagrada,,,,,,,,,,,,,,,,Священный Пепел,Svyashchennyy Pepel,,,,,,ขี้เถ้าศักดิ์สิทธิ์,,,,,
hp-up,HP Up,マックスアップ,マックスアップ,Makkusu Appu,PV Plus,,KP-Plus,Más PS,,Más PS,PS-Su,맥스업,Maekseu-eop,ＨＰ增強劑,ＨＰ增强剂,,,,Elevador de HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protein,Protein,タウリン,タウリン,Taurine,Protéine,,Protein,Proteína,,Proteína,Proteina,타우린,Taurine,攻擊增強劑,攻击增强剂,,,,Proteína,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iron,Iron,ブロムヘキシン,ブロムヘキシン,Bromuhekusin,Fer,,Eisen,Hierro,,Hierro,Ferro,사포닌,Saponin,防禦增強劑,防御增强剂,防禦增強劑,防禦增強劑,,Ferro,,,,Rauta,,,,,,,,,,,Żelazo,,,,,,,,,,Demir,,Fángyù Zēngqiángjì,Fòhngyuh Jāngkèuhngjaih
carbos,Carbos,インドメタシン,インドメタシン,Indometacin,Carbone,,Carbon,Carburante,Carbohidratos,Carburante,Carburante,알칼로이드,Alkaloid,速度增強劑,速度增强剂,,,,Carbos,,,,Tankkaus,,,,,,,,,,,Węglowodany,,,,,,,,,,Karbon,,,
calcium,Calcium,リゾチウム,リゾチウム,Rizochiumu,Calcium,,Kalzium,Calcio,,Calcio,Calcio,리보플라빈,Riboflavin,特攻增強劑,特攻增强剂,,,,Cálcio,,,,Kalsium,,,,,,,,,,,,,,,,,,,,,Kalsiyum,,,
rare-candy,Rare Candy,ふしぎなアメ,ふしぎなアメ,Fushigi na Ame,Super Bonbon,,Sonderbonbon,Caramelo Raro,,Caramelo Raro,Caramella rara,이상한사탕,Isanghan Satang,神奇糖果,神奇糖果,神奇糖果,神奇糖果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shénqí Tángguǒ,Sàhnkèih Tòhnggwó
pp-up,PP Up,ポイントアップ,ポイントアップ,Pointo Appu,PP Plus,,AP-Plus,Más PP,,Más PP,PP-Su,포인트업,Point Up,ＰＰ提升劑,ＰＰ提升剂,ＰＰ提升劑,ＰＰ提升劑,,PP Up,,,,,,,,,,,,,,,,,,,,,,,ยาเพิ่มพลังงาน,Ya Phoem Phalangngan,,,PP Tíshēngjì,PP Tàihsīngjaih
zinc,Zinc,キトサン,キトサン,Chitosan,Zinc,,Zink,Zinc,,Zinc,Zinco,키토산,Chitosan,特防增強劑,特防增强剂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp-max,PP Max,ポイントマックス,ポイントマックス,Point Max,PP Max,,AP-Top,PP Máximos,,PP Máximos,PP-Max,포인트맥스,Point Max,ＰＰ極限提升劑,ＰＰ极限提升剂,ＰＰ极限提升剂,ＰＰ極限提升劑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP Jíxiàn Tíshēngjì,PP Gihkhaahn Tàihsīngjaih
old-gateau,Old Gateau,もりのヨウカン,もりのヨウカン,Mori no Yōkan,Vieux Gâteau,,Spezialität,Barrita Plus,,Barrita Plus,Dolce Gateau,숲의양갱,Supuiyanggaeng,森之羊羹,森之羊羹,森之羊羹,森之羊羹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sēn zhī Yánggēng,Sām jī Yèuhnggāng
guard-spec,Guard Spec.,エフェクトガード,エフェクトガード,Efekuto Gādo,Garde-Stats,,Megablock,Protección X,,Protección X,Superguardia,이펙트가드,Effect Guard,能力防守,能力防守,能力防守,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nénglì Fángshǒu,
dire-hit,Dire Hit,クリティカット,クリティカット,Criticut,Muscle +,,Angriffplus,Crítico X,,Crítico X,Supercolpo,크리티컬커터,Critical Cutter,要害攻擊,要害攻击,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x-attack,X Attack,プラスパワー,プラスパワー,Purasu Pawā,Attaque +,,X-Angriff,Ataque X,,Ataque X,Attacco X,플러스파워,Peulleoseu Pawŏ,力量強化,力量强化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x-defense,X Defense,ディフェンダー,ディフェンダー,Difenda,Défense +,,X-Verteidigung,Defensa X,,Defensa X,Difesa X,디펜드업,Defend-Up,防禦強化,防御强化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x-speed,X Speed,スピーダー,スピーダー,Supīdā,Vitesse +,,X-Initiative,Velocidad X,,Velocidad X,Velocità X,스피드업,Speed-Up,速度強化,速度强化,速度强化,速度強化,,Velocidade X,Velocidade X,,,,,,,,,,,,,,,,,,,,,,,,,,Sùdù Qiánghuà,Chūkdouh Kèuhngfa
x-accuracy,X Accuracy,ヨクアタール,ヨクアタール,Yoku Atāru,Précision +,,X-Genauigkeit,Precisión X,,Precisión X,Precisione X,잘-맞히기,Jal-Machigi,命中強化,命中强化,命中強化,,,,Precisão X,,,,,,,,,,,,,,,,,,,,,,,,,,Mìngzhòng Qiánghuà,
x-sp-atk,X Sp. Atk,スペシャルアップ,スペシャルアップ,Supesharu Appu,Atq. Spé. +,,X-Sp.-Ang.,At. Especial X,,At. Especial X,Att. Speciale X,스페셜업,Special Up,特攻強化,特攻强化,特攻強化 / 特攻强化,特攻強化 / 特殊能力增加器 / 特殊能力增加劑,,,Ataque Especial X,,,,,,,,,,,,,,,,,,,,,,,,,,Tègōng Qiánghuà,Dahkgūng Kèuhngfa / Dahksyùh Nàhnglihk Jānggāhei / Dahksyùh Nàhnglihk Jānggājāi
x-sp-def,X Sp. Def,スペシャルガード,スペシャルガード,Supesharu Gādo,Déf. Spé. +,,X-Sp.-Vert.,Def. Especial X,,Def. Especial X,Dif. Speciale X,스페셜가드,Special Guard,特防強化,特防强化,特防強化,特防强化,,,Defesa Especial X,,,,,,,,,,,,,,,,,,,,,,,,,,Tèfáng Qiánghuà,Dahkfòhng Kèuhngfa
poke-doll,Poké Doll,ピッピにんぎょう,ピッピにんぎょう,Pippi Ningyō,Poké Poupée,,Poképuppe,Poké Muñeco,,Poké Muñeco,Poké Bambola,삐삐인형,Ppippi Inhyeong,皮皮玩偶,皮皮玩偶,,,,Pokéboneco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluffy-tail,Fluffy Tail,エネコのシッポ,エネコのシッポ,Eneko no Shippo,Queue Skitty,,Eneco-Rute,Cola Skitty,Cola de Skitty,Cola Skitty,Coda Skitty,에나비꼬리,Enabi Kkori,向尾喵的尾巴,向尾喵的尾巴,向尾喵的尾巴,向尾喵的尾巴,,Cauda Macia,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiàngwěimiāo de Wěibā / Xiàngwěimiāo de Yǐba,Héungméihmēu dīk Méihbā
blue-flute,Blue Flute,あおいビードロ,あおいビードロ,Aoi Bīdoro,Flûte Bleue,,Blaue Flöte,Flauta Azul,,Flauta Azul,Flauto Blu,파랑비드로,Palang Vidro,藍色玻璃哨,蓝色玻璃哨,藍色玻璃哨 / 蓝色玻璃哨,藍色玻璃哨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lánsè Bōlí Shào,Làahmsīk Bōlēi Saau
yellow-flute,Yellow Flute,きいろビードロ,きいろビードロ,Yellow Vidro,Flûte Jaune,,Gelbe Flöte,Flauta Amarilla,,Flauta Amarilla,Flauto Giallo,노랑비드로,Nolang Vidro,黃色玻璃哨,黄色玻璃哨,黃色玻璃哨 / 黄色玻璃哨；黃色哨子 / 黄色哨子,黃色玻璃哨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huángsè Bōlí Shào；Huángsè Shàozi,Wòhngsīk Bōlēi Saau
red-flute,Red Flute,あかいビードロ,あかいビードロ,Akai Bīdoro,Flûte Rouge,,Rote Flöte,Flauta Roja,,Flauta Roja,Flauto Rosso,빨강비드로,Ppalgang Vidro,紅色玻璃哨,红色玻璃哨,紅色玻璃哨 / 红色玻璃哨,紅色玻璃哨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hóngsè Bōlí Shào,Hùhngsīk Bōlēi Saau
black-flute,Black Flute,くろいビードロ,くろいビードロ,Kuroi Bīdoro,Flûte Noire,,Schwarze Flöte,Flauta Negra,,Flauta Negra,Flauto Nero,검정비드로,Geomjeong Vidro,黑色玻璃哨,黑色玻璃哨,黑色玻璃哨,黑色玻璃哨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hēisè Bōlí Shào,Hāaksīk Bōlēi Saau
white-flute,White Flute,しろいビードロ,しろいビードロ,Shiroi Bīdoro,Flûte Blanche,,Weiße Flöte,Flauta Blanca,,Flauta Blanca,Flauto Bianco,하양비드로,Hayang Vidro,白色玻璃哨,白色玻璃哨,白色玻璃哨,白色玻璃哨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Báisè Bōlí Shào,Baahksīk Bōlēi Saau
shoal-salt,Shoal Salt,あさせのしお,あさせのしお,,Sel Tréfonds,,Küstensalz,Sal Cardumen,,Sal Cardumen,Sale Ondoso,여울소금,Yeoul Sogeum,淺灘海鹽,浅滩海盐,淺灘海鹽 / 浅滩海盐,淺灘海鹽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qiǎntān Hǎiyán,Chíntāan Hóiyìhm
shoal-shell,Shoal Shell,あさせのかいがら,あさせのかいがら,Asase no Kaigara,CoquilleTréfonds,,Küstenschale,Concha Cardumen,Concha Cardumen,Concha Cardumen,Gusciondoso,여울조개껍질,Yeoul Jogaekkeopjil,淺灘貝殼,浅滩贝壳,淺灘貝殼 / 浅滩贝壳,淺灘貝殼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qiǎntān Bèiké,Chíntāan Buihok
red-shard,Red Shard,あかいかけら,あかいかけら,Akai Kakera,Tesson Rouge,,Purpurstück,Parte Roja,Parte Roja,Parte Roja,Coccio Rosso,빨강조각,Ppalgang Jogak,紅色碎片,红色碎片,红色碎片,紅色碎片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hóngsè Suìpiàn,Hùhngsīk Seuipín
blue-shard,Blue Shard,あおいかけら,あおいかけら,Aoi Kakera,Tesson Bleu,,Indigostück,Parte Azul,Parte Azul,Parte Azul,Coccio Blu,파랑조각,Parang Jogak,藍色碎片,蓝色碎片,藍色碎片,藍色碎片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lánsè Suìpiàn,Làahmsīk Seuipín
yellow-shard,Yellow Shard,きいろいかけら,きいろいかけら,Kiiroi Kakera,Tesson Jaune,,Gelbstück,Parte Amarilla,Parte Amarilla,Parte Amarilla,Coccio Giallo,노랑조각,Norang Jogak,黃色碎片,黄色碎片,黃色碎片 / 黄色碎片,黃色碎片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huángsè Suìpiàn,Wòhngsīk Seuipín
green-shard,Green Shard,みどりのかけら,みどりのかけら,Midori no Kakera,Tesson Vert,,Grünstück,Parte Verde,Parte Verde,Parte Verde,Coccio Verde,초록조각,Chorok Jogak,綠色碎片,绿色碎片,綠色碎片 / 绿色碎片,綠色碎片,,Caco Verde,,,,,,,,,,,,,,,,Зелёный стекляшка,Zelyonyy steklyashka,,,,,,,,,,Lǜsè Suìpiàn,Luhksīk Seuipín
