identifier,id,condition,is_default,name_en,name_fr,name_de
item-helix-fossil,46,item,0,Have Helix Fossil in bag,En ayant un Nautile dans le sac,
item-dome-fossil,47,item,0,Have Dome Fossil in bag,En ayant un Fossile Dôme dans le sac,
item-old-amber,48,item,0,Have Old Amber in bag,En ayant un Vieil Ambre dans le sac,
item-root-fossil,49,item,0,Have Root Fossil in bag,En ayant un Fossile Racine dans le sac,
item-claw-fossil,50,item,0,Have Claw Fossil in bag,En ayant un Fossile Griffe dans le sac,
story-progress-defeat-jupiter,51,story-progress,0,Defeat Jupiter,Après avoir vaincu Jupiter,
story-progress-beat-team-galactic-iron-island,52,story-progress,0,Defeat Team Galactic at Iron Island,Après avoir vaincu la Team Galaxie sur l’Île de Fer,
other-correct-password,53,other,0,Input correct password,Après avoir saisi le bon mot de passe,
story-progress-zephyr-badge,54,story-progress,0,Obtained Zephyr badge,En ayant obtenu le badge Zéphir,
story-progress-beat-red,55,story-progress,0,Defeat Red,Après avoir vaincu Red,
other-received-kanto-starter,56,other,0,Received a Kanto Starter,Après avoir recu un starter de Kanto,
story-progress-receive-tm-from-claire,57,story-progress,0,Received TM59 From Claire,Après avoir reçu la CT59 de Claire,
other-regirock-regice-registeel-in-party,58,other,0,"Have Regirock, Regice and Registeel in the party","En ayant Regirock, Regice et Registeel dans l’équipe",
weekday-sunday,59,weekday,0,Sunday,Le dimanche,
weekday-monday,60,weekday,0,Monday,Le lundi,
weekday-tuesday,61,weekday,0,Tuesday,Le mardi,
weekday-wednesday,62,weekday,0,Wednesday,Le mercredi,
weekday-thursday,63,weekday,0,Thursday,Le jeudi,
weekday-friday,64,weekday,0,Friday,Le vendredi,
weekday-saturday,65,weekday,0,Saturday,Le samedi,
first-party-pokemon-high-friendship,66,first-party-pokemon,0,The first Pokémon in the player’s party has a high friendship stat,Si le premier Pokémon de l’équipe a une stat d’amitié élevée,
story-progress-defeat-mars,67,story-progress,0,Beat Mars for the first time,Après deux victoires face à Mars,
item-odd-keystone,68,item,0,Have Odd Keystone in bag,En ayant une Clé de Voûte dans le sac,
other-talked-to-32-people-underground,69,other,0,Has talked to at least 32 people in the underground,Après avoir parlé à 32 personnes dans les souterrains,
story-progress-returned-machine-part,70,story-progress,0,Returned Machine Part to Power Plant,Après avoir rapporté la pièce de machine à la centrale,
other-event-arceus-in-party,71,other,0,Have an Event Arceus in the party,En ayant un Arceus événementiel dans l’équipe,
special-encounter-couldnt-capture-before,72,special-encounter,0,This special Pokémon couldn’t be captured in previous encounters (either fainted or ran from battle),Ce Pokémon spécial ne pouvait pas être capturé auparavant (doit avoir été vaincu ou avoir fui le combat),
item-ice-key,73,item,0,Have Ice Key in bag,Avoir la Clé Iceberg dans le sac,
item-iron-key,74,item,0,Have Iron Key in bag,Avoir la Clé Fer dans le sac,
story-progress-juniper-cave-of-being,75,story-progress,0,Spoke to Professor Juniper in the Cave of Being,Parler au Professeur Keteleeria dans la Caverne des Esprits,
item-lunar-wing,76,item,0,Have Lunar Wing in bag,Avoir la Plume Lune dans le sac,
story-progress-quake-badge,77,story-progress,0,Obtained Quake Badge,Obtenir le Badge Sismique,
item-light-stone,78,item,0,Have Light Stone in bag,Avoir le Galet Blanc dans le sac,
item-dark-stone,79,item,0,Have Dark Stone in bag,Avoir le Galet Noir dans le sac,
other-captured-reshiram-or-zekrom,80,other,0,Captured Reshiram or Zekrom previously,Avoir capturé Reshiram ou Zekrom précédemment,
defeated-ghetsis,81,story-progress,0,Defeated Ghetsis,Avoir battu Ghetis,
other-found-11-times-roaming,82,other,0,Has been unsuccesfully battled 11 times before,A été combattu 11 fois avant sans succès,
time-minute-00-to-19,83,time,0,The current minute is between 00 and 19,La minute actuelle est entre 00 et 19,
time-minute-20-to-39,84,time,0,The current minute is between 20 and 39,La minute actuelle est entre 20 et 39,
time-minute-40-to-59,85,time,0,The current minute is between 40 and 59,La minute actuelle est entre 40 et 59,
time-04-00-to-19-59,86,time,0,The current time is between 04:00 and 19:59,L'heure actuelle est entre 04:00 et 19:59,
time-20-00-to-21-59,87,time,0,The current time is between 20:00 and 21:59,L'heure actuelle est entre 20:00 et 21:59,
time-21-00-to-03-59,88,time,0,The current time is between 22:00 and 03:59,L'heure actuelle est entre 22:00 et 03:59,
item-tidal-bell,89,item,0,Have Tidal Bell in bag,Avoir le Glas Tempête dans le sac,
item-clear-bell,90,item,0,Have Clear Bell in bag,Avoir le Glas Transparent dans le sac,
story-progress-defeated-groudon-or-kyogre,91,story-progress,0,Defeated or captured Groudon or Kyogre,Avoir battu ou capturé Groudon ou Kyogre,
other-uxie-mesprit-azelf-in-party,92,other,0,"Have Uxie, Mesprit, and Azelf in the party","Avoir Créhelf, Créfollet et Créfadet dans l'équipe",
other-nicknamed-cold-item-regice-regirock-registeel3,93,other,0,"After capturing the three regis in the game, have a nicknamed Regice holding a cold-based item, plus Regirock and Registeel in the party","Après avoir capturé les trois Régis du jeu, avoir un Regice surnommé portant un objet relatif à la glace, plus Regirock et Registeel dans l'équipe",
other-dialga-or-palkia-in-party,94,other,0,Have Dialga or Palkia in the party,Avoir Dialga ou Palkia dans l'équipe,
other-castform-in-party,95,other,0,Have Castform in party,Avoir Morphéo dans l'équipe,
other-level-100-pokemon-in-party,96,other,0,Have a Level 100 Pokémon in party,Avoir un Pokémon Niveau 100 dans l'équipe,
other-tornadus-thundurus-in-party,97,other,0,Have Tornadus and Thundurus in party,Avoir Boréas et Fulguris dans l'équipe,
other-reshiram-zekrom-in-party,98,other,0,Have Reshiram and Zekrom in party,Avoir Reshiram et Zekrom dans l'équipe,
other-captured-all-ultra-beasts,99,other,0,Captured all Ultra Beasts,Avoir capturé toutes les Ultra-Chimères,
story-progress-finished-looker-sidequest,100,story-progress,0,Finished Looker’s Sidequest,Avoir fini la quête secondaire de Beladonis,
story-progress-beat-olivias-trial,101,story-progress,0,After finishing Olivia’s trial,Après avoir fini l'Épreuve d'Alyxia,
other-raikou-entei-in-party,102,other,0,Have Raikou and Entei in party,Avoir Raikou et Entei dans l'équipe,
other-groudon-kyogre-in-party,103,other,0,Have Groudon and Kyogre in party,Avoir Groudon et Kyogre dans l'équipe,
other-dialga-palkia-in-party,104,other,0,Have Dialga and Palkia in party,Avoir Dialga et Palkia dans l'équipe,
other-scan-qr-code,105,other,0,Scan a specific QR Code,Scanner un code QR spécifique,
other-caught-articuno,106,other,0,,,
other-caught-zapdos,107,other,0,,,
other-caught-moltres,108,other,0,,,
trade-togepi-or-togetic,109,trade,1,Give Togepi or Togetic in a Trade,,
trade-trapinch,110,trade,1,Give Trapunch in a Trade,,
trade-surskit,111,trade,1,Give Surskit in a Trade,,
trade-wooper,112,trade,1,Give Wooper in a Trade,,
story-progress-catch-all-shadow-pokemon,113,story-progress,0,Catch all 82 Shadow Pokemon and Mirror B will appear in Gateon with a Shadow Dragonite,,
other-complete-mt-battle,114,story-progress,0,Complete Mt. Battle to receive a special prize Pokemon,,
coins-180,115,coins,1,Have at least 180 coins in your Coin Case,,
coins-500,116,coins,1,Have at least 500 coins in your Coin Case,,
coins-1200,117,coins,1,Have at least 1200 coins in your Coin Case,,
coins-2800,118,coins,1,Have at least 2800 coins in your Coin Case,,
coins-5500,119,coins,1,Have at least 5500 coins in your Coin Case,,
coins-9999,120,coins,1,Have at least 9999 coins in your Coin Case,,
coins-120,121,coins,1,Have at least 120 coins in your Coin Case,,
coins-750,122,coins,1,Have at least 750 coins in your Coin Case,,
coins-2500,123,coins,1,Have at least 2500 coins in your Coin Case,,
coins-4600,124,coins,1,Have at least 4600 coins in your Coin Case,,
coins-6500,125,coins,1,Have at least 6500 coins in your Coin Case,,
coins-230,126,coins,1,Have at least 230 coins in your Coin Case,,
coins-1000,127,coins,1,Have at least 1000 coins in your Coin Case,,
coins-2680,128,coins,1,Have at least 2680 coins in your Coin Case,,
coins-3333,129,coins,1,Have at least 3333 coins in your Coin Case,,
coins-6666,130,coins,1,Have at least 6666 coins in your Coin Case,,
coins-200,131,coins,1,Have at least 200 coins in your Coin Case,,
coins-700,132,coins,1,Have at least 700 coins in your Coin Case,,
coins-2100,133,coins,1,Have at least 2100 coins in your Coin Case,,
coins-100,134,coins,1,Have at least 100 coins in your Coin Case,,
coins-800,135,coins,1,Have at least 800 coins in your Coin Case,,
coins-1500,136,coins,1,Have at least 1500 coins in your Coin Case,,
coins-2222,137,coins,1,Have at least 2222 coins in your Coin Case,,
coins-5555,138,coins,1,Have at least 5555 coins in your Coin Case,,
coins-8888,139,coins,1,Have at least 8888 coins in your Coin Case,,
coins-150,140,coins,1,Have at least 150 coins in your Coin Case,,
coins-620,141,coins,1,Have at least 620 coins in your Coin Case,,
coins-2880,142,coins,1,Have at least 2880 coins in your Coin Case,,
coins-5400,143,coins,1,Have at least 5400 coins in your Coin Case,,
coins-8300,144,coins,1,Have at least 8300 coins in your Coin Case,,
trade-abra,145,trade,1,Give Abra in a Trade,,
trade-nidoran-m,146,trade,1,Give Nidoran-M in a Trade,,
trade-nidorino,147,trade,1,Give Nidorino in a Trade,,
trade-slowbro,148,trade,1,Give Slowbro in a Trade,,
trade-poliwhirl,149,trade,1,Give Poliwhirl in a Trade,,
trade-spearow,150,trade,1,Give Spearow in a Trade,,
trade-raichu,151,trade,1,Give Raichu in a Trade,,
trade-venonat,152,trade,1,Give Venonat in a Trade,,
trade-ponyta,153,trade,1,Give Ponyta in a Trade,,
trade-clefairy,154,trade,1,Give Clefairy in a Trade,,
trade-cubone,155,trade,1,Give Cubone in a Trade,,
trade-lickitung,156,trade,1,Give Lickitung in a Trade,,
trade-tangela,157,trade,1,Give Tangela in a Trade,,
trade-golduck,158,trade,1,Give Golduck in a Trade,,
trade-growlithe,159,trade,1,Give Growlithe in a Trade,,
trade-kangaskhan,160,trade,1,Give Kangaskhan in a Trade,,
trade-bellsprout,161,trade,1,Give Bellsprout in a Trade,,
trade-drowzee,162,trade,1,Give Drowzee in a Trade,,
trade-krabby,163,trade,1,Give Krabby in a Trade,,
trade-dragonair,164,trade,1,Give Dragonair in a Trade,,
trade-chansey,165,trade,1,Give Chansey in a Trade,,
trade-gloom,166,trade,1,Give Gloom in a Trade,,
trade-haunter,167,trade,1,Give Haunter in a Trade,,
trade-dugtrio,168,trade,1,Give Dugtrio in a Trade,,
trade-slakoth,169,trade,1,Give Slakoth in a Trade,,
trade-pikachu,170,trade,1,Give Pikachu in a Trade,,
trade-bellossom,171,trade,1,Give Bellossom in a Trade,,
trade-ralts,172,trade,1,Give Ralts in a Trade,,
trade-volbeat,173,trade,1,Give Volbeat in a Trade,,
trade-bagon,174,trade,1,Give Bagon in a Trade,,
trade-skitty,175,trade,1,Give Skitty in a Trade,,
friend-safari-slot-1,176,friend-safari-slot,1,Randomly assigned to Friend Safari Slot 1,,
friend-safari-slot-2,177,friend-safari-slot,1,Randomly assigned to Friend Safari Slot 2,,
friend-safari-slot-3,178,friend-safari-slot,1,Randomly assigned to Friend Safari Slot 3,,
item-skull-fossil,179,item,0,Have Skull Fossil in bag,,
item-armor-fossil,180,item,0,Have Armor Fossil in bag,,
great-marsh-daily-slot-none,181,great-marsh-daily-slot,1,Great Marsh Daily Chance: None,,
great-marsh-daily-slot-1-of-32,182,great-marsh-daily-slot,0,Great Marsh Daily Chance: 1 in 32,,
great-marsh-daily-slot-2-of-32,183,great-marsh-daily-slot,0,Great Marsh Daily Chance: 2 in 32,,
great-marsh-daily-slot-3-of-32,184,great-marsh-daily-slot,0,Great Marsh Daily Chance: 3 in 32,,
great-marsh-daily-slot-5-of-32,185,great-marsh-daily-slot,0,Great Marsh Daily Chance: 5 in 32,,
story-progress-before-national-dex,186,story-progress,0,Before National Pokédex,,
great-marsh-daily-slot-4-of-32,187,great-marsh-daily-slot,0,Great Marsh Daily Chance: 4 in 32,,
great-marsh-daily-slot-15-of-32,188,great-marsh-daily-slot,0,Great Marsh Daily Chance: 15 in 32,,
honey-tree-group-a,189,honey-tree-group,0,Honey Tree Group A (70% on normal trees / 20% on Munchlax trees),,
honey-tree-group-b,190,honey-tree-group,0,Honey Tree Group B (20% on normal trees / 70% on Munchlax trees),,
honey-tree-group-c,191,honey-tree-group,0,Honey Tree Group C (0% on normal trees / 1% on Munchlax trees),,
headbutt-tree-common,192,headbutt-tree,0,Headbutt Tree (Common),,
headbutt-tree-rare,193,headbutt-tree,0,Headbutt Tree (Rare),,
headbutt-tree-secret,194,headbutt-tree,0,Headbutt Tree (Secret),,
trade-cottonee,195,trade,1,Give Cottonee in a Trade,,
trade-petilil,196,trade,1,Give Petilil in a Trade,,
trade-emolga,197,trade,1,Give Emolga in a Trade,,
trade-mantine,198,trade,1,Give Mantine in a Trade,,
trade-ditto,199,trade,1,Give Ditto in a Trade,,
trade-excadrill,200,trade,1,Give Excadrill in a Trade,,
trade-hippowdon,201,trade,1,Give Hippowdon in a Trade,,
backlot-not-mentioned,202,backlot,1,Mr. Backlot hasn't mentioned any Pokemon,,
backlot-mentioned,203,backlot,0,Mr. Backlot has mentioned seeing this Pokemon in the garden,,
bug-catching-contest-no,204,bug-catching-contest,1,Not during the Bug-Catching Contest,,
bug-catching-contest-yes,205,bug-catching-contest,0,During the Bug-Catching Contest,,
save-data-from-lets-go-pikachu,206,save-data,0,Have save data from Let's Go Pikachu,,
save-data-from-lets-go-eevee,207,save-data,0,Have save data from Let's Go Eevee,,
item-fossilized-bird,208,item,0,Have Fossilized Bird in bag,,
item-fossilized-drake,209,item,0,Have Fossilized Drake in bag,,
item-fossilized-dino,210,item,0,Have Fossilized Dino in bag,,
item-fossilized-fish,211,item,0,Have Fossilized Fish in bag,,
story-progress-master-dojo-complete-first-trial,212,story-progress,0,Complete the Master Dojo's first trial,,
story-progress-master-dojo-complete-third-trial,213,story-progress,0,Complete all three Master Dojo trials,,
alolan-diglett-found-5,214,alolan-diglett-found,0,Find 5 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-10,215,alolan-diglett-found,0,Find 10 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-20,216,alolan-diglett-found,0,Find 20 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-30,217,alolan-diglett-found,0,Find 30 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-40,218,alolan-diglett-found,0,Find 40 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-50,219,alolan-diglett-found,0,Find 50 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-75,220,alolan-diglett-found,0,Find 75 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-100,221,alolan-diglett-found,0,Find 100 Alolan Diglett in Isle of Armor,,
alolan-diglett-found-150,222,alolan-diglett-found,0,Find 150 Alolan Diglett in Isle of Armor,,
starter-grookey,223,starter,0,Grookey as starter,,
starter-scorbunny,224,starter,0,Scorbunny as starter,,
starter-sobble,225,starter,0,Sobble as starter,,
story-progress-save-village-from-glastrier-spectrier,226,story-progress,0,Save Freezington from the onslaught from Glastrier or Spectrier,,
story-progress-catch-five-ultra-beasts,227,story-progress,0,Catch 5 Ultra Beasts in Dynamax Adventures,,
trade-bunnelby,228,trade,1,Give Bunnelby in a Trade,,
trade-meowth-galar,229,trade,1,Give Galarian Meowth in a Trade,,
trade-minccino,230,trade,1,Give Minccino in a Trade,,
trade-toxel,231,trade,1,Give Toxel in a Trade,,
trade-maractus,232,trade,1,Give Maractus in a Trade,,
trade-yamask-galar,233,trade,1,Give Galarian Yamask in a Trade,,
trade-vanillish,234,trade,1,Give Vanillish in a Trade,,
trade-obstagoon,235,trade,1,Give Obstagoon in a Trade,,
trade-frosmoth,236,trade,1,Give Frosmoth in a Trade,,
trade-farfetchd-galar,237,trade,1,Give Galarian Farfetch'd in a Trade,,
trade-corsola-galar,238,trade,1,Give Galarian Corsola in a Trade,,
trade-ponyta-galar,239,trade,1,Give Galarian Ponyta in a Trade,,
trade-mr-mime-galar,240,trade,1,Give Galarian Mr. Mime in a Trade,,
trade-darumaka-galar,241,trade,1,Give Galarian Darumaka in a Trade,,
trade-zigzagoon-galar,242,trade,1,Give Galarian Zigzagoon in a Trade,,
trade-stunfisk-galar,243,trade,1,Give Galarian Stunfisk in a Trade,,
trade-weezing-galar,244,trade,1,Give Galarian Weezing in a Trade,,
trade-exeggutor,245,trade,1,Give Exeggutor in a Trade,,
trade-marowak,246,trade,1,Give Marowak in a Trade,,
weather-normal,247,max-den-rating,1,During normal weather,,
weather-overcast,248,max-den-rating,0,During overcast weather,,
weather-raining,249,max-den-rating,0,During rainy weather,,
weather-thunderstorm,250,max-den-rating,0,During a thunderstorm,,
weather-snowing,251,max-den-rating,0,During snowy weather,,
weather-snowstorm,252,max-den-rating,0,During a snowstorm,,
weather-sandstorm,253,max-den-rating,0,During a sandstorm,,
weather-intense-sun,254,max-den-rating,0,During intense sun,,
weather-fog,255,max-den-rating,0,During foggy weather,,
story-progress-before-hall-of-fame,256,story-progress,1,Before entering the Hall of Fame,,
johto-safari-blocks-inactive,257,johto-safari-blocks,1,Not replaced by block-based encounter,,
johto-safari-blocks-plains-min-2,258,johto-safari-blocks,0,At least 2 Plains block points placed,,
johto-safari-blocks-plains-min-3,259,johto-safari-blocks,0,At least 3 Plains block points placed,,
johto-safari-blocks-plains-min-4,260,johto-safari-blocks,0,At least 4 Plains block points placed,,
johto-safari-blocks-plains-min-5,261,johto-safari-blocks,0,At least 5 Plains block points placed,,
johto-safari-blocks-plains-min-6,262,johto-safari-blocks,0,At least 6 Plains block points placed,,
johto-safari-blocks-plains-min-10,263,johto-safari-blocks,0,At least 10 Plains block points placed,,
johto-safari-blocks-plains-min-12,264,johto-safari-blocks,0,At least 12 Plains block points placed,,
johto-safari-blocks-plains-min-14,265,johto-safari-blocks,0,At least 14 Plains block points placed,,
johto-safari-blocks-plains-min-15,266,johto-safari-blocks,0,At least 15 Plains block points placed,,
johto-safari-blocks-plains-min-24,267,johto-safari-blocks,0,At least 24 Plains block points placed,,
johto-safari-blocks-plains-min-28,268,johto-safari-blocks,0,At least 28 Plains block points placed,,
johto-safari-blocks-plains-min-35,269,johto-safari-blocks,0,At least 35 Plains block points placed,,
johto-safari-blocks-plains-min-49,270,johto-safari-blocks,0,At least 49 Plains block points placed,,
johto-safari-blocks-forest-min-3,271,johto-safari-blocks,0,At least 3 Forest block points placed,,
johto-safari-blocks-forest-min-4,272,johto-safari-blocks,0,At least 4 Forest block points placed,,
johto-safari-blocks-forest-min-5,273,johto-safari-blocks,0,At least 5 Forest block points placed,,
johto-safari-blocks-forest-min-8,274,johto-safari-blocks,0,At least 8 Forest block points placed,,
johto-safari-blocks-forest-min-10,275,johto-safari-blocks,0,At least 10 Forest block points placed,,
johto-safari-blocks-forest-min-14,276,johto-safari-blocks,0,At least 14 Forest block points placed,,
johto-safari-blocks-forest-min-15,277,johto-safari-blocks,0,At least 15 Forest block points placed,,
johto-safari-blocks-forest-min-18,278,johto-safari-blocks,0,At least 18 Forest block points placed,,
johto-safari-blocks-forest-min-20,279,johto-safari-blocks,0,At least 20 Forest block points placed,,
johto-safari-blocks-forest-min-28,280,johto-safari-blocks,0,At least 28 Forest block points placed,,
johto-safari-blocks-forest-min-35,281,johto-safari-blocks,0,At least 35 Forest block points placed,,
johto-safari-blocks-forest-min-42,282,johto-safari-blocks,0,At least 42 Forest block points placed,,
johto-safari-blocks-forest-min-49,283,johto-safari-blocks,0,At least 49 Forest block points placed,,
johto-safari-blocks-forest-min-56,284,johto-safari-blocks,0,At least 56 Forest block points placed,,
johto-safari-blocks-peak-min-3,285,johto-safari-blocks,0,At least 3 Peak block points placed,,
johto-safari-blocks-peak-min-4,286,johto-safari-blocks,0,At least 4 Peak block points placed,,
johto-safari-blocks-peak-min-5,287,johto-safari-blocks,0,At least 5 Peak block points placed,,
johto-safari-blocks-peak-min-6,288,johto-safari-blocks,0,At least 6 Peak block points placed,,
johto-safari-blocks-peak-min-8,289,johto-safari-blocks,0,At least 8 Peak block points placed,,
johto-safari-blocks-peak-min-10,290,johto-safari-blocks,0,At least 10 Peak block points placed,,
johto-safari-blocks-peak-min-15,291,johto-safari-blocks,0,At least 15 Peak block points placed,,
johto-safari-blocks-peak-min-21,292,johto-safari-blocks,0,At least 21 Peak block points placed,,
johto-safari-blocks-peak-min-24,293,johto-safari-blocks,0,At least 24 Peak block points placed,,
johto-safari-blocks-peak-min-28,294,johto-safari-blocks,0,At least 28 Peak block points placed,,
johto-safari-blocks-peak-min-35,295,johto-safari-blocks,0,At least 35 Peak block points placed,,
johto-safari-blocks-peak-min-42,296,johto-safari-blocks,0,At least 42 Peak block points placed,,
johto-safari-blocks-peak-min-49,297,johto-safari-blocks,0,At least 49 Peak block points placed,,
johto-safari-blocks-peak-min-56,298,johto-safari-blocks,0,At least 56 Peak block points placed,,
johto-safari-blocks-peak-min-63,299,johto-safari-blocks,0,At least 63 Peak block points placed,,
johto-safari-blocks-water-min-2,300,johto-safari-blocks,0,At least 2 Water block points placed,,
johto-safari-blocks-water-min-3,301,johto-safari-blocks,0,At least 3 Water block points placed,,
johto-safari-blocks-water-min-4,302,johto-safari-blocks,0,At least 4 Water block points placed,,
johto-safari-blocks-water-min-5,303,johto-safari-blocks,0,At least 5 Water block points placed,,
johto-safari-blocks-water-min-6,304,johto-safari-blocks,0,At least 6 Water block points placed,,
johto-safari-blocks-water-min-7,305,johto-safari-blocks,0,At least 7 Water block points placed,,
johto-safari-blocks-water-min-8,306,johto-safari-blocks,0,At least 8 Water block points placed,,
johto-safari-blocks-water-min-9,307,johto-safari-blocks,0,At least 9 Water block points placed,,
johto-safari-blocks-water-min-10,308,johto-safari-blocks,0,At least 10 Water block points placed,,
johto-safari-blocks-water-min-12,309,johto-safari-blocks,0,At least 12 Water block points placed,,
johto-safari-blocks-water-min-13,310,johto-safari-blocks,0,At least 13 Water block points placed,,
johto-safari-blocks-water-min-14,311,johto-safari-blocks,0,At least 14 Water block points placed,,
johto-safari-blocks-water-min-15,312,johto-safari-blocks,0,At least 15 Water block points placed,,
johto-safari-blocks-water-min-16,313,johto-safari-blocks,0,At least 16 Water block points placed,,
johto-safari-blocks-water-min-18,314,johto-safari-blocks,0,At least 18 Water block points placed,,
johto-safari-blocks-water-min-20,315,johto-safari-blocks,0,At least 20 Water block points placed,,
johto-safari-blocks-water-min-24,316,johto-safari-blocks,0,At least 24 Water block points placed,,
johto-safari-blocks-water-min-28,317,johto-safari-blocks,0,At least 28 Water block points placed,,
johto-safari-blocks-water-min-35,318,johto-safari-blocks,0,At least 35 Water block points placed,,
johto-safari-blocks-water-min-42,319,johto-safari-blocks,0,At least 42 Water block points placed,,
johto-safari-blocks-water-min-49,320,johto-safari-blocks,0,At least 49 Water block points placed,,
item-cover-fossil,321,item,0,Have Cover Fossil in bag,,
item-plume-fossil,322,item,0,Have Plume Fossil in bag,,
other-giratina-not-caught-in-distortion-world,323,other,0,Did not catch Giratina in the Distortion World,,
other-find-50-cavern-footprints,324,other,0,Find 50 sets of Cavern Footprints in The Crown Tundra,,
other-find-50-grassland-footprints,325,other,0,Find 50 sets of Grassland Footprints in The Crown Tundra,,
other-find-50-iron-will-footprints,326,other,0,Find 50 sets of Iron Will Footprints in The Crown Tundra,,
other-regirock-regice-registeel-regieleki-regidrago-in-party,327,other,0,"Have Regirock, Regice, Registeel, Regieleki, and Regidrago in the party",,
other-choose-regieleki-pattern,328,other,0,Activate the pattern for Regieleki in the Split-Decision Ruins.,,
other-choose-regidrago-pattern,329,other,0,Activate the pattern for Regidrago in the Split-Decision Ruins.,,
other-grow-iceroot-carrot,330,other,0,Grow an Iceroot Carrot while helping Calyrex.,,
