identifier,id,generation,source
rattled,155,5,both
magic-bounce,156,5,both
sap-sipper,157,5,both
prankster,158,5,both
sand-force,159,5,both
iron-barbs,160,5,both
zen-mode,161,5,both
victory-star,162,5,both
turboblaze,163,5,both
teravolt,164,5,both
aroma-veil,165,6,both
flower-veil,166,6,both
cheek-pouch,167,6,both
protean,168,6,both
fur-coat,169,6,both
magician,170,6,both
bulletproof,171,6,both
competitive,172,6,both
strong-jaw,173,6,both
refrigerate,174,6,both
sweet-veil,175,6,both
stance-change,176,6,both
gale-wings,177,6,both
mega-launcher,178,6,both
grass-pelt,179,6,both
symbiosis,180,6,both
tough-claws,181,6,both
pixilate,182,6,both
gooey,183,6,both
aerilate,184,6,both
parental-bond,185,6,both
dark-aura,186,6,both
fairy-aura,187,6,both
aura-break,188,6,both
primordial-sea,189,6,both
desolate-land,190,6,both
delta-stream,191,6,both
stamina,192,7,both
wimp-out,193,7,both
emergency-exit,194,7,both
water-compaction,195,7,both
merciless,196,7,both
shields-down,197,7,both
stakeout,198,7,both
water-bubble,199,7,both
steelworker,200,7,both
berserk,201,7,both
slush-rush,202,7,both
long-reach,203,7,both
liquid-voice,204,7,both
triage,205,7,both
galvanize,206,7,both
surge-surfer,207,7,both
schooling,208,7,both
disguise,209,7,both
battle-bond,210,7,both
power-construct,211,7,both
corrosion,212,7,both
comatose,213,7,both
queenly-majesty,214,7,both
innards-out,215,7,both
dancer,216,7,both
battery,217,7,both
fluffy,218,7,both
dazzling,219,7,both
soul-heart,220,7,both
tangling-hair,221,7,both
receiver,222,7,both
power-of-alchemy,223,7,both
beast-boost,224,7,both
rks-system,225,7,both
electric-surge,226,7,both
psychic-surge,227,7,both
misty-surge,228,7,both
grassy-surge,229,7,both
full-metal-body,230,7,both
shadow-shield,231,7,both
prism-armor,232,7,both
neuroforce,233,7,both
intrepid-sword,234,8,both
dauntless-shield,235,8,both
libero,236,8,both
ball-fetch,237,8,both
cotton-down,238,8,both
propeller-tail,239,8,both
mirror-armor,240,8,both
gulp-missile,241,8,both
stalwart,242,8,both
steam-engine,243,8,both
punk-rock,244,8,both
sand-spit,245,8,both
ice-scales,246,8,both
ripen,247,8,both
ice-face,248,8,both
power-spot,249,8,both
mimicry,250,8,both
screen-cleaner,251,8,both
steely-spirit,252,8,both
perish-body,253,8,both
wandering-spirit,254,8,both
gorilla-tactics,255,8,both
neutralizing-gas,256,8,both
pastel-veil,257,8,both
hunger-switch,258,8,both
quick-draw,259,8,both
unseen-fist,260,8,both
curious-medicine,261,8,both
transistor,262,8,both
dragons-maw,263,8,both
chilling-neigh,264,8,both
grim-neigh,265,8,both
as-one-glastrier,266,8,both
as-one-spectrier,267,8,both
lingering-aroma,268,9,both
seed-sower,269,9,both
thermal-exchange,270,9,both
anger-shell,271,9,both
purifying-salt,272,9,both
well-baked-body,273,9,both
wind-rider,274,9,both
guard-dog,275,9,both
rocky-payload,276,9,both
wind-power,277,9,both
zero-to-hero,278,9,both
commander,279,9,both
electromorphosis,280,9,both
protosynthesis,281,9,both
quark-drive,282,9,both
good-as-gold,283,9,both
vessel-of-ruin,284,9,both
sword-of-ruin,285,9,both
tablets-of-ruin,286,9,both
beads-of-ruin,287,9,both
orichalcum-pulse,288,9,both
hadron-engine,289,9,both
opportunist,290,9,both
cud-chew,291,9,both
sharpness,292,9,both
supreme-overlord,293,9,both
costar,294,9,both
toxic-debris,295,9,both
armor-tail,296,9,both
earth-eater,297,9,both
mycelium-might,298,9,both
minds-eye,299,9,both
supersweet-syrup,300,9,both
hospitality,301,9,both
toxic-chain,302,9,both
embody-aspect,303,9,both
tera-shift,304,9,both
tera-shell,305,9,both
teraform-zero,306,9,both
poison-puppeteer,307,9,both
piercing-drill,308,9,pokeapi
dragonize,309,9,pokeapi
mega-sol,310,9,pokeapi
spicy-spray,311,9,pokeapi
eelevate,312,9,pokeapi
fire-mane,313,9,pokeapi
aura-guard,314,9,pokeapi
