identifier,id,version_group,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans
sun,27,sun-moon,Sun,,サン,,Soleil,Sonne,Sol,Sol,Sole,썬,太陽,太阳
moon,28,sun-moon,Moon,,ムーン,,Lune,Mond,Luna,Luna,Luna,문,月亮,月亮
ultra-sun,29,ultra-sun-ultra-moon,Ultra Sun,,ウルトラサン,,Ultra-Soleil,Ultrasonne,Ultrasol,Ultrasol,Ultrasole,울트라썬,究極之日,究极之日
ultra-moon,30,ultra-sun-ultra-moon,Ultra Moon,,ウルトラムーン,,Ultra-Lune,Ultramond,Ultraluna,Ultraluna,Ultraluna,울트라문,究極之月,究极之月
lets-go-pikachu,31,lets-go-pikachu-lets-go-eevee,"Let’s Go, Pikachu!",,Let’s Go! ピカチュウ,,"Let’s Go, Pikachu","Let’s Go, Pikachu!","Let’s Go, Pikachu!","Let’s Go, Pikachu!","Let’s Go, Pikachu!",레츠고! 피카츄,Let’s Go！皮卡丘,Let’s Go！皮卡丘
lets-go-eevee,32,lets-go-pikachu-lets-go-eevee,"Let’s Go, Eevee!",,Let’s Go! イーブイ,,"Let’s Go, Évoli","Let’s Go, Evoli!","Let’s Go, Eevee!","Let’s Go, Eevee!","Let’s Go, Eevee!",레츠고! 이브이,Let’s Go！伊布,Let’s Go！伊布
sword,33,sword-shield,Sword,,ソード,,Épée,Schwert,Espada,Espada,Spada,소드,劍,剑
shield,34,sword-shield,Shield,,シールド,,Bouclier,Schild,Escudo,Escudo,Scudo,실드,盾,盾
the-isle-of-armor-sword,35,the-isle-of-armor,Sword: The Isle of Armor,,ソード: 鎧の孤島,,Épée: L’île solitaire de l’Armure,Schwert: Die Insel der Rüstung,Espada: La isla de la armadura,Espada: La isla de la armadura,Spada: L’isola solitaria dell’armatura,소드: 갑옷의 외딴섬,劍: 鎧之孤島,剑: 铠之孤岛
the-crown-tundra-sword,36,the-crown-tundra,Sword: The Crown Tundra,,ソード: 冠の雪原,,Épée: Les terres enneigées de la Couronne,Schwert: Die Schneelande der Krone,Espada: Las nieves de la corona,Espada: Las nieves de la corona,Spada: Le terre innevate della corona,소드: 왕관의 설원,劍: 冠之雪原,剑: 冠之雪原
brilliant-diamond,37,brilliant-diamond-shining-pearl,Brilliant Diamond,,ブリリアントダイヤモンド,,Diamant Étincelant,Strahlender Diamant,Diamante Brillante,Diamante Brillante,Diamante Lucente,브릴리언트 다이아몬드,晶燦鑽石,晶灿钻石
shining-pearl,38,brilliant-diamond-shining-pearl,Shining Pearl,,シャイニングパール,,Perle Scintillante,Leuchtende Perle,Perla Reluciente,Perla Reluciente,Perla Splendente,샤이닝 펄,明亮珍珠,明亮珍珠
legends-arceus,39,legends-arceus,Legends: Arceus,,LEGENDS アルセウス,,Légendes : Arceus,Legenden: Arceus,Leyendas: Arceus,Leyendas: Arceus,Leggende: Arceus,LEGENDS 아르세우스,傳說 阿爾宙斯,传说 阿尔宙斯
scarlet,40,scarlet-violet,Scarlet,,スカーレット,,Écarlate,Karmesin,Escarlata,Escarlata,Scarlatto,스칼렛,朱,朱
violet,41,scarlet-violet,Violet,,バイオレット,,Violet,Purpur,Púrpura,Púrpura,Violetto,바이올렛,紫,紫
the-teal-mask-scarlet,42,the-teal-mask,Scarlet: The Teal Mask,,スカーレット: 碧の仮面,,Écarlate: Le Masque Turquoise,Karmesin: Die Türkisgrüne Maske,Escarlata: La máscara turquesa,Escarlata: La máscara turquesa,Scarlatto: La maschera turchese,,,朱: 碧之假面
the-indigo-disk-scarlet,43,the-indigo-disk,Scarlet: The Indigo Disk,,スカーレット: 藍の円盤,,Écarlate: Le Disque Indigo,Karmesin: Die Indigoblaue Scheibe,Escarlata: El disco índigo,Escarlata: El disco índigo,Scarlatto: Il disco indaco,,,朱: 藍之圓盤
legends-za,47,legends-za,Legends: Z-A,レジェンズ Z-A,レジェンズ Z-A,Legends Z-A,Légendes : Z-A,Legenden: Z-A,Leyendas: Z-A,Leyendas: Z-A,Leggende: Z-A,LEGENDS Z-A,傳說 Z-A,传说 Z-A
mega-dimension,48,mega-dimension,Mega Dimension,,,,Méga-Dimension,Mega-Dimension,Megadimensión,Megadimensión,Megadimensione,메가 차원 러시,超次元爆湧,超次元爆涌
champions,49,champions,Champions,,,,,,,,,,,
the-isle-of-armor-shield,50,the-isle-of-armor,Shield: The Isle of Armor,,シールド: 鎧の孤島,,Bouclier: L’île solitaire de l’Armure,Schild: Die Insel der Rüstung,Escudo: La isla de la armadura,Escudo: La isla de la armadura,Scudo: L’isola solitaria dell’armatura,실드: 갑옷의 외딴섬,盾: 鎧之孤島,盾: 铠之孤岛
the-crown-tundra-shield,51,the-crown-tundra,Shield: The Crown Tundra,,シールド: 冠の雪原,,Bouclier: Les terres enneigées de la Couronne,Schild: Die Schneelande der Krone,Escudo: Las nieves de la corona,Escudo: Las nieves de la corona,Scudo: Le terre innevate della corona,실드: 왕관의 설원,盾: 冠之雪原,盾: 冠之雪原
the-teal-mask-violet,52,the-teal-mask,Violet: The Teal Mask,,バイオレット: 碧の仮面,,Violet: Le Masque Turquoise,Purpur: Die Türkisgrüne Maske,Púrpura: La máscara turquesa,Púrpura: La máscara turquesa,Violetto: La maschera turchese,,,紫: 碧之假面
the-indigo-disk-violet,53,the-indigo-disk,Violet: The Indigo Disk,,バイオレット: 藍の円盤,,Violet: Le Disque Indigo,Purpur: Die Indigoblaue Scheibe,Púrpura: El disco índigo,Púrpura: El disco índigo,Violetto: Il disco indaco,,,紫: 藍之圓盤
