pokemon,form,version_group,versions,location_area,method,levels,rate_overall,trade_for,note,rate_night,rate_morning,rate_day
aerodactyl,aerodactyl,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-mining-museum,revive,1,one,,{Old Amber;ITEM;old-amber},,,
aipom,aipom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
anorith,anorith,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-mining-museum,revive,1,one,,{Claw Fossil;ITEM;claw-fossil},,,
arceus,arceus-normal,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,hall-of-origin,special-encounter,80,,,Respawns after entering the Hall of Fame if run from or defeated,,,
ariados,ariados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
ariados,ariados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
ariados,ariados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-229-sinnoh,walking-tall-grass,52,,,,20%,,
ariados,ariados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
ariados,ariados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond,fuego-ironworks,poke-radar,29 - 30,22%,,,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,16 - 63,varies,,Sandshrew,,,
aron,aron,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
articuno,articuno,brilliant-diamond-shining-pearl,shining-pearl,ramanas-park-kanto-room,special-encounter,70,one,,Inser the {Kanto Slate;ITEM;kanto-slate} to battle.,,,
azelf,azelf,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-valor-sinnoh,special-encounter,50,one,,Appears after dealing with {Dialga;POKEMON;dialga} {Brilliant Diamond;GAME;brilliant-diamond} / {Palkia;POKEMON;palkia} {Shining Pearl;GAME;shining-pearl}. Respawns after entering the Hall of Fame if run from or defeated,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,24,100%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,24,100%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,22,100%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,22,100%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,20,5%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,20,100%,,,,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,"Pre-National PokéDex only, 2/32 selection chance",,,
azurill,azurill,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
bagon,bagon,brilliant-diamond-shining-pearl,shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bagon,bagon,brilliant-diamond-shining-pearl,shining-pearl,route-210-sinnoh-northern-foggy-part,poke-radar,25 - 26,22%,,,,,
bagon,bagon,brilliant-diamond-shining-pearl,shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bagon,bagon,brilliant-diamond-shining-pearl,shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
baltoy,baltoy,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
baltoy,baltoy,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
baltoy,baltoy,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,16 - 63,varies,,Sandshrew,,,
baltoy,baltoy,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-206-sinnoh,poke-radar,14 - 16,22%,,,,,
baltoy,baltoy,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-225-sinnoh,walking-tall-grass,"50, 52",,,,20%,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-226-sinnoh,walking-tall-grass,"51, 53",,,,20%,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-227-sinnoh,walking-tall-grass,54,,,,10%,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
banette,banette,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stark-mountain-outside,walking-tall-grass,54,,,,10%,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,celestic-town,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,eterna-city,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,fishing-good-rod,15 - 20,40%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-southern-1f-oreburgh-city-hearthome-city-side,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-b1f,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-gate-b1f,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ravaged-path,fishing-good-rod,15 - 20,40%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ravaged-path,fishing-good-rod,10 - 25,5%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-northern-part,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-southern-area,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-227-sinnoh,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-228-sinnoh,fishing-good-rod,10 - 25,45%,,,,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
barboach,barboach,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
beautifly,beautifly,brilliant-diamond-shining-pearl,brilliant-diamond,eterna-forest,walking-tall-grass,12,2%,,,,,
beautifly,beautifly,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-224-sinnoh,walking-tall-grass,23,5%,,,,,
beautifly,beautifly,brilliant-diamond-shining-pearl,brilliant-diamond,route-230-sinnoh,walking-tall-grass,51,10%,,,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,16 - 63,varies,,Sandshrew,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-228-sinnoh,swarm,53,40%,,,,,
beldum,beldum,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,whiteout-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-229-sinnoh,walking-tall-grass,"20, 22",5%,,,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-230-sinnoh,walking-tall-grass,"18, 23",11%,,,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bellsprout,bellsprout,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,25,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,25,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,23,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,23,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,21,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,21,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,"Pre-National PokéDex only, 1/32 selection chance",,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-acuity-sinnoh,walking-tall-grass,34 - 35,,,,25%,35%,35%
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-valor-sinnoh,walking-tall-grass,34 - 36,45%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sendoff-spring,walking-tall-grass,52 - 54,45%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,walking-tall-grass,17 - 18,10%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-209-sinnoh,walking-tall-grass,16 - 18,,,,35%,35%,45%
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,walking-tall-grass,24,20%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-southern-area,walking-tall-grass,"18, 20",25%,,,,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-southern-area,walking-tall-grass,19,,,,,10%,10%
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bibarel,bibarel,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valor-lakefront,walking-tall-grass,21 - 22,15%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,26,100%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,26,100%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,24,100%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,24,100%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,22,5%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,22,100%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,"Pre-National PokéDex only, 1/32 selection chance",,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-verity-sinnoh,walking-tall-grass,2 - 4,,,,60%,50%,50%
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-201-sinnoh,walking-tall-grass,2 - 3,,,,60%,50%,50%
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-202-sinnoh,walking-tall-grass,2 - 4,30%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-203-sinnoh,walking-tall-grass,4 - 6,15%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-south,walking-tall-grass,"4, 6",25%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-north,walking-tall-grass,"6, 8",25%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-southern-part,walking-tall-grass,9,10%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-northern-part,walking-tall-grass,10 - 12,45%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,walking-tall-grass,16,20%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-western-part,walking-tall-grass,12 - 13,25%,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-western-part,walking-tall-grass,14,,,,,10%,10%
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,,,,
bidoof,bidoof,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valley-windworks,walking-tall-grass,8,10%,,,,,
bonsly,bonsly,brilliant-diamond-shining-pearl,shining-pearl,route-209-sinnoh,walking-tall-grass,16,,,,5%,25%,5%
bonsly,bonsly,brilliant-diamond-shining-pearl,shining-pearl,route-210-sinnoh-southern-part,walking-tall-grass,18,,,,,20%,
bonsly,bonsly,brilliant-diamond-shining-pearl,shining-pearl,route-210-sinnoh-southern-part,walking-tall-grass,20,5%,,,,,
bonsly,bonsly,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-2f,walking-around,38,20%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-3f,walking-around,38,20%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f,walking-around,38 - 40,25%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-2,walking-around,38 - 40,25%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-3,walking-around,38 - 40,25%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-5f,walking-around,40 - 42,25%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-6f,walking-around,40 - 42,25%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-tunnel-room,walking-around,39 - 40,5%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-mountainside,walking-tall-grass,39 - 40,5%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-before-encountering-pillar,walking-around,45 - 46,35%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-first-and-second-pillar,walking-around,55 - 56,35%,,,,,
bronzong,bronzong,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-second-and-third-pillar,walking-around,65 - 66,35%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,glacial-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,icy-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-2f,walking-around,36,5%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-3f,walking-around,36,5%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-206-sinnoh,walking-tall-grass,15,10%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,25 - 63,varies,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-before-encountering-pillar,walking-around,44,5%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-first-and-second-pillar,walking-around,54,5%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-second-and-third-pillar,walking-around,64,5%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,wayward-cave-1f,walking-around,14 - 16,40%,,,,,
bronzor,bronzor,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,wayward-cave-b1f,walking-around,15 - 17,40%,,,,,
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,eterna-forest,walking-tall-grass,10,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,eterna-forest,walking-tall-grass,11 - 12,19%,,,,,
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,varies,,,,,
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,24,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,24,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,22,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,22,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,20,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,20,,,,,10%,10%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,,,,
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-south,walking-tall-grass,4 - 5,,,,15%,25%,25%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-north,walking-tall-grass,6 - 7,,,,15%,25%,25%
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-northern-area,walking-tall-grass,16,30%,,,,,
budew,budew,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,,,,
