identifier,name,description
berry-tree,Berry (Tree),"A <b>Berry tree</b> is an overworld feature in Pokémon games where players can collect Berries. These trees have appeared across several game generations, often at fixed locations. Players can harvest Berries daily and sometimes encounter wild Pokémon when interacting with the trees.<br/><br/>

<b>Generations 2 to 6</b><br/>
In Generation 2 ({GS;GAME;gold-silver} and {CRYSTAL;GAME;crystal}), Berry trees were scattered across the {Kanto;REGION;kanto} and {Johto;REGION;johto} regions. Each tree yielded one Berry per day, but no wild Pokémon were encountered with these trees.<br/><br/>
In Generations 3 to 5, players could plant Berries in soft soil, and Berry trees would grow over time. While planting and harvesting were the main mechanics, these generations did not feature Pokémon encounters tied to Berry trees.<br/><br/>
In Generation 6 ({XY;GAME;x-y}), Berry trees appeared across {Kalos;REGION;kalos}, but they did not involve wild Pokémon encounters.<br/><br/>

<b>Generations 7</b><br/>
In Generation 7 (Pokémon Sun, Moon, Ultra Sun, and Ultra Moon), Berry trees were replaced with Berry piles in {Alola;REGION;alola}. These piles sometimes hid wild {Crabrawler;POKEMON;crabrawler}, which would attack players when disturbed. The Crabrawler encounters added an extra layer of interaction to Berry collection in the region.<br/><br/>

<b>Generation 8</b><br/>
In Generation 8 ({SWSH;GAME;sword-shield}), Berry trees introduced a new shaking mechanic in {Galar;REGION;galar}. Players could shake a tree to collect Berries, but shaking too much could trigger an encounter with wild Pokémon such as {Skwovet;POKEMON;skwovet} or {Greedent;POKEMON;greedent}. These Pokémon would appear to ""guard"" the tree, and defeating them allowed players to resume collecting Berries.<br/><br/>
The {IOA;GAME;the-isle-of-armor} and {CT;GAME;the-crown-tundra} expansions featured unique Pokémon interactions as well. For example, trees in the {Ballimere Lake;LOCATION;ballimere-lake} area had a chance to yield encounters with {Munchlax;POKEMON;munchlax}."
boxes,Boxes,"In {LA;GAME;legends-arceus}, ""Boxes"" are overworld objects that can be broken using a Pokémon. Interacting with these boxes may reveal hidden items or trigger an encounter with a wild Pokémon. The items obtained often include crafting materials or consumables, while the Pokémon encountered are specific to the region and can vary in rarity."
contact-flock,Contact (Flock),"Soaring in the sky is a unique location introduced in {ORAS;GAME;omega-ruby-alpha-sapphire}, accessible via the Soar mechanic.<br/>This allows players to traverse the skies above {Hoenn;REGION;hoenn} using the Eon Flute, summoning {Latios;POKEMON;latios} ({OR;GAME;omega-ruby}) or {Latias;POKEMON;latias} ({AS;GAME;alpha-sapphire}), which then Mega Evolve.<br/>
Various Flying-type Pokémon can be encountered as a flock during soaring.<br/>Making contact with one of those flocks will start a wild Pokémon encounter."
contact-space-time-distortion,Contact (Space Time Distortion),"A space-time distortion is a feature in {LA;GAME;legends-arceus} that enables players to find rare Pokémon and items otherwise unavailable in the wild. These distortions are linked to a larger space-time rift to draw out {Arceus;POKEMON;arceus}, as part of the game's main storyline.<br/>
Distortions appear after spending uninterrupted time in a map area without resting or leaving.<br/>
Spawn probability increases with time:
<ul>
    <li>5 minutes: 10%-20% chance</li>
    <li>40 minutes: 100% chance</li>
</ul><br/>
<b>Behavior</b><br/>
When forming, players are notified (""A space-time distortion seems to be forming!"").<br/>
Activation time depends on player distance (minimum 60 seconds).<br/><br/>
Pokémon spawn aggressively, despawn after ~20 seconds, and include both common and rare species.<br/>
Rare spawns vary by region (e.g., Eeveelutions, Fossil Pokémon, Hisuian starters).<br/><br/>
Distortions won’t form in intense weather or if the game is saved and restarted after one spawns."
contact-unown-reasearch-notes,Contact (Unown Reasearch Notes),"The Unown Research Notes are a specialized section of the Hisui Pokédex in {LA;GAME;legends-arceus}. They catalog all forms of {Unown;POKEMON;unown}, similar to the Unown Mode or Unown Report in earlier Pokémon games.<br/><br/>
The Unown Research Notes are obtained during Mission 8: Arezu's Predicament<br/>
These notes provide clues to find each of the 28 Unown forms scattered throughout the {Hisui;REGION;hisui} region.<br/>
Making contact with one of the Unown forms will initiate a wild Pokémon encounter."
curry,Curry,"Curry on Rice is a popular dish in the {Galar;REGION;galar} region and plays a central role in {SWSH;GAME;sword-shield}, where players can prepare it at the Pokémon Camp.<br/>
While cooking curry, wild Pokémon may approach and request to join the player's party.<br/>This occurs in areas with land-based wild encounters (excluding the Wild Area, Isle of Armor, and Crown Tundra). Joining Pokémon always have the Curry Connoisseur Mark, and shiny Pokémon sparkle upon joining."
diving-seaweed,Diving (Seaweed),"Underwater refers to special exploration zones in the {Hoenn;REGION;hoenn} region, accessible via the move {Dive;MOVE;dive}. These areas provide unique opportunities for exploration, item collection, and Pokémon encounters.<br/><br/>
To access underwater areas, players must:
<ul>
    <li>Use {Surf;MOVE;surf} to reach deep water</li>
    <li>Use Dive outside of battle</li>
    <li>Obtain the Balance Badge and Mind Badge to meet HM requirements</li>
</ul>
<br/>
In Pokémon {RS;GAME;ruby-sapphire} and {E;GAME;emerald}, all underwater areas share the name ""Underwater."" However, in {ORAS;GAME;omega-ruby-alpha-sapphire}, underwater zones are labeled based on their surface locations.<br/><br/>
Seaweed functions like tall grass on other routes, allowing randomly generated wild Pokémon encounters when stepping on those tiles."
dual-slot-mode,Dual Slot Mode,"Dual-slot mode enables communication between a Nintendo DS game card and a Game Boy Advance cartridge when both are inserted into a compatible Nintendo DS system. However, systems like the Nintendo DSi and Nintendo 3DS, which lack a GBA slot, do not support this feature.<br/><br/>
<b>Pal Park</b><br/>
Pal Park allows transferring Pokémon from Generation 3 ({R;GAME;ruby}, {S;GAME;sapphire}, {E;GAME;emerald}, {FR;GAME;firered}, and {LG;GAME;leafgreen}) to Generation 4 ({D;GAME;diamond}, {P;GAME;pearl}, {PL;GAME;platinum}, {HG;GAME;heartgold}, and {SS;GAME;soulsilver}). The transfer is one-way and requires the game languages to match (except for Korean Gen 4 games, which can accept Japanese or English Generation 3 games).<br/>
<br/>
<b>Dongle Method</b><br/>
This method alters the wild Pokémon available in {DP;GAME;diamond-pearl} and {PL;GAME;platinum} based on the GBA game inserted in the slot.<br/><br/>
<b>Key details</b>
<ul>
    <li>Activation: Requires the National Pokédex and a GBA game inserted at the title screen</li>
    <li>Mechanics: The GBA game influences encounters, introducing Pokémon not in the Sinnoh Pokédex</li>
    <li>Odds: Pokémon have an 8% chance of appearing (or 4% each if two Pokémon can appear at the same location)</li>
</ul>"
dust-cloud,Dust Cloud,"Dust Clouds are interactive elements introduced in {BW;GAME;black-white} that appear in caves like {Chargestone Cave;LOCATION;chargestone-cave} and {Mistralton Cave;LOCATION;mistralton-cave}. Walking over a Dust Cloud can result in a battle with a wild Pokémon, such as {Drilbur;POKEMON;drilbur} or {Excadrill;POKEMON;excadrill}, or provide rare items like evolutionary stones or gems. This feature offers players additional ways to find unique Pokémon or valuable resources within caves."
egg,Egg,"In Pokémon games, certain Pokémon are received directly as Eggs from NPCs. These Eggs hatch after the player walks a specific number of steps with the Egg in their party. Examples include the {Togepi;POKEMON;togepi} Egg in {GS;GAME;gold-silver} and the {Riolu;POKEMON;riolu} Egg in {DP;GAME;diamond-pearl}. These gifted Pokémon often come with unique traits, such as specific moves or higher friendship levels upon hatching."
fishing,Fishing,"Fishing is a method for encountering {WATER;TYPE;Water}-type Pokémon by using a fishing rod in bodies of water like lakes, rivers, or oceans. Fishing is featured in many Pokémon games and provides an alternative way to encounter Pokémon, especially species not found in other locations. Starting from {SM;GAME;sun-moon} there are no longer individual fishing rod tiers and only a single encounter table for fishing in general."
fishing-bubbling-spot,Fishing (Bubbling Spot),"In games like Pokémon {SM;GAME;sun-moon}, bubbling fishing spots appear in bodies of water and indicate the presence of rare Pokémon or valuable items. Casting a fishing rod into these spots increases the chance of encountering uncommon species, such as {Dratini;POKEMON;dratini} or {Feebas;POKEMON;feebas}, depending on the location. Additionally, items like Pearls or Heart Scales can be obtained. These spots reset after a successful interaction or after leaving the area."
fishing-good-rod,Fishing (Good Rod),"The Good Rod is a mid-tier fishing rod available in most Pokémon games, providing access to a broader selection of {WATER;TYPE;Water}-type Pokémon than the Old Rod. It is typically obtained from a fisherman NPC after reaching a specific point in the game. Pokémon encountered with the Good Rod often include stronger species like {Goldeen;POKEMON;goldeen}, {Barboach;POKEMON;barboach}, or {Poliwag;POKEMON;poliwag}, making it an essential tool for expanding the player’s team with mid-level aquatic Pokémon."
fishing-old-rod,Fishing (Old Rod),"The Old Rod is a basic fishing tool provided early in most Pokémon games. It allows players to fish for common {WATER;TYPE;Water}-type Pokémon, most notably {Magikarp;POKEMON;magikarp}, in various bodies of water. Although limited in scope, the Old Rod is useful for early-game fishing and for completing Pokédex entries of simpler species. It is often obtained from a fisherman NPC at no cost."
fishing-rippling-water,Fishing (Rippling Water),"Rippling Water appears in {BW;GAME;black-white} as a mechanic for encountering rare or stronger Pokémon in water areas. By surfing or casting a fishing rod into the ripples, players can find species like {Basculin;POKEMON;basculin}, {Milotic;POKEMON;milotic}, or even {Feebas;POKEMON;feebas}. The mechanic provides an additional incentive to explore water routes and adds diversity to the available Pokémon in aquatic environments."
fishing-super-rod,Fishing (Super Rod),"The Super Rod is the most advanced fishing rod available in most Pokémon games, typically obtained later in the story. It allows players to encounter the widest variety of {WATER;TYPE;Water}-type Pokémon, including rare and fully evolved species such as {Gyarados;POKEMON;gyarados}, {Whiscash;POKEMON;whiscash}, or {Sharpedo;POKEMON;sharpedo}. The Super Rod is crucial for completing the Pokédex and catching high-level Pokémon."
fixed-encounter,Fixed Encounter,Fixed Encounters refer to specific wild Pokémon that appear at predetermined locations or under specific conditions.
fixed-tera-encounter,Fixed Tera Encounter,"In {SV;GAME;scarlet-violet}, Fixed Tera Encounters are specific wild Pokémon found in set locations in the overworld. These Pokémon have a glowing aura and possess a predetermined Tera Type, which may differ from their usual type combinations. Fixed Tera Pokémon are static, meaning they will always appear in the same location until interacted with. Once defeated or captured, they will not respawn. These encounters offer players a chance to obtain Pokémon with unique type advantages for competitive battles or specific team strategies."
flying,Flying,"""Flying"" encounters refer to Pokémon that can be found hovering or flying above specific locations in certain Pokémon games. For example, in {LA;GAME;legends-arceus}, Flying Pokémon like {Staraptor;POKEMON;staraptor} or {Togekiss;POKEMON;togekiss} can be observed circling high in the sky. Players can initiate an encounter by using items such as Feather Balls or Jet Balls to hit the Pokémon from a distance. These encounters often involve higher-level or rare Flying-type Pokémon, making them a challenging but rewarding method of capturing specific species."
flying-pokemon-shadow,Flying (Pokémon Shadow),"Flying Pokémon Shadows are a feature in games like {XY;GAME;x-y}, where shadows of flying Pokémon can be seen moving on the ground. By stepping into these shadows, players trigger an encounter with the corresponding {FLYING;TYPE;Flying}-type Pokémon, such as {Fletchling;POKEMON;fletchling} or {Pidgey;POKEMON;pidgey}. These shadows are typically found in areas with open skies."
headbutt-high-encounter,Headbutt (High Encounter),"In {HGSS;GAME;heartgold-soulsilver}, certain trees can be {headbutted;MOVE;headbutt} to encounter wild Pokémon.<br/>These trees have a high encounter rate, meaning wild Pokémon are more likely to appear when the tree is headbutted compared to others.<br/>High encounter trees are usually consistent, allowing players to revisit them for farming specific Pokémon, such as {Heracross;POKEMON;heracross} or {Pineco;POKEMON;pineco}.<br/>Identifying these trees can involve trial and error or following guides.<br/>This mechanic is especially useful for completing the Pokédex or finding Pokémon with hidden abilities."
headbutt-moderate-encounter,Headbutt (Moderate Encounter),"In {HGSS;GAME;heartgold-soulsilver}, some trees provide a moderate chance of yielding wild Pokémon when {headbutted;MOVE;headbutt}.<br/>These trees are more common but less reliable than high encounter trees, offering a balanced opportunity for encounters.<br/>Pokémon species found in these trees may vary by location and time of day.<br/>While they may not always yield rare Pokémon, moderate encounter trees are a convenient option for trainers exploring different regions."
headbutt-special,Headbutt (Special),"In {HGSS;GAME;heartgold-soulsilver}, specific trees are programmed to produce rare Pokémon when {headbutted;MOVE;headbutt}, such as {Aipom;POKEMON;aipom} or {Exeggcute;POKEMON;exeggcute}, which are otherwise difficult to find in the wild.<br/>These ""special"" trees are location-specific and can sometimes offer Pokémon with unique traits or higher stats.<br/>Players often use these trees to target rare Pokémon or complete event-based challenges."
hidden-encounter,Hidden Encounter,"Hidden Encounters in {SWSH;GAME;sword-shield} occur when players walk near tall grass, and an exclamation mark appears along with shaking grass. Interacting with these spots triggers a battle with a wild Pokémon that is not visible in the overworld. Hidden Encounters often include rarer Pokémon species or those with unique traits, encouraging players to explore tall grass areas thoroughly to discover them."
hidden-grotto,Hidden Grotto,"Hidden Grottos, introduced in {B2W2;GAME;black-2-white-2}, are small, concealed areas found in specific locations throughout the {Unova;REGION;unova} region. These grottos can contain rare items or Pokémon with Hidden Abilities, which are not commonly found elsewhere. The Pokémon and items within Hidden Grottos respawn after a set amount of time, offering players repeated opportunities to obtain unique rewards. The locations of Hidden Grottos are fixed, and finding them requires careful exploration of the environment."
hoenn-sound,Hoenn Sound,"In {HGSS;GAME;heartgold-soulsilver}, the Hoenn Sound feature is accessible by tuning the PokéGear radio to the Pokémon March channel on Wednesdays.<br/>While this track is playing, Pokémon originally found in the {Hoenn;REGION;hoenn} region such as {Zigzagoon;POKEMON;zigzagoon} or {Plusle;POKEMON;plusle} may appear in {Johto;REGION;johto} or {Kanto;REGION;kanto} regions.<br/>This mechanic allows players to obtain Pokémon that would otherwise require trading from {RS;GAME;ruby-sapphire} or {E;GAME;emerald}.<br/>The Hoenn Sound feature is part of the game's effort to expand regional Pokémon availability post-Elite Four."
horde-encounter,Horde Encounter,"Horde Encounters, introduced in {XY;GAME;x-y}, involve facing five wild Pokémon at once. These encounters are a useful way to find Pokémon with Hidden Abilities or train multiple Pokémon simultaneously using moves like {Surf;MOVE;surf} or {Rock Slide;MOVE;rock-slide}. Horde Encounters can also increase the odds of finding Shiny Pokémon when chaining battles. While they present a challenge due to the large number of opponents, they provide a valuable opportunity for players to catch rarer species and obtain specific abilities."
island-scan,Island Scan,"<b>QR Scanner and Island Scan</b><br/>
The QR Scanner is a new feature in {SM;GAME;sun-moon} that lets you scan QR Codes from various items like screenshots, merchandise, and promo leaflets to register Pokémon in your Pokédex.<br/><br/>
<b>QR Scanner</b><br/>
You can access the QR Scanner from the main menu. Scanning a QR Code adds a Pokémon as ""Seen"" in your Pokédex. However, you can’t scan unlimited codes right away. The scanner regenerates one use every 2 hours, storing up to 10 scans at a time. You can scan any QR Code, and the game reads it as a Wonder Code, adding a random Pokémon to your Pokédex.<br/>
Each scan gives you 10 points. Once you reach 100 points, you can use the Island Scan feature. Since the scanner has a limit, you can typically use Island Scan once a day. Special QR Codes, like those from Pokémon Ga-Ole, give 20 points per scan.<br/><br/>
<b>Island Scan</b><br/>
When you collect 100 points, you can use Island Scan to find a rare wild Pokémon on the island you’re currently on. These Pokémon are not from the Alola region and include starters from {Kanto;REGION;kanto}, {Kalos;REGION;kalos}, and {Hoenn;REGION;hoenn}.<br/>
Island Scan gives you one hour to locate the Pokémon. The Pokémon changes daily and appears only in a specific location on the island. Head to that area, and the Pokémon may appear in the grass or in caves. Once you catch or knock it out, the Island Scan ends.<br/>
These Pokémon won’t trigger S.O.S. Battles and come with one of their Egg Moves by default."
mass-outbreak,Mass-Outbreak,"In various Pokémon games, mass outbreaks are temporary events where large numbers of a rare Pokémon species appear in a specific location.<br/>These events are announced via in-game notifications, such as on TV in {DP;GAME;diamond-pearl} or through the PokéGear in {HGSS;GAME;heartgold-soulsilver}.<br/>Swarms increase the likelihood of encountering Pokémon like {Dunsparce;POKEMON;dunsparce}, {Bagon;POKEMON;bagon}, or {Ralts;POKEMON;ralts}, which are usually very rare or unavailable in the wild.<br/>They are a great opportunity to catch shiny Pokémon or those with specific natures or abilities."
max-raid-battle,Max Raid Battle,"Max Raid Battles, introduced in {SWSH;GAME;sword-shield}, are multiplayer cooperative battles against Dynamax or Gigantamax Pokémon found in Pokémon Dens scattered throughout the Wild Area, Isle of Armor, and Crown Tundra.<br/> Players can team up with up to three other players or AI-controlled trainers to take on these oversized Pokémon.<br/>The battles involve unique mechanics, such as shield phases and powerful Max Moves.<br/>Successfully completing a Max Raid Battle allows players to catch the defeated Pokémon and earn rare rewards like EXP Candies, Technical Records (TRs), and rare items like Ability Capsules.<br/>Some Raid Battles also feature event-exclusive or Legendary Pokémon, increasing their importance in gameplay."
midair,Midair,"In {LGPE;GAME;lets-go-pikachu-lets-go-eevee}, midair encounters occur when the player rides a Flying-type Pokémon such as {Charizard;POKEMON;charizard}, {Dragonite;POKEMON;dragonite}, or {Aerodactyl;POKEMON;aerodactyl}.<br/>While soaring above routes or open areas, players can spot and engage with wild Pokémon flying in the sky.<br/>These midair Pokémon are often unique to this mode of travel and can include rare species or special variants, adding an exciting dimension to exploration in the game."
mr-backlot,Mr. Backlot,"Mr. Backlot, introduced in {DP;GAME;diamond-pearl}, resides in the Pokémon Mansion on {Route 212;LOCATION;route-212-sinnoh}.<br/>He is known for his Trophy Garden, an area behind the mansion where rare or Baby Pokémon like {Pichu;POKEMON;pichu}, {Eevee;POKEMON;eevee}, or {Cleffa;POKEMON;cleffa} can appear.<br/>Every day, Mr. Backlot claims to have seen a specific Pokémon in the garden, which temporarily adds that species to the pool of Pokémon available for encounter.<br/>Players can visit him daily to learn about the new Pokémon appearing in the garden, making it a valuable location for completing the Pokédex or acquiring rare Pokémon with unique traits."
npc-buy,Buy,"Some Pokémon games feature NPCs who sell Pokémon directly to the player. A classic example is the {Magikarp;POKEMON;magikarp} Salesman found in {RB;GAME;red-blue} and {Y;GAME;yellow}, who offers to sell a Magikarp to the player for 500 Pokédollars.<br/>These transactions typically involve Pokémon with no additional requirements for obtaining them, providing an alternative to traditional catching methods.<br/>The Pokémon offered by NPCs are often of average quality but can sometimes serve as early-game assets or placeholders for later encounters."
npc-gift,Gift,"NPC Gift encounters occur when characters in Pokémon games offer Pokémon directly to the player without requiring a trade or battle.<br/>Examples include the {Eevee;POKEMON;eevee} from Bill in {RB;GAME;red-blue}, and starters given by Professors.<br/>Gift Pokémon are often unique in terms of level, abilities, or moves, and they may come with special items or traits.<br/>This mechanic provides players with valuable Pokémon that are often pivotal for their journey."
npc-trade,Trade,"NPC Trades involve exchanging a Pokémon from the player's party with one offered by an NPC in the game.<br/>These trades are fixed, meaning the NPC always requests a specific Pokémon and offers the same Pokémon in return.<br/>The traded Pokémon may have unique traits, such as holding rare items, knowing exclusive moves, or having a different Original Trainer (OT), which can affect things like experience gain.<br/>Examples include the {Onix;POKEMON;onix} for {Bellsprout;POKEMON;bellsprout} trade in Pokémon {RB;GAME;red-blue} or the Alolan forms offered in {LGPE;GAME;lets-go-pikachu-lets-go-eevee}."
poke-radar,PokéRadar,"The PokéRadar is a key item introduced in {DP;GAME;diamond-pearl} that allows players to locate Pokémon hidden in tall grass.<br/>Using the radar creates rustling patches of grass, indicating possible Pokémon encounters.<br/>Some patches may contain rarer Pokémon that are not otherwise found in the area.<br/> Additionally, players can chain encounters by repeatedly using the PokéRadar without breaking the chain, which increases the chances of finding Shiny Pokémon.<br/>The PokéRadar is typically obtained after defeating the Elite Four or completing specific tasks, making it a valuable tool for post-game exploration and Shiny hunting."
revive,Revive,"The ""Revive"" encounter method refers to events where players can revive ancient Pokémon from fossils.<br/>Fossils are typically found in specific locations, such as caves or excavation sites, and can be taken to a scientist in the game to restore them into living Pokémon.<br/>Examples include reviving {Aerodactyl;POKEMON;aerodactyl} from the Old Amber in {RB;GAME;red-blue} or reviving {Cranidos;POKEMON;cranidos} from the Skull Fossil in {DP;GAME;diamond-pearl}.<br/>The fossil Pokémon are often unique to their respective games and provide players with rare and powerful additions to their team."
rock-smash,Rock Smash,"The move {Rock Smash;MOVE;rock-smash}, often available as an HM or TM in various Pokémon games, allows players to break specific rocks in the overworld.<br/>Breaking rocks can result in encounters with wild Pokémon, such as {Geodude;POKEMON;geodude} or {Shuckle;POKEMON;shuckle}, or reveal hidden items like Stardust or fossils.<br/>This mechanic is commonly used to access new areas or find rare resources.<br/>For example, in {RS;GAME;ruby-sapphire}, Rock Smash is used to break boulders blocking paths, sometimes uncovering Pokémon not otherwise found in the wild."
sea-skim,Sea-Skim,"Sea-Skim is a technique introduced in {LGPE;GAME;lets-go-pikachu-lets-go-eevee} that allows players to traverse water surfaces on a surfboard.<br/>Unlike traditional surfing mechanics, Sea-Skim replaces the need for teaching a Pokémon the move {Surf;MOVE;surf}.<br/>While traveling across water, players can encounter wild {WATER;TYPE;Water}-type Pokémon or access previously unreachable locations.<br/>This mechanic simplifies water navigation while maintaining opportunities for aquatic exploration."
shaking-ore-deposits,Shaking Ore Deposits,"Shaking Ore Deposits appear in{LA;GAME;legends-arceus} and are rock formations that can be struck with a Pokémon to reveal hidden resources or Pokémon. These deposits often yield valuable crafting materials like Tumblestones or evolutionary items.<br/>However, interacting with a shaking ore deposit can trigger an ambush by Pokémon like {Graveler;POKEMON;graveler}, adding an element of unpredictability to resource gathering."
shaking-trees,Shaking Trees,"Shaking Trees are an overworld mechanic in {LA;GAME;legends-arceus} and other games. These trees often contain berries or other items but can also hide Pokémon such as {Combee;POKEMON;combee}, {Burmy;POKEMON;burmy}, or {Cherubi;POKEMON;cherubi}.<br/>Interacting with a shaking tree by sending out a Pokémon will drop the items or Pokémon hidden inside.<br/>This mechanic is essential for finding certain species not encountered through other methods."
sinnoh-sound,Sinnoh Sound,"In {HGSS;GAME;heartgold-soulsilver}, the Sinnoh Sound feature works similarly to Hoenn Sound.<br/>By tuning the PokéGear radio to the Pokémon March channel on Thursdays, players can encounter wild Pokémon native to the {Sinnoh;REGION;sinnoh} region, such as {Chatot;POKEMON;chatot} or {Bidoof;POKEMON;bidoof}.<br/>This feature is especially useful for obtaining Sinnoh Pokémon without transferring them from {DP;GAME;diamond-pearl} or {PL;GAME;platinum}.<br/>Like the Hoenn Sound, this feature becomes available after defeating the Elite Four."
special-encounter,Special Encounter,Special Encounters refer to unique one-time events in Pokémon games where specific Pokémon appear under predetermined conditions.<br/>Examples include the Red {Gyarados;POKEMON;gyarados} in {GS;GAME;gold-silver} or static encounters with Mythical Pokémon like {Deoxys;POKEMON;deoxys} in Pokémon {E;GAME;emerald}.<br/>These encounters are often tied to the storyline or special events and are designed to provide players with memorable battles or opportunities to capture rare Pokémon.
static-encounter,Static Encounter,Static Encounters are pre-determined Pokémon encounters that occur in specific locations or under specific circumstances. These Pokémon are not affected by random encounter mechanics and will always appear in the same spot or event.
surfing,Surfing,"Surfing allows players to traverse bodies of water using a Pokémon capable of learning the move {Surf;MOVE;surf}.<br/>Introduced in {RB;GAME;red-blue}, this mechanic is a staple for exploring aquatic areas and reaching previously inaccessible locations.<br/>While surfing, players can encounter {WATER;TYPE;Water}-type Pokémon such as {Tentacool;POKEMON;tentacool}, or {Wingull;POKEMON;wingull}. Surfing remains a key mechanic for progressing through the game and finding rare Water Pokémon."
surfing-rippling-water,Surfing (Rippling Water),"Rippling Water spots, introduced in {BW;GAME;black-white}, indicate special areas in water bodies where players can encounter rare or high-level Pokémon while surfing.<br/>Pokémon like {Basculin;POKEMON;basculin} or {Milotic;POKEMON;milotic} are more commonly found in these spots, along with occasional items.<br/> Rippling Water spots reset after interaction, providing repeatable opportunities to find rare Pokémon.<br/>This mechanic encourages players to revisit water routes for unique encounters."
swarm,Swarm,"Swarms are periodic events where certain Pokémon species appear more frequently in specific locations, like mass outbreaks.<br/>In games like {DP;GAME;diamond-pearl}, swarms are announced on the player's in-game TV or PokéGear.<br/>Unlike regular encounters, swarms offer higher chances to find specific Pokémon, making them ideal for trainers aiming to capture rare species or shiny hunt."
symbol-encounter,Symbol Encounter,"A symbol encounter is a wild Pokémon encounter type introduced in {LGPE;GAME;lets-go-pikachu-lets-go-eevee}, where Pokémon are visible in the overworld.<br/>Unlike previous generations where the encounter was started randomly when walking on specific tiles, battles can often be avoided by not making contact with these Pokémon directly.<br/><br/>
<b>Changes across the main series games</b><br/><br/>
{LGPE;GAME;lets-go-pikachu-lets-go-eevee}<br/>
<ul>
<li>All wild encounters are symbol encounters.</li>
<li>Shiny Pokémon appear visibly Shiny in the overworld.</li>
</ul><br/>
{SWSH;GAME;sword-shield}<br/>
<ul>
    <li>Pokémon react differently to players: fleeing, ignoring, approaching, or chasing</li>
    <li>Defeating a Pokémon increases the chance of the same species reappearing</li>
    <li>Brilliant Pokémon have golden auras, special stats, and increased Shiny odds</li>
    <li>Shiny Pokémon are not visibly Shiny in the overworld</li>
    <li>A bug enforces a 1:1 gender ratio for symbol encounters, with exceptions</li>
</ul><br/>
{BDSP;GAME;brilliant-diamond-shining-pearl}<br/>
<ul>
    <li>Symbol encounters occur only in the Grand Underground's Pokémon Hideaways</li>
    <li>Pokémon notice players when crossing their line of sight and may chase them</li>
    <li>Shiny Pokémon are not visibly Shiny in the overworld</li>
</ul><br/>
{LA;GAME;legends-arceus}<br/>
<ul>
    <li>Wild encounters are fully replaced with symbol encounters</li>
    <li>Players can battle or catch Pokémon without engaging in a traditional encounter</li>
    <li>Aggressive Pokémon attack players and require stunning or battling</li>
    <li>Alpha Pokémon have glowing red eyes and enhanced stats</li>
    <li>Shiny Pokémon appear visibly Shiny in the overworld, with sound and visual cues</li>
</ul><br/>
{SV;GAME;scarlet-violet}<br/>
<ul>
    <li>Wild encounters occur based on location and biome, fixed encounters are daily spawns</li>
    <li>Shiny Pokémon are visible in the overworld but lack sound effects until engagement</li>
    <li>Players can initiate battles by throwing Poké Balls or using Auto Battle mechanics</li>
    <li>Aggressive wild Pokémon may follow the player but will not engage until conditions allow</li>
</ul>"
