item,generation,pocket,version_group,version
bluk-berry,7,berries,,
bluk-berry,8,berries,,
blunder-policy,8,items,sword-shield,
blunder-policy,9,items,scarlet-violet,
bobs-food-tin,8,ingredients,sword-shield,
boiled-egg,8,ingredients,sword-shield,
bold-mint,8,items,,
bold-mint,9,items,,
boost-mulch,6,items,,
boost-mulch,7,items,,
booster-energy,9,items,scarlet-violet,
bottle-cap,7,items,,
bottle-cap,8,treasures,sword-shield,
bottle-cap,9,items,scarlet-violet,
brave-mint,8,items,sword-shield,
brave-mint,9,items,scarlet-violet,
bread,8,ingredients,sword-shield,
briars-book,9,key-items,scarlet-violet,
brick-mail,4,mail,,
brick-piece,2,items,,
bridgemail-d,5,items,,
bridgemail-m,5,items,,
bridgemail-s,5,items,,
bridgemail-t,5,items,,
bridgemail-v,5,items,,
bright-powder,2,items,,
bright-powder,3,items,,
bright-powder,4,items,,
bright-powder,5,items,,
bright-powder,6,items,,
bright-powder,7,items,,
bright-powder,8,items,,
bright-powder,9,items,,
brittle-bones,8,ingredients,sword-shield,
bronze-bottle,9,picnic-items,,
bronze-cup,9,picnic-items,scarlet-violet,
bubble-mail,4,mail,,
bug-gem,5,items,,
bug-gem,6,items,,
bug-gem,7,items,,
bug-memory,7,items,,
bug-memory,8,items,,
bug-tera-shard,9,items,scarlet-violet,
buginium-z--held,7,z-crystals,sun-moon,
bulbasaur-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
burn-drive,5,held-items,,
burn-drive,6,items,,
burn-drive,7,items,,
burn-heal,1,items,,
burn-heal,2,items,,
burn-heal,3,items,,
burn-heal,4,medicine,,
burn-heal,5,medicine,,
burn-heal,6,medicine,,
burn-heal,7,medicine,,
burn-heal,8,medicine,,
burn-heal,9,medicine,,
burnt-berry,2,items,,
butter,9,picnic-items,scarlet-violet,
bw-grass-chairs,9,picnic-items,,
bw-grass-tablecloth,9,picnic-items,scarlet-violet,
calcium,1,items,,
calcium,4,medicine,,
calcium,8,items,,
calm-mint,8,items,sword-shield,
calm-mint,9,items,scarlet-violet,
cameruptite,6,items,omega-ruby-alpha-sapphire,
cameruptite,7,items,,
camping-gear,8,key-items,sword-shield,
carbos,1,items,,
carbos,2,items,,
carbos,3,items,,
carbos,4,medicine,,
carbos,5,medicine,,
carbos,6,medicine,,
carbos,7,medicine,,
carbos,8,items,,
carbos,9,items,,
card-key-johto,2,key-items,,
card-key-johto,4,key-items,heartgold-soulsilver,
card-key-johto,5,key-items,,
card-key-johto,6,key-items,,
card-key-johto,7,key-items,,
card-key,1,key-items,,
card-key,3,key-items,firered-leafgreen,
card-key,3,key-items,emerald,emerald
card-key,7,items,lets-go-pikachu-lets-go-eevee,
careful-mint,8,items,sword-shield,
careful-mint,9,items,scarlet-violet,
carrot-seeds,8,key-items,,
casteliacone,5,medicine,,
casteliacone,6,medicine,,
casteliacone,7,medicine,,
catching-charm,8,key-items,,
catching-charm,9,key-items,,
caterpie-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
cell-battery,5,items,,
cell-battery,6,items,,
cell-battery,7,items,,
cell-battery,8,items,,
cell-battery,9,items,,
chalky-stone,7,items,,
chansey-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
charcoal,2,items,,
charcoal,3,items,,
charcoal,4,items,,
charcoal,5,items,,
charcoal,6,items,,
charcoal,7,items,,
charcoal,8,items,,
charcoal,9,items,,
charizardite-x,6,items,,
charizardite-x,7,items,,
charizardite-y,6,items,,
charizardite-y,7,items,,
charmander-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
charti-berry,4,berries,,
charti-berry,5,berries,,
charti-berry,6,berries,,
charti-berry,7,berries,,
charti-berry,8,berries,,
charti-berry,9,berries,,
cheese,9,picnic-items,scarlet-violet,
cheri-berry,3,berries,ruby-sapphire,
cheri-berry,3,berries,emerald,emerald
cheri-berry,3,berry-pouch,firered-leafgreen,
cheri-berry,4,berries,,
cheri-berry,5,berries,,
cheri-berry,6,berries,,
cheri-berry,7,berries,,
cheri-berry,8,berries,sword-shield,
cheri-berry,9,berries,,
cherish-ball,4,poke-balls,,
cherish-ball,5,items,,
cherish-ball,6,items,,
cherish-ball,7,items,,
cherish-ball,8,poke-balls,,
cherish-ball,9,poke-balls,,
cherry-tomatoes,9,picnic-items,,
chesto-berry,3,berries,ruby-sapphire,
chesto-berry,3,berries,emerald,emerald
chesto-berry,4,berries,,
chesto-berry,5,berries,,
chesto-berry,6,berries,,
chesto-berry,7,berries,,
chesto-berry,8,berries,sword-shield,
chesto-berry,9,berries,,
chilan-berry,4,berries,,
chilan-berry,5,berries,,
chilan-berry,6,berries,,
chilan-berry,7,berries,,
chilan-berry,8,berries,,
chilan-berry,9,berries,,
chili-sauce,9,picnic-items,scarlet-violet,
chill-drive,5,items,,
chill-drive,6,items,,
chill-drive,7,items,,
chipped-pot,8,items,sword-shield,
chipped-pot,9,items,scarlet-violet,
choice-band,3,items,,
choice-band,4,items,,
choice-band,5,held-items,,
choice-band,6,items,,
choice-band,7,items,,
choice-band,8,items,,
choice-band,9,items,,
choice-scarf,4,items,,
choice-scarf,5,items,,
choice-scarf,6,items,,
choice-scarf,7,items,,
choice-scarf,8,items,,
choice-scarf,9,items,,
choice-specs,4,items,,
choice-specs,5,items,,
choice-specs,6,items,,
choice-specs,7,items,,
choice-specs,8,items,,
choice-specs,9,items,,
chople-berry,4,berries,,
chople-berry,5,berries,,
chople-berry,6,berries,,
chople-berry,7,berries,,
chople-berry,8,berries,,
chople-berry,9,berries,,
chorizo,9,picnic-items,scarlet-violet,
claw-fossil,3,key-items,ruby-sapphire,
claw-fossil,3,key-items,emerald,emerald
claw-fossil,4,items,diamond-pearl,
claw-fossil,4,items,platinum,platinum
claw-fossil,8,treasures,sword-shield,
cleanse-tag,2,items,,
cleanse-tag,3,items,,
cleanse-tag,4,items,,
cleanse-tag,5,items,,
cleanse-tag,6,items,,
cleanse-tag,7,items,,
cleanse-tag,8,items,,
cleanse-tag,9,items,,
clear-amulet,9,items,scarlet-violet,
clear-bell,2,key-items,,
clear-bell,4,key-items,heartgold-soulsilver,
clear-bell,5,key-items,,
clear-bell,6,key-items,,
clear-bell,7,key-items,,
clefairy-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
clever-wing,5,medicine,,
clever-wing,6,medicine,,
clever-wing,7,medicine,,
clever-wing,8,items,,
clever-wing,9,items,,
clever-mochi,9,items,scarlet-violet,
clover-sweet,8,items,sword-shield,
coba-berry,4,berries,,
coba-berry,5,berries,,
coba-berry,6,berries,,
coba-berry,7,berries,,
coba-berry,8,berries,,
coba-berry,9,berries,,
cobalion-treat,9,key-items,scarlet-violet,
coconut-milk,8,ingredients,sword-shield,
coin-case,1,key-items,,
coin-case,2,key-items,,
coin-case,3,key-items,,
coin-case,4,key-items,,
coin-case,5,key-items,,
coin-case,6,key-items,,
coin-case,7,key-items,,
colbur-berry,4,berries,,
colbur-berry,5,berries,,
colbur-berry,6,berries,,
colbur-berry,7,berries,,
colbur-berry,8,berries,,
colbur-berry,9,berries,,
colress-machine,5,key-items,black-2-white-2,
colress-machine,6,key-items,,
colress-machine,7,key-items,,
comet-shard,5,items,,
comet-shard,6,items,,
comet-shard,7,items,,
comet-shard,8,treasures,sword-shield,
comet-shard,9,treasures,scarlet-violet,
contest-costume--jacket,6,key-items,omega-ruby-alpha-sapphire,
contest-costume--jacket,7,key-items,sun-moon,
contest-costume--jacket,7,key-items,ultra-sun-ultra-moon,
contest-pass,3,key-items,,
contest-pass,4,key-items,,
contest-pass,5,key-items,,
contest-pass,6,key-items,,
contest-pass,7,key-items,,
cornerstone-mask,9,items,scarlet-violet,
cornn-berry,3,berries,ruby-sapphire,
cornn-berry,3,berries,emerald,emerald
cornn-berry,3,berry-pouch,firered-leafgreen,
cornn-berry,4,berries,,
cornn-berry,5,berries,,
cornn-berry,6,berries,,
cornn-berry,7,berries,,
cornn-berry,8,berries,,
coupon-1,4,key-items,,
coupon-2,4,key-items,,
coupon-3,4,key-items,,
courage-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
courage-candy-l,7,candy-jar,,
courage-candy-xl,7,candy-jar,,
cover-fossil,5,items,,
cover-fossil,6,items,,
cover-fossil,7,items,,
covert-cloak,9,items,scarlet-violet,
cracked-pot,8,items,sword-shield,
cracked-pot,9,items,scarlet-violet,
cream-cheese,9,picnic-items,,
crown-pass,8,key-items,,
crunchy-salt,8,items,,
crystal-cluster,9,key-items,,
cubone-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
cucumber,9,picnic-items,scarlet-violet,
curry-powder,9,picnic-items,scarlet-violet,
custap-berry,4,berries,,
custap-berry,5,berries,,
custap-berry,6,berries,,
custap-berry,7,berries,,
custap-berry,8,berries,,
custap-berry,9,berries,,
cyber-ball,9,picnic-items,scarlet-violet,
damp-mulch,4,items,,
damp-mulch,5,items,,
damp-mulch,6,items,,
damp-mulch,7,items,,
damp-rock,4,items,,
damp-rock,5,items,,
damp-rock,6,items,,
damp-rock,7,items,,
damp-rock,8,items,,
damp-rock,9,items,,
dark-gem,5,items,,
dark-gem,6,items,,
dark-gem,7,items,,
dark-memory,7,items,,
dark-memory,8,items,sword-shield,
dark-stone,5,key-items,,
dark-stone,6,key-items,,
dark-stone,7,key-items,,
dark-tera-shard,9,items,scarlet-violet,
darkinium-z--held,7,z-crystals,,
data-card-01,4,items,heartgold-soulsilver,
dawn-stone,4,items,,
dawn-stone,5,items,,
dawn-stone,6,items,,
dawn-stone,7,items,,
dawn-stone,8,items,,
dawn-stone,9,items,,
decidium-z--held,7,z-crystals,,
deep-sea-scale,3,items,,
deep-sea-scale,8,items,sword-shield,
deep-sea-tooth,3,items,,
deep-sea-tooth,4,items,,
deep-sea-tooth,5,items,,
deep-sea-tooth,6,items,,
deep-sea-tooth,7,items,,
deep-sea-tooth,8,items,,
destiny-knot,4,items,,
destiny-knot,5,items,,
destiny-knot,6,items,,
destiny-knot,7,items,,
destiny-knot,8,items,,
destiny-knot,9,items,,
devon-parts,3,key-items,,
devon-parts,6,key-items,omega-ruby-alpha-sapphire,
devon-parts,7,key-items,,
devon-scope,3,key-items,,
devon-scope,6,key-items,omega-ruby-alpha-sapphire,
devon-scope,7,key-items,,
devon-scuba-gear,6,key-items,omega-ruby-alpha-sapphire,
devon-scuba-gear,7,key-items,,
diamond-bottle,9,picnic-items,scarlet-violet,
diamond-chairs,9,picnic-items,scarlet-violet,
diamond-pattern-cup,9,picnic-items,scarlet-violet,
diamond-tablecloth,9,picnic-items,scarlet-violet,
diancite,6,items,omega-ruby-alpha-sapphire,
diancite,7,items,,
digger-drill,4,none,,
digger-drill,8,treasures,brilliant-diamond-shining-pearl,
diglett-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
dire-hit,1,items,,
dire-hit,2,items,,
dire-hit,3,items,,
dire-hit,4,battle-items,,
dire-hit,5,items,,
dire-hit,6,items,,
dire-hit,7,items,,
dire-hit,8,battle-items,,
dire-hit,9,battle-items,,
dire-hit-2,5,items,black-white,
dire-hit-2,5,items,black-2-white-2,
dire-hit-3,5,items,black-white,
dire-hit-3,5,items,black-2-white-2,
direshroom,8,items,,
discount-coupon,6,items,,
discount-coupon,7,items,,
discovery-slate,8,treasures,brilliant-diamond-shining-pearl,
distortion-slate,8,treasures,sword-shield,
ditto-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
dive-ball,3,poke-balls,,
dive-ball,4,poke-balls,,
dive-ball,5,items,,
dive-ball,6,items,,
dive-ball,7,items,,
dive-ball,8,poke-balls,,
dive-ball,9,poke-balls,,
dna-splicers,5,key-items,black-2-white-2,
dna-splicers,6,key-items,,
dna-splicers,7,key-items,,
dna-splicers,8,key-items,sword-shield,
doduo-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
dome-fossil,1,key-items,red-blue,
dome-fossil,3,key-items,firered-leafgreen,
dome-fossil,4,items,,
dome-fossil,8,treasures,brilliant-diamond-shining-pearl,
doppel-bonnets,8,items,,
douse-drive,5,held-items,,
douse-drive,6,items,,
douse-drive,7,items,,
dowsing-machine,1,key-items,,
dowsing-machine,2,key-items,,
dowsing-machine,3,key-items,,
dowsing-machine,4,key-items,heartgold-soulsilver,
dowsing-machine,5,key-items,,
dowsing-machine,6,key-items,,
dowsing-machine,7,key-items,,
draco-plate,4,items,,
draco-plate,5,items,,
draco-plate,6,items,,
draco-plate,7,items,,
draco-plate,8,items,brilliant-diamond-shining-pearl,
draco-plate,9,items,,
dragon-fang,2,items,,
dragon-fang,3,items,,
dragon-fang,4,items,,
dragon-fang,5,items,,
dragon-fang,6,items,,
dragon-fang,7,items,,
dragon-fang,8,items,,
dragon-fang,9,items,,
dragon-gem,5,items,,
dragon-gem,6,items,,
dragon-gem,7,items,,
dragon-memory,7,items,,
dragon-memory,8,items,,
dragon-scale,2,items,,
dragon-scale,3,items,,
dragon-scale,4,items,,
dragon-scale,5,held-items,,
dragon-scale,6,items,,
dragon-scale,7,items,,
dragon-scale,8,items,sword-shield,
dragon-skull,5,key-items,,
dragon-skull,6,key-items,,
dragon-skull,7,key-items,,
dragon-tera-shard,9,items,scarlet-violet,
dragonium-z--held,7,z-crystals,,
dratini-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
dread-plate,4,items,,
dread-plate,5,items,,
dread-plate,6,items,,
dread-plate,7,items,,
dread-plate,8,items,brilliant-diamond-shining-pearl,
dread-plate,9,items,,
dream-ball,5,poke-balls,,
dream-ball,6,items,,
dream-ball,7,items,,
dream-ball,8,poke-balls,,
dream-ball,9,poke-balls,,
dream-mail,3,items,,
dropped-item,5,key-items,black-2-white-2,
dropped-item,6,key-items,,
dropped-item,7,key-items,,
drowzee-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
ds-sounds,8,key-items,brilliant-diamond-shining-pearl,
dubious-disc,4,items,,
dubious-disc,5,items,,
dubious-disc,6,items,,
dubious-disc,7,items,,
dubious-disc,8,items,sword-shield,
durin-berry,3,berries,ruby-sapphire,
durin-berry,3,berries,emerald,emerald
durin-berry,3,berry-pouch,firered-leafgreen,
durin-berry,4,berries,,
durin-berry,5,berries,,
durin-berry,6,berries,,
durin-berry,7,berries,,
durin-berry,8,berries,,
dusk-ball,4,poke-balls,,
dusk-ball,5,poke-balls,,
dusk-ball,6,items,,
dusk-ball,7,items,,
dusk-ball,8,poke-balls,,
dusk-ball,9,poke-balls,,
dusk-stone,4,items,,
dusk-stone,5,items,,
dusk-stone,6,items,,
dusk-stone,7,items,,
dusk-stone,8,items,,
dusk-stone,9,items,,
dynamax-band,8,key-items,,
dynamax-candy,8,items,sword-shield,
dynamax-crystal,8,items,sword-shield,
dynite-ore,8,items,sword-shield,
earth-plate,4,items,,
earth-plate,5,items,,
earth-plate,6,items,,
earth-plate,7,items,,
earth-plate,8,items,brilliant-diamond-shining-pearl,
earth-plate,9,items,,
eevee-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
eevee-cup,9,picnic-items,scarlet-violet,
eevium-z--held,7,z-crystals,,
egg,9,picnic-items,scarlet-violet,
egg-ticket,2,key-items,crystal,crystal
eggant-berry,3,berries,,
eject-button,5,held-items,,
eject-button,6,items,,
eject-button,7,items,,
eject-button,8,items,,
eject-button,9,items,,
eject-pack,8,items,sword-shield,
eject-pack,9,items,scarlet-violet,
ekans-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
electabuzz-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
electirizer,4,items,,
electirizer,5,items,,
electirizer,6,items,,
electirizer,7,items,,
electirizer,8,items,sword-shield,
electric-gem,5,items,,
electric-gem,6,items,,
electric-gem,7,items,,
electric-memory,7,items,,
electric-memory,8,items,,
electric-seed,7,items,,
electric-seed,8,items,,
electric-seed,9,items,,
electric-tera-shard,9,items,scarlet-violet,
electrium-z--held,7,z-crystals,,
elevator-key,6,key-items,x-y,
elevator-key,6,key-items,omega-ruby-alpha-sapphire,
elevator-key,7,key-items,sun-moon,
elixir,1,items,,
elixir,2,items,,
elixir,3,items,,
elixir,4,medicine,,
elixir,5,medicine,,
elixir,6,medicine,,
elixir,7,medicine,,
elixir,8,medicine,,
elixir,9,medicine,,
endorsement,8,key-items,sword-shield,
energy-powder,2,items,,
energy-powder,3,items,,
energy-powder,4,medicine,,
energy-powder,5,medicine,,
energy-powder,6,medicine,,
energy-powder,7,medicine,,
energy-powder,8,medicine,,
energy-powder,9,medicine,,
energy-root,2,items,,
energy-root,3,items,,
energy-root,4,medicine,,
energy-root,5,medicine,,
energy-root,6,medicine,,
energy-root,7,medicine,,
energy-root,8,medicine,,
energy-root,9,medicine,,
enigma-berry,3,berries,ruby-sapphire,
enigma-berry,3,berries,emerald,emerald
enigma-berry,3,berry-pouch,firered-leafgreen,
enigma-berry,4,berries,,
enigma-berry,5,berries,,
enigma-berry,6,berries,,
enigma-berry,7,berries,,
