pokemon,ability_1,ability_2,ability_hidden
chingling,levitate,,
stunky,stench,aftermath,keen-eye
skuntank,stench,aftermath,keen-eye
bronzor,levitate,heatproof,heavy-metal
bronzong,levitate,heatproof,heavy-metal
bonsly,sturdy,rock-head,rattled
mime-jr,soundproof,filter,technician
happiny,natural-cure,serene-grace,friend-guard
chatot,keen-eye,tangled-feet,big-pecks
spiritomb,pressure,,infiltrator
gible,sand-veil,,rough-skin
gabite,sand-veil,,rough-skin
garchomp,sand-veil,,rough-skin
munchlax,pickup,thick-fat,gluttony
riolu,steadfast,inner-focus,prankster
lucario,steadfast,inner-focus,justified
hippopotas,sand-stream,,sand-force
hippowdon,sand-stream,,sand-force
skorupi,battle-armor,sniper,keen-eye
drapion,battle-armor,sniper,keen-eye
croagunk,anticipation,dry-skin,poison-touch
toxicroak,anticipation,dry-skin,poison-touch
carnivine,levitate,,
finneon,swift-swim,storm-drain,water-veil
lumineon,swift-swim,storm-drain,water-veil
mantyke,swift-swim,water-absorb,water-veil
snover,snow-warning,,soundproof
abomasnow,snow-warning,,soundproof
weavile,pressure,,pickpocket
magnezone,magnet-pull,sturdy,analytic
lickilicky,own-tempo,oblivious,cloud-nine
rhyperior,lightning-rod,solid-rock,reckless
tangrowth,chlorophyll,leaf-guard,regenerator
electivire,motor-drive,,vital-spirit
magmortar,flame-body,,vital-spirit
togekiss,hustle,serene-grace,super-luck
yanmega,speed-boost,tinted-lens,frisk
leafeon,leaf-guard,,chlorophyll
glaceon,snow-cloak,,ice-body
gliscor,hyper-cutter,sand-veil,poison-heal
mamoswine,oblivious,snow-cloak,thick-fat
porygon-z,adaptability,download,analytic
gallade,steadfast,sharpness,justified
probopass,sturdy,magnet-pull,sand-force
dusknoir,pressure,,frisk
froslass,snow-cloak,,cursed-body
rotom,levitate,,
uxie,levitate,,
mesprit,levitate,,
azelf,levitate,,
dialga,pressure,,telepathy
palkia,pressure,,telepathy
heatran,flash-fire,,flame-body
regigigas,slow-start,,
giratina-altered,pressure,,telepathy
cresselia,levitate,,
phione,hydration,,
manaphy,hydration,,
darkrai,bad-dreams,,
shaymin-land,natural-cure,,
arceus,multitype,,
victini,victory-star,,
snivy,overgrow,,contrary
servine,overgrow,,contrary
serperior,overgrow,,contrary
tepig,blaze,,thick-fat
pignite,blaze,,thick-fat
emboar,blaze,,reckless
oshawott,torrent,,shell-armor
dewott,torrent,,shell-armor
samurott,torrent,,shell-armor
patrat,run-away,keen-eye,analytic
watchog,illuminate,keen-eye,analytic
lillipup,vital-spirit,pickup,run-away
herdier,intimidate,sand-rush,scrappy
stoutland,intimidate,sand-rush,scrappy
purrloin,limber,unburden,prankster
liepard,limber,unburden,prankster
pansage,gluttony,,overgrow
simisage,gluttony,,overgrow
pansear,gluttony,,blaze
simisear,gluttony,,blaze
panpour,gluttony,,torrent
simipour,gluttony,,torrent
munna,forewarn,synchronize,telepathy
musharna,forewarn,synchronize,telepathy
pidove,big-pecks,super-luck,rivalry
tranquill,big-pecks,super-luck,rivalry
unfezant,big-pecks,super-luck,rivalry
blitzle,lightning-rod,motor-drive,sap-sipper
zebstrika,lightning-rod,motor-drive,sap-sipper
roggenrola,sturdy,weak-armor,sand-force
boldore,sturdy,weak-armor,sand-force
gigalith,sturdy,sand-stream,sand-force
woobat,unaware,klutz,simple
swoobat,unaware,klutz,simple
drilbur,sand-rush,sand-force,mold-breaker
excadrill,sand-rush,sand-force,mold-breaker
audino,healer,regenerator,klutz
timburr,guts,sheer-force,iron-fist
gurdurr,guts,sheer-force,iron-fist
conkeldurr,guts,sheer-force,iron-fist
tympole,swift-swim,hydration,water-absorb
palpitoad,swift-swim,hydration,water-absorb
seismitoad,swift-swim,poison-touch,water-absorb
throh,guts,inner-focus,mold-breaker
sawk,sturdy,inner-focus,mold-breaker
sewaddle,swarm,chlorophyll,overcoat
swadloon,leaf-guard,chlorophyll,overcoat
leavanny,swarm,chlorophyll,overcoat
venipede,poison-point,swarm,speed-boost
whirlipede,poison-point,swarm,speed-boost
scolipede,poison-point,swarm,speed-boost
cottonee,prankster,infiltrator,chlorophyll
whimsicott,prankster,infiltrator,chlorophyll
petilil,chlorophyll,own-tempo,leaf-guard
lilligant,chlorophyll,own-tempo,leaf-guard
basculin-red-striped,reckless,adaptability,mold-breaker
sandile,intimidate,moxie,anger-point
krokorok,intimidate,moxie,anger-point
krookodile,intimidate,moxie,anger-point
darumaka,hustle,,inner-focus
darmanitan-standard,sheer-force,,zen-mode
maractus,water-absorb,chlorophyll,storm-drain
dwebble,sturdy,shell-armor,weak-armor
crustle,sturdy,shell-armor,weak-armor
scraggy,shed-skin,moxie,intimidate
scrafty,shed-skin,moxie,intimidate
sigilyph,wonder-skin,magic-guard,tinted-lens
yamask,mummy,,
cofagrigus,mummy,,
tirtouga,solid-rock,sturdy,swift-swim
carracosta,solid-rock,sturdy,swift-swim
archen,defeatist,,
archeops,defeatist,,
trubbish,stench,sticky-hold,aftermath
garbodor,stench,weak-armor,aftermath
zorua,illusion,,
zoroark,illusion,,
minccino,cute-charm,technician,skill-link
cinccino,cute-charm,technician,skill-link
gothita,frisk,competitive,shadow-tag
gothorita,frisk,competitive,shadow-tag
gothitelle,frisk,competitive,shadow-tag
solosis,overcoat,magic-guard,regenerator
duosion,overcoat,magic-guard,regenerator
reuniclus,overcoat,magic-guard,regenerator
ducklett,keen-eye,big-pecks,hydration
swanna,keen-eye,big-pecks,hydration
vanillite,ice-body,snow-cloak,weak-armor
vanillish,ice-body,snow-cloak,weak-armor
vanilluxe,ice-body,snow-warning,weak-armor
deerling,chlorophyll,sap-sipper,serene-grace
sawsbuck,chlorophyll,sap-sipper,serene-grace
emolga,static,,motor-drive
karrablast,swarm,shed-skin,no-guard
escavalier,swarm,shell-armor,overcoat
foongus,effect-spore,,regenerator
amoonguss,effect-spore,,regenerator
frillish-male,water-absorb,cursed-body,damp
jellicent-male,water-absorb,cursed-body,damp
alomomola,healer,hydration,regenerator
joltik,compound-eyes,unnerve,swarm
galvantula,compound-eyes,unnerve,swarm
ferroseed,iron-barbs,,
ferrothorn,iron-barbs,,anticipation
klink,plus,minus,clear-body
klang,plus,minus,clear-body
klinklang,plus,minus,clear-body
tynamo,levitate,,
eelektrik,levitate,,
eelektross,levitate,,
elgyem,telepathy,synchronize,analytic
beheeyem,telepathy,synchronize,analytic
litwick,flash-fire,flame-body,infiltrator
lampent,flash-fire,flame-body,infiltrator
chandelure,flash-fire,flame-body,infiltrator
axew,rivalry,mold-breaker,unnerve
fraxure,rivalry,mold-breaker,unnerve
haxorus,rivalry,mold-breaker,unnerve
cubchoo,snow-cloak,slush-rush,rattled
beartic,snow-cloak,slush-rush,swift-swim
cryogonal,levitate,,
shelmet,hydration,shell-armor,overcoat
accelgor,hydration,sticky-hold,unburden
stunfisk,static,limber,sand-veil
mienfoo,inner-focus,regenerator,reckless
mienshao,inner-focus,regenerator,reckless
druddigon,rough-skin,sheer-force,mold-breaker
golett,iron-fist,klutz,no-guard
golurk,iron-fist,klutz,no-guard
pawniard,defiant,inner-focus,pressure
bisharp,defiant,inner-focus,pressure
bouffalant,reckless,sap-sipper,soundproof
rufflet,keen-eye,sheer-force,hustle
braviary,keen-eye,sheer-force,defiant
vullaby,big-pecks,overcoat,weak-armor
mandibuzz,big-pecks,overcoat,weak-armor
heatmor,gluttony,flash-fire,white-smoke
durant,swarm,hustle,truant
deino,hustle,,
zweilous,hustle,,
hydreigon,levitate,,
larvesta,flame-body,,swarm
volcarona,flame-body,,swarm
cobalion,justified,,
terrakion,justified,,
virizion,justified,,
tornadus-incarnate,prankster,,defiant
thundurus-incarnate,prankster,,defiant
reshiram,turboblaze,,
zekrom,teravolt,,
landorus-incarnate,sand-force,,sheer-force
kyurem,pressure,,
keldeo-ordinary,justified,,
meloetta-aria,serene-grace,,
genesect,download,,
chespin,overgrow,,bulletproof
quilladin,overgrow,,bulletproof
chesnaught,overgrow,,bulletproof
fennekin,blaze,,magician
braixen,blaze,,magician
delphox,blaze,,magician
froakie,torrent,,protean
frogadier,torrent,,protean
greninja,torrent,,protean
bunnelby,pickup,cheek-pouch,huge-power
diggersby,pickup,cheek-pouch,huge-power
fletchling,big-pecks,,gale-wings
fletchinder,flame-body,,gale-wings
talonflame,flame-body,,gale-wings
scatterbug,shield-dust,compound-eyes,friend-guard
spewpa,shed-skin,,friend-guard
vivillon,shield-dust,compound-eyes,friend-guard
litleo,rivalry,unnerve,moxie
pyroar-male,rivalry,unnerve,moxie
flabebe,flower-veil,,symbiosis
floette,flower-veil,,symbiosis
florges,flower-veil,,symbiosis
skiddo,sap-sipper,,grass-pelt
gogoat,sap-sipper,,grass-pelt
pancham,iron-fist,mold-breaker,scrappy
pangoro,iron-fist,mold-breaker,scrappy
furfrou,fur-coat,,
espurr,keen-eye,infiltrator,own-tempo
meowstic-male,keen-eye,infiltrator,prankster
honedge,no-guard,,
doublade,no-guard,,
aegislash-shield,stance-change,,
spritzee,healer,,aroma-veil
aromatisse,healer,,aroma-veil
swirlix,sweet-veil,,unburden
slurpuff,sweet-veil,,unburden
inkay,contrary,suction-cups,infiltrator
malamar,contrary,suction-cups,infiltrator
binacle,tough-claws,sniper,pickpocket
barbaracle,tough-claws,sniper,pickpocket
skrelp,poison-point,poison-touch,adaptability
dragalge,poison-point,poison-touch,adaptability
clauncher,mega-launcher,,
clawitzer,mega-launcher,,
helioptile,dry-skin,sand-veil,solar-power
heliolisk,dry-skin,sand-veil,solar-power
tyrunt,strong-jaw,,sturdy
tyrantrum,strong-jaw,,rock-head
amaura,refrigerate,,snow-warning
aurorus,refrigerate,,snow-warning
sylveon,cute-charm,,pixilate
hawlucha,limber,unburden,mold-breaker
dedenne,cheek-pouch,pickup,plus
carbink,clear-body,,sturdy
goomy,sap-sipper,hydration,gooey
sliggoo,sap-sipper,hydration,gooey
goodra,sap-sipper,hydration,gooey
klefki,prankster,,magician
phantump,natural-cure,frisk,harvest
trevenant,natural-cure,frisk,harvest
pumpkaboo-average,pickup,frisk,insomnia
gourgeist-average,pickup,frisk,insomnia
bergmite,own-tempo,ice-body,sturdy
avalugg,own-tempo,ice-body,sturdy
noibat,frisk,infiltrator,telepathy
noivern,frisk,infiltrator,telepathy
xerneas,fairy-aura,,
yveltal,dark-aura,,
zygarde-50,aura-break,,
diancie,clear-body,,
hoopa,magician,,
volcanion,water-absorb,,
rowlet,overgrow,,long-reach
dartrix,overgrow,,long-reach
decidueye,overgrow,,long-reach
litten,blaze,,intimidate
torracat,blaze,,intimidate
incineroar,blaze,,intimidate
popplio,torrent,,liquid-voice
brionne,torrent,,liquid-voice
primarina,torrent,,liquid-voice
pikipek,keen-eye,skill-link,pickup
trumbeak,keen-eye,skill-link,pickup
toucannon,keen-eye,skill-link,sheer-force
yungoos,stakeout,strong-jaw,adaptability
gumshoos,stakeout,strong-jaw,adaptability
grubbin,swarm,,
charjabug,battery,,
vikavolt,levitate,,
crabrawler,hyper-cutter,iron-fist,anger-point
crabominable,hyper-cutter,iron-fist,anger-point
oricorio-baile,dancer,,
cutiefly,honey-gather,shield-dust,sweet-veil
ribombee,honey-gather,shield-dust,sweet-veil
rockruff,keen-eye,vital-spirit,steadfast
lycanroc-midday,keen-eye,sand-rush,steadfast
wishiwashi-solo,schooling,,
mareanie,merciless,limber,regenerator
toxapex,merciless,limber,regenerator
mudbray,own-tempo,stamina,inner-focus
mudsdale,own-tempo,stamina,inner-focus
dewpider,water-bubble,,water-absorb
araquanid,water-bubble,,water-absorb
fomantis,leaf-guard,,contrary
lurantis,leaf-guard,,contrary
morelull,illuminate,effect-spore,rain-dish
shiinotic,illuminate,effect-spore,rain-dish
salandit,corrosion,,oblivious
salazzle,corrosion,,oblivious
stufful,fluffy,klutz,cute-charm
bewear,fluffy,klutz,unnerve
bounsweet,leaf-guard,oblivious,sweet-veil
steenee,leaf-guard,oblivious,sweet-veil
tsareena,leaf-guard,queenly-majesty,sweet-veil
comfey,flower-veil,triage,natural-cure
oranguru,inner-focus,telepathy,symbiosis
passimian,receiver,,defiant
wimpod,wimp-out,,
golisopod,emergency-exit,,
sandygast,water-compaction,,sand-veil
palossand,water-compaction,,sand-veil
pyukumuku,innards-out,,unaware
type-null,battle-armor,,
silvally,rks-system,,
minior-red-meteor,shields-down,,
komala,comatose,,
turtonator,shell-armor,,
