pokemon,base_experience,source
seadra,154,pokedb
goldeen,64,pokedb
seaking,158,pokedb
staryu,68,pokedb
starmie,182,pokedb
mr-mime,161,pokedb
scyther,100,pokedb
jynx,159,pokedb
electabuzz,172,pokedb
magmar,173,pokedb
pinsir,175,pokedb
tauros,172,pokedb
magikarp,40,pokedb
gyarados,189,pokedb
lapras,187,pokedb
ditto,101,pokedb
eevee,65,pokedb
vaporeon,184,pokedb
jolteon,184,pokedb
flareon,184,pokedb
porygon,79,pokedb
omanyte,71,pokedb
omastar,173,pokedb
kabuto,71,pokedb
kabutops,173,pokedb
aerodactyl,180,pokedb
snorlax,189,pokedb
articuno,290,pokedb
zapdos,290,pokedb
moltres,290,pokedb
dratini,60,pokedb
dragonair,147,pokedb
dragonite,300,pokedb
mewtwo,340,pokedb
mew,300,pokedb
chikorita,64,pokedb
bayleef,142,pokedb
meganium,236,pokedb
cyndaquil,62,pokedb
quilava,142,pokedb
typhlosion,267,pokedb
totodile,63,pokedb
croconaw,142,pokedb
feraligatr,239,pokedb
sentret,43,pokedb
furret,145,pokedb
hoothoot,52,pokedb
noctowl,158,pokedb
ledyba,53,pokedb
ledian,137,pokedb
spinarak,50,pokedb
ariados,140,pokedb
crobat,268,pokedb
chinchou,66,pokedb
lanturn,161,pokedb
pichu,41,pokedb
cleffa,44,pokedb
igglybuff,42,pokedb
togepi,49,pokedb
togetic,142,pokedb
natu,64,pokedb
xatu,165,pokedb
mareep,56,pokedb
flaaffy,128,pokedb
ampharos,230,pokedb
bellossom,245,pokedb
marill,88,pokedb
azumarill,210,pokedb
sudowoodo,144,pokedb
politoed,250,pokedb
hoppip,50,pokedb
skiploom,119,pokedb
jumpluff,207,pokedb
aipom,72,pokedb
sunkern,36,pokedb
sunflora,149,pokedb
yanma,78,pokedb
wooper,42,pokedb
quagsire,151,pokedb
espeon,184,pokedb
umbreon,184,pokedb
murkrow,81,pokedb
slowking,172,pokedb
misdreavus,87,pokedb
unown,118,pokedb
wobbuffet,142,pokedb
girafarig,159,pokedb
pineco,58,pokedb
forretress,163,pokedb
dunsparce,145,pokedb
gligar,86,pokedb
steelix,179,pokedb
snubbull,60,pokedb
granbull,158,pokedb
qwilfish,88,pokedb
scizor,175,pokedb
shuckle,177,pokedb
heracross,175,pokedb
sneasel,86,pokedb
teddiursa,66,pokedb
ursaring,175,pokedb
slugma,50,pokedb
magcargo,151,pokedb
swinub,50,pokedb
piloswine,158,pokedb
corsola,144,pokedb
remoraid,60,pokedb
octillery,168,pokedb
delibird,116,pokedb
mantine,170,pokedb
skarmory,163,pokedb
houndour,66,pokedb
houndoom,175,pokedb
kingdra,270,pokedb
phanpy,66,pokedb
donphan,175,pokedb
porygon2,180,pokedb
stantler,163,pokedb
smeargle,88,pokedb
tyrogue,42,pokedb
hitmontop,159,pokedb
smoochum,61,pokedb
elekid,72,pokedb
magby,73,pokedb
miltank,172,pokedb
blissey,635,pokedb
raikou,290,pokedb
entei,290,pokedb
suicune,290,pokedb
larvitar,60,pokedb
pupitar,144,pokedb
tyranitar,300,pokedb
lugia,340,pokedb
ho-oh,340,pokedb
celebi,300,pokedb
treecko,62,pokedb
grovyle,142,pokedb
sceptile,265,pokedb
torchic,62,pokedb
combusken,142,pokedb
blaziken,265,pokedb
mudkip,62,pokedb
marshtomp,142,pokedb
swampert,268,pokedb
poochyena,56,pokedb
mightyena,147,pokedb
zigzagoon,56,pokedb
linoone,147,pokedb
wurmple,56,pokedb
silcoon,72,pokedb
beautifly,178,pokedb
cascoon,72,pokedb
dustox,173,pokedb
lotad,44,pokedb
lombre,119,pokedb
ludicolo,240,pokedb
seedot,44,pokedb
nuzleaf,119,pokedb
shiftry,240,pokedb
taillow,54,pokedb
swellow,159,pokedb
wingull,54,pokedb
pelipper,154,pokedb
ralts,40,pokedb
kirlia,97,pokedb
gardevoir,259,pokedb
surskit,54,pokedb
masquerain,159,pokedb
shroomish,59,pokedb
breloom,161,pokedb
slakoth,56,pokedb
vigoroth,154,pokedb
slaking,252,pokedb
nincada,53,pokedb
ninjask,160,pokedb
shedinja,83,pokedb
whismur,48,pokedb
loudred,126,pokedb
exploud,245,pokedb
makuhita,47,pokedb
hariyama,166,pokedb
azurill,38,pokedb
nosepass,75,pokedb
skitty,52,pokedb
delcatty,140,pokedb
sableye,133,pokedb
mawile,133,pokedb
aron,66,pokedb
lairon,151,pokedb
aggron,265,pokedb
meditite,56,pokedb
medicham,144,pokedb
electrike,59,pokedb
manectric,166,pokedb
plusle,142,pokedb
minun,142,pokedb
volbeat,151,pokedb
illumise,151,pokedb
roselia,140,pokedb
gulpin,60,pokedb
swalot,163,pokedb
carvanha,61,pokedb
sharpedo,161,pokedb
wailmer,80,pokedb
wailord,175,pokedb
numel,61,pokedb
camerupt,161,pokedb
torkoal,165,pokedb
spoink,66,pokedb
grumpig,165,pokedb
spinda,126,pokedb
trapinch,58,pokedb
vibrava,119,pokedb
flygon,260,pokedb
cacnea,67,pokedb
cacturne,166,pokedb
swablu,62,pokedb
altaria,172,pokedb
zangoose,160,pokedb
seviper,160,pokedb
lunatone,161,pokedb
solrock,161,pokedb
barboach,58,pokedb
whiscash,164,pokedb
corphish,62,pokedb
crawdaunt,164,pokedb
baltoy,60,pokedb
claydol,175,pokedb
lileep,71,pokedb
cradily,173,pokedb
anorith,71,pokedb
armaldo,173,pokedb
feebas,40,pokedb
milotic,189,pokedb
castform,147,pokedb
kecleon,154,pokedb
shuppet,59,pokedb
banette,159,pokedb
duskull,59,pokedb
dusclops,159,pokedb
tropius,161,pokedb
chimecho,159,pokedb
absol,163,pokedb
wynaut,52,pokedb
snorunt,60,pokedb
glalie,168,pokedb
spheal,58,pokedb
sealeo,144,pokedb
walrein,265,pokedb
clamperl,69,pokedb
huntail,170,pokedb
gorebyss,170,pokedb
relicanth,170,pokedb
luvdisc,116,pokedb
bagon,60,pokedb
shelgon,147,pokedb
salamence,300,pokedb
beldum,60,pokedb
metang,147,pokedb
metagross,300,pokedb
regirock,290,pokedb
regice,290,pokedb
registeel,290,pokedb
latias,300,pokedb
latios,300,pokedb
kyogre,335,pokedb
groudon,335,pokedb
rayquaza,340,pokedb
jirachi,300,pokedb
deoxys-normal,270,pokedb
turtwig,64,pokedb
grotle,142,pokedb
torterra,236,pokedb
chimchar,62,pokedb
monferno,142,pokedb
infernape,240,pokedb
piplup,63,pokedb
prinplup,142,pokedb
empoleon,239,pokedb
starly,49,pokedb
staravia,119,pokedb
staraptor,218,pokedb
bidoof,50,pokedb
bibarel,144,pokedb
kricketot,39,pokedb
kricketune,134,pokedb
shinx,53,pokedb
luxio,127,pokedb
luxray,262,pokedb
budew,56,pokedb
roserade,258,pokedb
cranidos,70,pokedb
rampardos,173,pokedb
shieldon,70,pokedb
bastiodon,173,pokedb
burmy,45,pokedb
wormadam-plant,148,pokedb
mothim,148,pokedb
combee,49,pokedb
vespiquen,166,pokedb
pachirisu,142,pokedb
buizel,66,pokedb
floatzel,173,pokedb
cherubi,55,pokedb
cherrim,158,pokedb
shellos,65,pokedb
gastrodon,166,pokedb
ambipom,169,pokedb
drifloon,70,pokedb
drifblim,174,pokedb
buneary,70,pokedb
lopunny,168,pokedb
mismagius,173,pokedb
honchkrow,177,pokedb
glameow,62,pokedb
purugly,158,pokedb
chingling,57,pokedb
stunky,66,pokedb
skuntank,168,pokedb
bronzor,60,pokedb
bronzong,175,pokedb
bonsly,58,pokedb
mime-jr,62,pokedb
happiny,110,pokedb
chatot,144,pokedb
spiritomb,170,pokedb
gible,60,pokedb
gabite,144,pokedb
garchomp,300,pokedb
munchlax,78,pokedb
riolu,57,pokedb
lucario,184,pokedb
hippopotas,66,pokedb
hippowdon,184,pokedb
skorupi,66,pokedb
drapion,175,pokedb
croagunk,60,pokedb
toxicroak,172,pokedb
carnivine,159,pokedb
finneon,66,pokedb
lumineon,161,pokedb
mantyke,69,pokedb
snover,67,pokedb
abomasnow,173,pokedb
weavile,179,pokedb
magnezone,268,pokedb
lickilicky,180,pokedb
rhyperior,268,pokedb
tangrowth,187,pokedb
electivire,270,pokedb
magmortar,270,pokedb
togekiss,273,pokedb
yanmega,180,pokedb
leafeon,184,pokedb
glaceon,184,pokedb
gliscor,179,pokedb
mamoswine,265,pokedb
porygon-z,268,pokedb
gallade,259,pokedb
probopass,184,pokedb
dusknoir,263,pokedb
froslass,168,pokedb
rotom,154,pokedb
uxie,290,pokedb
mesprit,290,pokedb
azelf,290,pokedb
dialga,340,pokedb
palkia,340,pokedb
heatran,300,pokedb
regigigas,335,pokedb
giratina-altered,340,pokedb
cresselia,300,pokedb
phione,216,pokedb
manaphy,270,pokedb
darkrai,270,pokedb
shaymin-land,270,pokedb
arceus,324,pokedb
victini,300,pokedb
snivy,62,pokedb
servine,145,pokedb
serperior,238,pokedb
tepig,62,pokedb
pignite,146,pokedb
emboar,238,pokedb
oshawott,62,pokedb
dewott,145,pokedb
samurott,238,pokedb
patrat,51,pokedb
watchog,147,pokedb
lillipup,55,pokedb
herdier,130,pokedb
stoutland,250,pokedb
purrloin,56,pokedb
liepard,156,pokedb
pansage,63,pokedb
simisage,174,pokedb
pansear,63,pokedb
simisear,174,pokedb
panpour,63,pokedb
simipour,174,pokedb
munna,58,pokedb
musharna,170,pokedb
pidove,53,pokedb
tranquill,125,pokedb
unfezant,244,pokedb
blitzle,59,pokedb
zebstrika,174,pokedb
roggenrola,56,pokedb
boldore,137,pokedb
gigalith,258,pokedb
woobat,65,pokedb
swoobat,149,pokedb
drilbur,66,pokedb
excadrill,178,pokedb
audino,390,pokedb
timburr,61,pokedb
gurdurr,142,pokedb
conkeldurr,253,pokedb
tympole,59,pokedb
palpitoad,134,pokedb
seismitoad,255,pokedb
throh,163,pokedb
sawk,163,pokedb
sewaddle,62,pokedb
swadloon,133,pokedb
leavanny,225,pokedb
venipede,52,pokedb
whirlipede,126,pokedb
scolipede,243,pokedb
cottonee,56,pokedb
whimsicott,168,pokedb
petilil,56,pokedb
lilligant,168,pokedb
basculin-red-striped,161,pokedb
sandile,58,pokedb
krokorok,123,pokedb
krookodile,260,pokedb
darumaka,63,pokedb
darmanitan-standard,168,pokedb
maractus,161,pokedb
dwebble,65,pokedb
crustle,170,pokedb
scraggy,70,pokedb
scrafty,171,pokedb
sigilyph,172,pokedb
yamask,61,pokedb
cofagrigus,169,pokedb
tirtouga,71,pokedb
carracosta,173,pokedb
archen,71,pokedb
archeops,177,pokedb
trubbish,66,pokedb
garbodor,166,pokedb
zorua,66,pokedb
zoroark,179,pokedb
minccino,60,pokedb
cinccino,165,pokedb
gothita,58,pokedb
gothorita,137,pokedb
gothitelle,245,pokedb
solosis,58,pokedb
duosion,130,pokedb
reuniclus,245,pokedb
ducklett,61,pokedb
swanna,166,pokedb
vanillite,61,pokedb
vanillish,138,pokedb
vanilluxe,268,pokedb
deerling,67,pokedb
sawsbuck,166,pokedb
emolga,150,pokedb
karrablast,63,pokedb
escavalier,173,pokedb
foongus,59,pokedb
amoonguss,162,pokedb
frillish-male,67,pokedb
jellicent-male,168,pokedb
alomomola,165,pokedb
joltik,64,pokedb
galvantula,165,pokedb
ferroseed,61,pokedb
ferrothorn,171,pokedb
klink,60,pokedb
klang,154,pokedb
klinklang,260,pokedb
tynamo,55,pokedb
eelektrik,142,pokedb
eelektross,232,pokedb
elgyem,67,pokedb
beheeyem,170,pokedb
litwick,55,pokedb
lampent,130,pokedb
chandelure,260,pokedb
axew,64,pokedb
fraxure,144,pokedb
haxorus,270,pokedb
cubchoo,61,pokedb
beartic,177,pokedb
cryogonal,180,pokedb
shelmet,61,pokedb
accelgor,173,pokedb
stunfisk,165,pokedb
mienfoo,70,pokedb
mienshao,179,pokedb
druddigon,170,pokedb
golett,61,pokedb
golurk,169,pokedb
pawniard,68,pokedb
bisharp,172,pokedb
bouffalant,172,pokedb
rufflet,70,pokedb
braviary,179,pokedb
vullaby,74,pokedb
mandibuzz,179,pokedb
heatmor,169,pokedb
durant,169,pokedb
deino,60,pokedb
zweilous,147,pokedb
hydreigon,300,pokedb
larvesta,72,pokedb
volcarona,275,pokedb
cobalion,290,pokedb
terrakion,290,pokedb
virizion,290,pokedb
tornadus-incarnate,290,pokedb
thundurus-incarnate,290,pokedb
reshiram,340,pokedb
zekrom,340,pokedb
landorus-incarnate,300,pokedb
kyurem,330,pokedb
keldeo-ordinary,290,pokedb
meloetta-aria,270,pokedb
genesect,300,pokedb
chespin,63,pokedb
quilladin,142,pokedb
chesnaught,239,pokedb
fennekin,61,pokedb
braixen,143,pokedb
delphox,240,pokedb
froakie,63,pokedb
frogadier,142,pokedb
greninja,239,pokedb
bunnelby,47,pokedb
diggersby,148,pokedb
fletchling,56,pokedb
fletchinder,134,pokedb
talonflame,175,pokedb
scatterbug,40,pokedb
spewpa,75,pokedb
litleo,74,pokedb
pyroar-male,177,pokedb
skiddo,70,pokedb
gogoat,186,pokedb
pancham,70,pokedb
pangoro,173,pokedb
furfrou,165,pokedb
espurr,71,pokedb
meowstic-male,163,pokedb
honedge,65,pokedb
doublade,157,pokedb
aegislash-shield,250,pokedb
spritzee,68,pokedb
aromatisse,162,pokedb
swirlix,68,pokedb
slurpuff,168,pokedb
inkay,58,pokedb
malamar,169,pokedb
binacle,61,pokedb
barbaracle,175,pokedb
skrelp,64,pokedb
dragalge,173,pokedb
clauncher,66,pokedb
clawitzer,100,pokedb
helioptile,58,pokedb
heliolisk,168,pokedb
tyrunt,72,pokedb
tyrantrum,182,pokedb
amaura,72,pokedb
aurorus,104,pokedb
sylveon,184,pokedb
hawlucha,175,pokedb
dedenne,151,pokedb
carbink,100,pokedb
goomy,60,pokedb
sliggoo,158,pokedb
goodra,300,pokedb
klefki,165,pokedb
phantump,62,pokedb
trevenant,166,pokedb
pumpkaboo-average,67,pokedb
gourgeist-average,173,pokedb
bergmite,61,pokedb
avalugg,180,pokedb
noibat,49,pokedb
noivern,187,pokedb
yveltal,340,pokedb
zygarde-50,300,pokedb
diancie,300,pokedb
hoopa,270,pokedb
volcanion,300,pokedb
rowlet,64,pokedb
dartrix,147,pokedb
decidueye,265,pokedb
litten,64,pokedb
torracat,147,pokedb
incineroar,265,pokedb
popplio,64,pokedb
brionne,147,pokedb
primarina,265,pokedb
pikipek,53,pokedb
trumbeak,124,pokedb
toucannon,218,pokedb
yungoos,51,pokedb
gumshoos,146,pokedb
grubbin,60,pokedb
charjabug,140,pokedb
vikavolt,250,pokedb
crabrawler,68,pokedb
crabominable,167,pokedb
oricorio-baile,167,pokedb
cutiefly,61,pokedb
ribombee,162,pokedb
rockruff,56,pokedb
lycanroc-midday,170,pokedb
wishiwashi-solo,61,pokedb
mareanie,61,pokedb
toxapex,173,pokedb
mudbray,77,pokedb
mudsdale,175,pokedb
dewpider,54,pokedb
araquanid,159,pokedb
fomantis,50,pokedb
lurantis,168,pokedb
morelull,57,pokedb
shiinotic,142,pokedb
salandit,64,pokedb
salazzle,168,pokedb
stufful,68,pokedb
bewear,175,pokedb
bounsweet,42,pokedb
steenee,102,pokedb
tsareena,255,pokedb
comfey,170,pokedb
oranguru,172,pokedb
passimian,172,pokedb
wimpod,46,pokedb
golisopod,186,pokedb
sandygast,64,pokedb
palossand,168,pokedb
pyukumuku,144,pokedb
type-null,107,pokedb
silvally,285,pokedb
minior-red-meteor,154,pokedb
komala,168,pokedb
turtonator,170,pokedb
togedemaru,152,pokedb
mimikyu-disguised,167,pokedb
bruxish,166,pokedb
drampa,170,pokedb
dhelmise,181,pokedb
jangmo-o,60,pokedb
hakamo-o,147,pokedb
kommo-o,300,pokedb
tapu-koko,285,pokedb
tapu-lele,285,pokedb
tapu-bulu,285,pokedb
tapu-fini,285,pokedb
cosmog,40,pokedb
cosmoem,140,pokedb
solgaleo,340,pokedb
lunala,340,pokedb
nihilego,285,pokedb
buzzwole,285,pokedb
pheromosa,285,pokedb
xurkitree,285,pokedb
celesteela,285,pokedb
kartana,285,pokedb
guzzlord,285,pokedb
necrozma,300,pokedb
magearna,300,pokedb
marshadow,300,pokedb
poipole,210,pokedb
naganadel,270,pokedb
stakataka,285,pokedb
blacephalon,285,pokedb
zeraora,300,pokedb
meltan,150,pokedb
melmetal,300,pokedb
grookey,62,pokedb
thwackey,147,pokedb
rillaboom,265,pokedb
scorbunny,62,pokedb
raboot,147,pokedb
cinderace,265,pokedb
sobble,62,pokedb
drizzile,147,pokedb
inteleon,265,pokedb
skwovet,55,pokedb
greedent,161,pokedb
rookidee,49,pokedb
corvisquire,128,pokedb
corviknight,248,pokedb
blipbug,36,pokedb
dottler,117,pokedb
orbeetle,253,pokedb
nickit,49,pokedb
thievul,159,pokedb
gossifleur,50,pokedb
eldegoss,161,pokedb
wooloo,122,pokedb
dubwool,172,pokedb
chewtle,57,pokedb
drednaw,170,pokedb
yamper,54,pokedb
boltund,172,pokedb
rolycoly,48,pokedb
carkol,144,pokedb
coalossal,255,pokedb
applin,52,pokedb
flapple,170,pokedb
appletun,170,pokedb
silicobra,63,pokedb
sandaconda,179,pokedb
cramorant,166,pokedb
arrokuda,56,pokedb
barraskewda,172,pokedb
toxel,48,pokedb
toxtricity-amped,176,pokedb
sizzlipede,61,pokedb
centiskorch,184,pokedb
clobbopus,62,pokedb
grapploct,168,pokedb
sinistea,62,pokeapi
polteageist,178,pokeapi
hatenna,53,pokedb
hattrem,130,pokedb
hatterene,255,pokedb
impidimp,53,pokedb
morgrem,130,pokedb
grimmsnarl,255,pokedb
obstagoon,260,pokedb
perrserker,154,pokedb
cursola,179,pokedb
sirfetchd,177,pokedb
mr-rime,182,pokedb
runerigus,169,pokedb
milcery,54,pokedb
alcremie,173,pokedb
falinks,165,pokedb
pincurchin,152,pokedb
snom,37,pokedb
frosmoth,166,pokedb
stonjourner,165,pokedb
eiscue-ice,165,pokedb
indeedee-male,166,pokedb
morpeko-full-belly,153,pokedb
cufant,66,pokedb
copperajah,175,pokedb
dracozolt,177,pokedb
arctozolt,177,pokedb
dracovish,177,pokedb
arctovish,177,pokedb
duraludon,187,pokedb
dreepy,54,pokedb
drakloak,144,pokedb
dragapult,300,pokedb
zacian,335,pokedb
zamazenta,360,pokedb
eternatus,345,pokedb
kubfu,77,pokedb
urshifu-single-strike,275,pokedb
zarude,300,pokedb
regieleki,290,pokedb
regidrago,290,pokedb
glastrier,290,pokedb
spectrier,290,pokedb
calyrex,250,pokedb
wyrdeer,263,pokedb
kleavor,175,pokedb
ursaluna,275,pokedb
basculegion-male,265,pokedb
sneasler,102,pokedb
overqwil,179,pokedb
enamorus-incarnate,116,pokedb
sprigatito,62,pokedb
floragato,144,pokedb
meowscarada,265,pokedb
fuecoco,62,pokedb
crocalor,144,pokedb
skeledirge,265,pokedb
quaxly,62,pokedb
quaxwell,144,pokedb
quaquaval,265,pokedb
lechonk,51,pokedb
oinkologne-male,171,pokedb
tarountula,42,pokedb
spidops,141,pokedb
nymble,42,pokedb
lokix,158,pokedb
pawmi,48,pokedb
pawmo,123,pokedb
pawmot,245,pokedb
tandemaus,61,pokedb
maushold-family-of-four,165,pokedb
fidough,62,pokedb
dachsbun,167,pokedb
smoliv,52,pokedb
dolliv,124,pokedb
arboliva,255,pokedb
squawkabilly-green-plumage,146,pokedb
nacli,56,pokedb
naclstack,124,pokedb
garganacl,250,pokedb
charcadet,51,pokedb
armarouge,263,pokedb
ceruledge,263,pokedb
tadbulb,54,pokedb
bellibolt,173,pokedb
wattrel,56,pokedb
kilowattrel,172,pokedb
maschiff,68,pokedb
mabosstiff,177,pokedb
shroodle,58,pokedb
grafaiai,170,pokedb
bramblin,55,pokedb
brambleghast,168,pokedb
toedscool,67,pokedb
toedscruel,180,pokedb
klawf,158,pokedb
capsakid,61,pokedb
scovillain,170,pokedb
rellor,54,pokedb
rabsca,165,pokedb
flittle,51,pokedb
espathra,168,pokedb
tinkatink,59,pokedb
tinkatuff,133,pokedb
tinkaton,253,pokedb
wiglett,49,pokedb
wugtrio,149,pokedb
bombirdier,243,pokedb
finizen,63,pokedb
palafin-zero,160,pokedb
varoom,60,pokedb
revavroom,175,pokedb
cyclizar,175,pokedb
orthworm,240,pokedb
glimmet,70,pokedb
glimmora,184,pokedb
greavard,58,pokedb
houndstone,171,pokedb
flamigo,175,pokedb
cetoddle,67,pokedb
cetitan,182,pokedb
veluza,167,pokedb
dondozo,265,pokedb
tatsugiri-curly,166,pokedb
annihilape,268,pokedb
clodsire,151,pokedb
farigiraf,260,pokedb
dudunsparce-two-segment,182,pokedb
kingambit,275,pokedb
great-tusk,285,pokedb
scream-tail,285,pokedb
brute-bonnet,285,pokedb
flutter-mane,285,pokedb
slither-wing,285,pokedb
sandy-shocks,285,pokedb
iron-treads,285,pokedb
iron-bundle,285,pokedb
iron-hands,285,pokedb
iron-jugulis,285,pokedb
iron-moth,285,pokedb
iron-thorns,285,pokedb
frigibax,64,pokedb
arctibax,148,pokedb
baxcalibur,300,pokedb
gimmighoul,60,pokeapi
gholdengo,275,pokedb
wo-chien,285,pokedb
chien-pao,285,pokedb
ting-lu,285,pokedb
chi-yu,285,pokedb
roaring-moon,295,pokedb
iron-valiant,295,pokedb
koraidon,335,pokedb
miraidon,335,pokedb
walking-wake,295,pokedb
iron-leaves,295,pokedb
dipplin,170,pokedb
poltchageist,62,pokeapi
sinistcha,178,pokeapi
okidogi,278,pokedb
munkidori,278,pokedb
fezandipiti,278,pokedb
ogerpon,275,pokedb
archaludon,300,pokedb
hydrapple,270,pokedb
gouging-fire,295,pokedb
raging-bolt,295,pokedb
iron-boulder,295,pokedb
iron-crown,295,pokedb
terapagos,90,pokedb
pecharunt,300,pokedb
deoxys-attack,270,pokedb
deoxys-defense,270,pokedb
deoxys-speed,270,pokedb
wormadam-sandy,148,pokedb
wormadam-trash,148,pokedb
shaymin-sky,270,pokedb
giratina-origin,340,pokedb
rotom-heat,182,pokedb
rotom-wash,182,pokedb
rotom-frost,182,pokedb
rotom-fan,182,pokedb
rotom-mow,182,pokedb
castform-sunny,147,pokedb
castform-rainy,147,pokedb
castform-snowy,147,pokedb
basculin-blue-striped,161,pokedb
darmanitan-zen,189,pokedb
meloetta-pirouette,270,pokedb
tornadus-therian,290,pokedb
thundurus-therian,290,pokedb
landorus-therian,600,pokedb
kyurem-black,350,pokedb
kyurem-white,350,pokedb
keldeo-resolute,290,pokedb
meowstic-female,163,pokedb
aegislash-blade,250,pokedb
pumpkaboo-small,67,pokedb
pumpkaboo-large,67,pokedb
pumpkaboo-super,67,pokedb
gourgeist-small,173,pokedb
gourgeist-large,173,pokedb
gourgeist-super,173,pokedb
venusaur-mega,281,pokedb
charizard-mega-x,285,pokedb
charizard-mega-y,285,pokedb
blastoise-mega,284,pokedb
alakazam-mega,270,pokedb
gengar-mega,270,pokedb
kangaskhan-mega,207,pokedb
pinsir-mega,210,pokedb
gyarados-mega,224,pokedb
aerodactyl-mega,215,pokedb
mewtwo-mega-x,351,pokedb
mewtwo-mega-y,351,pokedb
ampharos-mega,275,pokedb
scizor-mega,210,pokedb
heracross-mega,210,pokedb
houndoom-mega,210,pokedb
tyranitar-mega,315,pokedb
blaziken-mega,284,pokedb
gardevoir-mega,278,pokedb
mawile-mega,168,pokedb
aggron-mega,284,pokedb
medicham-mega,179,pokedb
manectric-mega,201,pokedb
banette-mega,194,pokedb
absol-mega,198,pokedb
garchomp-mega,315,pokedb
lucario-mega,219,pokedb
abomasnow-mega,208,pokedb
floette-eternal,243,pokedb
latias-mega,315,pokedb
latios-mega,315,pokedb
swampert-mega,286,pokedb
sceptile-mega,284,pokedb
sableye-mega,168,pokedb
altaria-mega,207,pokedb
gallade-mega,278,pokedb
audino-mega,425,pokedb
sharpedo-mega,196,pokedb
slowbro-mega,207,pokedb
steelix-mega,214,pokedb
pidgeot-mega,261,pokedb
glalie-mega,203,pokedb
diancie-mega,315,pokedb
metagross-mega,315,pokedb
kyogre-primal,347,pokedb
groudon-primal,347,pokedb
rayquaza-mega,351,pokedb
pikachu-rock-star,112,pokedb
pikachu-pop-star,112,pokedb
hoopa-unbound,306,pokedb
camerupt-mega,196,pokedb
lopunny-mega,203,pokedb
salamence-mega,315,pokedb
beedrill-mega,223,pokedb
rattata-alola,51,pokedb
raticate-alola,145,pokedb
raticate-totem-alola,145,pokedb
pikachu-original-cap,112,pokedb
pikachu-hoenn-cap,112,pokedb
pikachu-sinnoh-cap,112,pokedb
pikachu-unova-cap,112,pokedb
pikachu-kalos-cap,112,pokedb
pikachu-alola-cap,112,pokedb
raichu-alola,243,pokedb
sandshrew-alola,60,pokedb
sandslash-alola,158,pokedb
vulpix-alola,60,pokedb
ninetales-alola,177,pokedb
diglett-alola,53,pokedb
dugtrio-alola,149,pokedb
meowth-alola,58,pokedb
persian-alola,154,pokedb
geodude-alola,60,pokedb
graveler-alola,137,pokedb
golem-alola,223,pokedb
grimer-alola,65,pokedb
muk-alola,175,pokedb
exeggutor-alola,186,pokedb
marowak-alola,149,pokedb
greninja-battle-bond,239,pokedb
greninja-ash,288,pokedb
zygarde-complete,354,pokedb
