move,changed_in_version_group,type,power,pp,accuracy,priority,target,effect_id,effect_chance
icicle-spear,black-white,,10,,,,,,
howl,sword-shield,,,,,,user,,
covet,black-white,,40,,,,,,
covet,x-y,,,40,,,,,
leaf-blade,diamond-pearl,,70,,,,,,
rock-blast,black-white,,,,80,,,,
doom-desire,black-white,,120,,85,,,,
wake-up-slap,x-y,,60,,,,,,
feint,black-white,,50,,,,,,
tailwind,x-y,,,30,,,,,
assurance,x-y,,50,,,,,,
psycho-shift,x-y,,,,90,,,,
me-first,black-white,,0,,,,,,
punishment,black-white,,60,,,,,,
last-resort,black-white,,130,,,,,,
sucker-punch,sun-moon,,80,,,,,,
aura-sphere,x-y,,90,,,,,,
air-slash,x-y,,,20,,,,,
dragon-pulse,x-y,,90,,,,,,
power-gem,x-y,,70,,,,,,
drain-punch,black-white,,60,5,,,,,
energy-ball,x-y,,80,,,,,,
draco-meteor,x-y,,140,,,,,,
leaf-storm,x-y,,140,,,,,,
gunk-shot,x-y,,,,70,,,,
chatter,x-y,,60,,,,,,
magma-storm,black-white,,,,70,,,,
magma-storm,x-y,,120,,,,,,
dark-void,sun-moon,,,,80,,,,
wonder-room,x-y,,,,,-7,,,
rage-powder,x-y,,,,,3,,,
magic-room,x-y,,,,,-7,,,
storm-throw,x-y,,40,,,,,,
synchronoise,x-y,,70,15,,,,,
low-sweep,x-y,,60,,,,,,
hex,x-y,,50,,,,,,
incinerate,x-y,,30,,,,,,
water-pledge,x-y,,50,,,,,,
fire-pledge,x-y,,50,,,,,,
grass-pledge,x-y,,50,,,,,,
struggle-bug,x-y,,30,,,,,,
frost-breath,x-y,,40,,,,,,
sacred-sword,x-y,,,20,,,,,
hurricane,x-y,,120,,,,,,
techno-blast,x-y,,85,,,,,,
flying-press,sun-moon,,80,,,,,,
fell-stinger,sun-moon,,30,,,,,,
parabolic-charge,sun-moon,,50,,,,,,
mystical-fire,sun-moon,,65,,,,,,
multi-attack,sword-shield,,90,,,,,,
zippy-zap,sword-shield,,50,15,,,,,
bouncy-bubble,sword-shield,,90,15,,,,,
buzzy-buzz,sword-shield,,90,15,,,,,
sizzly-slide,sword-shield,,90,15,,,,,
glitzy-glow,sword-shield,,90,,100,,,,
baddy-bad,sword-shield,,90,,100,,,,
sappy-seed,sword-shield,,90,15,100,,,,
freezy-frost,sword-shield,,90,15,100,,,,
sparkly-swirl,sword-shield,,90,15,100,,,,
