identifier,id,category,category_pokedb,cost,fling_power,fling_effect,introduced_generation,flags,is_consumable,is_holdable,is_field_usable,is_battle_usable,description,source
burn-heal,19,status-cures,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A spray-type medicine that cures a Pokémon of a burn.,both
ice-heal,20,status-cures,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A spray-type medicine that thaws out a Pokémon that has been frozen.,both
awakening,21,status-cures,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A spray-type medicine that wakes a Pokémon from sleep or drowsiness.,both
paralyze-heal,22,status-cures,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A spray-type medicine that cures a Pokémon of paralysis.,both
full-restore,23,healing,medicine,3000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A medicine that fully restores a Pokémon's HP and cures all non-volatile status conditions and confusion.,both
max-potion,24,healing,medicine,2500,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A spray-type medicine that fully restores a Pokémon’s HP.,both
hyper-potion,25,healing,medicine,1500,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A spray-type medicine that restores a Pokémon’s HP.,both
super-potion,26,healing,medicine,700,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A spray-type medicine that restores a Pokémon’s HP.,both
full-heal,27,status-cures,medicine,400,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A spray-type medicine that cures a Pokémon of all non-volatile status conditions and confusion.,both
revive,28,revival,medicine,2000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable;underground,1,0,1,1,A medicine that revives a fainted Pokémon and restores half of its maximum HP.,both
max-revive,29,revival,medicine,4000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable;underground,1,0,1,1,Revives a fainted Pokémon and fully restores its HP.,both
fresh-water,30,healing,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A drink with high mineral content that restores a Pokémon's HP.,both
soda-pop,31,healing,medicine,300,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A fizzy soda drink that restores a Pokémon’s HP.,both
lemonade,32,healing,medicine,400,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A very sweet drink that restores a Pokémon’s HP when consumed.,both
moomoo-milk,33,healing,medicine,600,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A bottle of highly nutritious milk that restores 100 HP to a Pokémon.,both
energy-powder,34,healing,medicine,500,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A very bitter herbal medicine that restores a Pokémon’s HP but lowers its friendship.,both
energy-root,35,healing,medicine,1200,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A very bitter herbal medicine that restores a Pokémon’s HP but lowers its friendship.,both
heal-powder,36,status-cures,medicine,300,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A very bitter herbal medicine that cures all non-volatile status conditions and confusion.,both
revival-herb,37,revival,medicine,2800,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,0,A very bitter medicinal herb that revives a fainted Pokémon.,both
ether,38,pp-recovery,medicine,1200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,0,1,A medicine that restores 10 PP to a single selected move that a Pokémon knows.,both
max-ether,39,pp-recovery,medicine,2000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A medicine that fully restores the PP of a single selected move that a Pokémon knows.,both
elixir,40,pp-recovery,medicine,3000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A medicine that restores 10 PP to all of a Pokémon’s moves.,both
max-elixir,41,pp-recovery,medicine,4500,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,0,A medicine that fully restores the PP of all of a Pokémon’s moves.,both
lava-cookie,42,status-cures,medicine,350,30,,3,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A local specialty of Lavaridge Town that heals all non-volatile status conditions and confusion.,both
berry-juice,43,healing,medicine,200,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,1,A drink made from Berries that restores 20 HP to a Pokémon.,both
sacred-ash,44,revival,medicine,50000,30,,2,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,0,A rare ash that revives all fainted Pokémon in the party and fully restores their HP.,both
hp-up,45,vitamins,medicine,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin that increases a Pokémon's HP base points.,both
protein,46,vitamins,medicine,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin drink that raises a Pokémon’s Attack stat.,both
iron,47,vitamins,medicine,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin that permanently increases a Pokémon’s Defense base points.,both
carbos,48,vitamins,vitamins,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin that increases a Pokémon’s Speed.,both
calcium,49,vitamins,medicine,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin drink that increases a Pokémon’s Special Attack.,both
rare-candy,50,vitamins,candy,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A candy that raises a Pokémon's level by one.,both
pp-up,51,vitamins,vitamins,10000,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,Raises the maximum PP of a selected move by one-fifth of its base PP.,both
zinc,52,vitamins,medicine,10000,30,,3,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,0,A vitamin drink that increases a Pokémon’s Special Defense base points.,both
pp-max,53,vitamins,vitamins,10000,30,,3,countable;consumable;usable-overworld;usable-in-battle;holdable,1,1,1,0,Raises the PP of a selected move to the maximum possible amount.,both
old-gateau,54,status-cures,medicine,350,30,,4,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,0,1,A local specialty from the Old Chateau that cures a Pokémon of all non-volatile status conditions and confusion.,both
guard-spec,55,stat-boosts,battle-items,1500,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that prevents Pokémon on the user's side from having their stats lowered for a limited time.,both
dire-hit,56,stat-boosts,battle-items,1000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon's critical-hit ratio.,both
x-attack,57,stat-boosts,battle-items,1000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s Attack stat during battle.,both
x-defense,58,stat-boosts,battle-items,2000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s Defense stat during battle.,both
x-speed,59,stat-boosts,battle-items,1000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s Speed stat during battle.,both
x-accuracy,60,stat-boosts,battle-items,1000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s accuracy during battle.,both
x-sp-atk,61,stat-boosts,battle-items,1000,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s Special Attack during battle.,both
x-sp-def,62,stat-boosts,battle-items,2000,30,,4,countable;consumable;usable-in-battle;holdable,1,0,0,1,A battle item that temporarily boosts a Pokémon’s Special Defense during battle.,both
poke-doll,63,spelunking,battle-items,300,30,,1,countable;consumable;usable-in-battle;holdable,1,0,0,1,"A doll that attracts the attention of wild Pokémon, guaranteeing escape from battle.",both
fluffy-tail,64,spelunking,battle-items,100,30,,3,countable;consumable;usable-in-battle;holdable,1,0,0,1,An item that guarantees escape from any battle with a wild Pokémon.,both
blue-flute,65,flutes,medicine,20,30,,3,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A blue glass flute that awakens sleeping Pokémon.,both
yellow-flute,66,flutes,medicine,20,30,,3,countable;consumable;usable-in-battle;holdable,1,0,0,1,A yellow glass flute that snaps a Pokémon out of confusion.,both
red-flute,67,flutes,medicine,20,30,,3,countable;consumable;usable-in-battle;holdable,1,0,0,1,A red glass flute whose melody snaps a Pokémon out of infatuation.,both
black-flute,68,spelunking,misc-items,20,30,,3,countable;consumable;usable-overworld;holdable,0,1,1,0,A flute made from black glass that alters wild Pokémon encounters when used.,both
white-flute,69,spelunking,misc-items,20,30,,3,countable;consumable;usable-overworld;holdable,0,1,1,0,A flute made from white glass that affects encounters with wild Pokémon when used.,both
shoal-salt,70,collectibles,misc-items,20,30,,3,countable,0,1,1,0,"Salt obtained deep inside Shoal Cave, used in Hoenn to make a Shell Bell.",both
shoal-shell,71,collectibles,misc-items,20,30,,3,countable,0,1,0,0,"A valuable seashell found inside Shoal Cave, used in Hoenn to make a Shell Bell.",both
red-shard,72,collectibles,misc-items,1000,30,,3,underground,0,1,0,0,A small red shard that appears to be a fragment of an ancient implement.,both
blue-shard,73,collectibles,misc-items,1000,30,,3,underground,0,1,0,0,A small blue shard that appears to be a fragment of an ancient implement.,both
yellow-shard,74,collectibles,misc-items,1000,30,,3,underground,0,1,0,0,A small yellow shard that appears to be a fragment of an implement made long ago.,both
green-shard,75,collectibles,misc-items,1000,30,,3,underground,0,1,1,0,A small green shard that appears to be a fragment of an ancient implement.,both
super-repel,76,spelunking,misc-items,700,30,,1,,1,0,1,0,An item that prevents low-level wild Pokémon from appearing for a longer time than Repel.,both
max-repel,77,spelunking,misc-items,900,30,,1,,1,0,1,0,An item that prevents low-level wild Pokémon from appearing for a long time.,both
escape-rope,78,spelunking,misc-items,300,30,,1,,1,0,1,0,A long and durable rope used to escape instantly from caves or dungeons.,both
repel,79,spelunking,misc-items,400,30,,1,,1,0,1,0,An aerosol spray that prevents low-level wild Pokémon from appearing for a limited number of steps.,both
sun-stone,80,evolution,evolution-stones,3000,30,,2,underground,1,1,1,0,A peculiar red stone that causes certain Pokémon to evolve.,both
moon-stone,81,evolution,evolution-items,3000,30,,1,underground,1,1,1,0,A peculiar evolutionary stone that can make certain species of Pokémon evolve.,both
fire-stone,82,evolution,evolution-stones,3000,30,,1,underground,1,0,1,0,A peculiar stone that can make certain species of Pokémon evolve.,both
thunder-stone,83,evolution,evolution-items,3000,30,,1,underground,1,1,1,0,A peculiar stone that can make certain species of Pokémon evolve. It has a distinct thunderbolt pattern.,both
water-stone,84,evolution,evolution-stones,3000,30,,1,underground,1,1,1,0,A peculiar blue stone that makes certain species of Pokémon evolve when used.,both
leaf-stone,85,evolution,evolution-stones,3000,30,,1,underground,1,1,1,0,A peculiar stone with a leaf pattern that can make certain species of Pokémon evolve.,both
tiny-mushroom,86,loot,valueable-items,500,30,,2,,0,1,0,0,A small and rare mushroom that is popular with collectors and can be sold for money.,both
big-mushroom,87,loot,valueable-items,5000,30,,2,,1,1,0,0,A large and rare mushroom that is highly valued and can be sold for a high price.,both
pearl,88,loot,valueable-items,2000,30,,2,,0,1,0,0,A valuable pearl that serves no purpose other than being sold.,both
big-pearl,89,loot,valueable-items,8000,30,,2,,0,1,0,0,"A large, valuable pearl that is prized for its high selling price.",both
stardust,90,loot,misc-items,3000,30,,2,,0,1,0,0,Lovely red sand that can be sold for money or used as a crafting material in some games.,both
star-piece,91,loot,valueable-items,12000,30,,2,underground,0,1,0,0,A small shard of a beautiful red gem that can be sold at a high price.,both
nugget,92,loot,valueable-items,10000,30,,1,,0,1,0,0,A nugget of pure gold that can be sold at a high price.,both
heart-scale,93,collectibles,misc-items,100,30,,3,underground,1,1,1,0,"A pretty, heart-shaped scale that is extremely rare and prized by certain people.",both
honey,94,dex-completion,misc-items,900,30,,4,,1,1,1,0,A sweet honey with a lush aroma that attracts wild Pokémon when used in certain locations.,both
growth-mulch,95,mulch,mulch,200,30,,4,,1,0,1,0,A type of mulch used to make Berry plants grow faster.,both
damp-mulch,96,mulch,mulch,200,30,,4,,1,0,1,0,"A type of mulch that slows how quickly soil dries, affecting Berry growth.",both
stable-mulch,97,mulch,mulch,200,30,,4,,1,0,1,0,A type of mulch that makes ripened Berries remain on their plants longer before falling.,both
gooey-mulch,98,mulch,mulch,200,30,,4,,1,0,1,0,A type of mulch that increases the number of times dead Berry plants regrow.,both
root-fossil,99,dex-completion,fossils,7000,100,,3,underground,0,1,1,0,A fossil from a prehistoric Pokémon that once lived in the sea and can be regenerated into Lileep.,both
claw-fossil,100,dex-completion,fossils,7000,100,,3,underground,0,1,1,0,A fossil of an ancient Pokémon that lived in the sea and can be regenerated into Anorith.,both
helix-fossil,101,dex-completion,fossils,7000,100,,1,underground,0,1,1,0,A fossil from a prehistoric Pokémon that once lived in the sea that can be regenerated into Omanyte.,both
dome-fossil,102,dex-completion,fossils,7000,100,,1,underground,0,1,1,0,A fossil from a prehistoric Pokémon that once lived in the sea and can be regenerated into Kabuto.,both
old-amber,103,dex-completion,fossils,10000,100,,1,underground,0,1,0,0,A fossilized piece of amber that contains the genetic material of an ancient Pokémon and can be revived into Aerodactyl.,both
armor-fossil,104,dex-completion,fossils,7000,100,,4,underground,0,1,0,0,A fossil that can be regenerated into Shieldon.,both
skull-fossil,105,dex-completion,fossils,7000,100,,4,underground,0,0,1,0,A fossil from a prehistoric Pokémon that lived on the land and can be regenerated into Cranidos.,both
rare-bone,106,loot,valueable-items,5000,100,,4,underground,0,1,0,0,A rare and extremely valuable bone that is prized for Pokémon archaeology and can be sold for a high price.,both
shiny-stone,107,evolution,evolution-stones,3000,80,,4,,1,0,1,0,A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.,both
dusk-stone,108,evolution,evolution-stones,3000,80,,4,,1,0,1,0,A peculiar evolution stone imbued with deep darkness that can make certain Pokémon evolve.,both
dawn-stone,109,evolution,evolution-stones,3000,80,,4,,1,1,1,0,A peculiar Evolution stone that can make certain species of Pokémon evolve.,both
oval-stone,110,evolution,evolution-items,2000,80,,4,underground,1,1,0,0,A peculiar egg-shaped stone that causes Happiny to evolve into Chansey when held and leveled up during the day.,both
odd-keystone,111,dex-completion,misc-items,2100,80,,4,underground,0,1,1,0,A mysterious stone that acts as a container for Spiritomb and is used in special locations to encounter it.,both
adamant-orb,112,species-specific,held-items,0,60,,4,holdable,0,1,0,1,A brightly gleaming orb associated with Dialga that boosts the power of its Dragon- and Steel-type moves when held.,both
lustrous-orb,113,species-specific,held-items,0,60,,4,holdable,0,1,1,0,A beautifully glowing orb that boosts the power of Dragon- and Water-type moves when held by Palkia.,both
grass-mail,114,all-mail,mail,50,0,,4,,0,1,0,0,Stationery featuring a print of a refreshingly green field that can be held by a Pokémon to deliver a written message.,both
flame-mail,115,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of flames in blazing red that can be held by a Pokémon to deliver a written message.,both
bubble-mail,116,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of a blue world underwater that can be held by a Pokémon to deliver a written message.,both
bloom-mail,117,all-mail,mail,50,0,,4,,0,1,0,0,Stationery featuring a print of pretty floral patterns that can hold a written message when carried by a Pokémon.,both
tunnel-mail,118,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of a dimly lit coal mine that can be held by a Pokémon to deliver a written message.,both
steel-mail,119,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of cool mechanical designs that can be held by a Pokémon to deliver a written message.,both
heart-mail,120,all-mail,mail,50,0,,4,,0,1,0,0,Stationery featuring a print of giant heart patterns that can be held by a Pokémon to deliver a written message.,both
snow-mail,121,all-mail,mail,50,0,,4,,0,1,0,0,"Stationery featuring a print of a chilly, snow-covered world that can be held by a Pokémon to deliver a written message.",both
space-mail,122,all-mail,mail,50,0,,4,,0,1,0,0,Stationery featuring a print depicting the huge expanse of space that a Pokémon can hold to deliver a written message.,both
air-mail,123,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of colorful letter sets that a Pokémon can hold to deliver a written message.,both
mosaic-mail,124,all-mail,mail,50,,,4,,0,1,0,0,Stationery featuring a print of a vivid rainbow pattern that can be held by a Pokémon to deliver a written message.,both
brick-mail,125,all-mail,mail,50,0,,4,,0,1,0,0,A piece of stationery with a tough-looking brick pattern that a Pokémon can hold to deliver a written message.,both
cheri-berry,126,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures a Pokémon of paralysis when used or held.,both
chesto-berry,127,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that awakens a Pokémon from sleep or drowsiness when used or held.,both
pecha-berry,128,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures a Pokémon of poison when used or held.,both
rawst-berry,129,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures a Pokémon of a burn when used or held.,both
aspear-berry,130,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures a Pokémon of being frozen when used or held.,both
leppa-berry,131,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores 10 PP to a Pokémon's move when used or when held and triggered in battle.,both
oran-berry,132,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores a small amount of HP when consumed or used.,both
persim-berry,133,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures a Pokémon of confusion when used or when held and consumed in battle.,both
lum-berry,134,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that cures any non-volatile status condition or confusion when used or held.,both
sitrus-berry,135,medicine,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,"A Berry that is consumed to restore HP, typically activating automatically when the holder’s HP falls below half.",both
figy-berry,136,picky-healing,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,"A Berry that restores HP when used or held, but may confuse Pokémon that dislike spicy flavors.",both
wiki-berry,137,picky-healing,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores HP when a Pokémon is in a pinch but may cause confusion if the Pokémon dislikes its taste.,both
mago-berry,138,picky-healing,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores HP in a pinch but may cause confusion to Pokémon that dislike sweet flavors.,both
aguav-berry,139,picky-healing,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores HP when a Pokémon is in a pinch but may cause confusion if the Pokémon dislikes bitter flavors.,both
iapapa-berry,140,picky-healing,berries,80,10,berry-effect,3,holdable-active,1,1,1,1,A Berry that restores HP in a pinch but may confuse Pokémon that dislike sour flavors.,both
razz-berry,141,baking-only,berries,200,10,,3,,1,1,1,1,"A red Berry introduced in Generation III that is primarily used as an ingredient and, in some games, makes Pokémon easier to catch or restores HP.",both
bluk-berry,142,baking-only,berries,20,10,,3,,1,1,0,1,"A Berry introduced in Generation III, primarily used as an ingredient for Pokéblocks, Poffins, and other preparations.",both
nanab-berry,143,baking-only,berries,200,10,,3,,1,1,1,0,"A pink Berry primarily used as an ingredient, with special calming effects in certain games.",both
wepear-berry,144,baking-only,berries,20,10,,3,,1,1,0,0,"A green Berry primarily used as an ingredient for Pokéblocks and Poffins, with a bitter and sour taste.",both
pinap-berry,145,baking-only,berries,200,10,,3,,1,1,1,,"A yellow Berry introduced in Generation III, primarily used as an ingredient and with special effects in certain games.",both
pomeg-berry,146,effort-drop,berries,80,10,,3,,1,1,1,0,A Berry that increases a Pokémon’s friendship but lowers its HP base points.,both
kelpsy-berry,147,effort-drop,berries,80,10,,3,,1,1,1,0,A Berry that increases a Pokémon's friendship but lowers its Attack base points.,both
qualot-berry,148,effort-drop,berries,80,10,,3,,1,1,1,0,A Berry that increases a Pokémon's friendship but lowers its Defense base points.,both
hondew-berry,149,effort-drop,berries,80,10,,3,,1,1,1,0,A Berry that increases a Pokémon’s friendship when consumed but lowers its Special Attack base points.,both
grepa-berry,150,effort-drop,berries,80,10,,3,,1,1,1,0,A Berry that increases a Pokémon’s friendship but lowers its Special Defense base points.,both
tamato-berry,151,effort-drop,berries,80,10,,3,,1,1,1,1,A Berry that increases a Pokémon’s friendship but lowers its Speed base points.,both
cornn-berry,152,baking-only,berries,20,10,,3,,1,1,0,0,"A rare Berry primarily used as an ingredient for Pokéblocks, Poffins, and other cooking-related items.",both
magost-berry,153,baking-only,berries,20,10,,3,,1,1,0,0,"A Berry primarily used as an ingredient for Pokéblocks, Poffins, and other preparations.",both
rabuta-berry,154,baking-only,berries,20,10,,3,,1,1,0,0,"A rare Berry primarily used as an ingredient for Pokéblocks, Poffins, and other berry-based preparations.",both
nomel-berry,155,baking-only,berries,20,10,,3,,1,1,0,0,"A very sour Berry primarily used as an ingredient for Pokéblocks, Poffins, and other recipes.",both
spelon-berry,156,baking-only,berries,20,10,,3,,1,1,0,0,"A spicy Berry introduced in Generation III that is primarily used as an ingredient for Pokéblocks, Poffins, and other recipes.",both
pamtre-berry,157,baking-only,berries,20,10,,3,,1,1,0,0,"A rare Berry introduced in Generation III that is primarily used as an ingredient for Pokéblocks, Poffins, and other recipes.",both
watmel-berry,158,baking-only,berries,20,10,,3,,1,1,0,0,"A very large and exceedingly sweet Berry used as an ingredient for Pokéblocks, Poffins, and other recipes.",both
durin-berry,159,baking-only,berries,20,10,,3,,1,1,0,0,"A very bitter Berry primarily used as an ingredient for Pokéblocks, Poffins, and other cooking-related items.",both
belue-berry,160,baking-only,berries,20,10,,3,,1,1,0,0,"A very rare and extremely sour Berry primarily used as an ingredient for Pokéblocks, Poffins, and other recipes.",both
occa-berry,161,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that weakens the damage taken from a supereffective Fire-type attack when held.,both
passho-berry,162,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that weakens the damage taken from a supereffective Water-type attack when held.,both
wacan-berry,163,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,"A Berry that, when held, reduces the damage from one super effective Electric-type attack.",both
rindo-berry,164,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that lessens the damage taken from a supereffective Grass-type attack when held.,both
yache-berry,165,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that weakens damage from a supereffective Ice-type attack when held.,both
chople-berry,166,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that weakens damage from a supereffective Fighting-type attack when held.,both
kebia-berry,167,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that reduces damage from a super-effective Poison-type attack when held.,both
shuca-berry,168,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that lessens damage taken from a supereffective Ground-type attack when held.,both
coba-berry,169,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,"A Berry that, when held, weakens a supereffective Flying-type attack against the holder.",both
payapa-berry,170,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,"A Berry that, when held, weakens a supereffective Psychic-type attack against the holder.",both
tanga-berry,171,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that weakens a supereffective Bug-type attack when held by a Pokémon.,both
charti-berry,172,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that weakens the damage from a super effective Rock-type attack when held by a Pokémon.,both
kasib-berry,173,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that lessens the damage taken from a supereffective Ghost-type attack when held.,both
haban-berry,174,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,"A Berry that, when held, lessens the damage taken from one super effective Dragon-type attack.",both
colbur-berry,175,type-protection,berries,80,10,,4,holdable-active,1,1,0,0,A Berry that weakens a supereffective Dark-type attack when held by a Pokémon.,both
babiri-berry,176,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that reduces the damage taken from a super effective Steel-type attack when held.,both
chilan-berry,177,type-protection,berries,80,10,,4,holdable-active,1,1,0,1,A Berry that weakens damage from a Normal-type attack when held.,both
liechi-berry,178,in-a-pinch,berries,80,10,berry-effect,3,holdable-active,1,1,0,1,A Berry that raises a Pokémon's Attack stat when it is in a pinch.,both
ganlon-berry,179,in-a-pinch,berries,80,10,berry-effect,3,holdable-active,1,1,0,1,A Berry that raises the holder's Defense when its HP falls to a critical level.,both
salac-berry,180,in-a-pinch,berries,80,10,berry-effect,3,holdable-active,1,1,0,1,A Berry that raises the holder’s Speed when it is in a pinch.,both
petaya-berry,181,in-a-pinch,berries,80,10,berry-effect,3,holdable-active,1,1,0,0,A Berry that raises the holder’s Special Attack when it is in a pinch.,both
