identifier,id,pokemon,form_identifier,introduced_in_version_group,is_default,is_battle_only,is_mega,form_order,order,form_name_ja_hrkt,pokemon_name_ja_hrkt,form_name_ko,form_name_fr,pokemon_name_fr,form_name_de,pokemon_name_de,form_name_es,form_name_it,form_name_en,pokemon_name_en,form_name_ja,pokemon_name_ja,form_name_es_419,form_name_zh_hant,form_name_zh_hans
nidoran-m,32,nidoran-m,,red-blue,1,0,0,1,63,,,,,,,,,,,,,,,,
nidorino,33,nidorino,,red-blue,1,0,0,1,64,,,,,,,,,,,,,,,,
nidoking,34,nidoking,,red-blue,1,0,0,1,65,,,,,,,,,,,,,,,,
clefairy,35,clefairy,,red-blue,1,0,0,1,67,,,,,,,,,,,,,,,,
clefable,36,clefable,,red-blue,1,0,0,1,68,,,,,,,,,,,,,,,,
vulpix,37,vulpix,,red-blue,1,0,0,1,70,,,,,,,,,,,,,,,,
ninetales,38,ninetales,,red-blue,1,0,0,1,72,,,,,,,,,,,,,,,,
jigglypuff,39,jigglypuff,,red-blue,1,0,0,1,75,,,,,,,,,,,,,,,,
wigglytuff,40,wigglytuff,,red-blue,1,0,0,1,76,,,,,,,,,,,,,,,,
zubat,41,zubat,,red-blue,1,0,0,1,77,,,,,,,,,,,,,,,,
golbat,42,golbat,,red-blue,1,0,0,1,78,,,,,,,,,,,,,,,,
oddish,43,oddish,,red-blue,1,0,0,1,80,,,,,,,,,,,,,,,,
gloom,44,gloom,,red-blue,1,0,0,1,81,,,,,,,,,,,,,,,,
vileplume,45,vileplume,,red-blue,1,0,0,1,82,,,,,,,,,,,,,,,,
paras,46,paras,,red-blue,1,0,0,1,84,,,,,,,,,,,,,,,,
parasect,47,parasect,,red-blue,1,0,0,1,85,,,,,,,,,,,,,,,,
venonat,48,venonat,,red-blue,1,0,0,1,86,,,,,,,,,,,,,,,,
venomoth,49,venomoth,,red-blue,1,0,0,1,87,,,,,,,,,,,,,,,,
diglett,50,diglett,,red-blue,1,0,0,1,88,,,,,,,,,,,,,,,,
dugtrio,51,dugtrio,,red-blue,1,0,0,1,90,,,,,,,,,,,,,,,,
meowth,52,meowth,,red-blue,1,0,0,1,92,,,,,,,,,,,,,,,,
persian,53,persian,,red-blue,1,0,0,1,95,,,,,,,,,,,,,,,,
psyduck,54,psyduck,,red-blue,1,0,0,1,97,,,,,,,,,,,,,,,,
golduck,55,golduck,,red-blue,1,0,0,1,98,,,,,,,,,,,,,,,,
mankey,56,mankey,,red-blue,1,0,0,1,99,,,,,,,,,,,,,,,,
primeape,57,primeape,,red-blue,1,0,0,1,100,,,,,,,,,,,,,,,,
growlithe,58,growlithe,,red-blue,1,0,0,1,101,,,,,,,,,,,,,,,,
arcanine,59,arcanine,,red-blue,1,0,0,1,102,,,,,,,,,,,,,,,,
poliwag,60,poliwag,,red-blue,1,0,0,1,103,,,,,,,,,,,,,,,,
poliwhirl,61,poliwhirl,,red-blue,1,0,0,1,104,,,,,,,,,,,,,,,,
poliwrath,62,poliwrath,,red-blue,1,0,0,1,105,,,,,,,,,,,,,,,,
abra,63,abra,,red-blue,1,0,0,1,107,,,,,,,,,,,,,,,,
kadabra,64,kadabra,,red-blue,1,0,0,1,108,,,,,,,,,,,,,,,,
alakazam,65,alakazam,,red-blue,1,0,0,1,109,,,,,,,,,,,,,,,,
machop,66,machop,,red-blue,1,0,0,1,111,,,,,,,,,,,,,,,,
machoke,67,machoke,,red-blue,1,0,0,1,112,,,,,,,,,,,,,,,,
machamp,68,machamp,,red-blue,1,0,0,1,113,,,,,,,,,,,,,,,,
bellsprout,69,bellsprout,,red-blue,1,0,0,1,114,,,,,,,,,,,,,,,,
weepinbell,70,weepinbell,,red-blue,1,0,0,1,115,,,,,,,,,,,,,,,,
victreebel,71,victreebel,,red-blue,1,0,0,1,116,,,,,,,,,,,,,,,,
tentacool,72,tentacool,,red-blue,1,0,0,1,118,,,,,,,,,,,,,,,,
tentacruel,73,tentacruel,,red-blue,1,0,0,1,119,,,,,,,,,,,,,,,,
geodude,74,geodude,,red-blue,1,0,0,1,120,,,,,,,,,,,,,,,,
graveler,75,graveler,,red-blue,1,0,0,1,122,,,,,,,,,,,,,,,,
golem,76,golem,,red-blue,1,0,0,1,124,,,,,,,,,,,,,,,,
ponyta,77,ponyta,,red-blue,1,0,0,1,126,,,,,,,,,,,,,,,,
rapidash,78,rapidash,,red-blue,1,0,0,1,128,,,,,,,,,,,,,,,,
slowpoke,79,slowpoke,,red-blue,1,0,0,1,130,,,,,,,,,,,,,,,,
slowbro,80,slowbro,,red-blue,1,0,0,1,132,,,,,,,,,,,,,,,,
magnemite,81,magnemite,,red-blue,1,0,0,1,137,,,,,,,,,,,,,,,,
magneton,82,magneton,,red-blue,1,0,0,1,138,,,,,,,,,,,,,,,,
farfetchd,83,farfetchd,,red-blue,1,0,0,1,140,,,,,,,,,,,,,,,,
doduo,84,doduo,,red-blue,1,0,0,1,142,,,,,,,,,,,,,,,,
dodrio,85,dodrio,,red-blue,1,0,0,1,143,,,,,,,,,,,,,,,,
seel,86,seel,,red-blue,1,0,0,1,144,,,,,,,,,,,,,,,,
dewgong,87,dewgong,,red-blue,1,0,0,1,145,,,,,,,,,,,,,,,,
grimer,88,grimer,,red-blue,1,0,0,1,146,,,,,,,,,,,,,,,,
muk,89,muk,,red-blue,1,0,0,1,148,,,,,,,,,,,,,,,,
shellder,90,shellder,,red-blue,1,0,0,1,150,,,,,,,,,,,,,,,,
cloyster,91,cloyster,,red-blue,1,0,0,1,151,,,,,,,,,,,,,,,,
gastly,92,gastly,,red-blue,1,0,0,1,152,,,,,,,,,,,,,,,,
haunter,93,haunter,,red-blue,1,0,0,1,153,,,,,,,,,,,,,,,,
gengar,94,gengar,,red-blue,1,0,0,1,154,,,,,,,,,,,,,,,,
onix,95,onix,,red-blue,1,0,0,1,156,,,,,,,,,,,,,,,,
drowzee,96,drowzee,,red-blue,1,0,0,1,159,,,,,,,,,,,,,,,,
hypno,97,hypno,,red-blue,1,0,0,1,160,,,,,,,,,,,,,,,,
krabby,98,krabby,,red-blue,1,0,0,1,161,,,,,,,,,,,,,,,,
kingler,99,kingler,,red-blue,1,0,0,1,162,,,,,,,,,,,,,,,,
voltorb,100,voltorb,,red-blue,1,0,0,1,163,,,,,,,,,,,,,,,,
electrode,101,electrode,,red-blue,1,0,0,1,164,,,,,,,,,,,,,,,,
exeggcute,102,exeggcute,,red-blue,1,0,0,1,165,,,,,,,,,,,,,,,,
exeggutor,103,exeggutor,,red-blue,1,0,0,1,166,,,,,,,,,,,,,,,,
cubone,104,cubone,,red-blue,1,0,0,1,168,,,,,,,,,,,,,,,,
marowak,105,marowak,,red-blue,1,0,0,1,169,,,,,,,,,,,,,,,,
hitmonlee,106,hitmonlee,,red-blue,1,0,0,1,173,,,,,,,,,,,,,,,,
hitmonchan,107,hitmonchan,,red-blue,1,0,0,1,174,,,,,,,,,,,,,,,,
lickitung,108,lickitung,,red-blue,1,0,0,1,176,,,,,,,,,,,,,,,,
koffing,109,koffing,,red-blue,1,0,0,1,178,,,,,,,,,,,,,,,,
weezing,110,weezing,,red-blue,1,0,0,1,179,,,,,,,,,,,,,,,,
rhyhorn,111,rhyhorn,,red-blue,1,0,0,1,181,,,,,,,,,,,,,,,,
rhydon,112,rhydon,,red-blue,1,0,0,1,182,,,,,,,,,,,,,,,,
chansey,113,chansey,,red-blue,1,0,0,1,185,,,,,,,,,,,,,,,,
tangela,114,tangela,,red-blue,1,0,0,1,187,,,,,,,,,,,,,,,,
kangaskhan,115,kangaskhan,,red-blue,1,0,0,1,189,,,,,,,,,,,,,,,,
horsea,116,horsea,,red-blue,1,0,0,1,191,,,,,,,,,,,,,,,,
seadra,117,seadra,,red-blue,1,0,0,1,192,,,,,,,,,,,,,,,,
goldeen,118,goldeen,,red-blue,1,0,0,1,194,,,,,,,,,,,,,,,,
seaking,119,seaking,,red-blue,1,0,0,1,195,,,,,,,,,,,,,,,,
staryu,120,staryu,,red-blue,1,0,0,1,196,,,,,,,,,,,,,,,,
starmie,121,starmie,,red-blue,1,0,0,1,197,,,,,,,,,,,,,,,,
mr-mime,122,mr-mime,,red-blue,1,0,0,1,200,,,,,,,,,,,,,,,,
scyther,123,scyther,,red-blue,1,0,0,1,202,,,,,,,,,,,,,,,,
jynx,124,jynx,,red-blue,1,0,0,1,206,,,,,,,,,,,,,,,,
electabuzz,125,electabuzz,,red-blue,1,0,0,1,208,,,,,,,,,,,,,,,,
magmar,126,magmar,,red-blue,1,0,0,1,211,,,,,,,,,,,,,,,,
pinsir,127,pinsir,,red-blue,1,0,0,1,213,,,,,,,,,,,,,,,,
tauros,128,tauros,,red-blue,1,0,0,1,215,,,,,,,,,,,,,,,,
magikarp,129,magikarp,,red-blue,1,0,0,1,216,,,,,,,,,,,,,,,,
gyarados,130,gyarados,,red-blue,1,0,0,1,217,,,,,,,,,,,,,,,,
lapras,131,lapras,,red-blue,1,0,0,1,219,,,,,,,,,,,,,,,,
ditto,132,ditto,,red-blue,1,0,0,1,220,,,,,,,,,,,,,,,,
eevee,133,eevee,,red-blue,1,0,0,1,221,,,,,,,,,,,,,,,,
vaporeon,134,vaporeon,,red-blue,1,0,0,1,223,,,,,,,,,,,,,,,,
jolteon,135,jolteon,,red-blue,1,0,0,1,224,,,,,,,,,,,,,,,,
flareon,136,flareon,,red-blue,1,0,0,1,225,,,,,,,,,,,,,,,,
porygon,137,porygon,,red-blue,1,0,0,1,231,,,,,,,,,,,,,,,,
omanyte,138,omanyte,,red-blue,1,0,0,1,234,,,,,,,,,,,,,,,,
omastar,139,omastar,,red-blue,1,0,0,1,235,,,,,,,,,,,,,,,,
kabuto,140,kabuto,,red-blue,1,0,0,1,236,,,,,,,,,,,,,,,,
kabutops,141,kabutops,,red-blue,1,0,0,1,237,,,,,,,,,,,,,,,,
aerodactyl,142,aerodactyl,,red-blue,1,0,0,1,238,,,,,,,,,,,,,,,,
snorlax,143,snorlax,,red-blue,1,0,0,1,241,,,,,,,,,,,,,,,,
articuno,144,articuno,,red-blue,1,0,0,1,242,,,,,,,,,,,,,,,,
zapdos,145,zapdos,,red-blue,1,0,0,1,244,,,,,,,,,,,,,,,,
moltres,146,moltres,,red-blue,1,0,0,1,246,,,,,,,,,,,,,,,,
dratini,147,dratini,,red-blue,1,0,0,1,248,,,,,,,,,,,,,,,,
dragonair,148,dragonair,,red-blue,1,0,0,1,249,,,,,,,,,,,,,,,,
dragonite,149,dragonite,,red-blue,1,0,0,1,250,,,,,,,,,,,,,,,,
mewtwo,150,mewtwo,,red-blue,1,0,0,1,252,,,,,,,,,,,,,,,,
mew,151,mew,,red-blue,1,0,0,1,255,,,,,,,,,,,,,,,,
chikorita,152,chikorita,,gold-silver,1,0,0,1,256,,,,,,,,,,,,,,,,
bayleef,153,bayleef,,gold-silver,1,0,0,1,257,,,,,,,,,,,,,,,,
meganium,154,meganium,,gold-silver,1,0,0,1,258,,,,,,,,,,,,,,,,
cyndaquil,155,cyndaquil,,gold-silver,1,0,0,1,260,,,,,,,,,,,,,,,,
quilava,156,quilava,,gold-silver,1,0,0,1,261,,,,,,,,,,,,,,,,
typhlosion,157,typhlosion,,gold-silver,1,0,0,1,262,,,,,,,,,,,,,,,,
totodile,158,totodile,,gold-silver,1,0,0,1,263,,,,,,,,,,,,,,,,
croconaw,159,croconaw,,gold-silver,1,0,0,1,264,,,,,,,,,,,,,,,,
feraligatr,160,feraligatr,,gold-silver,1,0,0,1,265,,,,,,,,,,,,,,,,
sentret,161,sentret,,gold-silver,1,0,0,1,267,,,,,,,,,,,,,,,,
furret,162,furret,,gold-silver,1,0,0,1,268,,,,,,,,,,,,,,,,
hoothoot,163,hoothoot,,gold-silver,1,0,0,1,269,,,,,,,,,,,,,,,,
noctowl,164,noctowl,,gold-silver,1,0,0,1,270,,,,,,,,,,,,,,,,
ledyba,165,ledyba,,gold-silver,1,0,0,1,271,,,,,,,,,,,,,,,,
ledian,166,ledian,,gold-silver,1,0,0,1,272,,,,,,,,,,,,,,,,
spinarak,167,spinarak,,gold-silver,1,0,0,1,273,,,,,,,,,,,,,,,,
ariados,168,ariados,,gold-silver,1,0,0,1,274,,,,,,,,,,,,,,,,
crobat,169,crobat,,gold-silver,1,0,0,1,79,,,,,,,,,,,,,,,,
chinchou,170,chinchou,,gold-silver,1,0,0,1,275,,,,,,,,,,,,,,,,
lanturn,171,lanturn,,gold-silver,1,0,0,1,276,,,,,,,,,,,,,,,,
pichu,172,pichu,,gold-silver,1,0,0,1,34,,,,,,,,,,,,,,,,
cleffa,173,cleffa,,gold-silver,1,0,0,1,66,,,,,,,,,,,,,,,,
igglybuff,174,igglybuff,,gold-silver,1,0,0,1,74,,,,,,,,,,,,,,,,
togepi,175,togepi,,gold-silver,1,0,0,1,277,,,,,,,,,,,,,,,,
togetic,176,togetic,,gold-silver,1,0,0,1,278,,,,,,,,,,,,,,,,
natu,177,natu,,gold-silver,1,0,0,1,280,,,,,,,,,,,,,,,,
xatu,178,xatu,,gold-silver,1,0,0,1,281,,,,,,,,,,,,,,,,
mareep,179,mareep,,gold-silver,1,0,0,1,282,,,,,,,,,,,,,,,,
flaaffy,180,flaaffy,,gold-silver,1,0,0,1,283,,,,,,,,,,,,,,,,
ampharos,181,ampharos,,gold-silver,1,0,0,1,284,,,,,,,,,,,,,,,,
bellossom,182,bellossom,,gold-silver,1,0,0,1,83,,,,,,,,,,,,,,,,
marill,183,marill,,gold-silver,1,0,0,1,287,,,,,,,,,,,,,,,,
azumarill,184,azumarill,,gold-silver,1,0,0,1,288,,,,,,,,,,,,,,,,
sudowoodo,185,sudowoodo,,gold-silver,1,0,0,1,290,,,,,,,,,,,,,,,,
politoed,186,politoed,,gold-silver,1,0,0,1,106,,,,,,,,,,,,,,,,
hoppip,187,hoppip,,gold-silver,1,0,0,1,291,,,,,,,,,,,,,,,,
skiploom,188,skiploom,,gold-silver,1,0,0,1,292,,,,,,,,,,,,,,,,
jumpluff,189,jumpluff,,gold-silver,1,0,0,1,293,,,,,,,,,,,,,,,,
aipom,190,aipom,,gold-silver,1,0,0,1,294,,,,,,,,,,,,,,,,
sunkern,191,sunkern,,gold-silver,1,0,0,1,296,,,,,,,,,,,,,,,,
sunflora,192,sunflora,,gold-silver,1,0,0,1,297,,,,,,,,,,,,,,,,
yanma,193,yanma,,gold-silver,1,0,0,1,298,,,,,,,,,,,,,,,,
wooper,194,wooper,,gold-silver,1,0,0,1,300,,,,,,,,,,,,,,,,
quagsire,195,quagsire,,gold-silver,1,0,0,1,301,,,,,,,,,,,,,,,,
espeon,196,espeon,,gold-silver,1,0,0,1,226,,,,,,,,,,,,,,,,
umbreon,197,umbreon,,gold-silver,1,0,0,1,227,,,,,,,,,,,,,,,,
murkrow,198,murkrow,,gold-silver,1,0,0,1,302,,,,,,,,,,,,,,,,
slowking,199,slowking,,gold-silver,1,0,0,1,135,,,,,,,,,,,,,,,,
misdreavus,200,misdreavus,,gold-silver,1,0,0,1,304,,,,,,,,,,,,,,,,
unown-a,201,unown,a,gold-silver,1,0,0,1,306,Ａ,,A,A,Zarbi A,A,Icognito A,A,A,A,Unown A,Ａ,,A,,
wobbuffet,202,wobbuffet,,gold-silver,1,0,0,1,335,,,,,,,,,,,,,,,,
girafarig,203,girafarig,,gold-silver,1,0,0,1,336,,,,,,,,,,,,,,,,
pineco,204,pineco,,gold-silver,1,0,0,1,337,,,,,,,,,,,,,,,,
forretress,205,forretress,,gold-silver,1,0,0,1,338,,,,,,,,,,,,,,,,
dunsparce,206,dunsparce,,gold-silver,1,0,0,1,339,,,,,,,,,,,,,,,,
gligar,207,gligar,,gold-silver,1,0,0,1,340,,,,,,,,,,,,,,,,
steelix,208,steelix,,gold-silver,1,0,0,1,157,,,,,,,,,,,,,,,,
snubbull,209,snubbull,,gold-silver,1,0,0,1,342,,,,,,,,,,,,,,,,
granbull,210,granbull,,gold-silver,1,0,0,1,343,,,,,,,,,,,,,,,,
qwilfish,211,qwilfish,,gold-silver,1,0,0,1,344,,,,,,,,,,,,,,,,
scizor,212,scizor,,gold-silver,1,0,0,1,203,,,,,,,,,,,,,,,,
shuckle,213,shuckle,,gold-silver,1,0,0,1,345,,,,,,,,,,,,,,,,
heracross,214,heracross,,gold-silver,1,0,0,1,346,,,,,,,,,,,,,,,,
sneasel,215,sneasel,,gold-silver,1,0,0,1,348,,,,,,,,,,,,,,,,
teddiursa,216,teddiursa,,gold-silver,1,0,0,1,350,,,,,,,,,,,,,,,,
ursaring,217,ursaring,,gold-silver,1,0,0,1,351,,,,,,,,,,,,,,,,
slugma,218,slugma,,gold-silver,1,0,0,1,352,,,,,,,,,,,,,,,,
magcargo,219,magcargo,,gold-silver,1,0,0,1,353,,,,,,,,,,,,,,,,
swinub,220,swinub,,gold-silver,1,0,0,1,354,,,,,,,,,,,,,,,,
piloswine,221,piloswine,,gold-silver,1,0,0,1,355,,,,,,,,,,,,,,,,
corsola,222,corsola,,gold-silver,1,0,0,1,357,,,,,,,,,,,,,,,,
remoraid,223,remoraid,,gold-silver,1,0,0,1,359,,,,,,,,,,,,,,,,
octillery,224,octillery,,gold-silver,1,0,0,1,360,,,,,,,,,,,,,,,,
delibird,225,delibird,,gold-silver,1,0,0,1,361,,,,,,,,,,,,,,,,
mantine,226,mantine,,gold-silver,1,0,0,1,363,,,,,,,,,,,,,,,,
skarmory,227,skarmory,,gold-silver,1,0,0,1,364,,,,,,,,,,,,,,,,
houndour,228,houndour,,gold-silver,1,0,0,1,366,,,,,,,,,,,,,,,,
houndoom,229,houndoom,,gold-silver,1,0,0,1,367,,,,,,,,,,,,,,,,
kingdra,230,kingdra,,gold-silver,1,0,0,1,193,,,,,,,,,,,,,,,,
phanpy,231,phanpy,,gold-silver,1,0,0,1,369,,,,,,,,,,,,,,,,
donphan,232,donphan,,gold-silver,1,0,0,1,370,,,,,,,,,,,,,,,,
porygon2,233,porygon2,,gold-silver,1,0,0,1,232,,,,,,,,,,,,,,,,
stantler,234,stantler,,gold-silver,1,0,0,1,371,,,,,,,,,,,,,,,,
smeargle,235,smeargle,,gold-silver,1,0,0,1,372,,,,,,,,,,,,,,,,
tyrogue,236,tyrogue,,gold-silver,1,0,0,1,172,,,,,,,,,,,,,,,,
hitmontop,237,hitmontop,,gold-silver,1,0,0,1,175,,,,,,,,,,,,,,,,
smoochum,238,smoochum,,gold-silver,1,0,0,1,205,,,,,,,,,,,,,,,,
elekid,239,elekid,,gold-silver,1,0,0,1,207,,,,,,,,,,,,,,,,
magby,240,magby,,gold-silver,1,0,0,1,210,,,,,,,,,,,,,,,,
miltank,241,miltank,,gold-silver,1,0,0,1,373,,,,,,,,,,,,,,,,
blissey,242,blissey,,gold-silver,1,0,0,1,186,,,,,,,,,,,,,,,,
raikou,243,raikou,,gold-silver,1,0,0,1,374,,,,,,,,,,,,,,,,
entei,244,entei,,gold-silver,1,0,0,1,375,,,,,,,,,,,,,,,,
suicune,245,suicune,,gold-silver,1,0,0,1,376,,,,,,,,,,,,,,,,
larvitar,246,larvitar,,gold-silver,1,0,0,1,377,,,,,,,,,,,,,,,,
pupitar,247,pupitar,,gold-silver,1,0,0,1,378,,,,,,,,,,,,,,,,
tyranitar,248,tyranitar,,gold-silver,1,0,0,1,379,,,,,,,,,,,,,,,,
lugia,249,lugia,,gold-silver,1,0,0,1,381,,,,,,,,,,,,,,,,
ho-oh,250,ho-oh,,gold-silver,1,0,0,1,382,,,,,,,,,,,,,,,,
celebi,251,celebi,,gold-silver,1,0,0,1,383,,,,,,,,,,,,,,,,
treecko,252,treecko,,ruby-sapphire,1,0,0,1,384,,,,,,,,,,,,,,,,
grovyle,253,grovyle,,ruby-sapphire,1,0,0,1,385,,,,,,,,,,,,,,,,
sceptile,254,sceptile,,ruby-sapphire,1,0,0,1,386,,,,,,,,,,,,,,,,
torchic,255,torchic,,ruby-sapphire,1,0,0,1,388,,,,,,,,,,,,,,,,
combusken,256,combusken,,ruby-sapphire,1,0,0,1,389,,,,,,,,,,,,,,,,
blaziken,257,blaziken,,ruby-sapphire,1,0,0,1,390,,,,,,,,,,,,,,,,
mudkip,258,mudkip,,ruby-sapphire,1,0,0,1,392,,,,,,,,,,,,,,,,
marshtomp,259,marshtomp,,ruby-sapphire,1,0,0,1,393,,,,,,,,,,,,,,,,
swampert,260,swampert,,ruby-sapphire,1,0,0,1,394,,,,,,,,,,,,,,,,
poochyena,261,poochyena,,ruby-sapphire,1,0,0,1,396,,,,,,,,,,,,,,,,
mightyena,262,mightyena,,ruby-sapphire,1,0,0,1,397,,,,,,,,,,,,,,,,
zigzagoon,263,zigzagoon,,ruby-sapphire,1,0,0,1,398,,,,,,,,,,,,,,,,
linoone,264,linoone,,ruby-sapphire,1,0,0,1,400,,,,,,,,,,,,,,,,
wurmple,265,wurmple,,ruby-sapphire,1,0,0,1,402,,,,,,,,,,,,,,,,
silcoon,266,silcoon,,ruby-sapphire,1,0,0,1,403,,,,,,,,,,,,,,,,
beautifly,267,beautifly,,ruby-sapphire,1,0,0,1,404,,,,,,,,,,,,,,,,
cascoon,268,cascoon,,ruby-sapphire,1,0,0,1,405,,,,,,,,,,,,,,,,
dustox,269,dustox,,ruby-sapphire,1,0,0,1,406,,,,,,,,,,,,,,,,
lotad,270,lotad,,ruby-sapphire,1,0,0,1,407,,,,,,,,,,,,,,,,
lombre,271,lombre,,ruby-sapphire,1,0,0,1,408,,,,,,,,,,,,,,,,
ludicolo,272,ludicolo,,ruby-sapphire,1,0,0,1,409,,,,,,,,,,,,,,,,
seedot,273,seedot,,ruby-sapphire,1,0,0,1,410,,,,,,,,,,,,,,,,
nuzleaf,274,nuzleaf,,ruby-sapphire,1,0,0,1,411,,,,,,,,,,,,,,,,
shiftry,275,shiftry,,ruby-sapphire,1,0,0,1,412,,,,,,,,,,,,,,,,
taillow,276,taillow,,ruby-sapphire,1,0,0,1,413,,,,,,,,,,,,,,,,
swellow,277,swellow,,ruby-sapphire,1,0,0,1,414,,,,,,,,,,,,,,,,
wingull,278,wingull,,ruby-sapphire,1,0,0,1,415,,,,,,,,,,,,,,,,
pelipper,279,pelipper,,ruby-sapphire,1,0,0,1,416,,,,,,,,,,,,,,,,
ralts,280,ralts,,ruby-sapphire,1,0,0,1,417,,,,,,,,,,,,,,,,
kirlia,281,kirlia,,ruby-sapphire,1,0,0,1,418,,,,,,,,,,,,,,,,
gardevoir,282,gardevoir,,ruby-sapphire,1,0,0,1,419,,,,,,,,,,,,,,,,
surskit,283,surskit,,ruby-sapphire,1,0,0,1,423,,,,,,,,,,,,,,,,
masquerain,284,masquerain,,ruby-sapphire,1,0,0,1,424,,,,,,,,,,,,,,,,
shroomish,285,shroomish,,ruby-sapphire,1,0,0,1,425,,,,,,,,,,,,,,,,
breloom,286,breloom,,ruby-sapphire,1,0,0,1,426,,,,,,,,,,,,,,,,
slakoth,287,slakoth,,ruby-sapphire,1,0,0,1,427,,,,,,,,,,,,,,,,
vigoroth,288,vigoroth,,ruby-sapphire,1,0,0,1,428,,,,,,,,,,,,,,,,
slaking,289,slaking,,ruby-sapphire,1,0,0,1,429,,,,,,,,,,,,,,,,
nincada,290,nincada,,ruby-sapphire,1,0,0,1,430,,,,,,,,,,,,,,,,
ninjask,291,ninjask,,ruby-sapphire,1,0,0,1,431,,,,,,,,,,,,,,,,
shedinja,292,shedinja,,ruby-sapphire,1,0,0,1,432,,,,,,,,,,,,,,,,
whismur,293,whismur,,ruby-sapphire,1,0,0,1,433,,,,,,,,,,,,,,,,
loudred,294,loudred,,ruby-sapphire,1,0,0,1,434,,,,,,,,,,,,,,,,
exploud,295,exploud,,ruby-sapphire,1,0,0,1,435,,,,,,,,,,,,,,,,
makuhita,296,makuhita,,ruby-sapphire,1,0,0,1,436,,,,,,,,,,,,,,,,
hariyama,297,hariyama,,ruby-sapphire,1,0,0,1,437,,,,,,,,,,,,,,,,
azurill,298,azurill,,ruby-sapphire,1,0,0,1,286,,,,,,,,,,,,,,,,
nosepass,299,nosepass,,ruby-sapphire,1,0,0,1,438,,,,,,,,,,,,,,,,
skitty,300,skitty,,ruby-sapphire,1,0,0,1,440,,,,,,,,,,,,,,,,
delcatty,301,delcatty,,ruby-sapphire,1,0,0,1,441,,,,,,,,,,,,,,,,
sableye,302,sableye,,ruby-sapphire,1,0,0,1,442,,,,,,,,,,,,,,,,
mawile,303,mawile,,ruby-sapphire,1,0,0,1,444,,,,,,,,,,,,,,,,
aron,304,aron,,ruby-sapphire,1,0,0,1,446,,,,,,,,,,,,,,,,
lairon,305,lairon,,ruby-sapphire,1,0,0,1,447,,,,,,,,,,,,,,,,
