identifier,id,region,is_main_series,version_groups,name_fr,description_fr,name_de,description_de,name_es,description_es,name_en,description_en,name_es_419,description_es_419
kalos-central,12,kalos,1,x-y,Kalos : Centre,,Kalos-Zentral,,Kalos Centro,,Central Kalos,,Kalos Centro,
kalos-coastal,13,kalos,1,x-y,Kalos : Côtes,,Kalos-Küste,,Kalos Costa,,Coastal Kalos,,Kalos Costa,
kalos-mountain,14,kalos,1,x-y,Kalos : Monts,,Kalos-Gebirge,,Kalos Montaña,,Mountain Kalos,,Kalos Montaña,
updated-hoenn,15,hoenn,1,omega-ruby-alpha-sapphire,Hoenn amélioré,"Pokédex régional d’Hoenn dans Rubis Oméga/Saphir Alpha, mis à jour pour les nouvelles évolutions",Neue Hoenn,Omega Rubin/Alpha Saphir Hoenn Dex — Dex aus Rubin/Saphir/Smaragd um Neue Entwicklungen erweitert,Hoenn Actualizado,Pokédex regional de Hoenn de Rubí Omega/Zafiro Alfa,New Hoenn,"Omega Ruby/Alpha Sapphire Hoenn Dex—Ruby/Sapphire/Emerald’s, updated to add new evolutions",Hoenn Actualizado,Pokédex regional de Hoenn de Rubí Omega/Zafiro Alfa
original-alola,16,alola,1,sun-moon,Alola original,Pokédex d'Alola dans Soleil/Lune,,,Alola Original,Pokédex regional de Alola de Sol/Luna,Original Alola,Sun/Moon Alola dex,Alola Original,Pokédex regional de Alola de Sol/Luna
original-melemele,17,alola,1,sun-moon,Mele-Mele original,Pokédex de Mele-Mele dans Soleil/Lune,,,Melemele Original,Pokédex regional de Melemele de Sol/Luna,Original Melemele,Sun/Moon Melemele dex,Melemele Original,Pokédex regional de Melemele de Sol/Luna
original-akala,18,alola,1,sun-moon,Akala original,Pokédex d'Akala dans Soleil/Lune,,,Akala Original,Pokédex regional de Akala de Sol/Luna,Original Akala,Sun/Moon Akala dex,Akala Original,Pokédex regional de Akala de Sol/Luna
original-ulaula,19,alola,1,sun-moon,Ula-Ula original,Pokédex d'Ula-Ula dans Soleil/Lune,,,Ula-Ula Original,Pokédex regional de Ula-Ula de Sol/Luna,Original Ula’ula,Sun/Moon Ula’ula dex,Ula-Ula Original,Pokédex regional de Ula-Ula de Sol/Luna
original-poni,20,alola,1,sun-moon,Poni original,Pokédex de Poni dans Soleil/Lune,,,Poni Original,Pokédex regional de Poni de Sol/Luna,Original Poni,Sun/Moon Poni dex,Poni Original,Pokédex regional de Poni de Sol/Luna
updated-alola,21,alola,1,ultra-sun-ultra-moon,Alola mis à jour,Pokédex d'Alola dans Ultra Soleil/Ultra Lune,,,Alola Actualizado,Pokédex regional de Alola de Ultra Sol/Ultra Luna,Updated Alola,Ultra Sun/Ultra Moon Alola dex,Alola Actualizado,Pokédex regional de Alola de Ultra Sol/Ultra Luna
updated-melemele,22,alola,1,ultra-sun-ultra-moon,Mele-Mele mis à jour,Pokédex de Mele-Mele dans Ultra Soleil/Ultra Lune,,,Melemele Actualizado,Pokédex regional de Melemele de Ultra Sol/Ultra Luna,Updated Melemele,Ultra Sun/Ultra Moon Melemele dex,Melemele Actualizado,Pokédex regional de Melemele de Ultra Sol/Ultra Luna
updated-akala,23,alola,1,ultra-sun-ultra-moon,Akala mis à jour,Pokédex d'Akala dans Ultra Soleil/Ultra Lune,,,Akala Actualizado,Pokédex regional de Akala de Ultra Sol/Ultra Luna,Updated Akala,Ultra Sun/Ultra Moon Akala dex,Akala Actualizado,Pokédex regional de Akala de Ultra Sol/Ultra Luna
updated-ulaula,24,alola,1,ultra-sun-ultra-moon,Ula-Ula mis à jour,Pokédex d'Ula-Ula dans Ultra Soleil/Ultra Lune,,,Ula-Ula Actualizado,Pokédex regional de Ula-Ula de Ultra Sol/Ultra Luna,Updated Ula’ula,Ultra Sun/Ultra Moon Ula’ula dex,Ula-Ula Actualizado,Pokédex regional de Ula-Ula de Ultra Sol/Ultra Luna
updated-poni,25,alola,1,ultra-sun-ultra-moon,Poni mis à jour,Pokédex de Poni dans Ultra Soleil/Ultra Lune,,,Poni Actualizado,Pokédex regional de Poni de Ultra Sol/Ultra Luna,Updated Poni,Ultra Sun/Ultra Moon Poni dex,Poni Actualizado,Pokédex regional de Poni de Ultra Sol/Ultra Luna
letsgo-kanto,26,kanto,1,lets-go-pikachu-lets-go-eevee,Let's Go Kanto,Pokédex de Kanto dans Let's Go: Pikachu/Let's Go: Évoli,Let's Go Kanto,Kanto Pokédex aus Let's Go: Pikachu/Let's Go: Evoli,Let’s Go Kanto,Pokédex regional de Let’s Go Pikachu/Eevee,Let’s Go Kanto,Let’s Go: Pikachu/Let’s Go: Eevee Kanto dex,Let’s Go Kanto,Pokédex regional de Let’s Go Pikachu/Eevee
galar,27,galar,1,sword-shield,Galar,Pokédex de Galar dans Épée/Bouclier,Galar,Galar Dex,Galar,Pokédex regional de Galar,Galar,Sword/Shield Galar dex,Galar,Pokédex regional de Galar
isle-of-armor,28,galar,1,sword-shield;the-isle-of-armor,Isolarmure,Pokédex d'Isolarmure,Die Insel der Rüstung,Die Insel der Rüstung Dex,Isla de la Armadura,Pokédex regional de Isla de la Armadura,Isle of Armor,Isle of Armor dex,Isla de la Armadura,Pokédex regional de Isla de la Armadura
crown-tundra,29,galar,1,the-crown-tundra;sword-shield,Couronneige,Pokédex de Couronneige,Kronen-Schneelande,Kronen-Schneelande Dex,Nieves de la Corona,Pokédex regional de Nieves de la Corona,Crown Tundra,Crown Tundra dex,Nieves de la Corona,Pokédex regional de Nieves de la Corona
hisui,30,hisui,1,legends-arceus,Hisui,Pokédex d'Hisui,Hisui,Hisui Dex — Dex aus Pokémon Legenden Arceus,Hisui,Pokédex regional de Hisui de Leyendas Pokémon Arceus,Hisui,Hisui dex,Hisui,Pokédex regional de Hisui de Leyendas Pokémon Arceus
paldea,31,paldea,1,scarlet-violet,Paldea,Pokédex de Paldea,Paldea,Paldea Dex,Paldea,Pokédex regional de Paldea de Escarlata/Púrpura,Paldea,Paldea dex,Paldea,Pokédex regional de Paldea de Escarlata/Púrpura
kitakami,32,paldea,1,scarlet-violet;the-teal-mask,Septentria,Pokédex de Septentria,,,Kitakami,Pokédex regional de Kitakami de Escarlata/Púrpura,Kitakami,Kitakami dex,Kitakami,Pokédex regional de Kitakami de Escarlata/Púrpura
blueberry,33,paldea,1,scarlet-violet;the-indigo-disk,Myrtille,Pokédex de l'Institut Myrtille,Blaubeer-Akademie,Blaubeer-Akademie Dex,Arándano,Pokédex regional de la Academia Arándano de Escarlata/Púrpura,Blueberry,Blueberry Academy dex,Arándano,Pokédex regional de la Academia Arándano de Escarlata/Púrpura
lumiose-city,34,kalos,1,legends-za,Illumis,Pokédex de la ville d'Illumis dans Légendes Z-A,Illumina City,Illumina City Dex - Dex aus Pokémon Legenden Z-A,Ciudad Luminalia,Pokédex regional de Ciudad Luminalia de Pokemon Leyendas Z-A,Lumiose,Lumiose City dex,Ciudad Luminalia,Pokédex regional de Ciudad Luminalia de Pokemon Leyendas Z-A
hyperspace,35,kalos,1,legends-za;mega-dimension,Extra Illumis,Pokédex d'extra Illumis dans Légendes Z-A Méga Dimension,Dimensions-Illumina,Dimensions-Illumina Dex,Luminalia Dimensional,Pokédex regional de Luminalia Dimensional de Pokemon Leyendas Z-A,Hyperspace,Hyperspace dex,Luminalia Dimensional,Pokédex regional de Luminalia Dimensional de Pokemon Leyendas Z-A
champions,36,,0,champions,Champions,Pokédex de Champions,,,,,Champions,Champions dex,,
