form,pokeathlon_stat,minimum_stat,base_stat,maximum_stat
nidoran-f,skill,1,2,3
nidoran-f,stamina,1,3,3
nidoran-f,jump,2,2,3
nidorina,speed,1,3,4
nidorina,power,2,3,4
nidorina,skill,1,2,3
nidorina,stamina,2,3,4
nidorina,jump,2,2,3
nidoqueen,speed,1,2,3
nidoqueen,power,2,4,5
nidoqueen,skill,1,3,3
nidoqueen,stamina,3,5,5
nidoqueen,jump,2,2,2
nidoran-m,speed,2,4,5
nidoran-m,power,1,2,4
nidoran-m,skill,1,2,3
nidoran-m,stamina,1,1,2
nidoran-m,jump,2,2,3
nidorino,speed,1,3,4
nidorino,power,2,3,4
nidorino,skill,1,2,3
nidorino,stamina,1,2,3
nidorino,jump,2,2,3
nidoking,speed,1,2,3
nidoking,power,3,5,5
nidoking,skill,1,3,3
nidoking,stamina,1,3,4
nidoking,jump,2,2,2
clefairy,speed,1,4,5
clefairy,power,1,1,3
clefairy,skill,2,3,5
clefairy,stamina,1,2,4
clefairy,jump,2,2,3
clefable,speed,1,3,3
clefable,power,1,3,3
clefable,skill,3,4,5
clefable,stamina,2,3,5
clefable,jump,2,2,3
vulpix,speed,2,4,5
vulpix,power,1,2,3
vulpix,skill,2,3,4
vulpix,stamina,1,2,3
vulpix,jump,2,3,3
ninetales,speed,2,3,4
ninetales,power,1,2,3
ninetales,skill,2,4,5
ninetales,stamina,1,2,3
ninetales,jump,2,3,3
jigglypuff,speed,2,3,5
jigglypuff,power,1,2,3
jigglypuff,skill,2,2,4
jigglypuff,stamina,1,3,5
jigglypuff,jump,2,3,3
wigglytuff,speed,1,2,3
wigglytuff,power,1,3,4
wigglytuff,skill,2,3,4
wigglytuff,stamina,3,4,5
wigglytuff,jump,2,2,3
zubat,speed,4,4,5
zubat,power,1,1,3
zubat,skill,1,1,4
zubat,stamina,1,1,3
zubat,jump,5,5,5
golbat,speed,3,4,5
golbat,power,1,2,3
golbat,skill,1,1,3
golbat,stamina,2,3,4
golbat,jump,3,5,5
oddish,speed,1,3,5
oddish,power,1,1,3
oddish,skill,1,2,3
oddish,stamina,1,4,4
oddish,jump,2,3,3
gloom,speed,1,2,4
gloom,power,1,1,3
gloom,skill,1,2,4
gloom,stamina,2,4,5
gloom,jump,2,3,3
vileplume,speed,1,2,2
vileplume,power,1,3,3
vileplume,skill,1,3,3
vileplume,stamina,2,5,5
vileplume,jump,2,2,3
paras,speed,1,2,5
paras,power,1,1,3
paras,skill,1,3,4
paras,stamina,1,3,3
paras,jump,2,2,3
parasect,speed,1,1,3
parasect,power,2,2,4
parasect,skill,1,3,4
parasect,stamina,2,5,5
parasect,jump,2,2,3
venonat,speed,2,4,5
venonat,power,1,2,3
venonat,skill,1,2,3
venonat,stamina,1,3,4
venonat,jump,2,2,3
venomoth,speed,1,3,3
venomoth,power,1,2,4
venomoth,skill,1,3,3
venomoth,stamina,1,1,3
venomoth,jump,4,5,5
diglett,speed,3,4,5
diglett,power,1,1,2
diglett,skill,1,3,4
diglett,stamina,1,3,4
diglett,jump,1,1,1
dugtrio,speed,3,4,5
dugtrio,power,3,3,4
dugtrio,skill,1,2,3
dugtrio,stamina,3,4,4
dugtrio,jump,1,1,1
meowth,speed,2,4,4
meowth,power,1,1,2
meowth,skill,1,4,4
meowth,stamina,1,1,1
meowth,jump,2,3,4
persian,speed,2,4,5
persian,power,1,2,3
persian,skill,1,3,5
persian,stamina,1,1,1
persian,jump,3,4,4
psyduck,speed,1,2,5
psyduck,power,1,2,5
psyduck,skill,1,2,5
psyduck,stamina,1,2,5
psyduck,jump,2,2,4
golduck,speed,2,3,3
golduck,power,2,3,4
golduck,skill,2,2,3
golduck,stamina,3,4,4
golduck,jump,3,3,4
mankey,speed,2,3,4
mankey,power,1,2,3
mankey,skill,2,4,5
mankey,stamina,1,1,2
mankey,jump,2,2,3
primeape,speed,1,3,3
primeape,power,3,4,5
primeape,skill,1,1,1
primeape,stamina,1,2,3
primeape,jump,2,2,3
growlithe,speed,2,3,4
growlithe,power,1,2,4
growlithe,skill,2,3,4
growlithe,stamina,1,2,3
growlithe,jump,2,3,4
arcanine,speed,3,4,5
arcanine,power,3,4,5
arcanine,skill,1,1,2
arcanine,stamina,1,2,3
arcanine,jump,2,2,3
poliwag,speed,1,3,4
poliwag,power,1,1,2
poliwag,skill,1,2,3
poliwag,stamina,2,3,5
poliwag,jump,2,2,4
poliwhirl,speed,2,2,3
poliwhirl,power,1,2,3
poliwhirl,skill,2,3,4
poliwhirl,stamina,3,3,4
poliwhirl,jump,2,3,4
poliwrath,speed,1,1,2
poliwrath,power,3,5,5
poliwrath,skill,1,3,4
poliwrath,stamina,1,4,5
poliwrath,jump,2,2,2
abra,speed,1,1,5
abra,power,1,1,1
abra,skill,1,4,5
abra,stamina,1,1,4
abra,jump,2,3,5
kadabra,speed,2,3,4
kadabra,power,1,1,3
kadabra,skill,3,4,5
kadabra,stamina,2,2,3
kadabra,jump,2,2,3
alakazam,speed,1,3,4
alakazam,power,1,1,1
alakazam,skill,5,5,5
alakazam,stamina,1,1,1
alakazam,jump,2,2,2
machop,speed,2,3,4
machop,power,2,3,4
machop,skill,1,1,3
machop,stamina,1,2,3
machop,jump,2,2,2
machoke,speed,2,2,2
machoke,power,2,4,4
machoke,skill,2,2,3
machoke,stamina,3,3,4
machoke,jump,2,2,2
machamp,speed,1,1,2
machamp,power,3,5,5
machamp,skill,1,4,4
machamp,stamina,1,3,3
machamp,jump,2,2,2
bellsprout,speed,1,1,2
bellsprout,power,1,1,2
bellsprout,skill,1,2,2
bellsprout,stamina,1,3,5
bellsprout,jump,2,2,3
weepinbell,speed,1,1,2
weepinbell,power,2,3,3
weepinbell,skill,1,2,2
weepinbell,stamina,2,4,4
weepinbell,jump,2,3,3
victreebel,speed,1,1,1
victreebel,power,2,4,4
victreebel,skill,1,3,4
victreebel,stamina,2,4,4
victreebel,jump,2,3,3
tentacool,speed,1,2,3
tentacool,power,1,2,3
tentacool,skill,1,3,5
tentacool,stamina,2,3,4
tentacool,jump,2,2,3
tentacruel,speed,1,1,2
tentacruel,power,1,3,3
tentacruel,skill,2,4,4
tentacruel,stamina,2,3,4
tentacruel,jump,2,2,3
geodude,speed,1,1,2
geodude,power,2,3,3
geodude,skill,1,1,2
geodude,stamina,2,3,4
geodude,jump,2,2,2
graveler,speed,1,1,2
graveler,power,2,4,4
graveler,skill,1,2,2
graveler,stamina,3,3,4
graveler,jump,2,2,2
golem,speed,1,2,2
golem,power,3,4,4
golem,skill,1,1,2
golem,stamina,2,4,4
golem,jump,2,2,2
ponyta,speed,2,3,5
ponyta,power,1,2,2
ponyta,skill,1,2,2
ponyta,stamina,2,3,3
ponyta,jump,4,4,4
rapidash,speed,3,5,5
rapidash,power,1,2,3
rapidash,skill,1,2,2
rapidash,stamina,1,3,4
rapidash,jump,3,3,4
slowpoke,speed,1,1,1
slowpoke,power,1,2,2
slowpoke,skill,1,2,5
slowpoke,stamina,2,4,5
slowpoke,jump,2,2,2
slowbro,speed,1,1,1
slowbro,power,1,3,3
slowbro,skill,1,2,5
slowbro,stamina,3,5,5
slowbro,jump,2,2,3
magnemite,speed,2,4,4
magnemite,power,1,1,2
magnemite,skill,1,3,4
magnemite,stamina,1,1,2
magnemite,jump,2,3,4
magneton,speed,1,3,3
magneton,power,1,2,3
magneton,skill,3,4,4
magneton,stamina,1,3,4
magneton,jump,2,3,4
farfetchd,speed,1,2,3
farfetchd,power,1,2,4
farfetchd,skill,1,2,3
farfetchd,stamina,2,3,3
farfetchd,jump,2,3,4
doduo,speed,2,4,5
doduo,power,1,2,3
doduo,skill,1,2,3
doduo,stamina,2,2,4
doduo,jump,2,2,3
dodrio,speed,3,4,5
dodrio,power,3,4,4
dodrio,skill,1,2,2
dodrio,stamina,1,2,2
dodrio,jump,2,3,3
seel,speed,1,2,3
seel,power,1,2,3
seel,skill,1,2,2
seel,stamina,2,3,4
seel,jump,2,2,3
dewgong,speed,1,2,2
dewgong,power,1,3,3
dewgong,skill,1,2,2
dewgong,stamina,3,4,5
dewgong,jump,2,2,2
grimer,speed,1,1,1
grimer,power,1,3,4
grimer,skill,1,2,2
grimer,stamina,2,4,5
grimer,jump,2,2,2
muk,speed,1,1,5
muk,power,1,4,4
muk,skill,1,1,5
muk,stamina,1,5,5
muk,jump,2,2,5
shellder,speed,1,2,3
shellder,power,1,3,3
shellder,skill,1,2,2
shellder,stamina,2,3,4
shellder,jump,2,2,2
cloyster,speed,1,1,2
cloyster,power,2,4,5
cloyster,skill,1,1,1
cloyster,stamina,2,4,4
cloyster,jump,2,2,2
gastly,speed,2,4,4
gastly,power,1,1,1
gastly,skill,2,4,4
gastly,stamina,1,1,2
gastly,jump,2,3,4
haunter,speed,2,3,4
haunter,power,1,1,1
haunter,skill,2,4,5
haunter,stamina,2,3,4
haunter,jump,2,3,4
gengar,speed,2,2,3
gengar,power,1,2,3
gengar,skill,4,5,5
gengar,stamina,2,4,4
gengar,jump,2,2,3
onix,speed,2,3,4
onix,power,1,2,2
onix,skill,1,1,2
onix,stamina,2,4,4
onix,jump,2,2,3
drowzee,speed,1,1,2
drowzee,power,2,3,4
drowzee,skill,1,2,3
drowzee,stamina,2,4,5
drowzee,jump,2,2,3
hypno,speed,1,2,3
hypno,power,1,2,3
hypno,skill,2,4,5
hypno,stamina,1,3,3
hypno,jump,2,3,3
krabby,speed,1,2,3
krabby,power,1,4,4
krabby,skill,1,1,3
krabby,stamina,1,3,4
krabby,jump,2,2,3
kingler,speed,1,1,2
kingler,power,3,4,5
kingler,skill,1,2,3
kingler,stamina,3,4,5
kingler,jump,2,2,2
voltorb,speed,3,5,5
voltorb,power,1,1,2
voltorb,skill,1,3,3
voltorb,stamina,1,1,2
voltorb,jump,3,4,5
electrode,speed,5,5,5
electrode,power,1,2,3
electrode,skill,1,2,3
electrode,stamina,1,3,4
electrode,jump,2,2,4
exeggcute,speed,1,3,3
exeggcute,power,1,2,3
exeggcute,skill,1,2,3
exeggcute,stamina,3,4,4
exeggcute,jump,2,2,3
exeggutor,speed,1,2,3
exeggutor,power,1,3,4
exeggutor,skill,2,3,3
exeggutor,stamina,3,4,4
exeggutor,jump,2,2,3
cubone,speed,2,4,4
cubone,power,1,2,5
cubone,skill,1,3,3
cubone,stamina,1,2,3
cubone,jump,2,3,3
marowak,speed,1,2,3
marowak,power,1,4,5
marowak,skill,1,3,3
marowak,stamina,2,4,4
marowak,jump,2,2,2
hitmonlee,speed,1,3,3
hitmonlee,power,2,4,4
hitmonlee,skill,1,2,3
hitmonlee,stamina,1,2,3
hitmonlee,jump,2,4,4
hitmonchan,speed,1,3,3
hitmonchan,power,1,3,4
hitmonchan,skill,1,3,5
hitmonchan,stamina,2,4,4
hitmonchan,jump,2,2,3
lickitung,speed,1,2,3
lickitung,power,1,3,4
lickitung,skill,1,2,3
lickitung,stamina,3,4,5
lickitung,jump,2,2,3
koffing,speed,1,2,3
koffing,power,1,2,3
koffing,skill,1,3,3
koffing,stamina,2,4,4
koffing,jump,2,2,3
weezing,speed,1,2,2
weezing,power,1,3,4
weezing,skill,1,2,3
weezing,stamina,2,4,4
weezing,jump,2,2,3
rhyhorn,speed,1,2,5
rhyhorn,power,1,3,5
rhyhorn,skill,1,1,2
rhyhorn,stamina,1,3,4
rhyhorn,jump,2,2,2
rhydon,speed,1,2,2
rhydon,power,2,4,5
rhydon,skill,1,2,3
rhydon,stamina,2,4,5
rhydon,jump,2,2,3
chansey,speed,1,2,3
chansey,power,1,1,4
chansey,skill,1,1,4
chansey,stamina,3,5,5
chansey,jump,2,3,3
tangela,speed,1,2,3
tangela,power,1,2,4
tangela,skill,1,4,4
tangela,stamina,1,3,4
tangela,jump,2,2,3
kangaskhan,speed,1,2,4
kangaskhan,power,1,3,5
kangaskhan,skill,1,2,4
kangaskhan,stamina,1,3,5
kangaskhan,jump,2,2,2
horsea,speed,2,3,4
horsea,power,1,1,3
horsea,skill,2,3,3
horsea,stamina,1,2,3
horsea,jump,2,3,3
seadra,speed,1,2,3
seadra,power,1,2,3
seadra,skill,3,4,4
seadra,stamina,2,3,4
seadra,jump,2,2,3
goldeen,speed,2,3,4
goldeen,power,1,2,4
goldeen,skill,1,2,3
goldeen,stamina,1,1,2
goldeen,jump,2,3,3
seaking,speed,2,2,4
seaking,power,2,3,4
seaking,skill,1,2,3
seaking,stamina,1,3,3
seaking,jump,2,2,3
staryu,speed,3,4,5
staryu,power,1,1,3
staryu,skill,1,3,3
staryu,stamina,1,2,3
staryu,jump,2,3,3
starmie,speed,2,4,5
starmie,power,1,2,5
starmie,skill,1,3,3
starmie,stamina,1,2,3
starmie,jump,2,4,4
mr-mime,speed,1,2,3
mr-mime,power,1,2,3
mr-mime,skill,2,4,5
mr-mime,stamina,2,3,4
mr-mime,jump,2,3,3
scyther,speed,1,3,4
scyther,power,1,3,4
scyther,skill,1,3,5
scyther,stamina,1,2,2
scyther,jump,4,4,5
jynx,speed,1,2,3
jynx,power,1,2,3
jynx,skill,2,4,5
jynx,stamina,2,3,4
jynx,jump,2,2,3
electabuzz,speed,1,3,4
electabuzz,power,1,3,4
electabuzz,skill,2,3,4
electabuzz,stamina,2,3,4
electabuzz,jump,2,3,3
magmar,speed,1,2,2
magmar,power,1,2,3
magmar,skill,2,4,5
magmar,stamina,2,4,5
magmar,jump,2,2,3
pinsir,speed,1,2,2
pinsir,power,3,4,5
pinsir,skill,1,3,4
pinsir,stamina,1,4,5
pinsir,jump,2,2,3
tauros,speed,1,3,4
tauros,power,1,4,5
tauros,skill,1,2,2
tauros,stamina,1,2,5
tauros,jump,2,2,2
magikarp,speed,1,1,5
magikarp,power,1,1,4
magikarp,skill,1,1,3
magikarp,stamina,1,1,5
magikarp,jump,2,2,4
gyarados,speed,1,2,3
gyarados,power,3,5,5
gyarados,skill,1,1,2
gyarados,stamina,2,3,4
gyarados,jump,3,4,5
lapras,speed,1,2,3
lapras,power,3,3,4
lapras,skill,2,3,4
lapras,stamina,4,4,5
lapras,jump,2,3,3
ditto,speed,1,2,5
ditto,power,1,2,5
ditto,skill,1,2,5
ditto,stamina,1,2,5
ditto,jump,2,2,5
eevee,speed,1,2,4
eevee,power,1,2,4
eevee,skill,1,2,4
eevee,stamina,1,2,4
eevee,jump,2,2,3
vaporeon,speed,1,2,3
vaporeon,power,1,1,3
vaporeon,skill,3,4,5
vaporeon,stamina,3,3,5
vaporeon,jump,2,3,3
jolteon,speed,2,4,5
jolteon,power,1,2,3
jolteon,skill,1,4,5
jolteon,stamina,1,2,2
jolteon,jump,2,3,3
flareon,speed,1,3,4
flareon,power,3,4,5
flareon,skill,1,2,3
flareon,stamina,1,2,3
flareon,jump,2,3,3
porygon,speed,1,2,3
porygon,power,1,2,3
porygon,skill,1,2,3
porygon,stamina,2,5,5
porygon,jump,2,2,3
omanyte,speed,1,2,3
omanyte,power,1,2,3
omanyte,skill,1,3,4
omanyte,stamina,1,3,4
omanyte,jump,2,2,3
omastar,speed,1,2,3
omastar,power,2,3,4
omastar,skill,1,4,4
omastar,stamina,1,2,3
omastar,jump,2,2,2
kabuto,speed,1,3,4
kabuto,power,1,2,4
kabuto,skill,1,2,3
kabuto,stamina,1,2,3
kabuto,jump,2,2,3
kabutops,speed,1,3,5
kabutops,power,1,4,5
kabutops,skill,1,2,3
kabutops,stamina,1,1,3
kabutops,jump,2,2,3
aerodactyl,speed,1,5,5
aerodactyl,power,1,2,3
aerodactyl,skill,1,2,2
aerodactyl,stamina,1,2,3
aerodactyl,jump,4,5,5
snorlax,speed,1,1,2
snorlax,power,2,4,5
snorlax,skill,1,1,3
snorlax,stamina,3,5,5
snorlax,jump,2,2,2
articuno,speed,1,3,4
articuno,power,1,3,4
articuno,skill,1,5,5
articuno,stamina,1,3,3
articuno,jump,4,5,5
zapdos,speed,1,5,5
zapdos,power,1,3,5
zapdos,skill,1,4,5
zapdos,stamina,1,2,3
zapdos,jump,4,5,5
moltres,speed,1,3,4
moltres,power,1,3,5
moltres,skill,1,4,5
moltres,stamina,1,4,5
moltres,jump,4,5,5
dratini,speed,1,4,5
dratini,power,1,2,3
dratini,skill,1,2,3
dratini,stamina,2,3,4
dratini,jump,2,2,3
dragonair,speed,1,3,4
dragonair,power,1,2,3
dragonair,skill,1,3,4
dragonair,stamina,1,3,3
dragonair,jump,2,4,5
dragonite,speed,1,2,5
dragonite,power,1,5,5
dragonite,skill,1,2,3
dragonite,stamina,1,3,4
dragonite,jump,2,5,5
mewtwo,speed,1,5,5
mewtwo,power,1,3,5
mewtwo,skill,1,5,5
mewtwo,stamina,1,3,4
mewtwo,jump,2,3,4
mew,speed,1,4,5
mew,power,1,2,5
mew,skill,1,5,5
mew,stamina,1,4,5
mew,jump,2,3,5
chikorita,speed,1,3,4
chikorita,power,1,2,3
chikorita,skill,1,2,4
chikorita,stamina,2,4,5
chikorita,jump,2,3,3
bayleef,speed,1,2,3
bayleef,power,1,2,3
bayleef,skill,1,4,5
bayleef,stamina,2,4,5
bayleef,jump,2,2,3
meganium,speed,1,2,2
meganium,power,1,3,5
meganium,skill,1,5,5
meganium,stamina,2,5,5
meganium,jump,2,2,2
cyndaquil,speed,2,4,5
cyndaquil,power,1,2,4
cyndaquil,skill,1,3,3
cyndaquil,stamina,1,1,3
cyndaquil,jump,2,3,3
quilava,speed,2,4,5
quilava,power,1,3,4
quilava,skill,1,2,3
quilava,stamina,1,3,4
quilava,jump,2,2,3
typhlosion,speed,1,2,4
typhlosion,power,1,5,5
typhlosion,skill,1,2,3
typhlosion,stamina,1,4,5
typhlosion,jump,2,2,3
totodile,speed,1,3,4
totodile,power,2,4,5
totodile,skill,1,2,3
totodile,stamina,1,2,3
totodile,jump,2,3,3
croconaw,speed,1,2,3
croconaw,power,2,4,5
croconaw,skill,1,2,3
croconaw,stamina,1,4,5
croconaw,jump,2,3,3
feraligatr,speed,1,4,4
feraligatr,power,2,4,5
feraligatr,skill,1,3,4
feraligatr,stamina,1,3,4
feraligatr,jump,2,2,2
sentret,speed,2,4,5
sentret,power,1,2,3
sentret,skill,1,2,4
sentret,stamina,1,2,4
sentret,jump,2,3,4
furret,speed,3,5,5
furret,power,1,2,3
furret,skill,1,2,3
furret,stamina,1,2,3
furret,jump,2,3,3
hoothoot,speed,1,2,3
hoothoot,power,1,2,3
hoothoot,skill,1,3,5
hoothoot,stamina,1,2,3
hoothoot,jump,2,4,4
noctowl,speed,1,3,3
noctowl,power,1,2,3
noctowl,skill,1,2,3
noctowl,stamina,1,3,4
noctowl,jump,4,4,5
ledyba,speed,2,4,5
ledyba,power,1,1,2
ledyba,skill,1,3,5
ledyba,stamina,1,1,3
ledyba,jump,3,4,5
ledian,speed,2,4,5
ledian,power,1,1,2
ledian,skill,1,3,5
ledian,stamina,1,2,3
ledian,jump,3,5,5
spinarak,speed,1,3,4
spinarak,power,1,2,3
spinarak,skill,1,4,4
spinarak,stamina,1,1,4
spinarak,jump,2,2,3
ariados,speed,1,4,4
ariados,power,1,3,3
ariados,skill,1,3,4
ariados,stamina,1,2,4
ariados,jump,2,2,3
crobat,speed,3,5,5
crobat,power,1,1,3
crobat,skill,1,3,3
crobat,stamina,1,2,2
crobat,jump,5,5,5
chinchou,speed,1,3,4
chinchou,power,1,2,3
chinchou,skill,1,3,5
chinchou,stamina,1,2,4
chinchou,jump,2,2,3
lanturn,speed,1,3,3
lanturn,power,1,2,3
lanturn,skill,1,3,3
lanturn,stamina,2,4,4
lanturn,jump,2,3,4
pichu,speed,3,4,4
pichu,power,1,1,3
pichu,skill,1,4,5
pichu,stamina,1,1,3
pichu,jump,2,3,3
cleffa,speed,2,4,5
cleffa,power,1,1,2
cleffa,skill,1,3,4
cleffa,stamina,1,3,3
cleffa,jump,2,2,3
igglybuff,speed,1,3,4
igglybuff,power,1,1,3
igglybuff,skill,1,2,3
igglybuff,stamina,2,3,4
igglybuff,jump,2,3,4
togepi,speed,1,4,5
togepi,power,1,1,3
togepi,skill,1,2,3
togepi,stamina,1,4,5
togepi,jump,2,3,4
togetic,speed,1,3,4
togetic,power,1,2,5
togetic,skill,1,3,3
togetic,stamina,1,4,5
togetic,jump,3,4,5
natu,speed,2,3,4
natu,power,1,2,3
natu,skill,1,2,2
natu,stamina,1,3,4
natu,jump,2,3,4
xatu,speed,1,2,3
xatu,power,1,3,3
xatu,skill,1,3,3
xatu,stamina,1,4,4
xatu,jump,2,3,4
mareep,speed,1,2,3
mareep,power,1,3,3
mareep,skill,1,2,3
mareep,stamina,2,4,4
mareep,jump,2,2,2
flaaffy,speed,1,2,3
flaaffy,power,1,3,3
flaaffy,skill,1,3,3
flaaffy,stamina,2,4,4
flaaffy,jump,2,3,3
ampharos,speed,1,1,3
ampharos,power,2,3,4
ampharos,skill,1,3,4
ampharos,stamina,2,4,5
ampharos,jump,2,3,3
bellossom,speed,1,3,4
bellossom,power,1,2,3
bellossom,skill,3,4,5
bellossom,stamina,1,3,3
bellossom,jump,2,3,4
marill,speed,1,3,4
marill,power,2,4,5
marill,skill,1,2,3
marill,stamina,1,2,3
marill,jump,2,3,3
azumarill,speed,1,2,3
azumarill,power,3,5,5
azumarill,skill,1,3,3
azumarill,stamina,1,3,4
azumarill,jump,2,2,2
sudowoodo,speed,1,2,2
sudowoodo,power,2,3,4
sudowoodo,skill,1,3,4
sudowoodo,stamina,4,4,5
sudowoodo,jump,2,2,3
politoed,speed,1,3,3
politoed,power,1,3,4
politoed,skill,1,3,4
politoed,stamina,1,3,4
politoed,jump,2,4,4
hoppip,speed,1,3,5
hoppip,power,1,1,2
hoppip,skill,1,1,1
hoppip,stamina,1,1,1
hoppip,jump,4,5,5
skiploom,speed,1,4,5
skiploom,power,1,2,3
skiploom,skill,1,1,1
skiploom,stamina,1,2,2
skiploom,jump,4,5,5
jumpluff,speed,1,4,5
jumpluff,power,1,1,3
jumpluff,skill,1,2,2
jumpluff,stamina,1,2,2
jumpluff,jump,4,5,5
aipom,speed,1,4,4
aipom,power,1,2,3
aipom,skill,1,4,4
aipom,stamina,1,2,3
aipom,jump,2,3,4
sunkern,speed,1,3,5
sunkern,power,1,1,5
sunkern,skill,1,1,5
sunkern,stamina,1,1,5
sunkern,jump,2,2,5
sunflora,speed,1,2,2
sunflora,power,2,3,5
sunflora,skill,1,3,3
sunflora,stamina,2,4,5
sunflora,jump,2,2,3
yanma,speed,1,3,5
yanma,power,1,2,2
yanma,skill,1,1,1
yanma,stamina,1,2,3
yanma,jump,5,5,5
wooper,speed,1,3,3
wooper,power,1,2,3
wooper,skill,1,2,3
wooper,stamina,1,4,4
wooper,jump,2,2,3
quagsire,speed,1,1,2
quagsire,power,1,3,4
quagsire,skill,1,3,4
quagsire,stamina,3,5,5
quagsire,jump,2,2,2
espeon,speed,1,3,3
espeon,power,1,2,3
espeon,skill,1,4,5
espeon,stamina,1,2,2
espeon,jump,2,3,4
umbreon,speed,1,2,3
umbreon,power,1,4,4
umbreon,skill,1,2,2
umbreon,stamina,1,4,5
umbreon,jump,2,3,3
murkrow,speed,1,3,4
murkrow,power,1,2,3
murkrow,skill,1,3,4
murkrow,stamina,1,3,4
murkrow,jump,3,4,4
slowking,speed,1,2,3
slowking,power,1,2,3
slowking,skill,5,5,5
slowking,stamina,1,2,3
slowking,jump,2,2,3
misdreavus,speed,1,3,4
misdreavus,power,1,1,2
misdreavus,skill,1,3,3
misdreavus,stamina,1,2,2
misdreavus,jump,5,5,5
unown-a,speed,1,2,4
unown-a,power,1,2,3
unown-a,skill,1,2,4
unown-a,stamina,1,2,4
unown-a,jump,2,2,5
wobbuffet,speed,1,1,2
wobbuffet,power,1,3,4
wobbuffet,skill,1,3,5
wobbuffet,stamina,3,5,5
wobbuffet,jump,2,2,3
girafarig,speed,1,3,4
girafarig,power,1,3,4
