item,version_group,version,price_type,amount,currency,note,source
full-restore,legends-za,,sell,375,poke-dollar,,bulbapedia
galarica-cuff,legends-za,,sell,750,poke-dollar,,bulbapedia
galarica-wreath,legends-za,,sell,750,poke-dollar,,bulbapedia
garchompite,legends-za,,buy,70000,poke-dollar,,bulbapedia
gengarite,legends-za,,buy,50000,poke-dollar,,bulbapedia
gold-canari-plush-lv-1,legends-za,legends-za,buy,3,,Cost is 3 Colorful Screws,pokedb
gold-canari-plush-lv-2,legends-za,legends-za,buy,5,,Cost is 5 Colorful Screws,pokedb
gold-canari-plush-lv-3,legends-za,legends-za,buy,8,,Cost is 8 Colorful Screws,pokedb
green-canari-plush-lv-1,legends-za,legends-za,buy,3,,Cost in Colorful Screws,pokedb
green-canari-plush-lv-2,legends-za,legends-za,buy,5,,Cost in Colorful Screws,pokedb
green-canari-plush-lv-3,legends-za,legends-za,buy,8,,Cost in Colorful Screws,pokedb
hp-up,legends-za,,buy,5000,poke-dollar,,bulbapedia
hp-up,legends-za,,sell,1250,poke-dollar,,bulbapedia
hyper-aspear-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-babiri-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-charti-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-cheri-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-chesto-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-chilan-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-chople-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-coba-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-colbur-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-grepa-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-haban-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-hondew-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-kasib-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-kebia-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-kelpsy-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-lum-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-occa-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-oran-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-passho-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-payapa-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-pecha-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-persim-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-pomeg-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-qualot-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-rawst-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-rindo-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-roseli-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-shuca-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-sitrus-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-tamato-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-tanga-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-wacan-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
hyper-yache-berry,legends-za,legends-za,sell,10,poke-dollar,,pokedb
ice-heal,legends-za,,buy,100,poke-dollar,,bulbapedia
ice-heal,legends-za,,sell,25,poke-dollar,,bulbapedia
ice-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
ice-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
jaw-fossil,legends-za,,buy,20000,poke-dollar,,bulbapedia
jaw-fossil,legends-za,,sell,5000,poke-dollar,,bulbapedia
kangaskhanite,legends-za,,buy,70000,poke-dollar,,bulbapedia
lucky-egg,legends-za,,sell,750,poke-dollar,,bulbapedia
lumiose-galette,legends-za,,buy,350,poke-dollar,,bulbapedia
lumiose-galette,legends-za,,sell,87,poke-dollar,,bulbapedia
max-potion,legends-za,,buy,1200,poke-dollar,,bulbapedia
max-potion,legends-za,,sell,300,poke-dollar,,bulbapedia
max-revive,legends-za,,sell,500,poke-dollar,,bulbapedia
medichamite,legends-za,,buy,50000,poke-dollar,,bulbapedia
old-amber,legends-za,,buy,30000,poke-dollar,,bulbapedia
old-amber,legends-za,,sell,7500,poke-dollar,,bulbapedia
paralyze-heal,legends-za,,buy,100,poke-dollar,,bulbapedia
paralyze-heal,legends-za,,sell,25,poke-dollar,,bulbapedia
pink-canari-plush-lv-1,legends-za,legends-za,buy,3,,Colorful Screws,pokedb
pink-canari-plush-lv-2,legends-za,legends-za,buy,5,,Colorful Screws,pokedb
pink-canari-plush-lv-3,legends-za,legends-za,buy,8,,Colorful Screws,pokedb
potion,legends-za,,buy,150,poke-dollar,,bulbapedia
potion,legends-za,,sell,37,poke-dollar,,bulbapedia
quick-claw,legends-za,,sell,750,poke-dollar,,bulbapedia
red-canari-plush-lv-2,legends-za,legends-za,buy,5,,Purchased using Colorful Screws,pokedb
red-canari-plush-lv-3,legends-za,legends-za,buy,8,,Purchased using Colorful Screws,pokedb
revive,legends-za,,buy,800,poke-dollar,,bulbapedia
revive,legends-za,,sell,200,poke-dollar,,bulbapedia
sachet,legends-za,,sell,750,poke-dollar,,bulbapedia
sail-fossil,legends-za,,buy,20000,poke-dollar,,bulbapedia
sail-fossil,legends-za,,sell,5000,poke-dollar,,bulbapedia
scizorite,legends-za,,buy,50000,poke-dollar,,bulbapedia
seed-of-mastery,legends-za,legends-za,sell,750,poke-dollar,,pokedb
soothe-bell,legends-za,,sell,750,poke-dollar,,bulbapedia
steelixite,legends-za,,buy,70000,poke-dollar,,bulbapedia
sun-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
sun-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
whipped-dream,legends-za,,sell,750,poke-dollar,,bulbapedia
hyper-potion,legends-za,,buy,600,poke-dollar,,bulbapedia
hyper-potion,legends-za,,sell,150,poke-dollar,,bulbapedia
super-potion,legends-za,,buy,400,poke-dollar,,bulbapedia
super-potion,legends-za,,sell,100,poke-dollar,,bulbapedia
fresh-water,legends-za,,buy,200,poke-dollar,,bulbapedia
fresh-water,legends-za,,sell,50,poke-dollar,,bulbapedia
soda-pop,legends-za,,buy,300,poke-dollar,,bulbapedia
soda-pop,legends-za,,sell,75,poke-dollar,,bulbapedia
lemonade,legends-za,,buy,400,poke-dollar,,bulbapedia
lemonade,legends-za,,sell,100,poke-dollar,,bulbapedia
moomoo-milk,legends-za,,buy,600,poke-dollar,,bulbapedia
moomoo-milk,legends-za,,sell,150,poke-dollar,,bulbapedia
protein,legends-za,,buy,5000,poke-dollar,,bulbapedia
protein,legends-za,,sell,1250,poke-dollar,,bulbapedia
iron,legends-za,,buy,5000,poke-dollar,,bulbapedia
iron,legends-za,,sell,1250,poke-dollar,,bulbapedia
carbos,legends-za,,buy,5000,poke-dollar,,bulbapedia
carbos,legends-za,,sell,1250,poke-dollar,,bulbapedia
calcium,legends-za,,buy,5000,poke-dollar,,bulbapedia
calcium,legends-za,,sell,1250,poke-dollar,,bulbapedia
rare-candy,legends-za,,sell,2500,poke-dollar,,bulbapedia
zinc,legends-za,,buy,5000,poke-dollar,,bulbapedia
zinc,legends-za,,sell,1250,poke-dollar,,bulbapedia
moon-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
moon-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
fire-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
fire-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
thunder-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
thunder-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
water-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
water-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
leaf-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
leaf-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
tiny-mushroom,legends-za,,sell,250,poke-dollar,,bulbapedia
nugget,legends-za,,sell,5000,poke-dollar,,bulbapedia
shiny-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
shiny-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
dusk-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
dusk-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
dawn-stone,legends-za,,buy,3000,poke-dollar,,bulbapedia
dawn-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
cheri-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
cheri-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
chesto-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
chesto-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
pecha-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
pecha-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
rawst-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
rawst-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
aspear-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
aspear-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
oran-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
oran-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
persim-berry,legends-za,,buy,80,poke-dollar,,bulbapedia
persim-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
lum-berry,legends-za,,buy,600,poke-dollar,,bulbapedia
lum-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
sitrus-berry,legends-za,,buy,400,poke-dollar,,bulbapedia
sitrus-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
pomeg-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
pomeg-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
kelpsy-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
kelpsy-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
qualot-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
qualot-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
hondew-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
hondew-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
grepa-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
grepa-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
tamato-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
tamato-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
occa-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
occa-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
passho-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
passho-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
wacan-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
wacan-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
rindo-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
rindo-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
yache-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
yache-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
chople-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
chople-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
kebia-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
kebia-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
shuca-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
shuca-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
coba-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
coba-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
payapa-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
payapa-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
tanga-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
tanga-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
charti-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
charti-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
kasib-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
kasib-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
haban-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
haban-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
colbur-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
colbur-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
babiri-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
babiri-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
chilan-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
chilan-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
white-herb,legends-za,,buy,4980,poke-dollar,,bulbapedia
white-herb,legends-za,,sell,750,poke-dollar,,bulbapedia
kings-rock,legends-za,,buy,4980,poke-dollar,,bulbapedia
kings-rock,legends-za,,sell,750,poke-dollar,,bulbapedia
silver-powder,legends-za,,buy,4980,poke-dollar,,bulbapedia
silver-powder,legends-za,,sell,750,poke-dollar,,bulbapedia
scope-lens,legends-za,,buy,4980,poke-dollar,,bulbapedia
scope-lens,legends-za,,sell,750,poke-dollar,,bulbapedia
metal-coat,legends-za,,buy,4980,poke-dollar,,bulbapedia
metal-coat,legends-za,,sell,750,poke-dollar,,bulbapedia
leftovers,legends-za,,buy,4980,poke-dollar,,bulbapedia
leftovers,legends-za,,sell,750,poke-dollar,,bulbapedia
soft-sand,legends-za,,buy,4980,poke-dollar,,bulbapedia
soft-sand,legends-za,,sell,750,poke-dollar,,bulbapedia
hard-stone,legends-za,,buy,4980,poke-dollar,,bulbapedia
hard-stone,legends-za,,sell,750,poke-dollar,,bulbapedia
miracle-seed,legends-za,,buy,4980,poke-dollar,,bulbapedia
miracle-seed,legends-za,,sell,750,poke-dollar,,bulbapedia
black-glasses,legends-za,,buy,4980,poke-dollar,,bulbapedia
black-glasses,legends-za,,sell,750,poke-dollar,,bulbapedia
magnet,legends-za,,buy,4980,poke-dollar,,bulbapedia
magnet,legends-za,,sell,750,poke-dollar,,bulbapedia
mystic-water,legends-za,,buy,4980,poke-dollar,,bulbapedia
mystic-water,legends-za,,sell,750,poke-dollar,,bulbapedia
sharp-beak,legends-za,,buy,4980,poke-dollar,,bulbapedia
sharp-beak,legends-za,,sell,750,poke-dollar,,bulbapedia
poison-barb,legends-za,,buy,4980,poke-dollar,,bulbapedia
poison-barb,legends-za,,sell,750,poke-dollar,,bulbapedia
never-melt-ice,legends-za,,buy,4980,poke-dollar,,bulbapedia
never-melt-ice,legends-za,,sell,750,poke-dollar,,bulbapedia
spell-tag,legends-za,,buy,4980,poke-dollar,,bulbapedia
spell-tag,legends-za,,sell,750,poke-dollar,,bulbapedia
twisted-spoon,legends-za,,buy,4980,poke-dollar,,bulbapedia
twisted-spoon,legends-za,,sell,750,poke-dollar,,bulbapedia
charcoal,legends-za,,buy,4980,poke-dollar,,bulbapedia
charcoal,legends-za,,sell,750,poke-dollar,,bulbapedia
dragon-fang,legends-za,,buy,4980,poke-dollar,,bulbapedia
dragon-fang,legends-za,,sell,750,poke-dollar,,bulbapedia
silk-scarf,legends-za,,buy,4980,poke-dollar,,bulbapedia
silk-scarf,legends-za,,sell,750,poke-dollar,,bulbapedia
up-grade,legends-za,,sell,500,poke-dollar,,bulbapedia
shell-bell,legends-za,,buy,4980,poke-dollar,,bulbapedia
shell-bell,legends-za,,sell,750,poke-dollar,,bulbapedia
stick,legends-za,,sell,250,poke-dollar,,bulbapedia
muscle-band,legends-za,,buy,4980,poke-dollar,,bulbapedia
muscle-band,legends-za,,sell,750,poke-dollar,,bulbapedia
expert-belt,legends-za,,buy,4980,poke-dollar,,bulbapedia
expert-belt,legends-za,,sell,750,poke-dollar,,bulbapedia
life-orb,legends-za,,buy,4980,poke-dollar,,bulbapedia
life-orb,legends-za,,sell,750,poke-dollar,,bulbapedia
focus-sash,legends-za,,buy,4980,poke-dollar,,bulbapedia
focus-sash,legends-za,,sell,750,poke-dollar,,bulbapedia
power-bracer,legends-za,,sell,750,poke-dollar,,bulbapedia
power-belt,legends-za,,sell,750,poke-dollar,,bulbapedia
power-lens,legends-za,,sell,750,poke-dollar,,bulbapedia
power-band,legends-za,,sell,750,poke-dollar,,bulbapedia
power-anklet,legends-za,,sell,750,poke-dollar,,bulbapedia
power-weight,legends-za,,sell,750,poke-dollar,,bulbapedia
big-root,legends-za,,buy,4980,poke-dollar,,bulbapedia
big-root,legends-za,,sell,750,poke-dollar,,bulbapedia
dubious-disc,legends-za,,sell,500,poke-dollar,,bulbapedia
prism-scale,legends-za,,sell,500,poke-dollar,,bulbapedia
eviolite,legends-za,,buy,4980,poke-dollar,,bulbapedia
eviolite,legends-za,,sell,750,poke-dollar,,bulbapedia
rocky-helmet,legends-za,,buy,4980,poke-dollar,,bulbapedia
rocky-helmet,legends-za,,sell,750,poke-dollar,,bulbapedia
health-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
muscle-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
resist-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
genius-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
clever-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
swift-wing,legends-za,,sell,75,poke-dollar,,bulbapedia
pretty-wing,legends-za,,sell,500,poke-dollar,,bulbapedia
big-nugget,legends-za,,sell,20000,poke-dollar,,bulbapedia
pearl-string,legends-za,,sell,10000,poke-dollar,,bulbapedia
weakness-policy,legends-za,,buy,4980,poke-dollar,,bulbapedia
weakness-policy,legends-za,,sell,750,poke-dollar,,bulbapedia
assault-vest,legends-za,,buy,4980,poke-dollar,,bulbapedia
assault-vest,legends-za,,sell,750,poke-dollar,,bulbapedia
roseli-berry,legends-za,,buy,200,poke-dollar,,bulbapedia
roseli-berry,legends-za,,sell,20,poke-dollar,,bulbapedia
gold-bottle-cap,legends-za,,sell,15000,poke-dollar,,bulbapedia
lagreat-ball,legends-za,,buy,300,poke-dollar,,bulbapedia
lagreat-ball,legends-za,,sell,75,poke-dollar,,bulbapedia
laultra-ball,legends-za,,buy,600,poke-dollar,,bulbapedia
laultra-ball,legends-za,,sell,150,poke-dollar,,bulbapedia
black-augurite,legends-za,,sell,500,poke-dollar,,bulbapedia
