ability,changed_in_version_group,effect_en,effect_fr,effect_de
magic-guard,black-white,"Paralysis cannot prevent the Pokémon from moving, though the Speed cut is unaffected.  Poison still damages the Pokémon outside of battle.","La paralysie ne peut pas empêcher le Pokémon de bouger, mais le malus de Vitesse est appliqué. Le poison continue d'infliger des dommages au Pokémon en dehors du combat.","Paralyse hindert das Pokémon nicht daran sich zu bewegen, aber der Initiative Malus bleibt. Vergiftung schadet dem Pokémon außerhalb vom Kampf."
no-guard,platinum,"Due to a glitch, moves affected by this ability have a (100 - accuracy)% chance to hit through Detect or Protect.","À cause d'un glitch, les capacités affectées par ce talent ont (100 - accuracy)% de chance de transpercer Détection ou Abri.",Wegen eines Glitches haben Attacken die von dieser Fähigkeit beeinflusst sind eine (100 - Genauigkeit)% Chance durch den Scanner oder Schutzschild zu treffen.
leaf-guard,black-white,Rest works as usual during strong sunlight.,Repos fonctionne de manière habituelle sous le soleil intense.,Erholung funktioniert normal bei starkem Sonnenlicht.
klutz,black-white,Fling can be used as usual.,Dégommage peut être utilisé de manière habituelle.,Schleuder kann normal benutzt werden.
storm-drain,black-white,Redirects Water moves without negating them or granting any Special Attack boost.  Does not redirect Hidden Power.,Redirige les capacités Eau sans les annuler ou garantir aucun boost d'Attaque Spéciale. Ne redirige pas Puissance Cachée.,Leitet Wasser-Attacken um ohne den Spezialangriff Bonus zu gewähren. Leitet Kraftreserve nicht um.
trace,black-white,Can copy Flower Gift and Wonder Guard.,Peut copier Don Floral et Garde Mystik.,Kann Pflanzengabe und Wunderwache kopieren.
trace,diamond-pearl,Can copy Forecast and Trace.,Peut copier Météo et Calque.,Kann Prognose und Erfassen kopieren.
plus,black-white,Powers up only when paired with Minus.,Fonctionne uniquement quand associé à Moins.,Funktioniert nur wenn es mit Minus kombiniert wird.
minus,black-white,Powers up only when paired with Plus.,Fonctionne uniquement quand associé à Plus.,Funktioniert nur wenn es mit Plus kombiniert wird.
shed-skin,black-white,Chance of taking effect is 30%.,Les chances que l'effet s'active sont de 30%.,"Die Chance, dass der Effekt eintritt, beträgt 30%."
skill-link,black-white,Triple Kick is unaffected.,Triple Pied n'est pas affecté.,Dreifachkick wird nicht beeinflusst.
technician,black-white,Struggle is unaffected.  Helping Hand and Defense Curl are not taken into account.,Lutte n'est pas affecté. Coup d’Main et Boul’Armure ne sont pas pris en compte.,Verzweifler wird nicht beeinflusst. Rechte Hand und Einigler werden nicht beachtet.
compound-eyes,emerald,Has no overworld effect.,N'a pas d'effet en dehors du combat.,Hat außerhalb vom Kampf keinen Effekt.
shed-skin,diamond-pearl,Chance of taking effect is 33%.,Les chances que l'effet s'active sont de 33%.,"Die Chance, dass der Effekt eintritt, beträgt 33%."
