item,generation,pocket,version_group,version
insect-plate,8,key-items,legends-arceus,legends-arceus
iron-barktongue,8,items,legends-arceus,legends-arceus
iron-chunk,8,items,legends-arceus,legends-arceus
iron-plate,8,key-items,legends-arceus,legends-arceus
lajet-ball,8,poke-balls,legends-arceus,legends-arceus
jubilife-muffin,8,items,legends-arceus,legends-arceus
kings-leaf,8,items,legends-arceus,legends-arceus
laleaden-ball,8,poke-balls,legends-arceus,legends-arceus
leppa-berry,8,items,legends-arceus,legends-arceus
linking-cord,8,items,legends-arceus,legends-arceus
lost-satchel,8,key-items,legends-arceus,legends-arceus
lum-berry,8,items,legends-arceus,legends-arceus
mago-berry,8,items,legends-arceus,legends-arceus
marsh-balm,8,key-items,legends-arceus,legends-arceus
meadow-plate,8,key-items,legends-arceus,legends-arceus
mesprits-plume,8,key-items,legends-arceus,legends-arceus
mind-plate,8,key-items,legends-arceus,legends-arceus
mountain-balm,8,key-items,legends-arceus,legends-arceus
mushroom-cake,8,medicine,legends-arceus,legends-arceus
nanab-berry,8,items,legends-arceus,legends-arceus
odd-keystone,8,key-items,legends-arceus,legends-arceus
old-journal,8,key-items,legends-arceus,legends-arceus
old-verse-01,8,key-items,legends-arceus,legends-arceus
oran-berry,8,items,legends-arceus,legends-arceus
laorigin-ball,8,key-items,legends-arceus,legends-arceus
origin-ore,8,key-items,legends-arceus,legends-arceus
pecha-berry,8,items,legends-arceus,legends-arceus
pep-up-plant,8,items,legends-arceus,legends-arceus
pinap-berry,8,items,legends-arceus,legends-arceus
pixie-plate,8,key-items,legends-arceus,legends-arceus
plump-beans,8,items,legends-arceus,legends-arceus
poke-ball-hisuian,8,poke-balls,legends-arceus,legends-arceus
pokeshi-doll,8,items,legends-arceus,legends-arceus
pop-pod,8,items,legends-arceus,legends-arceus
rawst-berry,8,items,legends-arceus,legends-arceus
razz-berry,8,items,legends-arceus,legends-arceus
red-chain,8,key-items,legends-arceus,legends-arceus
salt-cake,8,medicine,legends-arceus,legends-arceus
sand-radish,8,items,legends-arceus,legends-arceus
scatter-bang,8,items,legends-arceus,legends-arceus
seed-of-mastery,8,items,legends-arceus,legends-arceus
sitrus-berry,8,items,legends-arceus,legends-arceus
sky-plate,8,key-items,legends-arceus,legends-arceus
sky-tumblestone,8,items,legends-arceus,legends-arceus
smoke-bomb,8,items,legends-arceus,legends-arceus
snow-balm,8,key-items,legends-arceus,legends-arceus
snowball,8,items,legends-arceus,legends-arceus
sootfoot-root,8,items,legends-arceus,legends-arceus
space-balm,8,key-items,legends-arceus,legends-arceus
splash-plate,8,key-items,legends-arceus,legends-arceus
spoiled-apricorn,8,items,legends-arceus,legends-arceus
spooky-plate,8,key-items,legends-arceus,legends-arceus
springy-mushroom,8,items,legends-arceus,legends-arceus
stealth-spray,8,items,legends-arceus,legends-arceus
stone-plate,8,key-items,legends-arceus,legends-arceus
survival-charm,8,items,legends-arceus,legends-arceus
swordcap,8,items,legends-arceus,legends-arceus
time-balm,8,key-items,legends-arceus,legends-arceus
torn-journal,8,key-items,legends-arceus,legends-arceus
toxic-plate,8,key-items,legends-arceus,legends-arceus
twice-spiced-radish,8,items,legends-arceus,legends-arceus
ultra-ball-hisui,8,poke-balls,legends-arceus,legends-arceus
uxies-claw,8,key-items,legends-arceus,legends-arceus
vivichoke,8,items,legends-arceus,legends-arceus
volcano-balm,8,key-items,legends-arceus,legends-arceus
wall-fragment,8,key-items,legends-arceus,legends-arceus
wiki-berry,8,items,legends-arceus,legends-arceus
lawing-ball,8,poke-balls,legends-arceus,legends-arceus
wood,8,items,legends-arceus,legends-arceus
zap-plate,8,key-items,legends-arceus,legends-arceus
