item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
delphoxite,legends-za,legends-za,achievement,,,Ranked Battles Season 3,0,0,1,,,,,,"Reach Rank V in Ranked Battles Season 3 (November 27–December 18, 2025)",,pokedb
diancite,legends-za,,event,,,Event,0,0,1,,,,,,,,bulbapedia
douse-drive,mega-dimension,,request,,vert-sector-7,"Vert Sector 7 (540 Mega Shards, after initiating Side Mission 191: Collecting Four Drives)",1,0,1,,,,,,,,bulbapedia
dragalgite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 30: ""Reaching Rank B""",Exchanged for 240 Mega Shards,pokedb
dragoninite,legends-za,legends-za,npc-defeat,,,"Defeating the Rogue Mega Dragonite in Main Mission 32: ""A Rogue Mega Dragonite""",0,0,1,,,,,,,,pokedb
drampanite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,1,0,1,,,360,,,,Costs 360 Mega Shards,pokedb
eelektrossite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 14: ""Reaching Rank E""",Requires Mega Shards,pokedb
elevator-key,legends-za,,overworld,,lysandre-labs,Lysandre Labs,0,0,1,,,,,,,,bulbapedia
emboarite,legends-za,legends-za,story,,,"Obtained from AZ during Main Mission 10: ""The Secrets of Mega Evolution""",0,0,1,,,,,,If the player's first partner Pokémon was Tepig,,pokedb
emboarite,legends-za,legends-za,shop,specialty-shop,,Stone Emporium,1,0,1,,,,,,"If the player's first partner Pokémon was not Tepig, after completing Main Mission 37: ""Operation Protect Lumiose""",,pokedb
epice-noire,legends-za,legends-za,story,,lumiose-city,"Corbeau at Hotel Z during Hyperspace Mission 11: ""Hyperspace Lumiose Survey No. 6""",0,0,1,,,,,,,,pokedb
excadrite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,360,,,"After completing Main Mission 14: ""Reaching Rank E""",Requires Mega Shards,pokedb
fairy-feather,legends-za,legends-za,shop,specialty-shop,,Racine Construction Shop,1,0,1,,,4980,poke-dollar,,,,pokedb
fairy-feather,legends-za,legends-za,story,,,Side Mission 042: A Fan of Fairy Types,0,0,1,,,,,,,,pokedb
falinksite,legends-za,legends-za,exchange,,quasartico-inc-building,Exchange for 240 Mega Shards,0,0,1,,,240,,,"After completing Main Mission 19: ""Reaching Rank D""",,pokedb
feraligite,legends-za,legends-za,npc-gift,,,AZ,0,0,1,,,,,,"During Main Mission 10: ""The Secrets of Mega Evolution"" if the player's first partner Pokémon was Totodile",,pokedb
feraligite,legends-za,legends-za,shop,specialty-shop,,Stone Emporium,1,0,1,,,,,,"Available if the player's first partner Pokémon was not Totodile, after completing Main Mission 37: ""Operation Protect Lumiose""",,pokedb
floettite,legends-za,legends-za,trainer-reward,trainer,,Defeating Urbain/Taunie as the fifteenth opponent in the Infinite Z-A Royale during Main Mission 39,0,0,1,,,,,,During Main Mission 39: The Infinite Z-A Royale,,pokedb
froslassite,legends-za,legends-za,npc-defeat,,,"Defeating the Rogue Mega Froslass in Main Mission 27: ""A Rogue Mega Froslass""",0,0,1,,,,,,,,pokedb
galarica-cuff,legends-za,,request,,vert-sector-9,"Vert Sector 9 (Reward for completing Side Mission 75: ""Some Unusual Pokémon"")",0,0,1,,,,,,,,bulbapedia
galarica-wreath,legends-za,,request,,vert-sector-9,"Vert Sector 9 (Reward for completing Side Mission 75: ""Some Unusual Pokémon"")",0,0,1,,,,,,,,bulbapedia
galladite,legends-za,,request,,,"Quasartico Inc. (240 Mega Shards, after completing Main Mission 24: ""Reaching Rank C"")",0,0,1,,,,,,,,bulbapedia
garchompite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
garchompite-z,legends-za,legends-za,event,,,Calming down Rogue Mega Garchomp Z in an unknown hyperspace distortion,0,0,1,,,,,,Requires Mystery Gift activation,,pokedb
gardevoirite,legends-za,,request,,,"Quasartico Inc. (240 Mega Shards, after completing Main Mission 24: ""Reaching Rank C"")",0,0,1,,,,,,,,bulbapedia
gardevoirite,legends-za,,event,,,Event,0,0,1,,,,,,,,bulbapedia
gengarite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
glalitite,legends-za,,request,,,"Quasartico Inc. (240 Mega Shards, after completing Main Mission 14: ""Reaching Rank E"")",0,0,1,,,,,,,,bulbapedia
glimmoranite,legends-za,legends-za,story,,,Obtained upon calming down Rogue Mega Glimmora in a 4-star unknown hyperspace distortion,0,0,1,,,,,,,,pokedb
gold-canari-plush-lv-1,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,1,0,1,,,3,,,,Requires Colorful Screws,pokedb
gold-canari-plush-lv-2,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,1,0,1,,,5,,,,Requires Colorful Screws,pokedb
gold-canari-plush-lv-3,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,1,0,1,,,8,,,,Requires Colorful Screws,pokedb
golisopite,legends-za,legends-za,story,,,Calming a Rogue Mega Golisopod in a 3-star unknown hyperspace distortion,0,0,1,,,,,,,,pokedb
golurkite,legends-za,legends-za,npc-defeat,,,Calming down Rogue Mega Golurk in a 3-star unknown hyperspace distortion,0,0,1,,,,,,,,pokedb
great-butter,legends-za,legends-za,story,,hyperspace-hunting-grounds,"Reward for defeating the Rogue Mega Staraptor during Hyperspace Mission 03: ""Hyperspace Lumiose Survey No. 2""",0,0,1,,,,,,,,pokedb
green-canari-plush-lv-1,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,0,0,1,1,,3,,,,Requires Colorful Screws,pokedb
green-canari-plush-lv-2,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,0,0,1,1,,5,,,,Requires Colorful Screws,pokedb
green-canari-plush-lv-3,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,0,0,1,1,,8,,,,Requires Colorful Screws,pokedb
greninjite,legends-za,legends-za,tournament,,,Ranked Battles,0,0,1,,,,,,Reach Rank K in Ranked Battles Season 1 (2025-10-16 to 2025-11-05) or Rank Y in Ranked Battles Season 2 (2025-11-06 to 2025-11-26) or Season 3 (2025-11-27 to 2025-12-18),,pokedb
hawluchanite,legends-za,legends-za,npc-defeat,,,"Rogue Mega Hawlucha (Main Mission 17: ""A Rogue Mega Hawlucha"")",0,0,1,,,,,,,,pokedb
heatranite,legends-za,legends-za,story,,,"Hyperspace Mission 09: ""Hyperspace Lumiose Survey No. 5""",0,0,1,,,,,,After defeating and catching the Rogue Mega Heatran,,pokedb
heracronite,legends-za,legends-za,exchange,,quasartico-inc-building,,0,0,1,,,240,,,,Requires Mega Shards,pokedb
hoennian-salt,legends-za,legends-za,npc-gift,,nouveau-cafe,"Grisham during Hyperspace Mission 12: ""The Greatest Gift""",0,0,1,,,,,,,,pokedb
houndoominite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
hyper-aspear-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-babiri-berry,legends-za,legends-za,overworld,,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-charti-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-cheri-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-chesto-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-chilan-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-chople-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-coba-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-colbur-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-grepa-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-haban-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-hondew-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-kasib-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-kebia-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-kelpsy-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-lum-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-occa-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-oran-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-passho-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-payapa-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-pecha-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-persim-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-pomeg-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-qualot-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-rawst-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-rindo-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-roseli-berry,legends-za,legends-za,overworld,,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-shuca-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-sitrus-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-tamato-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-tanga-berry,legends-za,legends-za,overworld,visible,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-wacan-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyper-yache-berry,legends-za,legends-za,overworld,recurring,hyperspace-lumiose,,1,0,1,,,,,,,,pokedb
hyperspace-butter,legends-za,legends-za,npc-defeat,,hyperspace-infernal-arena,"After defeating the Rogue Mega Heatran during Hyperspace Mission 09: ""Hyperspace Lumiose Survey No. 5""",0,0,1,,,,,,,,pokedb
kangaskhanite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
key-stone,legends-za,,npc-gift,,,Mega Ring: Jaune Sector 10 (from AZ before facing the Rogue Mega Absol),0,0,1,,,,,,,,bulbapedia
key-to-room-202,legends-za,legends-za,npc-gift,,hotel-z,"Received from AZ during Main Mission 2: ""Escape from the Battle Zone!""",0,0,1,,,,,,During Main Mission 2,,pokedb
lab-key-card-a,legends-za,legends-za,overworld,visible,lysandre-labs,,0,0,1,,,,,,,,pokedb
lab-key-card-b,legends-za,legends-za,story,,lysandre-labs,,0,0,1,,,,,,,,pokedb
lab-key-card-c,legends-za,legends-za,story,,lysandre-labs,,0,0,1,,,,,,,,pokedb
latiasite,mega-dimension,,overworld,visible,hyperspace-lumiose,Hyperspace Lumiose,0,0,1,,,,,,"after defeating Brother and Sister during Side Mission 189: ""Siblings of the Sky""",,bulbapedia
latiosite,mega-dimension,,overworld,visible,hyperspace-lumiose,Hyperspace Lumiose,0,0,1,,,,,,"after defeating Brother and Sister during Side Mission 189: ""Siblings of the Sky""",,bulbapedia
lidas-things,legends-za,legends-za,npc-gift,,hotel-z,Obtained from AZ,0,0,1,,,,,,,,pokedb
lopunnite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
lucarionite,legends-za,,overworld,visible,,Quasartico Inc. (240 Mega Shards),0,0,1,,,,,,,,bulbapedia
lucarionite-z,legends-za,legends-za,request,,,"Side Mission 197: ""Ultra-Hardcore Lucario Showdown""",0,0,1,,,,,,Upon completing Side Mission 197,,pokedb
lumiosian-butter,legends-za,legends-za,request,,magenta-sector-6,"Baker's stall during Side Mission 120: ""Donuts of Unworldly Deliciousness!""",0,0,1,,,,,,,,pokedb
magearnite,legends-za,legends-za,request,,,Side Mission 195: Restarting Magearna,0,0,1,,,,,,,,pokedb
malamarite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 35: ""Reaching Rank A""",Exchanged for 240 Mega Shards,pokedb
malicious-armor,mega-dimension,,request,,,"Given by Adver in Side Mission 132: ""Bitter Blue Flames vs. Blazing Crimson""",0,0,1,,,,,,if chosen over Auspicious Armor,,bulbapedia
manectite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
mawilite,legends-za,,request,,magenta-sector-6,"Magenta Sector 6 (after defeating the Rogue Mega Mawile during Main Mission 21: ""A Rogue Mega Mawile""",0,0,1,,,,,,,,bulbapedia
medichamite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
mega-ring,legends-za,,npc-gift,,jaune-sector-10,Jaune Sector 10 (from AZ before facing the Rogue Mega-Evolved Absol),0,0,1,,,,,,,,bulbapedia
mega-shard,legends-za,legends-za,overworld,recurring,,Destroying Mega Crystals using damaging moves,1,0,1,,,,,,,,pokedb
meganiumite,legends-za,legends-za,npc-gift,,,AZ,0,0,1,,,,,,"During Main Mission 10: ""The Secrets of Mega Evolution"" if the player's first partner Pokémon was Chikorita",,pokedb
meganiumite,legends-za,legends-za,shop,specialty-shop,,Stone Emporium,1,0,1,,,,,,"After completing Main Mission 37: ""Operation Protect Lumiose"" if the player's first partner Pokémon was not Chikorita",,pokedb
meowsticite,legends-za,legends-za,story,,,"Obtained upon defeating and catching the Rogue Mega Meowstic in Hyperspace Mission 08: ""Hyperspace Lumiose Survey No. 4""",0,0,1,,,,,,,,pokedb
metagrossite,legends-za,,request,,,"Quasartico Inc. (360 Mega Shards, after completing Main Mission 30: ""Reaching Rank B"")",0,0,1,,,,,,,,bulbapedia
mewtwonite-y,legends-za,,event,,,Event,0,0,1,,,,,,,,bulbapedia
nice-butter,legends-za,legends-za,story,,hyperspace-disaster-arena,"After defeating Rogue Mega Absol Z during Hyperspace Mission 01: ""Hyperspace Lumiose Survey No. 1""",0,0,1,,,,,,,,pokedb
pebble,legends-za,legends-za,npc-gift,,,Given by 10% Forme Zygarde,0,0,1,1,,,,,At the end of Main Mission 10: The Secrets of Mega Evolution,,pokedb
pidgeotite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
pink-canari-plush-lv-1,legends-za,legends-za,exchange,vendor,,Colorful Screw Exchange at Racine Construction,1,0,1,,,3,,,,Costs Colorful Screws,pokedb
pink-canari-plush-lv-2,legends-za,legends-za,exchange,vendor,,Colorful Screw Exchange at Racine Construction,1,0,1,,,5,,,,Costs Colorful Screws,pokedb
pink-canari-plush-lv-3,legends-za,legends-za,exchange,vendor,,Colorful Screw Exchange at Racine Construction,1,0,1,,,8,,,,Costs Colorful Screws,pokedb
pinsirite,legends-za,,request,,,"Quasartico Inc. (240 Mega Shards, after completing Main Mission 14: ""Reaching Rank E"")",0,0,1,,,,,,,,bulbapedia
popping-candy,legends-za,legends-za,exchange,,vert-sector-3,Given to a boy in exchange for a Canari Bread,0,0,1,,,,,,,,pokedb
pyroarite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,1,0,1,,,240,,,"After completing Main Mission 35: ""Reaching Rank A""",Requires Mega Shards,pokedb
raichunite-x,legends-za,legends-za,story,,,"Side Mission 139: ""The Dauntless Raichu Duo""",0,0,1,,,,,,Upon completing Side Mission 139,,pokedb
raichunite-y,legends-za,legends-za,story,,,"Side Mission 139: ""The Dauntless Raichu Duo""",0,0,1,,,,,,Complete Side Mission 139,,pokedb
red-canari-plush-lv-1,legends-za,legends-za,story,,hotel-z,"Main Mission 5: The City in the Shadow of Prism Tower, from Tarragon",0,0,1,,,,,,,,pokedb
red-canari-plush-lv-2,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,1,0,1,,,5,,,,Requires Colorful Screws,pokedb
red-canari-plush-lv-3,legends-za,legends-za,exchange,,racine-construction,Colorful Screw Exchange,1,0,1,,,8,,,,Requires Colorful Screws,pokedb
revitalizing-twig,legends-za,legends-za,story,,wild-zone-5,"Side Mission 008: Get Well, Fennekin",0,0,1,,,,,,,,pokedb
rotom-catalog,legends-za,legends-za,request,,,"Side Mission 170: ""Rotom Showcase!""",0,0,1,,,,,,,Given by Lyons,pokedb
sablenite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
sachet,legends-za,,request,,,"Reward for completing Side Mission 10: ""Skiddo's Fragrant Leaves""",0,0,1,,,,,,,,bulbapedia
sachet,legends-za,,tournament,,,Infinite Z-A Royale,1,0,1,,,,,,,,bulbapedia
salamencite,legends-za,,request,,,"Quasartico Inc. (360 Mega Shards, after completing Main Mission 30: ""Reaching Rank B"")",0,0,1,,,,,,,,bulbapedia
sceptilite,legends-za,,tournament,,,"Reach Rank S in Ranked Battles Season 5 (January 8 - 28, 2026)",0,0,1,,,,,,,,bulbapedia
sceptilite,legends-za,,tournament,,,"Reach Rank U in Ranked Battles Season 6 or later (January 29, 2026 onwards)",0,0,1,,,,,,,,bulbapedia
scizorite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
scolipite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,1,0,1,,,240,,,"After completing Main Mission 24: ""Reaching Rank C""",Requires Mega Shards,pokedb
scovillainite,legends-za,legends-za,npc-defeat,,,Calming down Rogue Mega Scovillain in a 2-star unknown hyperspace distortion,0,0,1,,,,,,,,pokedb
scraftinite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 30: ""Reaching Rank B""",Requires Mega Shards,pokedb
seed-of-mastery,legends-za,legends-za,request,,vert-sector-8,Reward for completing Side Mission 074: Delibird Gets in a Flap,0,0,1,5,,,,,,,pokedb
seed-of-mastery,legends-za,legends-za,dropped,,,Dropped by wild alpha Pokémon,1,0,0,1,,,,,,,pokedb
sharpedonite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
shiny-charm,legends-za,,npc-gift,,,Reward for maxing out research level,0,0,1,,,,,,,,bulbapedia
shock-drive,mega-dimension,,request,,vert-sector-7,"Vert Sector 7 (540 Mega Shards, after initiating Side Mission 191: Collecting Four Drives)",1,0,1,,,,,,,,bulbapedia
skarmorite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 24: ""Reaching Rank C""",Requires Mega Shards,pokedb
slowbronite,legends-za,,overworld,visible,,Aymlis Park,0,0,1,,,,,,"after defeating the Rogue Mega Slowbro during Main Mission 11: ""A Rogue Mega Slowbro""",,bulbapedia
staraptite,legends-za,legends-za,wild-pokemon,static,,"Hyperspace Mission 03: ""Hyperspace Lumiose Survey No. 2""",0,0,1,,,,,,Obtained upon defeating and catching the Rogue Mega Staraptor,,pokedb
starminite,legends-za,legends-za,npc-defeat,,,"Rogue Mega Starmie (Main Mission 34: ""A Rogue Mega Starmie"")",0,0,1,,,,,,,,pokedb
steelixite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
super-lumiose-galette,legends-za,legends-za,story,,cafe-gallant,"Obtained during Main Mission 14: ""Reaching Rank E"" as part of the Canari Quiz Whiz Contest",0,0,1,,,,,,,,pokedb
supreme-butter,legends-za,legends-za,story,,hyperspace-second-sight-arena,"After defeating the Rogue Mega Meowstic during Hyperspace Mission 08: ""Hyperspace Lumiose Survey No. 4""",0,0,1,,,,,,,,pokedb
swampertite,legends-za,,tournament,,,"Reach Rank S in Ranked Battles Season 6 (January 29 - February 19, 2026)",0,0,1,,,,,,,,bulbapedia
swampertite,legends-za,,tournament,,,"Reach Rank T in Ranked Battles Season 7 or later (February 19, 2026 onwards)",0,0,1,,,,,,,,bulbapedia
