identifier,id,type,generation,own_entry,name_en,name_ja,name_ja_roma,name_fr,name_de,name_es,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_da,name_fi,name_nl,name_no,name_pl,name_pt,name_ru,name_ru_latn,name_sv,name_th,name_vi
encore,42,volatile,2,false,Encore,,,,,,,,,,,,,,,,,,,,,,,
rampage,43,volatile,1,false,Rampage,,,,,,,,,,,,,,,,,,,,,,,
fixated,44,volatile,8,false,Fixated,,,,,,,,,,,,,,,,,,,,,,,
recharging,45,volatile,1,false,Recharging,,,,,,,,,,,,,,,,,,,,,,,
charging-up,46,volatile,1,false,Charging-Up,,,,,,,,,,,,,,,,,,,,,,,
semi-invulnerable,47,volatile,1,false,Semi-Invulnerable,,,,,,,,,,,,,,,,,,,,,,,
flinch,48,transient,1,false,Flinch,,,,,,,,,,,,,,,,,,,,,,,
magic-coat,49,transient,3,false,Magic Coat,,,,,,,,,,,,,,,,,,,,,,,
bracing,50,transient,2,false,Bracing,,,,,,,,,,,,,,,,,,,,,,,
center-of-attention,51,transient,3,false,Center Of Attention,,,,,,,,,,,,,,,,,,,,,,,
