location,generation,game_index
johto-sea-route-40,4,188
johto-sea-route-41,2,32
johto-sea-route-41,4,189
johto-route-42,2,34
johto-route-42,4,190
johto-route-43,2,37
johto-route-43,4,191
johto-route-44,2,39
johto-route-44,4,192
johto-route-45,2,43
johto-route-45,4,193
johto-route-46,2,45
johto-route-46,4,194
johto-route-47,4,195
johto-route-48,4,196
kanto-route-5,1,16
kanto-route-5,2,58
kanto-route-5,3,105
kanto-route-5,4,153
kanto-route-6,1,17
kanto-route-6,2,60
kanto-route-6,3,106
kanto-route-6,4,154
kanto-route-7,1,18
kanto-route-7,2,63
kanto-route-7,3,107
kanto-route-7,4,155
kanto-route-8,1,19
kanto-route-8,2,64
kanto-route-8,3,108
kanto-route-8,4,156
kanto-route-9,1,20
kanto-route-9,2,65
kanto-route-9,3,109
kanto-route-9,4,157
ruins-of-alph,2,9
ruins-of-alph,4,209
seafoam-islands,1,45
seafoam-islands,2,84
seafoam-islands,3,139
seafoam-islands,4,203
slowpoke-well,2,13
slowpoke-well,4,211
sprout-tower,2,7
sprout-tower,4,204
bell-tower,2,23
bell-tower,4,205
tohjo-falls,2,93
tohjo-falls,4,223
union-cave,2,10
union-cave,4,210
cerulean-cave,1,52
cerulean-cave,3,141
cerulean-cave,4,199
vermilion-city,1,6
vermilion-city,2,61
vermilion-city,3,93
vermilion-city,4,143
kanto-victory-road-1,1,46
kanto-victory-road-1,2,88
kanto-victory-road-1,3,132
kanto-victory-road-1,4,221
violet-city,2,6
violet-city,4,128
viridian-city,1,2
viridian-city,2,49
viridian-city,3,89
viridian-city,4,139
viridian-forest,1,37
viridian-forest,3,126
viridian-forest,4,224
whirl-islands,2,31
whirl-islands,4,218
kanto-route-23,1,34
kanto-route-23,2,88
kanto-route-23,3,123
kanto-route-23,4,171
kanto-power-plant,1,53
kanto-power-plant,2,68
kanto-power-plant,3,142
kanto-power-plant,4,201
kanto-victory-road-2,1,46
kanto-victory-road-2,2,88
kanto-victory-road-2,3,132
kanto-victory-road-2,4,221
pokemon-tower,1,44
pokemon-tower,3,140
pokemon-mansion,1,50
pokemon-mansion,3,135
pokemon-mansion,4,106
kanto-safari-zone,1,51
kanto-safari-zone,3,136
kanto-safari-zone,4,202
sandgem-town,4,2
floaroma-town,4,3
solaceon-town,4,4
jubilife-city,4,6
oreburgh-city,4,8
hearthome-city,4,10
veilstone-city,4,12
snowpoint-city,4,14
spear-pillar,4,51
pal-park,4,55
amity-square,4,56
floaroma-meadow,4,58
fullmoon-island,4,60
sendoff-spring,4,61
flower-paradise,4,63
maniac-tunnel,4,67
galactic-hq,4,71
verity-lakefront,4,72
newmoon-island,4,79
sinnoh-battle-tower,4,80
fight-area,4,81
survival-area,4,82
seabreak-path,4,85
sinnoh-hall-of-origin-1,4,86
sinnoh-hall-of-origin-2,4,86
verity-cavern,4,87
valor-cavern,4,88
acuity-cavern,4,89
jubilife-tv,4,90
poketch-co,4,91
gts,4,92
trainers-school,4,93
trainers-school,7,231
mining-museum,4,94
sinnoh-flower-shop,4,95
sinnoh-cycle-shop,4,96
contest-hall,4,97
poffin-house,4,98
sinnoh-foreign-building,4,99
pokemon-day-care,4,100
veilstone-store,4,101
sinnoh-game-corner,4,102
canalave-library,4,103
vista-lighthouse,4,104
sunyshore-market,4,105
footstep-house,4,107
sinnoh-cafe,4,108
grand-lake,4,109
sinnoh-restaurant,4,110
battle-park,4,111
battle-frontier,4,112
battle-factory,4,113
battle-castle,4,114
battle-arcade,4,115
battle-hall,4,116
distortion-world,4,117
sinnoh-global-terminal,4,118
sinnoh-villa,4,119
battleground,4,120
rotoms-room,4,121
tg-eterna-bldg,4,122
iron-ruins,4,123
iron-ruins,8,240
iceberg-ruins,4,124
iceberg-ruins,8,238
rock-peak-ruins,4,125
rock-peak-ruins,8,236
azalea-town,2,12
azalea-town,4,129
goldenrod-city,2,16
goldenrod-city,4,131
mahogany-town,2,36
mahogany-town,4,134
pewter-city,1,3
pewter-city,2,51
pewter-city,3,90
pewter-city,4,140
lavender-town,1,5
lavender-town,2,69
lavender-town,3,92
lavender-town,4,142
indigo-plateau,1,10
indigo-plateau,2,90
indigo-plateau,3,97
indigo-plateau,4,147
saffron-city,1,11
saffron-city,2,72
saffron-city,3,98
saffron-city,4,148
johto-lighthouse,2,28
johto-lighthouse,4,212
team-rocket-hq,1,48
team-rocket-hq,3,133
team-rocket-hq,4,213
goldenrod-tunnel,4,215
mt-silver-cave,2,46
mt-silver-cave,4,219
pokeathlon-dome,4,225
ss-aqua,2,95
ss-aqua,4,226
safari-zone-gate,4,227
cliff-cave,4,228
frontier-access,4,229
bellchime-trail,4,230
sinjoh-ruins,4,231
embedded-tower,4,232
pokewalker,4,233
cliff-edge-gate,4,234
radio-tower,2,17
radio-tower,4,208
day-care-couple,4,2000
day-care-couple,5,60002
day-care-couple,6,60002
link-trade-arrive,4,2001
link-trade-arrive,5,30002
link-trade-arrive,6,30001
link-trade-arrive,7,30001
link-trade-arrive,8,30001
link-trade-arrive,9,30001
link-trade-met,4,2002
link-trade-met,5,30003
link-trade-met,6,30002
link-trade-met,7,30002
link-trade-met,8,30002
link-trade-met,9,30002
kanto,4,2003
kanto,5,30004
kanto,6,30003
kanto,7,30003
kanto,8,30003
kanto,9,30003
johto,4,2004
johto,5,30005
johto,6,30004
johto,7,30004
johto,8,30004
johto,9,30004
hoenn,4,2005
hoenn,5,30006
hoenn,6,30005
hoenn,7,30005
hoenn,8,30005
hoenn,9,30005
sinnoh,4,2006
sinnoh,5,30007
sinnoh,6,30006
sinnoh,7,30006
sinnoh,8,30006
sinnoh,9,30006
distant-land,4,2008
distant-land,5,30007
distant-land,6,30007
distant-land,7,30007
distant-land,8,30007
distant-land,9,30007
traveling-man,4,2009
riley,4,2010
cynthia,4,2011
mystery-zone,4,2012
mystery-zone,6,2
mystery-zone,7,2
mystery-zone,8,2
mystery-zone,9,2
lovely-place,4,3000
lovely-place,5,40001
lovely-place,6,40001
lovely-place,7,40001
lovely-place,8,40001
lovely-place,9,40001
pokemon-ranger,4,3001
pokemon-ranger,5,40070
faraway-place,4,3002
faraway-place,5,2
faraway-place,6,4
faraway-place,7,4
faraway-place,8,4
faraway-place,9,4
pokemon-movie,4,3003
pokemon-movie,5,40003
pokemon-movie,6,40003
pokemon-movie,7,40003
pokemon-movie,8,40003
pokemon-movie,9,40003
pokemon-movie-06,4,3004
pokemon-movie-07,4,3005
pokemon-movie-08,4,3006
pokemon-movie-09,4,3007
pokemon-movie-10,4,3008
pokemon-movie-10,5,40004
pokemon-movie-11,4,3009
pokemon-movie-11,5,40005
pokemon-movie-12,4,3010
pokemon-movie-12,5,40006
pokemon-movie-13,4,3011
pokemon-movie-13,5,40007
pokemon-movie-13,6,40004
pokemon-movie-14,4,3012
pokemon-movie-14,5,40008
pokemon-movie-14,6,40005
pokemon-movie-15,4,3013
pokemon-movie-15,5,40009
pokemon-movie-15,6,40006
pokemon-movie-16,4,3014
pokemon-movie-16,5,40010
pokemon-movie-16,6,40007
pokemon-cartoon,4,3015
pokemon-cartoon,5,40016
pokemon-cartoon,6,40011
space-world,4,3016
space-world-06,4,3017
space-world-07,4,3018
space-world-08,4,3019
space-world-09,4,3020
space-world-10,4,3021
space-world-11,4,3022
space-world-12,4,3023
space-world-13,4,3024
space-world-14,4,3025
space-world-15,4,3026
space-world-16,4,3027
pokemon-festa,4,3028
pokemon-festa,5,40085
pokemon-festa,6,40056
pokemon-festa-06,4,3029
pokemon-festa-07,4,3030
pokemon-festa-08,4,3031
pokemon-festa-09,4,3032
pokemon-festa-10,4,3033
pokemon-festa-10,5,40086
pokemon-festa-11,4,3034
pokemon-festa-11,5,40087
pokemon-festa-12,4,3035
pokemon-festa-12,5,40088
pokemon-festa-13,4,3036
pokemon-festa-13,5,40089
pokemon-festa-13,6,40057
pokemon-festa-14,4,3037
pokemon-festa-14,5,40090
pokemon-festa-14,6,40058
pokemon-festa-15,4,3038
pokemon-festa-15,5,40091
pokemon-festa-15,6,40059
pokemon-festa-16,4,3039
pokemon-festa-16,5,40092
pokemon-festa-16,6,40060
pokepark,4,3040
pokepark,5,40097
pokepark,6,40063
pokepark,7,40066
pokepark,8,40061
pokepark,9,40055
pokepark-06,4,3041
pokepark-07,4,3042
pokepark-08,4,3043
pokepark-09,4,3044
pokepark-10,4,3045
pokepark-10,5,40098
pokepark-11,4,3046
pokepark-11,5,40099
pokepark-12,4,3047
pokepark-12,5,40100
pokepark-13,4,3048
pokepark-13,5,40101
pokepark-14,4,3049
pokepark-14,5,40102
pokepark-15,4,3050
pokepark-15,5,40103
pokepark-16,4,3051
pokepark-16,5,40104
pokemon-center,4,3052
pokemon-center,5,40015
pokemon-center,6,40010
pokemon-center,7,40010
pokemon-center,8,40012
pokemon-center,9,40011
pc-tokyo,4,3053
pc-tokyo,5,40017
pc-tokyo,6,40012
pc-tokyo,7,40012
pc-osaka,4,3054
pc-osaka,5,40018
pc-osaka,6,40013
pc-osaka,7,40013
pc-fukuoka,4,3055
pc-fukuoka,5,40019
pc-fukuoka,6,40014
pc-fukuoka,7,40014
pc-nagoya,4,3056
pc-nagoya,5,40020
pc-nagoya,6,40015
pc-nagoya,7,40015
pc-sapporo,4,3057
pc-sapporo,5,40021
pc-sapporo,6,40016
pc-sapporo,7,40016
pc-yokohama,4,3058
pc-yokohama,5,40022
pc-yokohama,6,40017
pc-yokohama,7,40017
nintendo-world,4,3059
pokemon-event,4,3060
pokemon-event,5,40059
pokemon-event,6,40042
pokemon-event,7,40045
pokemon-event,8,40038
pokemon-event,9,40048
pokemon-event-06,4,3061
pokemon-event-07,4,3062
pokemon-event-08,4,3063
pokemon-event-09,4,3064
pokemon-event-10,4,3065
pokemon-event-10,5,40074
pokemon-event-11,4,3066
pokemon-event-11,5,40075
pokemon-event-12,4,3067
pokemon-event-12,5,40076
pokemon-event-13,4,3068
pokemon-event-13,5,40077
pokemon-event-13,6,40050
pokemon-event-14,4,3069
pokemon-event-14,5,40078
pokemon-event-14,6,40051
pokemon-event-15,4,3070
pokemon-event-15,5,40079
pokemon-event-15,6,40052
pokemon-event-16,4,3071
pokemon-event-16,5,40080
pokemon-event-16,6,40053
wi-fi-event,4,3072
wi-fi-gift,4,3073
wi-fi-gift,5,40069
pokemon-fan-club,4,3074
pokemon-fan-club,5,40062
pokemon-fan-club,6,40045
event-site,4,3075
event-site,5,40109
event-site,6,40070
event-site,7,40073
event-site,8,40069
event-site,9,40062
concert-event,4,3076
concert-event,5,40068
concert-event,6,40047
concert-event,7,40050
concert-event,8,40043
mr-pokemon,4,2013
primo,4,2014
unova-mystery-zone,5,1
unova-faraway-place,5,2
nuvema-town,5,4
nuvema-town,5,81
accumula-town,5,5
striaton-city,5,6
nacrene-city,5,7
castelia-city,5,8
nimbasa-city,5,9
nimbasa-city,5,76
driftveil-city,5,10
driftveil-city,5,77
mistralton-city,5,11
mistralton-city,5,78
icirrus-city,5,12
icirrus-city,5,79
opelucid-city,5,13
opelucid-city,5,80
unova-route-1,5,14
unova-route-2,5,15
unova-route-3,5,16
unova-route-4,5,17
unova-route-5,5,18
unova-route-5,5,93
unova-route-6,5,19
unova-route-6,5,94
unova-route-7,5,20
unova-route-7,5,95
unova-route-8,5,21
unova-route-8,5,96
unova-route-9,5,22
unova-route-9,5,97
unova-route-10,5,23
unova-route-11,5,24
unova-route-11,5,98
unova-route-12,5,25
unova-route-12,5,99
unova-route-13,5,26
unova-route-13,5,100
unova-route-14,5,27
unova-route-14,5,101
unova-route-15,5,28
unova-route-15,5,102
unova-route-16,5,29
unova-route-16,5,103
unova-route-17,5,30
unova-route-18,5,31
dreamyard,5,32
pinwheel-forest,5,33
desert-resort,5,34
relic-castle,5,35
cold-storage,5,36
cold-storage,5,84
chargestone-cave,5,37
chargestone-cave,5,85
twist-mountain,5,38
twist-mountain,5,86
dragonspiral-tower,5,39
dragonspiral-tower,5,87
unova-victory-road,5,40
lacunosa-town,5,41
lacunosa-town,5,104
undella-town,5,42
undella-town,5,105
anville-town,5,43
unova-pokemon-league,5,44
ns-castle,5,45
royal-unova,5,46
gear-station,5,47
battle-subway,5,48
musical-theater,5,49
black-city,5,50
black-city,5,83
white-forest,5,51
white-forest,5,82
unity-tower,5,52
wellspring-cave,5,53
mistralton-cave,5,54
rumination-field,5,55
celestial-tower,5,56
moor-of-icirrus,5,57
unova-shopping-mall,5,58
challengers-cave,5,59
poke-transfer-lab,5,60
giant-chasm,5,61
giant-chasm,5,88
liberty-garden,5,62
p2-laboratory,5,63
skyarrow-bridge,5,64
driftveil-drawbridge,5,65
driftveil-drawbridge,5,89
tubeline-bridge,5,66
tubeline-bridge,5,90
village-bridge,5,67
village-bridge,5,91
marvelous-bridge,5,68
marvelous-bridge,5,92
entralink,5,69
abundant-shrine,5,70
undella-bay,5,71
lostlorn-forest,5,72
trial-chamber,5,73
guidance-chamber,5,74
entree-forest,5,75
accumula-gate,5,106
undella-gate,5,107
nacrene-gate,5,108
castelia-gate,5,109
nimbasa-gate,5,110
opelucid-gate,5,111
black-gate,5,112
white-gate,5,113
bridge-gate,5,114
route-gate,5,115
abyssal-ruins,5,116
petalburg-city,3,7
petalburg-city,6,184
slateport-city,3,8
slateport-city,6,186
lilycove-city,3,12
lilycove-city,6,194
mossdeep-city,3,13
mossdeep-city,6,196
sootopolis-city,3,14
sootopolis-city,6,198
ever-grande-city,3,15
ever-grande-city,6,200
meteor-falls,3,63
meteor-falls,6,272
rusturf-tunnel,3,60
rusturf-tunnel,6,274
granite-cave,3,55
granite-cave,6,280
petalburg-woods,3,59
petalburg-woods,6,282
jagged-pass,3,76
jagged-pass,6,286
fiery-path,3,74
fiery-path,6,288
mt-pyre,3,65
mt-pyre,6,290
seafloor-cavern,3,68
seafloor-cavern,6,294
cave-of-origin,3,72
cave-of-origin,6,296
hoenn-victory-road,3,70
hoenn-victory-road,6,298
shoal-cave,3,67
shoal-cave,6,300
new-mauville,3,62
new-mauville,6,302
abandoned-ship,3,61
sky-pillar,3,85
sky-pillar,6,316
hoenn-route-101,3,16
hoenn-route-101,6,204
hoenn-route-102,3,17
hoenn-route-102,6,206
hoenn-route-103,3,18
hoenn-route-103,6,208
hoenn-route-104,3,19
hoenn-route-104,6,210
hoenn-route-105,3,20
hoenn-route-105,6,212
hoenn-route-106,3,21
hoenn-route-106,6,214
hoenn-route-107,3,22
hoenn-route-107,6,216
hoenn-route-108,3,23
hoenn-route-108,6,218
hoenn-route-109,3,24
hoenn-route-109,6,220
hoenn-route-110,3,25
hoenn-route-110,6,222
hoenn-route-111,3,26
hoenn-route-111,6,224
hoenn-route-112,3,27
hoenn-route-112,6,226
hoenn-route-113,3,28
hoenn-route-113,6,228
hoenn-route-114,3,29
hoenn-route-114,6,230
hoenn-route-115,3,30
hoenn-route-115,6,232
hoenn-route-116,3,31
hoenn-route-116,6,234
hoenn-route-117,3,32
hoenn-route-117,6,236
hoenn-route-118,3,33
hoenn-route-118,6,238
hoenn-route-119,3,34
hoenn-route-119,6,240
hoenn-route-120,3,35
hoenn-route-120,6,242
hoenn-route-121,3,36
hoenn-route-121,6,244
hoenn-route-122,3,37
hoenn-route-122,6,246
hoenn-route-123,3,38
hoenn-route-123,6,248
hoenn-route-124,3,39
hoenn-route-124,6,250
hoenn-route-125,3,40
hoenn-route-125,6,252
hoenn-route-126,3,41
hoenn-route-126,6,254
hoenn-route-127,3,42
hoenn-route-127,6,256
hoenn-route-128,3,43
hoenn-route-128,6,258
hoenn-route-129,3,44
hoenn-route-129,6,260
hoenn-route-130,3,45
hoenn-route-130,6,262
hoenn-route-131,3,46
hoenn-route-131,6,264
hoenn-route-132,3,47
hoenn-route-132,6,266
hoenn-route-133,3,48
hoenn-route-133,6,268
hoenn-route-134,3,49
hoenn-route-134,6,270
hoenn-safari-zone,3,57
hoenn-safari-zone,6,324
dewford-town,3,2
dewford-town,6,174
pacifidlog-town,3,6
pacifidlog-town,6,182
magma-hideout,3,198
mirage-tower,3,199
desert-underpass,3,209
artisan-cave,3,202
hoenn-altering-cave,3,210
monean-chamber,3,188
liptoo-chamber,3,189
weepth-chamber,3,190
dilford-chamber,3,191
scufib-chamber,3,192
rixy-chamber,3,193
viapos-chamber,3,194
ss-anne,1,41
ss-anne,3,128
mt-ember,3,175
berry-forest,3,176
icefall-cave,3,177
pattern-bush,3,182
lost-cave,3,181
kindle-road,3,150
treasure-beach,3,151
cape-brink,3,152
bond-bridge,3,153
three-isle-port,3,154
resort-gorgeous,3,159
water-labyrinth,3,160
five-isle-meadow,3,161
memorial-pillar,3,162
outcast-island,3,163
green-path,3,164
water-path,3,165
ruin-valley,3,166
trainer-tower,3,179
canyon-entrance,3,168
sevault-canyon,3,169
tanoby-ruins,3,170
one-island,3,143
four-island,3,146
five-island,3,147
kanto-altering-cave,3,183
aspertia-city,5,117
virbank-city,5,118
humilau-city,5,119
pokestar-studios,5,120
join-avenue,5,121
floccesy-town,5,122
lentimas-town,5,123
unova-route-19,5,124
unova-route-20,5,125
unova-route-21,5,126
unova-route-22,5,127
unova-route-23,5,128
castelia-sewers,5,129
floccesy-ranch,5,130
virbank-complex,5,131
reversal-mountain,5,132
strange-house,5,133
unova-victory-road-2,5,134
plasma-frigate,5,135
relic-passage,5,136
clay-tunnel,5,137
white-treehollow,5,139
black-tower,5,140
seaside-cave,5,141
cave-of-being,5,142
hidden-grotto,5,143
marine-tube,5,144
virbank-gate,5,145
aspertia-gate,5,146
nature-sanctuary,5,147
medal-secretariat,5,148
underground-ruins,5,149
rocky-mountain-room,5,150
glacier-room,5,151
iron-room,5,152
pledge-grove,5,153
littleroot-town,3,0
littleroot-town,6,170
oldale-town,3,1
oldale-town,6,172
lavaridge-town,3,3
lavaridge-town,6,176
fallarbor-town,3,4
fallarbor-town,6,178
verdanturf-town,3,5
verdanturf-town,6,180
mauville-city,3,9
mauville-city,6,188
rustboro-city,3,10
rustboro-city,6,190
fortree-city,3,11
fortree-city,6,192
mt-chimney,3,56
mt-chimney,6,284
mirage-spot-island,6,330
southern-island,3,73
southern-island,6,320
sealed-chamber,3,78
sealed-chamber,6,310
scorched-slab,3,80
scorched-slab,6,312
island-cave,3,81
island-cave,6,306
desert-ruins,3,82
desert-ruins,6,278
ancient-tomb,3,83
ancient-tomb,6,308
inside-of-truck,3,84
inside-of-truck,6,276
secret-base,3,86
secret-base,6,354
hoenn-battle-tower,3,58
vaniville-town,6,6
kalos-route-1,6,8
vaniville-pathway,6,9
aquacorde-town,6,10
kalos-route-2,6,12
avance-trail,6,13
santalune-forest,6,14
kalos-route-3,6,16
ouvert-way,6,17
santalune-city,6,18
kalos-route-4,6,20
parterre-way,6,21
lumiose-city,6,22
prism-tower,6,24
lysandre-labs,6,26
kalos-route-5,6,28
versant-road,6,29
camphrier-town,6,30
shabboneau-castle,6,32
kalos-route-6,6,34
palais-lane,6,35
parfum-palace,6,36
kalos-route-7,6,38
riviere-walk,6,39
cyllage-city,6,40
kalos-route-8,6,42
muraille-coast,6,43
ambrette-town,6,44
kalos-route-9,6,46
spikes-passage,6,47
battle-chateau,6,48
kalos-route-10,6,50
menhir-trail,6,51
geosenge-town,6,52
kalos-route-11,6,54
miroir-way,6,55
reflection-cave,6,56
shalour-city,6,58
tower-of-mastery,6,60
kalos-route-12,6,62
fourrage-road,6,63
coumarine-city,6,64
kalos-route-13,6,66
lumiose-badlands,6,67
kalos-route-14,6,68
laverre-nature-trail,6,69
laverre-city,6,70
poke-ball-factory,6,72
kalos-route-15,6,74
brun-way,6,75
dendemille-town,6,76
kalos-route-16,6,78
melancolie-path,6,79
frost-cavern,6,82
kalos-route-17,6,84
mamoswine-road,6,85
anistar-city,6,86
kalos-route-18,6,88
vallee-etroite-way,6,89
couriway-town,6,90
kalos-route-19,6,92
grande-vallee-way,6,93
snowbelle-city,6,94
kalos-route-20,6,96
winding-woods,6,97
pokemon-village,6,98
kalos-route-21,6,100
derniere-way,6,101
kalos-route-22,6,102
detourner-way,6,103
kalos-victory-road,6,104
kalos-pokemon-league,6,106
kiloude-city,6,108
battle-maison,6,110
azure-bay,6,112
dendemille-gate,6,114
couriway-gate,6,116
ambrette-gate,6,118
lumiose-gate,6,120
shalour-gate,6,122
coumarine-gate,6,124
laverre-gate,6,126
anistar-gate,6,128
snowbelle-gate,6,130
glittering-cave,6,132
connecting-cave,6,134
zubat-roost,6,135
kalos-power-plant,6,136
team-flare-secret-hq,6,138
terminus-cave,6,140
lost-hotel,6,142
chamber-of-emptiness,6,144
sea-spirits-den,6,146
friend-safari,6,148
blazing-chamber,6,150
flood-chamber,6,152
ironworks-chamber,6,154
dragonmark-chamber,6,156
radiant-chamber,6,158
pokemon-league-gate,6,160
lumiose-station,6,162
kiloude-station,6,164
ambrette-aquarium,6,166
unknown-dungeon,6,168
hoenn-pokemon-league,6,202
team-aqua-hideout,3,66
team-aqua-hideout,6,292
sea-mauville,6,304
team-magma-hideout,3,66
team-magma-hideout,6,314
battle-resort,6,318
ss-tidal,3,87
ss-tidal,6,322
mirage-spot-forest,6,326
mirage-spot-cave,6,328
mirage-spot-mountain,6,332
trackless-forest,6,334
pathless-plain,6,336
nameless-cavern,6,338
fabled-cave,6,340
gnarled-den,6,342
crescent-isle,6,344
secret-islet,6,346
soaring-in-the-sky,6,348
secret-shore,6,350
secret-meadow,6,352
alola-route-1--hauoli-outskirts,7,7
alola-route-1,7,6
alola-route-3,7,10
alola-route-2,7,12
kalae-bay,7,14
melemele-sea,7,16
hauoli-city--beachfront,7,19
hauoli-city--shopping-district,7,21
hauoli-city--marina,7,23
iki-town,7,24
mahalo-trail,7,26
mahalo-trail--plank-bridge,7,29
ruins-of-conflict,7,30
ten-carat-hill,7,34
ten-carat-hill--farthest-hollow,7,37
hauoli-cemetery,7,38
melemele-meadow,7,40
seaward-cave,7,42
alola-berry-fields,7,44
verdant-cavern--trial-site,7,47
verdant-cavern--totems-den,7,49
alola-route-4,7,50
alola-route-5,7,52
alola-route-6,7,54
alola-route-7,7,56
alola-route-8,7,58
alola-route-9,7,60
hano-grand-resort,7,62
hano-grand-resort,7,102
hano-beach,7,64
akala-meadow,7,66
paniola-town,7,68
heahea-city,7,70
konikoni-city,7,72
royal-avenue,7,74
memorial-hill,7,76
paniola-ranch,7,78
wela-volcano-park,7,82
wela-volcano-park--totems-den,7,85
