species,genus_en,genus_ja,genus_ja_hrkt,genus_fr,genus_de,genus_es,genus_es_419,genus_it,genus_ko,genus_zh_hant,genus_zh_hans
59,Legendary Pokémon,でんせつポケモン,でんせつポケモン,Pokémon Légendaire,Legendär-Pokémon,Pokémon Leyenda,Pokémon Leyenda,Pokémon Leggenda,전설포켓몬,傳說寶可夢,传说宝可梦
60,Tadpole Pokémon,おたまポケモン,おたまポケモン,Pokémon Têtard,Kaulquappen-Pokémon,Pokémon Renacuajo,Pokémon Renacuajo,Pokémon Girino,올챙이포켓몬,蝌蚪寶可夢,蝌蚪宝可梦
61,Tadpole Pokémon,おたまポケモン,おたまポケモン,Pokémon Têtard,Kaulquappen-Pokémon,Pokémon Renacuajo,Pokémon Renacuajo,Pokémon Girino,올챙이포켓몬,蝌蚪寶可夢,蝌蚪宝可梦
62,Tadpole Pokémon,おたまポケモン,おたまポケモン,Pokémon Têtard,Kaulquappen-Pokémon,Pokémon Renacuajo,Pokémon Renacuajo,Pokémon Girino,올챙이포켓몬,蝌蚪寶可夢,蝌蚪宝可梦
63,Psi Pokémon,ねんりきポケモン,ねんりきポケモン,Pokémon Psy,Psi-Pokémon,Pokémon Psi,Pokémon Psi,Pokémon Psico,초능력포켓몬,念力寶可夢,念力宝可梦
64,Psi Pokémon,ねんりきポケモン,ねんりきポケモン,Pokémon Psy,Psi-Pokémon,Pokémon Psi,Pokémon Psi,Pokémon Psico,초능력포켓몬,念力寶可夢,念力宝可梦
65,Psi Pokémon,ねんりきポケモン,ねんりきポケモン,Pokémon Psy,Psi-Pokémon,Pokémon Psi,Pokémon Psi,Pokémon Psico,초능력포켓몬,念力寶可夢,念力宝可梦
66,Superpower Pokémon,かいりきポケモン,かいりきポケモン,Pokémon Colosse,Kraftprotz-Pokémon,Pokémon Superpoder,Pokémon Superpoder,Pokémon Megaforza,괴력포켓몬,怪力寶可夢,怪力宝可梦
67,Superpower Pokémon,かいりきポケモン,かいりきポケモン,Pokémon Colosse,Kraftprotz-Pokémon,Pokémon Superpoder,Pokémon Superpoder,Pokémon Megaforza,괴력포켓몬,怪力寶可夢,怪力宝可梦
68,Superpower Pokémon,かいりきポケモン,かいりきポケモン,Pokémon Colosse,Kraftprotz-Pokémon,Pokémon Superpoder,Pokémon Superpoder,Pokémon Megaforza,괴력포켓몬,怪力寶可夢,怪力宝可梦
69,Flower Pokémon,フラワーポケモン,フラワーポケモン,Pokémon Fleur,Blume,Pokémon Flor,Pokémon Flor,Pokémon Fiore,꽃포켓몬,花寶可夢,花宝可梦
70,Flycatcher Pokémon,ハエとりポケモン,ハエとりポケモン,Pokémon Carnivore,Fliegentod,Pokémon Matamoscas,Pokémon Matamoscas,Pokémon Moschivoro,파리잡이포켓몬,捕蠅寶可夢,捕蝇宝可梦
71,Flycatcher Pokémon,ハエとりポケモン,ハエとりポケモン,Pokémon Carnivore,Fliegentod,Pokémon Matamoscas,Pokémon Matamoscas,Pokémon Moschivoro,파리잡이포켓몬,捕蠅寶可夢,捕蝇宝可梦
72,Jellyfish Pokémon,くらげポケモン,くらげポケモン,Pokémon Mollusque,Quallen-Pokémon,Pokémon Medusa,Pokémon Medusa,Pokémon Medusa,해파리포켓몬,水母寶可夢,水母宝可梦
73,Jellyfish Pokémon,くらげポケモン,くらげポケモン,Pokémon Mollusque,Quallen-Pokémon,Pokémon Medusa,Pokémon Medusa,Pokémon Medusa,해파리포켓몬,水母寶可夢,水母宝可梦
74,Rock Pokémon,がんせきポケモン,がんせきポケモン,Pokémon Roche,Gestein,Pokémon Roca,Pokémon Roca,Pokémon Roccia,암석포켓몬,岩石寶可夢,岩石宝可梦
75,Rock Pokémon,がんせきポケモン,がんせきポケモン,Pokémon Roche,Gestein,Pokémon Roca,Pokémon Roca,Pokémon Roccia,암석포켓몬,岩石寶可夢,岩石宝可梦
76,Megaton Pokémon,メガトンポケモン,メガトンポケモン,Pokémon Titanesque,Urgestein,Pokémon Megatón,Pokémon Megatón,Pokémon Megatone,메가톤포켓몬,重量級寶可夢,重量级宝可梦
77,Fire Horse Pokémon,ひのうまポケモン,ひのうまポケモン,Pokémon Cheval Feu,Feuerpferd-Pokémon,Pokémon Caballo Fuego,Pokémon Caballo Fuego,Pokémon Cavalfuoco,불의말포켓몬,火馬寶可夢,火马宝可梦
78,Fire Horse Pokémon,ひのうまポケモン,ひのうまポケモン,Pokémon Cheval Feu,Feuerpferd-Pokémon,Pokémon Caballo Fuego,Pokémon Caballo Fuego,Pokémon Cavalfuoco,불의말포켓몬,火馬寶可夢,火马宝可梦
79,Dopey Pokémon,まぬけポケモン,まぬけポケモン,Pokémon Crétin,Schnarcher-Pokémon,Pokémon Atontado,Pokémon Atontado,Pokémon Ronfone,얼간이포켓몬,憨憨寶可夢,憨憨宝可梦
80,Hermit Crab Pokémon,やどかりポケモン,やどかりポケモン,Pokémon Symbiose,Symbiose-Pokémon,Pokémon Ermitaño,Pokémon Ermitaño,Pokémon Paguro,기생포켓몬,寄居蟹寶可夢,寄居蟹宝可梦
81,Magnet Pokémon,じしゃくポケモン,じしゃくポケモン,Pokémon Magnétique,Magnet-Pokémon,Pokémon Imán,Pokémon Imán,Pokémon Calamita,자석포켓몬,磁鐵寶可夢,磁铁宝可梦
82,Magnet Pokémon,じしゃくポケモン,じしゃくポケモン,Pokémon Magnétique,Magnet-Pokémon,Pokémon Imán,Pokémon Imán,Pokémon Calamita,자석포켓몬,磁鐵寶可夢,磁铁宝可梦
83,Wild Duck Pokémon,かるがもポケモン,かるがもポケモン,Pokémon Canard Fou,Wildenten-Pokémon,Pokémon Pato Salvaje,Pokémon Pato Salvaje,Pokémon Selvanatra,청둥오리포켓몬,黃嘴鴨寶可夢,黄嘴鸭宝可梦
84,Twin Bird Pokémon,ふたごどりポケモン,ふたごどりポケモン,Pokémon Duoiseau,Duovogel,Pokémon Ave Gemela,Pokémon Ave Gemela,Pokémon Biuccello,쌍둥이새포켓몬,兩頭鳥寶可夢,两头鸟宝可梦
85,Triple Bird Pokémon,みつごどりポケモン,みつごどりポケモン,Pokémon Trioiseau,Trivogel,Pokémon Ave Triple,Pokémon Ave Triple,Pokémon Triuccello,세쌍둥이새포켓몬,三頭鳥寶可夢,三头鸟宝可梦
86,Sea Lion Pokémon,あしかポケモン,あしかポケモン,Pokémon Otarie,Seehund,Pokémon León Marino,Pokémon León Marino,Pokémon Otaria,강치포켓몬,海獅寶可夢,海狮宝可梦
87,Sea Lion Pokémon,あしかポケモン,あしかポケモン,Pokémon Otarie,Seehund,Pokémon León Marino,Pokémon León Marino,Pokémon Otaria,강치포켓몬,海獅寶可夢,海狮宝可梦
88,Sludge Pokémon,ヘドロポケモン,ヘドロポケモン,Pokémon Dégueu,Schlamm,Pokémon Lodo,Pokémon Lodo,Pokémon Melma,진흙포켓몬,污泥寶可夢,污泥宝可梦
89,Sludge Pokémon,ヘドロポケモン,ヘドロポケモン,Pokémon Dégueu,Schlamm,Pokémon Lodo,Pokémon Lodo,Pokémon Melma,진흙포켓몬,污泥寶可夢,污泥宝可梦
90,Bivalve Pokémon,２まいがいポケモン,２まいがいポケモン,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo,Pokémon Bivalvo,Pokémon Bivalve,두조개포켓몬,雙殼貝寶可夢,双壳贝宝可梦
91,Bivalve Pokémon,２まいがいポケモン,２まいがいポケモン,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo,Pokémon Bivalvo,Pokémon Bivalve,두조개포켓몬,雙殼貝寶可夢,双壳贝宝可梦
92,Gas Pokémon,ガスじょうポケモン,ガスじょうポケモン,Pokémon Gaz,Gas-Pokémon,Pokémon Gas,Pokémon Gas,Pokémon Gas,가스포켓몬,氣體狀寶可夢,气体状宝可梦
93,Gas Pokémon,ガスじょうポケモン,ガスじょうポケモン,Pokémon Gaz,Gas-Pokémon,Pokémon Gas,Pokémon Gas,Pokémon Gas,가스포켓몬,氣體狀寶可夢,气体状宝可梦
94,Shadow Pokémon,シャドーポケモン,シャドーポケモン,Pokémon Ombre,Schatten-Pokémon,Pokémon Sombra,Pokémon Sombra,Pokémon Ombra,그림자포켓몬,影子寶可夢,影子宝可梦
95,Rock Snake Pokémon,いわへびポケモン,いわへびポケモン,Pokémon Serpenroc,Felsnatter-Pokémon,Pokémon Serpiente Roca,Pokémon Serpiente Roca,Pokémon Serpesasso,돌뱀포켓몬,岩蛇寶可夢,岩蛇宝可梦
96,Hypnosis Pokémon,さいみんポケモン,さいみんポケモン,Pokémon Hypnose,Hypnose,Pokémon Hipnosis,Pokémon Hipnosis,Pokémon Ipnosi,최면포켓몬,催眠寶可夢,催眠宝可梦
97,Hypnosis Pokémon,さいみんポケモン,さいみんポケモン,Pokémon Hypnose,Hypnose,Pokémon Hipnosis,Pokémon Hipnosis,Pokémon Ipnosi,최면포켓몬,催眠寶可夢,催眠宝可梦
98,River Crab Pokémon,さわがにポケモン,さわがにポケモン,Pokémon Doux Crabe,Krabben-Pokémon,Pokémon Cangrejo,Pokémon Cangrejo,Pokémon Granchio,게포켓몬,清水蟹寶可夢,清水蟹宝可梦
99,Pincer Pokémon,はさみポケモン,はさみポケモン,Pokémon Pince,Kneifer-Pokémon,Pokémon Tenaza,Pokémon Tenaza,Pokémon Chela,집게포켓몬,鉗子寶可夢,钳子宝可梦
100,Ball Pokémon,ボールポケモン,ボールポケモン,Pokémon Balle,Ball,Pokémon Bola,Pokémon Bola,Pokémon Ball,볼포켓몬,球寶可夢,球宝可梦
101,Ball Pokémon,ボールポケモン,ボールポケモン,Pokémon Balle,Ball,Pokémon Bola,Pokémon Bola,Pokémon Ball,볼포켓몬,球寶可夢,球宝可梦
102,Egg Pokémon,たまごポケモン,たまごポケモン,Pokémon Œuf,Ei-Pokémon,Pokémon Huevo,Pokémon Huevo,Pokémon Uovo,알포켓몬,蛋寶可夢,蛋宝可梦
103,Coconut Pokémon,やしのみポケモン,やしのみポケモン,Pokémon Fruitpalme,Palmfrucht-Pokémon,Pokémon Coco,Pokémon Coco,Pokémon Nocecocco,야자열매포켓몬,椰子寶可夢,椰子宝可梦
104,Lonely Pokémon,こどくポケモン,こどくポケモン,Pokémon Solitaire,Einsam-Pokémon,Pokémon Solitario,Pokémon Solitario,Pokémon Solitario,고독포켓몬,孤獨寶可夢,孤独宝可梦
105,Bone Keeper Pokémon,ほねずきポケモン,ほねずきポケモン,Pokémon Gard’Os,Knochenfan-Pokémon,Pokémon Apilahueso,Pokémon Apilahueso,Pokémon Guardaossi,뼈다귀포켓몬,愛骨寶可夢,爱骨宝可梦
106,Kicking Pokémon,キックポケモン,キックポケモン,Pokémon Latteur,Kicker-Pokémon,Pokémon Patada,Pokémon Patada,Pokémon Tiracalci,킥포켓몬,踢腿寶可夢,踢腿宝可梦
107,Punching Pokémon,パンチポケモン,パンチポケモン,Pokémon Puncheur,Puncher-Pokémon,Pokémon Puñetazo,Pokémon Puñetazo,Pokémon Tirapugni,펀치포켓몬,拳擊寶可夢,拳击宝可梦
108,Licking Pokémon,なめまわしポケモン,なめまわしポケモン,Pokémon Lécheur,Schlecker-Pokémon,Pokémon Lametazo,Pokémon Lametazo,Pokémon Linguaccia,핥기포켓몬,舔舔寶可夢,舔舔宝可梦
109,Poison Gas Pokémon,どくガスポケモン,どくガスポケモン,Pokémon Gaz Mortel,Giftwolken-Pokémon,Pokémon Gas Venenoso,Pokémon Gas Venenoso,Pokémon Velenuvola,독가스포켓몬,毒氣寶可夢,毒气宝可梦
110,Poison Gas Pokémon,どくガスポケモン,どくガスポケモン,Pokémon Gaz Mortel,Giftwolken-Pokémon,Pokémon Gas Venenoso,Pokémon Gas Venenoso,Pokémon Velenuvola,독가스포켓몬,毒氣寶可夢,毒气宝可梦
111,Spikes Pokémon,とげとげポケモン,とげとげポケモン,Pokémon Piquant,Stachler-Pokémon,Pokémon Clavos,Pokémon Clavos,Pokémon Punzoni,뿔포켓몬,尖尖寶可夢,尖尖宝可梦
112,Drill Pokémon,ドリルポケモン,ドリルポケモン,Pokémon Perceur,Bohrer-Pokémon,Pokémon Taladro,Pokémon Taladro,Pokémon Trapano,드릴포켓몬,鑽錐寶可夢,钻锥宝可梦
113,Egg Pokémon,たまごポケモン,たまごポケモン,Pokémon Œuf,Ei-Pokémon,Pokémon Huevo,Pokémon Huevo,Pokémon Uovo,알포켓몬,蛋寶可夢,蛋宝可梦
114,Vine Pokémon,ツルじょうポケモン,ツルじょうポケモン,Pokémon Vigne,Ranken-Pokémon,Pokémon Enredadera,Pokémon Enredadera,Pokémon Liana,넝쿨포켓몬,藤蔓狀寶可夢,藤蔓状宝可梦
115,Parent Pokémon,おやこポケモン,おやこポケモン,Pokémon Maternel,Muttertier-Pokémon,Pokémon Maternal,Pokémon Maternal,Pokémon Genitore,가족포켓몬,親子寶可夢,亲子宝可梦
116,Dragon Pokémon,ドラゴンポケモン,ドラゴンポケモン,Pokémon Dragon,Drachen-Pokémon,Pokémon Dragón,Pokémon Dragón,Pokémon Drago,드래곤포켓몬,龍寶可夢,龙宝可梦
117,Dragon Pokémon,ドラゴンポケモン,ドラゴンポケモン,Pokémon Dragon,Drachen-Pokémon,Pokémon Dragón,Pokémon Dragón,Pokémon Drago,드래곤포켓몬,龍寶可夢,龙宝可梦
118,Goldfish Pokémon,きんぎょポケモン,きんぎょポケモン,Pokémon Poisson,Goldfisch-Pokémon,Pokémon Pez Color,Pokémon Pez Color,Pokémon Pescerosso,금붕어포켓몬,金魚寶可夢,金鱼宝可梦
119,Goldfish Pokémon,きんぎょポケモン,きんぎょポケモン,Pokémon Poisson,Goldfisch-Pokémon,Pokémon Pez Color,Pokémon Pez Color,Pokémon Pescerosso,금붕어포켓몬,金魚寶可夢,金鱼宝可梦
120,Star Shape Pokémon,ほしがたポケモン,ほしがたポケモン,Pokémon Étoile,Sternform-Pokémon,Pokémon Estrella,Pokémon Estrella,Pokémon Stella,별포켓몬,星形寶可夢,星形宝可梦
121,Mysterious Pokémon,なぞのポケモン,なぞのポケモン,Pokémon Mystérieux,Mysteriös-Pokémon,Pokémon Misterioso,Pokémon Misterioso,Pokémon Misterioso,수수께끼포켓몬,謎寶可夢,谜宝可梦
122,Barrier Pokémon,バリアーポケモン,バリアーポケモン,Pokémon Bloqueur,Sperren-Pokémon,Pokémon Barrera,Pokémon Barrera,Pokémon Barriera,배리어포켓몬,屏障寶可夢,屏障宝可梦
123,Mantis Pokémon,かまきりポケモン,かまきりポケモン,Pokémon Mante,Mantis-Pokémon,Pokémon Mantis,Pokémon Mantis,Pokémon Mantide,버마재비포켓몬,螳螂寶可夢,螳螂宝可梦
124,Human Shape Pokémon,ひとがたポケモン,ひとがたポケモン,Pokémon Humanoïde,Humanotyp-Pokémon,Pokémon Forma Humana,Pokémon Forma Humana,Pokémon Umanoide,인간형태포켓몬,人形寶可夢,人形宝可梦
