item,event_name,distribution_method,start_date,end_date,region,notes
star-sweet,Japan Pokémon Center Birthday Milcery,,01/11/2020,31/01/2022,Japan,Held item
star-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,Held item
star-sweet,Singapore Pokémon Center Birthday Milcery,,06/11/2020,31/01/2022,Singapore,Held item
stardust,Poké Times Wish Items,,06/01/2023,15/01/2023,All,
starf-berry,2013 Tanabata Jirachi,,01/08/2013,31/08/2013,Japan,
starf-berry,Goone's Scizor,,18/06/2010,14/07/2010,Japan,
starf-berry,Victory Victini,,18/08/2022,22/08/2022,All,
steel-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
steel-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
steel-tera-shard,Shiny Treasures of Ruin Tera Shards,,05/09/2025,30/09/2025,All,
steelixite,Kanto x Alola Regional Rumble Mega Stones,,28/03/2017,27/04/2017,All,
steelixite,Second Mega Stone Gift,,12/05/2017,31/10/2017,All,
steelixite,Special Demo Version Mega Steelix,,15/10/2014,,Japanese,Held by Steelix
stone-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,Held by event Arceus
strawberry,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
strawberry-sweet,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
sun-stone,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
super-potion,North America Walmart promotion,,08/12/2014,30/09/2015,North America,
super-potion,Pokémon Scrap items,,01/12/2014,15/05/2015,Japan,
swampertite,2017 International Challenge April Mega Stones,,30/05/2017,30/06/2017,All,
swampertite,Third Mega Stone Gift,,23/06/2017,31/10/2017,All,
sweet-apple,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
sweet-heart,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
sweet-herba-mystica,Sweet or Spicy Herba Mystica,,18/10/2023,30/09/2024,All,
tanga-berry,Pokémon Adventure Camp Fossil Lileep,,21/07/2012,30/09/2013,Japan,Held item distribution
tanga-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
tart-apple,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
throat-spray,Rock Star Shiny Toxtricity,,19/02/2021,30/06/2021,All,Distributed as a held item
thunder-stone,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,All,
timer-ball,Miscellaneous items distribution,,13/04/2023,02/10/2023,Japan,Included with Rare Candies and Max Revives
timer-ball,Variety Ball Sets,,18/11/2022,07/03/2023,Japan,
tofu,Poké Times Sandwich Ingredients,,,,All,"Distribution period listed as December 12-17 to 18, 2022."
tomato,It’s picnic time! sandwich ingredients,,17/01/2025,20/01/2026,All,
tomato,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
toxic-orb,Cramorant Max Raid Battle items,,10/02/2021,28/02/2021,All,
toxic-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Japan/Taiwan,
toxic-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan/Taiwan,
tyranitarite,2017 International Challenge May Mega Stones,,06/06/2017,30/07/2017,All,
tyranitarite,Fourth Mega Stone Gift,,21/07/2017,31/10/2017,All,
ultra-ball,Japanese 7-11 Onigiri Balls,,18/11/2022,10/01/2023,Japan,
ultra-ball-hisui,"Ultra, Gigaton and Jet Balls",,27/02/2022,31/03/2022,All,
up-grade,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
venusaurite,2016 Pokémon World Championships Bulbasaur,,19/08/2016,21/08/2016,United States,Held by event Bulbasaur
venusaurite,Pokémon Lab Kanto Bulbasaur,,08/07/2015,30/11/2015,Japan,
vinegar,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
wacan-berry,Pokémon Adventure Camp Fossil Tirtouga,,21/07/2012,30/09/2013,Japan,Distributed as a held item
wacan-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
wasabi,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
water-gem,Pokémon Searcher BW Piplup,,28/04/2012,06/05/2012,Japan,Held by event Piplup
water-gem,Ruby and Sapphire Anniversary Kyogre,,21/11/2012,10/01/2013,Japan,Held by event Kyogre
water-stone,PokéDoko Eevee Evolution items,,14/07/2024,30/09/2024,All,
water-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,
water-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
water-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
water-tera-shard,Shiny Treasures of Ruin Tera Shards,,22/08/2025,30/09/2025,All,
watercress,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
weakness-policy,Jump Festa 2014 Weakness Policy,,21/12/2013,22/12/2013,All,
weakness-policy,Players Cup III items,,23/04/2021,26/04/2021,All,
whipped-cream,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
whipped-dream,Pokémon Center Alcremie Sweets,,01/11/2021,31/10/2022,Japan,
whipped-dream,The Isle of Armor promotion packs,,05/06/2020,11/06/2020,All,
wise-glasses,Summer training support sets,,22/07/2023,30/09/2023,Japan,
yache-berry,Pokémon Center Curry Ingredients and Berries,,15/11/2019,31/10/2021,Japan,
yache-berry,Strongest Dragonite,,15/01/2008,14/02/2008,Japan,Held by event Pokémon
yellow-nectar,Mallow's Steenee,,19/09/2017,31/10/2017,Korea,
yellow-nectar,Mallow's Steenee,,17/06/2017,04/07/2017,Japan,Japanese language distribution
yellow-nectar,Mallow's Steenee,,22/07/2017,13/08/2017,Japan,
yogurt,Poké Times Sandwich Ingredients,,12/12/2022,18/12/2022,All,
zap-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,Held by event Arceus
zap-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Taiwan,Held by event Arceus
zinc,Nintendo newsletter items,,18/11/2024,31/12/2025,All,
zinc,Summer training support sets,,22/07/2023,30/09/2023,Japan,
