identifier,id,name_fr,description_fr,name_de,description_de,name_en,description_en
defrost,11,Dégêle quand utilisé,Cette capacité peut être utilisée lorsque le Pokémon est gelé pour le forcer à se dégeler.,Enteist bei benutzung,"Diese Fähigkeit kann genutzt werden, wenn das Pokémon vereist ist um es zu enteisen.",Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
distance,12,Cible le côté opposé en combat triple,"En combat triple, cette capacité peut être utilisée pour toucher l’adversaire le plus éloigné.",Trifft gegenüber liegende Seite in 3er Kämpfen,In 3er Kämpfen trifft diese Fähigkeit den entferntesten Gegner.,Targets opposite side in triples,"In triple battles, this move can be used on either side to target the farthest away opposing Pokémon."
heal,13,Soigne,Cette capacité est bloquée par Anti-Soin.,Heilt,Diese Fähigkeit wird von Heilblockade blockiert.,Heals,This move is blocked by Heal Block.
authentic,14,Ignore Clonage,Cette capacité ignore le Clonage de la cible.,Ignoriert Delegator,Diese Fähigkeit ignoriert den Delegator des Ziels.,Ignores Substitute,This move ignores the target's Substitute.
powder,15,À base de poudre,Les Pokémon avec Envelocape et le type Plante sont immunisés contre cette capacité.,Pulver basierend,Pokémon mit Partikelschutz und Pflanze-Pokémon sind immun gegen diese Fähigkeit.,Powder-based,Pokémon with Overcoat and Grass-type Pokémon are immune to this move.
bite,16,Utilise la mâchoire,La puissance de cette capacité est multipliée par 1.5 lorsqu’elle est utilisée par un Pokémon avec Prognathe.,Kiefer basierend,"Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit Titankiefer genutzt wird.",Jaw-based,This move has 1.5× its usual power when used by a Pokémon with Strong Jaw.
pulse,17,À base de vibrations,La puissance de cette capacité est multipliée par 1.5 lorsqu’elle est utilisée par un Pokémon avec Méga Blaster.,Megawumme basierend,"Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit Megawumme genutzt wird.",Pulse-based,This move has 1.5× its usual power when used by a Pokémon with Mega Launcher.
ballistics,18,À base de ballistique,Cette capacité est bloquée par Pare-Balles.,Ballistik basierend,Diese Fähigkeit wird von Kugelsicher blockiert.,Ballistics-based,This move is blocked by Bulletproof.
mental,19,Effet mental,Cette capacité est bloquée par Aroma-Voile et soigné par Herbe Mental.,Psychische Effekte,Diese Fähigkeit wird durch Dufthülle blockiert und wird durch Mentalkraut geheilt.,Mental effects,This move is blocked by Aroma Veil and cured by Mental Herb.
non-sky-battle,20,Inutilisable en combat aérien,Cette capacité est inutilisable pendant les combats aériens.,Nicht Nutzbar in Himmelskämpfen,Diese Fähigkeit ist in Himmelskämpfen nicht nutzbar.,Unusable during Sky Battles,This move is unusable during Sky Battles.
dance,21,Danse,Cette capacité déclenche Danseuse.,,,Dance,This move triggers Dancer.
