pokemon,last_generation,slot,is_hidden,ability
aron,4,3,1,
lairon,4,3,1,
aggron,4,3,1,
meditite,4,3,1,
medicham,4,3,1,
electrike,4,3,1,
manectric,4,3,1,
plusle,5,3,1,
minun,5,3,1,
volbeat,4,3,1,
illumise,3,2,0,
illumise,4,3,1,
roselia,4,3,1,
gulpin,4,3,1,
swalot,4,3,1,
carvanha,4,3,1,
sharpedo,4,3,1,
wailmer,4,3,1,
wailord,4,3,1,
numel,3,2,0,
numel,4,3,1,
camerupt,3,2,0,
camerupt,4,3,1,
torkoal,4,3,1,
torkoal,6,2,0,
spoink,4,3,1,
grumpig,4,3,1,
spinda,3,2,0,
spinda,4,3,1,
trapinch,4,3,1,
cacnea,4,3,1,
cacturne,4,3,1,
swablu,4,3,1,
altaria,4,3,1,
zangoose,4,3,1,
seviper,4,3,1,
barboach,3,2,0,
barboach,4,3,1,
whiscash,3,2,0,
whiscash,4,3,1,
corphish,4,3,1,
crawdaunt,4,3,1,
lileep,4,3,1,
cradily,4,3,1,
anorith,4,3,1,
armaldo,4,3,1,
feebas,4,3,1,
feebas,5,2,0,
milotic,4,3,1,
milotic,5,2,0,
kecleon,5,3,1,
shuppet,3,2,0,
shuppet,4,3,1,
banette,3,2,0,
banette,4,3,1,
duskull,5,3,1,
dusclops,5,3,1,
tropius,3,2,0,
tropius,4,3,1,
absol,3,2,0,
absol,4,3,1,
wynaut,4,3,1,
snorunt,3,2,0,
snorunt,4,3,1,
glalie,3,2,0,
glalie,4,3,1,
spheal,3,2,0,
spheal,4,3,1,
sealeo,3,2,0,
sealeo,4,3,1,
walrein,3,2,0,
walrein,4,3,1,
clamperl,4,3,1,
huntail,4,3,1,
gorebyss,4,3,1,
relicanth,4,3,1,
luvdisc,4,3,1,
bagon,4,3,1,
shelgon,4,3,1,
salamence,4,3,1,
beldum,4,3,1,
metang,4,3,1,
metagross,4,3,1,
turtwig,4,3,1,
grotle,4,3,1,
torterra,4,3,1,
chimchar,4,3,1,
monferno,4,3,1,
infernape,4,3,1,
piplup,4,3,1,
piplup,8,3,1,defiant
prinplup,4,3,1,
prinplup,8,3,1,defiant
empoleon,4,3,1,
empoleon,8,3,1,defiant
starly,5,3,1,
staravia,4,3,1,
staraptor,4,3,1,
bidoof,4,3,1,
bibarel,4,3,1,
kricketot,4,3,1,
kricketune,4,3,1,
shinx,4,3,1,
luxio,4,3,1,
luxray,4,3,1,
budew,4,3,1,
roserade,4,3,1,
cranidos,4,3,1,
rampardos,4,3,1,
shieldon,4,3,1,
bastiodon,4,3,1,
burmy,4,3,1,
wormadam-plant,4,3,1,
mothim,4,3,1,
combee,4,3,1,
vespiquen,4,3,1,
pachirisu,4,3,1,
buizel,4,3,1,
floatzel,4,3,1,
shellos,4,3,1,
gastrodon,4,3,1,
ambipom,4,3,1,
drifloon,4,3,1,
drifblim,4,3,1,
buneary,4,3,1,
lopunny,4,3,1,
honchkrow,4,3,1,
glameow,4,3,1,
purugly,4,3,1,
stunky,4,3,1,
skuntank,4,3,1,
bronzor,4,3,1,
bronzong,4,3,1,
bonsly,4,3,1,
mime-jr,4,3,1,
happiny,4,3,1,
chatot,4,3,1,
spiritomb,4,3,1,
gible,4,3,1,
gabite,4,3,1,
garchomp,4,3,1,
munchlax,4,3,1,
riolu,4,3,1,
lucario,4,3,1,
hippopotas,4,3,1,
hippowdon,4,3,1,
skorupi,4,3,1,
drapion,4,3,1,
croagunk,4,3,1,
toxicroak,4,3,1,
finneon,4,3,1,
lumineon,4,3,1,
mantyke,4,3,1,
snover,4,3,1,
abomasnow,4,3,1,
weavile,4,3,1,
magnezone,4,3,1,
lickilicky,4,3,1,
rhyperior,4,3,1,
tangrowth,4,3,1,
electivire,4,3,1,
magmortar,4,3,1,
togekiss,4,3,1,
yanmega,4,3,1,
leafeon,4,3,1,
glaceon,4,3,1,
gliscor,4,3,1,
mamoswine,4,3,1,
porygon-z,4,3,1,
gallade,4,3,1,
gallade,8,2,0,
probopass,4,3,1,
dusknoir,5,3,1,
froslass,4,3,1,
dialga,4,3,1,
palkia,4,3,1,
giratina-altered,4,3,1,
roggenrola,6,2,0,
boldore,6,2,0,
gigalith,6,2,0,
venipede,5,3,1,quick-feet
whirlipede,5,3,1,quick-feet
scolipede,5,3,1,quick-feet
gothita,5,2,0,
gothorita,5,2,0,
gothitelle,5,2,0,
vanillite,6,2,0,
vanillish,6,2,0,
vanilluxe,6,2,0,
ferrothorn,5,3,1,
litwick,5,3,1,shadow-tag
lampent,5,3,1,shadow-tag
chandelure,5,3,1,shadow-tag
cubchoo,6,2,0,
beartic,6,2,0,
kleavor,8,3,1,steadfast
basculegion-male,8,1,0,rattled
sneasler,8,2,0,
enamorus-incarnate,8,1,0,healer
wormadam-sandy,4,3,1,
wormadam-trash,4,3,1,
basculin-blue-striped,5,1,0,rock-head
growlithe-hisui,8,3,1,justified
arcanine-hisui,8,3,1,justified
typhlosion-hisui,8,3,1,flash-fire
sneasel-hisui,8,3,1,poison-touch
samurott-hisui,8,3,1,shell-armor
braviary-hisui,8,3,1,defiant
sliggoo-hisui,8,2,0,shell-armor
goodra-hisui,8,2,0,shell-armor
decidueye-hisui,8,3,1,long-reach
basculegion-female,8,1,0,rattled
