pokemon,form,version_group,versions,location_area,method,levels,during_any_time,while_weather_overall,boulder_required,alpha_levels,during_morning,during_day,during_evening,note,during_night,rate_overall,while_blizzard,while_clear,while_harsh_sunlight,while_cloudy
avalugg-hisui,avalugg-hisui,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
avalugg-hisui,avalugg-hisui,legends-arceus,legends-arceus,avaluggs-legacy,swarm,51 - 53,true,true,true,66 - 68,,,,,,,,,,
azelf,azelf,legends-arceus,legends-arceus,lake-valor-hisui,special-encounter,70,true,true,,,,,,"Can be caught during Mission 21: ""The Plate of the Lakes"". Unlocked after completing Mission 20: ""The Researcher of Myths"". Respawns immediately and is never shiny.",,,,,,
barboach,barboach,legends-arceus,legends-arceus,droning-meadow,symbol-encounter,26 - 29,true,true,true,41 - 44,,,,,,,,,,
barboach,barboach,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,"19 - 22, 26 - 29",true,true,,"34 - 37, 41 - 44",,,,,,,,,,
barboach,barboach,legends-arceus,legends-arceus,gapejaw-bog,swarm,21 - 23,true,true,true,36 - 38,,,,,,,,,,
barboach,barboach,legends-arceus,legends-arceus,lake-valor-hisui,symbol-encounter,26 - 29,true,true,,41 - 44,,,,,,,,,,
barboach,barboach,legends-arceus,legends-arceus,ursas-ring,symbol-encounter,26 - 29,true,true,true,41 - 44,,,,,,,,,,
barboach,barboach,legends-arceus,legends-arceus,wayward-cave,symbol-encounter,26 - 29,true,true,,41 - 44,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,49 - 52,true,true,true,64 - 67,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,avaluggs-legacy,swarm,63 - 65,true,true,true,78 - 80,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,fabled-spring,symbol-encounter,43 - 46,true,true,,58 - 61,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,firespit-island,symbol-encounter,41 - 44,true,true,true,56 - 59,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,firespit-island,swarm,36 - 38,true,true,true,51 - 53,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,hearts-crag,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,islespy-shore,symbol-encounter,41 - 44,true,true,true,56 - 59,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,lake-acuity-hisui,symbol-encounter,53 - 56,true,true,,68 - 71,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,pearl-settlement,symbol-encounter,49 - 52,true,true,true,64 - 67,,,,,,,,,,
basculin-white-striped,basculin-white-striped,legends-arceus,legends-arceus,tranquility-cove,symbol-encounter,31 - 34,true,true,,46 - 49,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,ancient-quarry,contact-space-time-distortion,55 - 58,true,true,true,70 - 73,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,55 - 58,true,true,,70 - 73,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,celestica-ruins,contact-space-time-distortion,55 - 58,true,true,,70 - 73,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,celestica-trail,contact-space-time-distortion,55 - 58,true,true,,70 - 73,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,sacred-plaza,contact-space-time-distortion,55 - 58,true,true,,70 - 73,,,,,,,,,,
bastiodon,bastiodon,legends-arceus,legends-arceus,stonetooth-rows,contact-space-time-distortion,55 - 58,true,true,,70 - 73,,,,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,bathers-lagoon,flying,29 - 32,,true,,44 - 47,true,true,true,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,floaro-gardens,flying,18 - 22,,true,,33 - 37,true,true,true,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,grueling-grove,flying,15 - 18,,true,,30 - 33,true,true,true,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,grueling-grove,swarm,22 - 24,true,true,,37 - 39,,,,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,the-heartwood,flying,13 - 16,,true,,28 - 31,true,true,true,,,,,,,
beautifly,beautifly,legends-arceus,legends-arceus,veilstone-cape,flying,29 - 32,,true,,44 - 47,true,true,true,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,arenas-approach,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,arenas-approach,contact-space-time-distortion,34 - 36,true,true,,49 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,avalanche-slopes,shaking-ore-deposits,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,avaluggs-legacy,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,bonechill-wastes,shaking-ore-deposits,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,crevasse-passage,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,crevasse-passage,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,glacier-terrace,symbol-encounter,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,ice-column-chamber,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,ice-column-chamber,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,icepeak-cavern,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,icepeak-cavern,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,secret-hollow,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,snowfall-hot-spring,shaking-ore-deposits,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,whiteout-valley,symbol-encounter,33 - 36,true,true,true,48 - 51,,,,,,,,,,
bergmite,bergmite,legends-arceus,legends-arceus,whiteout-valley,shaking-ore-deposits,33 - 36,true,true,,48 - 51,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,45 - 48,true,true,,60 - 63,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,avaluggs-legacy,swarm,52 - 54,true,true,true,67 - 69,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,droning-meadow,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,19 - 22,true,true,,34 - 37,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,glacier-terrace,symbol-encounter,49 - 52,,true,true,64 - 67,true,true,true,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,spring-path-hisui,symbol-encounter,41 - 44,true,true,,56 - 59,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,tidewater-dam,symbol-encounter,15 - 18,true,true,,30 - 33,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,tidewater-dam,symbol-encounter,,true,true,,16,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,tidewater-dam,swarm,15 - 17,true,true,true,30 - 32,,,,,,,,,,
bibarel,bibarel,legends-arceus,legends-arceus,ursas-ring,symbol-encounter,27 - 30,true,true,true,42 - 45,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,aspiration-hill,symbol-encounter,2 - 4,true,true,,17 - 19,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,11 - 14,true,true,true,26 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,avaluggs-legacy,swarm,12 - 14,true,true,true,27 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,droning-meadow,symbol-encounter,11 - 14,true,true,,26 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,11 - 14,true,true,,26 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,glacier-terrace,symbol-encounter,11 - 14,,true,true,26 - 29,true,true,true,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,horseshoe-plains,symbol-encounter,2 - 6,true,true,,17 - 21,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,tidewater-dam,symbol-encounter,11 - 14,true,true,,26 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,tidewater-dam,swarm,12 - 14,true,true,true,27 - 29,,,,,,,,,,
bidoof,bidoof,legends-arceus,legends-arceus,ursas-ring,symbol-encounter,11 - 14,true,true,true,26 - 29,,,,,,,,,,
blissey,blissey,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,59 - 62,true,true,,79 - 82,,,,,,,,,,
blissey,blissey,legends-arceus,legends-arceus,obsidian-falls,symbol-encounter,,true,true,true,62,,,,,,,,,,
bonsly,bonsly,legends-arceus,legends-arceus,celestica-ruins,shaking-ore-deposits,39 - 42,true,true,,54 - 57,,,,,,,,,,
bonsly,bonsly,legends-arceus,legends-arceus,celestica-ruins,swarm,44 - 46,true,true,true,59 - 61,,,,,,,,,,
bonsly,bonsly,legends-arceus,legends-arceus,cloudpool-ridge,symbol-encounter,25 - 28,true,true,true,40 - 43,,,,,,,,,,
bonsly,bonsly,legends-arceus,legends-arceus,cloudpool-ridge,swarm,24 - 26,true,true,,39 - 41,,,,,,,,,,
bonsly,bonsly,legends-arceus,legends-arceus,diamond-heath,shaking-ore-deposits,20 - 22,true,true,,35 - 37,,,,,,,,,,
braviary-hisui,braviary-hisui,legends-arceus,legends-arceus,lake-acuity-hisui,flying,49 - 52,true,true,true,,,,,,,,,,,
braviary-hisui,braviary-hisui,legends-arceus,legends-arceus,lake-acuity-hisui,swarm,55 - 57,true,true,,70 - 72,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,ancient-quarry,symbol-encounter,37 - 40,true,true,,52 - 55,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,celestica-ruins,symbol-encounter,39 - 42,true,true,true,54 - 57,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,celestica-ruins,swarm,42 - 44,true,true,true,57 - 59,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,37 - 40,true,true,true,52 - 55,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,,true,true,true,55,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,lake-acuity-hisui,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,lake-acuity-hisui,swarm,55 - 57,true,true,,70 - 72,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,primeval-grotto,symbol-encounter,53 - 56,true,true,true,68 - 71,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,snowpoint-temple,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
bronzong,bronzong,legends-arceus,legends-arceus,stonetooth-rows,symbol-encounter,43 - 46,,true,,58 - 61,true,true,true,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,ancient-quarry,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,ancient-quarry,shaking-ore-deposits,29 - 32,true,true,true,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,celestica-ruins,symbol-encounter,29 - 32,true,true,true,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,celestica-ruins,swarm,30 - 32,true,true,true,45 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,29 - 32,true,true,true,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,clamberclaw-cliffs,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,lake-acuity-hisui,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,lake-acuity-hisui,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,lake-acuity-hisui,swarm,30 - 32,true,true,,45 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,lonely-spring,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,primeval-grotto,symbol-encounter,29 - 32,true,true,true,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,primeval-grotto,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,snowpoint-temple,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,sonorous-path,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,stonetooth-rows,symbol-encounter,29 - 32,,true,,44 - 47,true,true,true,,,,,,,
bronzor,bronzor,legends-arceus,legends-arceus,wayward-wood,shaking-ore-deposits,29 - 32,true,true,,44 - 47,,,,,,,,,,
budew,budew,legends-arceus,legends-arceus,cottonsedge-prairie,symbol-encounter,33 - 36,true,true,true,48 - 51,,,,,,,,,,
budew,budew,legends-arceus,legends-arceus,fabled-spring,symbol-encounter,43 - 46,true,true,,58 - 61,,,,,,,,,,
budew,budew,legends-arceus,legends-arceus,fabled-spring,swarm,48 - 50,true,true,,63 - 65,,,,,,,,,,
budew,budew,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,19 - 24,true,true,,34 - 39,,,,,,,,,,
budew,budew,legends-arceus,legends-arceus,golden-lowlands,symbol-encounter,17 - 20,,true,,32 - 35,true,true,true,,,,,,,
budew,budew,legends-arceus,legends-arceus,golden-lowlands,swarm,18 - 20,true,true,,33 - 35,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,aipom-hill,symbol-encounter,22 - 25,true,true,,37 - 40,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,bathers-lagoon,symbol-encounter,22 - 25,true,true,,37 - 40,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,bathers-lagoon,swarm,23 - 25,true,true,,38 - 40,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,ginkgo-landing,symbol-encounter,22 - 25,true,true,,37 - 40,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,horseshoe-plains,symbol-encounter,2 - 4,true,true,,17 - 19,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,horseshoe-plains,swarm,13 - 15,true,true,true,28 - 30,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,windswept-run,symbol-encounter,9 - 12,true,true,,24 - 27,,,,,,,,,,
buizel,buizel,legends-arceus,legends-arceus,worn-bridge,symbol-encounter,7 - 10,true,true,true,22 - 25,,,,,,,,,,
buneary,buneary,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,43 - 46,true,true,,58 - 61,,,,,,,,,,
buneary,buneary,legends-arceus,legends-arceus,snowfall-hot-spring,symbol-encounter,47 - 50,true,true,,62 - 65,,,,,,,,,,
buneary,buneary,legends-arceus,legends-arceus,the-heartwood,symbol-encounter,13 - 18,true,true,,28 - 33,,,,,,,,,,
buneary,buneary,legends-arceus,legends-arceus,the-heartwood,swarm,15 - 17,true,true,true,30 - 32,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,deertrack-heights,shaking-trees,9 - 14,true,true,,24 - 29,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,deertrack-path,shaking-trees,7 - 10,true,true,,22 - 25,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,grueling-grove,shaking-trees,15 - 18,true,true,,30 - 33,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,natures-pantry,shaking-trees,9 - 12,true,true,,24 - 27,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,obsidian-falls,shaking-trees,11 - 14,true,true,,26 - 29,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,tidewater-dam,shaking-trees,9 - 12,true,true,,24 - 27,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,windswept-run,shaking-trees,9 - 12,true,true,,24 - 27,,,,,,,,,,
burmy,burmy-plant,legends-arceus,legends-arceus,worn-bridge,shaking-trees,9 - 12,true,true,,24 - 27,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,ancient-quarry,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,bolderoll-slope,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,celestica-ruins,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,celestica-trail,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,clamberclaw-cliffs,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,cloudcap-pass,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,cloudpool-ridge,flying,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,cottonsedge-prairie,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,diamond-heath,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,diamond-settlement,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,droning-meadow,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,fabled-spring,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,gapejaw-bog,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,golden-lowlands,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,heavenward-lookout,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,holm-of-trials,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,lake-valor-hisui,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,sacred-plaza,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,scarlet-bog,shaking-trees,16 - 19,true,true,true,31 - 34,,,,,,,,,,
burmy,burmy-sandy,legends-arceus,legends-arceus,shrouded-ruins,shaking-trees,16 - 19,true,true,,31 - 34,,,,,,,,,,
