item,contest_type,flavor
wacan-berry,beauty,0
wacan-berry,cute,15
wacan-berry,smart,0
wacan-berry,tough,10
rindo-berry,cool,10
rindo-berry,beauty,0
rindo-berry,cute,0
rindo-berry,smart,15
rindo-berry,tough,0
yache-berry,cool,0
yache-berry,beauty,10
yache-berry,cute,0
yache-berry,smart,0
yache-berry,tough,15
chople-berry,cool,15
chople-berry,beauty,0
chople-berry,cute,0
chople-berry,smart,10
chople-berry,tough,0
kebia-berry,cool,0
kebia-berry,beauty,15
kebia-berry,cute,0
kebia-berry,smart,0
kebia-berry,tough,10
shuca-berry,cool,10
shuca-berry,beauty,0
shuca-berry,cute,15
shuca-berry,smart,0
shuca-berry,tough,0
coba-berry,cool,0
coba-berry,beauty,10
coba-berry,cute,0
coba-berry,smart,15
coba-berry,tough,0
payapa-berry,cool,0
payapa-berry,beauty,0
payapa-berry,cute,10
payapa-berry,smart,0
payapa-berry,tough,15
tanga-berry,cool,20
tanga-berry,beauty,0
tanga-berry,cute,0
tanga-berry,smart,0
tanga-berry,tough,10
charti-berry,cool,10
charti-berry,beauty,20
charti-berry,cute,0
charti-berry,smart,0
charti-berry,tough,0
kasib-berry,cool,0
kasib-berry,beauty,10
kasib-berry,cute,20
kasib-berry,smart,0
kasib-berry,tough,0
haban-berry,cool,0
haban-berry,beauty,0
haban-berry,cute,10
haban-berry,smart,20
haban-berry,tough,0
colbur-berry,cool,0
colbur-berry,beauty,0
colbur-berry,cute,0
colbur-berry,smart,10
colbur-berry,tough,20
babiri-berry,cool,25
babiri-berry,beauty,10
babiri-berry,cute,0
babiri-berry,smart,0
babiri-berry,tough,0
chilan-berry,cool,0
chilan-berry,beauty,25
chilan-berry,cute,10
chilan-berry,smart,0
chilan-berry,tough,0
liechi-berry,cool,30
liechi-berry,beauty,10
liechi-berry,cute,30
liechi-berry,smart,0
liechi-berry,tough,0
ganlon-berry,cool,0
ganlon-berry,beauty,30
ganlon-berry,cute,10
ganlon-berry,smart,30
ganlon-berry,tough,0
salac-berry,cool,0
salac-berry,beauty,0
salac-berry,cute,30
salac-berry,smart,10
salac-berry,tough,30
petaya-berry,cool,30
petaya-berry,beauty,0
petaya-berry,cute,0
petaya-berry,smart,30
petaya-berry,tough,10
apicot-berry,cool,10
apicot-berry,beauty,30
apicot-berry,cute,0
apicot-berry,smart,0
apicot-berry,tough,30
lansat-berry,cool,30
lansat-berry,beauty,10
lansat-berry,cute,30
lansat-berry,smart,10
lansat-berry,tough,30
starf-berry,cool,30
starf-berry,beauty,10
starf-berry,cute,30
starf-berry,smart,10
starf-berry,tough,30
enigma-berry,cool,40
enigma-berry,beauty,10
enigma-berry,cute,0
enigma-berry,smart,0
enigma-berry,tough,0
micle-berry,cool,0
micle-berry,beauty,40
micle-berry,cute,10
micle-berry,smart,0
micle-berry,tough,0
custap-berry,cool,0
custap-berry,beauty,0
custap-berry,cute,40
custap-berry,smart,10
custap-berry,tough,0
jaboca-berry,cool,0
jaboca-berry,beauty,0
jaboca-berry,cute,0
jaboca-berry,smart,40
jaboca-berry,tough,10
rowap-berry,cool,10
rowap-berry,beauty,0
rowap-berry,cute,0
rowap-berry,smart,0
rowap-berry,tough,40
