species,egg_group_1,egg_group_2
222,water1,water3
223,water1,water2
224,water1,water2
225,water1,ground
226,water1,
227,flying,
228,ground,
229,ground,
230,water1,dragon
231,ground,
232,ground,
233,mineral,
234,ground,
235,ground,
236,no-eggs,
237,humanshape,
238,no-eggs,
239,no-eggs,
240,no-eggs,
241,ground,
242,fairy,
243,no-eggs,
244,no-eggs,
245,no-eggs,
246,monster,
247,monster,
248,monster,
249,no-eggs,
250,no-eggs,
251,no-eggs,
252,monster,dragon
253,monster,dragon
254,monster,dragon
255,ground,
256,ground,
257,ground,
258,monster,water1
259,monster,water1
260,monster,water1
261,ground,
262,ground,
263,ground,
264,ground,
265,bug,
266,bug,
267,bug,
268,bug,
269,bug,
270,water1,plant
271,water1,plant
272,water1,plant
273,ground,plant
274,ground,plant
275,ground,plant
276,flying,
277,flying,
278,water1,flying
279,water1,flying
280,humanshape,indeterminate
281,humanshape,indeterminate
282,humanshape,indeterminate
283,water1,bug
284,water1,bug
285,fairy,plant
286,fairy,plant
287,ground,
288,ground,
289,ground,
290,bug,
291,bug,
292,mineral,
293,monster,ground
294,monster,ground
295,monster,ground
296,humanshape,
297,humanshape,
298,no-eggs,
299,mineral,
300,ground,fairy
301,ground,fairy
302,humanshape,
303,ground,fairy
304,monster,
305,monster,
306,monster,
307,humanshape,
308,humanshape,
309,ground,
310,ground,
311,fairy,
312,fairy,
313,bug,humanshape
314,bug,humanshape
315,fairy,plant
316,indeterminate,
317,indeterminate,
318,water2,
319,water2,
320,ground,water2
321,ground,water2
322,ground,
323,ground,
324,ground,
325,ground,
326,ground,
327,ground,humanshape
328,bug,dragon
329,bug,dragon
330,bug,dragon
331,plant,humanshape
332,plant,humanshape
333,flying,dragon
334,flying,dragon
335,ground,
336,ground,dragon
337,mineral,
338,mineral,
339,water2,
340,water2,
341,water1,water3
342,water1,water3
343,mineral,
344,mineral,
345,water3,
346,water3,
347,water3,
348,water3,
349,water1,dragon
350,water1,dragon
351,fairy,indeterminate
352,ground,
353,indeterminate,
354,indeterminate,
355,indeterminate,
356,indeterminate,
357,monster,plant
358,indeterminate,
359,ground,
360,no-eggs,
361,fairy,mineral
362,fairy,mineral
363,water1,ground
364,water1,ground
365,water1,ground
366,water1,
367,water1,
368,water1,
369,water1,water2
370,water2,
371,dragon,
372,dragon,
373,dragon,
374,mineral,
375,mineral,
376,mineral,
377,no-eggs,
378,no-eggs,
379,no-eggs,
380,no-eggs,
381,no-eggs,
382,no-eggs,
383,no-eggs,
384,no-eggs,
385,no-eggs,
386,no-eggs,
387,monster,plant
388,monster,plant
389,monster,plant
390,ground,humanshape
391,ground,humanshape
392,ground,humanshape
393,water1,ground
394,water1,ground
395,water1,ground
396,flying,
397,flying,
398,flying,
399,water1,ground
400,water1,ground
401,bug,
402,bug,
403,ground,
404,ground,
405,ground,
406,no-eggs,
407,fairy,plant
408,monster,
409,monster,
410,monster,
411,monster,
412,bug,
413,bug,
414,bug,
415,bug,
416,bug,
417,ground,fairy
418,water1,ground
419,water1,ground
420,fairy,plant
421,fairy,plant
422,water1,indeterminate
423,water1,indeterminate
424,ground,
425,indeterminate,
426,indeterminate,
427,ground,humanshape
428,ground,humanshape
429,indeterminate,
430,flying,
431,ground,
432,ground,
433,no-eggs,
434,ground,
435,ground,
436,mineral,
437,mineral,
438,no-eggs,
439,no-eggs,
440,no-eggs,
441,flying,
442,indeterminate,
443,monster,dragon
444,monster,dragon
445,monster,dragon
446,no-eggs,
447,no-eggs,
448,ground,humanshape
449,ground,
450,ground,
451,bug,water3
452,bug,water3
453,humanshape,
454,humanshape,
455,plant,
456,water2,
457,water2,
458,no-eggs,
459,monster,plant
460,monster,plant
461,ground,
462,mineral,
463,monster,
464,monster,ground
465,plant,
466,humanshape,
467,humanshape,
468,flying,fairy
469,bug,
470,ground,
471,ground,
472,bug,
473,ground,
474,mineral,
475,humanshape,indeterminate
476,mineral,
477,indeterminate,
478,fairy,mineral
479,indeterminate,
480,no-eggs,
481,no-eggs,
482,no-eggs,
483,no-eggs,
484,no-eggs,
485,no-eggs,
486,no-eggs,
487,no-eggs,
488,no-eggs,
489,water1,fairy
490,water1,fairy
491,no-eggs,
492,no-eggs,
493,no-eggs,
494,no-eggs,
495,ground,plant
496,ground,plant
497,ground,plant
498,ground,
499,ground,
500,ground,
501,ground,
502,ground,
503,ground,
504,ground,
505,ground,
506,ground,
507,ground,
508,ground,
509,ground,
510,ground,
511,ground,
512,ground,
513,ground,
514,ground,
515,ground,
516,ground,
517,ground,
518,ground,
519,flying,
520,flying,
521,flying,
522,ground,
523,ground,
524,mineral,
525,mineral,
526,mineral,
527,ground,flying
528,ground,flying
529,ground,
530,ground,
531,fairy,
532,humanshape,
533,humanshape,
534,humanshape,
535,water1,
536,water1,
537,water1,
538,humanshape,
539,humanshape,
540,bug,
541,bug,
542,bug,
543,bug,
544,bug,
545,bug,
546,plant,fairy
547,plant,fairy
548,plant,
549,plant,
550,water2,
551,ground,
552,ground,
553,ground,
554,ground,
555,ground,
556,plant,
557,bug,mineral
558,bug,mineral
559,ground,dragon
560,ground,dragon
561,flying,
562,mineral,indeterminate
563,mineral,indeterminate
564,water1,water3
565,water1,water3
566,flying,water3
567,flying,water3
568,mineral,
569,mineral,
570,ground,
571,ground,
572,ground,
573,ground,
574,humanshape,
575,humanshape,
576,humanshape,
577,indeterminate,
578,indeterminate,
579,indeterminate,
580,water1,flying
581,water1,flying
582,mineral,
583,mineral,
584,mineral,
585,ground,
586,ground,
587,ground,
588,bug,
589,bug,
590,plant,
591,plant,
592,indeterminate,
593,indeterminate,
594,water1,water2
595,bug,
596,bug,
597,plant,mineral
598,plant,mineral
599,mineral,
600,mineral,
601,mineral,
602,indeterminate,
603,indeterminate,
604,indeterminate,
605,humanshape,
606,humanshape,
607,indeterminate,
608,indeterminate,
609,indeterminate,
610,monster,dragon
611,monster,dragon
612,monster,dragon
613,ground,
614,ground,
615,mineral,
616,bug,
617,bug,
618,water1,indeterminate
619,ground,humanshape
620,ground,humanshape
621,dragon,monster
622,mineral,
623,mineral,
624,humanshape,
625,humanshape,
626,ground,
627,flying,
628,flying,
629,flying,
630,flying,
631,ground,
632,bug,
633,dragon,
634,dragon,
635,dragon,
636,bug,
637,bug,
638,no-eggs,
639,no-eggs,
640,no-eggs,
641,no-eggs,
642,no-eggs,
643,no-eggs,
644,no-eggs,
645,no-eggs,
646,no-eggs,
647,no-eggs,
648,no-eggs,
649,no-eggs,
650,ground,
651,ground,
652,ground,
653,ground,
654,ground,
655,ground,
656,water1,
657,water1,
658,water1,
659,ground,
660,ground,
661,flying,
662,flying,
663,flying,
664,bug,
665,bug,
666,bug,
667,ground,
668,ground,
669,fairy,
670,fairy,
671,fairy,
672,ground,
673,ground,
674,ground,humanshape
675,ground,humanshape
676,ground,
677,ground,
678,ground,
679,mineral,
680,mineral,
681,mineral,
682,fairy,
683,fairy,
684,fairy,
685,fairy,
686,water1,water2
687,water1,water2
688,water3,
689,water3,
690,water1,dragon
691,water1,dragon
692,water1,water3
693,water1,water3
694,monster,dragon
695,monster,dragon
696,monster,dragon
697,monster,dragon
698,monster,
699,monster,
700,ground,
701,flying,humanshape
702,ground,fairy
703,fairy,mineral
704,dragon,
705,dragon,
706,dragon,
707,mineral,
708,plant,indeterminate
709,plant,indeterminate
710,indeterminate,
711,indeterminate,
712,monster,mineral
713,monster,mineral
714,flying,dragon
715,flying,dragon
716,no-eggs,
717,no-eggs,
718,no-eggs,
719,no-eggs,
720,no-eggs,
721,no-eggs,
722,flying,
723,flying,
724,flying,
725,ground,
726,ground,
727,ground,
728,water1,ground
729,water1,ground
730,water1,ground
731,flying,
732,flying,
733,flying,
734,ground,
735,ground,
736,bug,
737,bug,
738,bug,
739,water3,
740,water3,
741,flying,
742,bug,fairy
743,bug,fairy
744,ground,
745,ground,
746,water2,
747,water1,
748,water1,
749,ground,
750,ground,
751,water1,bug
752,water1,bug
753,plant,
754,plant,
755,plant,
756,plant,
757,monster,dragon
758,monster,dragon
759,ground,
760,ground,
761,plant,
762,plant,
763,plant,
764,plant,
765,ground,
766,ground,
767,bug,water3
768,bug,water3
769,indeterminate,
770,indeterminate,
771,water1,
772,no-eggs,
773,no-eggs,
774,mineral,
775,ground,
776,monster,dragon
777,ground,fairy
778,indeterminate,
779,water2,
780,monster,dragon
781,mineral,
782,dragon,
783,dragon,
784,dragon,
785,no-eggs,
786,no-eggs,
787,no-eggs,
788,no-eggs,
789,no-eggs,
790,no-eggs,
791,no-eggs,
792,no-eggs,
793,no-eggs,
794,no-eggs,
795,no-eggs,
796,no-eggs,
797,no-eggs,
798,no-eggs,
799,no-eggs,
800,no-eggs,
801,no-eggs,
802,no-eggs,
803,no-eggs,
804,no-eggs,
805,no-eggs,
806,no-eggs,
807,no-eggs,
808,no-eggs,
809,no-eggs,
810,ground,plant
811,ground,plant
812,ground,plant
813,ground,humanshape
814,ground,humanshape
815,ground,humanshape
816,water1,ground
817,water1,ground
818,water1,ground
819,ground,
820,ground,
821,flying,
822,flying,
823,flying,
824,bug,
825,bug,
826,bug,
827,ground,
828,ground,
829,plant,
830,plant,
831,ground,
832,ground,
833,monster,water1
834,monster,water1
835,ground,
836,ground,
837,mineral,
838,mineral,
839,mineral,
840,plant,dragon
841,plant,dragon
842,plant,dragon
843,ground,dragon
844,ground,dragon
845,water1,flying
846,water2,
847,water2,
848,no-eggs,
849,humanshape,
850,bug,
851,bug,
852,water1,humanshape
853,water1,humanshape
854,mineral,indeterminate
855,mineral,indeterminate
856,fairy,
857,fairy,
858,fairy,
859,fairy,humanshape
860,fairy,humanshape
861,fairy,humanshape
862,ground,
863,ground,
864,water1,water3
865,flying,ground
866,humanshape,
867,mineral,indeterminate
868,fairy,indeterminate
869,fairy,indeterminate
870,fairy,mineral
871,water1,indeterminate
872,bug,
873,bug,
874,mineral,
875,water1,ground
876,fairy,
877,ground,fairy
878,ground,mineral
879,ground,mineral
880,no-eggs,
881,no-eggs,
882,no-eggs,
883,no-eggs,
884,mineral,dragon
885,indeterminate,dragon
886,indeterminate,dragon
887,indeterminate,dragon
888,no-eggs,
889,no-eggs,
890,no-eggs,
891,no-eggs,
892,no-eggs,
893,no-eggs,
894,no-eggs,
895,no-eggs,
896,no-eggs,
897,no-eggs,
898,no-eggs,
899,ground,
900,bug,
901,ground,
902,water2,
903,ground,
904,water2,
905,no-eggs,
906,ground,plant
907,ground,plant
908,ground,plant
909,ground,
910,ground,
911,ground,
912,flying,water1
913,flying,water1
914,flying,water1
915,ground,
916,ground,
917,bug,
918,bug,
919,bug,
920,bug,
921,ground,
922,ground,
923,ground,
924,ground,fairy
925,ground,fairy
926,ground,mineral
927,ground,mineral
928,plant,
929,plant,
930,plant,
931,flying,
932,mineral,
933,mineral,
934,mineral,
935,humanshape,
936,humanshape,
937,humanshape,
938,water1,
939,water1,
940,water1,flying
941,water1,flying
942,ground,
943,ground,
944,ground,
945,ground,
946,plant,
947,plant,
948,plant,
949,plant,
950,water3,
951,plant,
952,plant,
953,bug,
954,bug,
955,flying,
956,flying,
957,fairy,
958,fairy,
959,fairy,
960,water3,
961,water3,
962,flying,
963,ground,water2
964,ground,water2
965,mineral,
966,mineral,
967,ground,
968,ground,
969,mineral,
970,mineral,
971,ground,
972,ground,
973,flying,
974,ground,
975,ground,
976,water2,
977,water2,
978,water2,
979,ground,
980,water1,ground
981,ground,
982,ground,
983,humanshape,
984,no-eggs,
985,no-eggs,
986,no-eggs,
987,no-eggs,
988,no-eggs,
989,no-eggs,
990,no-eggs,
991,no-eggs,
992,no-eggs,
993,no-eggs,
994,no-eggs,
995,no-eggs,
996,dragon,mineral
997,dragon,mineral
998,dragon,mineral
999,no-eggs,
1000,no-eggs,
1001,no-eggs,
1002,no-eggs,
1003,no-eggs,
1004,no-eggs,
1005,no-eggs,
1006,no-eggs,
1007,no-eggs,
1008,no-eggs,
1009,no-eggs,
1010,no-eggs,
1011,plant,dragon
1012,mineral,indeterminate
1013,mineral,indeterminate
1014,no-eggs,
1015,no-eggs,
1016,no-eggs,
1017,no-eggs,
1018,mineral,dragon
1019,plant,dragon
1020,no-eggs,
1021,no-eggs,
1022,no-eggs,
1023,no-eggs,
1024,no-eggs,
1025,no-eggs,
