pokemon,version_group,method,move,level,order,mastery
vulpix,legends-arceus,tutor,mystical-fire,0,,
vulpix,legends-arceus,tutor,energy-ball,0,,
vulpix,legends-arceus,tutor,flamethrower,0,,
vulpix,legends-arceus,tutor,dark-pulse,0,,
ninetales,legends-arceus,level-up,ember,1,,9
ninetales,legends-arceus,level-up,quick-attack,5,,14
ninetales,legends-arceus,level-up,nasty-plot,9,,18
ninetales,legends-arceus,level-up,flame-wheel,15,,25
ninetales,legends-arceus,level-up,hex,21,,31
ninetales,legends-arceus,level-up,extrasensory,29,,40
ninetales,legends-arceus,level-up,flamethrower,37,,48
ninetales,legends-arceus,level-up,fire-blast,47,,59
ninetales,legends-arceus,tutor,swift,0,,
ninetales,legends-arceus,tutor,ominous-wind,0,,
ninetales,legends-arceus,tutor,calm-mind,0,,
ninetales,legends-arceus,tutor,rest,0,,
ninetales,legends-arceus,tutor,baby-doll-eyes,0,,
ninetales,legends-arceus,tutor,zen-headbutt,0,,
ninetales,legends-arceus,tutor,iron-tail,0,,
ninetales,legends-arceus,tutor,mystical-fire,0,,
ninetales,legends-arceus,tutor,energy-ball,0,,
ninetales,legends-arceus,tutor,shadow-ball,0,,
ninetales,legends-arceus,tutor,giga-impact,0,,
ninetales,legends-arceus,tutor,hyper-beam,0,,
ninetales,legends-arceus,tutor,flamethrower,0,,
ninetales,legends-arceus,tutor,dark-pulse,0,,
zubat,legends-arceus,level-up,gust,1,,10
zubat,legends-arceus,level-up,hypnosis,6,,15
zubat,legends-arceus,level-up,bite,11,,20
zubat,legends-arceus,level-up,air-cutter,18,,28
zubat,legends-arceus,level-up,cross-poison,25,,35
zubat,legends-arceus,level-up,air-slash,34,,45
zubat,legends-arceus,level-up,leech-life,43,,54
golbat,legends-arceus,level-up,gust,1,,10
golbat,legends-arceus,level-up,hypnosis,6,,15
golbat,legends-arceus,level-up,bite,11,,20
golbat,legends-arceus,level-up,air-cutter,18,,28
golbat,legends-arceus,level-up,cross-poison,25,,35
golbat,legends-arceus,level-up,air-slash,34,,45
golbat,legends-arceus,level-up,leech-life,43,,54
paras,legends-arceus,level-up,absorb,1,,9
paras,legends-arceus,level-up,stun-spore,5,,14
paras,legends-arceus,level-up,poison-powder,9,,18
paras,legends-arceus,level-up,venoshock,15,,25
paras,legends-arceus,level-up,slash,21,,31
paras,legends-arceus,level-up,spore,29,,40
paras,legends-arceus,level-up,x-scissor,37,,48
paras,legends-arceus,level-up,energy-ball,47,,59
parasect,legends-arceus,level-up,absorb,1,,9
parasect,legends-arceus,level-up,stun-spore,5,,14
parasect,legends-arceus,level-up,poison-powder,9,,18
parasect,legends-arceus,level-up,venoshock,15,,25
parasect,legends-arceus,level-up,slash,21,,31
parasect,legends-arceus,level-up,spore,29,,40
parasect,legends-arceus,level-up,x-scissor,37,,48
parasect,legends-arceus,level-up,energy-ball,47,,59
psyduck,legends-arceus,level-up,bubble,1,,10
psyduck,legends-arceus,level-up,confusion,6,,15
psyduck,legends-arceus,level-up,water-pulse,11,,20
psyduck,legends-arceus,level-up,hypnosis,18,,28
psyduck,legends-arceus,level-up,zen-headbutt,25,,35
psyduck,legends-arceus,level-up,aqua-tail,34,,45
psyduck,legends-arceus,level-up,hydro-pump,43,,54
golduck,legends-arceus,level-up,bubble,1,,10
golduck,legends-arceus,level-up,confusion,6,,15
golduck,legends-arceus,level-up,water-pulse,11,,20
golduck,legends-arceus,level-up,hypnosis,18,,28
golduck,legends-arceus,level-up,zen-headbutt,25,,35
golduck,legends-arceus,level-up,aqua-tail,34,,45
golduck,legends-arceus,level-up,hydro-pump,43,,54
abra,legends-arceus,level-up,teleport,1,,
kadabra,legends-arceus,level-up,confusion,0,,15
kadabra,legends-arceus,level-up,teleport,1,,
kadabra,legends-arceus,level-up,hypnosis,6,,15
kadabra,legends-arceus,level-up,calm-mind,11,,20
kadabra,legends-arceus,level-up,psycho-cut,18,,28
kadabra,legends-arceus,level-up,zen-headbutt,25,,35
kadabra,legends-arceus,level-up,recover,34,,45
kadabra,legends-arceus,level-up,psychic,43,,54
alakazam,legends-arceus,level-up,teleport,1,,
alakazam,legends-arceus,level-up,hypnosis,6,,15
alakazam,legends-arceus,level-up,confusion,6,,15
alakazam,legends-arceus,level-up,calm-mind,11,,20
alakazam,legends-arceus,level-up,psycho-cut,18,,28
alakazam,legends-arceus,level-up,zen-headbutt,25,,35
alakazam,legends-arceus,level-up,recover,34,,45
alakazam,legends-arceus,level-up,psychic,43,,54
machop,legends-arceus,level-up,tackle,1,,10
machop,legends-arceus,level-up,rock-smash,6,,15
machop,legends-arceus,level-up,bullet-punch,11,,20
machop,legends-arceus,level-up,double-hit,18,,28
machop,legends-arceus,level-up,mach-punch,22,,32
machop,legends-arceus,level-up,bulk-up,25,,35
machop,legends-arceus,level-up,double-edge,34,,45
machop,legends-arceus,level-up,close-combat,43,,54
machoke,legends-arceus,level-up,tackle,1,,10
machoke,legends-arceus,level-up,rock-smash,6,,15
machoke,legends-arceus,level-up,bullet-punch,11,,20
machoke,legends-arceus,level-up,double-hit,18,,28
machoke,legends-arceus,level-up,mach-punch,22,,32
machoke,legends-arceus,level-up,bulk-up,25,,35
machoke,legends-arceus,level-up,double-edge,34,,45
machoke,legends-arceus,level-up,close-combat,43,,54
machamp,legends-arceus,level-up,tackle,1,,10
machamp,legends-arceus,level-up,rock-smash,6,,15
machamp,legends-arceus,level-up,bullet-punch,11,,20
machamp,legends-arceus,level-up,double-hit,18,,28
machamp,legends-arceus,level-up,mach-punch,22,,32
machamp,legends-arceus,level-up,bulk-up,25,,35
machamp,legends-arceus,level-up,drain-punch,30,,41
machamp,legends-arceus,level-up,double-edge,34,,45
machamp,legends-arceus,level-up,close-combat,43,,54
tentacool,legends-arceus,level-up,poison-sting,1,,10
tentacool,legends-arceus,level-up,bubble,6,,15
tentacool,legends-arceus,level-up,water-pulse,11,,20
tentacool,legends-arceus,level-up,hex,18,,28
tentacool,legends-arceus,level-up,poison-jab,25,,35
tentacool,legends-arceus,level-up,acid-armor,34,,45
tentacool,legends-arceus,level-up,hydro-pump,43,,54
tentacruel,legends-arceus,level-up,poison-sting,1,,10
tentacruel,legends-arceus,level-up,bubble,6,,15
tentacruel,legends-arceus,level-up,water-pulse,11,,20
tentacruel,legends-arceus,level-up,hex,18,,28
tentacruel,legends-arceus,level-up,poison-jab,25,,35
tentacruel,legends-arceus,level-up,acid-armor,34,,45
tentacruel,legends-arceus,level-up,hydro-pump,43,,54
geodude,legends-arceus,level-up,rollout,1,,9
geodude,legends-arceus,level-up,tackle,5,,14
geodude,legends-arceus,level-up,mud-slap,9,,18
geodude,legends-arceus,level-up,iron-defense,15,,25
geodude,legends-arceus,level-up,rock-slide,21,,31
geodude,legends-arceus,level-up,bulldoze,26,,35
geodude,legends-arceus,level-up,stealth-rock,29,,40
geodude,legends-arceus,level-up,double-edge,37,,48
geodude,legends-arceus,level-up,self-destruct,47,,59
graveler,legends-arceus,level-up,rollout,1,,9
graveler,legends-arceus,level-up,tackle,5,,14
graveler,legends-arceus,level-up,mud-slap,9,,18
graveler,legends-arceus,level-up,iron-defense,15,,25
graveler,legends-arceus,level-up,rock-slide,21,,31
graveler,legends-arceus,level-up,bulldoze,26,,35
graveler,legends-arceus,level-up,stealth-rock,29,,40
graveler,legends-arceus,level-up,double-edge,37,,48
graveler,legends-arceus,level-up,self-destruct,47,,59
golem,legends-arceus,level-up,rollout,1,,9
golem,legends-arceus,level-up,tackle,5,,14
golem,legends-arceus,level-up,mud-slap,9,,18
golem,legends-arceus,level-up,iron-defense,15,,25
golem,legends-arceus,level-up,rock-slide,21,,31
golem,legends-arceus,level-up,bulldoze,26,,35
golem,legends-arceus,level-up,stealth-rock,29,,40
golem,legends-arceus,level-up,double-edge,37,,48
golem,legends-arceus,level-up,self-destruct,47,,59
golem,legends-arceus,level-up,stone-edge,57,,71
ponyta,legends-arceus,level-up,tackle,1,,9
ponyta,legends-arceus,level-up,ember,5,,14
ponyta,legends-arceus,level-up,double-hit,9,,18
ponyta,legends-arceus,level-up,flame-wheel,15,,25
ponyta,legends-arceus,level-up,hypnosis,21,,31
ponyta,legends-arceus,level-up,fire-blast,29,,40
ponyta,legends-arceus,level-up,double-edge,37,,48
ponyta,legends-arceus,level-up,flare-blitz,47,,59
rapidash,legends-arceus,level-up,tackle,1,,9
rapidash,legends-arceus,level-up,ember,5,,14
rapidash,legends-arceus,level-up,double-hit,9,,18
rapidash,legends-arceus,level-up,flame-wheel,15,,25
rapidash,legends-arceus,level-up,hypnosis,21,,31
rapidash,legends-arceus,level-up,fire-blast,29,,40
rapidash,legends-arceus,level-up,double-edge,37,,48
rapidash,legends-arceus,level-up,flare-blitz,47,,59
magnemite,legends-arceus,level-up,thunder-shock,1,,10
magnemite,legends-arceus,level-up,tackle,6,,15
magnemite,legends-arceus,level-up,thunder-wave,11,,20
magnemite,legends-arceus,level-up,spark,18,,28
magnemite,legends-arceus,level-up,flash-cannon,25,,35
magnemite,legends-arceus,level-up,thunderbolt,34,,45
magnemite,legends-arceus,level-up,thunder,43,,54
magneton,legends-arceus,level-up,thunder-shock,1,,10
magneton,legends-arceus,level-up,tackle,6,,15
magneton,legends-arceus,level-up,thunder-wave,11,,20
magneton,legends-arceus,level-up,spark,18,,28
magneton,legends-arceus,level-up,flash-cannon,25,,35
magneton,legends-arceus,level-up,tri-attack,25,,35
magneton,legends-arceus,level-up,thunderbolt,34,,45
magneton,legends-arceus,level-up,thunder,43,,54
gastly,legends-arceus,level-up,astonish,1,,10
gastly,legends-arceus,level-up,poison-gas,6,,15
gastly,legends-arceus,level-up,hex,11,,20
gastly,legends-arceus,level-up,venoshock,18,,28
gastly,legends-arceus,level-up,hypnosis,25,,35
gastly,legends-arceus,level-up,dark-pulse,34,,45
gastly,legends-arceus,level-up,shadow-ball,43,,54
haunter,legends-arceus,level-up,astonish,1,,10
haunter,legends-arceus,level-up,poison-gas,6,,15
haunter,legends-arceus,level-up,hex,11,,20
haunter,legends-arceus,level-up,venoshock,18,,28
haunter,legends-arceus,level-up,hypnosis,25,,35
haunter,legends-arceus,level-up,dark-pulse,34,,45
haunter,legends-arceus,level-up,shadow-ball,43,,54
gengar,legends-arceus,level-up,astonish,1,,10
gengar,legends-arceus,level-up,poison-gas,6,,15
gengar,legends-arceus,level-up,hex,11,,20
gengar,legends-arceus,level-up,venoshock,18,,28
gengar,legends-arceus,level-up,hypnosis,25,,35
gengar,legends-arceus,level-up,dark-pulse,34,,45
gengar,legends-arceus,level-up,shadow-ball,43,,54
onix,legends-arceus,level-up,rollout,1,,10
onix,legends-arceus,level-up,tackle,6,,15
onix,legends-arceus,level-up,bulldoze,11,,20
onix,legends-arceus,level-up,rock-slide,18,,28
onix,legends-arceus,level-up,stealth-rock,25,,35
onix,legends-arceus,level-up,high-horsepower,34,,45
onix,legends-arceus,level-up,iron-tail,43,,54
lickitung,legends-arceus,level-up,tackle,1,,10
lickitung,legends-arceus,level-up,rest,6,,15
lickitung,legends-arceus,level-up,bulldoze,11,,20
lickitung,legends-arceus,level-up,zen-headbutt,18,,28
lickitung,legends-arceus,level-up,double-edge,25,,35
lickitung,legends-arceus,level-up,rollout,34,,45
lickitung,legends-arceus,level-up,giga-impact,43,,54
rhyhorn,legends-arceus,level-up,tackle,1,,10
rhyhorn,legends-arceus,level-up,bulldoze,6,,15
rhyhorn,legends-arceus,level-up,rock-smash,11,,20
rhyhorn,legends-arceus,level-up,stealth-rock,18,,28
rhyhorn,legends-arceus,level-up,rock-slide,25,,35
rhyhorn,legends-arceus,level-up,high-horsepower,34,,45
rhyhorn,legends-arceus,level-up,double-edge,43,,54
rhyhorn,legends-arceus,level-up,giga-impact,52,,64
rhydon,legends-arceus,level-up,tackle,1,,10
rhydon,legends-arceus,level-up,bulldoze,6,,15
rhydon,legends-arceus,level-up,rock-smash,11,,20
rhydon,legends-arceus,level-up,stealth-rock,18,,28
rhydon,legends-arceus,level-up,rock-slide,25,,35
rhydon,legends-arceus,level-up,high-horsepower,34,,45
rhydon,legends-arceus,level-up,double-edge,43,,54
rhydon,legends-arceus,level-up,giga-impact,52,,64
chansey,legends-arceus,level-up,tackle,1,,10
chansey,legends-arceus,level-up,fairy-wind,6,,15
chansey,legends-arceus,level-up,baby-doll-eyes,11,,20
chansey,legends-arceus,level-up,draining-kiss,18,,28
chansey,legends-arceus,level-up,calm-mind,25,,35
chansey,legends-arceus,level-up,soft-boiled,34,,45
chansey,legends-arceus,level-up,double-edge,43,,54
tangela,legends-arceus,level-up,absorb,1,,10
tangela,legends-arceus,level-up,stun-spore,6,,15
tangela,legends-arceus,level-up,poison-powder,11,,20
tangela,legends-arceus,level-up,acid-spray,15,,24
tangela,legends-arceus,level-up,double-hit,18,,28
tangela,legends-arceus,level-up,energy-ball,25,,35
tangela,legends-arceus,level-up,ancient-power,34,,45
tangela,legends-arceus,level-up,sleep-powder,43,,54
mr-mime,legends-arceus,level-up,confusion,1,,10
mr-mime,legends-arceus,level-up,hypnosis,6,,15
mr-mime,legends-arceus,level-up,iron-defense,11,,20
mr-mime,legends-arceus,level-up,zen-headbutt,18,,28
mr-mime,legends-arceus,level-up,mimic,25,,
mr-mime,legends-arceus,level-up,psychic,34,,45
mr-mime,legends-arceus,level-up,calm-mind,43,,54
mr-mime,legends-arceus,level-up,dazzling-gleam,46,,58
scyther,legends-arceus,level-up,quick-attack,1,,10
scyther,legends-arceus,level-up,silver-wind,6,,15
scyther,legends-arceus,level-up,aerial-ace,11,,20
scyther,legends-arceus,level-up,double-hit,14,,24
scyther,legends-arceus,level-up,air-slash,18,,28
scyther,legends-arceus,level-up,swords-dance,25,,35
scyther,legends-arceus,level-up,x-scissor,34,,45
scyther,legends-arceus,level-up,close-combat,43,,54
electabuzz,legends-arceus,level-up,thunder-shock,1,,10
electabuzz,legends-arceus,level-up,quick-attack,6,,15
electabuzz,legends-arceus,level-up,spark,11,,20
electabuzz,legends-arceus,level-up,thunder-wave,18,,28
electabuzz,legends-arceus,level-up,thunder-punch,25,,35
electabuzz,legends-arceus,level-up,thunderbolt,34,,45
electabuzz,legends-arceus,level-up,thunder,43,,54
magmar,legends-arceus,level-up,ember,1,,10
magmar,legends-arceus,level-up,tackle,6,,15
magmar,legends-arceus,level-up,flame-wheel,11,,20
magmar,legends-arceus,level-up,poison-gas,18,,28
magmar,legends-arceus,level-up,fire-punch,25,,35
magmar,legends-arceus,level-up,flamethrower,34,,45
magmar,legends-arceus,level-up,fire-blast,43,,54
magikarp,legends-arceus,level-up,splash,1,,
gyarados,legends-arceus,level-up,water-pulse,0,,18
gyarados,legends-arceus,level-up,splash,1,,
gyarados,legends-arceus,level-up,twister,5,,14
gyarados,legends-arceus,level-up,bite,9,,18
gyarados,legends-arceus,level-up,focus-energy,15,,25
gyarados,legends-arceus,level-up,crunch,21,,31
gyarados,legends-arceus,level-up,aqua-tail,29,,40
gyarados,legends-arceus,level-up,hurricane,37,,48
gyarados,legends-arceus,level-up,hydro-pump,47,,59
gyarados,legends-arceus,level-up,hyper-beam,57,,71
eevee,legends-arceus,level-up,tackle,1,,10
eevee,legends-arceus,level-up,quick-attack,6,,15
eevee,legends-arceus,level-up,swift,11,,20
eevee,legends-arceus,level-up,baby-doll-eyes,18,,28
eevee,legends-arceus,level-up,mimic,25,,
eevee,legends-arceus,level-up,calm-mind,34,,45
eevee,legends-arceus,level-up,double-edge,43,,54
vaporeon,legends-arceus,level-up,bubble,0,,15
vaporeon,legends-arceus,level-up,tackle,1,,10
vaporeon,legends-arceus,level-up,quick-attack,6,,15
vaporeon,legends-arceus,level-up,swift,11,,20
vaporeon,legends-arceus,level-up,baby-doll-eyes,18,,28
vaporeon,legends-arceus,level-up,mimic,25,,
vaporeon,legends-arceus,level-up,aqua-tail,25,,35
vaporeon,legends-arceus,level-up,calm-mind,34,,45
vaporeon,legends-arceus,level-up,double-edge,43,,54
jolteon,legends-arceus,level-up,thunder-shock,0,,15
jolteon,legends-arceus,level-up,tackle,1,,10
jolteon,legends-arceus,level-up,quick-attack,6,,15
jolteon,legends-arceus,level-up,swift,11,,20
jolteon,legends-arceus,level-up,baby-doll-eyes,18,,28
jolteon,legends-arceus,level-up,mimic,25,,
jolteon,legends-arceus,level-up,thunderbolt,25,,35
jolteon,legends-arceus,level-up,calm-mind,34,,45
jolteon,legends-arceus,level-up,double-edge,43,,54
flareon,legends-arceus,level-up,ember,0,,15
flareon,legends-arceus,level-up,tackle,1,,10
flareon,legends-arceus,level-up,quick-attack,6,,15
flareon,legends-arceus,level-up,swift,11,,20
flareon,legends-arceus,level-up,baby-doll-eyes,18,,28
flareon,legends-arceus,level-up,mimic,25,,
flareon,legends-arceus,level-up,flamethrower,25,,35
flareon,legends-arceus,level-up,calm-mind,34,,45
flareon,legends-arceus,level-up,double-edge,43,,54
porygon,legends-arceus,level-up,tackle,1,,9
porygon,legends-arceus,level-up,thunder-shock,5,,14
porygon,legends-arceus,level-up,thunder-wave,9,,18
porygon,legends-arceus,level-up,spark,15,,25
porygon,legends-arceus,level-up,tri-attack,21,,31
porygon,legends-arceus,level-up,thunderbolt,29,,40
porygon,legends-arceus,level-up,recover,37,,48
porygon,legends-arceus,level-up,hyper-beam,47,,59
snorlax,legends-arceus,level-up,rollout,1,,9
snorlax,legends-arceus,level-up,tackle,5,,14
snorlax,legends-arceus,level-up,rest,9,,18
snorlax,legends-arceus,level-up,bulldoze,15,,25
snorlax,legends-arceus,level-up,bite,21,,31
snorlax,legends-arceus,level-up,zen-headbutt,29,,40
snorlax,legends-arceus,level-up,crunch,35,,45
snorlax,legends-arceus,level-up,high-horsepower,37,,48
snorlax,legends-arceus,level-up,double-edge,46,,58
snorlax,legends-arceus,level-up,giga-impact,57,,71
cyndaquil,legends-arceus,level-up,quick-attack,1,,10
cyndaquil,legends-arceus,level-up,ember,6,,15
cyndaquil,legends-arceus,level-up,rollout,11,,20
cyndaquil,legends-arceus,level-up,flame-wheel,18,,28
cyndaquil,legends-arceus,level-up,swift,25,,35
cyndaquil,legends-arceus,level-up,flamethrower,34,,45
cyndaquil,legends-arceus,level-up,overheat,43,,54
quilava,legends-arceus,level-up,quick-attack,1,,10
quilava,legends-arceus,level-up,ember,6,,15
quilava,legends-arceus,level-up,rollout,11,,20
quilava,legends-arceus,level-up,flame-wheel,18,,28
quilava,legends-arceus,level-up,swift,25,,35
quilava,legends-arceus,level-up,flamethrower,34,,45
quilava,legends-arceus,level-up,overheat,43,,54
crobat,legends-arceus,level-up,gust,1,,10
crobat,legends-arceus,level-up,hypnosis,6,,15
crobat,legends-arceus,level-up,bite,11,,20
crobat,legends-arceus,level-up,air-cutter,18,,28
crobat,legends-arceus,level-up,cross-poison,25,,35
crobat,legends-arceus,level-up,air-slash,34,,45
crobat,legends-arceus,level-up,leech-life,43,,54
pichu,legends-arceus,level-up,thunder-shock,1,,9
pichu,legends-arceus,level-up,quick-attack,5,,14
pichu,legends-arceus,level-up,thunder-wave,9,,18
pichu,legends-arceus,level-up,swift,15,,25
pichu,legends-arceus,level-up,spark,21,,31
pichu,legends-arceus,level-up,thunderbolt,29,,40
pichu,legends-arceus,level-up,iron-tail,37,,48
pichu,legends-arceus,level-up,thunder,47,,59
cleffa,legends-arceus,level-up,tackle,1,,9
cleffa,legends-arceus,level-up,fairy-wind,5,,14
cleffa,legends-arceus,level-up,baby-doll-eyes,9,,18
cleffa,legends-arceus,level-up,draining-kiss,15,,25
cleffa,legends-arceus,level-up,calm-mind,21,,31
cleffa,legends-arceus,level-up,psychic,29,,40
cleffa,legends-arceus,level-up,moonblast,37,,48
cleffa,legends-arceus,level-up,double-edge,47,,59
togepi,legends-arceus,level-up,tackle,1,,10
togepi,legends-arceus,level-up,fairy-wind,6,,15
togepi,legends-arceus,level-up,draining-kiss,11,,20
togepi,legends-arceus,level-up,calm-mind,18,,28
togepi,legends-arceus,level-up,baby-doll-eyes,25,,35
togepi,legends-arceus,level-up,extrasensory,34,,45
togepi,legends-arceus,level-up,moonblast,43,,54
togetic,legends-arceus,level-up,air-cutter,0,,20
togetic,legends-arceus,level-up,tackle,1,,10
togetic,legends-arceus,level-up,fairy-wind,6,,15
togetic,legends-arceus,level-up,draining-kiss,11,,20
togetic,legends-arceus,level-up,calm-mind,18,,28
togetic,legends-arceus,level-up,baby-doll-eyes,25,,35
togetic,legends-arceus,level-up,air-slash,25,,35
togetic,legends-arceus,level-up,extrasensory,34,,45
togetic,legends-arceus,level-up,moonblast,43,,54
sudowoodo,legends-arceus,level-up,rollout,1,,9
sudowoodo,legends-arceus,level-up,tackle,5,,14
sudowoodo,legends-arceus,level-up,stealth-rock,9,,18
sudowoodo,legends-arceus,level-up,rock-slide,15,,25
sudowoodo,legends-arceus,level-up,iron-defense,21,,31
sudowoodo,legends-arceus,level-up,mimic,29,,
sudowoodo,legends-arceus,level-up,double-edge,37,,48
sudowoodo,legends-arceus,level-up,head-smash,47,,59
sudowoodo,legends-arceus,level-up,wood-hammer,57,,71
aipom,legends-arceus,level-up,quick-attack,1,,10
aipom,legends-arceus,level-up,nasty-plot,6,,15
aipom,legends-arceus,level-up,swift,11,,20
aipom,legends-arceus,level-up,mud-bomb,18,,28
aipom,legends-arceus,level-up,double-hit,25,,35
aipom,legends-arceus,level-up,iron-tail,34,,45
aipom,legends-arceus,level-up,double-edge,43,,54
yanma,legends-arceus,level-up,quick-attack,1,,10
yanma,legends-arceus,level-up,gust,6,,15
yanma,legends-arceus,level-up,silver-wind,11,,20
yanma,legends-arceus,level-up,hypnosis,18,,28
yanma,legends-arceus,level-up,air-slash,25,,35
yanma,legends-arceus,level-up,ancient-power,34,,45
yanma,legends-arceus,level-up,bug-buzz,43,,54
espeon,legends-arceus,level-up,confusion,0,,15
espeon,legends-arceus,level-up,tackle,1,,10
espeon,legends-arceus,level-up,quick-attack,6,,15
espeon,legends-arceus,level-up,swift,11,,20
espeon,legends-arceus,level-up,baby-doll-eyes,18,,28
espeon,legends-arceus,level-up,mimic,25,,
espeon,legends-arceus,level-up,psychic,25,,35
espeon,legends-arceus,level-up,calm-mind,34,,45
espeon,legends-arceus,level-up,double-edge,43,,54
umbreon,legends-arceus,level-up,snarl,0,,15
umbreon,legends-arceus,level-up,tackle,1,,10
umbreon,legends-arceus,level-up,quick-attack,6,,15
umbreon,legends-arceus,level-up,swift,11,,20
umbreon,legends-arceus,level-up,baby-doll-eyes,18,,28
umbreon,legends-arceus,level-up,mimic,25,,
umbreon,legends-arceus,level-up,dark-pulse,25,,35
umbreon,legends-arceus,level-up,calm-mind,34,,45
umbreon,legends-arceus,level-up,double-edge,43,,54
murkrow,legends-arceus,level-up,gust,1,,10
murkrow,legends-arceus,level-up,snarl,6,,15
murkrow,legends-arceus,level-up,roost,11,,20
murkrow,legends-arceus,level-up,aerial-ace,18,,28
murkrow,legends-arceus,level-up,night-slash,25,,35
murkrow,legends-arceus,level-up,air-slash,30,,41
murkrow,legends-arceus,level-up,nasty-plot,34,,45
murkrow,legends-arceus,level-up,dark-pulse,43,,54
misdreavus,legends-arceus,level-up,shadow-sneak,1,,10
misdreavus,legends-arceus,level-up,confusion,6,,15
misdreavus,legends-arceus,level-up,hypnosis,11,,20
misdreavus,legends-arceus,level-up,hex,18,,28
misdreavus,legends-arceus,level-up,extrasensory,25,,35
misdreavus,legends-arceus,level-up,power-gem,34,,45
misdreavus,legends-arceus,level-up,shadow-ball,43,,54
unown,legends-arceus,level-up,hidden-power,1,,10
gligar,legends-arceus,level-up,poison-sting,1,,10
gligar,legends-arceus,level-up,quick-attack,6,,15
gligar,legends-arceus,level-up,aerial-ace,11,,20
gligar,legends-arceus,level-up,mud-bomb,18,,28
gligar,legends-arceus,level-up,slash,25,,35
gligar,legends-arceus,level-up,poison-jab,34,,45
gligar,legends-arceus,level-up,x-scissor,43,,54
steelix,legends-arceus,level-up,rollout,1,,10
steelix,legends-arceus,level-up,tackle,6,,15
steelix,legends-arceus,level-up,bulldoze,11,,20
steelix,legends-arceus,level-up,rock-slide,18,,28
steelix,legends-arceus,level-up,stealth-rock,25,,35
steelix,legends-arceus,level-up,high-horsepower,34,,45
steelix,legends-arceus,level-up,iron-tail,43,,54
scizor,legends-arceus,level-up,quick-attack,1,,10
scizor,legends-arceus,level-up,silver-wind,6,,15
scizor,legends-arceus,level-up,aerial-ace,11,,20
scizor,legends-arceus,level-up,double-hit,14,,24
scizor,legends-arceus,level-up,air-slash,18,,28
scizor,legends-arceus,level-up,swords-dance,25,,35
scizor,legends-arceus,level-up,bullet-punch,29,,40
scizor,legends-arceus,level-up,iron-head,34,,45
scizor,legends-arceus,level-up,x-scissor,34,,45
scizor,legends-arceus,level-up,close-combat,43,,54
heracross,legends-arceus,level-up,tackle,1,,9
heracross,legends-arceus,level-up,rock-smash,5,,14
heracross,legends-arceus,level-up,pin-missile,9,,18
heracross,legends-arceus,level-up,aerial-ace,15,,25
heracross,legends-arceus,level-up,slash,21,,31
heracross,legends-arceus,level-up,swords-dance,29,,40
heracross,legends-arceus,level-up,double-edge,37,,48
heracross,legends-arceus,level-up,close-combat,47,,59
heracross,legends-arceus,level-up,megahorn,57,,71
sneasel,legends-arceus,level-up,quick-attack,1,,10
sneasel,legends-arceus,level-up,ice-shard,6,,15
sneasel,legends-arceus,level-up,swift,11,,20
