move,category,ailment,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
hyper-beam,damage,none,,,,,0,0,0,0,0,0
peck,damage,none,,,,,0,0,0,0,0,0
drill-peck,damage,none,,,,,0,0,0,0,0,0
submission,damage,none,,,,,-25,0,0,0,0,0
low-kick,damage,none,,,,,0,0,0,0,0,0
counter,damage,none,,,,,0,0,0,0,0,0
seismic-toss,damage,none,,,,,0,0,0,0,0,0
strength,damage,none,,,,,0,0,0,0,0,0
absorb,damage-heal,none,,,,,50,0,0,0,0,0
mega-drain,damage-heal,none,,,,,50,0,0,0,0,0
leech-seed,ailment,leech-seed,,,,,0,0,0,0,0,0
growth,net-good-stats,none,,,,,0,0,0,0,0,0
razor-leaf,damage,none,,,,,0,0,1,0,0,0
solar-beam,damage,none,,,,,0,0,0,0,0,0
poison-powder,ailment,poison,,,,,0,0,0,0,0,0
stun-spore,ailment,paralysis,,,,,0,0,0,0,0,0
sleep-powder,ailment,sleep,,,2,4,0,0,0,0,0,0
petal-dance,damage,none,,,,,0,0,0,0,0,0
string-shot,net-good-stats,none,,,,,0,0,0,0,0,0
dragon-rage,damage,none,,,,,0,0,0,0,0,0
fire-spin,damage-ailment,trap,,,5,6,0,0,0,100,0,0
thunder-shock,damage-ailment,paralysis,,,,,0,0,0,10,0,0
thunderbolt,damage-ailment,paralysis,,,,,0,0,0,10,0,0
thunder-wave,ailment,paralysis,,,,,0,0,0,0,0,0
thunder,damage-ailment,paralysis,,,,,0,0,0,30,0,0
rock-throw,damage,none,,,,,0,0,0,0,0,0
earthquake,damage,none,,,,,0,0,0,0,0,0
fissure,ohko,none,,,,,0,0,0,0,0,0
dig,damage,none,,,,,0,0,0,0,0,0
toxic,ailment,poison,,,15,15,0,0,0,0,0,0
confusion,damage-ailment,confusion,,,2,5,0,0,0,10,0,0
psychic,damage-lower,none,,,,,0,0,0,0,0,10
hypnosis,ailment,sleep,,,2,4,0,0,0,0,0,0
meditate,net-good-stats,none,,,,,0,0,0,0,0,0
agility,net-good-stats,none,,,,,0,0,0,0,0,0
quick-attack,damage,none,,,,,0,0,0,0,0,0
rage,damage,none,,,,,0,0,0,0,0,0
teleport,unique,none,,,,,0,0,0,0,0,0
night-shade,damage,none,,,,,0,0,0,0,0,0
mimic,unique,none,,,,,0,0,0,0,0,0
screech,net-good-stats,none,,,,,0,0,0,0,0,0
double-team,net-good-stats,none,,,,,0,0,0,0,0,0
recover,heal,none,,,,,0,50,0,0,0,0
harden,net-good-stats,none,,,,,0,0,0,0,0,0
minimize,net-good-stats,none,,,,,0,0,0,0,0,0
smokescreen,net-good-stats,none,,,,,0,0,0,0,0,0
confuse-ray,ailment,confusion,,,2,5,0,0,0,0,0,0
withdraw,net-good-stats,none,,,,,0,0,0,0,0,0
defense-curl,net-good-stats,none,,,,,0,0,0,0,0,0
barrier,net-good-stats,none,,,,,0,0,0,0,0,0
light-screen,field-effect,none,,,,,0,0,0,0,0,0
haze,whole-field-effect,none,,,,,0,0,0,0,0,0
reflect,field-effect,none,,,,,0,0,0,0,0,0
focus-energy,unique,none,,,,,0,0,0,0,0,0
bide,damage,none,,,,,0,0,0,0,0,0
metronome,unique,none,,,,,0,0,0,0,0,0
mirror-move,unique,none,,,,,0,0,0,0,0,0
self-destruct,damage,none,,,,,0,0,0,0,0,0
egg-bomb,damage,none,,,,,0,0,0,0,0,0
lick,damage-ailment,paralysis,,,,,0,0,0,30,0,0
smog,damage-ailment,poison,,,,,0,0,0,40,0,0
sludge,damage-ailment,poison,,,,,0,0,0,30,0,0
bone-club,damage,none,,,,,0,0,0,0,10,0
fire-blast,damage-ailment,burn,,,,,0,0,0,10,0,0
waterfall,damage,none,,,,,0,0,0,0,20,0
clamp,damage-ailment,trap,,,5,6,0,0,0,100,0,0
swift,damage,none,,,,,0,0,0,0,0,0
skull-bash,damage,none,,,,,0,0,0,100,0,0
spike-cannon,damage,none,2,5,,,0,0,0,0,0,0
constrict,damage-lower,none,,,,,0,0,0,0,0,10
amnesia,net-good-stats,none,,,,,0,0,0,0,0,0
kinesis,net-good-stats,none,,,,,0,0,0,0,0,0
soft-boiled,heal,none,,,,,0,50,0,0,0,0
high-jump-kick,damage,none,,,,,0,0,0,0,0,0
glare,ailment,paralysis,,,,,0,0,0,0,0,0
dream-eater,damage-heal,none,,,,,50,0,0,0,0,0
poison-gas,ailment,poison,,,,,0,0,0,0,0,0
barrage,damage,none,2,5,,,0,0,0,0,0,0
leech-life,damage-heal,none,,,,,50,0,0,0,0,0
lovely-kiss,ailment,sleep,,,2,4,0,0,0,0,0,0
sky-attack,damage,none,,,,,0,0,1,0,30,0
transform,unique,none,,,,,0,0,0,0,0,0
bubble,damage-lower,none,,,,,0,0,0,0,0,10
dizzy-punch,damage-ailment,confusion,,,2,5,0,0,0,20,0,0
spore,ailment,sleep,,,2,4,0,0,0,0,0,0
flash,net-good-stats,none,,,,,0,0,0,0,0,0
psywave,damage,none,,,,,0,0,0,0,0,0
splash,unique,none,,,,,0,0,0,0,0,0
acid-armor,net-good-stats,none,,,,,0,0,0,0,0,0
crabhammer,damage,none,,,,,0,0,1,0,0,0
explosion,damage,none,,,,,0,0,0,0,0,0
fury-swipes,damage,none,2,5,,,0,0,0,0,0,0
bonemerang,damage,none,2,2,,,0,0,0,0,0,0
rest,unique,none,,,,,0,0,0,0,0,0
rock-slide,damage,none,,,,,0,0,0,0,30,0
hyper-fang,damage,none,,,,,0,0,0,0,10,0
sharpen,net-good-stats,none,,,,,0,0,0,0,0,0
conversion,unique,none,,,,,0,0,0,0,0,0
tri-attack,damage-ailment,unknown,,,,,0,0,0,20,0,0
super-fang,damage,none,,,,,0,0,0,0,0,0
slash,damage,none,,,,,0,0,1,0,0,0
substitute,unique,none,,,,,0,0,0,0,0,0
struggle,damage,none,,,,,0,-25,0,0,0,0
sketch,unique,none,,,,,0,0,0,0,0,0
triple-kick,damage,none,3,3,,,0,0,0,0,0,0
thief,damage,none,,,,,0,0,0,0,0,0
spider-web,unique,none,,,,,0,0,0,0,0,0
mind-reader,unique,none,,,,,0,0,0,0,0,0
nightmare,ailment,nightmare,,,,,0,0,0,0,0,0
flame-wheel,damage-ailment,burn,,,,,0,0,0,10,0,0
snore,damage,none,,,,,0,0,0,0,30,0
curse,unique,none,,,,,0,0,0,0,0,0
flail,damage,none,,,,,0,0,0,0,0,0
conversion-2,unique,none,,,,,0,0,0,0,0,0
aeroblast,damage,none,,,,,0,0,1,0,0,0
cotton-spore,net-good-stats,none,,,,,0,0,0,0,0,0
reversal,damage,none,,,,,0,0,0,0,0,0
spite,unique,none,,,,,0,0,0,0,0,0
powder-snow,damage-ailment,freeze,,,,,0,0,0,10,0,0
protect,unique,protect,,,,,0,0,0,0,0,0
mach-punch,damage,none,,,,,0,0,0,0,0,0
scary-face,net-good-stats,none,,,,,0,0,0,0,0,0
feint-attack,damage,none,,,,,0,0,0,0,0,0
sweet-kiss,ailment,confusion,,,2,5,0,0,0,0,0,0
belly-drum,unique,none,,,,,0,0,0,0,0,0
sludge-bomb,damage-ailment,poison,,,,,0,0,0,30,0,0
mud-slap,damage-lower,none,,,,,0,0,0,0,0,100
octazooka,damage-lower,none,,,,,0,0,0,0,0,50
spikes,field-effect,none,,,,,0,0,0,0,0,0
zap-cannon,damage-ailment,paralysis,,,,,0,0,0,100,0,0
foresight,ailment,no-type-immunity,,,,,0,0,0,0,0,0
destiny-bond,unique,none,,,,,0,0,0,0,0,0
perish-song,ailment,perish-song,,,4,4,0,0,0,0,0,0
icy-wind,damage-lower,none,,,,,0,0,0,0,0,100
detect,unique,protect,,,,,0,0,0,0,0,0
bone-rush,damage,none,2,5,,,0,0,0,0,0,0
lock-on,unique,none,,,,,0,0,0,0,0,0
outrage,damage,none,,,,,0,0,0,0,0,0
sandstorm,whole-field-effect,none,,,,,0,0,0,0,0,0
giga-drain,damage-heal,none,,,,,50,0,0,0,0,0
endure,unique,none,,,,,0,0,0,0,0,0
charm,net-good-stats,none,,,,,0,0,0,0,0,0
rollout,damage,none,,,,,0,0,0,0,0,0
false-swipe,damage,none,,,,,0,0,0,0,0,0
swagger,swagger,confusion,,,2,5,0,0,0,0,0,0
milk-drink,heal,none,,,,,0,50,0,0,0,0
spark,damage-ailment,paralysis,,,,,0,0,0,30,0,0
fury-cutter,damage,none,,,,,0,0,0,0,0,0
steel-wing,damage-raise,none,,,,,0,0,0,0,0,10
mean-look,unique,none,,,,,0,0,0,0,0,0
attract,ailment,infatuation,,,,,0,0,0,0,0,0
sleep-talk,unique,none,,,,,0,0,0,0,0,0
heal-bell,unique,none,,,,,0,0,0,0,0,0
return,damage,none,,,,,0,0,0,0,0,0
present,damage,none,,,,,0,0,0,0,0,0
frustration,damage,none,,,,,0,0,0,0,0,0
safeguard,field-effect,none,,,,,0,0,0,0,0,0
pain-split,unique,none,,,,,0,0,0,0,0,0
sacred-fire,damage-ailment,burn,,,,,0,0,0,50,0,0
magnitude,damage,none,,,,,0,0,0,0,0,0
dynamic-punch,damage-ailment,confusion,,,2,5,0,0,0,100,0,0
megahorn,damage,none,,,,,0,0,0,0,0,0
dragon-breath,damage-ailment,paralysis,,,,,0,0,0,30,0,0
baton-pass,unique,none,,,,,0,0,0,0,0,0
encore,unique,none,,,,,0,0,0,0,0,0
pursuit,damage,none,,,,,0,0,0,0,0,0
rapid-spin,damage-raise,none,,,,,0,0,0,0,0,100
sweet-scent,net-good-stats,none,,,,,0,0,0,0,0,0
iron-tail,damage-lower,none,,,,,0,0,0,0,0,30
metal-claw,damage-raise,none,,,,,0,0,0,0,0,10
vital-throw,damage,none,,,,,0,0,0,0,0,0
morning-sun,heal,none,,,,,0,50,0,0,0,0
synthesis,heal,none,,,,,0,50,0,0,0,0
moonlight,heal,none,,,,,0,50,0,0,0,0
hidden-power,damage,none,,,,,0,0,0,0,0,0
cross-chop,damage,none,,,,,0,0,1,0,0,0
twister,damage,none,,,,,0,0,0,0,20,0
rain-dance,whole-field-effect,none,,,,,0,0,0,0,0,0
sunny-day,whole-field-effect,none,,,,,0,0,0,0,0,0
crunch,damage-lower,none,,,,,0,0,0,0,0,20
mirror-coat,damage,none,,,,,0,0,0,0,0,0
psych-up,unique,none,,,,,0,0,0,0,0,0
extreme-speed,damage,none,,,,,0,0,0,0,0,0
ancient-power,damage-raise,none,,,,,0,0,0,0,0,10
shadow-ball,damage-lower,none,,,,,0,0,0,0,0,20
future-sight,unique,none,,,,,0,0,0,0,0,0
rock-smash,damage-lower,none,,,,,0,0,0,0,0,50
whirlpool,damage-ailment,trap,,,5,6,0,0,0,100,0,0
beat-up,damage,none,6,6,,,0,0,0,0,0,0
fake-out,damage,none,,,,,0,0,0,0,100,0
uproar,damage,none,,,3,3,0,0,0,0,0,0
stockpile,unique,none,,,,,0,0,0,0,0,0
spit-up,damage,none,,,,,0,0,0,0,0,0
swallow,heal,none,,,,,0,25,0,0,0,0
heat-wave,damage-ailment,burn,,,,,0,0,0,10,0,0
hail,whole-field-effect,none,,,,,0,0,0,0,0,0
torment,ailment,torment,,,,,0,0,0,0,0,0
flatter,swagger,confusion,,,2,5,0,0,0,0,0,0
will-o-wisp,ailment,burn,,,,,0,0,0,0,0,0
memento,unique,none,,,,,0,0,0,0,0,0
facade,damage,none,,,,,0,0,0,0,0,0
focus-punch,damage,none,,,,,0,0,0,0,0,0
smelling-salts,damage,none,,,,,0,0,0,0,0,0
follow-me,unique,none,,,,,0,0,0,0,0,0
nature-power,unique,none,,,,,0,0,0,0,0,0
charge,net-good-stats,none,,,,,0,0,0,0,0,0
taunt,unique,none,,,,,0,0,0,0,0,0
helping-hand,unique,none,,,,,0,0,0,0,0,0
trick,unique,none,,,,,0,0,0,0,0,0
role-play,unique,none,,,,,0,0,0,0,0,0
wish,unique,none,,,,,0,0,0,0,0,0
assist,unique,none,,,,,0,0,0,0,0,0
ingrain,ailment,ingrain,,,,,0,0,0,0,0,0
superpower,damage-raise,none,,,,,0,0,0,0,0,100
magic-coat,unique,none,,,,,0,0,0,0,0,0
recycle,unique,none,,,,,0,0,0,0,0,0
revenge,damage,none,,,,,0,0,0,0,0,0
brick-break,damage,none,,,,,0,0,0,0,0,0
yawn,ailment,yawn,,,2,2,0,0,0,0,0,0
knock-off,damage,none,,,,,0,0,0,0,0,0
endeavor,damage,none,,,,,0,0,0,0,0,0
eruption,damage,none,,,,,0,0,0,0,0,0
skill-swap,unique,none,,,,,0,0,0,0,0,0
imprison,unique,none,,,,,0,0,0,0,0,0
refresh,unique,none,,,,,0,0,0,0,0,0
grudge,unique,none,,,,,0,0,0,0,0,0
snatch,unique,none,,,,,0,0,0,0,0,0
secret-power,damage,none,,,,,0,0,0,30,0,0
dive,damage,none,,,,,0,0,0,0,0,0
arm-thrust,damage,none,2,5,,,0,0,0,0,0,0
camouflage,unique,none,,,,,0,0,0,0,0,0
tail-glow,net-good-stats,none,,,,,0,0,0,0,0,0
luster-purge,damage-lower,none,,,,,0,0,0,0,0,50
mist-ball,damage-lower,none,,,,,0,0,0,0,0,50
feather-dance,net-good-stats,none,,,,,0,0,0,0,0,0
teeter-dance,ailment,confusion,,,2,5,0,0,0,0,0,0
blaze-kick,damage-ailment,burn,,,,,0,0,1,10,0,0
mud-sport,whole-field-effect,none,,,,,0,0,0,0,0,0
ice-ball,damage,none,,,,,0,0,0,0,0,0
needle-arm,damage,none,,,,,0,0,0,0,30,0
slack-off,heal,none,,,,,0,50,0,0,0,0
hyper-voice,damage,none,,,,,0,0,0,0,0,0
poison-fang,damage-ailment,poison,,,,,0,0,0,50,0,0
crush-claw,damage-lower,none,,,,,0,0,0,0,0,50
blast-burn,damage,none,,,,,0,0,0,0,0,0
hydro-cannon,damage,none,,,,,0,0,0,0,0,0
meteor-mash,damage-raise,none,,,,,0,0,0,0,0,20
astonish,damage,none,,,,,0,0,0,0,30,0
weather-ball,damage,none,,,,,0,0,0,0,0,0
aromatherapy,unique,none,,,,,0,0,0,0,0,0
fake-tears,net-good-stats,none,,,,,0,0,0,0,0,0
air-cutter,damage,none,,,,,0,0,1,0,0,0
overheat,damage-raise,none,,,,,0,0,0,0,0,100
odor-sleuth,ailment,no-type-immunity,,,,,0,0,0,0,0,0
rock-tomb,damage-lower,none,,,,,0,0,0,0,0,100
silver-wind,damage-raise,none,,,,,0,0,0,0,0,10
metal-sound,net-good-stats,none,,,,,0,0,0,0,0,0
grass-whistle,ailment,sleep,,,2,4,0,0,0,0,0,0
tickle,net-good-stats,none,,,,,0,0,0,0,0,0
cosmic-power,net-good-stats,none,,,,,0,0,0,0,0,0
water-spout,damage,none,,,,,0,0,0,0,0,0
signal-beam,damage-ailment,confusion,,,2,5,0,0,0,10,0,0
shadow-punch,damage,none,,,,,0,0,0,0,0,0
extrasensory,damage,none,,,,,0,0,0,0,10,0
sky-uppercut,damage,none,,,,,0,0,0,0,0,0
sand-tomb,damage-ailment,trap,,,5,6,0,0,0,100,0,0
sheer-cold,ohko,none,,,,,0,0,0,0,0,0
muddy-water,damage-lower,none,,,,,0,0,0,0,0,30
bullet-seed,damage,none,2,5,,,0,0,0,0,0,0
aerial-ace,damage,none,,,,,0,0,0,0,0,0
icicle-spear,damage,none,2,5,,,0,0,0,0,0,0
iron-defense,net-good-stats,none,,,,,0,0,0,0,0,0
block,unique,none,,,,,0,0,0,0,0,0
howl,net-good-stats,none,,,,,0,0,0,0,0,0
dragon-claw,damage,none,,,,,0,0,0,0,0,0
frenzy-plant,damage,none,,,,,0,0,0,0,0,0
bulk-up,net-good-stats,none,,,,,0,0,0,0,0,0
bounce,damage-ailment,paralysis,,,,,0,0,0,30,0,0
mud-shot,damage-lower,none,,,,,0,0,0,0,0,100
poison-tail,damage-ailment,poison,,,,,0,0,1,10,0,0
covet,damage,none,,,,,0,0,0,0,0,0
volt-tackle,damage-ailment,paralysis,,,,,-33,0,0,10,0,0
magical-leaf,damage,none,,,,,0,0,0,0,0,0
water-sport,whole-field-effect,none,,,,,0,0,0,0,0,0
calm-mind,net-good-stats,none,,,,,0,0,0,0,0,0
leaf-blade,damage,none,,,,,0,0,1,0,0,0
dragon-dance,net-good-stats,none,,,,,0,0,0,0,0,0
rock-blast,damage,none,2,5,,,0,0,0,0,0,0
shock-wave,damage,none,,,,,0,0,0,0,0,0
water-pulse,damage-ailment,confusion,,,2,5,0,0,0,20,0,0
doom-desire,unique,none,,,,,0,0,0,0,0,0
psycho-boost,damage-raise,none,,,,,0,0,0,0,0,100
roost,heal,none,,,,,0,50,0,0,0,0
gravity,whole-field-effect,none,,,,,0,0,0,0,0,0
miracle-eye,ailment,no-type-immunity,,,,,0,0,0,0,0,0
wake-up-slap,damage,none,,,,,0,0,0,0,0,0
hammer-arm,damage-raise,none,,,,,0,0,0,0,0,100
gyro-ball,damage,none,,,,,0,0,0,0,0,0
healing-wish,unique,none,,,,,0,0,0,0,0,0
brine,damage,none,,,,,0,0,0,0,0,0
natural-gift,damage,none,,,,,0,0,0,0,0,0
feint,damage,none,,,,,0,0,0,0,0,0
pluck,damage,none,,,,,0,0,0,0,0,0
tailwind,field-effect,none,,,,,0,0,0,0,0,0
acupressure,unique,none,,,,,0,0,0,0,0,0
metal-burst,damage,none,,,,,0,0,0,0,0,0
u-turn,damage,none,,,,,0,0,0,0,0,0
close-combat,damage-raise,none,,,,,0,0,0,0,0,100
payback,damage,none,,,,,0,0,0,0,0,0
assurance,damage,none,,,,,0,0,0,0,0,0
embargo,ailment,embargo,,,5,5,0,0,0,0,0,0
fling,damage,none,,,,,0,0,0,0,0,0
psycho-shift,unique,none,,,,,0,0,0,0,0,0
trump-card,damage,none,,,,,0,0,0,0,0,0
heal-block,ailment,heal-block,,,5,5,0,0,0,0,0,0
wring-out,damage,none,,,,,0,0,0,0,0,0
power-trick,unique,none,,,,,0,0,0,0,0,0
gastro-acid,unique,none,,,,,0,0,0,0,0,0
lucky-chant,field-effect,none,,,,,0,0,0,0,0,0
me-first,damage,none,,,,,0,0,0,0,0,0
copycat,unique,none,,,,,0,0,0,0,0,0
power-swap,unique,none,,,,,0,0,0,0,0,0
guard-swap,unique,none,,,,,0,0,0,0,0,0
punishment,damage,none,,,,,0,0,0,0,0,0
last-resort,damage,none,,,,,0,0,0,0,0,0
worry-seed,unique,none,,,,,0,0,0,0,0,0
sucker-punch,damage,none,,,,,0,0,0,0,0,0
toxic-spikes,field-effect,none,,,,,0,0,0,0,0,0
heart-swap,unique,none,,,,,0,0,0,0,0,0
aqua-ring,unique,none,,,,,0,0,0,0,0,0
magnet-rise,unique,none,,,,,0,0,0,0,0,0
flare-blitz,damage-ailment,burn,,,,,-33,0,0,10,0,0
force-palm,damage-ailment,paralysis,,,,,0,0,0,30,0,0
aura-sphere,damage,none,,,,,0,0,0,0,0,0
rock-polish,net-good-stats,none,,,,,0,0,0,0,0,0
poison-jab,damage-ailment,poison,,,,,0,0,0,30,0,0
dark-pulse,damage,none,,,,,0,0,0,0,20,0
night-slash,damage,none,,,,,0,0,1,0,0,0
aqua-tail,damage,none,,,,,0,0,0,0,0,0
seed-bomb,damage,none,,,,,0,0,0,0,0,0
air-slash,damage,none,,,,,0,0,0,0,30,0
x-scissor,damage,none,,,,,0,0,0,0,0,0
bug-buzz,damage-lower,none,,,,,0,0,0,0,0,10
dragon-pulse,damage,none,,,,,0,0,0,0,0,0
dragon-rush,damage,none,,,,,0,0,0,0,20,0
power-gem,damage,none,,,,,0,0,0,0,0,0
drain-punch,damage-heal,none,,,,,50,0,0,0,0,0
vacuum-wave,damage,none,,,,,0,0,0,0,0,0
focus-blast,damage-lower,none,,,,,0,0,0,0,0,10
energy-ball,damage-lower,none,,,,,0,0,0,0,0,10
brave-bird,damage,none,,,,,-33,0,0,0,0,0
earth-power,damage-lower,none,,,,,0,0,0,0,0,10
switcheroo,unique,none,,,,,0,0,0,0,0,0
giga-impact,damage,none,,,,,0,0,0,0,0,0
nasty-plot,net-good-stats,none,,,,,0,0,0,0,0,0
bullet-punch,damage,none,,,,,0,0,0,0,0,0
avalanche,damage,none,,,,,0,0,0,0,0,0
ice-shard,damage,none,,,,,0,0,0,0,0,0
shadow-claw,damage,none,,,,,0,0,1,0,0,0
thunder-fang,damage-ailment,paralysis,,,,,0,0,0,10,10,0
ice-fang,damage-ailment,freeze,,,,,0,0,0,10,10,0
fire-fang,damage-ailment,burn,,,,,0,0,0,10,10,0
shadow-sneak,damage,none,,,,,0,0,0,0,0,0
mud-bomb,damage-lower,none,,,,,0,0,0,0,0,30
psycho-cut,damage,none,,,,,0,0,1,0,0,0
zen-headbutt,damage,none,,,,,0,0,0,0,20,0
mirror-shot,damage-lower,none,,,,,0,0,0,0,0,30
flash-cannon,damage-lower,none,,,,,0,0,0,0,0,10
rock-climb,damage-ailment,confusion,,,2,5,0,0,0,20,0,0
defog,unique,none,,,,,0,0,0,0,0,0
trick-room,whole-field-effect,none,,,,,0,0,0,0,0,0
draco-meteor,damage-raise,none,,,,,0,0,0,0,0,100
discharge,damage-ailment,paralysis,,,,,0,0,0,30,0,0
lava-plume,damage-ailment,burn,,,,,0,0,0,30,0,0
leaf-storm,damage-raise,none,,,,,0,0,0,0,0,100
power-whip,damage,none,,,,,0,0,0,0,0,0
rock-wrecker,damage,none,,,,,0,0,0,0,0,0
cross-poison,damage-ailment,poison,,,,,0,0,1,10,0,0
gunk-shot,damage-ailment,poison,,,,,0,0,0,30,0,0
iron-head,damage,none,,,,,0,0,0,0,30,0
magnet-bomb,damage,none,,,,,0,0,0,0,0,0
stone-edge,damage,none,,,,,0,0,1,0,0,0
captivate,net-good-stats,none,,,,,0,0,0,0,0,0
stealth-rock,field-effect,none,,,,,0,0,0,0,0,0
grass-knot,damage,none,,,,,0,0,0,0,0,0
chatter,damage-ailment,confusion,,,2,5,0,0,0,100,0,0
judgment,damage,none,,,,,0,0,0,0,0,0
bug-bite,damage,none,,,,,0,0,0,0,0,0
charge-beam,damage-raise,none,,,,,0,0,0,0,0,70
wood-hammer,damage,none,,,,,-33,0,0,0,0,0
aqua-jet,damage,none,,,,,0,0,0,0,0,0
attack-order,damage,none,,,,,0,0,1,0,0,0
defend-order,net-good-stats,none,,,,,0,0,0,0,0,0
heal-order,heal,none,,,,,0,50,0,0,0,0
head-smash,damage,none,,,,,-50,0,0,0,0,0
double-hit,damage,none,2,2,,,0,0,0,0,0,0
roar-of-time,damage,none,,,,,0,0,0,0,0,0
spacial-rend,damage,none,,,,,0,0,1,0,0,0
lunar-dance,unique,none,,,,,0,0,0,0,0,0
crush-grip,damage,none,,,,,0,0,0,0,0,0
magma-storm,damage-ailment,trap,,,5,6,0,0,0,100,0,0
dark-void,ailment,sleep,,,2,4,0,0,0,0,0,0
seed-flare,damage-lower,none,,,,,0,0,0,0,0,40
ominous-wind,damage-raise,none,,,,,0,0,0,10,0,10
shadow-force,damage,none,,,,,0,0,0,0,0,0
hone-claws,net-good-stats,none,,,,,0,0,0,0,0,0
wide-guard,field-effect,none,,,,,0,0,0,0,0,0
guard-split,unique,none,,,,,0,0,0,0,0,0
power-split,unique,none,,,,,0,0,0,0,0,0
wonder-room,whole-field-effect,none,,,,,0,0,0,0,0,0
psyshock,damage,none,,,,,0,0,0,0,0,0
venoshock,damage,none,,,,,0,0,0,0,0,0
autotomize,net-good-stats,none,,,,,0,0,0,0,0,0
rage-powder,unique,none,,,,,0,0,0,0,0,0
telekinesis,ailment,unknown,,,3,3,0,0,0,0,0,0
magic-room,whole-field-effect,none,,,,,0,0,0,0,0,0
smack-down,damage,unknown,,,,,0,0,0,100,0,0
storm-throw,damage,none,,,,,0,0,6,0,0,0
flame-burst,damage,none,,,,,0,0,0,0,0,0
sludge-wave,damage-ailment,poison,,,,,0,0,0,10,0,0
quiver-dance,net-good-stats,none,,,,,0,0,0,0,0,0
heavy-slam,damage,none,,,,,0,0,0,0,0,0
synchronoise,damage,none,,,,,0,0,0,0,0,0
electro-ball,damage,none,,,,,0,0,0,0,0,0
soak,unique,none,,,,,0,0,0,0,0,0
flame-charge,damage-raise,none,,,,,0,0,0,0,0,100
coil,net-good-stats,none,,,,,0,0,0,0,0,0
