form,trigger,trigger_item,trigger_ability,trigger_move,base_form
absol-mega,held-item,absolite,,,
garchomp-mega,held-item,garchompite,,,
lucario-mega,held-item,lucarionite,,,
abomasnow-mega,held-item,abomasite,,,
latias-mega,held-item,latiasite,,,
latios-mega,held-item,latiosite,,,
swampert-mega,held-item,swampertite,,,
sceptile-mega,held-item,sceptilite,,,
sableye-mega,held-item,sablenite,,,
altaria-mega,held-item,altarianite,,,
gallade-mega,held-item,galladite,,,
audino-mega,held-item,audinite,,,
sharpedo-mega,held-item,sharpedonite,,,
slowbro-mega,held-item,slowbronite,,,
steelix-mega,held-item,steelixite,,,
pidgeot-mega,held-item,pidgeotite,,,
glalie-mega,held-item,glalitite,,,
diancie-mega,held-item,diancite,,,
metagross-mega,held-item,metagrossite,,,
kyogre-primal,held-item,blue-orb,,,
groudon-primal,held-item,red-orb,,,
hoopa-unbound,key-item,prison-bottle,,,
camerupt-mega,held-item,cameruptite,,,
lopunny-mega,held-item,lopunnite,,,
salamence-mega,held-item,salamencite,,,
beedrill-mega,held-item,beedrillite,,,
greninja-ash,ability,,battle-bond,,greninja-battle-bond
zygarde-10-power-construct,held-item,zygarde-cube,,,
zygarde-50-power-construct,held-item,zygarde-cube,,,
zygarde-complete,ability,,power-construct,,zygarde-10-power-construct
zygarde-complete,ability,,power-construct,,zygarde-50-power-construct
oricorio-pom-pom,consumed-item,yellow-nectar,,,
oricorio-pau,consumed-item,pink-nectar,,,
oricorio-sensu,consumed-item,purple-nectar,,,
wishiwashi-school,ability,,schooling,,wishiwashi-solo
silvally-fighting,held-item,fighting-memory,,,
silvally-flying,held-item,flying-memory,,,
silvally-poison,held-item,poison-memory,,,
silvally-ground,held-item,ground-memory,,,
silvally-rock,held-item,rock-memory,,,
silvally-bug,held-item,bug-memory,,,
silvally-ghost,held-item,ghost-memory,,,
silvally-steel,held-item,steel-memory,,,
silvally-fire,held-item,fire-memory,,,
silvally-water,held-item,water-memory,,,
silvally-grass,held-item,grass-memory,,,
silvally-electric,held-item,electric-memory,,,
silvally-psychic,held-item,psychic-memory,,,
silvally-ice,held-item,ice-memory,,,
silvally-dragon,held-item,dragon-memory,,,
silvally-dark,held-item,dark-memory,,,
silvally-fairy,held-item,fairy-memory,,,
minior-orange-meteor,ability,,shields-down,,minior-orange
minior-yellow-meteor,ability,,shields-down,,minior-yellow
minior-green-meteor,ability,,shields-down,,minior-green
minior-blue-meteor,ability,,shields-down,,minior-blue
minior-indigo-meteor,ability,,shields-down,,minior-indigo
minior-violet-meteor,ability,,shields-down,,minior-violet
minior-red,ability,,shields-down,,minior-red-meteor
minior-orange,ability,,shields-down,,minior-orange-meteor
minior-yellow,ability,,shields-down,,minior-yellow-meteor
minior-green,ability,,shields-down,,minior-green-meteor
minior-blue,ability,,shields-down,,minior-blue-meteor
minior-indigo,ability,,shields-down,,minior-indigo-meteor
minior-violet,ability,,shields-down,,minior-violet-meteor
mimikyu-busted,ability,,disguise,,mimikyu-disguised
mimikyu-totem-busted,ability,,disguise,,mimikyu-totem-disguised
necrozma-ultra,held-item,ultranecrozium-z--held,,,necrozma-dusk
necrozma-ultra,held-item,ultranecrozium-z--held,,,necrozma-dawn
darmanitan-galar-zen,ability,,zen-mode,,darmanitan-galar-standard
zygarde-10,held-item,zygarde-cube,,,
cramorant-gulping,ability,,gulp-missile,,
cramorant-gorging,ability,,gulp-missile,,
eiscue-noice,ability,,ice-face,,
morpeko-hangry,ability,,hunger-switch,,
zacian-crowned,held-item,rusted-sword,,,
zamazenta-crowned,held-item,rusted-shield,,,
venusaur-gmax,gigantamax-factor,,,,
charizard-gmax,gigantamax-factor,,,,
blastoise-gmax,gigantamax-factor,,,,
butterfree-gmax,gigantamax-factor,,,,
pikachu-gmax,gigantamax-factor,,,,
meowth-gmax,gigantamax-factor,,,,
machamp-gmax,gigantamax-factor,,,,
gengar-gmax,gigantamax-factor,,,,
kingler-gmax,gigantamax-factor,,,,
lapras-gmax,gigantamax-factor,,,,
eevee-gmax,gigantamax-factor,,,,
snorlax-gmax,gigantamax-factor,,,,
garbodor-gmax,gigantamax-factor,,,,
melmetal-gmax,gigantamax-factor,,,,
rillaboom-gmax,gigantamax-factor,,,,
cinderace-gmax,gigantamax-factor,,,,
inteleon-gmax,gigantamax-factor,,,,
corviknight-gmax,gigantamax-factor,,,,
orbeetle-gmax,gigantamax-factor,,,,
drednaw-gmax,gigantamax-factor,,,,
coalossal-gmax,gigantamax-factor,,,,
flapple-gmax,gigantamax-factor,,,,
appletun-gmax,gigantamax-factor,,,,
sandaconda-gmax,gigantamax-factor,,,,
toxtricity-amped-gmax,gigantamax-factor,,,,toxtricity-amped
centiskorch-gmax,gigantamax-factor,,,,
hatterene-gmax,gigantamax-factor,,,,
grimmsnarl-gmax,gigantamax-factor,,,,
alcremie-gmax,gigantamax-factor,,,,
copperajah-gmax,gigantamax-factor,,,,
duraludon-gmax,gigantamax-factor,,,,
urshifu-single-strike-gmax,gigantamax-factor,,,,urshifu-single-strike
urshifu-rapid-strike-gmax,gigantamax-factor,,,,urshifu-rapid-strike
toxtricity-low-key-gmax,gigantamax-factor,,,,toxtricity-low-key
dialga-origin,held-item,adamant-crystal,,,
palkia-origin,held-item,lustrous-globe,,,
palafin-hero,ability,,zero-to-hero,,
ogerpon-wellspring-mask,held-item,wellspring-mask,,,
ogerpon-hearthflame-mask,held-item,hearthflame-mask,,,
ogerpon-cornerstone-mask,held-item,cornerstone-mask,,,
terapagos-terastal,ability,,tera-shift,,
terapagos-stellar,key-item,tera-orb,,,
clefable-mega,held-item,clefablite,,,
victreebel-mega,held-item,victreebelite,,,
starmie-mega,held-item,starminite,,,
dragonite-mega,held-item,dragoninite,,,
meganium-mega,held-item,meganiumite,,,
feraligatr-mega,held-item,feraligite,,,
skarmory-mega,held-item,skarmorite,,,
froslass-mega,held-item,froslassite,,,
emboar-mega,held-item,emboarite,,,
excadrill-mega,held-item,excadrite,,,
scolipede-mega,held-item,scolipite,,,
scrafty-mega,held-item,scraftinite,,,
eelektross-mega,held-item,eelektrossite,,,
chandelure-mega,held-item,chandelurite,,,
chesnaught-mega,held-item,chesnaughtite,,,
delphox-mega,held-item,delphoxite,,,
greninja-mega,held-item,greninjite,,,
pyroar-mega,held-item,pyroarite,,,
floette-mega,held-item,floettite,,,floette-eternal
malamar-mega,held-item,malamarite,,,
barbaracle-mega,held-item,barbaracite,,,
dragalge-mega,held-item,dragalgite,,,
hawlucha-mega,held-item,hawluchanite,,,
zygarde-mega,held-item,zygardite,,,
drampa-mega,held-item,drampanite,,,
falinks-mega,held-item,falinksite,,,
raichu-mega-x,held-item,raichunite-x,,,
raichu-mega-y,held-item,raichunite-y,,,
chimecho-mega,held-item,chimechite,,,
absol-mega-z,held-item,absolite-z,,,
staraptor-mega,held-item,staraptite,,,
garchomp-mega-z,held-item,garchompite-z,,,
lucario-mega-z,held-item,lucarionite-z,,,
heatran-mega,held-item,heatranite,,,
darkrai-mega,held-item,darkranite,,,
golurk-mega,held-item,golurkite,,,
meowstic-male-mega,held-item,meowsticite,,,meowstic-male
crabominable-mega,held-item,crabominite,,,
golisopod-mega,held-item,golisopite,,,
magearna-mega,held-item,magearnite,,,magearna
magearna-original-mega,held-item,magearnite,,,magearna-original
zeraora-mega,held-item,zeraorite,,,
scovillain-mega,held-item,scovillainite,,,
glimmora-mega,held-item,glimmoranite,,,
tatsugiri-curly-mega,held-item,tatsugirinite,,,tatsugiri-curly
tatsugiri-droopy-mega,held-item,tatsugirinite,,,tatsugiri-droopy
tatsugiri-stretchy-mega,held-item,tatsugirinite,,,tatsugiri-stretchy
baxcalibur-mega,held-item,baxcalibrite,,,
meowstic-female-mega,held-item,meowsticite,,,meowstic-female
