pokemon,base_experience
huntail,170
gorebyss,170
relicanth,170
luvdisc,116
bagon,60
shelgon,147
salamence,270
beldum,60
metang,147
metagross,270
regirock,261
regice,261
registeel,261
latias,270
latios,270
kyogre,302
groudon,302
rayquaza,306
jirachi,270
deoxys-normal,270
turtwig,64
grotle,142
torterra,236
chimchar,62
monferno,142
infernape,240
piplup,63
prinplup,142
empoleon,239
starly,49
staravia,119
staraptor,218
bidoof,50
bibarel,144
kricketot,39
kricketune,134
shinx,53
luxio,127
luxray,235
budew,56
roserade,232
cranidos,70
rampardos,173
shieldon,70
bastiodon,173
burmy,45
wormadam-plant,148
mothim,148
combee,49
vespiquen,166
pachirisu,142
buizel,66
floatzel,173
cherubi,55
cherrim,158
shellos,65
gastrodon,166
ambipom,169
drifloon,70
drifblim,174
buneary,70
lopunny,168
mismagius,173
honchkrow,177
glameow,62
purugly,158
chingling,57
stunky,66
skuntank,168
bronzor,60
bronzong,175
bonsly,58
mime-jr,62
happiny,110
chatot,144
spiritomb,170
gible,60
gabite,144
garchomp,270
munchlax,78
riolu,57
lucario,184
hippopotas,66
hippowdon,184
skorupi,66
drapion,175
croagunk,60
toxicroak,172
carnivine,159
finneon,66
lumineon,161
mantyke,69
snover,67
abomasnow,173
weavile,179
magnezone,241
lickilicky,180
rhyperior,241
tangrowth,187
electivire,243
magmortar,243
togekiss,245
yanmega,180
leafeon,184
glaceon,184
gliscor,179
mamoswine,239
porygon-z,241
gallade,233
probopass,184
dusknoir,236
froslass,168
rotom,154
uxie,261
mesprit,261
azelf,261
dialga,306
palkia,306
heatran,270
regigigas,302
giratina-altered,306
cresselia,270
phione,216
manaphy,270
darkrai,270
shaymin-land,270
arceus,324
victini,270
snivy,62
servine,145
serperior,238
tepig,62
pignite,146
emboar,238
oshawott,62
dewott,145
samurott,238
patrat,51
watchog,147
lillipup,55
herdier,130
stoutland,225
purrloin,56
liepard,156
pansage,63
simisage,174
pansear,63
simisear,174
panpour,63
simipour,174
munna,58
musharna,170
pidove,53
tranquill,125
unfezant,220
blitzle,59
zebstrika,174
roggenrola,56
boldore,137
gigalith,232
woobat,65
swoobat,149
drilbur,66
excadrill,178
audino,390
timburr,61
gurdurr,142
conkeldurr,227
tympole,59
palpitoad,134
seismitoad,229
throh,163
sawk,163
sewaddle,62
swadloon,133
leavanny,225
venipede,52
whirlipede,126
scolipede,218
cottonee,56
whimsicott,168
petilil,56
lilligant,168
basculin-red-striped,161
sandile,58
krokorok,123
krookodile,234
darumaka,63
darmanitan-standard,168
maractus,161
dwebble,65
crustle,170
scraggy,70
scrafty,171
sigilyph,172
yamask,61
cofagrigus,169
tirtouga,71
carracosta,173
archen,71
archeops,177
trubbish,66
garbodor,166
zorua,66
zoroark,179
minccino,60
cinccino,165
gothita,58
gothorita,137
gothitelle,221
solosis,58
duosion,130
reuniclus,221
ducklett,61
swanna,166
vanillite,61
vanillish,138
vanilluxe,241
deerling,67
sawsbuck,166
emolga,150
karrablast,63
escavalier,173
foongus,59
amoonguss,162
frillish-male,67
jellicent-male,168
alomomola,165
joltik,64
galvantula,165
ferroseed,61
ferrothorn,171
klink,60
klang,154
klinklang,234
tynamo,55
eelektrik,142
eelektross,232
elgyem,67
beheeyem,170
litwick,55
lampent,130
chandelure,234
axew,64
fraxure,144
haxorus,243
cubchoo,61
beartic,177
cryogonal,180
shelmet,61
accelgor,173
stunfisk,165
mienfoo,70
mienshao,179
druddigon,170
golett,61
golurk,169
pawniard,68
bisharp,172
bouffalant,172
rufflet,70
braviary,179
vullaby,74
mandibuzz,179
heatmor,169
durant,169
deino,60
zweilous,147
hydreigon,270
larvesta,72
volcarona,248
cobalion,261
terrakion,261
virizion,261
tornadus-incarnate,261
thundurus-incarnate,261
reshiram,306
zekrom,306
landorus-incarnate,270
kyurem,297
keldeo-ordinary,261
meloetta-aria,270
genesect,270
chespin,63
quilladin,142
chesnaught,239
fennekin,61
braixen,143
delphox,240
froakie,63
frogadier,142
greninja,239
bunnelby,47
diggersby,148
fletchling,56
fletchinder,134
talonflame,175
scatterbug,40
spewpa,75
vivillon,185
litleo,74
pyroar-male,177
flabebe,61
floette,130
florges,248
skiddo,70
gogoat,186
pancham,70
pangoro,173
furfrou,165
espurr,71
meowstic-male,163
honedge,65
doublade,157
aegislash-shield,234
spritzee,68
aromatisse,162
swirlix,68
slurpuff,168
inkay,58
malamar,169
binacle,61
barbaracle,175
skrelp,64
dragalge,173
clauncher,66
clawitzer,100
helioptile,58
heliolisk,168
tyrunt,72
tyrantrum,182
amaura,72
aurorus,104
sylveon,184
hawlucha,175
dedenne,151
carbink,100
goomy,60
sliggoo,158
goodra,270
klefki,165
phantump,62
trevenant,166
pumpkaboo-average,67
gourgeist-average,173
bergmite,61
avalugg,180
noibat,49
noivern,187
xerneas,306
yveltal,306
zygarde-50,270
diancie,270
hoopa,270
volcanion,270
deoxys-attack,270
deoxys-defense,270
deoxys-speed,270
wormadam-sandy,148
wormadam-trash,148
shaymin-sky,270
giratina-origin,340
rotom-heat,182
rotom-wash,182
rotom-frost,182
rotom-fan,182
rotom-mow,182
castform-sunny,147
castform-rainy,147
castform-snowy,147
basculin-blue-striped,161
darmanitan-zen,189
meloetta-pirouette,270
tornadus-therian,290
thundurus-therian,290
landorus-therian,300
kyurem-black,350
kyurem-white,350
keldeo-resolute,290
meowstic-female,163
aegislash-blade,250
pumpkaboo-small,67
pumpkaboo-large,67
pumpkaboo-super,67
gourgeist-small,173
gourgeist-large,173
gourgeist-super,173
venusaur-mega,281
charizard-mega-x,285
charizard-mega-y,285
blastoise-mega,284
alakazam-mega,270
gengar-mega,270
kangaskhan-mega,207
pinsir-mega,210
gyarados-mega,224
aerodactyl-mega,215
mewtwo-mega-x,351
mewtwo-mega-y,351
ampharos-mega,275
scizor-mega,210
heracross-mega,210
houndoom-mega,210
tyranitar-mega,315
blaziken-mega,284
gardevoir-mega,278
mawile-mega,168
aggron-mega,284
medicham-mega,179
manectric-mega,201
banette-mega,194
absol-mega,198
garchomp-mega,315
lucario-mega,219
abomasnow-mega,208
floette-eternal,243
latias-mega,315
latios-mega,315
swampert-mega,286
sceptile-mega,284
sableye-mega,168
altaria-mega,207
gallade-mega,278
audino-mega,425
sharpedo-mega,196
slowbro-mega,207
steelix-mega,214
pidgeot-mega,261
glalie-mega,203
diancie-mega,315
metagross-mega,315
kyogre-primal,347
groudon-primal,347
rayquaza-mega,351
pikachu-rock-star,112
pikachu-belle,112
pikachu-pop-star,112
pikachu-phd,112
pikachu-libre,112
pikachu-cosplay,112
hoopa-unbound,306
camerupt-mega,196
lopunny-mega,203
salamence-mega,315
beedrill-mega,223
rattata-alola,51
raticate-alola,145
raticate-totem-alola,145
pikachu-original-cap,112
pikachu-hoenn-cap,112
pikachu-sinnoh-cap,112
pikachu-unova-cap,112
pikachu-kalos-cap,112
pikachu-alola-cap,112
raichu-alola,243
sandshrew-alola,60
sandslash-alola,158
vulpix-alola,60
ninetales-alola,177
diglett-alola,53
dugtrio-alola,149
meowth-alola,58
persian-alola,154
geodude-alola,60
graveler-alola,137
golem-alola,223
grimer-alola,65
muk-alola,175
exeggutor-alola,186
marowak-alola,149
greninja-battle-bond,239
greninja-ash,288
zygarde-10-power-construct,243
zygarde-50-power-construct,300
zygarde-complete,354
pikachu-partner-cap,112
marowak-totem,149
pikachu-starter,86
eevee-starter,87
pikachu-world-cap,112
meowth-galar,58
ponyta-galar,82
rapidash-galar,175
slowpoke-galar,63
slowbro-galar,172
farfetchd-galar,132
weezing-galar,172
mr-mime-galar,161
articuno-galar,290
zapdos-galar,290
moltres-galar,290
slowking-galar,172
corsola-galar,144
zigzagoon-galar,56
linoone-galar,147
darumaka-galar,63
darmanitan-galar-standard,168
darmanitan-galar-zen,189
yamask-galar,61
stunfisk-galar,165
zygarde-10,243
venusaur-gmax,236
charizard-gmax,240
blastoise-gmax,239
butterfree-gmax,178
pikachu-gmax,112
meowth-gmax,58
machamp-gmax,227
gengar-gmax,225
kingler-gmax,166
lapras-gmax,187
eevee-gmax,65
snorlax-gmax,189
garbodor-gmax,166
growlithe-hisui,70
arcanine-hisui,194
voltorb-hisui,66
electrode-hisui,172
typhlosion-hisui,240
qwilfish-hisui,88
sneasel-hisui,86
samurott-hisui,238
lilligant-hisui,168
zorua-hisui,66
zoroark-hisui,179
braviary-hisui,179
sliggoo-hisui,158
goodra-hisui,270
avalugg-hisui,180
dialga-origin,306
palkia-origin,306
basculin-white-striped,161
tauros-paldea-combat-breed,172
tauros-paldea-blaze-breed,172
tauros-paldea-aqua-breed,172
wooper-paldea,42
