identifier,column,pokeapi,pokedb
hm08,introduced_generation,2,3
explorer-kit,name_fr,Explorakit,
explorer-kit,name_de,Erkundungs-Set,Erkundungs-Set / Forschersack
explorer-kit,name_es,Kit Explorador,Kit Explor.
loot-sack,name_ja,たからぶくろ,
loot-sack,name_fr,Sac Butin,
loot-sack,name_de,Beutesack,
loot-sack,name_es,Saca Botín,
loot-sack,name_it,Bottinosacca,
loot-sack,name_ko,보물주머니,
rule-book,name_ja,ルールブック,
rule-book,name_fr,Livre Règles,
rule-book,name_de,Regelbuch,
rule-book,name_es,Reglamento,
rule-book,name_it,Libro Regole,
rule-book,name_ko,룰북,
poke-radar,name_ja,ポケトレ,ポケモントレーサー
poke-radar,name_es,Pokéradar,Poké Radar
point-card,name_fr,Carte Points,Carte à Points
point-card,name_es,Tarjeta Puntos,Tarj. Puntos
journal,_row_,present,missing
seal-case,_row_,present,missing
fashion-case,name_fr,Coffret Mode,
seal-bag,name_ja,シールぶくろ,
seal-bag,name_fr,Sac Sceaux,
seal-bag,name_de,Stickertüte,
seal-bag,name_es,Bolsa Sellos,
seal-bag,name_it,Bollosacca,
seal-bag,name_ko,실주머니,
pal-pad,name_es,Bloc amigos,Bloc de Amigos
works-key,name_es,Llave Central,Llave de la Central
old-charm,name_it,Arcamuleto,Arcamuleto / Amuleto antico
galactic-key,name_es,Llave Galaxia,Ll. Galaxia
galactic-key,name_ko,갤럭시단의열쇠,갤럭시단의 열쇠
town-map,name_fr,Carte,
town-map,name_it,Mappa città,Mappa Città
vs-seeker,name_fr,Cherch’Combat,Cherch'Combat
bicycle,name_es,Bici,Bicicleta
suite-key,name_fr,Clé Chambre,Clé de Chambre
suite-key,name_de,B-Schlüssel,Hotelschlüssel
suite-key,name_es,Llave Suite,Llave de la Suite
oaks-letter,name_en,Oak’s Letter,Oak's Letter
oaks-letter,name_es,Carta Prof. Oak,Carta del Prof. Oak
oaks-letter,name_it,Lettera Oak,Lettera di Oak
oaks-letter,name_ko,오박사의편지,오박사의 편지
lunar-wing,_row_,present,missing
member-card,name_es,Carné Socio,Tarjeta de Socio
azure-flute,name_ko,천계의피리,천계의 피리
ss-ticket,name_it,Biglietto nave,Biglietto Nave
contest-pass,name_es,Pase Concurso,Pase de Concurso
magma-stone,name_ko,화산의돌,화산의 돌
storage-key,_row_,present,missing
secret-potion,_row_,present,missing
secret-key,_row_,present,missing
apricorn-box,name_fr,Boîte Noigrume,Bte Noigrume
berry-pots,name_fr,Plante-Baies,Plante Baies
squirt-bottle,name_fr,Carapuce à O,
moon-ball,name_es,Luna Ball,Lunabola
moon-ball,fling_power,,0
heavy-ball,fling_power,,0
fast-ball,fling_power,,0
friend-ball,name_ko,프렌드볼,프랜드볼
love-ball,fling_power,,0
park-ball,introduced_generation,2,4
sport-ball,name_fr,Compét’Ball,Compét'Ball
sport-ball,name_ko,컴퍼티션볼,콤페볼
sport-ball,introduced_generation,4,2
red-apricorn,fling_power,10,
blue-apricorn,fling_power,10,
yellow-apricorn,fling_power,10,
green-apricorn,fling_power,10,
pink-apricorn,fling_power,10,
white-apricorn,fling_power,10,
black-apricorn,fling_power,10,
dowsing-machine,name_fr,Cherch’Objet,Cherch'Objet
dowsing-machine,name_it,Ricerca strum.,Ricerca Strumenti
rage-candy-bar,name_es,Caramelo Furia,Caram. Furia
red-orb,name_fr,Gemme Rouge,Orbe Rouge
red-orb,name_de,Roter Edelstein,Rote Kugel
red-orb,name_es,Prisma Rojo,Esfera Roja
red-orb,name_it,Gemma rossa,Sfera Rossa
blue-orb,name_fr,Gemme Bleue,Orbe Bleu
blue-orb,name_de,Blauer Edelstein,Blaue Kugel
blue-orb,name_es,Prisma Azul,Esfera Azul
blue-orb,name_it,Gemma blu,Sfera Blu
slowpoke-tail,name_es,Cola Slowpoke,Cola de Slowpoke
clear-bell,name_fr,Glas Transparent,
clear-bell,name_it,Campana Chiara,Campana chiara
card-key,_row_,present,missing
basement-key,_row_,present,missing
lost-item,name_it,Strumento perso,Strumento Perso
machine-part,name_fr,Partie Machine,Partie Mach.
silver-wing,_row_,present,missing
rainbow-wing,_row_,present,missing
gb-sounds,name_es,Lector GB,Reproductor GB / Lector GB
tidal-bell,name_es,Cascabel Oleaje,Cascabel Oleaje / Campana Oleaje
data-card-01,name_ja,データカード０１,データカード
data-card-01,name_fr,Carte Mémo01,Carte Mémo
data-card-01,name_de,Datenkarte01,Datenkarte
data-card-01,name_es,Tarjeta Datos 01,Tarjeta de Datos
data-card-01,name_it,Scheda Dati 01,Scheda Dati
data-card-01,name_ko,데이터카드01,데이터카드
data-card-02,name_ja,データカード０２,
data-card-02,name_fr,Carte Mémo02,
data-card-02,name_de,Datenkarte02,
data-card-02,name_es,Tarjeta Datos 02,
data-card-02,name_it,Scheda Dati 02,
data-card-02,name_ko,데이터카드02,
data-card-03,name_ja,データカード０３,
data-card-03,name_fr,Carte Mémo03,
data-card-03,name_de,Datenkarte03,
data-card-03,name_es,Tarjeta Datos 03,
data-card-03,name_it,Scheda Dati 03,
data-card-03,name_ko,데이터카드03,
data-card-04,name_ja,データカード０４,
data-card-04,name_fr,Carte Mémo04,
data-card-04,name_de,Datenkarte04,
data-card-04,name_es,Tarjeta Datos 04,
data-card-04,name_it,Scheda Dati 04,
data-card-04,name_ko,데이터카드04,
data-card-05,name_ja,データカード０５,
data-card-05,name_fr,Carte Mémo05,
data-card-05,name_de,Datenkarte05,
data-card-05,name_es,Tarjeta Datos 05,
data-card-05,name_it,Scheda Dati 05,
data-card-05,name_ko,데이터카드05,
data-card-06,name_ja,データカード０６,
data-card-06,name_fr,Carte Mémo06,
data-card-06,name_de,Datenkarte06,
data-card-06,name_es,Tarjeta Datos 06,
data-card-06,name_it,Scheda Dati 06,
data-card-06,name_ko,데이터카드06,
data-card-07,name_ja,データカード０７,
data-card-07,name_fr,Carte Mémo07,
data-card-07,name_de,Datenkarte07,
data-card-07,name_es,Tarjeta Datos 07,
data-card-07,name_it,Scheda Dati 07,
data-card-07,name_ko,데이터카드07,
data-card-08,name_ja,データカード０８,
data-card-08,name_fr,Carte Mémo08,
data-card-08,name_de,Datenkarte08,
data-card-08,name_es,Tarjeta Datos 08,
data-card-08,name_it,Scheda Dati 08,
data-card-08,name_ko,데이터카드08,
data-card-09,name_ja,データカード０９,
data-card-09,name_fr,Carte Mémo09,
data-card-09,name_de,Datenkarte09,
data-card-09,name_es,Tarjeta Datos 09,
data-card-09,name_it,Scheda Dati 09,
data-card-09,name_ko,데이터카드09,
data-card-10,name_ja,データカード１０,
data-card-10,name_fr,Carte Mémo10,
data-card-10,name_de,Datenkarte10,
data-card-10,name_es,Tarjeta Datos 10,
data-card-10,name_it,Scheda Dati 10,
data-card-10,name_ko,데이터카드10,
data-card-11,name_ja,データカード１１,
data-card-11,name_fr,Carte Mémo11,
data-card-11,name_de,Datenkarte11,
data-card-11,name_es,Tarjeta Datos 11,
data-card-11,name_it,Scheda Dati 11,
data-card-11,name_ko,데이터카드11,
data-card-12,name_ja,データカード１２,
data-card-12,name_fr,Carte Mémo12,
data-card-12,name_de,Datenkarte12,
data-card-12,name_es,Tarjeta Datos 12,
data-card-12,name_it,Scheda Dati 12,
data-card-12,name_ko,데이터카드12,
data-card-13,name_ja,データカード１３,
data-card-13,name_fr,Carte Mémo13,
data-card-13,name_de,Datenkarte13,
data-card-13,name_es,Tarjeta Datos 13,
data-card-13,name_it,Scheda Dati 13,
data-card-13,name_ko,데이터카드13,
data-card-14,name_ja,データカード１４,
data-card-14,name_fr,Carte Mémo14,
data-card-14,name_de,Datenkarte14,
data-card-14,name_es,Tarjeta Datos 14,
data-card-14,name_it,Scheda Dati 14,
data-card-14,name_ko,데이터카드14,
data-card-15,name_ja,データカード１５,
data-card-15,name_fr,Carte Mémo15,
data-card-15,name_de,Datenkarte15,
data-card-15,name_es,Tarjeta Datos 15,
data-card-15,name_it,Scheda Dati 15,
data-card-15,name_ko,데이터카드15,
data-card-16,name_ja,データカード１６,
data-card-16,name_fr,Carte Mémo16,
data-card-16,name_de,Datenkarte16,
data-card-16,name_es,Tarjeta Datos 16,
data-card-16,name_it,Scheda Dati 16,
data-card-16,name_ko,데이터카드16,
data-card-17,name_ja,データカード１７,
data-card-17,name_fr,Carte Mémo17,
data-card-17,name_de,Datenkarte17,
data-card-17,name_es,Tarjeta Datos 17,
data-card-17,name_it,Scheda Dati 17,
data-card-17,name_ko,데이터카드17,
data-card-18,name_ja,データカード１８,
data-card-18,name_fr,Carte Mémo18,
data-card-18,name_de,Datenkarte18,
data-card-18,name_es,Tarjeta Datos 18,
data-card-18,name_it,Scheda Dati 18,
data-card-18,name_ko,데이터카드18,
data-card-19,name_ja,データカード１９,
data-card-19,name_fr,Carte Mémo19,
data-card-19,name_de,Datenkarte19,
data-card-19,name_es,Tarjeta Datos 19,
data-card-19,name_it,Scheda Dati 19,
data-card-19,name_ko,데이터카드19,
data-card-20,name_ja,データカード２０,
data-card-20,name_fr,Carte Mémo20,
data-card-20,name_de,Datenkarte20,
data-card-20,name_es,Tarjeta Datos 20,
data-card-20,name_it,Scheda Dati 20,
data-card-20,name_ko,데이터카드20,
data-card-21,name_ja,データカード２１,
data-card-21,name_fr,Carte Mémo21,
data-card-21,name_de,Datenkarte21,
data-card-21,name_es,Tarjeta Datos 21,
data-card-21,name_it,Scheda Dati 21,
data-card-21,name_ko,데이터카드21,
data-card-22,name_ja,データカード２２,
data-card-22,name_fr,Carte Mémo22,
data-card-22,name_de,Datenkarte22,
data-card-22,name_es,Tarjeta Datos 22,
data-card-22,name_it,Scheda Dati 22,
data-card-22,name_ko,데이터카드22,
data-card-23,name_ja,データカード２３,
data-card-23,name_fr,Carte Mémo23,
data-card-23,name_de,Datenkarte23,
data-card-23,name_es,Tarjeta Datos 23,
data-card-23,name_it,Scheda Dati 23,
data-card-23,name_ko,데이터카드23,
data-card-24,name_ja,データカード２４,
data-card-24,name_fr,Carte Mémo24,
data-card-24,name_de,Datenkarte24,
data-card-24,name_es,Tarjeta Datos 24,
data-card-24,name_it,Scheda Dati 24,
data-card-24,name_ko,데이터카드24,
data-card-25,name_ja,データカード２５,
data-card-25,name_fr,Carte Mémo25,
data-card-25,name_de,Datenkarte25,
data-card-25,name_es,Tarjeta Datos 25,
data-card-25,name_it,Scheda Dati 25,
data-card-25,name_ko,데이터카드25,
data-card-26,name_ja,データカード２６,
data-card-26,name_fr,Carte Mémo26,
data-card-26,name_de,Datenkarte26,
data-card-26,name_es,Tarjeta Datos 26,
data-card-26,name_it,Scheda Dati 26,
data-card-26,name_ko,데이터카드26,
data-card-27,name_ja,データカード２７,
data-card-27,name_fr,Carte Mémo27,
data-card-27,name_de,Datenkarte27,
data-card-27,name_es,Tarjeta Datos 27,
data-card-27,name_it,Scheda Dati 27,
data-card-27,name_ko,데이터카드27,
photo-album,name_ja,フォトアルバム,
photo-album,name_fr,Album Photo,
photo-album,name_de,Fotoalbum,
photo-album,name_es,Álbum,
photo-album,name_it,Album,
photo-album,name_ko,포토앨범,
orange-mail,name_es,Car. Naranja,Carta Naranja
mech-mail,name_fr,Lettre Méca,Lettre Meca
tropic-mail,name_es,Car. Tropic.,Carta Tropical
fab-mail,name_es,Carta Fab.,Carta Fabulosa
fab-mail,name_it,Mess. Lusso,Mess. Fab
retro-mail,name_es,Carta Retro.,Carta Retro
retro-mail,name_it,Mess. Rétro,Mess. Retro
mach-bike,name_fr,Vélo de Course,Vélo Course / Vélo de Course
mach-bike,name_es,Bici de Carreras,Bici Carrera / Bici de Carreras
mach-bike,name_it,Bici da corsa,Bici Corsa / Bici da corsa
acro-bike,name_it,Bici da cross,Bici Cross
wailmer-pail,name_fr,Wailmerrosoir,Seau Wailmer
wailmer-pail,name_es,Wailmegadera,Cubo Wailmer
devon-goods,_row_,present,missing
soot-sack,name_es,Saco Hollín,Saco de Hollín
pokeblock-case,name_it,PortaPokémelle,Portapokémelle
pokeblock-case,name_ko,,포켓몬스넥케이스
letter,name_fr,Lettre à Pierre,Lettre
letter,name_de,Brief an Troy,Brief
letter,name_es,Carta a Máximo,Carta
rm-1-key,_row_,present,missing
rm-2-key,_row_,present,missing
rm-4-key,_row_,present,missing
rm-6-key,_row_,present,missing
oaks-parcel,_row_,present,missing
poke-flute,name_fr,Poké Flûte,Poké Flute
poke-flute,name_es,Poké Flauta,Pokéflauta
bike-voucher,name_de,Rad-Coupon,Rad Coupon
gold-teeth,name_fr,Dentier en Or,Dent d'Or / Dentier en Or
gold-teeth,name_de,Goldenes Gebiss,Goldzähne / Goldenes Gebiss
gold-teeth,name_es,Dentadura de Oro,Dientes Oro / Dentadura de Oro
gold-teeth,name_it,Denti d’oro,Denti d'oro
lift-key,name_es,Llave Ascensor,Llave del Elevador
lift-key,name_ko,엘리베이터열쇠,
silph-scope,name_es,Visor Silph,Scope Silph
tm-case,name_fr,Boîte CT,Boite CT / Boîte CT
tm-case,name_de,TM-Box,VM/TM Box / TM-Box
tm-case,name_es,Estuche de MT,Tubo MT-MO / Estuche de MT
tm-case,name_it,Porta MT,Porta MT-MN / Porta MT
teachy-tv,name_it,Pokétivù,PokéTivù
teachy-tv,name_ko,,가르침TV
tri-pass,name_it,Tris Pass,Tri-Pass
mysticticket,_row_,present,missing
auroraticket,_row_,present,missing
old-sea-map,name_fr,Vieillecarte,Vieille Carte
like-mail,name_it,Mess. Sugg.,Messaggio Consiglio
reply-mail,name_it,Mess. Risp.,Messaggio Risposta
bridge-mail-s,_row_,present,missing
bridge-mail-d,_row_,present,missing
bridge-mail-t,_row_,present,missing
bridge-mail-v,_row_,present,missing
bridge-mail-m,_row_,present,missing
prism-scale,name_fr,Bel’Écaille,Bel'Écaille
eviolite,name_es,Mineral Evol,Mineral Evolutivo
electric-gem,name_es,Gema Eléctrica,Gema Eléctrico
flying-gem,name_es,Gema Voladora,Gema Volador
psychic-gem,name_es,Gema Psíquica,Gema Psíquico
bug-gem,fling_power,,0
dark-gem,name_es,Gema Siniestra,Gema Siniestro
health-wing,_row_,present,missing
muscle-wing,_row_,present,missing
resist-wing,_row_,present,missing
genius-wing,_row_,present,missing
clever-wing,_row_,present,missing
swift-wing,_row_,present,missing
pretty-wing,_row_,present,missing
liberty-pass,name_fr,Passe Liberté,
dragon-skull,name_es,Cráneo Dragón,Cráneo de Dragón
big-nugget,name_es,Maxipepita,Maxipepita de Oro
big-nugget,fling_power,130,30
pearl-string,name_es,Sarta Perlas,Sarta de Perlas
relic-copper,name_es,Real Cobre,Real de Cobre
relic-silver,name_es,Real Plata,Real de Plata
relic-gold,name_es,Real Oro,Real de Oro
relic-vase,name_es,Ánfora,Ánfora Antigua
relic-band,name_es,Brazal,Brazal Antiguo
dire-hit-2,name_fr,Muscle 2,
dire-hit-2,name_de,Angriffplus2,
dire-hit-2,name_es,Crítico X 2,
dire-hit-2,name_it,Supercolpo 2,
dire-hit-2,name_ko,크리티컬커터2,
x-speed-2,name_fr,Vitesse 2,
x-speed-2,name_de,X-Initiative 2,
x-speed-2,name_es,Velocidad X 2,
x-speed-2,name_it,Velocità X-2,
x-speed-2,name_ko,스피드업2,
x-sp-atk-2,name_en,X Sp. Atk 2,X Sp. Atk. 2
x-sp-atk-2,name_ja,ＳＰアップ２,スペシャルアップ２
x-sp-atk-2,name_fr,Atq. Spé. 2,
x-sp-atk-2,name_de,X-Sp.-Ang. 2,
x-sp-atk-2,name_es,At. Esp. X 2,
x-sp-atk-2,name_it,Att. Sp. X-2,
x-sp-atk-2,name_ko,스페셜업2,
x-sp-def-2,name_en,X Sp. Def 2,X Sp. Def. 2
x-sp-def-2,name_ja,ＳＰガード２,スペシャルガード２
x-sp-def-2,name_fr,Déf. Spé. 2,
x-sp-def-2,name_de,X-Sp.-Vert. 2,
x-sp-def-2,name_es,Def. Esp. X 2,
x-sp-def-2,name_it,Dif. Spec. X-2,
x-sp-def-2,name_ko,스페셜가드2,
x-defense-2,_row_,present,missing
x-attack-2,name_fr,Attaque 2,
x-attack-2,name_de,X-Angriff 2,
x-attack-2,name_es,Ataque X 2,
x-attack-2,name_it,Attacco X-2,
x-attack-2,name_ko,플러스파워2,
x-accuracy-2,name_fr,Précision 2,
x-accuracy-2,name_de,X-Genauigkeit 2,
x-accuracy-2,name_es,Precisión X 2,
x-accuracy-2,name_it,Precisione X-2,
x-accuracy-2,name_ko,잘-맞히기2,
x-speed-3,name_fr,Vitesse 3,
x-speed-3,name_de,X-Initiative 3,
x-speed-3,name_es,Velocidad X 3,
x-speed-3,name_it,Velocità X-3,
x-speed-3,name_ko,스피드업3,
x-sp-atk-3,name_en,X Sp. Atk 3,X Sp. Atk. 3
x-sp-atk-3,name_ja,ＳＰアップ３,スペシャルアップ３
x-sp-atk-3,name_fr,Atq. Spé. 3,
x-sp-atk-3,name_de,X-Sp.-Ang. 3,
x-sp-atk-3,name_es,At. Esp. X 3,
x-sp-atk-3,name_it,Att. Sp. X-3,
x-sp-atk-3,name_ko,스페셜업3,
x-sp-def-3,name_en,X Sp. Def 3,X Sp. Def. 3
x-sp-def-3,name_ja,ＳＰガード３,スペシャルガード３
x-sp-def-3,name_fr,Déf. Spé. 3,
x-sp-def-3,name_de,X-Sp.-Vert. 3,
x-sp-def-3,name_es,Def. Esp. X 3,
x-sp-def-3,name_it,Dif. Spec. X-3,
x-sp-def-3,name_ko,스페셜가드3,
x-defense-3,_row_,present,missing
x-attack-3,name_fr,Attaque 3,
x-attack-3,name_de,X-Angriff 3,
x-attack-3,name_es,Ataque X 3,
x-attack-3,name_it,Attacco X-3,
x-attack-3,name_ko,플러스파워3,
x-accuracy-3,name_fr,Précision 3,
x-accuracy-3,name_de,X-Genauigkeit 3,
x-accuracy-3,name_es,Precisión X 3,
x-accuracy-3,name_it,Precisione X-3,
x-accuracy-3,name_ko,잘-맞히기3,
x-speed-6,name_fr,Vitesse 6,
x-speed-6,name_de,X-Initiative 6,
x-speed-6,name_es,Velocidad X 6,
x-speed-6,name_it,Velocità X-6,
x-speed-6,name_ko,스피드업6,
x-sp-atk-6,name_en,X Sp. Atk 6,X Sp. Atk. 6
x-sp-atk-6,name_ja,ＳＰアップ６,スペシャルアップ６
x-sp-atk-6,name_fr,Atq. Spé. 6,
x-sp-atk-6,name_de,X-Sp.-Ang. 6,
