version_group/machine,column,pokeapi,pokedb
red-green-japan/tm7,_row_,present,missing
blue-japan/tm7,_row_,present,missing
firered-leafgreen/tm8,_row_,present,missing
heartgold-soulsilver/tm8,_row_,present,missing
colosseum/tm8,_row_,present,missing
xd/tm8,_row_,present,missing
red-green-japan/tm8,_row_,present,missing
blue-japan/tm8,_row_,present,missing
firered-leafgreen/tm9,_row_,present,missing
diamond-pearl/tm9,_row_,present,missing
platinum/tm9,_row_,present,missing
heartgold-soulsilver/tm9,_row_,present,missing
colosseum/tm9,_row_,present,missing
xd/tm9,_row_,present,missing
x-y/tm9,_row_,present,missing
omega-ruby-alpha-sapphire/tm9,_row_,present,missing
sun-moon/tm9,_row_,present,missing
ultra-sun-ultra-moon/tm9,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm9,_row_,present,missing
red-green-japan/tm9,_row_,present,missing
blue-japan/tm9,_row_,present,missing
firered-leafgreen/tm10,_row_,present,missing
heartgold-soulsilver/tm10,_row_,present,missing
colosseum/tm10,_row_,present,missing
xd/tm10,_row_,present,missing
x-y/tm10,_row_,present,missing
omega-ruby-alpha-sapphire/tm10,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm10,_row_,present,missing
red-green-japan/tm10,_row_,present,missing
blue-japan/tm10,_row_,present,missing
firered-leafgreen/tm11,_row_,present,missing
heartgold-soulsilver/tm11,_row_,present,missing
colosseum/tm11,_row_,present,missing
xd/tm11,_row_,present,missing
red-green-japan/tm11,_row_,present,missing
blue-japan/tm11,_row_,present,missing
colosseum/tm12,_row_,present,missing
xd/tm12,_row_,present,missing
red-green-japan/tm12,_row_,present,missing
blue-japan/tm12,_row_,present,missing
red-blue/tm13,_row_,present,missing
gold-silver/tm13,_row_,present,missing
ruby-sapphire/tm13,_row_,present,missing
firered-leafgreen/tm13,_row_,present,missing
diamond-pearl/tm13,_row_,present,missing
heartgold-soulsilver/tm13,_row_,present,missing
black-white/tm13,_row_,present,missing
colosseum/tm13,_row_,present,missing
xd/tm13,_row_,present,missing
black-2-white-2/tm13,_row_,present,missing
x-y/tm13,_row_,present,missing
omega-ruby-alpha-sapphire/tm13,_row_,present,missing
sun-moon/tm13,_row_,present,missing
ultra-sun-ultra-moon/tm13,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm13,_row_,present,missing
sword-shield/tm13,_row_,present,missing
red-green-japan/tm13,_row_,present,missing
blue-japan/tm13,_row_,present,missing
yellow/tm14,_row_,present,missing
crystal/tm14,_row_,present,missing
emerald/tm14,_row_,present,missing
firered-leafgreen/tm14,_row_,present,missing
diamond-pearl/tm14,_row_,present,missing
platinum/tm14,_row_,present,missing
heartgold-soulsilver/tm14,_row_,present,missing
colosseum/tm14,_row_,present,missing
xd/tm14,_row_,present,missing
black-2-white-2/tm14,_row_,present,missing
ultra-sun-ultra-moon/tm14,_row_,present,missing
red-green-japan/tm14,_row_,present,missing
blue-japan/tm14,_row_,present,missing
heartgold-soulsilver/tm15,_row_,present,missing
colosseum/tm15,_row_,present,missing
xd/tm15,_row_,present,missing
red-green-japan/tm15,_row_,present,missing
blue-japan/tm15,_row_,present,missing
firered-leafgreen/tm16,_row_,present,missing
heartgold-soulsilver/tm16,_row_,present,missing
colosseum/tm16,_row_,present,missing
xd/tm16,_row_,present,missing
red-green-japan/tm16,_row_,present,missing
blue-japan/tm16,_row_,present,missing
firered-leafgreen/tm17,_row_,present,missing
colosseum/tm17,_row_,present,missing
xd/tm17,_row_,present,missing
red-green-japan/tm17,_row_,present,missing
blue-japan/tm17,_row_,present,missing
yellow/tm18,_row_,present,missing
firered-leafgreen/tm18,_row_,present,missing
heartgold-soulsilver/tm18,_row_,present,missing
black-white/tm18,_row_,present,missing
colosseum/tm18,_row_,present,missing
xd/tm18,_row_,present,missing
black-2-white-2/tm18,_row_,present,missing
x-y/tm18,_row_,present,missing
omega-ruby-alpha-sapphire/tm18,_row_,present,missing
sun-moon/tm18,_row_,present,missing
ultra-sun-ultra-moon/tm18,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm18,_row_,present,missing
red-green-japan/tm18,_row_,present,missing
blue-japan/tm18,_row_,present,missing
firered-leafgreen/tm19,_row_,present,missing
heartgold-soulsilver/tm19,_row_,present,missing
colosseum/tm19,_row_,present,missing
xd/tm19,_row_,present,missing
red-green-japan/tm19,_row_,present,missing
blue-japan/tm19,_row_,present,missing
red-blue/tm20,_row_,present,missing
gold-silver/tm20,_row_,present,missing
ruby-sapphire/tm20,_row_,present,missing
firered-leafgreen/tm20,_row_,present,missing
diamond-pearl/tm20,_row_,present,missing
platinum/tm20,_row_,present,missing
heartgold-soulsilver/tm20,_row_,present,missing
black-white/tm20,_row_,present,missing
colosseum/tm20,_row_,present,missing
xd/tm20,_row_,present,missing
black-2-white-2/tm20,_row_,present,missing
x-y/tm20,_row_,present,missing
omega-ruby-alpha-sapphire/tm20,_row_,present,missing
sun-moon/tm20,_row_,present,missing
ultra-sun-ultra-moon/tm20,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm20,_row_,present,missing
sword-shield/tm20,_row_,present,missing
red-green-japan/tm20,_row_,present,missing
blue-japan/tm20,_row_,present,missing
yellow/tm21,_row_,present,missing
crystal/tm21,_row_,present,missing
ruby-sapphire/tm21,_row_,present,missing
emerald/tm21,_row_,present,missing
firered-leafgreen/tm21,_row_,present,missing
diamond-pearl/tm21,_row_,present,missing
platinum/tm21,_row_,present,missing
heartgold-soulsilver/tm21,_row_,present,missing
colosseum/tm21,_row_,present,missing
xd/tm21,_row_,present,missing
black-2-white-2/tm21,_row_,present,missing
x-y/tm21,_row_,present,missing
omega-ruby-alpha-sapphire/tm21,_row_,present,missing
sun-moon/tm21,_row_,present,missing
ultra-sun-ultra-moon/tm21,_row_,present,missing
red-green-japan/tm21,_row_,present,missing
blue-japan/tm21,_row_,present,missing
colosseum/tm22,_row_,present,missing
xd/tm22,_row_,present,missing
red-green-japan/tm22,_row_,present,missing
blue-japan/tm22,_row_,present,missing
firered-leafgreen/tm23,_row_,present,missing
heartgold-soulsilver/tm23,_row_,present,missing
colosseum/tm23,_row_,present,missing
xd/tm23,_row_,present,missing
black-2-white-2/tm23,_row_,present,missing
omega-ruby-alpha-sapphire/tm23,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm23,_row_,present,missing
red-green-japan/tm23,_row_,present,missing
blue-japan/tm23,_row_,present,missing
firered-leafgreen/tm24,_row_,present,missing
heartgold-soulsilver/tm24,_row_,present,missing
colosseum/tm24,_row_,present,missing
xd/tm24,_row_,present,missing
omega-ruby-alpha-sapphire/tm24,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm24,_row_,present,missing
red-green-japan/tm24,_row_,present,missing
blue-japan/tm24,_row_,present,missing
yellow/tm25,_row_,present,missing
crystal/tm25,_row_,present,missing
firered-leafgreen/tm25,_row_,present,missing
diamond-pearl/tm25,_row_,present,missing
platinum/tm25,_row_,present,missing
heartgold-soulsilver/tm25,_row_,present,missing
colosseum/tm25,_row_,present,missing
xd/tm25,_row_,present,missing
black-2-white-2/tm25,_row_,present,missing
x-y/tm25,_row_,present,missing
omega-ruby-alpha-sapphire/tm25,_row_,present,missing
sun-moon/tm25,_row_,present,missing
ultra-sun-ultra-moon/tm25,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm25,_row_,present,missing
red-green-japan/tm25,_row_,present,missing
blue-japan/tm25,_row_,present,missing
yellow/tm26,_row_,present,missing
crystal/tm26,_row_,present,missing
emerald/tm26,_row_,present,missing
firered-leafgreen/tm26,_row_,present,missing
diamond-pearl/tm26,_row_,present,missing
platinum/tm26,_row_,present,missing
heartgold-soulsilver/tm26,_row_,present,missing
black-white/tm26,_row_,present,missing
colosseum/tm26,_row_,present,missing
xd/tm26,_row_,present,missing
black-2-white-2/tm26,_row_,present,missing
omega-ruby-alpha-sapphire/tm26,_row_,present,missing
sun-moon/tm26,_row_,present,missing
ultra-sun-ultra-moon/tm26,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm26,_row_,present,missing
red-green-japan/tm26,_row_,present,missing
blue-japan/tm26,_row_,present,missing
colosseum/tm27,_row_,present,missing
xd/tm27,_row_,present,missing
red-green-japan/tm27,_row_,present,missing
blue-japan/tm27,_row_,present,missing
firered-leafgreen/tm28,_row_,present,missing
diamond-pearl/tm28,_row_,present,missing
platinum/tm28,_row_,present,missing
heartgold-soulsilver/tm28,_row_,present,missing
black-white/tm28,_row_,present,missing
colosseum/tm28,_row_,present,missing
xd/tm28,_row_,present,missing
black-2-white-2/tm28,_row_,present,missing
x-y/tm28,_row_,present,missing
omega-ruby-alpha-sapphire/tm28,_row_,present,missing
red-green-japan/tm28,_row_,present,missing
blue-japan/tm28,_row_,present,missing
yellow/tm29,_row_,present,missing
gold-silver/tm29,_row_,present,missing
crystal/tm29,_row_,present,missing
ruby-sapphire/tm29,_row_,present,missing
emerald/tm29,_row_,present,missing
firered-leafgreen/tm29,_row_,present,missing
diamond-pearl/tm29,_row_,present,missing
platinum/tm29,_row_,present,missing
heartgold-soulsilver/tm29,_row_,present,missing
black-white/tm29,_row_,present,missing
colosseum/tm29,_row_,present,missing
xd/tm29,_row_,present,missing
black-2-white-2/tm29,_row_,present,missing
x-y/tm29,_row_,present,missing
omega-ruby-alpha-sapphire/tm29,_row_,present,missing
ultra-sun-ultra-moon/tm29,_row_,present,missing
red-green-japan/tm29,_row_,present,missing
blue-japan/tm29,_row_,present,missing
firered-leafgreen/tm30,_row_,present,missing
diamond-pearl/tm30,_row_,present,missing
platinum/tm30,_row_,present,missing
heartgold-soulsilver/tm30,_row_,present,missing
black-white/tm30,_row_,present,missing
colosseum/tm30,_row_,present,missing
xd/tm30,_row_,present,missing
black-2-white-2/tm30,_row_,present,missing
omega-ruby-alpha-sapphire/tm30,_row_,present,missing
sun-moon/tm30,_row_,present,missing
ultra-sun-ultra-moon/tm30,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm30,_row_,present,missing
sword-shield/tm30,_row_,present,missing
red-green-japan/tm30,_row_,present,missing
blue-japan/tm30,_row_,present,missing
firered-leafgreen/tm31,_row_,present,missing
diamond-pearl/tm31,_row_,present,missing
platinum/tm31,_row_,present,missing
heartgold-soulsilver/tm31,_row_,present,missing
black-white/tm31,_row_,present,missing
colosseum/tm31,_row_,present,missing
xd/tm31,_row_,present,missing
black-2-white-2/tm31,_row_,present,missing
x-y/tm31,_row_,present,missing
omega-ruby-alpha-sapphire/tm31,_row_,present,missing
sun-moon/tm31,_row_,present,missing
ultra-sun-ultra-moon/tm31,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm31,_row_,present,missing
red-green-japan/tm31,_row_,present,missing
blue-japan/tm31,_row_,present,missing
firered-leafgreen/tm32,_row_,present,missing
heartgold-soulsilver/tm32,_row_,present,missing
colosseum/tm32,_row_,present,missing
xd/tm32,_row_,present,missing
red-green-japan/tm32,_row_,present,missing
blue-japan/tm32,_row_,present,missing
firered-leafgreen/tm33,_row_,present,missing
heartgold-soulsilver/tm33,_row_,present,missing
colosseum/tm33,_row_,present,missing
xd/tm33,_row_,present,missing
black-2-white-2/tm33,_row_,present,missing
omega-ruby-alpha-sapphire/tm33,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm33,_row_,present,missing
red-green-japan/tm33,_row_,present,missing
blue-japan/tm33,_row_,present,missing
firered-leafgreen/tm34,_row_,present,missing
heartgold-soulsilver/tm34,_row_,present,missing
colosseum/tm34,_row_,present,missing
xd/tm34,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm34,_row_,present,missing
red-green-japan/tm34,_row_,present,missing
blue-japan/tm34,_row_,present,missing
colosseum/tm35,_row_,present,missing
xd/tm35,_row_,present,missing
red-green-japan/tm35,_row_,present,missing
blue-japan/tm35,_row_,present,missing
firered-leafgreen/tm36,_row_,present,missing
diamond-pearl/tm36,_row_,present,missing
platinum/tm36,_row_,present,missing
heartgold-soulsilver/tm36,_row_,present,missing
black-white/tm36,_row_,present,missing
colosseum/tm36,_row_,present,missing
xd/tm36,_row_,present,missing
black-2-white-2/tm36,_row_,present,missing
x-y/tm36,_row_,present,missing
omega-ruby-alpha-sapphire/tm36,_row_,present,missing
sun-moon/tm36,_row_,present,missing
ultra-sun-ultra-moon/tm36,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm36,_row_,present,missing
red-green-japan/tm36,_row_,present,missing
blue-japan/tm36,_row_,present,missing
firered-leafgreen/tm37,_row_,present,missing
heartgold-soulsilver/tm37,_row_,present,missing
colosseum/tm37,_row_,present,missing
xd/tm37,_row_,present,missing
omega-ruby-alpha-sapphire/tm37,_row_,present,missing
red-green-japan/tm37,_row_,present,missing
blue-japan/tm37,_row_,present,missing
firered-leafgreen/tm38,_row_,present,missing
heartgold-soulsilver/tm38,_row_,present,missing
colosseum/tm38,_row_,present,missing
xd/tm38,_row_,present,missing
black-2-white-2/tm38,_row_,present,missing
omega-ruby-alpha-sapphire/tm38,_row_,present,missing
red-green-japan/tm38,_row_,present,missing
blue-japan/tm38,_row_,present,missing
colosseum/tm39,_row_,present,missing
xd/tm39,_row_,present,missing
red-green-japan/tm39,_row_,present,missing
blue-japan/tm39,_row_,present,missing
firered-leafgreen/tm40,_row_,present,missing
heartgold-soulsilver/tm40,_row_,present,missing
black-white/tm40,_row_,present,missing
colosseum/tm40,_row_,present,missing
xd/tm40,_row_,present,missing
black-2-white-2/tm40,_row_,present,missing
x-y/tm40,_row_,present,missing
omega-ruby-alpha-sapphire/tm40,_row_,present,missing
sun-moon/tm40,_row_,present,missing
ultra-sun-ultra-moon/tm40,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm40,_row_,present,missing
red-green-japan/tm40,_row_,present,missing
blue-japan/tm40,_row_,present,missing
firered-leafgreen/tm41,_row_,present,missing
heartgold-soulsilver/tm41,_row_,present,missing
colosseum/tm41,_row_,present,missing
xd/tm41,_row_,present,missing
x-y/tm41,_row_,present,missing
omega-ruby-alpha-sapphire/tm41,_row_,present,missing
sun-moon/tm41,_row_,present,missing
ultra-sun-ultra-moon/tm41,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm41,_row_,present,missing
red-green-japan/tm41,_row_,present,missing
blue-japan/tm41,_row_,present,missing
heartgold-soulsilver/tm42,_row_,present,missing
colosseum/tm42,_row_,present,missing
xd/tm42,_row_,present,missing
red-green-japan/tm42,_row_,present,missing
blue-japan/tm42,_row_,present,missing
colosseum/tm43,_row_,present,missing
xd/tm43,_row_,present,missing
red-green-japan/tm43,_row_,present,missing
blue-japan/tm43,_row_,present,missing
firered-leafgreen/tm44,_row_,present,missing
heartgold-soulsilver/tm44,_row_,present,missing
black-white/tm44,_row_,present,missing
colosseum/tm44,_row_,present,missing
xd/tm44,_row_,present,missing
black-2-white-2/tm44,_row_,present,missing
x-y/tm44,_row_,present,missing
omega-ruby-alpha-sapphire/tm44,_row_,present,missing
red-green-japan/tm44,_row_,present,missing
blue-japan/tm44,_row_,present,missing
colosseum/tm45,_row_,present,missing
xd/tm45,_row_,present,missing
red-green-japan/tm45,_row_,present,missing
blue-japan/tm45,_row_,present,missing
colosseum/tm46,_row_,present,missing
xd/tm46,_row_,present,missing
red-green-japan/tm46,_row_,present,missing
blue-japan/tm46,_row_,present,missing
firered-leafgreen/tm47,_row_,present,missing
heartgold-soulsilver/tm47,_row_,present,missing
colosseum/tm47,_row_,present,missing
xd/tm47,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm47,_row_,present,missing
red-green-japan/tm47,_row_,present,missing
blue-japan/tm47,_row_,present,missing
red-blue/tm48,_row_,present,missing
gold-silver/tm48,_row_,present,missing
ruby-sapphire/tm48,_row_,present,missing
firered-leafgreen/tm48,_row_,present,missing
diamond-pearl/tm48,_row_,present,missing
heartgold-soulsilver/tm48,_row_,present,missing
black-white/tm48,_row_,present,missing
colosseum/tm48,_row_,present,missing
xd/tm48,_row_,present,missing
black-2-white-2/tm48,_row_,present,missing
x-y/tm48,_row_,present,missing
omega-ruby-alpha-sapphire/tm48,_row_,present,missing
sun-moon/tm48,_row_,present,missing
ultra-sun-ultra-moon/tm48,_row_,present,missing
lets-go-pikachu-lets-go-eevee/tm48,_row_,present,missing
sword-shield/tm48,_row_,present,missing
red-green-japan/tm48,_row_,present,missing
blue-japan/tm48,_row_,present,missing
firered-leafgreen/tm49,_row_,present,missing
heartgold-soulsilver/tm49,_row_,present,missing
colosseum/tm49,_row_,present,missing
xd/tm49,_row_,present,missing
red-green-japan/tm49,_row_,present,missing
blue-japan/tm49,_row_,present,missing
firered-leafgreen/tm50,_row_,present,missing
heartgold-soulsilver/tm50,_row_,present,missing
colosseum/tm50,_row_,present,missing
xd/tm50,_row_,present,missing
black-2-white-2/tm50,_row_,present,missing
omega-ruby-alpha-sapphire/tm50,_row_,present,missing
red-green-japan/tm50,_row_,present,missing
blue-japan/tm50,_row_,present,missing
heartgold-soulsilver/tm51,_row_,present,missing
heartgold-soulsilver/tm55,_row_,present,missing
heartgold-soulsilver/tm62,_row_,present,missing
heartgold-soulsilver/tm71,_row_,present,missing
heartgold-soulsilver/tm72,_row_,present,missing
heartgold-soulsilver/tm83,_row_,present,missing
heartgold-soulsilver/tm84,_row_,present,missing
heartgold-soulsilver/tm87,_row_,present,missing
heartgold-soulsilver/tm88,_row_,present,missing
heartgold-soulsilver/tm90,_row_,present,missing
heartgold-soulsilver/tm91,_row_,present,missing
diamond-pearl/tm92,_row_,present,missing
heartgold-soulsilver/tm92,_row_,present,missing
black-white/tm92,_row_,present,missing
black-2-white-2/tm92,_row_,present,missing
x-y/tm92,_row_,present,missing
omega-ruby-alpha-sapphire/tm92,_row_,present,missing
sun-moon/tm92,_row_,present,missing
ultra-sun-ultra-moon/tm92,_row_,present,missing
sword-shield/tm92,_row_,present,missing
black-2-white-2/tm93,_row_,present,missing
omega-ruby-alpha-sapphire/tm93,_row_,present,missing
colosseum/hm1,_row_,present,missing
xd/hm1,_row_,present,missing
red-green-japan/hm1,_row_,present,missing
blue-japan/hm1,_row_,present,missing
colosseum/hm2,_row_,present,missing
xd/hm2,_row_,present,missing
red-green-japan/hm2,_row_,present,missing
blue-japan/hm2,_row_,present,missing
red-blue/hm3,_row_,present,missing
gold-silver/hm3,_row_,present,missing
ruby-sapphire/hm3,_row_,present,missing
firered-leafgreen/hm3,_row_,present,missing
diamond-pearl/hm3,_row_,present,missing
heartgold-soulsilver/hm3,_row_,present,missing
black-white/hm3,_row_,present,missing
colosseum/hm3,_row_,present,missing
xd/hm3,_row_,present,missing
black-2-white-2/hm3,_row_,present,missing
x-y/hm3,_row_,present,missing
omega-ruby-alpha-sapphire/hm3,_row_,present,missing
red-green-japan/hm3,_row_,present,missing
blue-japan/hm3,_row_,present,missing
yellow/hm4,_row_,present,missing
crystal/hm4,_row_,present,missing
emerald/hm4,_row_,present,missing
firered-leafgreen/hm4,_row_,present,missing
platinum/hm4,_row_,present,missing
heartgold-soulsilver/hm4,_row_,present,missing
colosseum/hm4,_row_,present,missing
xd/hm4,_row_,present,missing
black-2-white-2/hm4,_row_,present,missing
omega-ruby-alpha-sapphire/hm4,_row_,present,missing
red-green-japan/hm4,_row_,present,missing
blue-japan/hm4,_row_,present,missing
colosseum/hm5,_row_,present,missing
xd/hm5,_row_,present,missing
red-green-japan/hm5,_row_,present,missing
blue-japan/hm5,_row_,present,missing
colosseum/hm6,_row_,present,missing
xd/hm6,_row_,present,missing
colosseum/hm7,_row_,present,missing
xd/hm7,_row_,present,missing
ruby-sapphire/hm8,_row_,present,missing
firered-leafgreen/hm8,_row_,present,missing
diamond-pearl/hm8,_row_,present,missing
heartgold-soulsilver/hm8,_row_,present,missing
colosseum/hm8,_row_,present,missing
xd/hm8,_row_,present,missing
brilliant-diamond-shining-pearl/hm1,_row_,present,missing
brilliant-diamond-shining-pearl/hm2,_row_,present,missing
brilliant-diamond-shining-pearl/hm3,_row_,present,missing
brilliant-diamond-shining-pearl/hm4,_row_,present,missing
brilliant-diamond-shining-pearl/hm5,_row_,present,missing
brilliant-diamond-shining-pearl/hm6,_row_,present,missing
brilliant-diamond-shining-pearl/hm7,_row_,present,missing
brilliant-diamond-shining-pearl/hm8,_row_,present,missing
scarlet-violet/tm13,_row_,present,missing
scarlet-violet/tm20,_row_,present,missing
scarlet-violet/tm48,_row_,present,missing
scarlet-violet/tm92,_row_,present,missing
scarlet-violet/tm101,_row_,present,missing
scarlet-violet/tm102,_row_,present,missing
scarlet-violet/tm108,_row_,present,missing
scarlet-violet/tm111,_row_,present,missing
scarlet-violet/tm125,_row_,present,missing
scarlet-violet/tm129,_row_,present,missing
scarlet-violet/tm144,_row_,present,missing
scarlet-violet/tm149,_row_,present,missing
scarlet-violet/tm157,_row_,present,missing
scarlet-violet/tm159,_row_,present,missing
scarlet-violet/tm162,_row_,present,missing
scarlet-violet/tm169,_row_,present,missing
scarlet-violet/tm177,_row_,present,missing
scarlet-violet/tm180,_row_,present,missing
scarlet-violet/tm193,_row_,present,missing
scarlet-violet/tm198,_row_,present,missing
scarlet-violet/tm208,_row_,present,missing
scarlet-violet/tm210,_row_,present,missing
scarlet-violet/tm211,_row_,present,missing
scarlet-violet/tm229,_row_,present,missing
the-teal-mask/tm67,_row_,present,missing
the-teal-mask/tm68,_row_,present,missing
the-teal-mask/tm69,_row_,present,missing
the-teal-mask/tm132,_row_,present,missing
the-teal-mask/tm170,_row_,present,missing
the-teal-mask/tm172,_row_,present,missing
the-teal-mask/tm173,_row_,present,missing
the-teal-mask/tm174,_row_,present,missing
the-teal-mask/tm175,_row_,present,missing
the-teal-mask/tm176,_row_,present,missing
the-teal-mask/tm177,_row_,present,missing
the-teal-mask/tm178,_row_,present,missing
the-teal-mask/tm179,_row_,present,missing
the-teal-mask/tm180,_row_,present,missing
the-teal-mask/tm181,_row_,present,missing
the-teal-mask/tm182,_row_,present,missing
the-teal-mask/tm183,_row_,present,missing
the-teal-mask/tm184,_row_,present,missing
the-teal-mask/tm185,_row_,present,missing
the-teal-mask/tm186,_row_,present,missing
the-teal-mask/tm187,_row_,present,missing
the-teal-mask/tm188,_row_,present,missing
the-teal-mask/tm189,_row_,present,missing
the-teal-mask/tm190,_row_,present,missing
the-teal-mask/tm191,_row_,present,missing
the-teal-mask/tm192,_row_,present,missing
the-teal-mask/tm193,_row_,present,missing
the-teal-mask/tm194,_row_,present,missing
the-teal-mask/tm195,_row_,present,missing
the-teal-mask/tm196,_row_,present,missing
the-teal-mask/tm197,_row_,present,missing
the-teal-mask/tm198,_row_,present,missing
the-teal-mask/tm199,_row_,present,missing
the-teal-mask/tm200,_row_,present,missing
the-teal-mask/tm201,_row_,present,missing
the-indigo-disk/tm2,_row_,present,missing
the-indigo-disk/tm7,_row_,present,missing
the-indigo-disk/tm13,_row_,present,missing
the-indigo-disk/tm29,_row_,present,missing
the-indigo-disk/tm30,_row_,present,missing
the-indigo-disk/tm34,_row_,present,missing
the-indigo-disk/tm39,_row_,present,missing
the-indigo-disk/tm41,_row_,present,missing
the-indigo-disk/tm44,_row_,present,missing
the-indigo-disk/tm49,_row_,present,missing
the-indigo-disk/tm50,_row_,present,missing
the-indigo-disk/tm51,_row_,present,missing
the-indigo-disk/tm52,_row_,present,missing
the-indigo-disk/tm53,_row_,present,missing
the-indigo-disk/tm59,_row_,present,missing
the-indigo-disk/tm60,_row_,present,missing
the-indigo-disk/tm63,_row_,present,missing
the-indigo-disk/tm64,_row_,present,missing
the-indigo-disk/tm67,_row_,present,missing
the-indigo-disk/tm68,_row_,present,missing
the-indigo-disk/tm69,_row_,present,missing
the-indigo-disk/tm74,_row_,present,missing
the-indigo-disk/tm75,_row_,present,missing
the-indigo-disk/tm76,_row_,present,missing
the-indigo-disk/tm77,_row_,present,missing
the-indigo-disk/tm78,_row_,present,missing
the-indigo-disk/tm81,_row_,present,missing
the-indigo-disk/tm82,_row_,present,missing
the-indigo-disk/tm83,_row_,present,missing
the-indigo-disk/tm86,_row_,present,missing
the-indigo-disk/tm87,_row_,present,missing
the-indigo-disk/tm88,_row_,present,missing
the-indigo-disk/tm89,_row_,present,missing
the-indigo-disk/tm93,_row_,present,missing
the-indigo-disk/tm94,_row_,present,missing
the-indigo-disk/tm99,_row_,present,missing
the-indigo-disk/tm100,_row_,present,missing
the-indigo-disk/tm103,_row_,present,missing
the-indigo-disk/tm104,_row_,present,missing
the-indigo-disk/tm106,_row_,present,missing
the-indigo-disk/tm107,_row_,present,missing
the-indigo-disk/tm108,_row_,present,missing
the-indigo-disk/tm109,_row_,present,missing
the-indigo-disk/tm110,_row_,present,missing
the-indigo-disk/tm111,_row_,present,missing
the-indigo-disk/tm112,_row_,present,missing
the-indigo-disk/tm113,_row_,present,missing
the-indigo-disk/tm115,_row_,present,missing
the-indigo-disk/tm117,_row_,present,missing
the-indigo-disk/tm118,_row_,present,missing
the-indigo-disk/tm119,_row_,present,missing
the-indigo-disk/tm121,_row_,present,missing
the-indigo-disk/tm124,_row_,present,missing
the-indigo-disk/tm125,_row_,present,missing
