form/version_group/method/move,column,pokeapi,pokedb
ivysaur/ultra-sun-ultra-moon/level-up/growl,level,3,1
ivysaur/ultra-sun-ultra-moon/level-up/leech-seed,level,7,1
ivysaur/lets-go-pikachu-lets-go-eevee/level-up/vine-whip,level,5,1
ivysaur/lets-go-pikachu-lets-go-eevee/level-up/leech-seed,level,9,1
ivysaur/red-green-japan/level-up/tackle,_row_,present,missing
ivysaur/red-green-japan/level-up/growl,_row_,present,missing
ivysaur/red-green-japan/level-up/leech-seed,_row_,present,missing
ivysaur/red-green-japan/level-up/vine-whip,_row_,present,missing
ivysaur/red-green-japan/level-up/poison-powder,_row_,present,missing
ivysaur/red-green-japan/level-up/razor-leaf,_row_,present,missing
ivysaur/red-green-japan/level-up/growth,_row_,present,missing
ivysaur/red-green-japan/level-up/sleep-powder,_row_,present,missing
ivysaur/red-green-japan/level-up/solar-beam,_row_,present,missing
ivysaur/red-green-japan/machine/swords-dance,_row_,present,missing
ivysaur/red-green-japan/machine/cut,_row_,present,missing
ivysaur/red-green-japan/machine/body-slam,_row_,present,missing
ivysaur/red-green-japan/machine/take-down,_row_,present,missing
ivysaur/red-green-japan/machine/double-edge,_row_,present,missing
ivysaur/red-green-japan/machine/mega-drain,_row_,present,missing
ivysaur/red-green-japan/machine/solar-beam,_row_,present,missing
ivysaur/red-green-japan/machine/toxic,_row_,present,missing
ivysaur/red-green-japan/machine/rage,_row_,present,missing
ivysaur/red-green-japan/machine/mimic,_row_,present,missing
ivysaur/red-green-japan/machine/double-team,_row_,present,missing
ivysaur/red-green-japan/machine/reflect,_row_,present,missing
ivysaur/red-green-japan/machine/bide,_row_,present,missing
ivysaur/red-green-japan/machine/rest,_row_,present,missing
ivysaur/red-green-japan/machine/substitute,_row_,present,missing
ivysaur/blue-japan/level-up/tackle,_row_,present,missing
ivysaur/blue-japan/level-up/growl,_row_,present,missing
ivysaur/blue-japan/level-up/leech-seed,_row_,present,missing
ivysaur/blue-japan/level-up/vine-whip,_row_,present,missing
ivysaur/blue-japan/level-up/poison-powder,_row_,present,missing
ivysaur/blue-japan/level-up/razor-leaf,_row_,present,missing
ivysaur/blue-japan/level-up/growth,_row_,present,missing
ivysaur/blue-japan/level-up/sleep-powder,_row_,present,missing
ivysaur/blue-japan/level-up/solar-beam,_row_,present,missing
ivysaur/blue-japan/machine/swords-dance,_row_,present,missing
ivysaur/blue-japan/machine/cut,_row_,present,missing
ivysaur/blue-japan/machine/body-slam,_row_,present,missing
ivysaur/blue-japan/machine/take-down,_row_,present,missing
ivysaur/blue-japan/machine/double-edge,_row_,present,missing
ivysaur/blue-japan/machine/mega-drain,_row_,present,missing
ivysaur/blue-japan/machine/solar-beam,_row_,present,missing
ivysaur/blue-japan/machine/toxic,_row_,present,missing
ivysaur/blue-japan/machine/rage,_row_,present,missing
ivysaur/blue-japan/machine/mimic,_row_,present,missing
ivysaur/blue-japan/machine/double-team,_row_,present,missing
ivysaur/blue-japan/machine/reflect,_row_,present,missing
ivysaur/blue-japan/machine/bide,_row_,present,missing
ivysaur/blue-japan/machine/rest,_row_,present,missing
ivysaur/blue-japan/machine/substitute,_row_,present,missing
venusaur/red-blue/level-up/vine-whip,level,13,1
venusaur/red-blue/level-up/leech-seed,level,7,1
venusaur/yellow/level-up/vine-whip,level,13,1
venusaur/gold-silver/level-up/vine-whip,level,10,1
venusaur/gold-silver/level-up/growl,level,4,1
venusaur/gold-silver/level-up/leech-seed,level,7,1
venusaur/crystal/level-up/vine-whip,level,10,1
venusaur/crystal/level-up/growl,level,4,1
venusaur/crystal/level-up/leech-seed,level,7,1
venusaur/platinum/level-up/growl,level,3,1
venusaur/platinum/level-up/leech-seed,level,7,1
venusaur/black-white/level-up/vine-whip,level,9,1
venusaur/black-white/level-up/growl,level,3,1
venusaur/black-white/level-up/leech-seed,level,7,1
venusaur/colosseum/level-up/vine-whip,level,10,1
venusaur/colosseum/level-up/growl,level,4,1
venusaur/colosseum/level-up/leech-seed,level,7,1
venusaur/xd/level-up/vine-whip,level,10,1
venusaur/black-2-white-2/level-up/leech-seed,level,7,1
venusaur/x-y/level-up/vine-whip,level,9,1
venusaur/x-y/level-up/growl,level,3,1
venusaur/x-y/level-up/leech-seed,level,7,1
venusaur/omega-ruby-alpha-sapphire/level-up/vine-whip,level,9,1
venusaur/omega-ruby-alpha-sapphire/level-up/growl,level,3,1
venusaur/omega-ruby-alpha-sapphire/level-up/leech-seed,level,7,1
venusaur/sun-moon/level-up/vine-whip,level,9,1
venusaur/sun-moon/level-up/growl,level,3,1
venusaur/sun-moon/level-up/leech-seed,level,7,1
venusaur/ultra-sun-ultra-moon/level-up/vine-whip,level,9,1
venusaur/lets-go-pikachu-lets-go-eevee/level-up/petal-dance,level,1,0
venusaur/lets-go-pikachu-lets-go-eevee/level-up/vine-whip,level,5,1
venusaur/lets-go-pikachu-lets-go-eevee/level-up/leech-seed,level,9,1
venusaur/red-green-japan/level-up/vine-whip,_row_,present,missing
venusaur/red-green-japan/level-up/tackle,_row_,present,missing
venusaur/red-green-japan/level-up/growl,_row_,present,missing
venusaur/red-green-japan/level-up/leech-seed,_row_,present,missing
venusaur/red-green-japan/level-up/poison-powder,_row_,present,missing
venusaur/red-green-japan/level-up/razor-leaf,_row_,present,missing
venusaur/red-green-japan/level-up/growth,_row_,present,missing
venusaur/red-green-japan/level-up/sleep-powder,_row_,present,missing
venusaur/red-green-japan/level-up/solar-beam,_row_,present,missing
venusaur/red-green-japan/machine/swords-dance,_row_,present,missing
venusaur/red-green-japan/machine/cut,_row_,present,missing
venusaur/red-green-japan/machine/body-slam,_row_,present,missing
venusaur/red-green-japan/machine/take-down,_row_,present,missing
venusaur/red-green-japan/machine/double-edge,_row_,present,missing
venusaur/red-green-japan/machine/hyper-beam,_row_,present,missing
venusaur/red-green-japan/machine/mega-drain,_row_,present,missing
venusaur/red-green-japan/machine/solar-beam,_row_,present,missing
venusaur/red-green-japan/machine/toxic,_row_,present,missing
venusaur/red-green-japan/machine/rage,_row_,present,missing
venusaur/red-green-japan/machine/mimic,_row_,present,missing
venusaur/red-green-japan/machine/double-team,_row_,present,missing
venusaur/red-green-japan/machine/reflect,_row_,present,missing
venusaur/red-green-japan/machine/bide,_row_,present,missing
venusaur/red-green-japan/machine/rest,_row_,present,missing
venusaur/red-green-japan/machine/substitute,_row_,present,missing
venusaur/blue-japan/level-up/vine-whip,_row_,present,missing
venusaur/blue-japan/level-up/tackle,_row_,present,missing
venusaur/blue-japan/level-up/growl,_row_,present,missing
venusaur/blue-japan/level-up/leech-seed,_row_,present,missing
venusaur/blue-japan/level-up/poison-powder,_row_,present,missing
venusaur/blue-japan/level-up/razor-leaf,_row_,present,missing
venusaur/blue-japan/level-up/growth,_row_,present,missing
venusaur/blue-japan/level-up/sleep-powder,_row_,present,missing
venusaur/blue-japan/level-up/solar-beam,_row_,present,missing
venusaur/blue-japan/machine/swords-dance,_row_,present,missing
venusaur/blue-japan/machine/cut,_row_,present,missing
venusaur/blue-japan/machine/body-slam,_row_,present,missing
venusaur/blue-japan/machine/take-down,_row_,present,missing
venusaur/blue-japan/machine/double-edge,_row_,present,missing
venusaur/blue-japan/machine/hyper-beam,_row_,present,missing
venusaur/blue-japan/machine/mega-drain,_row_,present,missing
venusaur/blue-japan/machine/solar-beam,_row_,present,missing
venusaur/blue-japan/machine/toxic,_row_,present,missing
venusaur/blue-japan/machine/rage,_row_,present,missing
venusaur/blue-japan/machine/mimic,_row_,present,missing
venusaur/blue-japan/machine/double-team,_row_,present,missing
venusaur/blue-japan/machine/reflect,_row_,present,missing
venusaur/blue-japan/machine/bide,_row_,present,missing
venusaur/blue-japan/machine/rest,_row_,present,missing
venusaur/blue-japan/machine/substitute,_row_,present,missing
charmander/red-green-japan/level-up/scratch,_row_,present,missing
charmander/red-green-japan/level-up/growl,_row_,present,missing
charmander/red-green-japan/level-up/ember,_row_,present,missing
charmander/red-green-japan/level-up/leer,_row_,present,missing
charmander/red-green-japan/level-up/rage,_row_,present,missing
charmander/red-green-japan/level-up/slash,_row_,present,missing
charmander/red-green-japan/level-up/flamethrower,_row_,present,missing
charmander/red-green-japan/level-up/fire-spin,_row_,present,missing
charmander/red-green-japan/machine/mega-punch,_row_,present,missing
charmander/red-green-japan/machine/swords-dance,_row_,present,missing
charmander/red-green-japan/machine/cut,_row_,present,missing
charmander/red-green-japan/machine/mega-kick,_row_,present,missing
charmander/red-green-japan/machine/body-slam,_row_,present,missing
charmander/red-green-japan/machine/take-down,_row_,present,missing
charmander/red-green-japan/machine/double-edge,_row_,present,missing
charmander/red-green-japan/machine/submission,_row_,present,missing
charmander/red-green-japan/machine/counter,_row_,present,missing
charmander/red-green-japan/machine/seismic-toss,_row_,present,missing
charmander/red-green-japan/machine/strength,_row_,present,missing
charmander/red-green-japan/machine/dragon-rage,_row_,present,missing
charmander/red-green-japan/machine/dig,_row_,present,missing
charmander/red-green-japan/machine/toxic,_row_,present,missing
charmander/red-green-japan/machine/rage,_row_,present,missing
charmander/red-green-japan/machine/mimic,_row_,present,missing
charmander/red-green-japan/machine/double-team,_row_,present,missing
charmander/red-green-japan/machine/reflect,_row_,present,missing
charmander/red-green-japan/machine/bide,_row_,present,missing
charmander/red-green-japan/machine/fire-blast,_row_,present,missing
charmander/red-green-japan/machine/swift,_row_,present,missing
charmander/red-green-japan/machine/skull-bash,_row_,present,missing
charmander/red-green-japan/machine/rest,_row_,present,missing
charmander/red-green-japan/machine/substitute,_row_,present,missing
charmander/blue-japan/level-up/scratch,_row_,present,missing
charmander/blue-japan/level-up/growl,_row_,present,missing
charmander/blue-japan/level-up/ember,_row_,present,missing
charmander/blue-japan/level-up/leer,_row_,present,missing
charmander/blue-japan/level-up/rage,_row_,present,missing
charmander/blue-japan/level-up/slash,_row_,present,missing
charmander/blue-japan/level-up/flamethrower,_row_,present,missing
charmander/blue-japan/level-up/fire-spin,_row_,present,missing
charmander/blue-japan/machine/mega-punch,_row_,present,missing
charmander/blue-japan/machine/swords-dance,_row_,present,missing
charmander/blue-japan/machine/cut,_row_,present,missing
charmander/blue-japan/machine/mega-kick,_row_,present,missing
charmander/blue-japan/machine/body-slam,_row_,present,missing
charmander/blue-japan/machine/take-down,_row_,present,missing
charmander/blue-japan/machine/double-edge,_row_,present,missing
charmander/blue-japan/machine/submission,_row_,present,missing
charmander/blue-japan/machine/counter,_row_,present,missing
charmander/blue-japan/machine/seismic-toss,_row_,present,missing
charmander/blue-japan/machine/strength,_row_,present,missing
charmander/blue-japan/machine/dragon-rage,_row_,present,missing
charmander/blue-japan/machine/dig,_row_,present,missing
charmander/blue-japan/machine/toxic,_row_,present,missing
charmander/blue-japan/machine/rage,_row_,present,missing
charmander/blue-japan/machine/mimic,_row_,present,missing
charmander/blue-japan/machine/double-team,_row_,present,missing
charmander/blue-japan/machine/reflect,_row_,present,missing
charmander/blue-japan/machine/bide,_row_,present,missing
charmander/blue-japan/machine/fire-blast,_row_,present,missing
charmander/blue-japan/machine/swift,_row_,present,missing
charmander/blue-japan/machine/skull-bash,_row_,present,missing
charmander/blue-japan/machine/rest,_row_,present,missing
charmander/blue-japan/machine/substitute,_row_,present,missing
charmeleon/yellow/level-up/ember,level,9,1
charmeleon/gold-silver/level-up/ember,level,7,1
charmeleon/firered-leafgreen/level-up/ember,level,7,1
charmeleon/platinum/level-up/ember,level,7,1
charmeleon/colosseum/level-up/ember,level,7,1
charmeleon/xd/level-up/ember,level,7,1
charmeleon/black-2-white-2/level-up/ember,level,7,1
charmeleon/omega-ruby-alpha-sapphire/level-up/ember,level,7,1
charmeleon/ultra-sun-ultra-moon/level-up/ember,level,7,1
charmeleon/lets-go-pikachu-lets-go-eevee/level-up/growl,level,4,1
charmeleon/lets-go-pikachu-lets-go-eevee/level-up/ember,level,13,1
charmeleon/red-green-japan/level-up/scratch,_row_,present,missing
charmeleon/red-green-japan/level-up/growl,_row_,present,missing
charmeleon/red-green-japan/level-up/ember,_row_,present,missing
charmeleon/red-green-japan/level-up/leer,_row_,present,missing
charmeleon/red-green-japan/level-up/rage,_row_,present,missing
charmeleon/red-green-japan/level-up/slash,_row_,present,missing
charmeleon/red-green-japan/level-up/flamethrower,_row_,present,missing
charmeleon/red-green-japan/level-up/fire-spin,_row_,present,missing
charmeleon/red-green-japan/machine/mega-punch,_row_,present,missing
charmeleon/red-green-japan/machine/swords-dance,_row_,present,missing
charmeleon/red-green-japan/machine/cut,_row_,present,missing
charmeleon/red-green-japan/machine/mega-kick,_row_,present,missing
charmeleon/red-green-japan/machine/body-slam,_row_,present,missing
charmeleon/red-green-japan/machine/take-down,_row_,present,missing
charmeleon/red-green-japan/machine/double-edge,_row_,present,missing
charmeleon/red-green-japan/machine/submission,_row_,present,missing
charmeleon/red-green-japan/machine/counter,_row_,present,missing
charmeleon/red-green-japan/machine/seismic-toss,_row_,present,missing
charmeleon/red-green-japan/machine/strength,_row_,present,missing
charmeleon/red-green-japan/machine/dragon-rage,_row_,present,missing
charmeleon/red-green-japan/machine/dig,_row_,present,missing
charmeleon/red-green-japan/machine/toxic,_row_,present,missing
charmeleon/red-green-japan/machine/rage,_row_,present,missing
charmeleon/red-green-japan/machine/mimic,_row_,present,missing
charmeleon/red-green-japan/machine/double-team,_row_,present,missing
charmeleon/red-green-japan/machine/reflect,_row_,present,missing
charmeleon/red-green-japan/machine/bide,_row_,present,missing
charmeleon/red-green-japan/machine/fire-blast,_row_,present,missing
charmeleon/red-green-japan/machine/swift,_row_,present,missing
charmeleon/red-green-japan/machine/skull-bash,_row_,present,missing
charmeleon/red-green-japan/machine/rest,_row_,present,missing
charmeleon/red-green-japan/machine/substitute,_row_,present,missing
charmeleon/blue-japan/level-up/scratch,_row_,present,missing
charmeleon/blue-japan/level-up/growl,_row_,present,missing
charmeleon/blue-japan/level-up/ember,_row_,present,missing
charmeleon/blue-japan/level-up/leer,_row_,present,missing
charmeleon/blue-japan/level-up/rage,_row_,present,missing
charmeleon/blue-japan/level-up/slash,_row_,present,missing
charmeleon/blue-japan/level-up/flamethrower,_row_,present,missing
charmeleon/blue-japan/level-up/fire-spin,_row_,present,missing
charmeleon/blue-japan/machine/mega-punch,_row_,present,missing
charmeleon/blue-japan/machine/swords-dance,_row_,present,missing
charmeleon/blue-japan/machine/cut,_row_,present,missing
charmeleon/blue-japan/machine/mega-kick,_row_,present,missing
charmeleon/blue-japan/machine/body-slam,_row_,present,missing
charmeleon/blue-japan/machine/take-down,_row_,present,missing
charmeleon/blue-japan/machine/double-edge,_row_,present,missing
charmeleon/blue-japan/machine/submission,_row_,present,missing
charmeleon/blue-japan/machine/counter,_row_,present,missing
charmeleon/blue-japan/machine/seismic-toss,_row_,present,missing
charmeleon/blue-japan/machine/strength,_row_,present,missing
charmeleon/blue-japan/machine/dragon-rage,_row_,present,missing
charmeleon/blue-japan/machine/dig,_row_,present,missing
charmeleon/blue-japan/machine/toxic,_row_,present,missing
charmeleon/blue-japan/machine/rage,_row_,present,missing
charmeleon/blue-japan/machine/mimic,_row_,present,missing
charmeleon/blue-japan/machine/double-team,_row_,present,missing
charmeleon/blue-japan/machine/reflect,_row_,present,missing
charmeleon/blue-japan/machine/bide,_row_,present,missing
charmeleon/blue-japan/machine/fire-blast,_row_,present,missing
charmeleon/blue-japan/machine/swift,_row_,present,missing
charmeleon/blue-japan/machine/skull-bash,_row_,present,missing
charmeleon/blue-japan/machine/rest,_row_,present,missing
charmeleon/blue-japan/machine/substitute,_row_,present,missing
charizard/red-blue/level-up/leer,level,15,1
charizard/red-blue/level-up/ember,level,9,1
charizard/gold-silver/level-up/ember,level,7,1
charizard/gold-silver/level-up/smokescreen,level,13,1
charizard/crystal/level-up/ember,level,7,1
charizard/firered-leafgreen/level-up/metal-claw,level,13,1
charizard/platinum/level-up/ember,level,7,1
charizard/black-white/level-up/ember,level,7,1
charizard/black-white/level-up/smokescreen,level,10,1
charizard/colosseum/level-up/ember,level,7,1
charizard/colosseum/level-up/smokescreen,level,13,1
charizard/black-2-white-2/level-up/ember,level,7,1
charizard/black-2-white-2/level-up/smokescreen,level,10,1
charizard/x-y/level-up/ember,level,7,1
charizard/x-y/level-up/smokescreen,level,10,1
charizard/x-y/level-up/heat-wave,level,71,1
charizard/x-y/level-up/flare-blitz,level,77,1
charizard/omega-ruby-alpha-sapphire/level-up/heat-wave,level,71,1
charizard/omega-ruby-alpha-sapphire/level-up/flare-blitz,level,77,1
charizard/ultra-sun-ultra-moon/level-up/heat-wave,level,71,1
charizard/ultra-sun-ultra-moon/level-up/flare-blitz,level,77,1
charizard/lets-go-pikachu-lets-go-eevee/level-up/ember,level,13,1
charizard/red-green-japan/level-up/scratch,_row_,present,missing
charizard/red-green-japan/level-up/leer,_row_,present,missing
charizard/red-green-japan/level-up/growl,_row_,present,missing
charizard/red-green-japan/level-up/ember,_row_,present,missing
charizard/red-green-japan/level-up/rage,_row_,present,missing
charizard/red-green-japan/level-up/slash,_row_,present,missing
charizard/red-green-japan/level-up/flamethrower,_row_,present,missing
charizard/red-green-japan/level-up/fire-spin,_row_,present,missing
charizard/red-green-japan/machine/mega-punch,_row_,present,missing
charizard/red-green-japan/machine/swords-dance,_row_,present,missing
charizard/red-green-japan/machine/cut,_row_,present,missing
charizard/red-green-japan/machine/mega-kick,_row_,present,missing
charizard/red-green-japan/machine/body-slam,_row_,present,missing
charizard/red-green-japan/machine/take-down,_row_,present,missing
charizard/red-green-japan/machine/double-edge,_row_,present,missing
charizard/red-green-japan/machine/hyper-beam,_row_,present,missing
charizard/red-green-japan/machine/submission,_row_,present,missing
charizard/red-green-japan/machine/counter,_row_,present,missing
charizard/red-green-japan/machine/seismic-toss,_row_,present,missing
charizard/red-green-japan/machine/strength,_row_,present,missing
charizard/red-green-japan/machine/dragon-rage,_row_,present,missing
charizard/red-green-japan/machine/earthquake,_row_,present,missing
charizard/red-green-japan/machine/fissure,_row_,present,missing
charizard/red-green-japan/machine/dig,_row_,present,missing
charizard/red-green-japan/machine/toxic,_row_,present,missing
charizard/red-green-japan/machine/rage,_row_,present,missing
charizard/red-green-japan/machine/mimic,_row_,present,missing
charizard/red-green-japan/machine/double-team,_row_,present,missing
charizard/red-green-japan/machine/reflect,_row_,present,missing
charizard/red-green-japan/machine/bide,_row_,present,missing
charizard/red-green-japan/machine/fire-blast,_row_,present,missing
charizard/red-green-japan/machine/swift,_row_,present,missing
charizard/red-green-japan/machine/skull-bash,_row_,present,missing
charizard/red-green-japan/machine/rest,_row_,present,missing
charizard/red-green-japan/machine/substitute,_row_,present,missing
charizard/blue-japan/level-up/scratch,_row_,present,missing
charizard/blue-japan/level-up/leer,_row_,present,missing
charizard/blue-japan/level-up/growl,_row_,present,missing
charizard/blue-japan/level-up/ember,_row_,present,missing
charizard/blue-japan/level-up/rage,_row_,present,missing
charizard/blue-japan/level-up/slash,_row_,present,missing
charizard/blue-japan/level-up/flamethrower,_row_,present,missing
charizard/blue-japan/level-up/fire-spin,_row_,present,missing
charizard/blue-japan/machine/mega-punch,_row_,present,missing
charizard/blue-japan/machine/swords-dance,_row_,present,missing
charizard/blue-japan/machine/cut,_row_,present,missing
charizard/blue-japan/machine/mega-kick,_row_,present,missing
charizard/blue-japan/machine/body-slam,_row_,present,missing
charizard/blue-japan/machine/take-down,_row_,present,missing
charizard/blue-japan/machine/double-edge,_row_,present,missing
charizard/blue-japan/machine/hyper-beam,_row_,present,missing
charizard/blue-japan/machine/submission,_row_,present,missing
charizard/blue-japan/machine/counter,_row_,present,missing
charizard/blue-japan/machine/seismic-toss,_row_,present,missing
charizard/blue-japan/machine/strength,_row_,present,missing
charizard/blue-japan/machine/dragon-rage,_row_,present,missing
charizard/blue-japan/machine/earthquake,_row_,present,missing
charizard/blue-japan/machine/fissure,_row_,present,missing
charizard/blue-japan/machine/dig,_row_,present,missing
charizard/blue-japan/machine/toxic,_row_,present,missing
charizard/blue-japan/machine/rage,_row_,present,missing
charizard/blue-japan/machine/mimic,_row_,present,missing
charizard/blue-japan/machine/double-team,_row_,present,missing
charizard/blue-japan/machine/reflect,_row_,present,missing
charizard/blue-japan/machine/bide,_row_,present,missing
charizard/blue-japan/machine/fire-blast,_row_,present,missing
charizard/blue-japan/machine/swift,_row_,present,missing
charizard/blue-japan/machine/skull-bash,_row_,present,missing
charizard/blue-japan/machine/rest,_row_,present,missing
charizard/blue-japan/machine/substitute,_row_,present,missing
squirtle/red-green-japan/level-up/tackle,_row_,present,missing
squirtle/red-green-japan/level-up/tail-whip,_row_,present,missing
squirtle/red-green-japan/level-up/bubble,_row_,present,missing
squirtle/red-green-japan/level-up/water-gun,_row_,present,missing
squirtle/red-green-japan/level-up/bite,_row_,present,missing
squirtle/red-green-japan/level-up/withdraw,_row_,present,missing
squirtle/red-green-japan/level-up/skull-bash,_row_,present,missing
squirtle/red-green-japan/level-up/hydro-pump,_row_,present,missing
squirtle/red-green-japan/machine/mega-punch,_row_,present,missing
squirtle/red-green-japan/machine/mega-kick,_row_,present,missing
squirtle/red-green-japan/machine/body-slam,_row_,present,missing
squirtle/red-green-japan/machine/take-down,_row_,present,missing
squirtle/red-green-japan/machine/double-edge,_row_,present,missing
squirtle/red-green-japan/machine/water-gun,_row_,present,missing
squirtle/red-green-japan/machine/surf,_row_,present,missing
squirtle/red-green-japan/machine/ice-beam,_row_,present,missing
squirtle/red-green-japan/machine/blizzard,_row_,present,missing
squirtle/red-green-japan/machine/bubble-beam,_row_,present,missing
squirtle/red-green-japan/machine/submission,_row_,present,missing
squirtle/red-green-japan/machine/counter,_row_,present,missing
squirtle/red-green-japan/machine/seismic-toss,_row_,present,missing
squirtle/red-green-japan/machine/strength,_row_,present,missing
squirtle/red-green-japan/machine/dig,_row_,present,missing
squirtle/red-green-japan/machine/toxic,_row_,present,missing
squirtle/red-green-japan/machine/rage,_row_,present,missing
squirtle/red-green-japan/machine/mimic,_row_,present,missing
squirtle/red-green-japan/machine/double-team,_row_,present,missing
squirtle/red-green-japan/machine/reflect,_row_,present,missing
squirtle/red-green-japan/machine/bide,_row_,present,missing
squirtle/red-green-japan/machine/skull-bash,_row_,present,missing
squirtle/red-green-japan/machine/rest,_row_,present,missing
squirtle/red-green-japan/machine/substitute,_row_,present,missing
squirtle/blue-japan/level-up/tackle,_row_,present,missing
squirtle/blue-japan/level-up/tail-whip,_row_,present,missing
squirtle/blue-japan/level-up/bubble,_row_,present,missing
squirtle/blue-japan/level-up/water-gun,_row_,present,missing
squirtle/blue-japan/level-up/bite,_row_,present,missing
squirtle/blue-japan/level-up/withdraw,_row_,present,missing
squirtle/blue-japan/level-up/skull-bash,_row_,present,missing
squirtle/blue-japan/level-up/hydro-pump,_row_,present,missing
squirtle/blue-japan/machine/mega-punch,_row_,present,missing
squirtle/blue-japan/machine/mega-kick,_row_,present,missing
squirtle/blue-japan/machine/body-slam,_row_,present,missing
squirtle/blue-japan/machine/take-down,_row_,present,missing
squirtle/blue-japan/machine/double-edge,_row_,present,missing
squirtle/blue-japan/machine/water-gun,_row_,present,missing
squirtle/blue-japan/machine/surf,_row_,present,missing
squirtle/blue-japan/machine/ice-beam,_row_,present,missing
squirtle/blue-japan/machine/blizzard,_row_,present,missing
squirtle/blue-japan/machine/bubble-beam,_row_,present,missing
squirtle/blue-japan/machine/submission,_row_,present,missing
squirtle/blue-japan/machine/counter,_row_,present,missing
squirtle/blue-japan/machine/seismic-toss,_row_,present,missing
squirtle/blue-japan/machine/strength,_row_,present,missing
squirtle/blue-japan/machine/dig,_row_,present,missing
squirtle/blue-japan/machine/toxic,_row_,present,missing
squirtle/blue-japan/machine/rage,_row_,present,missing
squirtle/blue-japan/machine/mimic,_row_,present,missing
squirtle/blue-japan/machine/double-team,_row_,present,missing
squirtle/blue-japan/machine/reflect,_row_,present,missing
squirtle/blue-japan/machine/bide,_row_,present,missing
squirtle/blue-japan/machine/skull-bash,_row_,present,missing
squirtle/blue-japan/machine/rest,_row_,present,missing
squirtle/blue-japan/machine/substitute,_row_,present,missing
