dex_number,column,pokeapi,pokedb
95,ev_atk,0,1
95,ev_def,1,0
95,name_ja-roma,Iwark,Iwāku
96,base_friendship_gen8,70,50
96,name_ja-roma,Sleepe,Surīpu
97,base_friendship_gen8,70,50
97,name_ja-roma,Sleeper,Surīpā
98,base_friendship_gen8,70,50
98,name_ja-roma,Crab,Kurabu
99,base_friendship_gen8,70,50
99,name_ja-roma,Kingler,Kingurā
100,base_friendship_gen8,70,50
101,base_friendship_gen8,70,50
101,name_ja-roma,Marumine,Marumain
102,base_friendship_gen8,70,50
103,base_friendship_gen8,70,50
103,name_ja-roma,Nassy,Nasshī
104,base_friendship_gen8,70,50
105,base_friendship_gen8,70,50
106,base_friendship_gen8,70,50
106,name_ja-roma,Sawamular,Sawamurā
107,base_friendship_gen8,70,50
107,name_ja-roma,Ebiwalar,Ebiwarā
108,base_friendship_gen8,70,50
109,base_friendship_gen8,70,50
109,name_ja-roma,Dogars,Dogāsu
110,base_friendship_gen8,70,50
110,name_ja-roma,Matadogas,Matadogasu
111,base_friendship_gen8,70,50
111,name_ja-roma,Sihorn,Saihōn
112,base_friendship_gen8,70,50
112,name_ja-roma,Sidon,Saidon
113,name_ja-roma,Lucky,Rakkī
114,base_friendship_gen8,70,50
115,base_friendship_gen8,70,50
115,name_ja-roma,Garura,Garūra
116,base_friendship_gen8,70,50
116,name_ja-roma,Tattu,Tattsū
117,base_friendship_gen8,70,50
117,name_ja-roma,Seadra,Shīdora
118,base_friendship_gen8,70,50
119,base_friendship_gen8,70,50
119,name_ja-roma,Azumao,Azumaō
120,base_friendship_gen8,70,50
121,base_friendship_gen8,70,50
121,name_ja-roma,Starmie,Sutāmī
122,base_friendship_gen8,70,50
122,name_ja-roma,Barrierd,Bariyādo
123,base_friendship_gen8,70,50
123,name_ja-roma,Strike,Sutoraiku
124,base_friendship_gen8,70,50
124,name_ja-roma,Rougela,Rūjura
125,base_friendship_gen8,70,50
125,name_ja-roma,Eleboo,Erebū
126,base_friendship_gen8,70,50
126,name_ja-roma,Boober,Būbā
127,base_friendship_gen8,70,50
127,name_ja-roma,Kailios,Kairosu
128,base_friendship_gen8,70,50
128,name_ja-roma,Kentauros,Kentarosu
129,base_friendship_gen8,70,50
129,name_ja-roma,Koiking,Koikingu
130,base_friendship_gen8,70,50
130,name_ja-roma,Gyarados,Gyaradosu
131,base_friendship_gen8,70,50
131,name_ja-roma,Laplace,Rapurasu
132,base_friendship_gen8,70,50
133,base_friendship_gen8,70,50
133,name_ja-roma,Eievui,Ībui
134,base_friendship_gen8,70,50
134,name_ja-roma,Showers,Shawāzu
135,base_friendship_gen8,70,50
135,name_ja-roma,Thunders,Sandāsu
136,base_friendship_gen8,70,50
136,name_ja-roma,Booster,Būsutā
137,base_friendship_gen8,70,50
137,name_ja-roma,Porygon,Porigon
138,base_friendship_gen8,70,50
138,name_ja-roma,Omnite,Omunaito
139,base_friendship_gen8,70,50
139,name_ja-roma,Omstar,Omusutā
140,base_friendship_gen8,70,50
141,base_friendship_gen8,70,50
141,name_ja-roma,Kabutops,Kabutopusu
142,base_friendship_gen8,70,50
142,name_ja-roma,Ptera,Putera
143,base_friendship_gen8,70,50
144,base_experience,261,290
144,name_ja-roma,Freezer,Furīzā
145,base_experience,261,290
145,name_ja-roma,Thunder,Sandā
146,base_experience,261,290
146,name_ja-roma,Fire,Faiyā
147,hatch_cycles,40,45
147,name_ja-roma,Miniryu,Miniryū
148,name_ja-roma,Hakuryu,Hakuryū
149,base_experience,270,300
149,name_ja-roma,Kairyu,Kairyū
150,base_experience,306,340
150,name_ja-roma,Mewtwo,Myūtsū
151,base_experience,270,300
151,name_ja-roma,Mew,Myū
152,base_friendship_gen8,70,50
152,name_ja-roma,Chicorita,Chikorīta
153,base_friendship_gen8,70,50
153,name_ja-roma,Bayleaf,Beirīfu
154,base_friendship_gen8,70,50
154,name_ja-roma,Meganium,Meganiumu
155,base_friendship_gen8,70,50
156,base_friendship_gen8,70,50
156,name_ja-roma,Magmarashi,Magumarashi
157,base_friendship_gen8,70,50
157,base_experience,240,267
157,name_ja-roma,Bakphoon,Bakufūn
158,base_friendship_gen8,70,50
159,base_friendship_gen8,70,50
159,name_ja-roma,Alligates,Arigeitsu
160,base_friendship_gen8,70,50
160,name_ja-roma,Ordile,Ōdairu
161,base_friendship_gen8,70,50
162,base_friendship_gen8,70,50
162,name_ja-roma,Ootachi,Ōtachi
163,base_friendship_gen8,70,50
163,name_ja-roma,Hoho,Hōhō
164,base_friendship_gen8,70,50
165,base_friendship_gen8,70,50
166,base_friendship_gen8,70,50
167,base_friendship_gen8,70,50
168,base_friendship_gen8,70,50
168,name_ja-roma,Ariados,Ariadosu
169,base_friendship_gen8,70,50
169,base_experience,241,268
169,name_ja-roma,Crobat,Kurobatto
170,base_friendship_gen8,70,50
170,name_ja-roma,Chonchie,Chonchī
171,base_friendship_gen8,70,50
171,name_ja-roma,Lantern,Rantān
172,base_friendship_gen8,70,50
172,name_ja-roma,Pichu,Pichū
173,name_ja-roma,Py,Pī
174,base_friendship_gen8,70,50
175,base_friendship_gen8,70,50
175,name_ja-roma,Togepy,Togepī
176,base_friendship_gen8,70,50
176,name_ja-roma,Togechick,Togechikku
177,base_friendship_gen8,70,50
177,name_ja-roma,Naty,Neiti
178,base_friendship_gen8,70,50
178,name_ja-roma,Natio,Neitio
179,base_friendship_gen8,70,50
179,name_ja-roma,Merriep,Merīpu
180,base_friendship_gen8,70,50
181,base_friendship_gen8,70,50
181,name_ja-roma,Denryu,Denryū
182,base_friendship_gen8,70,50
182,base_experience,221,245
183,base_friendship_gen8,70,50
183,name_ja-roma,Maril,Mariru
184,base_friendship_gen8,70,50
184,base_experience,189,210
184,name_ja-roma,Marilli,Mariruri
185,base_friendship_gen8,70,50
185,name_ja-roma,Usokkie,Usokkī
185,name_zh-hans,树才怪,树才怪‎
186,base_friendship_gen8,70,50
186,base_experience,225,250
187,base_friendship_gen8,70,50
187,name_ja-roma,Hanecco,Hanekko
188,base_friendship_gen8,70,50
188,name_ja-roma,Popocco,Popokko
189,base_friendship_gen8,70,50
189,name_ja-roma,Watacco,Watakko
190,base_friendship_gen8,70,50
190,name_ja-roma,Eipam,Eipamu
191,base_friendship_gen8,70,50
191,name_ja-roma,Himanuts,Himanattsu
192,base_friendship_gen8,70,50
193,base_friendship_gen8,70,50
193,name_ja-roma,Yanyanma,Yan'yanma
194,base_friendship_gen8,70,50
194,name_ja-roma,Upah,Upā
195,base_friendship_gen8,70,50
195,name_ja-roma,Nuoh,Nuō
196,base_friendship_gen8,70,50
196,name_ja-roma,Eifie,Ēfi
197,name_ja-roma,Bracky,Burakkī
199,base_friendship_gen8,70,50
199,name_ja-roma,Yadoking,Yadokingu
200,name_ja-roma,Muma,Mūma
201,base_friendship_gen8,70,50
201,name_ja-roma,Unknown,Annōn
202,base_friendship_gen8,70,50
202,name_ja-roma,Sonans,Sōnansu
203,base_friendship_gen8,70,50
204,base_friendship_gen8,70,50
205,base_friendship_gen8,70,50
205,name_ja-roma,Foretos,Foretosu
206,base_friendship_gen8,70,50
206,name_ja-roma,Nokocchi,Nokotchi
207,base_friendship_gen8,70,50
207,name_ja-roma,Gliger,Guraigā
208,base_friendship_gen8,70,50
208,name_ja-roma,Haganeil,Haganēru
209,base_friendship_gen8,70,50
209,name_ja-roma,Bulu,Burū
210,base_friendship_gen8,70,50
210,name_ja-roma,Granbulu,Guranburu
211,base_friendship_gen8,70,50
211,name_ja-roma,Harysen,Harīsen
212,base_friendship_gen8,70,50
212,name_ja-roma,Hassam,Hassamu
213,base_friendship_gen8,70,50
214,base_friendship_gen8,70,50
214,name_ja-roma,Heracros,Herakurosu
215,color,black,gray
215,name_ja-roma,Nyula,Nyūra
216,base_friendship_gen8,70,50
217,base_friendship_gen8,70,50
218,base_friendship_gen8,70,50
218,name_ja-roma,Magmag,Magumaggu
219,base_friendship_gen8,70,50
219,name_ja-roma,Magcargot,Magukarugo
220,base_friendship_gen8,70,50
220,name_ja-roma,Urimoo,Urimū
221,base_friendship_gen8,70,50
221,name_ja-roma,Inomoo,Inomū
222,base_friendship_gen8,70,50
222,name_ja-roma,Sunnygo,Sanīgo
223,base_friendship_gen8,70,50
224,base_friendship_gen8,70,50
224,name_ja-roma,Okutank,Okutan
225,base_friendship_gen8,70,50
225,name_ja-roma,Delibird,Deribādo
226,base_friendship_gen8,70,50
227,base_friendship_gen8,70,50
227,name_ja-roma,Airmd,Eāmudo
228,name_ja-roma,Delvil,Derubiru
229,name_ja-roma,Hellgar,Herugā
230,base_friendship_gen8,70,50
230,base_experience,243,270
230,name_ja-roma,Kingdra,Kingudora
231,base_friendship_gen8,70,50
231,name_ja-roma,Gomazou,Gomazō
232,base_friendship_gen8,70,50
233,base_friendship_gen8,70,50
233,name_ja-roma,Porygon2,Porigon Tsū
234,base_friendship_gen8,70,50
235,base_friendship_gen8,70,50
235,name_ja-roma,Doble,Dōburu
236,base_friendship_gen8,70,50
236,name_ja-roma,Balkie,Barukī
237,base_friendship_gen8,70,50
237,name_ja-roma,Kapoerer,Kapoerā
238,base_friendship_gen8,70,50
238,name_ja-roma,Muchul,Muchūru
239,base_friendship_gen8,70,50
239,name_ja-roma,Elekid,Erekiddo
240,base_friendship_gen8,70,50
240,name_ja-roma,Buby,Bubī
241,base_friendship_gen8,70,50
241,name_ja-roma,Miltank,Mirutanku
242,base_experience,608,635
242,name_ja-roma,Happinas,Hapinasu
243,base_experience,261,290
243,name_ja-roma,Raikou,Raikō
244,base_experience,261,290
245,base_experience,261,290
245,name_ja-roma,Suicune,Suikun
246,name_ja-roma,Yogiras,Yōgirasu
247,name_ja-roma,Sanagiras,Sanagirasu
248,base_experience,270,300
248,name_ja-roma,Bangiras,Bangirasu
249,base_experience,306,340
249,name_ja-roma,Lugia,Rugia
250,base_experience,306,340
250,name_ja-roma,Houou,Hōō
251,base_experience,270,300
251,name_ja-roma,Celebi,Serebī
252,base_friendship_gen8,70,50
253,base_friendship_gen8,70,50
253,name_ja-roma,Juptile,Juputoru
254,base_friendship_gen8,70,50
254,base_experience,239,265
255,base_friendship_gen8,70,50
256,base_friendship_gen8,70,50
256,name_ja-roma,Wakasyamo,Wakashamo
257,base_friendship_gen8,70,50
257,base_experience,239,265
257,name_ja-roma,Bursyamo,Bashāmo
258,base_friendship_gen8,70,50
258,name_ja-roma,Mizugorou,Mizugorō
259,base_friendship_gen8,70,50
259,name_ja-roma,Numacraw,Numakurō
260,base_friendship_gen8,70,50
260,base_experience,241,268
260,name_ja-roma,Laglarge,Ragurāji
261,base_friendship_gen8,70,50
262,base_friendship_gen8,70,50
262,name_ja-roma,Graena,Guraena
263,base_friendship_gen8,70,50
264,base_friendship_gen8,70,50
265,base_friendship_gen8,70,50
266,base_friendship_gen8,70,50
266,name_ja-roma,Karasalis,Karasarisu
267,base_friendship_gen8,70,50
267,name_ja-roma,Agehunt,Agehanto
268,base_friendship_gen8,70,50
268,name_ja-roma,Mayuld,Mayurudo
269,base_friendship_gen8,70,50
269,name_ja-roma,Dokucale,Dokukeiru
270,base_friendship_gen8,70,50
270,name_ja-roma,Hassboh,Hasubō
271,base_friendship_gen8,70,50
271,name_ja-roma,Hasubrero,Hasuburero
272,base_friendship_gen8,70,50
272,base_experience,216,240
273,base_friendship_gen8,70,50
273,ev_atk,0,1
273,ev_def,1,0
273,name_ja-roma,Taneboh,Tanebō
274,base_friendship_gen8,70,50
275,base_friendship_gen8,70,50
275,base_experience,216,240
275,name_ja-roma,Dirteng,Dātengu
276,base_friendship_gen8,70,50
277,base_friendship_gen8,70,50
277,name_ja-roma,Ohsubame,Ōsubame
278,base_friendship_gen8,70,50
278,name_ja-roma,Camome,Kyamome
279,base_friendship_gen8,70,50
279,name_ja-roma,Pelipper,Perippā
280,name_ja-roma,Ralts,Rarutosu
281,name_ja-roma,Kirlia,Kiruria
282,base_experience,233,259
282,name_ja-roma,Sirnight,Sānaito
283,base_friendship_gen8,70,50
284,base_friendship_gen8,70,50
284,name_ja-roma,Amemoth,Amemōsu
285,base_friendship_gen8,70,50
285,name_ja-roma,Kinococo,Kinokoko
286,base_friendship_gen8,70,50
287,base_friendship_gen8,70,50
288,base_friendship_gen8,70,50
289,base_friendship_gen8,70,50
289,name_ja-roma,Kekking,Kekkingu
290,base_friendship_gen8,70,50
290,name_ja-roma,Tutinin,Tsuchinin
291,base_friendship_gen8,70,50
292,base_friendship_gen8,70,50
293,base_friendship_gen8,70,50
294,base_friendship_gen8,70,50
294,name_ja-roma,Dogohmb,Dogōmu
295,base_friendship_gen8,70,50
295,base_experience,221,245
295,name_ja-roma,Bakuong,Bakuongu
296,base_friendship_gen8,70,50
297,base_friendship_gen8,70,50
298,base_friendship_gen8,70,50
299,base_friendship_gen8,70,50
299,name_ja-roma,Nosepass,Nozupasu
300,base_friendship_gen8,70,50
300,name_ja-roma,Eneco,Eneko
301,base_friendship_gen8,70,50
303,base_friendship_gen8,70,50
303,name_ja-roma,Kucheat,Kuchīto
304,name_ja-roma,Cokodora,Kokodora
306,base_experience,239,265
306,name_ja-roma,Bossgodora,Bosugodora
307,base_friendship_gen8,70,50
308,base_friendship_gen8,70,50
308,name_ja-roma,Charem,Chāremu
309,base_friendship_gen8,70,50
310,base_friendship_gen8,70,50
310,name_ja-roma,Livolt,Raiboruto
311,base_friendship_gen8,70,50
311,name_ja-roma,Prasle,Purasuru
312,base_friendship_gen8,70,50
312,name_ja-roma,Minun,Mainan
312,name_zh-hans,負电拍拍,负电拍拍
313,base_friendship_gen8,70,50
313,name_ja-roma,Barubeat,Barubīto
314,base_friendship_gen8,70,50
314,name_ja-roma,Illumise,Irumīze
315,base_friendship_gen8,70,50
315,name_ja-roma,Roselia,Rozeria
316,base_friendship_gen8,70,50
316,name_ja-roma,Gokulin,Gokurin
317,base_friendship_gen8,70,50
317,name_ja-roma,Marunoom,Marunōmu
318,name_ja-roma,Kibanha,Kibania
319,name_ja-roma,Samehader,Samehadā
320,base_friendship_gen8,70,50
321,base_friendship_gen8,70,50
321,name_ja-roma,Whaloh,Hoeruō
322,base_friendship_gen8,70,50
322,name_ja-roma,Donmel,Donmeru
323,base_friendship_gen8,70,50
323,name_ja-roma,Bakuuda,Bakūda
324,base_friendship_gen8,70,50
324,name_ja-roma,Cotoise,Kōtasu
325,base_friendship_gen8,70,50
325,name_ja-roma,Baneboo,Banebū
326,base_friendship_gen8,70,50
326,name_ja-roma,Boopig,Būpiggu
327,base_friendship_gen8,70,50
327,name_ja-roma,Patcheel,Patchīru
328,base_friendship_gen8,70,50
328,name_ja-roma,Nuckrar,Nakkurā
329,base_friendship_gen8,70,50
329,name_ja-roma,Vibrava,Biburāba
330,base_friendship_gen8,70,50
330,base_experience,234,260
330,name_ja-roma,Flygon,Furaigon
332,name_ja-roma,Noctus,Nokutasu
333,base_friendship_gen8,70,50
333,name_ja-roma,Tyltto,Chirutto
334,base_friendship_gen8,70,50
334,name_ja-roma,Tyltalis,Chirutarisu
335,base_friendship_gen8,70,50
335,name_ja-roma,Zangoose,Zangūsu
336,base_friendship_gen8,70,50
336,name_ja-roma,Habunake,Habunēku
337,base_friendship_gen8,70,50
337,name_ja-roma,Lunatone,Runatōn
338,base_friendship_gen8,70,50
338,name_ja-roma,Solrock,Sorurokku
339,base_friendship_gen8,70,50
339,name_ja-roma,Dojoach,Dojotchi
340,base_friendship_gen8,70,50
341,base_friendship_gen8,70,50
342,base_friendship_gen8,70,50
342,name_ja-roma,Shizariger,Shizarigā
343,base_friendship_gen8,70,50
343,name_ja-roma,Yajilon,Yajiron
344,base_friendship_gen8,70,50
344,name_ja-roma,Nendoll,Nendōru
345,base_friendship_gen8,70,50
345,name_ja-roma,Lilyla,Rirīra
346,base_friendship_gen8,70,50
346,name_ja-roma,Yuradle,Yureidoru
347,base_friendship_gen8,70,50
347,name_ja-roma,Anopth,Anopusu
348,base_friendship_gen8,70,50
348,name_ja-roma,Armaldo,Āmarudo
349,base_friendship_gen8,70,50
349,name_ja-roma,Hinbass,Hinbasu
350,base_friendship_gen8,70,50
350,name_ja-roma,Milokaross,Mirokarosu
351,base_friendship_gen8,70,50
351,name_ja-roma,Powalen,Powarun
352,base_friendship_gen8,70,50
353,name_ja-roma,Kagebouzu,Kagebōzu
354,name_ja-roma,Juppeta,Jupetta
355,ability_2,,frisk
355,ability_hidden,frisk,
356,ability_2,,frisk
356,ability_hidden,frisk,
356,name_ja-roma,Samayouru,Samayōru
357,base_friendship_gen8,70,50
357,name_ja-roma,Tropius,Toropiusu
358,base_friendship_gen8,70,50
358,name_ja-roma,Chirean,Chirīn
359,name_ja-roma,Absol,Abusoru
360,base_friendship_gen8,70,50
360,name_ja-roma,Sohnano,Sōnano
361,base_friendship_gen8,70,50
362,base_friendship_gen8,70,50
362,name_ja-roma,Onigohri,Onigōri
363,base_friendship_gen8,70,50
364,base_friendship_gen8,70,50
364,name_ja-roma,Todoggler,Todogurā
365,base_friendship_gen8,70,50
365,base_experience,239,265
365,name_ja-roma,Todoseruga,Todozeruga
366,base_friendship_gen8,70,50
366,name_ja-roma,Pearlulu,Pāruru
367,base_friendship_gen8,70,50
367,name_ja-roma,Huntail,Hantēru
368,base_friendship_gen8,70,50
368,name_ja-roma,Sakurabyss,Sakurabisu
369,base_friendship_gen8,70,50
369,name_ja-roma,Glanth,Jīransu
370,base_friendship_gen8,70,50
370,name_ja-roma,Lovecus,Rabukasu
371,name_ja-roma,Tatsubay,Tatsubei
372,name_ja-roma,Komoruu,Komorū
373,base_experience,270,300
373,name_ja-roma,Bohmander,Bōmanda
374,name_ja-roma,Dumbber,Danbaru
375,name_ja-roma,Metang,Metangu
376,base_experience,270,300
376,name_ja-roma,Metagross,Metagurosu
377,base_experience,261,290
377,name_ja-roma,Regirock,Rejirokku
378,base_experience,261,290
378,name_ja-roma,Regice,Rejiaisu
379,base_experience,261,290
379,name_ja-roma,Registeel,Rejisuchiru
380,is_legendary,1,0
380,base_experience,270,300
380,name_ja-roma,Latias,Ratiasu
381,base_experience,270,300
381,name_ja-roma,Latios,Ratiosu
382,base_experience,302,335
382,name_ja-roma,Kyogre,Kaiōga
383,base_experience,302,335
383,name_ja-roma,Groudon,Gurādon
384,base_experience,306,340
384,name_ja-roma,Rayquaza,Rekkūza
385,base_experience,270,300
385,name_ja-roma,Jirachi,Jirāchi
386,name_ja-roma,Deoxys,Deokishisu
387,base_friendship_gen8,70,50
387,name_ja-roma,Naetle,Naetoru
388,base_friendship_gen8,70,50
389,base_friendship_gen8,70,50
389,name_ja-roma,Dodaitose,Dodaitosu
390,base_friendship_gen8,70,50
391,base_friendship_gen8,70,50
391,name_ja-roma,Moukazaru,Mōkazaru
392,base_friendship_gen8,70,50
392,name_ja-roma,Goukazaru,Gōkazaru
393,base_friendship_gen8,70,50
393,ability_hidden,competitive,defiant
393,name_ja-roma,Pochama,Potchama
394,base_friendship_gen8,70,50
394,ability_hidden,competitive,defiant
395,base_friendship_gen8,70,50
395,ability_hidden,competitive,defiant
395,name_ja-roma,Emperte,Enperuto
396,base_friendship_gen8,70,50
397,base_friendship_gen8,70,50
397,name_ja-roma,Mukubird,Mukubādo
398,base_friendship_gen8,70,50
398,name_ja-roma,Mukuhawk,Mukuhōku
399,base_friendship_gen8,70,50
400,base_friendship_gen8,70,50
400,name_ja-roma,Beadaru,Bīdaru
401,base_friendship_gen8,70,50
401,name_ja-roma,Korobohshi,Korobōshi
402,base_friendship_gen8,70,50
402,name_ja-roma,Korotock,Korotokku
403,base_friendship_gen8,70,50
403,name_ja-roma,Kolink,Korinku
404,name_ja-roma,Luxio,Rukushio
405,base_friendship_gen8,70,50
405,base_experience,235,262
405,name_ja-roma,Rentorar,Rentorā
406,base_friendship_gen8,70,50
406,name_ja-roma,Subomie,Subomī
407,base_friendship_gen8,70,50
407,base_experience,232,258
407,name_ja-roma,Roserade,Rozureido
408,base_friendship_gen8,70,50
408,name_ja-roma,Zugaidos,Zugaidosu
409,base_friendship_gen8,70,50
409,name_ja-roma,Rampald,Ramuparudo
410,base_friendship_gen8,70,50
410,name_ja-roma,Tatetops,Tatetopusu
411,base_friendship_gen8,70,50
411,name_ja-roma,Torideps,Toridepusu
412,base_friendship_gen8,70,50
412,name_ja-roma,Minomucchi,Minomutchi
413,base_friendship_gen8,70,50
413,name_ja-roma,Minomadam,Minomadamu
414,base_friendship_gen8,70,50
414,name_ja-roma,Gamale,Gāmeiru
415,base_friendship_gen8,70,50
415,name_ja-roma,Mitsuhoney,Mitsuhanī
416,base_friendship_gen8,70,50
416,name_ja-roma,Beequen,Bīkuin
418,base_friendship_gen8,70,50
418,name_ja-roma,Buoysel,Buizeru
419,base_friendship_gen8,70,50
419,name_ja-roma,Floazel,Furōzeru
420,base_friendship_gen8,70,50
420,pct_male,50,20
421,base_friendship_gen8,70,50
421,name_ja-roma,Cherrim,Cherimu
422,base_friendship_gen8,70,50
423,base_friendship_gen8,70,50
423,name_ja-roma,Tritodon,Toritodon
424,hatch_cycles,20,45
424,name_ja-roma,Eteboth,Etebōsu
425,base_friendship_gen8,70,50
426,base_friendship_gen8,70,50
