dex_id,pokemon_name,field,pokeapi_value,pokedb_value,chosen_value,chosen_source,reason,applied
499,Pignite,name_ko,차오꿀,챠오꿀,차오꿀,pokeapi,Korean name 차오꿀 (official); PokeDB 챠오꿀 is a transliteration variant,1
504,Patrat,growth_rate,Medium Fast,Medium Slow,Medium Fast,pokeapi,Patrat levelling rate Medium Fast,1
530,Excadrill,height_m,0.7,0.8,0.7,pokeapi,Excadrill 0.7 m,1
531,Audino,pct_male,50,20,50,pokeapi,Audino 50% male,1
539,Sawk,ability_1,sturdy,guts,sturdy,pokeapi,Sawk: Sturdy / Inner Focus / hidden Mold Breaker — Guts is Throh's (PokeDB shifted one row),1
550,Basculin,catch_rate,25,190,190,pokedb,Basculin catch rate raised 25→190 in SV v2.0.1 (Bulbapedia 'List of Pokémon by catch rate'); PokeAPI is stale,1
565,Carracosta,weight_kg,81,82,81,pokeapi,Carracosta 81.0 kg,1
622,Golett,ev_hp,0,1,0,pokeapi,Golett yields 1 Atk (PokeDB swapped HP/Atk),1
622,Golett,ev_atk,1,0,1,pokeapi,Golett yields 1 Atk,1
636,Larvesta,ability_2,,swarm,,pokeapi,"Larvesta: Flame Body only, hidden Swarm (PokeDB put Swarm in slot 2)",1
636,Larvesta,ability_hidden,swarm,,swarm,pokeapi,Larvesta hidden Swarm,0
637,Volcarona,ability_2,,swarm,,pokeapi,"Volcarona: Flame Body only, hidden Swarm",1
637,Volcarona,ability_hidden,swarm,,swarm,pokeapi,Volcarona hidden Swarm,0
666,Vivillon,pct_male,50,12.5,50,pokeapi,"Vivillon 50% male (Bulbapedia, verified)",1
666,Vivillon,color,white,pink,pink,pokedb,"Vivillon Pokédex colour Pink (Bulbapedia infobox, verified 2026-09-06); PokeAPI White is wrong",1
666,Vivillon,ev_spa,1,0,1,pokeapi,Vivillon yields 1 HP / 1 Sp.Atk / 1 Speed (Bulbapedia),1
678,Meowstic,color,blue,white,blue,pokeapi,"Meowstic Pokédex colour Blue (Bulbapedia, verified)",1
688,Binacle,ability_1,tough-claws,sniper,tough-claws,pokeapi,Binacle slot order Tough Claws (1) / Sniper (2) as in the games' data; PokeDB reversed,1
688,Binacle,ability_2,sniper,tough-claws,sniper,pokeapi,see ability_1,1
689,Barbaracle,ability_1,tough-claws,sniper,tough-claws,pokeapi,Barbaracle: Tough Claws (1) / Sniper (2),1
689,Barbaracle,ability_2,sniper,tough-claws,sniper,pokeapi,see ability_1,1
706,Goodra,genus,Dragon Pokémon,Shell Bunker Pokémon,Dragon Pokémon,pokeapi,PokeDB flagged Hisuian Goodra as the species default; every #706 cell here is the Hisuian form's (form_aliases maps that row to goodra-hisui),1
706,Goodra,type_1,dragon,steel,dragon,pokeapi,Kalos Goodra is pure Dragon,1
706,Goodra,type_2,,dragon,,pokeapi,Kalos Goodra has no second type,1
706,Goodra,ability_2,hydration,shell-armor,hydration,pokeapi,Kalos Goodra: Sap Sipper / Hydration / hidden Gooey,1
706,Goodra,height_m,2,1.8,2,pokeapi,Kalos Goodra 2.0 m,1
706,Goodra,weight_kg,150.5,334.1,150.5,pokeapi,Kalos Goodra 150.5 kg,1
706,Goodra,stat_hp,90,80,90,pokeapi,Kalos Goodra 90 HP,1
706,Goodra,stat_def,70,100,70,pokeapi,Kalos Goodra 70 Def,1
706,Goodra,stat_spe,80,60,80,pokeapi,Kalos Goodra 80 Spe,1
718,Zygarde,ability_2,,power-construct,,pokeapi,Zygarde 50% default form has Aura Break only; Power Construct belongs to the separate zygarde-50-power-construct row,1
734,Yungoos,ability_1,stakeout,strong-jaw,stakeout,pokeapi,Yungoos slot order Stakeout (1) / Strong Jaw (2); PokeDB reversed,1
734,Yungoos,ability_2,strong-jaw,stakeout,strong-jaw,pokeapi,see ability_1,1
734,Yungoos,egg_groups,field,flying,field,pokeapi,Yungoos egg group Field; PokeDB Flying is wrong,1
735,Gumshoos,ability_1,stakeout,strong-jaw,stakeout,pokeapi,Gumshoos slot order Stakeout (1) / Strong Jaw (2),1
735,Gumshoos,ability_2,strong-jaw,stakeout,strong-jaw,pokeapi,see ability_1,1
774,Minior,color,brown,red,brown,pokeapi,"Minior (Meteor Form) Pokédex colour Brown (Bulbapedia, verified)",1
865,Sirfetch’d,name_en,Sirfetch’d,Sirfetch'd,Sirfetch’d,pokeapi,"Sirfetch’d, curly apostrophe as #83",1
865,Sirfetch’d,name_es,Sirfetch’d,Sirfetch'd,Sirfetch’d,pokeapi,curly apostrophe,1
865,Sirfetch’d,name_it,Sirfetch’d,Sirfetch'd,Sirfetch’d,pokeapi,curly apostrophe,1
899,Wyrdeer,catch_rate,135,45,45,pokedb,"Wyrdeer catch rate 45 (Bulbapedia infobox, verified 2026-09-06); PokeAPI 135 has no source",1
899,Wyrdeer,color,gray,white,white,pokedb,"Wyrdeer Pokédex colour White (Bulbapedia, verified)",1
900,Kleavor,catch_rate,115,15,15,pokedb,Kleavor catch rate 15 in LA/SV (Bulbapedia; raised to 20 only in Legends: Z-A); PokeAPI 115 has no source,1
900,Kleavor,stat_atk,135,130,135,pokeapi,Kleavor base Attack 135 (Bulbapedia),1
900,Kleavor,stat_spd,70,75,70,pokeapi,Kleavor base Sp.Def 70 (Bulbapedia),1
900,Kleavor,ev_atk,3,2,3,pokeapi,"Kleavor yields 3 Atk in SV (Bulbapedia, marked as changed since LA — LA has no EV system)",1
901,Ursaluna,catch_rate,75,20,20,pokedb,"Ursaluna catch rate 20 (Bulbapedia, verified)",1
902,Basculegion,catch_rate,135,45,45,pokedb,"Basculegion catch rate 45 (Bulbapedia, verified)",1
902,Basculegion,ev_hp,3,2,3,pokeapi,Basculegion yields 3 HP in SV (Bulbapedia),1
903,Sneasler,catch_rate,135,20,20,pokedb,"Sneasler catch rate 20 (Bulbapedia, verified)",1
903,Sneasler,color,gray,purple,blue,bulbapedia,"Sneasler Pokédex colour Blue per Bulbapedia (verified) — neither source has it (PokeAPI gray, PokeDB purple)",1
903,Sneasler,ev_atk,2,1,2,pokeapi,Sneasler yields 2 Atk / 0 Spe in SV (Bulbapedia),1
903,Sneasler,ev_spe,0,1,0,pokeapi,see ev_atk,1
904,Overqwil,catch_rate,135,45,45,pokedb,"Overqwil catch rate 45 (Bulbapedia, verified)",1
904,Overqwil,color,black,gray,black,pokeapi,"Overqwil Pokédex colour Black (Bulbapedia, verified)",1
905,Enamorus,pct_male,0,???,0,pokeapi,"Enamorus is 100% female, not genderless",1
912,Quaxly,color,white,blue,blue,pokedb,"Quaxly Pokédex colour Blue (Bulbapedia, verified)",1
916,Oinkologne,pct_male,100,50,50,pokedb,"Oinkologne is 50% male (Bulbapedia, verified); PokeAPI's gender_rate 0 describes only its male form",1
919,Nymble,hatch_cycles,20,15,20,pokeapi,"Nymble egg cycles 20 (Bulbapedia, verified)",1
925,Maushold,weight_kg,2.8,2.3,2.8,pokeapi,"Maushold default form is Family of Four, 2.8 kg (user decision; Family of Three is 2.3 kg)",1
935,Charcadet,hatch_cycles,35,90,35,pokeapi,"Charcadet egg cycles 35 (Bulbapedia, verified)",1
937,Ceruledge,color,blue,purple,purple,pokedb,"Ceruledge Pokédex colour Purple (Bulbapedia, verified)",1
956,Espathra,name_zh-hant,超能艷鴕,超能豔鴕,超能豔鴕,pokedb,超能豔鴕 is the official Traditional Chinese name (tw.portal-pokemon.com/play/pokedex/0956),1
962,Bombirdier,egg_groups,flying,water-3,flying,pokeapi,"Bombirdier egg group Flying (Bulbapedia, verified); PokeDB Water 3 is wrong",1
973,Flamigo,name_zh-hans,纏红鹤,缠红鹤,缠红鹤,pokedb,缠红鹤 is all-simplified; PokeAPI 纏红鹤 mixes a traditional 纏,1
978,Tatsugiri,color,pink,red,red,pokedb,"Tatsugiri Pokédex colour Red (Bulbapedia, verified)",1
983,Kingambit,name_zh-hant,仆刀將軍,仆斬將軍,仆斬將軍,pokedb,仆斬將軍 is the official Traditional Chinese name (tw.portal-pokemon.com/play/pokedex/0983),1
988,Slither Wing,color,red,white,white,pokedb,"Slither Wing Pokédex colour White (Bulbapedia, verified)",1
990,Iron Treads,name_zh-hans,铁轍迹,铁辙迹,铁辙迹,pokedb,铁辙迹 is all-simplified; PokeAPI 铁轍迹 mixes a traditional 轍,1
994,Iron Moth,color,yellow,white,white,pokedb,"Iron Moth Pokédex colour White (Bulbapedia, verified)",1
997,Arctibax,color,gray,blue,blue,pokedb,"Arctibax Pokédex colour Blue (Bulbapedia, verified)",1
998,Baxcalibur,color,gray,blue,blue,pokedb,"Baxcalibur Pokédex colour Blue (Bulbapedia, verified)",1
999,Gimmighoul,color,brown,red,red,pokedb,"Gimmighoul Pokédex colour Red (Bulbapedia, verified)",1
1005,Roaring Moon,color,green,blue,blue,pokedb,"Roaring Moon Pokédex colour Blue (Bulbapedia, verified)",1
1007,Koraidon,height_m,2.5,3.5,2.5,pokeapi,"Koraidon (Apex Build) 2.5 m (Bulbapedia, verified); 3.5 m is Limited Build",1
1008,Miraidon,color,blue,purple,purple,pokedb,"Miraidon Pokédex colour Purple (Bulbapedia, verified)",1
1011,Dipplin,growth_rate,Slow,Erratic,Erratic,pokedb,"Dipplin levelling rate Erratic, like the whole Applin line (Bulbapedia, verified)",1
1011,Dipplin,weight_kg,9.7,4.4,4.4,pokedb,"Dipplin 4.4 kg (Bulbapedia, verified); PokeAPI 9.7 is its weight in pounds",1
1012,Poltchageist,hatch_cycles,50,20,20,pokedb,"Poltchageist egg cycles 20 (Bulbapedia, verified)",1
1012,Poltchageist,growth_rate,Slow,Medium Fast,Medium Fast,pokedb,"Poltchageist levelling rate Medium Fast (Bulbapedia, verified)",1
1013,Sinistcha,hatch_cycles,50,20,20,pokedb,Sinistcha egg cycles 20 (same line as Poltchageist),1
1013,Sinistcha,growth_rate,Slow,Medium Fast,Medium Fast,pokedb,Sinistcha levelling rate Medium Fast (same line as Poltchageist),1
1013,Sinistcha,name_zh-hant,來悲粗茶,来悲粗茶,來悲粗茶,pokeapi,PokeDB swapped Sinistcha's Traditional/Simplified cells (來 is traditional),1
1013,Sinistcha,name_zh-hans,来悲粗茶,來悲粗茶,来悲粗茶,pokeapi,see name_zh-hant,1
1014,Okidogi,hatch_cycles,50,120,120,pokedb,"Okidogi egg cycles 120 (Bulbapedia, verified)",1
1015,Munkidori,hatch_cycles,50,120,120,pokedb,"Munkidori egg cycles 120 (Loyal Three, as Okidogi)",1
1016,Fezandipiti,hatch_cycles,50,120,120,pokedb,"Fezandipiti egg cycles 120 (Loyal Three, as Okidogi)",1
1017,Ogerpon,catch_rate,5,3,5,pokeapi,"Ogerpon catch rate 5 (Bulbapedia, verified)",1
1017,Ogerpon,hatch_cycles,50,10,10,pokedb,"Ogerpon egg cycles 10 (Bulbapedia, verified)",1
1018,Archaludon,hatch_cycles,30,20,30,pokeapi,"Archaludon egg cycles 30 (Bulbapedia, verified)",1
1018,Archaludon,weight_kg,60,50,60,pokeapi,"Archaludon 60.0 kg (Bulbapedia, verified)",1
1019,Hydrapple,hatch_cycles,20,50,20,pokeapi,"Hydrapple egg cycles 20 (Bulbapedia, verified)",1
1022,Iron Boulder,growth_rate,Slow,Medium Slow,Slow,pokeapi,"Iron Boulder levelling rate Slow (Bulbapedia, verified)",1
1024,Terapagos,genus,Tera Pokémon,Paradox Pokémon,Tera Pokémon,pokeapi,"Terapagos is the Tera Pokémon (Bulbapedia, verified); PokeDB copied Paradox",1
809,Melmetal,evolution_chain_id,429 (own chain),tree 420 shared with #808,tree 420 shared with #808,pokedb,Melmetal evolves from Meltan (PokeAPI's own evolves_from_species_id=808) — merged into Meltan's chain 428 as PokeDB's single tree says,1
