pokedb_item,item,how
hyper-chesto-berry,hyper-chesto-berry,pokedb-only
hyper-chilan-berry,hyper-chilan-berry,pokedb-only
hyper-chople-berry,hyper-chople-berry,pokedb-only
hyper-coba-berry,hyper-coba-berry,pokedb-only
hyper-colbur-berry,hyper-colbur-berry,pokedb-only
hyper-grepa-berry,hyper-grepa-berry,pokedb-only
hyper-haban-berry,hyper-haban-berry,pokedb-only
hyper-hondew-berry,hyper-hondew-berry,pokedb-only
hyper-kasib-berry,hyper-kasib-berry,pokedb-only
hyper-kebia-berry,hyper-kebia-berry,pokedb-only
hyper-kelpsy-berry,hyper-kelpsy-berry,pokedb-only
hyper-lum-berry,hyper-lum-berry,pokedb-only
hyper-occa-berry,hyper-occa-berry,pokedb-only
hyper-oran-berry,hyper-oran-berry,pokedb-only
hyper-passho-berry,hyper-passho-berry,pokedb-only
hyper-payapa-berry,hyper-payapa-berry,pokedb-only
hyper-pecha-berry,hyper-pecha-berry,pokedb-only
hyper-persim-berry,hyper-persim-berry,pokedb-only
hyper-pomeg-berry,hyper-pomeg-berry,pokedb-only
hyper-qualot-berry,hyper-qualot-berry,pokedb-only
hyper-rawst-berry,hyper-rawst-berry,pokedb-only
hyper-rindo-berry,hyper-rindo-berry,pokedb-only
hyper-roseli-berry,hyper-roseli-berry,pokedb-only
hyper-shuca-berry,hyper-shuca-berry,pokedb-only
hyper-sitrus-berry,hyper-sitrus-berry,pokedb-only
hyper-tamato-berry,hyper-tamato-berry,pokedb-only
hyper-tanga-berry,hyper-tanga-berry,pokedb-only
hyper-wacan-berry,hyper-wacan-berry,pokedb-only
hyper-yache-berry,hyper-yache-berry,pokedb-only
hyperspace-butter,hyperspace-butter,pokedb-only
ice-berry,ice-berry,pokedb-only
icium-z,icium-z--held,english-name
incinium-z,incinium-z--held,english-name
indigo-disk,indigo-disk,pokedb-only
indigo-style-card,indigo-style-card,pokedb-only
inkay-ink,inkay-ink,pokedb-only
iron-barktongue,iron-barktongue,pokedb-only
iron-chunk,iron-chunk,pokedb-only
jet-ball,lajet-ball,english-name
johto-slate,johto-slate,pokedb-only
joltik-thread,joltik-thread,pokedb-only
jubilife-muffin,jubilife-muffin,pokedb-only
kanto-slate,kanto-slate,pokedb-only
key-to-room-1-hoenn,key-to-room-1,english-name
key-to-room-202,key-to-room-202,pokedb-only
kings-leaf,kings-leaf,pokedb-only
kommonium-z,kommonium-z--held,english-name
kubfu-treat,kubfu-treat,pokedb-only
kyogre-treat,kyogre-treat,pokedb-only
kyurem-treat,kyurem-treat,pokedb-only
lab-key-card-a,lab-key-card-a,pokedb-only
lab-key-card-b,lab-key-card-b,pokedb-only
lab-key-card-c,lab-key-card-c,pokedb-only
lab-key-card-m,lab-key-card-m,pokedb-only
lab-key-card-x,lab-key-card-x,pokedb-only
lapras-teardrop,lapras-teardrop,pokedb-only
latias-treat,latias-treat,pokedb-only
latios-treat,latios-treat,pokedb-only
leaden-ball,laleaden-ball,english-name
leaf-letter,leaf-letter--pikachu,english-name
leafy-chairs,leafy-chairs,pokedb-only
leek,stick,hand
lidas-things,lidas-things,pokedb-only
lilac-chairs,lilac-chairs,pokedb-only
litebluemail,litebluemail,pokedb-only
lost-satchel,lost-satchel,pokedb-only
lovely-mail,lovely-mail,pokedb-only
lugia-treat,lugia-treat,pokedb-only
lumiosian-butter,lumiosian-butter,pokedb-only
lunala-treat,lunala-treat,pokedb-only
lunalium-z,lunalium-z--held,english-name
lunar-feather,lunar-feather,pokedb-only
lycanium-z,lycanium-z--held,english-name
magby-hair,magby-hair,pokedb-only
marsh-badge,marsh-badge,pokedb-only
marsh-balm,marsh-balm,pokedb-only
marshadium-z,marshadium-z--held,english-name
medicinal-leek,medicinal-leek,pokedb-only
mega-shard,mega-shard,pokedb-only
mesprits-plume,mesprits-plume,pokedb-only
mewnium-z,mewnium-z--held,english-name
milcery-cream,milcery-cream,pokedb-only
mimikium-z,mimikium-z--held,english-name
minccino-fur,minccino-fur,pokedb-only
minior-shell,minior-shell,pokedb-only
mint-berry,mint-berry,pokedb-only
mint-chairs,mint-chairs,pokedb-only
minun-fur,minun-fur,pokedb-only
miracleberry,miracleberry,pokedb-only
mirage-mail,mirage-mail,pokedb-only
moltres-treat,moltres-treat,pokedb-only
monstrous-chairs,monstrous-chairs,pokedb-only
morph-mail,morph-mail,pokedb-only
mountain-balm,mountain-balm,pokedb-only
muscle-feather,muscle-wing,hand
mushroom-cake,mushroom-cake,pokedb-only
music-mail,music-mail,pokedb-only
mysterious-balm,mysterious-balm,pokedb-only
mysterious-shard-l,mysterious-shard-l,pokedb-only
mysterious-shard-s,mysterious-shard-s,pokedb-only
mystery-berry,mystery-berry,pokedb-only
mystic-ticket,mystic-ticket,pokedb-only
mythical-pecha-berry,mythical-pecha-berry,pokedb-only
n-lunarizer,n-lunarizer--merge,english-name
n-solarizer,n-solarizer--merge,english-name
necrozma-treat,necrozma-treat,pokedb-only
nice-butter,nice-butter,pokedb-only
normal-box,normal-box,pokedb-only
normalium-z,normalium-z--held,english-name
oceanic-slate,oceanic-slate,pokedb-only
oddish-leaf,oddish-leaf,pokedb-only
old-journal,old-journal,pokedb-only
old-verse-01,old-verse-01,pokedb-only
old-verse-02,old-verse-02,pokedb-only
old-verse-03,old-verse-03,pokedb-only
old-verse-04,old-verse-04,pokedb-only
old-verse-05,old-verse-05,pokedb-only
old-verse-06,old-verse-06,pokedb-only
old-verse-07,old-verse-07,pokedb-only
old-verse-08,old-verse-08,pokedb-only
old-verse-09,old-verse-09,pokedb-only
old-verse-10,old-verse-10,pokedb-only
old-verse-11,old-verse-11,pokedb-only
old-verse-12,old-verse-12,pokedb-only
old-verse-13,old-verse-13,pokedb-only
old-verse-14,old-verse-14,pokedb-only
old-verse-15,old-verse-15,pokedb-only
old-verse-16,old-verse-16,pokedb-only
old-verse-17,old-verse-17,pokedb-only
old-verse-18,old-verse-18,pokedb-only
old-verse-19,old-verse-19,pokedb-only
old-verse-20,old-verse-20,pokedb-only
origin-ball,laorigin-ball,english-name
origin-ore,origin-ore,pokedb-only
peach-chairs,peach-chairs,pokedb-only
pebble,pebble,pokedb-only
pep-up-plant,pep-up-plant,pokedb-only
pikanium-z,pikanium-z--held,english-name
pikashunium-z,pikashunium-z--held,english-name
pikipek-feather,pikipek-feather,pokedb-only
pink-bow,pink-bow,pokedb-only
pink-canari-plush-lv-1,pink-canari-plush-lv-1,pokedb-only
pink-canari-plush-lv-2,pink-canari-plush-lv-2,pokedb-only
pink-canari-plush-lv-3,pink-canari-plush-lv-3,pokedb-only
pink-chairs,pink-chairs,pokedb-only
plaid-chairs-b,plaid-chairs-b,pokedb-only
plaid-chairs-r,plaid-chairs-r,pokedb-only
plaid-chairs-y,plaid-chairs-y,pokedb-only
plump-beans,plump-beans,pokedb-only
plusle-fur,plusle-fur,pokedb-only
poisonium-z,poisonium-z--held,english-name
poke-ball-hisuian,poke-ball-hisuian,pokedb-only
pokedex,pokedex,pokedb-only
pokedex-item,pokedex-item,pokedb-only
pokeshi-doll,pokeshi-doll,pokedb-only
polka-dot-chairs,polka-dot-chairs,pokedb-only
polkadot-bow,polkadot-bow,pokedb-only
pop-pod,pop-pod,pokedb-only
popping-candy,popping-candy,pokedb-only
portraitmail,portraitmail,pokedb-only
porygon-fragment,porygon-fragment,pokedb-only
pp-up-debug,pp-up-debug,pokedb-only
pretty-feather,pretty-wing,hand
primarium-z,primarium-z--held,english-name
przcureberry,przcureberry,pokedb-only
psn-cure-berry,psn-cure-berry,pokedb-only
psychium-z,psychium-z--held,english-name
pumkin-berry,pumkin-berry,pokedb-only
question-marks,question-marks,pokedb-only
raikou-treat,raikou-treat,pokedb-only
rainbow-badge,rainbow-badge,pokedb-only
rainbow-feather,rainbow-feather,pokedb-only
rainbow-slate,rainbow-slate,pokedb-only
rayquaza-treat,rayquaza-treat,pokedb-only
red-canari-plush-lv-1,red-canari-plush-lv-1,pokedb-only
red-canari-plush-lv-2,red-canari-plush-lv-2,pokedb-only
red-canari-plush-lv-3,red-canari-plush-lv-3,pokedb-only
remedy,remedy,pokedb-only
reshiram-treat,reshiram-treat,pokedb-only
resist-feather,resist-wing,hand
revitalizing-twig,revitalizing-twig,pokedb-only
rhyhorn-fang,rhyhorn-fang,pokedb-only
riding-wear,riding-wear,pokedb-only
rockium-z,rockium-z--held,english-name
rotom-pokedex,rotom-pokedex,pokedb-only
salt-cake,salt-cake,pokedb-only
sand-radish,sand-radish,pokedb-only
scatter-bang,scatter-bang,pokedb-only
scraggy-sweat,scraggy-sweat,pokedb-only
secret-key-kanto,secret-key,hand
secret-key-sinnoh,secret-key-sinnoh,pokedb-only
secret-medicine,secret-medicine,pokedb-only
seed-of-mastery,seed-of-mastery,pokedb-only
seel-fur,seel-fur,pokedb-only
shieldon-claw,shieldon-claw,pokedb-only
silver-feather,silver-feather,pokedb-only
simple-chairs,simple-chairs,pokedb-only
skarmory-feather,skarmory-feather,pokedb-only
sky-tumblestone,sky-tumblestone,pokedb-only
smeargle-paint,smeargle-paint,pokedb-only
smoke-bomb,smoke-bomb,pokedb-only
snorlium-z,snorlium-z--held,english-name
snow-balm,snow-balm,pokedb-only
snubbull-hair,snubbull-hair,pokedb-only
solgaleo-treat,solgaleo-treat,pokedb-only
solganium-z,solganium-z--held,english-name
solosis-gel,solosis-gel,pokedb-only
sootfoot-root,sootfoot-root,pokedb-only
soul-badge,soul-badge,pokedb-only
soul-slate,soul-slate,pokedb-only
space-balm,space-balm,pokedb-only
spectrier-treat,spectrier-treat,pokedb-only
spoiled-apricorn,spoiled-apricorn,pokedb-only
spooky-chairs,spooky-chairs,pokedb-only
springy-mushroom,springy-mushroom,pokedb-only
squall-slate,squall-slate,pokedb-only
stealth-spray,stealth-spray,pokedb-only
steelium-z,steelium-z--held,english-name
stellar-tera-shard,stellar-tera-shard,pokedb-only
sticker-case,sticker-case,pokedb-only
sticky-glob,sticky-glob,pokedb-only
storage-key-hoenn,storage-key,hand
storage-key-sinnoh,storage-key--galactic-warehouse,hand
stratospheric-slate,stratospheric-slate,pokedb-only
striped-chairs,striped-chairs,pokedb-only
suicune-treat,suicune-treat,pokedb-only
super-lumiose-galette,super-lumiose-galette,pokedb-only
superb-remedy,superb-remedy,pokedb-only
supreme-butter,supreme-butter,pokedb-only
surf-mail,surf-mail,pokedb-only
survival-charm,survival-charm,pokedb-only
swap-snack,swap-snack,pokedb-only
swift-feather,swift-wing,hand
swordcap,swordcap,pokedb-only
synchro-machine,synchro-machine,pokedb-only
tapunium-z,tapunium-z--held,english-name
tasty-trash,tasty-trash,pokedb-only
tectonic-slate,tectonic-slate,pokedb-only
tempting-charm,tempting-charm,pokedb-only
tentacool-stinger,tentacool-stinger,pokedb-only
terrakion-treat,terrakion-treat,pokedb-only
teru-sama,teru-sama,pokedb-only
thunder-badge,thunder-badge,pokedb-only
time-balm,time-balm,pokedb-only
tm001,tm01,tm-number
tm002,tm02,tm-number
tm003,tm03,tm-number
tm004,tm04,tm-number
tm005,tm05,tm-number
tm006,tm06,tm-number
tm007,tm07,tm-number
tm008,tm08,tm-number
tm009,tm09,tm-number
tm010,tm10,tm-number
tm011,tm11,tm-number
tm012,tm12,tm-number
tm013,tm13,tm-number
tm014,tm14,tm-number
tm015,tm15,tm-number
tm016,tm16,tm-number
tm017,tm17,tm-number
tm018,tm18,tm-number
tm019,tm19,tm-number
tm020,tm20,tm-number
tm021,tm21,tm-number
tm022,tm22,tm-number
tm023,tm23,tm-number
tm024,tm24,tm-number
tm025,tm25,tm-number
tm026,tm26,tm-number
tm027,tm27,tm-number
tm028,tm28,tm-number
tm029,tm29,tm-number
tm030,tm30,tm-number
tm031,tm31,tm-number
tm032,tm32,tm-number
tm033,tm33,tm-number
tm034,tm34,tm-number
tm035,tm35,tm-number
tm036,tm36,tm-number
tm037,tm37,tm-number
tm038,tm38,tm-number
tm039,tm39,tm-number
tm040,tm40,tm-number
tm041,tm41,tm-number
tm042,tm42,tm-number
tm043,tm43,tm-number
tm044,tm44,tm-number
tm045,tm45,tm-number
tm046,tm46,tm-number
tm047,tm47,tm-number
tm048,tm48,tm-number
tm049,tm49,tm-number
tm050,tm50,tm-number
tm051,tm51,tm-number
tm052,tm52,tm-number
tm053,tm53,tm-number
tm054,tm54,tm-number
tm055,tm55,tm-number
tm056,tm56,tm-number
tm057,tm57,tm-number
tm058,tm58,tm-number
tm059,tm59,tm-number
tm060,tm60,tm-number
tm061,tm61,tm-number
tm062,tm62,tm-number
tm063,tm63,tm-number
tm064,tm64,tm-number
tm065,tm65,tm-number
tm066,tm66,tm-number
tm067,tm67,tm-number
tm068,tm68,tm-number
tm069,tm69,tm-number
tm070,tm70,tm-number
tm071,tm71,tm-number
tm072,tm72,tm-number
tm073,tm73,tm-number
tm074,tm74,tm-number
tm075,tm75,tm-number
tm076,tm76,tm-number
tm077,tm77,tm-number
tm078,tm78,tm-number
tm079,tm79,tm-number
tm080,tm80,tm-number
tm081,tm81,tm-number
tm082,tm82,tm-number
tm083,tm83,tm-number
tm084,tm84,tm-number
tm085,tm85,tm-number
tm086,tm86,tm-number
tm087,tm87,tm-number
tm088,tm88,tm-number
tm089,tm89,tm-number
tm090,tm90,tm-number
tm091,tm91,tm-number
tm092,tm92,tm-number
tm093,tm93,tm-number
tm094,tm94,tm-number
tm095,tm95,tm-number
tm096,tm96,tm-number
tm097,tm97,tm-number
tm098,tm98,tm-number
tm099,tm99,tm-number
torn-journal,torn-journal,pokedb-only
trapinch-shell,trapinch-shell,pokedb-only
tumblestone,tumblestone,pokedb-only
twice-spiced-radish,twice-spiced-radish,pokedb-only
tyrogue-sweat,tyrogue-sweat,pokedb-only
ultra-ball-hisui,ultra-ball-hisui,pokedb-only
ultranecrozium-z,ultranecrozium-z--held,english-name
upgrade,up-grade,hand
uxies-claw,uxies-claw,pokedb-only
virizion-treat,virizion-treat,pokedb-only
vivichoke,vivichoke,pokedb-only
volcano-badge,volcano-badge,pokedb-only
volcano-balm,volcano-balm,pokedb-only
wall-fragment,wall-fragment,pokedb-only
warding-charm,warding-charm,pokedb-only
waterium-z,waterium-z--held,english-name
whimsical-chairs,whimsical-chairs,pokedb-only
wing-ball,lawing-ball,english-name
wood,wood,pokedb-only
x-defend-2,x-defend-2,pokedb-only
x-defend-3,x-defend-3,pokedb-only
x-defend-6,x-defend-6,pokedb-only
yellow-chairs,yellow-chairs,pokedb-only
zapdos-treat,zapdos-treat,pokedb-only
zekrom-treat,zekrom-treat,pokedb-only
