pokedb_form,pokemon,form,how
paras-default,paras,paras,default
parasect-default,parasect,parasect,default
venonat-default,venonat,venonat,default
venomoth-default,venomoth,venomoth,default
diglett-default,diglett,diglett,default
diglett-alolan,diglett-alola,diglett-alola,suffix
dugtrio-default,dugtrio,dugtrio,default
dugtrio-alolan,dugtrio-alola,dugtrio-alola,suffix
meowth-default,meowth,meowth,default
meowth-alolan,meowth-alola,meowth-alola,suffix
meowth-galarian,meowth-galar,meowth-galar,suffix
persian-default,persian,persian,default
persian-alolan,persian-alola,persian-alola,suffix
psyduck-default,psyduck,psyduck,default
golduck-default,golduck,golduck,default
mankey-default,mankey,mankey,default
primeape-default,primeape,primeape,default
growlithe-default,growlithe,growlithe,default
growlithe-hisuian,growlithe-hisui,growlithe-hisui,suffix
arcanine-default,arcanine,arcanine,default
arcanine-hisuian,arcanine-hisui,arcanine-hisui,suffix
poliwag-default,poliwag,poliwag,default
poliwhirl-default,poliwhirl,poliwhirl,default
poliwrath-default,poliwrath,poliwrath,default
abra-default,abra,abra,default
kadabra-default,kadabra,kadabra,default
alakazam-default,alakazam,alakazam,default
alakazam-mega-evolution,alakazam-mega,alakazam-mega,suffix
machop-default,machop,machop,default
machoke-default,machoke,machoke,default
machamp-default,machamp,machamp,default
bellsprout-default,bellsprout,bellsprout,default
weepinbell-default,weepinbell,weepinbell,default
victreebel-default,victreebel,victreebel,default
tentacool-default,tentacool,tentacool,default
tentacruel-default,tentacruel,tentacruel,default
geodude-default,geodude,geodude,default
geodude-alolan,geodude-alola,geodude-alola,suffix
graveler-default,graveler,graveler,default
graveler-alolan,graveler-alola,graveler-alola,suffix
golem-default,golem,golem,default
golem-alolan,golem-alola,golem-alola,suffix
ponyta-default,ponyta,ponyta,default
ponyta-galarian,ponyta-galar,ponyta-galar,suffix
rapidash-default,rapidash,rapidash,default
rapidash-galarian,rapidash-galar,rapidash-galar,suffix
slowpoke-default,slowpoke,slowpoke,default
slowpoke-galarian,slowpoke-galar,slowpoke-galar,suffix
slowbro-default,slowbro,slowbro,default
slowbro-galarian,slowbro-galar,slowbro-galar,suffix
slowbro-mega-evolution,slowbro-mega,slowbro-mega,suffix
magnemite-default,magnemite,magnemite,default
magneton-default,magneton,magneton,default
farfetchd-default,farfetchd,farfetchd,default
farfetchd-galarian,farfetchd-galar,farfetchd-galar,suffix
doduo-default,doduo,doduo,default
dodrio-default,dodrio,dodrio,default
seel-default,seel,seel,default
dewgong-default,dewgong,dewgong,default
grimer-default,grimer,grimer,default
grimer-alolan,grimer-alola,grimer-alola,suffix
muk-default,muk,muk,default
muk-alolan,muk-alola,muk-alola,suffix
shellder-default,shellder,shellder,default
cloyster-default,cloyster,cloyster,default
gastly-default,gastly,gastly,default
haunter-default,haunter,haunter,default
gengar-default,gengar,gengar,default
gengar-mega-evolution,gengar-mega,gengar-mega,suffix
onix-default,onix,onix,default
drowzee-default,drowzee,drowzee,default
hypno-default,hypno,hypno,default
krabby-default,krabby,krabby,default
kingler-default,kingler,kingler,default
voltorb-default,voltorb,voltorb,default
voltorb-hisuian,voltorb-hisui,voltorb-hisui,suffix
electrode-default,electrode,electrode,default
electrode-hisuian,electrode-hisui,electrode-hisui,suffix
exeggcute-default,exeggcute,exeggcute,default
exeggutor-default,exeggutor,exeggutor,default
exeggutor-alolan,exeggutor-alola,exeggutor-alola,suffix
cubone-default,cubone,cubone,default
marowak-default,marowak,marowak,default
marowak-alolan,marowak-alola,marowak-alola,suffix
hitmonlee-default,hitmonlee,hitmonlee,default
hitmonchan-default,hitmonchan,hitmonchan,default
lickitung-default,lickitung,lickitung,default
koffing-default,koffing,koffing,default
weezing-default,weezing,weezing,default
weezing-galarian,weezing-galar,weezing-galar,suffix
rhyhorn-default,rhyhorn,rhyhorn,default
rhydon-default,rhydon,rhydon,default
chansey-default,chansey,chansey,default
tangela-default,tangela,tangela,default
kangaskhan-default,kangaskhan,kangaskhan,default
kangaskhan-mega-evolution,kangaskhan-mega,kangaskhan-mega,suffix
horsea-default,horsea,horsea,default
seadra-default,seadra,seadra,default
goldeen-default,goldeen,goldeen,default
seaking-default,seaking,seaking,default
staryu-default,staryu,staryu,default
starmie-default,starmie,starmie,default
mr-mime-default,mr-mime,mr-mime,default
mr-mime-galarian,mr-mime-galar,mr-mime-galar,suffix
scyther-default,scyther,scyther,default
jynx-default,jynx,jynx,default
electabuzz-default,electabuzz,electabuzz,default
magmar-default,magmar,magmar,default
pinsir-default,pinsir,pinsir,default
pinsir-mega-evolution,pinsir-mega,pinsir-mega,suffix
tauros-default,tauros,tauros,default
tauros-paldean-combat-breed,tauros-paldea-combat-breed,tauros-paldea-combat-breed,hand
tauros-paldean-blaze-breed,tauros-paldea-blaze-breed,tauros-paldea-blaze-breed,hand
tauros-paldean-aqua-breed,tauros-paldea-aqua-breed,tauros-paldea-aqua-breed,hand
magikarp-default,magikarp,magikarp,default
gyarados-default,gyarados,gyarados,default
gyarados-mega-evolution,gyarados-mega,gyarados-mega,suffix
lapras-default,lapras,lapras,default
ditto-default,ditto,ditto,default
eevee-default,eevee,eevee,default
vaporeon-default,vaporeon,vaporeon,default
jolteon-default,jolteon,jolteon,default
flareon-default,flareon,flareon,default
porygon-default,porygon,porygon,default
omanyte-default,omanyte,omanyte,default
omastar-default,omastar,omastar,default
kabuto-default,kabuto,kabuto,default
kabutops-default,kabutops,kabutops,default
aerodactyl-default,aerodactyl,aerodactyl,default
aerodactyl-mega-evolution,aerodactyl-mega,aerodactyl-mega,suffix
snorlax-default,snorlax,snorlax,default
articuno-default,articuno,articuno,default
articuno-galarian,articuno-galar,articuno-galar,suffix
zapdos-default,zapdos,zapdos,default
zapdos-galarian,zapdos-galar,zapdos-galar,suffix
moltres-default,moltres,moltres,default
moltres-galarian,moltres-galar,moltres-galar,suffix
dratini-default,dratini,dratini,default
dragonair-default,dragonair,dragonair,default
dragonite-default,dragonite,dragonite,default
mewtwo-default,mewtwo,mewtwo,default
mewtwo-mega-evolution-x,mewtwo-mega-x,mewtwo-mega-x,suffix
mewtwo-mega-evolution-y,mewtwo-mega-y,mewtwo-mega-y,suffix
mew-default,mew,mew,default
chikorita-default,chikorita,chikorita,default
bayleef-default,bayleef,bayleef,default
meganium-default,meganium,meganium,default
cyndaquil-default,cyndaquil,cyndaquil,default
quilava-default,quilava,quilava,default
typhlosion-default,typhlosion,typhlosion,default
typhlosion-hisuian,typhlosion-hisui,typhlosion-hisui,suffix
totodile-default,totodile,totodile,default
croconaw-default,croconaw,croconaw,default
feraligatr-default,feraligatr,feraligatr,default
sentret-default,sentret,sentret,default
furret-default,furret,furret,default
hoothoot-default,hoothoot,hoothoot,default
noctowl-default,noctowl,noctowl,default
ledyba-default,ledyba,ledyba,default
ledian-default,ledian,ledian,default
spinarak-default,spinarak,spinarak,default
ariados-default,ariados,ariados,default
crobat-default,crobat,crobat,default
chinchou-default,chinchou,chinchou,default
lanturn-default,lanturn,lanturn,default
pichu-default,pichu,pichu,default
cleffa-default,cleffa,cleffa,default
igglybuff-default,igglybuff,igglybuff,default
togepi-default,togepi,togepi,default
togetic-default,togetic,togetic,default
natu-default,natu,natu,default
xatu-default,xatu,xatu,default
mareep-default,mareep,mareep,default
flaaffy-default,flaaffy,flaaffy,default
ampharos-default,ampharos,ampharos,default
ampharos-mega-evolution,ampharos-mega,ampharos-mega,suffix
bellossom-default,bellossom,bellossom,default
marill-default,marill,marill,default
azumarill-default,azumarill,azumarill,default
sudowoodo-default,sudowoodo,sudowoodo,default
politoed-default,politoed,politoed,default
hoppip-default,hoppip,hoppip,default
skiploom-default,skiploom,skiploom,default
jumpluff-default,jumpluff,jumpluff,default
aipom-default,aipom,aipom,default
sunkern-default,sunkern,sunkern,default
sunflora-default,sunflora,sunflora,default
yanma-default,yanma,yanma,default
wooper-default,wooper,wooper,default
wooper-paldean,wooper-paldea,wooper-paldea,suffix
quagsire-default,quagsire,quagsire,default
espeon-default,espeon,espeon,default
umbreon-default,umbreon,umbreon,default
murkrow-default,murkrow,murkrow,default
slowking-default,slowking,slowking,default
slowking-galarian,slowking-galar,slowking-galar,suffix
misdreavus-default,misdreavus,misdreavus,default
unown-default,unown,unown-a,default
wobbuffet-default,wobbuffet,wobbuffet,default
girafarig-default,girafarig,girafarig,default
pineco-default,pineco,pineco,default
forretress-default,forretress,forretress,default
dunsparce-default,dunsparce,dunsparce,default
gligar-default,gligar,gligar,default
steelix-default,steelix,steelix,default
steelix-mega-evolution,steelix-mega,steelix-mega,suffix
snubbull-default,snubbull,snubbull,default
granbull-default,granbull,granbull,default
qwilfish-default,qwilfish,qwilfish,default
qwilfish-hisuian,qwilfish-hisui,qwilfish-hisui,suffix
scizor-default,scizor,scizor,default
scizor-mega-evolution,scizor-mega,scizor-mega,suffix
shuckle-default,shuckle,shuckle,default
heracross-default,heracross,heracross,default
heracross-mega-evolution,heracross-mega,heracross-mega,suffix
sneasel-default,sneasel,sneasel,default
sneasel-hisuian,sneasel-hisui,sneasel-hisui,suffix
teddiursa-default,teddiursa,teddiursa,default
ursaring-default,ursaring,ursaring,default
slugma-default,slugma,slugma,default
magcargo-default,magcargo,magcargo,default
swinub-default,swinub,swinub,default
piloswine-default,piloswine,piloswine,default
corsola-default,corsola,corsola,default
corsola-galarian,corsola-galar,corsola-galar,suffix
remoraid-default,remoraid,remoraid,default
octillery-default,octillery,octillery,default
delibird-default,delibird,delibird,default
mantine-default,mantine,mantine,default
skarmory-default,skarmory,skarmory,default
houndour-default,houndour,houndour,default
houndoom-default,houndoom,houndoom,default
houndoom-mega-evolution,houndoom-mega,houndoom-mega,suffix
kingdra-default,kingdra,kingdra,default
phanpy-default,phanpy,phanpy,default
donphan-default,donphan,donphan,default
porygon2-default,porygon2,porygon2,default
stantler-default,stantler,stantler,default
smeargle-default,smeargle,smeargle,default
tyrogue-default,tyrogue,tyrogue,default
hitmontop-default,hitmontop,hitmontop,default
smoochum-default,smoochum,smoochum,default
elekid-default,elekid,elekid,default
magby-default,magby,magby,default
miltank-default,miltank,miltank,default
blissey-default,blissey,blissey,default
raikou-default,raikou,raikou,default
entei-default,entei,entei,default
suicune-default,suicune,suicune,default
larvitar-default,larvitar,larvitar,default
pupitar-default,pupitar,pupitar,default
tyranitar-default,tyranitar,tyranitar,default
tyranitar-mega-evolution,tyranitar-mega,tyranitar-mega,suffix
lugia-default,lugia,lugia,default
ho-oh-default,ho-oh,ho-oh,default
celebi-default,celebi,celebi,default
treecko-default,treecko,treecko,default
grovyle-default,grovyle,grovyle,default
sceptile-default,sceptile,sceptile,default
sceptile-mega-evolution,sceptile-mega,sceptile-mega,suffix
torchic-default,torchic,torchic,default
combusken-default,combusken,combusken,default
blaziken-default,blaziken,blaziken,default
blaziken-mega-evolution,blaziken-mega,blaziken-mega,suffix
mudkip-default,mudkip,mudkip,default
marshtomp-default,marshtomp,marshtomp,default
swampert-default,swampert,swampert,default
swampert-mega-evolution,swampert-mega,swampert-mega,suffix
poochyena-default,poochyena,poochyena,default
mightyena-default,mightyena,mightyena,default
zigzagoon-default,zigzagoon,zigzagoon,default
zigzagoon-galarian,zigzagoon-galar,zigzagoon-galar,suffix
linoone-default,linoone,linoone,default
linoone-galarian,linoone-galar,linoone-galar,suffix
wurmple-default,wurmple,wurmple,default
silcoon-default,silcoon,silcoon,default
beautifly-default,beautifly,beautifly,default
cascoon-default,cascoon,cascoon,default
dustox-default,dustox,dustox,default
lotad-default,lotad,lotad,default
lombre-default,lombre,lombre,default
ludicolo-default,ludicolo,ludicolo,default
seedot-default,seedot,seedot,default
nuzleaf-default,nuzleaf,nuzleaf,default
shiftry-default,shiftry,shiftry,default
taillow-default,taillow,taillow,default
swellow-default,swellow,swellow,default
wingull-default,wingull,wingull,default
pelipper-default,pelipper,pelipper,default
ralts-default,ralts,ralts,default
kirlia-default,kirlia,kirlia,default
gardevoir-default,gardevoir,gardevoir,default
gardevoir-mega-evolution,gardevoir-mega,gardevoir-mega,suffix
surskit-default,surskit,surskit,default
masquerain-default,masquerain,masquerain,default
shroomish-default,shroomish,shroomish,default
breloom-default,breloom,breloom,default
slakoth-default,slakoth,slakoth,default
vigoroth-default,vigoroth,vigoroth,default
slaking-default,slaking,slaking,default
nincada-default,nincada,nincada,default
ninjask-default,ninjask,ninjask,default
shedinja-default,shedinja,shedinja,default
whismur-default,whismur,whismur,default
loudred-default,loudred,loudred,default
exploud-default,exploud,exploud,default
makuhita-default,makuhita,makuhita,default
hariyama-default,hariyama,hariyama,default
azurill-default,azurill,azurill,default
nosepass-default,nosepass,nosepass,default
skitty-default,skitty,skitty,default
delcatty-default,delcatty,delcatty,default
sableye-default,sableye,sableye,default
sableye-mega-evolution,sableye-mega,sableye-mega,suffix
mawile-default,mawile,mawile,default
mawile-mega-evolution,mawile-mega,mawile-mega,suffix
aron-default,aron,aron,default
lairon-default,lairon,lairon,default
aggron-default,aggron,aggron,default
aggron-mega-evolution,aggron-mega,aggron-mega,suffix
meditite-default,meditite,meditite,default
medicham-default,medicham,medicham,default
medicham-mega-evolution,medicham-mega,medicham-mega,suffix
electrike-default,electrike,electrike,default
manectric-default,manectric,manectric,default
manectric-mega-evolution,manectric-mega,manectric-mega,suffix
plusle-default,plusle,plusle,default
minun-default,minun,minun,default
volbeat-default,volbeat,volbeat,default
illumise-default,illumise,illumise,default
roselia-default,roselia,roselia,default
gulpin-default,gulpin,gulpin,default
swalot-default,swalot,swalot,default
carvanha-default,carvanha,carvanha,default
sharpedo-default,sharpedo,sharpedo,default
sharpedo-mega-evolution,sharpedo-mega,sharpedo-mega,suffix
wailmer-default,wailmer,wailmer,default
wailord-default,wailord,wailord,default
numel-default,numel,numel,default
camerupt-default,camerupt,camerupt,default
camerupt-mega-evolution,camerupt-mega,camerupt-mega,suffix
torkoal-default,torkoal,torkoal,default
spoink-default,spoink,spoink,default
grumpig-default,grumpig,grumpig,default
spinda-default,spinda,spinda,default
trapinch-default,trapinch,trapinch,default
vibrava-default,vibrava,vibrava,default
flygon-default,flygon,flygon,default
cacnea-default,cacnea,cacnea,default
cacturne-default,cacturne,cacturne,default
swablu-default,swablu,swablu,default
altaria-default,altaria,altaria,default
altaria-mega-evolution,altaria-mega,altaria-mega,suffix
zangoose-default,zangoose,zangoose,default
seviper-default,seviper,seviper,default
lunatone-default,lunatone,lunatone,default
solrock-default,solrock,solrock,default
barboach-default,barboach,barboach,default
whiscash-default,whiscash,whiscash,default
corphish-default,corphish,corphish,default
crawdaunt-default,crawdaunt,crawdaunt,default
baltoy-default,baltoy,baltoy,default
claydol-default,claydol,claydol,default
lileep-default,lileep,lileep,default
cradily-default,cradily,cradily,default
anorith-default,anorith,anorith,default
armaldo-default,armaldo,armaldo,default
feebas-default,feebas,feebas,default
milotic-default,milotic,milotic,default
castform-default,castform,castform,default
castform-sunny,castform-sunny,castform-sunny,suffix
castform-rainy,castform-rainy,castform-rainy,suffix
castform-snowy,castform-snowy,castform-snowy,suffix
kecleon-default,kecleon,kecleon,default
shuppet-default,shuppet,shuppet,default
banette-default,banette,banette,default
banette-mega-evolution,banette-mega,banette-mega,suffix
duskull-default,duskull,duskull,default
dusclops-default,dusclops,dusclops,default
tropius-default,tropius,tropius,default
chimecho-default,chimecho,chimecho,default
absol-default,absol,absol,default
absol-mega-evolution,absol-mega,absol-mega,suffix
wynaut-default,wynaut,wynaut,default
snorunt-default,snorunt,snorunt,default
glalie-default,glalie,glalie,default
glalie-mega-evolution,glalie-mega,glalie-mega,suffix
spheal-default,spheal,spheal,default
sealeo-default,sealeo,sealeo,default
walrein-default,walrein,walrein,default
clamperl-default,clamperl,clamperl,default
huntail-default,huntail,huntail,default
gorebyss-default,gorebyss,gorebyss,default
relicanth-default,relicanth,relicanth,default
luvdisc-default,luvdisc,luvdisc,default
bagon-default,bagon,bagon,default
shelgon-default,shelgon,shelgon,default
salamence-default,salamence,salamence,default
salamence-mega-evolution,salamence-mega,salamence-mega,suffix
beldum-default,beldum,beldum,default
metang-default,metang,metang,default
metagross-default,metagross,metagross,default
metagross-mega-evolution,metagross-mega,metagross-mega,suffix
regirock-default,regirock,regirock,default
regice-default,regice,regice,default
registeel-default,registeel,registeel,default
latias-default,latias,latias,default
latias-mega-evolution,latias-mega,latias-mega,suffix
latios-default,latios,latios,default
latios-mega-evolution,latios-mega,latios-mega,suffix
kyogre-default,kyogre,kyogre,default
kyogre-primal,kyogre-primal,kyogre-primal,suffix
groudon-default,groudon,groudon,default
groudon-primal,groudon-primal,groudon-primal,suffix
rayquaza-default,rayquaza,rayquaza,default
rayquaza-mega-evolution,rayquaza-mega,rayquaza-mega,suffix
jirachi-default,jirachi,jirachi,default
deoxys-default,deoxys-normal,deoxys-normal,default
deoxys-attack,deoxys-attack,deoxys-attack,suffix
deoxys-defense,deoxys-defense,deoxys-defense,suffix
deoxys-speed,deoxys-speed,deoxys-speed,suffix
turtwig-default,turtwig,turtwig,default
grotle-default,grotle,grotle,default
torterra-default,torterra,torterra,default
chimchar-default,chimchar,chimchar,default
monferno-default,monferno,monferno,default
infernape-default,infernape,infernape,default
piplup-default,piplup,piplup,default
prinplup-default,prinplup,prinplup,default
empoleon-default,empoleon,empoleon,default
starly-default,starly,starly,default
staravia-default,staravia,staravia,default
staraptor-default,staraptor,staraptor,default
bidoof-default,bidoof,bidoof,default
bibarel-default,bibarel,bibarel,default
kricketot-default,kricketot,kricketot,default
kricketune-default,kricketune,kricketune,default
shinx-default,shinx,shinx,default
luxio-default,luxio,luxio,default
luxray-default,luxray,luxray,default
budew-default,budew,budew,default
roserade-default,roserade,roserade,default
cranidos-default,cranidos,cranidos,default
rampardos-default,rampardos,rampardos,default
shieldon-default,shieldon,shieldon,default
bastiodon-default,bastiodon,bastiodon,default
burmy-plant-cloak,burmy,burmy-plant,named-default
burmy-sandy-cloak,burmy,burmy-sandy,hand
burmy-trash-cloak,burmy,burmy-trash,hand
wormadam-plant-cloak,wormadam-plant,wormadam-plant,named-default
wormadam-sandy-cloak,wormadam-sandy,wormadam-sandy,hand
wormadam-trash-cloak,wormadam-trash,wormadam-trash,hand
mothim-default,mothim,mothim-plant,default
combee-default,combee,combee,default
vespiquen-default,vespiquen,vespiquen,default
pachirisu-default,pachirisu,pachirisu,default
buizel-default,buizel,buizel,default
floatzel-default,floatzel,floatzel,default
cherubi-default,cherubi,cherubi,default
cherrim-overcast,cherrim,cherrim-overcast,cosmetic
cherrim-sunshine,cherrim,cherrim-sunshine,hand
shellos-west-sea,shellos,shellos-west,named-default
shellos-east-sea,shellos,shellos-east,hand
gastrodon-west-sea,gastrodon,gastrodon-west,named-default
gastrodon-east-sea,gastrodon,gastrodon-east,hand
ambipom-default,ambipom,ambipom,default
drifloon-default,drifloon,drifloon,default
drifblim-default,drifblim,drifblim,default
buneary-default,buneary,buneary,default
lopunny-default,lopunny,lopunny,default
lopunny-mega-evolution,lopunny-mega,lopunny-mega,suffix
mismagius-default,mismagius,mismagius,default
honchkrow-default,honchkrow,honchkrow,default
glameow-default,glameow,glameow,default
purugly-default,purugly,purugly,default
chingling-default,chingling,chingling,default
stunky-default,stunky,stunky,default
skuntank-default,skuntank,skuntank,default
bronzor-default,bronzor,bronzor,default
bronzong-default,bronzong,bronzong,default
bonsly-default,bonsly,bonsly,default
mime-jr-default,mime-jr,mime-jr,default
happiny-default,happiny,happiny,default
chatot-default,chatot,chatot,default
spiritomb-default,spiritomb,spiritomb,default
gible-default,gible,gible,default
gabite-default,gabite,gabite,default
garchomp-default,garchomp,garchomp,default
garchomp-mega-evolution,garchomp-mega,garchomp-mega,suffix
munchlax-default,munchlax,munchlax,default
riolu-default,riolu,riolu,default
lucario-default,lucario,lucario,default
lucario-mega-evolution,lucario-mega,lucario-mega,suffix
hippopotas-default,hippopotas,hippopotas,default
hippowdon-default,hippowdon,hippowdon,default
skorupi-default,skorupi,skorupi,default
drapion-default,drapion,drapion,default
croagunk-default,croagunk,croagunk,default
toxicroak-default,toxicroak,toxicroak,default
carnivine-default,carnivine,carnivine,default
finneon-default,finneon,finneon,default
lumineon-default,lumineon,lumineon,default
mantyke-default,mantyke,mantyke,default
snover-default,snover,snover,default
abomasnow-default,abomasnow,abomasnow,default
abomasnow-mega-evolution,abomasnow-mega,abomasnow-mega,suffix
weavile-default,weavile,weavile,default
magnezone-default,magnezone,magnezone,default
lickilicky-default,lickilicky,lickilicky,default
rhyperior-default,rhyperior,rhyperior,default
tangrowth-default,tangrowth,tangrowth,default
electivire-default,electivire,electivire,default
magmortar-default,magmortar,magmortar,default
togekiss-default,togekiss,togekiss,default
yanmega-default,yanmega,yanmega,default
leafeon-default,leafeon,leafeon,default
glaceon-default,glaceon,glaceon,default
gliscor-default,gliscor,gliscor,default
mamoswine-default,mamoswine,mamoswine,default
porygon-z-default,porygon-z,porygon-z,default
gallade-default,gallade,gallade,default
gallade-mega-evolution,gallade-mega,gallade-mega,suffix
probopass-default,probopass,probopass,default
dusknoir-default,dusknoir,dusknoir,default
froslass-default,froslass,froslass,default
rotom-default,rotom,rotom,default
rotom-heat,rotom-heat,rotom-heat,suffix
rotom-wash,rotom-wash,rotom-wash,suffix
rotom-frost,rotom-frost,rotom-frost,suffix
rotom-fan,rotom-fan,rotom-fan,suffix
rotom-mow,rotom-mow,rotom-mow,suffix
uxie-default,uxie,uxie,default
mesprit-default,mesprit,mesprit,default
azelf-default,azelf,azelf,default
dialga-default,dialga,dialga,default
dialga-origin,dialga-origin,dialga-origin,suffix
palkia-default,palkia,palkia,default
palkia-origin,palkia-origin,palkia-origin,suffix
heatran-default,heatran,heatran,default
regigigas-default,regigigas,regigigas,default
giratina-altered,giratina-altered,giratina-altered,suffix
giratina-origin,giratina-origin,giratina-origin,suffix
cresselia-default,cresselia,cresselia,default
phione-default,phione,phione,default
manaphy-default,manaphy,manaphy,default
darkrai-default,darkrai,darkrai,default
shaymin-land,shaymin-land,shaymin-land,suffix
shaymin-sky,shaymin-sky,shaymin-sky,suffix
arceus-default,arceus,arceus-normal,default
victini-default,victini,victini,default
snivy-default,snivy,snivy,default
servine-default,servine,servine,default
serperior-default,serperior,serperior,default
tepig-default,tepig,tepig,default
pignite-default,pignite,pignite,default
emboar-default,emboar,emboar,default
oshawott-default,oshawott,oshawott,default
dewott-default,dewott,dewott,default
samurott-default,samurott,samurott,default
samurott-hisuian,samurott-hisui,samurott-hisui,suffix
patrat-default,patrat,patrat,default
watchog-default,watchog,watchog,default
lillipup-default,lillipup,lillipup,default
herdier-default,herdier,herdier,default
stoutland-default,stoutland,stoutland,default
purrloin-default,purrloin,purrloin,default
liepard-default,liepard,liepard,default
pansage-default,pansage,pansage,default
simisage-default,simisage,simisage,default
pansear-default,pansear,pansear,default
simisear-default,simisear,simisear,default
panpour-default,panpour,panpour,default
simipour-default,simipour,simipour,default
munna-default,munna,munna,default
musharna-default,musharna,musharna,default
pidove-default,pidove,pidove,default
tranquill-default,tranquill,tranquill,default
unfezant-male,unfezant,unfezant,named-default
blitzle-default,blitzle,blitzle,default
zebstrika-default,zebstrika,zebstrika,default
roggenrola-default,roggenrola,roggenrola,default
boldore-default,boldore,boldore,default
gigalith-default,gigalith,gigalith,default
woobat-default,woobat,woobat,default
swoobat-default,swoobat,swoobat,default
drilbur-default,drilbur,drilbur,default
excadrill-default,excadrill,excadrill,default
audino-default,audino,audino,default
audino-mega-evolution,audino-mega,audino-mega,suffix
timburr-default,timburr,timburr,default
gurdurr-default,gurdurr,gurdurr,default
conkeldurr-default,conkeldurr,conkeldurr,default
tympole-default,tympole,tympole,default
palpitoad-default,palpitoad,palpitoad,default
seismitoad-default,seismitoad,seismitoad,default
throh-default,throh,throh,default
sawk-default,sawk,sawk,default
sewaddle-default,sewaddle,sewaddle,default
swadloon-default,swadloon,swadloon,default
leavanny-default,leavanny,leavanny,default
venipede-default,venipede,venipede,default
whirlipede-default,whirlipede,whirlipede,default
scolipede-default,scolipede,scolipede,default
cottonee-default,cottonee,cottonee,default
whimsicott-default,whimsicott,whimsicott,default
petilil-default,petilil,petilil,default
lilligant-default,lilligant,lilligant,default
lilligant-hisuian,lilligant-hisui,lilligant-hisui,suffix
basculin-red-stripe,basculin-red-striped,basculin-red-striped,named-default
basculin-blue-stripe,basculin-blue-striped,basculin-blue-striped,hand
basculin-white-stripe,basculin-white-striped,basculin-white-striped,hand
sandile-default,sandile,sandile,default
krokorok-default,krokorok,krokorok,default
krookodile-default,krookodile,krookodile,default
darumaka-default,darumaka,darumaka,default
darumaka-galarian,darumaka-galar,darumaka-galar,suffix
darmanitan-standard,darmanitan-standard,darmanitan-standard,suffix
darmanitan-zen,darmanitan-zen,darmanitan-zen,suffix
darmanitan-galarian,darmanitan-galar-standard,darmanitan-galar-standard,hand
darmanitan-galarian-zen,darmanitan-galar-zen,darmanitan-galar-zen,hand
maractus-default,maractus,maractus,default
dwebble-default,dwebble,dwebble,default
crustle-default,crustle,crustle,default
scraggy-default,scraggy,scraggy,default
scrafty-default,scrafty,scrafty,default
sigilyph-default,sigilyph,sigilyph,default
yamask-default,yamask,yamask,default
yamask-galarian,yamask-galar,yamask-galar,suffix
